Project,County,"System Name /
Borrower",Description,Pop .,Project Cost,Score,"Cumulative
Total"
18864,Dutchess,"UNITED WAPPINGER
WATER IMPROVEMENT
DIST . Wappinger ( T )","Installation of GAC for PFOA / PFOS removal . , Upgrade Water
Treatment Plant , Upgrade Distribution System","14,000","$5,170,000.00",25,"$647,669,263.00"
18787,Dutchess,"RED HOOK WATER
DISTRICT # 1 / Red Hook
( )","Enhance interconnection with Red Hook ( T ) ; eliminate Well # 4 due to
PFAS , Upgrade Storage , Upgrade Distribution System , Upgrade
Inter - Connection","1,440","$1,800,000.00",25,"$649,469,263.00"
18949,Dutchess,"MILLERTON VILLAGE /
Millerton ( V )","Replacement of watermain , minor updates to Well , Upgrade
Distribution System","1,150","$6,280,454.00",25,"$655,749,717.00"
18568,Dutchess,"BRINKERHOFF WATER
DISTRICT / Fishkill ( T )","Install bypass loop and new isolation valves , Upgrade Transmission","3,788","$1,126,600.00",20,"$656,876,317.00"
18780,Dutchess,"FISHKILL VILLAGE / Fishkill
( )","Water System Upgrades and rehabilitation of existing wells . , Upgrade
Ground Water Source , Upgrade Storage","4,100","$2,258,800.00",20,"$659,135,117.00"
18578,Dutchess,"BEACON HILLS WATER
DISTRICT / Fishkill ( T )","Construction of water storage tank ( s ) to supplement water pressure
and storage needs for Beacon Hills Water District . , New Storage",999,"$2,107,000.00",20,"$661,242,117.00"
18091,Dutchess,"HOPEWELL SERVICES
INC / East Fishkill ( T )",Upgrade Distribution System,489,"$3,035,400.00",15,"$664,277,517.00"
19189,Dutchess,"UNITED WAPPINGER
WATER IMPROVEMENT
DIST . / Wappinger ( T )","Installaton of 3 Wells , 1 MG Tank , New Ground Water Source , New
Storage","14,000","$5,922,000.00",15,"$670,199,517.00"
17700,Dutchess,"DUTCHESS COUNTY
WATER / WASTEWATER
PLANT / DCWWA","Rehabilitate / replace approximately 35,800 linear feet of water main
associated with Crumwold Acres Subdivision . , Upgrade Distribution
System","7,012","$8,806,500.00",10,"$679,006,017.00"
18145,Dutchess,"STAATSBURG WATER
SYSTEM / DCWWA",Upgrade Distribution System,"1,072","$1,815,600.00",10,"$680,821,617.00"
17693,Dutchess,"DUTCHESS COUNTY
WATER / WASTEWATER
PLANT / DCWWA","Replace Route 9 water main from Horseshoe Lane to Vanderbilt Lane . ,","7,012","$5,014,200.00",10,"$685,835,817.00"
18381,Erie,"LAWTONS WATER CO 1
North Collins ( T )","Aquisit'n of private PWS & improvements for SWTR & Nitrate issues ,
New Surface Water Treatment Rule Compliance Facility , Upgrade Distribution System , New Inter - Connection",95,$0.00,1205,"$685,835,817.00"
19118,Erie,"ECWA DIRECT / Erie
County Water Authority","Replacement of the Van de Water Raw Water Pumping System ,
Upgrade Pump Station","228,869","$14,280,000.00",45,"$700,115,817.00"
19276,Erie,ALDEN ( T ) / Alden ( T ),"Water District No. 5 , New Water District","1,500","$20,497,000.00",45,"$720,612,817.00"
19053,Erie,"CAYUGA CREEK WD /
Alden ( T )","Cayuga Creek Water District , New Water District",56,"$887,600.00",45,"$721,500,417.00"
19131,Erie,"ECWA DIRECT / Erie
County Water Authority","Rehabilitation of Filters 1 through 4 - Van de Water WTP , Upgrade
Water Treatment Plant","228,869","$28,706,700.00",45,"$750,207,117.00"
18862,Erie,"BUFFALO WATER
AUTHORITY / Buffalo Water
Board","Water main and lead service line replacement . , Upgrade Distribution
System","276,000","$21,450,000.00",40,"$771,657,117.00"
19023,Erie,"ECWA DIRECT / Erie
County Water Authority","Castle Hill Pump Station Replacement , Upgrade Pump Station","228,869","$2,940,400.00",40,"$774,597,517.00"
19137,Erie,"ECWA DIRECT / Erie
County Water Authority","Sturgeon Point WTP Washwater Tank Replacement . , New Water
Treatment Plant","228,869","$3,744,250.00",40,"$778,341,767.00"
19117,Erie,"ECWA DIRECT / Erie
County Water Authority","Replacement of the Van de Water High Service Pump System ,
Upgrade Pump Station","228,869","$46,440,000.00",40,"$824,781,767.00"
19055,Erie,ECWA DIRECT / ECWA,"30 - Inch Transmission Main Replacement on Various Areas , Upgrade
Transmission","228,869","$4,240,300.00",35,"$829,022,067.00"
19116,Erie,"ECWA DIRECT / Erie
County Water Authority","Transmission Main Improvements - Town Cheektowaga and City of
Lackawanna , Upgrade Transmission","228,869","$9,069,860.00",35,"$838,091,927.00"
19195,Erie,"ECWA DIRECT / Erie
County Water Authority","Sturgeon Point WTP Filtered Water Bypass , Upgrade Water
Treatment Plant","228,869","$2,950,400.00",35,"$841,042,327.00"
19219,Erie,"ECWA DIRECT / Erie
County Water Authority","Van de Water WTP - Additional Filters No.5 and No.6 , Upgrade Water
Treatment Plant","228,869","$30,246,400.00",35,"$871,288,727.00"
19115,Erie,"ECWA DIRECT / Erie
County Water Authority","Interconnection to City of Buffalo to provide 20MGD , New
Inter - Connection","228,869","$34,127,800.00",30,"$905,416,527.00"
18996,Erie,"TONAWANDA , TOWN
WATER DEPT . / Tonawanda
( T )","Water Treatment Plant Filtration Upgrades , Upgrade Water Treatment
Plant","61,729","$5,000,000.00",30,"$910,416,527.00"
19111,Erie,"ECWA DIRECT / Erie
County Water Authority","Replacement of 18 Mile Creek Transmission Crossings , Upgrade
Transmission","228,869","$16,850,000.00",30,"$927,266,527.00"
19112,Erie,"ECWA DIRECT / Erie
County Water Authority","Water Main Replacement Town of Amherst , Upgrade Distribution
System","228,869","$11,490,000.00",25,"$938,756,527.00"
19274,Erie,"AKRON VILLAGE / Akron
( )","East Avenue Water Main Replacement , Upgrade Distribution System","2,971","$3,028,200.00",25,"$941,784,727.00"
19114,Erie,"ECWA DIRECT / Erie
County Water Authority","Line Maintenance Facility at Sturgeon Point WTP , Upgrade Other
Expenses , Upgrade Other ( OT )","228,869","$2,997,200.00",25,"$944,781,927.00"
18316,Erie,"ANGOLA VILLAGE /
Angola ( V )","Upgrade Storage , Upgrade Distribution System","4,200","$5,554,415.00",25,"$950,336,342.00"
19237,Erie,"ECWA DIRECT / Erie
County Water Authority","Union Road Watermain Replacement , Upgrade Distribution System","228,869","$10,439,606.00",25,"$960,775,948.00"
19122,Erie,"ECWA DIRECT / Erie
County Water Authority","Van De Water WTP and RWPS HVAC Upgrades , Upgrade Water
Treatment Plant","228,869","$3,831,863.00",25,"$964,607,811.00"
18901,Erie,"ECWA BOSTON / Boston
( T )","Water Districts No.1 & 2 Water System Improvements , Upgrade
Pump Station , Upgrade Distribution System","6,604","$16,123,067.00",20,"$980,730,877.00"
18605,Erie,"GRAND ISLAND TOWN
WATER DEPT . / Grand
Island ( T )","Baseline Road Water Main Improvements , Upgrade Distribution
System","19,500","$5,370,000.00",15,"$986,100,877.00"
17690,Erie,"CONSOLIDATED WATER
DISTRICT / Lancaster ( T )",Upgrade Distribution System,500,"$2,725,000.00",10,"$988,825,877.00"
19052,Erie,"LANCASTER ( T ) /
Lancaster ( T )","Cemetery Road Water Main Replacement , Upgrade Distribution
System","3,825","$2,200,000.00",10,"$991,025,877.00"
18323,Erie,"ORCHARD PARK VILLAGE
/ Orchard Park ( V )","Quaker St Water Line Replacement . , Upgrade Distribution System","3,100","$1,900,000.00",10,"$992,925,877.00"
18595,Erie,"EAST AURORA VILLAGE /
East Aurora ( V )","Oakwood Ave Water Main Replacement . , Upgrade Distribution
System","7,200","$1,463,000.00",10,"$994,388,877.00"
17163,Essex,"TICONDEROGA WD /
Ticonderoga ( T )","New Surface Water Treatment Rule Compliance Facility , Upgrade
Water Treatment Plant , New Ground Water Source , New Storage ,
Upgrade Distribution System","5,000",$0.00,1270,"$994,388,877.00"
17629,Essex,ESSEX WD / Essex ( T ),"WTP Upgrades and New GW Source . , Upgrade Water Treatment
Plant , New Ground Water Source",300,$0.00,1165,"$994,388,877.00"
18275,Essex,"KEESEVILLE V /
Chesterfield ( T )","WTP , storage , and distribution improvements . , Upgrade Water
Treatment Plant , Upgrade Storage , Upgrade Distribution System","2,300",$0.00,1155,"$994,388,877.00"
18184,Essex,"CROWN POINT WD /
Crown Point ( T )","Rehab and upgrades to contaminated wells and replacing mains with
severe break history . , Upgrade Water Treatment Plant , New Ground Water Source , Upgrade Distribution System",995,$0.00,1135,"$994,388,877.00"
18270,Essex,"TICONDEROGA WD /
Ticonderoga ( T )","Chilson - Eagle Lake SWTR Compliance Project . , New Surface Water
Treatment Rule Compliance Facility , Upgrade Distribution System","5,000","$8,306,300.00",135,"$1,002,695,177.00"
18709,Essex,"ELIZABETHTOWN WD /
Elizabethtown ( T )","New well to meet capacity standards , address use of springs ( GWUDI ) ,
Telemetry & Treatment . , Upgrade Water Treatment Plant , New
Ground Water Source",800,"$3,744,565.00",115,"$1,006,439,742.00"
18982,Essex,"WILLSBORO WD /
Willsboro ( T )","Phase I - new WTP , intake improvements , pump station upgrades . ,
New Water Treatment Plant , New Storage , Upgrade Distribution
System","1,571","$10,310,300.00",90,"$1,016,750,042.00"
18291,Essex,"LAKE PLACID V / Lake
Placid ( V )","Upgrade Water Treatment Plant , New Storage , Upgrade Distribution
System","5,000",$0.00,70,"$1,016,750,042.00"
18869,Essex,KEENE WD / Keene ( T ),"WD # 2 . New redundant well and upgrades to well building . , New
Ground Water Source",300,"$5,025,999.00",50,"$1,021,776,041.00"
18844,Essex,"TICONDEROGA WD /
Ticonderoga ( T )","New Meters and Storage . , New Storage , Upgrade Distribution System","5,000","$10,104,679.00",50,"$1,031,880,720.00"
18423,Essex,"RAY BROOK WD / North
Elba ( T )","Upgrade Storage , Upgrade Distribution System",400,$0.00,30,"$1,031,880,720.00"
18887,Essex,MINERVA WD / Minerva ( T ),"Replacement of Approx . 6,400 - ft of water main . , Upgrade Distribution
System",800,"$2,400,000.00",20,"$1,034,280,720.00"
18061,Franklin,"TUPPER LAKE V / Tupper
Lake ( V )","New wells to replace SW source and inadequate DE plant . , New
Ground Water Source , Upgrade Distribution System","5,500",$0.00,1230,"$1,034,280,720.00"
19258,Franklin,"TUPPER LAKE V / Tupper
Lake ( V )","Tupper Lake Intake and WTP Rehab . , Upgrade Water Treatment
Plant , Upgrade Surface Water Source","5,500","$8,867,991.00",110,"$1,043,148,711.00"
18804,Franklin,"TUPPER LAKE V / Tupper
Lake ( V )","DBP Reduction and New Well Development , Upgrade Water
Treatment Plant , New Ground Water Source","5,500","$1,843,200.00",80,"$1,044,991,911.00"
19267,Franklin,MALONE V / Malone ( V ),"New production well , trans . main , upgrades well buildings , WTP and
water meters . , Upgrade Water Treatment Plant , New Ground Water
Source , Upgrade Transmission","13,000","$8,681,872.00",55,"$1,053,673,783.00"
18852,Franklin,"WEST SIDE WD / Malone
( T )","Rt 11 Emergency WM Replacement . , Upgrade Distribution System",250,$0.00,40,"$1,053,673,783.00"
19253,Franklin,"CHATEAUGAY V /
Chateaugay ( T )","Replacing spring house with new wells , water meters , and distribution
work . , New Ground Water Source , Upgrade Distribution System","1,100","$14,368,500.00",30,"$1,068,042,283.00"
18531,Franklin,"SARANAC LAKE V /
Saranac Lake ( V )","Distribution main replacement , Upgrade Distribution System","5,800","$10,665,000.00",30,"$1,078,707,283.00"
18976,Fulton,"GLOVERSVILLE ( C )
WATER WORKS /
Gloversville ( C )","WTP and Water Distribution system improvements . New booster pump
station . , Upgrade Water Treatment Plant , New Pump Station , Upgrade
Distribution System","17,991","$5,036,753.00",70,"$1,083,744,036.00"
19278,Fulton,"GLOVERSVILLE ( C )
WATER WORKS /
Gloversville Water Works","New Transmission Main and upgrades to the distribution system . , New
Transmission , Upgrade Distribution System","17,991","$5,309,551.00",45,"$1,089,053,587.00"
17882,Fulton,"BROADALBIN ( V ) /
Broadalin ( V )","Replace Aged Storage Tank , New Storage","1,397",$0.00,45,"$1,089,053,587.00"
18331,Fulton,"MAYFIELD ( V ) WATER
WORKS / Mayfield ( V )","Replace Elevated Storage Tank . , New Storage",817,$0.00,45,"$1,089,053,587.00"
19092,Fulton,"NORTHAMPTON ( T )
WATER DISTRICT /
Northampton ( T )","State Route 30 / Bridge Street Area Distribution Improvements ,
Upgrade Distribution System","1,000","$1,188,000.00",30,"$1,090,241,587.00"
19057,Genesee,BATAVIA CITY / Batavia ( C ),"Water Treatment Plant and Source Improvements , Upgrade Water
Treatment Plant , Upgrade Ground Water Source","16,310","$3,679,300.00",60,"$1,093,920,887.00"
18991,Genesee,WD NO . 6 / Alexander ( T ),"New Water District No.6 , New Distribution System",350,"$6,270,000.00",60,"$1,100,190,887.00"
19224,Genesee,"LEROY ( T ) WD 12 / LeRoy
( T )","WD # 12 New Water Mains , New Water District",920,"$22,200,620.00",55,"$1,122,391,507.00"
18047,Genesee,RTE 98 WD / Batavia,"New Water District the serve areas East and West of Rte . 98 , New
Water District",318,"$5,322,464.00",50,"$1,127,713,971.00"
18045,Genesee,"CREEK RD . WD / Batavia
( T )",New Water District,136,"$1,407,623.00",50,"$1,129,121,594.00"
19136,Genesee,BETHANY ( T ) / Bethany ( T ),"Water District No.5 , New Water District","1,000","$12,180,000.00",50,"$1,141,301,594.00"
18046,Genesee,"PRATT RD . WD / Batavia
( T )",New Water District,55,"$1,067,974.00",50,"$1,142,369,568.00"
19221,Genesee,"GENESEE COUNTY
WATER SUPPLY / Genesee
County","Phase 3 - Gates and Chili Supply , New Distribution System","57,853","$51,501,030.00",30,"$1,193,870,598.00"
19222,Genesee,"GENESEE COUNTY
WATER SUPPLY / Genesee
County","Phase 3 - North Road Supply , New Distribution System","57,853","$51,500,000.00",30,"$1,245,370,598.00"
19223,Genesee,"GENESEE COUNTY
WATER SUPPLY / Genesee
County","Phase 3 - New Transmission , New Distribution System","57,853","$54,591,030.00",30,"$1,299,961,628.00"
18919,Genesee,"MCWA SHOREMONT
WTP / Monroe County
Water Authority","1.5MG tank installation in Town of Pavilion . , New Ground Water
Source","310,000","$2,317,500.00",30,"$1,302,279,128.00"
15958,Greene,"PRATTSVILLE WATER
DISTRICT / Prattsville ( T )","Adress organics violations and inadequate source capacity , New
Ground Water Source",410,$0.00,1155,"$1,302,279,128.00"
18764,Greene,"CATSKILL VILLAGE /
Catskill ( V )","WTP improvements to control DBPs and replace water mains on Main
Street . , Upgrade Water Treatment Plant , Upgrade Distribution System","8,000",$0.00,1090,"$1,302,279,128.00"
18239,Greene,"GREENVILLE WATER
DISTRICT NO 1 / Greenville ( T )","Pressure , storage , and SCADA Improvements . Extend distribution
system to serve contaminated private wells . , New Storage , Extend Distribution System , Upgrade Distribution System",765,"$50,000.00",1075,"$1,302,329,128.00"
15704,Greene,"COXSACKIE VILLAGE /
Coxsackie ( V )","New storage tank and transmission main upgrades . , Upgrade
Transmission , New Storage","4,010",$0.00,75,"$1,302,329,128.00"
18917,Greene,ASHLAND WD / Ashland ( T ),"Ashland WD Extension Along NYS Rt . 23. , Extend Distribution
System",200,"$437,750.00",70,"$1,302,766,878.00"
18614,Greene,"CATSKILL VILLAGE /
Catskill ( V )","Storage , Distribution , and Booster Pump Improvements . , New
Storage , New Pump Station , Upgrade Distribution System","8,000","$5,270,000.00",45,"$1,308,036,878.00"
19106,Greene,"TANNERSVILLE VILLAGE /
Tannersville ( V )","Emergency Water Storage Tank Replacement , Upgrade Storage",448,"$400,000.00",30,"$1,308,436,878.00"
18430,Hamilton,"BLUE MT LAKE WD / Indian
Lake ( T )","DBP Compliance Project . , New Ground Water Source",400,"$5,000,000.00",80,"$1,313,436,878.00"
19094,Hamilton,"SPECULATOR V /
Speculator ( V )","Elm Lake Road Water Main Replacement and Transmission Upgrades ,
Upgrade Transmission , Upgrade Distribution System",408,"$2,200,000.00",35,"$1,315,636,878.00"
19260,Hamilton,"LONG LAKE WD / Long
Lake ( T )","Rehab and replace existing Distribution System , well upgrades , WTP
upgrades . , Upgrade Ground Water Source , Upgrade Distribution
System",800,"$46,350,000.00",35,"$1,361,986,878.00"
18562,Herkimer,"ILION ( V ) WATER WORKS /
Ilion ( V )","Dedicated Well Transmission Main and High Priority Distribution Improvements . , Upgrade Ground Water Source , New Transmission , Upgrade Storage , Upgrade Distribution System","8,610",$0.00,1135,"$1,361,986,878.00"
17422,Herkimer,"HERKIMER ( T ) , WD NO . 3 /
Herkimer ( T )","New Storage , New Pump Station , Distribution System Improvements . ,
New Storage , New Pump Station , Upgrade Distribution System",320,$0.00,1080,"$1,361,986,878.00"
18563,Herkimer,"ILION ( V ) WATER WORKS /
Ilion ( V )","Medium Priority Distribution Imprvts and Eastern Mohawk Valley
Regional Trans Main Connection . Related to Project # 18897 . , New
Transmission , Upgrade Distribution System , New System
Consolidation","8,610","$28,474,350.00",145,"$1,390,461,228.00"
18860,Herkimer,"HERKIMER VILLAGE /
Herkimer ( V )","High Priority System Upgrades and Eastern Mohawk Valley Regional
Trans Main Connection . Related to Project # 18897 . , Upgrade Storage ,
Upgrade Distribution System , New Inter - Connection","7,606","$17,498,670.00",125,"$1,407,959,898.00"
18897,Herkimer,"HERKIMER COUNTY
INDUSTRIAL DEV AGENCY
/ Herkimer County IDA","Eastern Mohawk Valley Regional Transmission Main . Related to
projects Nos . 18715 , 18716 , 18860 , 18563 , 18711. , New Transmission","22,000","$16,620,000.00",110,"$1,424,579,898.00"
18711,Herkimer,"EAST SCHUYLER WD /
Schuyler ( T )","New Distribution System and Eastern Mohawk Valley Regional Trans
Main Connection . Related to Project # 18897 . , New Transmission , New
Distribution System , New System Consolidation",816,"$7,391,280.00",105,"$1,431,971,178.00"
18716,Herkimer,"WEST HERKIMER WD EXT
NO . 1 / Herkimer ( T )","WD Ext 1 and Eastern Mohawk Valley Regional Trans Main
Connection . Related to Project # 18897 . , New Transmission , New
Distribution System , New System Consolidation",150,"$1,839,580.00",100,"$1,433,810,758.00"
18715,Herkimer,"FRANKFORT ( V ) WATER
WORKS / Frankfort ( V )","Distribution System Improvements and Eastern Mohawk Valley
Regional Trans Main Connection . Related to Project # 18897 . , New
Transmission , Upgrade Distribution System , New System
Consolidation","2,995","$8,667,450.00",90,"$1,442,478,208.00"
18872,Herkimer,"HERKIMER VILLAGE /
Herkimer ( V )","Phase 2 ( 2nd Priority ) Water System Improvements . , New Ground
Water Source , New Storage , Upgrade Distribution System","7,606","$20,597,940.00",85,"$1,463,076,148.00"
18345,Herkimer,"HERKIMER VILLAGE /
Herkimer ( V )","Replace Finished Water Transmission Main . Add UV disinfection at
WTP . , Upgrade Water Treatment Plant , Upgrade Transmission","7,606","$40,000.00",65,"$1,463,116,148.00"
18765,Herkimer,"FRANKFORT ( T ) / Frankfort
( T )","Center and Zolad Roads WD . , New Distribution System , New Water District",150,"$1,365,000.00",60,"$1,464,481,148.00"
17048,Herkimer,"DOLGEVILLE ( V ) PWS /
Dolgeville ( V )","Manheim Elevated Storage Tank . , New Storage","2,166","$5,830,000.00",55,"$1,470,311,148.00"
18834,Herkimer,"POLAND VILLAGE /
Polland ( V )","Well and Treatment Improvements . , Upgrade Other Expenses ,
Upgrade Ground Water Source , Upgrade Transmission , Upgrade
Pump Station , Upgrade Other ( OT )",463,"$1,400,000.00",40,"$1,471,711,148.00"
19261,Herkimer,"LITTLE FALLS CITY / Little
Falls ( C )","Distribution system improvements , WTP improvements . , Upgrade
Water Treatment Plant , Upgrade Distribution System","5,800","$43,466,000.00",40,"$1,515,177,148.00"
18453,Herkimer,"ILION ( V ) WATER WORKS /
Ilion ( V )","Replace Supplemental DE Filtration System , Upgrade Water Treatment Plant","8,610","$1,113,000.00",35,"$1,516,290,148.00"
18528,Jefferson,"PAMELIA WATER SYSTEM
PROJECT / Pamelia ( T )","Water system improvements and expansion . , Upgrade Storage ,
Upgrade Distribution System , New Inter - Connection , Extend System
Consolidation","2,000","$2,750,000.00",1165,"$1,519,040,148.00"
18418,Jefferson,"PHILADELPHIA VILLAGE /
Philadelphia ( V )","Upgrade Surface Water Source , New Storage , New Pump Station","1,800",$0.00,1140,"$1,519,040,148.00"
18537,Jefferson,"ORLEANS WATER
IMPROVEMENTS /","Consolidation of PWS w / violations and to serve contaminated private
wells . Related to DWSRF # 18096. , Extend Distribution System",450,$0.00,1135,"$1,519,040,148.00"
18173,Jefferson,"BROWNVILLE ( T ) /
Brownville ( T )","( T ) Brownville WD # 2 . , New Distribution System",424,$0.00,1095,"$1,519,040,148.00"
16339,Jefferson,"WELLESLEY ISLAND
WATER CORP . / Wellesley
Island Water Corp.","New Water Treatment Plant , New Surface Water Source",548,"$2,336,000.00",140,"$1,521,376,148.00"
19240,Jefferson,"WEST CARTHAGE
VILLAGE / West Carthage
( V )","New storage tanks , distribution & transmission improvements , WTP
improvements , Upgrade Water Treatment Plant , Upgrade
Transmission , New Storage , Upgrade Distribution System","2,200","$21,945,180.00",100,"$1,543,321,328.00"
18911,Jefferson,"LERAY TOWN WD 2 /
LeRay ( T )","Consolidated Water District Extension along NYS Rt . 11 and former
WD # 3 . Carey Well improvements , New Ground Water Source ,
Upgrade Distribution System , New Distribution System","2,500","$4,000,000.00",100,"$1,547,321,328.00"
19140,Jefferson,"WATERTOWN TOWN WD
4 / Watertown ( T )","System Water Looping to address disinfection byproducts and
consolidate Northland Estates and Pine Meadows PWS , Upgrade
Distribution System",750,"$10,135,200.00",95,"$1,557,456,528.00"
18097,Jefferson,"CLAYTON VILLAGE /
Clayton ( V )","Upgrade Water Treatment Plant , Upgrade Storage , Upgrade Pump
Station , Upgrade Distribution System","2,100",$0.00,90,"$1,557,456,528.00"
19154,Jefferson,"WATERTOWN , CITY OF /
Watertown ( C )","WTP Upgrades to address DBPS , Upgrade Water Treatment Plant","27,861","$33,900,000.00",90,"$1,591,356,528.00"
18006,Jefferson,"WATER DISTRICT NO . 6 /
Hounsfield ( T )","Upgrade Transmission , Upgrade Distribution System , Extend
Distribution System",450,"$7,715,000.00",85,"$1,599,071,528.00"
18425,Jefferson,WD # 7 / Hounsfield ( T ),"WD # 7 . , New Distribution System",40,$0.00,80,"$1,599,071,528.00"
19119,Jefferson,"PHILADELPHIA ( T ) /
Philadelphia ( T )","New Proposed Water System , New Distribution System",183,"$6,787,746.00",70,"$1,605,859,274.00"
18936,Jefferson,"ALEXANDRIA VILLAGE /
Alexandria Bay ( V )","WTP upgrades and water main replacement . , Upgrade Water
Treatment Plant , Upgrade Distribution System","1,900","$13,103,000.00",70,"$1,618,962,274.00"
18876,Jefferson,"TOWN OF LYME WATER
DISTRICT NO . 6 / Lyme ( T )","New Distribution System - Three Mile Bay / Chaumont / Cape Vincent
Areas . , New Distribution System",150,"$6,413,810.00",65,"$1,625,376,084.00"
18180,Jefferson,"CAPE VINCENT ( T ) WD # 7
/ Cape Vincent ( T )","New Water District # 7 , New Water District",495,"$8,334,000.00",65,"$1,633,710,084.00"
17301,Jefferson,"ADAMS VILLAGE / Adams
( \ )","Upgrade Water Treatment Plant , Upgrade Storage , Upgrade Distribution System","2,000",$0.00,55,"$1,633,710,084.00"
18126,Jefferson,"BROWNVILLE VILLAGE /
Brownville ( V )","Replace Severely Aged Distribution Mains and Tank . , New Storage ,
Upgrade Distribution System","1,200","$18,948,500.00",55,"$1,652,658,584.00"
18232,Jefferson,"ADAMS VILLAGE / Adams
( M )","Upgrade Ground Water Source , Upgrade Distribution System","2,000",$0.00,55,"$1,652,658,584.00"
18853,Jefferson,"HOUNSFIELD WSA # 8 /
Hounsfield ( T )","Water Service Area # 8 to serve an area currently on individual wells . ,
New Water District",460,"$10,931,000.00",50,"$1,663,589,584.00"
17058,Jefferson,"HOUNSFIELD WD 2 /
Hounsfield ( T )",Extend Distribution System,500,"$794,439.00",50,"$1,664,384,023.00"
19126,Jefferson,"DANC / Dev Authority of
North Country","Army Water Line Replacement - Phase 1 , Upgrade Transmission","40,237","$9,373,000.00",45,"$1,673,757,023.00"
18927,Jefferson,"ADAMS VILLAGE / Adams
( )","Water main and water meter replacement , Upgrade Distribution
System","2,000","$5,106,000.00",45,"$1,678,863,023.00"
18175,Jefferson,"SACKETS HARBOR
VILLAGE / Sackets Harbor
( )","Replace existing intake piping and crib . , Upgrade Surface Water
Source , Upgrade Transmission","1,300",$0.00,45,"$1,678,863,023.00"
18052,Jefferson,"CAPE VINCENT VILLAGE /
Cape Vincent ( V )",Upgrade Water Treatment Plant,"1,500","$3,200,000.00",45,"$1,682,063,023.00"
18627,Jefferson,"WATERTOWN , CITY OF /
Watertown ( C )","Upgrades to soda ash system and replacement of filter backwash tank .
Upgrade Water Treatment Plant","27,861","$1,700,000.00",40,"$1,683,763,023.00"
18884,Jefferson,"TOWN OF HOUNSFIELD
WATER SYSTEM /
Hounsfield ( T )","NYS Rt 3 Corridor Upgrades . , New Transmission , Upgrade
Transmission , Upgrade Storage , Upgrade Distribution System","1,250","$5,610,500.00",40,"$1,689,373,523.00"
18329,Jefferson,"CHAUMONT VILLAGE /
Chaumont ( V )","Upgrade Transmission , Upgrade Distribution System",625,$0.00,35,"$1,689,373,523.00"
18236,Jefferson,"LERAY TOWN WD 2 / Leray
( T )","Upgrade Ground Water Source , New Storage","2,500",$0.00,30,"$1,689,373,523.00"
19143,Jefferson,"CLAYTON VILLAGE /
Clayton ( V )","Water Main Replacement and New Raw Water Intake Line and
Screen , Upgrade Distribution System","2,100","$8,481,020.00",20,"$1,697,854,543.00"
19159,Jefferson,"SACKETS HARBOR
VILLAGE / Sackets Harbor
M","E. Main St. , E. Washington St. , etc. Watermain Replacement ,
Upgrade Distribution System","1,300","$2,458,000.00",15,"$1,700,312,543.00"
16549,Jefferson,"NORTHLAND ESTATES /
Northland Park Inc.",New Storage,540,"$82,416.00",15,"$1,700,394,959.00"
18021,Jefferson,"WATER DISTRICT # 3 /
Ellisburg ( T )","Serve private contaminated / poor yielding wells . , Extend Distribution
System",200,"$9,000,000.00",10,"$1,709,394,959.00"
18548,Lewis,"HAMLET OF GLENFIELD
WATER DISTRIBUTION S / Martinsburg ( T )","Improvements to the existing water system including replacing the
original water distribution system . , Upgrade Distribution System",231,$0.00,1080,"$1,709,394,959.00"
18745,Lewis,"LOWVILLE VILLAGE /
Lowville ( V )","Groundwater Project Phase 1. , Upgrade Water Treatment Plant , New
Ground Water Source , New Pump Station","4,000","$5,560,000.00",80,"$1,714,954,959.00"
18658,Lewis,"TOWN OF LOWVILLE WD
1 / Lowville ( T )","DBP related system improvements , Upgrade Water Treatment Plant",350,"$1,500,000.00",80,"$1,716,454,959.00"
18825,Lewis,"COPENHAGEN VILLAGE /
Copenhagen ( V )","Woodbattle Road WTP and wells Rehabilitation . , Upgrade Water
Treatment Plant",850,"$1,134,000.00",60,"$1,717,588,959.00"
18579,Lewis,"TOWN OF DIANA WATER
DISTRICT / Diana ( T )","Upgrade Wells 1 and 3 , Distribution Looping and New Water Meters . ,
Upgrade Ground Water Source , Upgrade Distribution System",618,"$4,916,800.00",60,"$1,722,505,759.00"
18756,Lewis,"CONSTABLEVILLE
VILLAGE / Constableville
( )","Replace watermain on N. Main street , Main street , W. Main street ,
Schuyler street , James street , John street , and High street . , Upgrade
Distribution System",310,"$4,102,000.00",45,"$1,726,607,759.00"
18735,Lewis,"CASTORLAND VILLAGE /
Castorland ( V )","Denmark Storage Tank Replacement . , New Storage",320,"$793,000.00",45,"$1,727,400,759.00"
16683,Lewis,"CONSTABLEVILLE
VILLAGE / Constableville
( )",Upgrade Transmission,310,"$1,575,000.00",35,"$1,728,975,759.00"
18746,Livingston,"LIVINGSTON COUNTY
WSA / Livingston County
WSA","Disinfection byproduct removal , new meters and SCADA , storage tank
replacement , system consolidation . , Upgrade Storage , Upgrade
Distribution System , New System Consolidation","7,975","$1,500,000.00",1105,"$1,730,475,759.00"
19225,Livingston,"LIVINGSTON COUNTY
WSA / Livingston County
WSA","Leicester / York Water Supply ; Expansion to Communities Impacted by
AKZO Salt Mine , Extend Distribution System","3,100","$51,345,500.00",100,"$1,781,821,259.00"
