Project  Number2,District  Number,Project  Type,Applicant,Project Title /  Description,Class,Consolidation  Project,Population,Service  Connections,Degree of  Disadvantaged,Estimated/  Requested Project  Costs
1910160-010C4,7,Construction,Tract 349 Mutual Water Company,Tract 349 Water Quality Improvement  Project,E,No,"8,500",920,SDAC,"$7,381,950 "
3610053-001C,13,Construction,Western Heights Water Company,Lead and Copper Service Lateral  Replacement,E,No,"7,120","2,225",Pending,"$5,300,000 "
4510001-001C,2,Construction,"Anderson, City of",Anderson Heights Reservoir Replacement  and Pressure Regulating Valve (PRV)  Station Project,F,No,"10,050","3,077",SDAC,"$2,250,000 "
0510003-003C,10,Construction,"Angels, City of",City of Angels Water Treatment Plant  Improvements,F,No,"3,441","1,773",Pending,"$6,000,000 "
3301180-001C4,20,Construction,"Anza Mutual Water Co., Inc.",Anza Mutual Water System Improvements  Project,F,No,200,82,SDAC,"$5,000,000 "
3600009-001C,13,Construction,Apple Valley Heights County Water  District,Storage Tanks and Transmission Pipeline  Improvements Project,F,No,977,286,SDAC,"$3,350,000 "
1210001-001C,1,Construction,"Arcata, City of",Steel Water Line Replacement,F,No,"16,651","5,278",SDAC,"$4,945,963 "
1910108-001C,15,Construction,"Bell Gardens, City of",Bell Gardens Water Reservoir Construction  Project,F,No,"5,247","1,590",SDAC,"$4,205,000 "
0410001-002C4,21,Construction,"Biggs, City of",Storage Tank and Pump Station,F,No,"1,805",650,DAC,"$5,000,000 "
4400751-002C,5,Construction,Bonny Doon Union Elementary  School District,Bonny Doon School Water System Storage  Tank Replacement,F,No,165,9,Pending,"$1,500,000 "
4510016-003C4,2,Construction,Clear Creek Community Services  District,Clear Creek Community Services District  Backwash Ponds Repair Project,F,No,"8,000","2,645",DAC,"$3,060,633 "
1710012-001C,3,Construction,Cobb Area County Water District,Pine View Heights Distribution System  Improvements,F,No,"2,500",708,Pending,"$2,000,000 "
1710012-003C,3,Construction,Cobb Area County Water District,Mount Hanna Distribution System  Improvements,F,No,"2,500",708,Pending,"$2,000,000 "
5410002-002C4,24,Construction,"Dinuba, City of",Well #21 Project,F,No,"25,759","6,311",SDAC,"$950,000 "
2310001-002C,3,Construction,"Fort Bragg, City of",Raw Water Line Replacement Project,F,No,"6,963","2,791",SDAC,"$12,337,250 "
4710003-001C,1,Construction,"Fort Jones, Town of",Water Meter Replacement,F,No,675,342,SDAC,"$883,202 "
5602108-001C,6,Construction,Garden Acres Mutual Water Co,SWAN Tank B Inlet/Outlet Modernization  Upgrade,F,No,795,110,Pending,"$209,036 "
2910001-004C,21,Construction,"Grass Valley, City of",Water Distribution System Pipeline Repair  and Replacement,F,No,"5,600","2,328",SDAC,"$5,000,000 "
2910001-005C,21,Construction,"Grass Valley, City of",Water Treatment Plant Improvement  Project,F,No,"5,600","2,328",SDAC,"$5,000,000 "
2910001-006C,21,Construction,"Grass Valley, City of","Water Service, Earthquake Preparation,  and Control Project",F,No,"5,600","2,328",SDAC,"$5,000,000 "
2710008-002C,5,Construction,"Greenfield, City of","Elm Avenue Well, Booster Station,  Reservoir, and Connecting Distribution  Pipeline",F,No,"17,547","3,469",Pending,"$5,500,000 "
5510009-002C4,11,Construction,Groveland Community Services  District,GCSD Water System Improvements,F,No,"3,147","3,230",Pending,"$5,352,675 "
4700513-005C,1,Construction,Hornbrook Community Services  District,Hornbrook CSD Improvement Project,F,No,280,141,Pending,"$8,880,000 "
1710006-006C,3,Construction,Konocti County Water District,Cache Creek Mobile Home Estates Water  Service Connection Project,F,No,"4,986","1,733",SDAC,"$812,713 "
2800526-006C,3,Construction,Lake Berryessa Resort Improvement  District,Water Tank No. 3 Replacement and  Distribution Improvements,F,No,500,188,DAC,"$1,753,858 "
1710022-009C,3,Construction,"Lake, County of (CSA 20)",Soda Bay Water Treatment Plant  Improvements,F,No,"1,342",596,SDAC,"$5,000,000 "
1710010-002C,3,Construction,Lower Lake County Water District,Lower Lake/Konocti/Highlands Emergency  Interties,F,No,"1,902",851,SDAC,"$1,200,000 "
1210017-001C4,1,Construction,Manila Community Services District,Manila CSD Water Infrastructure  Improvement Project,F,No,"1,000",343,SDAC,"$3,504,000 "
4900551-001C,18,Construction,Melita Heights Mutual Water  Company,Water Tank Replacement,F,No,60,19,Pending,"$180,000 "
4710008-003C,1,Construction,"Mt. Shasta, City of",Water Distribution System Improvements,F,No,"3,642","1,675",SDAC,"$6,125,000 "
3610032-005C,13,Construction,"Needles, City of",New 1.5 MG Storage Tank,F,No,"3,631","1,832",SDAC,"$2,780,608 "
2310007-018C4,3,Construction,"North Gualala Water Company,  Incorporated",Parr Tank and Pipeline Improvement  Project,F,No,"2,630","1,068",DAC,"$1,440,000 "
3110001-001C,2,Construction,North Tahoe PUD - Main,Kings Beach Grid and Brockway Water  System Improvements,F,No,"5,000","3,294",non-DAC,"$14,000,000 "
1010023-004C,23,Construction,"Orange Cove, City of",Water Treatment Plant Improvements,F,No,"9,780","1,450",SDAC,"19,438,750"
1200701-001C4,1,Construction,Orick Community Services District,Water System Improvement Project,F,No,400,139,SDAC,"$1,246,220 "
1206002-001C,1,Construction,Palomino Estates M.W.C.,Palomino Estates Water System Upgrade  Project,F,No,64,19,SDAC,"$2,320,000 "
1000345-003C,23,Construction,Panoche Water District,Drinking Water Treatment Plant,F,No,27,15,Pending,"$9,340,000 "
0310005-003C,10,Construction,Pine Grove Community Services  District,Infrastructure Replacement,F,No,900,361,DAC,"$5,000,000 "
1210012-008C,1,Construction,"Rio Dell, City of",Water Distribution System Improvement  Project,F,No,"3,174","1,134",SDAC,"$9,672,770 "
0310006-002C4,10,Construction,River Pines Public Utility District,River Pines PUD Storage and Distribution  Rehab Project,F,No,510,210,SDAC,"$5,000,000 "
3600220-001C4,13,Construction,"San Bernardino, County of",CSA 42 Oro Grande Reservoir  Rehabilitation/Replacement Project,F,No,700,140,SDAC,"$1,244,112 "
1010029-002C,11,Construction,"Sanger, City of",City of Sanger Water Capacity Project,F,No,"25,404","5,971",DAC,"$4,000,000 "
4510013-005C,2,Construction,Shasta Community Services District,Shasta CSD Office Building Project,F,No,"2,320",708,DAC,"$3,105,000 "
4910028-001C,18,Construction,Sweetwater Springs Water District,Monte Rio Bridge Water Main Attachment,F,No,"3,000","1,061",DAC,"$800,000 "
3110013-001C,2,Construction,Tahoe City Public Utility District,Tahoe Cedars Interconnection and  Distribution Improvements,F,No,"2,775","1,114",non-DAC,"$22,000,000 "
3110043-001C,2,Construction,Tahoe City Public Utility District,Madden Creek Interconnection and  Distribution Improvements,F,No,518,175,non-DAC,"$13,000,000 "
5510012-001C,11,Construction,Tuolumne Utilities District,Sierra Pines Water Treatment Facility,F,No,"3,446","1,460",Pending,"$30,000,000 "
0510001-002C4,10,Construction,Union Public Utility District,Treatment Plant Backwash/Recycling and  Storage Tank Aeration Project,F,No,"4,300","1,521",Pending,"$1,377,000 "
1210015-002C4,6,Construction,Willow Creek Community Services  District,Brannan Mountain Water Storage Tank,F,No,"1,030",344,DAC,"$1,907,550 "
,,,Construction Projects eligible for grant/PF and Consolidation Projects=,,,185,,,Subtotal =,"$872,034,498 "
"Planning Projects - Sort Order: Consolidation Project, Applicant, Project Number",,,,,,,,,,
1995015-001P,7,Planning,Palmdale Water District,Alpine Mobile Home Park Consolidation  and Palmdale Water District Sierra Highway  Reservoir Project,C,Yes,175,53,SDAC,"$475,000 "
3110005-009P,2,Planning,Placer County Water Agency,Heather Glen Consolidation Planning  Project,C,Yes,250,86,Pending,"$500,000 "
0600005-005P,21,Planning,"Colusa, County of",CSA1/CSA2 Consolidation project,D,Yes,200,66,Pending,"$433,600 "
0710007-002P,4,Planning,Diablo Water District,Willow Mobile Home Park Consolidation,F,Yes,"33,250","9,907",Pending,"$450,000 "
0710007-003P,4,Planning,Diablo Water District,Bethel Island Consolidation,F,Yes,"40,144","12,054",Pending,TBD
5301002-005P,1,Planning,Lewiston Community Services District,Bud Fine MWC and Lewiston CSD  Consolidation Project,F,Yes,150,37,Pending,"$233,000 "
5000072-001P,10,Planning,Mulberry Mobile Home Park,Water System Metering and Consolidation,F,Yes,49,42,SDAC,"$243,000 "
5200008-001P,21,Planning,Breese Mutual Water Company,Breese Subdivision 2 Consolidation,TBD,Yes,90,33,Pending,TBD
5500040-001P,11,Planning,Blue Bell Valley Mutual Water  Company,The Blue Bell Valley Nitrate Removal &  Water System Improvements,A,No,230,90,Pending,"$49,000 "
5700623-001P,9,Planning,Davis Joint Unified School District,Fairfield Elementary School Improvements  to Water Quality,A,No,65,1,SDAC,"$500,000 "
2701040-001P,5,Planning,"Hacienda Investments, Inc.",Hacienda Apartments (aka McCoy Rd WS  #05),A,No,72,24,Pending,"$160,000 "
2000589-001P4,11,Planning,"Legacy Development, LLC",MPMH Well Replacement,A,No,60,32,SDAC,"$500,000 "
2702317-001P,5,Planning,Mission Union Elementary School  District,Long Term Solution for nitrate  contamination,A,No,100,1,Pending,TBD
5304502-001P,1,Planning,"Salyer Heights Water Supply, Inc.",Salyer Heights New Treatment Plant &  Water Tanks Project,A,No,82,42,SDAC,"$159,500 "
5000295-001P,10,Planning,Shiloh School District,Shiloh School Planning Project,A,No,105,7,Pending,"$425,000 "
1100616-001P,21,Planning,Elk Creek Community Services  District,Elk Creek CSD-Water Treatment Plant  Improvements,B,No,300,90,DAC,"$180,000 "
1200553-001P,1,Planning,Weott Community Services District,Replacement of Raw and Treated Water  Transmission Pipelines,B,No,364,150,Pending,"$455,783 "
0600121-001P4,NA,Planning,Big Sandy Rancheria of Western  Mono Indians of California,Big Sandy Rancheria Water System Capital  Improvement,C,No,150,55,DAC,"$213,607 "
0600122-001P,NA,Planning,Bishop Paiute-Shoshone Tribe,Bishop Paiute Tribe Water System  Improvements,C,No,"2,150",748,SDAC,"$233,932 "
5800924-001P,88,Planning,Camptonville Comm. Serv. Dist,Water System Resiliency Project,C,No,180,72,SDAC,"$621,202 "
1010039-004P,23,Planning,Caruthers Community Services  District,"Well 3 & 5 GAC/1,2,3-TCP Treatment",C,No,"2,103",672,SDAC,"$645,000 "
1000206-002P4,23,Planning,Central Unified School District,Houghton-Kearney K-8 School Well Project,C,No,310,94,SDAC,"$722,000 "
5000109-001P,10,Planning,Ceres Unified School District,Westport Elementary - Ceres Unified  School District Water Quality Project,C,No,100,1,SDAC,"$500,000 "
5410001-004P,24,Planning,Cutler Public Utility District,Water Supply Improvements Project,C,No,"6,200","1,218",SDAC,"$406,900 "
5410001-005P,24,Planning,Cutler Public Utility District,Surface Water Treatment Plant Project,C,No,"6,200","1,218",Pending,"$500,000 "
2410006-001P,11,Planning,Delhi County Water District,Drinking Water Planning Project,C,No,"5,548","2,253",DAC,"$493,000 "
5410003-001P4,24,Planning,"Exeter, City of",Drinking Water System Improvement  Project,C,No,"10,334","3,317",Pending,"$617,683 "
5000273-002P4,10,Planning,Gratton School District,Gratton Elementary School Drinking Water  Planning Project,C,No,110,2,SDAC,"$280,470 "
0410004-003P,21,Planning,"Gridley, City of",Wilson Well Assessment,C,No,"6,403","2,077",DAC,"$278,605 "
3610017-001P4,13,Planning,Havasu Water Company,Havasu Water Company Improvements  Plan,C,No,350,211,SDAC,"$442,200 "
1010044-009P,23,Planning,"Huron, City of",City of Huron New Groundwater Well and  Miscellaneous Potable Water System  Improvements,C,No,"7,306",862,SDAC,"$280,000 "
5410019-001P,24,Planning,Ivanhoe Public Utility District,Well No. 6 Improvements,C,No,"4,474","1,113",SDAC,"$382,180 "
0800548-001P,1,Planning,Klamath Community Services District,Water Storage Tank Replacement and  Infrastructure Improvement,C,No,100,41,SDAC,"$500,000 "
5410017-004P4,12,Planning,London Community Services District,"1,2,3-TCP Compliance Improvements",C,No,"1,638",432,SDAC,"$500,000 "
1710010-001P,3,Planning,Lower Lake County Water District,Lower Lake CWD - Source Capacity &  Treatment Plant,C,No,"1,902",851,SDAC,"$500,000 "
2010008-005P,11,Planning,"Madera, County of (MD10A - Madera  Ranchos)",MD10A New Wells Improvement Project,C,No,"2,255",922,non-DAC,"$2,990,712 "
5510026-001P,11,Planning,Phoenix Lake Estates Country Club  Mutual Water Company,Phoenix Lake Estates Country Club Mutual  Water Company Water Supply,C,No,870,351,SDAC,"$500,000 "
5410009-001P,12,Planning,Pixley Public Utilities District,Well 2A/3A/4A/5 TCP Study,C,No,"2,793",800,SDAC,"$469,200 "
1210011-001P,1,Planning,Redway Community Services District,Drinking Water Improvements Planning  Project,C,No,"1,500",638,DAC,"$485,790 "
5110007-001P4,21,Planning,Sutter Community Services District,Sutter CSD Water Storage Reservoir,C,No,"2,885","1,025",non-DAC,"$276,000 "
3700958-001P,14,Planning,The Los Tules Mutual Water  Company,Los Tules Mutual Water Company  Infrastructure and Fire Safety Project,C,No,140,100,SDAC,"$30,000 "
3301045-001P,20,Planning,Blythe Mobile Home Estates,Water Filtration System for Iron and  Manganese Project,D,No,35,24,SDAC,"$459,000 "
3200509-001P,2,Planning,Clio Public Utility District,Clio Public Utility District Meter Project,D,No,74,49,Pending,"$500,000 "
4210009-001P4,6,Planning,Cuyama Community Services District,Cuyama CSD Water System Capital  Improvements,D,No,820,253,DAC,"$570,000 "
1210019-001P,1,Planning,Hydesville County Water District,Hydesville County Water District Water  System Improvements,D,No,"1,200",394,DAC,"$679,677 "
3900805-001P,10,Planning,"Morepark Properties, LP",Morehead Park CWS Meter Project,D,No,300,108,non-DAC,"$50,000 "
3700117-001P,14,Planning,Mountain Empire Unified School  District,Mountain Empire High School Water  Facility Reconstruction Project,D,No,"1,000",11,SDAC,"$496,000 "
3700963-001P,14,Planning,Mountain Empire Unified School  District,Potrero Elementary School Water Facility  Reconstruction Project,D,No,300,19,SDAC,"$480,000 "
4700531-005P4,1,Planning,Tennant Community Services District,Water Distribution Replacement Project,D,No,94,94,DAC,"$253,000 "
3702354-001P4,14,Planning,Warner Springs Estates Homeowners  Association,"Warner Springs Tank, Wells, and Meters  Improvement Project",D,No,340,287,SDAC,"$365,500 "
1010021-002P,23,Planning,"Mendota, City of",Water Supply Planning Project,E,No,"8,656","1,680",SDAC,"$500,000 "
3600306-005P4,13,Planning,Thunderbird CWD,"Thunderbird CWD Planning for Water  Production Facility, Well 5",E,No,720,332,DAC,"$660,000 "
1500371-001P,19,Planning,Union Pacific Railroad Company,Keene Water System - New Water Supply  and System Modifications,E,No,147,42,SDAC,"$500,000 "
5200014-001P,21,Planning,Wilson Acres Mutual Water Company,Wilson Acres MWC Infrastructure  Rehabilitation Project,E,No,80,29,DAC,"$195,000 "
2210925-001P,11,Planning,Yosemite Terrace Estates LLC,Yosemite Terrace Estates-Iron &  Manganese Mitigation & Source Capacity  Improvements,E,No,40,52,SDAC,"$526,000 "
3301491-003P,20,Planning,Alpine Village,Planning for Uranium treatment and Meter  Installation,F,No,130,33,DAC,"$221,200 "
2510001-001P,5,Planning,"Alturas, City of",City of Alturas Drinking Water Improvement  Project,F,No,"2,600","1,470",Pending,"$500,000 "
1200592-001P,1,Planning,Big Lagoon Community Services  District,Big Lagoon Pipeline Replacement Serving  the School District,F,No,140,35,SDAC,"$54,600 "
1700561-001P,3,Planning,"Blue Lakes Improvement Club Water,  Inc.",Blue Lakes Water System Improvements,F,No,150,43,SDAC,"$90,000 "
1200587-003P,1,Planning,Briceland Community Services District,Briceland Water Sytem Rehabilitation,F,No,75,27,DAC,"$280,000 "
4510003-002P,2,Planning,Burney Water District,Burney Water District Water Storage  Planning Project,F,No,"3,000","1,377",SDAC,"$380,000 "
0510002-004P,10,Planning,Calaveras Public Utilities District,Jeff Davis Water Treatment Plant  Improvements Project,F,No,"4,758","1,903",DAC,"$483,000 "
2510002-001P,1,Planning,Cedarville County Water District,Cedarville Capital Improvements,F,No,500,265,SDAC,"$490,000 "
4510016-004P4,2,Planning,Clear Creek Community Services  District,Distribution Pipe Replacement,F,No,"8,000","2,645",SDAC,"$500,000 "
4400571-006P,5,Planning,Davenport County Sanitation District,Davenport Diversion Facility Upgrade  Feasibility Study,F,No,350,130,SDAC,"$475,000 "
1000221-002P,23,Planning,Easton Community Water System  Authority,Easton Authority Water Connection Project,F,No,"1,150",23,SDAC,"$102,055 "
4510008-002P,2,Planning,Fall River Valley Community Services  District,Water System Improvements,F,No,"1,600",490,Pending,"$2,016,000 "
1210008-007P4,1,Planning,Garberville Sanitary District,Meadows Aerial Waterline Reconstruction  Project,F,No,"1,500",420,SDAC,"$300,000 "
0410004-002P,21,Planning,"Gridley, City of",Waterline Replacement Project,F,No,"6,403","2,077",SDAC,"$560,914 "
0910006-001P,9,Planning,Grizzly Flats Community Services  District,Water System Improvement Planning  Project,F,No,"1,300",609,DAC,"$385,000 "
3210010-001P,2,Planning,Hamilton Branch Community Services  District,Capacity Development & Associated  Infrastructure Improvements,F,No,"1,624",495,Pending,"$775,000 "
4500023-001P,2,Planning,Hat Creek Highlands Mutual Water  Company,Hat Creek Highlands Mutual Water  Company Application for Planning and  Design Financing,F,No,75,43,Pending,TBD
3100038-001P,2,Planning,Heather Glen Community Services  District,Water Treatment Plant Storage and  Reliability Project,F,No,250,86,SDAC,"$434,350 "
1710003-001P,3,Planning,Highlands Water Company,Highlands Water Treatment Plant and  Distribution Improvements,F,No,"5,300","2,303",SDAC,"$500,000 "
1610007-003P,12,Planning,Home Garden Community Services  District,Home Garden System Deficiencies  Planning Project,F,No,"1,750",502,SDAC,"$350,000 "
4700513-004P,1,Planning,Hornbrook Community Services  District,Hornbrook Water Treatment Plant  Rehabilitation,F,No,280,141,SDAC,"$497,000 "
0310001-001P4,10,Planning,"Jackson, City of",Martell Reservoir Replacement,F,No,"5,223","2,089",DAC,"$474,000 "
3710011-001P4,14,Planning,Jacumba Community Services District,Jacumba CSD Distribution System  Replacement Project,F,No,500,221,SDAC,"$228,820 "
5304209-001P4,1,Planning,Junction City Elementary School  District,Junction City School Water System  Evaluation and Source Improvement  Project,F,No,100,1,DAC,"$138,000 "
3610045-001P,13,Planning,Lake Arrowhead Community Services  District,Rimforest Planning,F,No,256,298,SDAC,"$372,000 "
1710018-002P4,3,Planning,Lake County Special Districts,Spring Valley Distribution System Upgrades,F,No,"1,018",420,DAC,"$387,003 "
5510008-014P,11,Planning,Lake Don Pedro Community Services  District,Surface Water Reliability and Water  Treatment Plant Modernization,F,No,"3,600","1,442",Pending,"$500,000 "
2410011-001P,11,Planning,Le Grand Community Services District,Le Grand Community Services District Well  Site Seven,F,No,"1,700",415,SDAC,"$297,600 "
1910084-001P,16,Planning,Maywood Mutual Water Company #1,Water Quality Improvement Project,F,No,"5,500","1,161",SDAC,"$485,000 "
4710006-001P,1,Planning,McCloud Community Services District,McCloud CSD Distribution System  Improvements Project,F,No,"1,020",728,Pending,"$500,011 "
1200707-001P4,1,Planning,Miranda Community services District,MCSD Tank Replacement,F,No,600,143,SDAC,"$185,000 "
5500243-001P,11,Planning,"OLA Rambling Hills, LLC",Water Source Planning,F,No,78,39,SDAC,"$500,000 "
1010023-006P4,23,Planning,"Orange Cove, City of",City of Orange Cove Water Supply  Reliability Project,F,No,"8,500","1,450",SDAC,"$500,000 "
1995015-002P,7,Planning,Palmdale Water District,Palmdale Water District Sierra Highway  Reservoir Project,F,No,"115,525","26,797",non-DAC,"$475,000 "
4110020-001P,17,Planning,Palo Alto Park MWC,PAPMWC Iron and Manganese Removal  System,F,No,"2,500",652,SDAC,"$500,000 "
0900308-001P,9,Planning,"Quintette Service Corporation, Inc",Quintette Service Corporation Infrastructure  Enhancement Project,F,No,100,41,DAC,"$694,914 "
1200518-001P,1,Planning,Riverside Community Services District,Riverside CSD Backup Well,F,No,293,98,DAC,"$100,000 "
4010028-001P4,6,Planning,"San Luis Obispo, County of",Shandon (CSA 16) - Water System  Improvement Project,F,No,"1,030",344,SDAC,"$622,358 "
1210010-001P,1,Planning,Scotia Community Services District,Scotia Water Treatment Facility  Replacement,F,No,"1,000",309,SDAC,"$500,000 "
4500317-001P,2,Planning,"Shasta, County of",Shasta County CSA#11 - French Gulch  Modernization,F,No,185,100,SDAC,"$455,000 "
0810002-001P4,1,Planning,Smith River Community Services  District,Smith River Infrastructure Rehabilitation  Project,F,No,"2,568",508,SDAC,"$455,000 "
3610051-001P,13,Planning,Valley of Enchantment Mutual Water  Company,"Infrastructure Replacements, tanks,  services lines, auto metering systems",F,No,"1,815",823,DAC,"$500,000 "
0510010-001P,10,Planning,Valley Springs Public Utility District,Distribution System Improvement Project,F,No,900,276,Pending,"$620,000 "
2900523-003P,21,Planning,Washington Water District,Water System Improvements,F,No,250,130,SDAC,"$499,120 "
5310001-012P4,1,Planning,Weaverville Community Services  District,East Weaver WTP Construction Project,TBD,No,"3,554","1,577",SDAC,"$733,000 "
Planning Projects =,,,,,,94,Subtotal =,,,"$41,695,696 "
Total Comprehensive List Projects =,,,,,,328,Total =,,,"$2,889,229,062 "
