Project Number,Pts*,Facility,County,PWS ID#,Pop,Estimated Project Cost,Approved Loan Amount,DAC*,Term (Yrs),Loan Type,Interest Rate,Project Description,Estimated Project Cost
200141D-T,10,"Hayden, Town of",Routt,CO0154333,"2,000","$1,043,400 ","$872,400 ",Y,20,DL,1.50%,Improvement/Expansion of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water  Supply Facilities; Water Meters; Water Rights,
200160D,10,High View Water District,Jefferson,CO0130344,"2,600","$3,000,000 ",,,,,,Improvement/Expansion of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Meters,
220210D,10,Holland Hills Metropolitan District,Pitkin,CO0149352,400,"$150,000 ",,N,,,,Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities,
141290D,10,"Hotchkiss, Town of",Delta,CO0115352,"1,500","$10,026,000 ",,,,,,New Water Treatment Facilities; Improvement/Expansion  of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities; Water Supply Facilities; Water  Rights; Source Water Protection Plan; Green  Infrastructure,
141310D,10,"Idaho Springs, City of",Clear Creek,CO0110020,"9,390","$15,000,000 ",,Y,,,,Improvement/Expansion of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water  Supply Facilities; Water Meters; Source Water Protection  Plan; Green Infrastructure,
020181D-Q,10,Idledale Water and Sanitation District,Jefferson,CO0130055,345,"$2,401,000 ",,Y,,,,New Water Treatment Facilities; Improvement/Expansion  of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines;  Water Supply Facilities; Water Meters; Water Rights,
141330D,10,"Iliff, Town of",Logan,CO0138015,260,"$125,810,000 ",,,,,,Improvement/Expansion of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water  Supply Facilities; Water Meters,
210140D,10,Indian Hills Water District,Jefferson,CO0130065,"1,300","$13,919,800 ",,N,,,,Improvement/Expansion of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water  Supply Facilities,
210150D,10,"Johnstown, Town of",Weld,CO0162418,"16,974","$120,000,000 ",,,,,,New Water Treatment Facilities; Improvement/Expansion  of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities; Green Infrastructure,
141410D,10,"La Junta, City of",Otero,CO0145420,"8,200","$32,000,000 ",,Y,,,,Improvement/Expansion of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water  Supply Facilities; Water Meters; Source Water Protection  Plan,
141470D,10,"Lake City, Town of",Hinsdale,CO0127467,"2,500","$3,200,000 ",,Y,,,,Improvement/Expansion of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water  Supply Facilities; Water Meters; Water Rights; Source  Water Protection Plan,
141491D-Q,10,Lake Durango Water Authority,La Plata,CO0134530,"4,000","$156,650,000 ",,N,,,,New Water Treatment Facilities; Improvement/Expansion  of Water Treatment Facilities; Connection to a New or  Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities; Water Supply Facilities; Water  Meters; Water Rights; Source Water Protection Plan;Green Infrastructure New Water Treatment Facilities; Improvement/Expansion,
141581D-Q,10,"Larkspur, Town of",Douglas,CO0118030,207,"$885,000 ",,Y,,,,of Water Treatment Facilities; Consolidation of Water  Treatment Facilities; Connection to a New or Existing  Water Treatment Facility; Construction or Rehabilitation  of Distribution and/or Transmission Lines; Water StorageFacilities; Water Supply Facilities; Water Meters; Water  Rights; Source Water Protection Plan; Green  Infrastructure,
160290D,10,Lincoln County,Lincoln,Unknown,"5,675","$920,000 ",,,,,,New Water Treatment Facilities; Improvement/Expansion  of Water Treatment Facilities; Consolidation of Water  Treatment Facilities; Connection to a New or Existing  Water Treatment Facility; Construction or Rehabilitation  of Distribution and/or Transmission Lines; Water StorageFacilities; Water Supply Facilities; Water Meters; Water  Rights; Source Water Protection Plan; Green  Infrastructure,
141650D,10,Lookout Mountain Water District,Jefferson,CO0110026,"1,300","$27,850,000 ",,N,,,,Improvement/Expansion of Water Treatment Facilities;  Consolidation of Water Treatment Facilities; Construction  or Rehabilitation of Distribution and/or Transmission  Lines; Water Storage Facilities; Water Supply Facilities;  Water Meters; Source Water Protection Plan; Green  Infrastructure,
220260D,10,"Lowell Whiteman School, Inc. dba Steamboat  Mountain School",Routt,CO0254842,200,"$225,000 ",,N,,,,Improvement/Expansion of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; WaterSupply Facilities,
030070D,10,Meadow Mountain Water Supply Company,Boulder,CO0207504,80,"$3,802,960 ",,,,,,Improvement/Expansion of Water Treatment Facilities;  Consolidation of Water Treatment Facilities; Connection  to a New or Existing Water Treatment Facility;  Construction or Rehabilitation of Distribution and/or  Transmission Lines;  Water Supply Facilities,
230300D,10,Meridian Metropolitan District,Douglas,CO0218015,"25,000","$33,250,000 ",,,,,,New Water Treatment Facilities; Improvement/Expansion  of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities; Water Supply Facilities; Water  Meters,
220280D,10,Meridian Service Metropolitan District,El Paso,CO0121455,"9,300","$24,835,000 ",,N,,,,Improvement/Expansion of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Supply Facilities,
141751D-Q,10,Mesa Water and Sanitation District,Mesa,CO0139505,170,"$1,425,000 ",,N,,,,Improvement/Expansion of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water  Supply Facilities; Water Meters,
141781D-T,10,"Minturn, Town of",Eagle,CO0119510,"1,200","$2,800,000 ","$3,000,000 ",N,20,DL,2.25%,New Water Treatment Facilities; Improvement/Expansion  of Water Treatment Facilities; Connection to a New or  Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities; Water Supply Facilities; WaterMeters; Water Rights New Water Treatment Facilities; Improvement/Expansion,
141782D-B,10,"Minturn, Town of",Eagle,CO0119510,"1,200","$5,200,000 ",,N,,,,of Water Treatment Facilities; Connection to a New or  Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities; Water Supply Facilities; Water  Meters; Water Rights,
200220D,10,Mount Carbon Metropolitan District,Jefferson,Unknown,"1,500","$3,000,000 ",,,,,,Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water  Supply Facilities,
141870D,10,"Naturita, Town of",Montrose,CO0143533,540,"$2,200,000 ",,Y,,,,Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water  Meters,
230310D,10,"New Castle, Town of",Garfield,CO0123538,"5,024","$47,000,000 ",,,,,,New Water Treatment Facilities; Improvement/Expansion  of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities; Water Meters; Source Water  Protection Plan,
200240D,10,"New Raymer, Town of",Weld,CO0162666,73,"$805,000 ",,,,,,New Water Treatment Facilities; Improvement/Expansion  of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities; Water Meters; Green  Infrastructure,
230340D,10,North Pecos Water and Sanitation District,Adams,CO0116553,"3,250","$20,000,000 ",,,,,,,
141951D-I,10,"Nucla, Town of",Montrose,CO0143559,694,"$2,723,617 ","$939,999 ",Y,30,DL,0.50%,Construction or Rehabilitation of Distribution and/or  Transmission Lines Construction or Rehabilitation of Distribution and/or,
141951D-I,10,"Nucla, Town of",Montrose,CO0143559,694,"$2,723,617 ","$1,000,000 ",Y,NA,DL/PF,NA,Transmission Lines; Water Meters; Green Infrastructure Improvement/Expansion of Water Treatment Facilities;,
141970D,10,"Oak Creek, Town of",Routt,CO0154566,914,"$22,620,000 ",,,,,,Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water  Supply Facilities; Water Meters; Source Water ProtectionPlan,
210251D-I,10,Park Water Company,Jefferson,CO0130115,100,"$875,000 ",,N,30,DL,2.25%,Improvement/Expansion of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Meters,
142130D,10,"Peetz, Town of",Logan,CO0138030,238,"$670,000 ",,N,,,,Improvement/Expansion of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; WaterSupply Facilities; Water Meters Improvement/Expansion of Water Treatment Facilities;,
190301D-T,10,Pine Brook Water District,Boulder,CO0107610,"1,180","$1,304,000 ",,N,,,,Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water  Supply Facilities; Source Water Protection Plan,
142211D-Q,10,Project 7 Water Authority,Montrose,CO0143621,"56,677","$67,200,000 ",,N,,,,New Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines;  Water Supply Facilities,
142220D,10,Pueblo Board of Water Works,Pueblo,CO0151500,"113,300","$194,060,000 ",,,,,,Improvement/Expansion of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; WaterSupply Facilities; Water Meters; Source Water Protection  Plan; Green Infrastructure,
230450D,10,Rio Blanco Water Conservancy District,Rio Blanco,CO0152670,500,"$1,625,000 ",,,,,,Connection to a New or Existing Water Treatment  Facility; Construction or Rehabilitation of Distribution  and/or Transmission Lines; Water MetersNew Water Treatment Facilities; Improvement/Expansion  of Water Treatment Facilities; Consolidation of Water  Treatment Facilities; Connection to a New or Existing,
142341D-Q,10,"Rockvale, Town of",Fremont,CO0122800,511,"$1,984,000 ",,Y,,,,Water Treatment Facility; Construction or Rehabilitation  of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters; WaterRights; Source Water Protection Plan; Green  Infrastructure,
230340D,10,North Pecos Water and Sanitation District,Adams,CO0116553,"3,250","$20,000,000 ",,Y,30,DL,0.50%,Construction or Rehabilitation of Distribution and/or  Transmission Lines Construction or Rehabilitation of Distribution and/or,
141951D-I,10,"Nucla, Town of",Montrose,CO0143559,694,"$2,723,617 ",,Y,NA,DL/PF,NA,Transmission Lines; Water Meters; Green Infrastructure Improvement/Expansion of Water Treatment Facilities;,
141970D,10,"Oak Creek, Town of",Routt,CO0154566,914,"$22,620,000 ",,,,,,Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water  Supply Facilities; Water Meters; Source Water Protection Plamn,
210251D-I,10,Park Water Company,Jefferson,CO0130115,100,"$875,000 ",,N,30,DL,2.25%,Improvement/Expansion of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Meters,
142130D,10,"Peetz, Town of",Logan,CO0138030,238,"$670,000 ",,N,,,,Improvement/Expansion of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water Supply Facilities; Water Meters Improvement/Expansion of Water Treatment Facilities;,
190301D-T,10,Pine Brook Water District,Boulder,CO0107610,"1,180","$1,304,000 ",,N,,,,Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water  Supply Facilities; Source Water Protection Plan,
142211D-Q,10,Project 7 Water Authority,Montrose,CO0143621,"56,677","$67,200,000 ",,N,,,,New Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines;  Water Supply Facilities,
142220D,10,Pueblo Board of Water Works,Pueblo,CO0151500,"113,300","$194,060,000 ",,,,,,Improvement/Expansion of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water Supply Facilities; Water Meters; Source Water Protection  Plan; Green Infrastructure,
230450D,10,Rio Blanco Water Conservancy District,Rio Blanco,CO0152670,500,"$1,625,000 ",,,,,,Connection to a New or Existing Water Treatment  Facility; Construction or Rehabilitation of Distribution  and/or Transmission Lines; Water Meters New Water Treatment Facilities; Improvement/Expansion  of Water Treatment Facilities; Consolidation of Water  Treatment Facilities; Connection to a New or Existing,
142341D-Q,10,"Rockvale, Town of",Fremont,CO0122800,511,"$1,984,000 ",,Y,,,,Water Treatment Facility; Construction or Rehabilitation  of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters; Water Rights; Source Water Protection Plan; Green  Infrastructure,
143520D,10,Rosewood Hills Property and Homeowners Association,Teller,CO0160450,150,"$3,700,000 ",,N,,,,Improvement/Expansion of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water Supply Facilities; Water Meters; Source Water Protection  Plan,
210300D,10,Roundup River Ranch (camp),Eagle,CO0219685,300,"$3,000,000 ",,N,,,,Improvement/Expansion of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Supply Facilities,
142450D,10,Security Water District,El Paso,CO0121775,"22,000","$38,000,000 ",,,,,,New Water Treatment Facilities; Improvement/Expansion  of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines;Water Storage Facilities; Water Supply Facilities; Water  Meters; Green Infrastructure,
220340D,10,"Sidney Peak Ranch Owners' Association, Inc.",Routt,Unknown,30,"$2,198,250 ",,,,,,Improvement/Expansion of Water Treatment Facilities;  Connection to a New or Existing Water Treatment  Facility; Construction or Rehabilitation of Distribution and/or Transmission Lines; Water Storage Facilities;  Water Supply Facilities Improvement/Expansion of Water Treatment Facilities;,
190321D-Q,10,Snake River Water District,Summit,CO0159105,"10,000","$15,319,541 ",,N,,,,Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water  Supply Facilities,
180121D-D,10,South Adams County Water and Sanitation District,Adams,CO0101170,"67,000","$130,000,000 ",,,,,,New Water Treatment Facilities; Improvement/Expansion  of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Supply Facilities New Water Treatment Facilities; Improvement/Expansion  of Water Treatment Facilities; Consolidation of Water  Treatment Facilities; Connection to a New or Existing,
230490D,10,Southeastern Colorado Water Conservancy District,Pueblo,Unknown,"50,000","$60,500,000 ",,,,,,Water Treatment Facility; Construction or Rehabilitation  of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters; Water Rights; Source Water Protection Plan; Green  Infrastructure,
200330D,10,"Springfield, Town of",Baca,CO0105500,"1,454","$9,475,000 ",,N,,,,New Water Treatment Facilities; Improvement/Expansion  of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage Facilities; Water Supply Facilities; Water  Meters,
142670D,10,Superior Metropolitan District No. 1,Boulder,CO0107725,"13,000","$14,900,000 ",,N,,,,Improvement/Expansion of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or  Transmission Lines,
230540D,10,Timber Creek Water District ,Summit,CO0259003,312,"$1,250,000 ",,,,,,Improvement/Expansion of Water Treatment Facilities;  Water Storage Facilities; Water Meters,
210351D-I,10,Trail West Association,Chaffee,CO0108900,264,"$3,550,000 ",,N,,,,Improvement/Expansion of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities,
160480D,10,"Tranquil Acres Water Supply, Inc.",Teller,CO0160650,180,"$2,415,000 ",,,,,,New Water Treatment Facilities; Improvement/Expansion  of Water Treatment Facilities; Connection to a New or  Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage Facilities; Water Supply Facilities; Water  Meters; Source Water Protection Plan,
200351D-H,10,Upper Road 42 Water Association,Montezuma,Unknown,50,"$1,830,000 ",,N,,,,Consolidation of Water Treatment Facilities; Connection  to a New or Existing Water Treatment Facility;  Construction or Rehabilitation of Distribution and/or Transmission Lines; Water Storage Facilities; Water  Meters,
142850D,10,"Walsh, Town of ",Baca,CO0105900,512,"$8,619,000 ",,Y,,,,New Water Treatment Facilities; Improvement/Expansion  of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Supply Facilities; Water Meters; Water Rights;  Source Water Protection Plan,
142882D-Q,10,"Westminster, City of",Adams,CO0101170,"156,000","$400,000,000 ",,N,,,,New Water Treatment Facilities; Improvement/Expansion  of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities; Water Supply Facilities; Water Meters; Water Rights; Source Water Protection Plan;  Green Infrastructure,
190031D-I,10,Willow Brook Metropolitan District,Summit,CO0259020,120,"$1,750,000 ","$1,750,000 ",N,20,DL,2.50%,Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water  Supply Facilities,
190350D,10,Will-O-Wisp Metropolitan District,Park,CO0147200,300,"$11,510,000 ",,,,,,New Water Treatment Facilities; Improvement/Expansion  of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage Facilities; Water Supply Facilities; Source  Water Protection Plan,
