Rank,Project Sponsor,Project Number,PWSID,Project Name,Population,Building Cost,Support Cost,Estimated Cost,Cat A,Cat B,Cat C.a,Cat C.b,Cat C.c,Cat C.d,Cat D,Cat E,Rank Points,BIL Eligibility
126,Sussex Borough,1921001-005,NJ1921001,Lake Rutherford Water Line Installation Project,2130,1018000.0,203600.0,1221600.0,75,0,0,0,0,0,80,0.0213,155.0213,BIL (GEN)
127,Newark City,0714001-014,NJ0714001,Installation of a SCADA system,285000,2500000.0,1360000.0,3860000.0,1,50,20,0,0,0,80,2.85,153.85,BIL (GEN)
128,North Jersey District Water Supply Commission,1613001-018,NJ1613001,Security system improvements - Relocation of Wanaque  WTP main entrance gate closer to Ringwood Blvd,872153,3000000.0,1890000.0,4890000.0,45,50,20,0,0,0,30,8.72153,153.72153,NA
128,North Jersey District Water Supply Commission,1613001-023,NJ1613001,Security system improvements,872153,1500000.0,1200000.0,2700000.0,45,50,20,0,0,0,30,8.72153,153.72153,NA
129,"NJ American Water Company, Incorporated",1345001-018,NJ1345001,Oak Glenn Treatment Plant Expansion,290470,26920000.000,12419600.00000,39339600.00000,100,50,0,0,0,0,0,2.9047,152.9047,NA
130,Middlesex Water Company,1225001-029,NJ1225001,CJO Plant Upgrade - DBP Removal Treatment,282741,21043630.000000,6201343.0,27244973.0000000,100,50,0,0,0,0,0,2.33376,152.33376,NA
131,East Orange Water Commission,0705001-004,NJ0705001,"Rehab of Braidburn wells #1 & #2; Canoe Brook wells #2,  #3 & #4",80468,1196000.0,786240.0,1982240.0,15,50,0,5,0,0,80,0.80468,150.80468,BIL (GEN)
131,East Orange Water Commission,0705001-005,NJ0705001,"Replacement of electrical cable for wellfield which  includes Well Nos. 3, 4 & 5",80468,950000.0,665000.0,1615000.0,15,50,0,5,0,0,80,0.80468,150.80468,BIL (GEN)
132,Mahwah Township,0233001-006,NJ0233001,"Rehabilitation of Ford Wellfield treatment, pumps &  motors, electrical, SCADA and transmission mains",24062,4600000.0,2250536.0,6850536.0,100,50,0,0,0,0,0,0.24062,150.24062,NA
133,Hawthorne Borough,1604001-002,NJ1604001,Hawthorne Water Utility PFAs Treatment,18775,3500000.0,342580.0,4750000.0,100,50,0,0,0,0,0,0.19058,150.19058,BIL (EC)
134,Freehold Borough,1315001-002,NJ1315001,Water Plant Development,12052,5000000.0,NA,6440000.0,100,0,15,0,5,0,30,0.12052,150.12052,BIL (GEN)
135,Salem City,1712001-004,NJ1712001,Salem City Water Meter,4931,1092100.0,253420.0,1345520.0,35,0,15,0,5,15,80,0.04931,150.04931,BIL (GEN)
136,"NJ American Water Company, Incorporated",1345001-001,NJ1345001,Jumping Brook WTP Improvement Project,524000,48404702.0000000,780000.0,61719924.0000000,100,0,20,5,5,0,15,0.60092,145.60092,NA
137,Merchantville Pennsauken Water Commission,0424001-005,NJ0424001,Lead line removal,49990,3500000.0,2707750.0,4200000.0,125,0,15,0,5,0,0,0.47144,145.47144,NA
138,Willingboro Municipal Utilities Authority,0338001-002,NJ0338001,"Replacement of 56,000 LF of 6 and 8-inch mains-Twin  Hills",34731,8100000.0,2350880.0,10450880.000000,75,50,20,0,0,0,0,0.34731,145.34731,NA
138,Willingboro Municipal Utilities Authority,0338001-003,NJ0338001,Replacement of 6 & 8 inch mains in RIttenhouse section,34731,1585600.0,957664.0,2543264.0,75,50,20,0,0,0,0,0.34731,145.34731,NA
139,Vineland City,0614003-012,NJ0614003,Upgrades to well #4 water treatment plant including a  new air stripping tower,33000,756000.0,529200.0,1285200.0,100,0,15,0,0,0,30,0.33,145.33,BIL (GEN)
139,Vineland City,0614003-013,NJ0614003,Upgrades to the existing water treatment plant at well  #13 with new replacement well #18.,33000,4000000.0,2020000.0,6020000.0,100,0,15,0,0,0,30,0.33,145.33,BIL (GEN)
140,Stafford Township,1530004-016,NJ1530004,"Installation of 5,000 LF of main under the GSP as  secondary crossing",28868,3000000.0,1580000.0,4580000.0,75,35,20,0,0,0,15,0.28868,145.28868,NA
140,Stafford Township,1530004-017,NJ1530004,"Replacement of 1,600 LF of water main on Charles Blvd",28868,363066.0,344910.0,707976.0,75,35,20,0,0,0,15,0.28868,145.28868,NA
141,Egg Harbor City,0107001-001,NJ0107001,Construction of a new storage tank,4700,2000000.0,340000.0,2340000.0,50,0,15,0,0,0,80,0.047,145.047,BIL (GEN)
142,Hamburg Borough,1909001-002,NJ1909001,Water Storage Tank Rehabilitation,3200,820000.0,298000.0,1000000.0,60,50,20,0,0,0,15,0.03382,145.03382,NA
143,Netcong Borough,1428001-005,NJ1428001,Roof and Structural repairs to a 1MG reservoir,3236,608125.0,425687.0,1033812.0,60,50,15,5,0,0,15,0.03236,145.03236,NA
144,Manchester Utilities Authority,1603001-007,NJ1603001,Replace existing booster station,12111,1100000.0,744000.0,1844000.0,60,50,15,0,0,0,15,0.12111,140.12111,NA
145,Berkeley Township Municipal Utilities Authority,1505004-004,NJ1505004,Install automated meter reading system,8130,500000.0,350000.0,850000.0,25,0,20,0,0,15,80,0.0813,140.0813,BIL (GEN)
146,Hightstown Borough,1104001-009,NJ1104001,Water Tank Painting & Repairs,5567,660500.0,762700.0,922600.0,60,50,15,0,0,0,15,0.054,140.054,NA
149,Waterford Township Municipal Utilities Authority,0435003-001,NJ0435003,New water mains for Maximum Contaminant Level  violations,2408,1465738.0,904923.0,2370661.0,125,0,15,0,0,0,0,0.02408,140.02408,NA
150,Mount Arlington Borough,1426005-003,NJ1426005,"Altenbrand, Windemere, McGregor and Lee Water Main  Extension",133,1529000.0,330000.0,2020000.0,125,0,15,0,0,0,0,0.01978,140.01978,NA
151,Jersey City Municipal Utilities Authority,0906001-016,NJ0906001,Large Valve Replacement Program- Phase 2,264290,6101000.0,1220200.0,7321200.0,75,0,20,5,5,0,30,2.6429,137.6429,NA
152,Jersey City Municipal Utilities Authority,0906001-012,NJ0906001,Water Main Replacement,262000,12000000.0,4643000.0,16643000.0000,75,0,20,5,5,0,30,2.62,137.62,NA
152,Jersey City Municipal Utilities Authority,0906001-025,NJ0906001,Phase 1 & 2 Water Main Replacement Project,264161,16166000.0000,3345200.0,19511200.00000,75,0,20,5,5,15,15,2.62,137.62,NA
152,Jersey City Municipal Utilities Authority,0906001-026,NJ0906001,5-B Water Project,250000,6100000.0,725400.0,7320000.0,75,0,20,5,5,0,30,2.62,137.62,NA
152,Jersey City Municipal Utilities Authority,0906001-032,NJ0906001,Van Horne Street Water Improvements,265549,3500000.0,226400.0,4200000.0,75,0,20,5,5,0,30,2.62,137.62,NA
152,Jersey City Municipal Utilities Authority,0906001-033,NJ0906001,Pine Street Area Water Improvements,5000,14412000.0000,671200.0,19023840.000000,75,0,20,5,5,0,30,2.62,137.62,NA
153,East Orange City,0705001-500/001,NJ0705001,Install generators -White Oak Rd,80468,3217000.0,1159440.0,4376440.0,1,50,0,5,0,0,80,0.80468,136.80468,BIL (GEN)
155,Atlantic City Municipal Utilities Authority,0102001-009,NJ0102001,Water Meter and MTU Replacement,75619,2210000.0,350000.0,2652000.0,25,0,15,0,0,15,80,0.756193,135.75619,BIL (GEN)
156,Perth Amboy City,1216001-010,NJ1216001,The Painting of the Backwash Tank and Stand Pipe Project,51928,1316460.0,NA,1651532.0,100,0,0,0,5,0,30,0.52328,135.52328,BIL (GEN)
156,Perth Amboy City,1216001-011,NJ1216001,Upgrades to the Runyon Water Treatment Plant,55436,64159667.0000000,NA,83407567.0000000,100,0,0,0,5,0,30,0.52328,135.52328,BIL (GEN)
157,Willingboro Municipal Utilities Authority,0338001-011,NJ0338001,Well 6 Water Treatment Plant Upgrade,34731,6250000.0,2154000.0,8404000.0,100,0,20,0,0,0,15,0.35,135.35,NA
157,Willingboro Municipal Utilities Authority,0338001-010,NJ0338001,Well5A PFOS Treatment System Upgrade,34731,3497000.0,15118649.0000000,4654400.0,100,0,20,0,0,0,15,0.35,135.35,BIL (EC)
158,Collingswood Borough,0412001-001,NJ0412001,Collingswood Comly Ave Water Plant,16904,6418510.0,80000.0,8034312.0,100,0,15,5,0,0,15,0.245,135.245,NA
159,Passaic Valley Water Commission,1605002-010,NJ1605002,Installation of a back up Wanaque interconnection line,347052,750000.0,525000.0,1275000.0,30,0,20,0,0,0,80,3.47052,133.47052,BIL (GEN)
159,Passaic Valley Water Commission,1605002-016,NJ1605002,Upgrade the interconnection with United WC,347052,2000000.0,1140000.0,3140000.0,30,0,20,0,0,0,80,3.47052,133.47052,BIL (GEN)
159,Passaic Valley Water Commission,1605002-022,NJ1605002,Emergency interconnection upgrade,347052,2000000.0,1140000.0,3140000.0,30,0,20,0,0,0,80,3.47052,133.47052,BIL (GEN)
160,Jersey City Municipal Utilities Authority,0906001-010,NJ0906001,Journal Square North Cleaning,262000,5000000.0,2067000.0,7067000.0,75,0,20,5,0,0,30,2.62,132.62,NA
160,Jersey City Municipal Utilities Authority,0906001-009,NJ0906001,Burma Road Area Water System Improvements,262000,2000000.0,770000.0,2770000.0,75,0,15,5,5,0,30,2.62,132.62,NA
160,Jersey City Municipal Utilities Authority,0906001-030,NJ0906001,Phase 7a Water Improvements,265549,24797788.0000000,NA,29985840.000000,75,0,20,5,0,0,30,2.62,132.62,NA
161,Jersey City Municipal Utilities Authority,0906001-018,NJ0906001,Tonnele Avenue Water Main Replacement and Relining,257342,5540000.0,1902800.0,7442800.0,75,0,15,5,5,0,30,2.57342,132.57342,NA
162,Jersey City Municipal Utilities Authority,0906001-006,NJ0906001,Transmission Main Install,247000,13500000.00,6310000.0,19810000.000,75,0,20,5,0,0,30,2.47,132.47,NA
162,NJ City Univ. / Jersey City Municipal Utilities  Authority,0906001-005,NJ0906001,Redevelopment of Brownfield site,247000,882867.0,601385.0,1484252.0,75,0,20,5,0,0,30,2.47,132.47,NA
163,"NJ American Water Company, Incorporated",0712001-016,NJ0712001,NJ American Water Lead Service Line Replacement  Program PWSID 0712001,217230,2805000.0,1027600.0,3832600.0,125,0,0,5,0,0,0,1.74985,131.74985,NA
167,Manchester Township,1518005-004,NJ1518005,MANCHESTER TOWNSHIP 1.0MG ELEVATED TANK,21200,4962608.0,380619.0,6135129.0,50,0,0,0,0,0,80,0.212,130.212,BIL (GEN)
168,Pine Hill Municipal Utilities Authority,0428002-001,NJ0428002,Construction of GAC filtration system for removal of IPMP  - Critical Area #2,12492,250000.0,175000.0,425000.0,100,0,0,0,0,0,30,0.12492,130.12492,BIL (GEN)
169,Bellmawr Borough,0404001-005,NJ0404001,Improvements to WTP,11583,415500.0,83100.0,498600.0,100,0,0,0,0,0,30,0.11583,130.11583,BIL (GEN)
170,Sussex Borough,1921001-001,NJ1921001,Water Treatment Plant upgrades,2666,116857.0,-16359.0,100497.0,100,0,0,0,0,0,30,0.02666,130.02666,BIL (GEN)
171,Bayville Central Regional Board of Education,1505355-001,NJ1505355,Additional treatment on existing well,2500,1000000.0,700000.0,1700000.0,100,0,0,0,0,0,30,0.025,130.025,NA
172,Downe Township,0604001-004,NJ0604001,Construction of new storage tank on New Jersey Avenue,770,600000.0,420000.0,1020000.0,50,0,0,0,0,0,80,0.0077,130.0077,BIL (GEN)
173,"NJ American Water Company, Incorporated",1345001-019,NJ1345001,Howell-Lakewood Transmission Main,290470,32000000.0,9050000.0,41050000.000,75,50,0,0,0,0,0,2.55333,127.55333,NA
174,Middlesex Water Company,1225001-018,NJ1225001,Construction of a water main,233376,23200000.00,8884000.0,32084000.0000,75,50,0,0,0,0,0,2.33376,127.33376,NA
174,Middlesex Water Company,1225001-019,NJ1225001,"Replacement of 5,000 LF of 24-inch cast iron mains",233376,4200000.0,2108000.0,6308000.0,75,50,0,0,0,0,0,2.33376,127.33376,NA
175,Middlesex Water Company,1225001-028,NJ1225001,RENEW 2018 - Woodbridge Twp.,22844,8591350.0,2607612.0,11198962.0000000,75,50,0,0,0,0,0,1.33355,126.33355,NA
176,Atlantic City Municipal Utilities Authority,0102001-008,NJ0102001,Water Meter Replacement Program,94225,$-,$-,$-,25,0,20,0,0,0,80,0.95,125.95,BIL (GEN)
177,Old Bridge Municipal Utilities Authority,1209002-005,NJ1209002,"Laurence Harbor Water System Upgrade, Phase 1",65375,1753990.0,182000.0,2315267.0,75,50,0,0,0,0,0,0.67215,125.67215,NA
178,Bayonne Municipal Utilities Authority,0901001-004,NJ0901001,Rehabilitation of gate house valve chamber and venturi  flow meter,61842,900000.0,594000.0,1494000.0,75,0,20,0,0,0,30,0.61842,125.61842,BIL (GEN)
179,Hoboken City,0905001-002,NJ0905001,Water Main Upgrades (2018),54379,4443160.0,1127465.0,5570625.0,75,50,0,0,0,0,0,0.54379,125.54379,NA
180,Aqua New Jersey Incorporate,0415002-008,NJ0415002,"Replacement of 5,900 LF of water main on Lakeside, East  Blenheim, Haines, Lake & Church, etc",49350,936100.0,723456.0,1659556.0,75,50,0,0,0,0,0,0.4935,125.4935,NA
181,Long Beach Township,1517001-013,NJ1517001,Replacement of water mains,35367,2466545.0,1345278.0,3811823.0,75,50,0,0,0,0,0,0.35367,125.35367,NA
183,Hackettstown Municipal Utilities Authority,2108001-001,NJ2108001,Construction of New Water Storage Tank w/ related  water distribution lines,22500,3500000.0,4110707.0,4445700.0,60,50,15,0,0,0,0,0.22,125.22,NA
184,Ramsey Borough,0248001-001,NJ0248001,"Construction of mains (Rte 17, Grant & Airmount)",16350,1690000.0,1003600.0,2693600.0,75,50,0,0,0,0,0,0.1635,125.1635,NA
184,Ramsey Borough,0248001-002,NJ0248001,Replacement of mains (Carol & Maple),16350,1340000.0,849600.0,2189600.0,75,50,0,0,0,0,0,0.1635,125.1635,NA
184,Ramsey Borough,0248001-003,NJ0248001,"Construction of mains (Rte 17, Snyder & Airmount)",16350,985000.0,689500.0,1674500.0,75,50,0,0,0,0,0,0.1635,125.1635,NA
184,Ramsey Borough,0248001-004,NJ0248001,Construction of mains (Lakeview & Airmount),16350,795000.0,556500.0,1351500.0,75,50,0,0,0,0,0,0.1635,125.1635,NA
186,Harrison Town,0904001-001,NJ0904001,"Cleaning & Lining of mains on Grant Ave., Cleveland Ave.,  & Hamilton Street",14425,5500000.0,2680000.0,8180000.0,75,0,20,0,0,0,30,0.14425,125.14425,NA
186,Harrison Town,0904001-004,NJ0904001,"Cleaning and Lining and of approximately 3,000 LF of 10,  12 and 14 inch mains",14425,2000000.0,1140000.0,3140000.0,75,0,20,0,0,0,30,0.14425,125.14425,NA
186,Harrison Town,0904001-005,NJ0904001,"Replacement of 3,160 LF of water mains on S 2nd, Frank  E. Rogers Blvd & Scott Mobus Place",14425,1500000.0,920000.0,2420000.0,75,0,20,0,0,0,30,0.14425,125.14425,NA
187,Clinton Town,1005001-010,NJ1005001,West Main Street Water Main Replacement Project -  Asset Management Planning,12500,998750.0,449437.0,1448187.0,75,50,0,0,0,0,0,0.125,125.125,NA
187,Clinton Town,1005001-014,NJ1005001,Town of Clinton - Galvanized Service Line Replacement -  SFY23,1000,3250000.0,NA,4050000.0,125,0,0,0,0,0,0,0.125,125.125,NA
187,Clinton Town,1005001-015,NJ1005001,Town of Clinton - Galvanized Service Line Replacement -  SFY24,1000,3250000.0,NA,4050000.0,125,0,0,0,0,0,0,0.125,125.125,NA
187,Clinton Town,1005001-016,NJ1005001,Town of Clinton - Galvanized Service Line Replacement -  SFY25,1000,3250000.0,NA,4050000.0,125,0,0,0,0,0,0,0.125,125.125,NA
187,Clinton Town,1005001-017,NJ1005001,Town of Clinton - Galvanized Service Line Replacement -  SFY26,1000,3250000.0,NA,4050000.0,125,0,0,0,0,0,0,0.125,125.125,NA
187,Clinton Town,1005001-018,NJ1005001,Town of Clinton - Galvanized Service Line Replacement -  SFY27,1000,3250000.0,NA,4050000.0,125,0,0,0,0,0,0,0.125,125.125,NA
188,Spotswood Borough,1224001-001,NJ1224001,"Cleaning and lining of approximaty 3,600 LF of water  mains",8300,2528595.0,915319.0,3443914.0,75,50,0,0,0,0,0,0.083,125.083,NA
189,Point Pleasant Beach Borough,1525001-002,NJ1525001,Ocean Avenue Water Main Replacement,7733,2160000.0,3900000.0,2756800.0,75,50,0,0,0,0,0,0.0773333,125.07733,NA
190,Glen Ridge Borough,0708001-008,NJ0708001,GR-2017-LSL-R/FH-RR Lead Service Water-Line  Replacement/Fire Hydrant - Repairs & Replacement &  Water System Asset Management Plan,7681,1606395.0,NA,2573210.0,75,50,0,0,0,0,0,0.07681,125.07681,NA
190,Glen Ridge Borough,0708001-009,NJ0708001,GR-Lead Service Lines Replacement (Main to Dwelling) -  Phase 1,7527,1200000.0,800000.0,2000000.0,125,0,0,0,0,0,0,0.07681,125.07681,NA
191,Passaic Valley Water Commission,0239001-002,NJ0239001,Lead Service Line Replacement in North Arlington System,15741,8500000.0,3800000.0,10200000.00,125,0,0,0,0,0,0,0.03968,125.03968,NA
192,High Bridge Borough,1014001-003,NJ1014001,West Main Street Water Main Upgrades,3648,350000.0,444073.0,462000.0,75,50,0,0,0,0,0,0.033,125.033,NA
194,Hampton Borough,1013001-002,NJ1013001,Hampton Borough - Galvanized Service Line Replacement,1400,600000.0,NA,770000.0,125,0,0,0,0,0,0,0.01401,125.01401,NA
195,Jersey City Municipal Utilities Authority,0906001-022,NJ0906001,"Hackensack  River 36"" Aqueduct replacement",270753,10000000,5910317.0,12750000.000,75,0,20,5,5,0,15,2.62,122.62,NA
195,Jersey City Municipal Utilities Authority,0906001-024,NJ0906001,Phase 2A Water,250000,9700000.0,1800000.0,11640000.000,75,0,20,5,5,0,15,2.62,122.62,NA
195,Jersey City Municipal Utilities Authority,0906001-023,NJ0906001,Phase 5A Water Project,262000,7750000.0,NA,9300000.0,75,0,20,5,5,0,15,2.62,122.62,NA
196,Perth Amboy City,1216001-009,NJ1216001,The Replacement of Water Meters Project,47300,575830.0,259123.0,834953.0,25,0,0,0,0,15,80,0.473,120.473,BIL (GEN)
197,Willingboro Municipal Utilities Authority,0338001-012,NJ0338001,Well No. 1 Water Treatment Plant Upgrade,34731,2001800.0,1718944.0,3720744.0,100,0,20,0,0,0,0,0.37731,120.37731,NA
198,Vineland City,0614003-017,NJ0614003,2016 Water Distribution Rehabilitation Project,36848,1906425.0,740056.0,2646481.0,75,0,15,0,0,0,30,0.3625,120.3625,BIL (GEN)
199,Vineland City,0614003-007,NJ0614003,Replacement of 1.4 miles of 8-inch with 10 -inch water  mains,33000,1100000.0,744000.0,1844000.0,75,0,15,0,0,0,30,0.33,120.33,BIL (GEN)
199,Vineland City,0614003-008,NJ0614003,"Replacement of 2,300 LF of 8-, 10- and 12-inch water  mains",33000,350000.0,245000.0,595000.0,75,0,15,0,0,0,30,0.33,120.33,BIL (GEN)
199,Vineland City,0614003-009,NJ0614003,Construction of .4 miles of 12-inch water mains to loop  dead ends and enhance water pressure,33000,200000.0,140000.0,340000.0,75,0,15,0,0,0,30,0.33,120.33,BIL (GEN)
200,Orange City,0717001-012,NJ0717001,Orange Twp | Interconnection and Distribution Project,30731,1200200.0,618000.0,1440240.0,30,0,0,5,5,0,80,0.30134,120.30134,BIL (GEN)
202,Wildwood City,0514001-003,NJ0514001,Water system improvements - 2016 street & utility  reconstruction,20361,2100000.0,480000.0,2580000.0,75,0,15,0,0,0,30,0.203607,120.20361,BIL (GEN)
203,Tuckerton Borough,1532002-007,NJ1532002,"Curlew Rd. and Kingfisher Rd. Water Main Replacement  and Well#3, Well#4 Rehabilitation/Repairs.",3371,1268730.0,NA,1649349.0,75,0,15,0,0,0,30,0.06285,120.06285,BIL (GEN)
204,Passaic Valley Water Commission,1605002-009,NJ1605002,Replacement of surface water intake facilities on the  Passaic River,347052,800000.0,560000.0,1360000.0,15,0,20,0,0,0,80,3.47052,118.47052,BIL (GEN)
205,Jersey City Municipal Utilities Authority,0906001-021,NJ0906001,Phase 5 Water Mains,261666,7000000.0,1547000.0,8547000.0,75,0,15,5,5,0,15,2.61666,117.61666,NA
205,Jersey City Municipal Utilities Authority,0906001-020,NJ0906001,Phase 3 and 4 Water Main Replacement Project,261666,2973465.0,713173.0,3686638.0,75,0,15,5,5,0,15,2.61666,117.61666,NA
206,Jersey City Municipal Utilities Authority,0906001-014,NJ0906001,Brookdale Gate House Improvements,257342,992000.0,674560.0,1666560.0,75,0,20,5,0,0,15,2.57342,117.57342,NA
208,Winslow Township,0436007-003,NJ0436007,New 1.0 MG finished water storage tank,39328,1000000.0,700000.0,1700000.0,50,50,15,0,0,0,0,0.39328,115.39328,NA
209,Monroe Municipal Utilities Authority,0811002-002,NJ0811002,Water Treatment System Rehabilitation,37117,1500000.0,NA,1800000.0,100,0,0,0,0,0,15,0.26179,115.26179,NA
210,Hamilton Township Municipal Utilities Authority,0112001-004,NJ0112001,HTMUA WELL #8 REHABILITATION,23176,1100000.0,3992144.0,1352650.0,100,0,0,0,0,0,15,0.2172,115.2172,NA
211,Ship Bottom Borough,1528001-003,NJ1528001,Water Treatment Plant Reconstruction,17437,8000000.0,2147725.0,9900000.0,100,0,0,0,0,0,15,0.174373,115.17437,NA
213,Berlin Borough,0405001-005,NJ0405001,Repairs to Plant#1 filter and complete replacement of  filter media,13121,80500.0,57030.0,137530.0,100,0,15,0,0,0,0,0.13121,115.13121,NA
215,Hightstown Borough,1104001-003,NJ1104001,"Construct 80,000 gallon backwash tank and re-line  existing lagoons",5567,450000.0,315000.0,765000.0,100,0,15,0,0,0,0,0.05567,115.05567,NA
216,National Park Borough,0812001-001,NJ0812001,Replacement of a WTP,3289,2289450.0,1193852.0,3483302.0,100,0,0,0,0,0,15,0.03289,115.03289,BIL (GEN)
217,Sussex Borough,1921001-004,NJ1921001,Water Meter Replacement Project,2130,338850.0,75770.0,414620.0,35,0,0,0,0,0,80,0.0213,115.0213,BIL (GEN)
218,Allentown Borough,1302001-004,NJ1302001,Water Treatment Plant Improvements,1828,1628000.0,700960.0,2328960.0,100,0,15,0,0,0,0,0.01828,115.01828,NA
220,North Jersey District Water Supply Commission,1613001-034,NJ1613001,"Security, IT and Safety Projects",872153,950350.0,496558.0,1446908.0,45,50,20,0,0,0,0,0.0015,115.0015,NA
222,Jersey City Municipal Utilities Authority,0906001-015,NJ0906001,Van Winkle Ave. Water Main Replacement,247597,2799120.0,1025718.0,3824838.0,75,0,20,0,0,0,15,2.47,112.47,NA
223,Middlesex Water Company,1225001-020,NJ1225001,Replace the Tingley Lane pump station,233376,10000000,4660000.0,14660000.000,60,50,0,0,0,0,0,2.33376,112.33376,NA
225,Brick Township Municipal Utilities Authority,1506001-008,NJ1506001,Undersized Water Main Replacement Cedar Park East and  West,100000,4616240.0,1607196.0,6223436.0,75,0,20,0,0,0,15,0.86898,110.86898,NA
228,Kearny Town,0907001-001A,NJ0907001,Water Facility and Ground Improv. Program,291648,20495142.0000000,4099028.0,24594170.000000,75,0,20,0,0,0,15,0.41664,110.41664,NA
229,Long Beach Township,1517001-012,NJ1517001,"Rehabilitation of four storage tanks-Beach Haven Terrace,  Brant Beach, Holgate & Pehala Park",35367,1000000.0,700000.0,1700000.0,60,50,0,0,0,0,0,0.35367,110.35367,NA
231,Orange City,0717001-005,NJ0717001,Cleaning & Lining of mains,30000,1675000.0,997000.0,2672000.0,75,0,0,5,0,0,30,0.3,110.3,BIL (GEN)
232,Phillipsburg Redevelopment Authority,2119001-006,NJ2119001,"Installation of 5,300 LF of 8 and 12-inch water mains for a  brownfield site",18162,2099859.0,1180309.0,3280168.0,75,0,0,0,5,0,30,0.18162,110.18162,NA
233,Ramsey Borough,0248001-005,NJ0248001,Rehabilitation of Airmount reservoir,16350,430000.0,144000.0,574000.0,60,50,0,0,0,0,0,0.1635,110.1635,NA
234,Salem City,1712001-002,NJ1712001,Installation of a new well,5857,130000.0,91000.0,221000.0,15,0,15,0,0,0,80,0.05857,110.05857,BIL (GEN)
235,Netcong Borough,1428001-006,NJ1428001,Replacement of Water meters,3236,225000.0,157500.0,382500.0,25,50,15,5,0,0,15,0.03236,110.03236,NA
236,West Cape May Borough,0512001-001,NJ0512001,Lead Line Remediation,51,625000.0,700000.0,906250.0,75,0,20,0,0,0,15,0.011,110.011,NA
237,North Jersey District Water Supply Commission,1613001-030,NJ1613001,Modify and Expand Central Receiving Building,872153,605000.0,511226.0,1116226.0,1,50,20,0,0,0,30,8.72153,109.72153,NA
237,North Jersey District Water Supply Commission,1613001-007,NJ1613001,Acquisition and integration of the Kearny/Bayonne  Transmission main,872153,30000000,11060000.000,41060000.000,1,50,20,0,0,0,30,8.72153,109.72153,NA
238,Jersey City Municipal Utilities Authority,0906001-028,NJ0906001,Dam Security Improvements,265932,1250000.0,317200.0,1682400.0,45,0,20,5,5,0,30,2.65932,107.65932,NA
239,"NJ American Water Company, Incorporated",2004002-007,NJ2004002,Painting of the Raritan Millstone backwash tank at the  WTP,610000,395000.0,276500.0,671500.0,100,0,0,0,0,0,0,6.1,106.1,NA
240,Perth Amboy City,1216001-001,NJ1216001,Replacement of undersize water main - Center Street,50814,1209050.0,791982.0,2001032.0,75,0,0,0,0,0,30,0.50814,105.50814,BIL (GEN)
240,Perth Amboy City,1216001-002,NJ1216001,Replacement of undersize water main - State Street,50814,2490000.0,1355600.0,3845600.0,75,0,0,0,0,0,30,0.50814,105.50814,BIL (GEN)
240,Perth Amboy City,1216001-003,NJ1216001,Cleaning & Lining of water mains-Central bussiness  District,50814,1000000.0,700000.0,1700000.0,75,0,0,0,0,0,30,0.50814,105.50814,BIL (GEN)
241,Montclair Township,0713001-012,NJ0713001,Montclair Township - PFOAS and Perchlorate Treatment -  Rand Well,3800,2000000.0,NA,2570000.0,100,0,0,5,0,0,0,0.37669,105.37669,BIL (EC)
242,Garfield City,0221001-004,NJ0221001,Replacement of water mains,29780,4200000.0,2108000.0,6308000.0,75,0,0,0,0,0,30,0.2978,105.2978,BIL (GEN)
242,Garfield City,0221001-006,NJ0221001,"Replacement of 8,000 LF of 6-inch to 12-inch water main  & replacement of 30 valves",29780,4500000.0,3415000.0,7915000.0,75,0,0,0,0,0,30,0.2978,105.2978,BIL (GEN)
243,Lakewood Township Municipal Utilities Authority,1514002-012,NJ1514002,Installation of a new storage tank,25000,100000.0,70000.0,170000.0,50,25,0,0,0,0,30,0.25,105.25,BIL (GEN)
244,Little Egg Harbor Municipal Utilities Authority,1516001-007,NJ1516001,Little Egg Harbor Water Improvements Phase II,24215,1685470.0,190000.0,2106664.0,75,0,15,0,0,0,15,0.24215,105.24215,BIL (GEN)
245,Middlesex Water Company,1225001-027,NJ1225001,RENEW 2019 - Carteret,23992,6900000.0,4210000.0,11110000.000,75,0,0,0,0,15,15,0.23992,105.23992,NA
246,West Deptford Township,0820001-003,NJ0820001,Water Meter Replacment Project,21248,2958200.0,666640.0,3624840.0,25,50,0,0,0,15,15,0.21248,105.21248,NA
247,Manchester Township,1518005-003,NJ1518005,Install automated meters,21083,1600000.0,1044444.0,2644444.0,25,0,0,0,0,0,80,0.210833,105.21083,BIL (GEN)
248,South Orange Village,0719001-008,NJ0719001,Well 17 Air Stripper,16198,250000.0,112500.0,362500.0,100,0,0,5,0,0,0,0.16964,105.16964,NA
249,Ventnor City,0122001-001,NJ0122001,Clean and line 8 and 14inch water mains,12900,1425000.0,865000.0,2290000.0,75,0,0,0,0,0,30,0.129,105.129,BIL (GEN)
250,Red Bank Borough,1340001-003,NJ1340001,White Street Water Main,12350,468625.0,1426692.0,562350.0,75,0,15,0,0,0,15,0.1235,105.1235,NA
251,Manchester Utilities Authority,1603001-008,NJ1603001,"Slip line 16,000 LF unlined cast iron 16inch pipe in High  Mountain in Haledon and North Haledon w/ smaller  diameter pipe",12111,1100000.0,744000.0,1844000.0,75,0,15,0,0,0,15,0.12111,105.12111,NA
253,Wallington Borough,0265001-001,NJ0265001,Replacement of 6-inch mains with 8-inch mains,11580,1295845.0,830170.0,2126015.0,75,0,0,0,0,0,30,0.1158,105.1158,NA
