Project.Number,County,System Name,Borrower,Description,Pop.,Project Cost,Score,Cumulative Total,Code
19119,Jefferson,PHILADELPHIA (T),Philadelphia (T),"New Proposed Water System, New Distribution System",183,6787746,80,1237244553,BGS
18425,Jefferson,HOUNSFIELD WATER DISTRICT NO. 7,Hounsfield (T),"WD #7., New Distribution System",40,0,80,1237244553,FMP
18188,Orange,GOSHEN VILLAGE,Goshen (V),"Replace WTP at Prospect Reservoir, Upgrade Water Treatment Plant",5676,6120819,75,1243365372,BGS
15704,Greene,COXSACKIE VILLAGE,Coxsackie (V),"New storage tank and transmission main upgrades., Upgrade Transmission, New Storage",4010,0,75,1243365372,FMP
19780,Chautauqua,CASSADAGA (V),Cassadaga (V),"New Well, Replace WM, Upgrade Telemetry, New Ground Water Source, Upgrade Distribution System",1500,8836370,75,1252201742,
19752,Allegany,BELMONT (V),Belmont (V),"Improvements on Well Source, Water Treatment Plant and Watermains, Upgrade Water Treatment Plant, Upgrade Ground Water Source, Upgrade Distribution System",1324,8712667,75,1260914409,
18839,Tompkins,NEWFIELD WATER DISTRICT,Newfield (T),"Phase 1 - Replacement of aged and undersized asbestos water main along Main Street & New GW Source, New Ground Water Source, Upgrade Distribution System",2300,7119751,75,1268034160,
18853,Jefferson,HOUNSFIELD WSA #8,Hounsfield (T),"Water Service Area #8 to serve an area currently on individual wells., New Water District",1250,13162370,75,1281196530,
19105,Westchester,MEADOWS AT CROSS RIVER,Meadow Water-Works Corp.,"Removal of sodium chloride and PFAS from water system, Upgrade Water Treatment Plant",630,952750,70,1282149280,
19146,Dutchess,TOWN WIDE INTERCONNECTED WDS,East Fishkill (T),"Installation of Ionization Media filters, interconnections within the Town's existing water districts, and development of new GW Sources to address PFOA/PFAS contamination, Upgrade Water Treatment Plant",3493,16728197,70,1298877477,
18131,Oneida,SAUQUOIT CONSOLIDATED WD (T/O/PARIS),Paris (T),"Saquoit WD Upgrades., New Water Treatment Plant, New Ground Water Source, Upgrade Transmission",2639,5250000,70,1304127477,
19550,Livingston,AVON (V),Avon (V),"Upgrade Water Tanks and Water Mains, Upgrade Distribution System",6200,4828640,70,1308956117,
19287,Rensselaer,TROY (C),Troy (C),"Lead service line inventory., Upgrade Distribution System",51400,572000,70,1309528117,BLSLR
19411,Cayuga,AUBURN (C),Auburn (C),"Lead Service Line Inventory., Upgrade Distribution System",43000,917988,70,1310446105,BLSLR
19365,Orange,NEWBURGH (C),Newburgh (C),"Lead Service Line Inventory., Upgrade Distribution System",30000,968000,70,1311414105,BLSLR
19660,Rensselaer,TROY (C),Troy (C),"Lead service line replacement., Upgrade Distribution System",4300,12823000,70,1324237105,BLSLR
18406,Wyoming,WARSAW (V),Warsaw (V),"Water System Improvements, Upgrade Water Treatment Plant, Upgrade Distribution System",4200,12100000,70,1336337105,
18877,Washington,NORTH GRANVILLE WD #1,Granville (T),"Source development and distribution improvements for the North Granville WD., Upgrade Ground Water Source, Upgrade Distribution System",800,2825625,70,1339162730,
18322,Chemung,ELMIRA WATER BOARD,Elmira Water Board,"Elmira Refresh Initiative., Upgrade Transmission, Upgrade Distribution System",65000,6043913,70,1345206643,BGS
18321,Chautauqua,NORTH CHAUTAUQUA COUNTY REGIONAL,Chautauqua County,"North Chautauqua County Regional Water Project., New Water District",31000,0,70,1345206643,FMP
19068,Chemung,HORSEHEADS VILLAGE,Horseheads (T),"Oak Hill Water District Extension, New Distribution System",11530,461000,70,1345667643,
18704,St. Lawrence,POTSDAM (T),Potsdam (T),"NYS Rt. 56 WD., New Distribution System, New Water District",305,7441000,70,1353108643,
19110,Rensselaer,POESTENKILL WD #2,Poestenkill (T),"Creation of Poestenkill WD #2 to provide water to an area with PFAS contamination, New Water District",700,5711000,70,1358819643,BEC
19774,St. Lawrence,BORDER WATER DISTRICT,Massena (T),"Border Water District Project, New Water District",583,11330000,70,1370149643,
19145,St. Lawrence,MASSENA (T),Massena (T),"Proposed Service Area No. 1, New Water District",350,9270000,70,1379419643,BGS
19399,Chenango,SMITHVILLE (T),Smithville (T),"Smithville Flats New Water System, New Ground Water Source",350,8000000,70,1387419643,
19788,Allegany,WISCOY-ROSSBURG WD,Hume (T),"New Wiscoy-Rossburg Water District, New Water District",235,6946320,70,1394365963,
18917,Greene,ASHLAND WD,Ashland (T),"Ashland WD Extension Along NYS Rt. 23., Extend Distribution System",200,437750,70,1394803713,
19804,Orleans,BARRE (T) WD NO. 10,Barre (T),"New WD No. 10, New Water District",75,2708000,70,1397511713,
19049,Westchester,KENSICO WATER DISTRICT,Mount Pleasant (T),"Kensico WD Storage Tank and Treatment Improvements, Upgrade Storage, Upgrade Distribution System",17452,9221695,65,1406733408,
19537,Columbia,VALATIE (V),Valatie (V),"New filtration and PFAS treatment facility., New Water Treatment Plant",2000,3942100,65,1410675508,BEC
19831,Clinton,PLATTSBURGH (C),Plattsburgh (C),"Phase 4 - New Production Well, rehab transmission main, WTP Upgrades, Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Transmission",19900,8810000,65,1419485508,
19171,Rockland,NYACK VILLAGE WATER SUPPLY,Nyack (V),"PFAS Treatment at Nyack Water Plant., New Other Expenses, New Other (OT)",14700,4749320,65,1424234828,BEC
18863,Steuben,PAINTED POST VILLAGE,Painted Post (V),"Well upgrades and replacement of storage tank, Upgrade Ground Water Source, Upgrade Storage",1842,8289487,65,1432524315,
18523,Albany,ALBANY (C),Albany MWFA,"Feura Bush WTP Upgrades., Upgrade Water Treatment Plant, Upgrade Storage",98000,0,65,1432524315,FMP
19487,Clinton,PLATTSBURGH (C),Plattsburgh (C),"Phase 3 - drinking water system upgrades., Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Transmission",19840,8832000,65,1441356315,
18928,Oswego,PULASKI VILLAGE,Pulaski (V),"Replacement of aged and deteriorating water main, Upgrade Distribution System",900,11962000,65,1453318315,
19184,Chenango,BAINBRIDGE (V),Bainbridge (V),"Water System Improvements - WM Replacement, New Well, Booster PS Improvements, New Ground Water Source, Upgrade Pump Station, Upgrade Distribution System",1600,7455600,65,1460773915,
19793,St. Lawrence,GOUVERNEUR (V),Gouverneur (V),"Improvements to portions of existing water distribution system., Upgrade Distribution System",1550,9749000,65,1470522915,
18958,Otsego,VILLAGE OF OTEGO,Otego (V),"GW Source Development, WTP Resiliency, AC Pipe Replacement, Booster Station Replacement., Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Distribution System",1010,6899315,65,1477422230,BGS
18900,Chenango,VILLAGE OF GREENE,Greene (V),"Phase 1 - Water main replacement, Upgrade Distribution System",1800,20566400,65,1497988630,
18981,Clinton,MORRISONVILLE WD,Schuyler Falls (T),"Replacement of asbestos cement water main., Upgrade Distribution System",1300,5729375,65,1503718005,
19203,Ontario,MARBLETOWN-WHITE RD. WD,Phelps (T),"White Road WD Extension and Watermain Replacement, Upgrade Distribution System, Extend Water District",80,604776,65,1504322780,
19247,Chautauqua,POMFRET (T),Pomfret (T),"North End WD Phase 2, New Distribution System",1200,22263450,65,1526586230,
19194,Yates,TOWN OF TORREY WATER DISTRICT NO.1,Torrey (T),"New Water District No.1, New Water District",202,3727000,65,1530313230,
19510,Jefferson,LORRAINE WATER DISTRICT NO. 1,Lorraine (T),"Construction of WD No. 1, New Water District",160,4435000,65,1534748230,BGS
19041,Orange,WALLKILL CONSOLIDATED WD #1,Wallkill (T),"Rykowski Well Field Expansion and Water Treatment Plant Upgrades, Upgrade Water Treatment Plant, New Ground Water Source",18500,11074560,60,1545822790,
19742,Orange,GREENWOOD LAKE (V),Greenwood Lake (V),"Greenwood Lake (V) Water System Improvements - Phase II, Upgrade Water Treatment Plant, Upgrade Storage",3000,5017950,60,1550840740,
19268,Orange,TAPPAN HILLS WD,Blooming Grove (T),"New Well, storage tank, disinfection for new well, New Water Treatment Plant, New Ground Water Source, Upgrade Storage",450,2000000,60,1552840740,
19645,Dutchess,SCHREIBER WATER WORKS,DCWWA,"New well and treatment for removal of gross alpha, radium, iron/manganese, and sulfate, New Water Treatment Plant, New Ground Water Source",80,4653540,60,1557494280,
19560,Orange,WALTON LAKE ESTATES WD,Chester (T),"Rehabilitation of two existing wells, upgrades to pump and water treatment, and install new raw watermain., New Water Treatment Plant, New Ground Water Source, Upgrade Distribution System",800,2092500,60,1559586780,
18883,Oneida,ORISKANY FALLS VILLAGE,Oriskany Falls (V),"Booster pump station and water main upgrades on Cooper, College, and Cottage Streets, New Pump Station, Upgrade Distribution System, New Distribution System",682,1300000,60,1560886780,
19326,Dutchess,AMENIA WATER DISTRICT NO 1,Amenia (T),"Lead Service Line Inventory., Upgrade Distribution System",1005,481000,60,1561367780,BLSLR
18743,Niagara,NORTH TONAWANDA (C),North Tonawanda (C),"WTP Improvements., Upgrade Water Treatment Plant",31568,0,60,1561367780,FMP
18631,Orange,NEWBURGH (C),Newburgh (C),"Replacement of filter media and installation of SCADA system., Upgrade Water Treatment Plant",28866,0,60,1561367780,FMP
19025,Orleans,ALBION VILLAGE,Albion (V),"Phase 2A and 2B WTP Improvements, Upgrade Water Treatment Plant, Upgrade Transmission, Upgrade Storage",6000,7855059,60,1569222839,
18896,Allegany,CUBA (V),Cuba (V),"Water main replacement and improvements to well site and storage tanks., Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System",1500,0,60,1569222839,FMP
18282,Oswego,CLEVELAND VILLAGE,Cleveland (V),"Storage & Transmission Upgrades., New Ground Water Source, Upgrade Storage, Upgrade Distribution System",925,0,60,1569222839,FMP
18587,Niagara,NIAGARA FALLS WATER BOARD,Niagara Falls Water Board,"Beech Ave Storage Tank Replacement., Upgrade Storage",48500,15240000,60,1584462839,
19213,Allegany,WELLSVILLE (V),Wellsville (V),"Village-Wide Watermain Replacement, Upgrade Distribution System",5700,6828000,60,1591290839,
19211,Wayne,WOLCOTT (V),Wolcott (V),"Village of Wolcott WTP Upgrades, Upgrade Water Treatment Plant",2465,8400000,60,1599690839,
18751,Warren,NORTH CREEK WATER DISTRICT,Johnsburg (T),"New Storage tank to replace South Tank and Distribution System Upgrades., New Storage, Upgrade Pump Station, Upgrade Distribution System",1000,0,60,1599690839,FMP
18299,Madison,DERUYTER (V),DeRuyter (V),"Water Systems Improvements - Storage, WTP, and Watermain upgrades., Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Distribution System",643,3646335,60,1603337174,
18579,Lewis,TOWN OF DIANA WATER DISTRICT,Diana (T),"Upgrade Wells 1 and 3, Distribution Looping and New Water Meters., Upgrade Ground Water Source, Upgrade Distribution System",618,6180000,60,1609517174,
19149,Chemung,WELLSBURG (V),Wellsburg (V),"Tank decommissioning & replacements, distribution upgrades, new emergency ground supply, New Ground Water Source, Upgrade Storage, Upgrade Storage, Upgrade Distribution System",580,6536623,60,1616053797,
18835,Sullivan,NARROWSBURG WD,Tusten (T),"System-wide Infrastructure Upgrades., Upgrade Storage, Upgrade Distribution System",500,0,60,1616053797,FMP
18890,Chemung,MILLPORT (V),Millport (V),"New Well and Upgrade Tank, Meters, and Telemetry., New Other Expenses, Upgrade Ground Water Source, Upgrade Storage, New Other (OT)",292,1604100,60,1617657897,
18797,Sullivan,MELODY LAKE ACRES,Thompson (T),"Well No. 1 Upgrades and Replace storage tank, chlorination and corrosion control systems., Upgrade Water Treatment Plant",150,725000,60,1618382897,
18198,Chenango,OXFORD VILLAGE,Oxford (V),"Upgrades to valve vault, distribution & transmission mains., Upgrade Transmission, Upgrade Distribution System",1738,0,60,1618382897,FMP
18813,Cattaraugus,FRANKLINVILLE (V),Franklinville (V),"South and North Wellhouse Improvements & Howard Street Water Main Replacement., Upgrade Ground Water Source, Upgrade Distribution System",728,0,60,1618382897,FMP
19544,Seneca,TOWN OF FAYETTE WD NO. 8,Fayette (T),"WD No. 8 Phase 2, Extend Distribution System",450,1854000,60,1620236897,
19104,Suffolk,SUFFOLK COUNTY WATER AUTHORITY,SCWA,"Connection of public water to residences in Calverton, Town of Brookhaven along South River road due to PFAS detection in private wells, Upgrade Distribution System",1009264,6850000,60,1627086897,BEC
19790,Genesee,PEMBROKE (T) WD NO. 4,Pembroke (T),"New WD No. 4, New Water District",685,15101000,60,1642187897,
18930,Oswego,WATER SERVICE AREA #6,Mexico (T),"Provide public water to Water Service Area #6, New Distribution System",479,5465000,60,1647652897,
18932,Oswego,COUNTY RT. 57 / HUNTLEY RD WATER DISTRICT,Schroeppel (T),"County Route 57 / Huntley Road Water District., New Distribution System",253,4903800,60,1652556697,
19773,Cayuga,MONTEZUMA WD 2,Montezuma (T),"Expansion of water system, creation of Town's service area no. 2., Extend Distribution System",250,9143282,60,1661699979,
19548,Wyoming,TOWN OF PERRY WD NO. 2,Perry (T),"New WD No. 2, Upgrade Distribution System",215,6360734,60,1668060713,
18765,Herkimer,TOWN OF FRANKFORT,Frankfort (T),"Center and Zolad Roads WD., New Distribution System, New Water District",170,1365000,60,1669425713,
19501,Madison,WATER DISTRICT 14,Lenox (T),"Water District 14 Waterline Extension, New Water District",50,1100000,60,1670525713,
19192,Yates,WATER DISTRICT NO. 5,Benton (T),"New Water District No.5, New Water District",39,1144000,60,1671669713,
15616,Ulster,PORT EWEN WATER DISTRICT,Esopus (T),New Storage,4800,0,55,1671669713,FMP
19158,Ontario,TOWN OF BRISTOL WD NO. 1,Bristol (T),"Day Road Tank Improvements to Address DBPs, Upgrade Storage",2136,333720,55,1672003433,
19040,Orange,MONROE WD NO. 8,Monroe (T),"Water District No. 8 - New Groundwater Source Development, New Water Treatment Plant, New Ground Water Source",544,2700000,55,1674703433,
19568,Putnam,KENT WD NO. 1 AND 2,Kent (T),"Installation of Ion Exchange to remove PFAS, Upgrade Water Treatment Plant",480,1004000,55,1675707433,
19496,Putnam,STARR RIDGE MANOR,Southeast (T),"Starr Ridge - Installation of GAC treatment to address PFAS contamination, Upgrade Water Treatment Plant",295,3000000,55,1678707433,BEC
19495,Putnam,BIRCH HILL ACRES,Southeast (T),"Birch Hill Acres - Installation of GAC treatment to address PFAS contamination, Upgrade Water Treatment Plant",60,3000000,55,1681707433,BEC
19539,Wyoming,SHELDON-VARYSBURG WD,Sheldon (T),"Replacement of WM, Storage Tank, and New Wellhouse, Upgrade Storage, Upgrade Distribution System",350,2697570,55,1684405003,
17301,Jefferson,ADAMS VILLAGE,Adams (V),"Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Distribution System",2000,0,55,1684405003,FMP
18822,Dutchess,WAPPINGERS FALLS (V),Wappingers Falls (V),"New Greensand WTP for Mn Removal, New Water Treatment Plant, Upgrade Ground Water Source, Upgrade Storage",6731,3042840,55,1687447843,
16236,Dutchess,RED HOOK VILLAGE,Red Hook (V),"New Ground Water Source, Upgrade Ground Water Source, New Storage, Upgrade Distribution System",2214,0,55,1687447843,FMP
18814,Otsego,EDMESTON (T),Edmeston (T),"Treatment and Distribution System Improvements, Upgrade Water Treatment Plant, Upgrade Distribution System",900,9647000,55,1697094843,
18585,Rensselaer,PETERSBURGH WATER DISTRICT,Petersburgh (T),"Address PFAS, Develop Additional GW Source, Storage and Distribution Improvements, Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Storage, Upgrade Distribution System",240,0,55,1697094843,FMP
19847,Delaware,TREADWELL WATER DISTRICT,,"Treadwell Water District Improvements Project, Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Storage",140,1500000,55,1698594843,
19267,Franklin,MALONE (V),Malone (V),"New production well, trans. main, upgrades well buildings, WTP and water meters, Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Transmission",6619,13802000,55,1712396843,
18069,Madison,HAMILTON VILLAGE,Hamilton (V),"New Redundant Source, New Ground Water Source, Upgrade Distribution System",3904,3872800,55,1716269643,
19046,Delaware,DELHI (V),Delhi (V),"Distribution, Storage, & Pump Station Upgrades, Upgrade Storage, Upgrade Pump Station, Upgrade Distribution System",3833,6500000,55,1722769643,
18622,Allegany,ALFRED VILLAGE WATER SUPPLY,Alfred (V),"Upgrade Transmission, Upgrade Storage, Upgrade Pump Station, Upgrade Distribution System",3500,1500000,55,1724269643,FMP
18232,Jefferson,ADAMS VILLAGE,Adams (V),"Upgrade Ground Water Source, Upgrade Distribution System",2000,0,55,1724269643,FMP
19133,Cayuga,WEEDSPORT (V),Weedsport (V),"Water Systems Improvements, Upgrade Storage, Upgrade Distribution System",1945,22008000,55,1746277643,
19766,Sullivan,LIVINGSTON WD,Rockland (T),"Distribution and Storage Improvements, Upgrade Storage, Upgrade Distribution System",850,8365746,55,1754643389,
19574,Steuben,PRATTSBURGH WD,Prattsburgh (T),"Water distribution system improvements, Upgrade Other Expenses, Upgrade Storage, Upgrade Distribution System, Upgrade Other (OT)",594,7107000,55,1761750389,
19243,Steuben,COHOCTON (T),Cohocton (T),"Tank rehab, distribution upgrades and looping, well house improvements, Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System",485,3759150,55,1765509539,
19165,Onondaga,SYRACUSE CITY,Syracuse (C),"Guilford, Brookford and Westminster Booster Pump Station Replacement, New Pump Station",192000,3707200,55,1769216739,
17867,Rensselaer,TROY (C),Troy (C),"Replace raw water transmission mains between Tomhannock and Troy WTP., Upgrade Transmission",135000,0,55,1769216739,FMP
19056,Niagara,NIAGARA FALLS WATER BOARD,Niagara Falls Water Board,"Water Main Replacement and WTP Upgrades, Upgrade Water Treatment Plant, Upgrade Distribution System",55593,10025000,55,1779241739,
18995,Rensselaer,TROY (C),Troy (C),"Phase 2 (North Section) RW Transmission Main., Upgrade Transmission",51400,2000000,55,1781241739,FMP
18208,Orange,KIRYAS JOEL VILLAGE,Kiryas Joel (V),"Interconnection NYC Aqueduct, Water Filtration Plant, Transmission main. Related to project DWSRF 16906, New Water Treatment Plant, New Transmission, New Inter-Connection",21750,0,55,1781241739,FMP
19751,Chautauqua,NORTH CHAUTAUQUA COUNTY WD,Chautauqua County,"North Chautauqua County WD Phase 3, Upgrade Distribution System",9000,8200000,55,1789441739,
19777,Monroe,BROCKPORT (V),Brockport (V),"Replacement of Distribution and Transmission WM, Controls and Appurtenances, Upgrade Distribution System",7300,10266010,55,1799707749,
18856,Allegany,WELLSVILLE VILLAGE PUBLIC WATER,Wellsville (V),"Replacement of WTP pumps and controls, meters, and aged water mains., Upgrade Water Treatment Plant, Upgrade Distribution System",5700,1596912,55,1801304661,
19770,Cayuga,FLEMING-SPRINGPORT WD,Fleming (T),"New water main to interconnect Fleming-Springport WD, Fleming Consolidated WD, and Owasco WD., Upgrade Distribution System, New Inter-Connection",5525,8005160,55,1809309821,
19512,Columbia,KINDERHOOK (T),Kinderhook (T),"Watermain replacement and extension, New Distribution System, Upgrade Distribution System",4400,4926000,55,1814235821,
19232,Wayne,CLYDE (V),Clyde (V),"New vertical turbine pumps, new well houses, treatment improvements, emergency backup power, Upgrade Water Treatment Plant, Upgrade Ground Water Source",2269,2544000,55,1816779821,
18809,Clinton,ROUSES POINT WATER DISTRICT,Rouses Point (V),"WTP Replacement with membrane microfiltration with raw water pump station. , New Water Treatment Plant, New Surface Water Source, New Pump Station",2139,10000000,55,1826779821,
15902,Steuben,ADDISON VILLAGE,Addison (V),"Main replacement & looping, new High Street Tank, wellhouse VFD improvements, Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System",1797,1690000,55,1828469821,
19515,Oswego,OSWEGO (C),Oswego (C),"Ellen St. and Gardiner Hill HSZ Interconnect, and rehab Gardiner Hill Tank, Upgrade Storage, Upgrade Distribution System",1700,11200000,55,1839669821,
19556,Montgomery,ST JOHNSVILLE (V),St. Johnsville (V),"Disinfection Upgrades, Tank Rehab, Monroe St. Main Replacement, Upgrade Storage, Upgrade Distribution System",1643,2278880,55,1841948701,
18534,Onondaga,SKYRIDGE/SALT SPRINGS JOINT PROJECT,Manlius (T),"Skyridge WD/Salt Springs WD Joint Water Project., New System Consolidation, New Water District",100,13700000,55,1855648701,
19224,Genesee,LEROY (T) WD 12,LeRoy (T),"WD #12 New Water Mains, New Water District",920,19472000,55,1875120701,
19747,Madison,TOWN OF LINCOLN WATER DISTRICT NO. 1,Lincoln (T),"Water District No. 1, New Water District",500,13750500,55,1888871201,
18737,Chemung,BIG FLATS WD #4,Big Flats (T),"Smith Valley and Ponderosa Drive Extension., Extend Distribution System",231,2277534,55,1891148735,
19188,Oswego,TOWN OF CONSTANTIA WD NO. 3,Constantia (T),"Water District 3 formation w/ new DI mains, valves and services, New Water District",140,3230080,55,1894378815,
19504,NY City,NEW YORK CITY,NYCMWFA,"Kensico-Eastview Connection - Phase 2, Upgrade Transmission",8271000,100000000,50,1994378815,EQ
19036,Ontario,GORHAM TOWN WATER DISTRICT,Gorham (T),"Comprehensive WTP Improvements, Upgrade Water Treatment Plant, Upgrade Pump Station",4373,0,50,1994378815,FMP
19772,Suffolk,FISHERS ISLAND WATER WORKS,Fishers Island Utility Co,"Barlow Pond SWTP Improvements, Upgrade Water Treatment Plant",3500,3531847,50,1997910662,
19527,Jefferson,BLACK RIVER (V),Black River (V),"Distribution, Maple St. Well, & New Source Improvements, New Ground Water Source, Upgrade Distribution System",4170,18200000,50,2016110662,
18444,Schenectady,SCOTIA (V),Scotia (V),"Water System Improvements, Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System",12800,8000000,50,2024110662,
17787,Schoharie,SCHOHARIE VILLAGE,Schoharie (V),"Water System Improvements, Upgrade Water Treatment Plant, Upgrade Storage, New Pump Station, Upgrade Distribution System",1030,0,50,2024110662,FMP
19262,Warren,CHESTERTOWN WD,Chester (T),"New well, upgrade distribution system, replace AC pipe, New Ground Water Source, Upgrade Distribution System",750,2947000,50,2027057662,
18305,Onondaga,ONONDAGA COUNTY WATER AUTHORITY,OCWA,"Lake Ontario Water Treatment Plant Improvements Phase 3 - Clearwells, Upgrade Water Treatment Plant",500000,33250000,50,2060307662,
18979,Schenectady,SCHENECTADY (C),Schenectady (C),"Phase 1 Rice Road Source and WTP Improvements, Upgrade Water Treatment Plant, New Ground Water Source",60000,7775470,50,2068083132,
16069,Suffolk,RIVERHEAD WD,Riverhead (T),"Construction of Replacement Production Well, Upgrade Water Treatment Plant, Upgrade Ground Water Source",28000,2754000,50,2070837132,
18058,Ulster,KINGSTON (CITY) WATER DISTRICT,Kingston (C),"Replacement of Mink Hollow Raw Water Intake, Upgrade Other Expenses, Upgrade Other (OT)",24000,0,50,2070837132,FMP
18906,Wyoming,ARCADE VILLAGE,Arcade (V),"Hamlet of Sandusky Water System Improvements, Upgrade Storage, Upgrade Distribution System",2400,4617490,50,2075454622,
19253,Franklin,CHATEAUGAY (V),Chateaugay (T),"Replacing spring house with new wells, water meters, and distribution work, New Ground Water Source, Upgrade Distribution System",1100,22911278,50,2098365900,
18526,Sullivan,JEFFERSONVILLE (V),Jeffersonville (V),"Construct new water storage tank, new pump/treatment building, and two new wells, New Ground Water Source, New Storage, Upgrade Distribution System",400,5314353,50,2103680253,
19379,Delaware,ANDES (T),Andes (T),"Installation of two wells, new treatment process, connection to distribution system, line existing reservoir, Upgrade Water Treatment Plant, Upgrade Surface Water Source, New Ground Water Source",350,2588550,50,2106268803,
18706,Onondaga,SYRACUSE CITY,Syracuse (C),"Intake No. 2 Extension, Upgrade Surface Water Source",192000,14011500,50,2120280303,
18294,Niagara,LOCKPORT (C),Lockport (C),Upgrade Transmission,21165,0,50,2120280303,FMP
18428,Oswego,OSWEGO (C),Oswego (C),"McCaffrey WTP Upgrades, Upgrade Water Treatment Plant",18142,750000,50,2121030303,FMP
19519,Yates,PENN YAN (V),Penn Yan (V),"Upgrades to WTP to improve water quality and system reliability, Upgrade Water Treatment Plant, Upgrade Storage",8159,5610000,50,2126640303,
18759,Orleans,ALBION VILLAGE,Albion (V),"Improvements to the existing WTP and pump station, and replacement of aged transmission main, Upgrade Water Treatment Plant, Upgrade Transmission, Upgrade Pump Station",6000,0,50,2126640303,FMP
18820,Steuben,BATH (V),Bath (V),"W. Washington, Liberty, Geneva, W. Morris St, E Steuben Distribution Improvements, Upgrade Distribution System",5500,0,50,2126640303,FMP
19805,Saratoga,SOUTH GLENS FALLS (V),South Glens Falls (V),"Replacement of aged water main along Ferry Boulevard, Upgrade Distribution System",3744,1000000,50,2127640303,
19834,Chautauqua,WESTFIELD (V),Westfield (V),"Westfield (V) Distribution System Improvements, New Distribution System",2683,8795400,50,2136435703,
18565,Steuben,CANISTEO VILLAGE,Canisteo (V),"Replace critical sections of the water main within the Village's distribution system, and upgrades to storage tank and meters, Upgrade Storage, Upgrade Distribution System",2320,0,50,2136435703,FMP
18412,Montgomery,CANAJOHARIE (V) WATER WORKS,Canajoharie (V),"Storage tank replacement, storage tank rehabilitation, distribution upgrades, New Storage, Upgrade Storage, Upgrade Distribution System",2300,0,50,2136435703,FMP
18206,Cortland,CORTLAND (C),Cortland (C),"Clinton Avenue Distribution System Upgrade, Upgrade Distribution System",20095,2009463,50,2138445166,
19488,Fulton,GLOVERSVILLE (C) WATER WORKS,Gloversville (C),"Water Meter Replacement project, Upgrade Other Expenses, Upgrade Other (OT)",15300,1350000,50,2139795166,
19835,Monroe,PARMA (T),Parma (T),"Town of Parma Water Improvement Benefit Area No. 1, New Distribution System",213,3435037,50,2143230203,
18671,Nassau,HEMPSTEAD (V),Hempstead (V),"1,4-dioxane Treatment at Laurel Ave Plant (Well Nos. 7 and 9), Upgrade Water Treatment Plant",56000,6263074,50,2149493277,
19136,Genesee,BETHANY (T),Bethany (T),"Water District No.5, New Water District",1000,20040000,50,2169533277,
19533,Oswego,PARISH (V),Parish (V),"New Village Municipal Water System, New Water District",534,13047010,50,2182580287,
17058,Jefferson,HOUNSFIELD WD 2,Hounsfeld (T),Extend Distribution System,500,794439,50,2183374726,
19193,Yates,TOWN OF BENTON WATER DISTRICT NO.6,Benton (T),"New Water District No.6, New Water District",450,26889000,50,2210263726,
18859,Madison,WHITELAW WD,Sullivan (T),"Whitelaw WD - Extend water service to areas served by private wells., New Water District",180,5960000,50,2216223726,
19425,Herkimer,ILION (V) WATER WORKS,Ilion (V),"Lead service line inventory., Upgrade Distribution System",7646,1077380,45,2217301106,BLSLR
19426,Herkimer,ILION (V) WATER WORKS,Ilion (V),"Lead service line replacement., Upgrade Distribution System",7646,4071590,45,2221372696,BLSLR
19423,Herkimer,HERKIMER (V),Herkimer (V),"Lead service line inventory., Upgrade Distribution System",7500,801340,45,2222174036,BLSLR
19424,Herkimer,HERKIMER (V),Herkimer (V),"Lead service line replacement., Upgrade Distribution System",7500,13208720,45,2235382756,BLSLR
19370,Orange,WARWICK (V),Warwick (V),"Lead Service Line Inventory, Upgrade Distribution System",6652,575770,45,2235958526,BLSLR
18918,Dutchess,RHINEBECK VILLAGE WATER,Rhinebeck (V),"Upgrade Water Treatment Plant, Upgrade Storage",4300,0,45,2235958526,FMP
19159,Jefferson,SACKETS HARBOR (V),Sackets Harbor (V),"E. Main St., E. Washington St., etc. Watermain Replacement, Upgrade Distribution System",1503,3190000,45,2239148526,
19131,Erie,ERIE COUNTY WATER AUTHORITY,Erie County Water Authority,"Rehabilitation of Filters 1 through 4 - Van de Water WTP, Upgrade Water Treatment Plant",180000,28706700,45,2267855226,
18458,Washington,FORT EDWARD VILLAGE,Fort Edward (V),"Hill Storage Tank Replacement and Upgrade PS and Distribution., New Storage, Upgrade Pump Station, Upgrade Distribution System",3150,0,45,2267855226,FMP
19555,Saratoga,SCHUYLERVILLE-VICTORY WATER BOARD,Schuylerville-Victory WB,"Joint Water System Improvements, Upgrade Water Treatment Plant, Upgrade Distribution System",2200,9187900,45,2277043126,
19764,Sullivan,ROSCOE-ROCKLAND WD,Rockland (T),"New wells, treatment, and main replacement, New Water Treatment Plant, New Ground Water Source, Upgrade Distribution System",500,8300000,45,2285343126,
