Project.Number,County,System.Name,Borrower,Description,Pop,Project.Cost,Score,Cumulative.Total
19565,Dutchess,POUGHKEEPSIE (C),Poughkeepsie (C),"Water main replacement Phases 1 - 10, Upgrade Distribution System",32000,77804140,35,1004103639
19032,Dutchess,PAWLING WD NO. 2,Pawling (T),"Pawling WD No. 2 Phase 1 Treatment and Storage Upgrades, Upgrade Water Treatment Plant, Upgrade Storage",243,853500,30,1004957139
19576,Dutchess,WAPPINGERS FALLS (V),Wappingers Falls (V),"Water Meter Replacement, Upgrade Distribution System",6500,1725500,30,1006682639
18787,Dutchess,RED HOOK WATER DISTRICT #1,Red Hook (V),"Enhance interconnection with Red Hook (T); eliminate Well #4 due to PFAS, Upgrade Storage, Upgrade Distribution System, Upgrade Inter-Connection",1440,0,25,1006682639
18864,Dutchess,UNITED WAPPINGER WATER IMPROVEMENT DIST.,Wappinger (T),"Installation of GAC for PFOA/PFOS removal., Upgrade Water Treatment Plant, Upgrade Distribution System",14000,5170000,25,1011852639
18949,Dutchess,MILLERTON (V),Millerton (V),"Replacement of watermain, minor updates to Well, Upgrade Distribution System",2150,6280454,25,1018133093
19173,Dutchess,POUGHKEEPSIE (T),Poughkeepsie (T),"Rehabilitation of two 5 MG tanks and improvements to Spackenkill Water Pump Station, Upgrade Storage, Upgrade Pump Station",45471,11251426,25,1029384519
18780,Dutchess,FISHKILL (V),Fishkill (V),"Water System Upgrades and rehabilitation of existing wells, Upgrade Water Treatment Plant, Upgrade Ground Water Source, Upgrade Storage",11289,10525000,20,1039909519
19380,Dutchess,MILLERTON (V),Millerton (V),"Lead Service Line Inventory, Upgrade Distribution System",2000,128000,20,1040037519
19345,Dutchess,RED HOOK WD NO. 1,Red Hook (T),"Storage Tank Replacement on Kelly Road, Upgrade Storage",1600,4338900,20,1044376419
19189,Dutchess,UNITED WAPPINGER WATER IMPROVEMENT DIST.,Wappinger (T),"Installation of 3 Wells, 1 MG Tank, New Ground Water Source, New Storage",14000,5922000,15,1050298419
19562,Dutchess,BEACON (C),Beacon (C),"Melzingah Reservoir Hypolimnetic Aeration System for HABs control., Upgrade Surface Water Source",14370,1485384,15,1051783803
19389,Dutchess,RED HOOK WATER DISTRICT NO. 1,Red Hook (T),"Lead Service Line Inventory, Upgrade Distribution System",1600,178000,15,1051961803
19435,Dutchess,DUTCHESS COUNTY WWA,Dutchess County WA,"Lead Service Line Inventory, Upgrade Distribution System",15979,121326,15,1052083129
19845,Dutchess,POUGHKEEPSIE WATER TREATMENT FACILITY,Poughkeepsie JWB,"Filter underdrain replacement, Upgrade Water Treatment Plant",74504,4415700,15,1056498829
19564,Dutchess,BEACON (C),Beacon (C),"Cargill Reservoir Hypolimnetic Aeration System for HABS control., Upgrade Surface Water Source",14370,2727167,15,1059225996
19846,Dutchess,POUGHKEEPSIE (T),Poughkeepsie (T),"Speakenkill Water Pump Station rehabilitation., Upgrade Pump Station",45518,5887595,15,1065113591
19340,Dutchess,UNITED WAPPINGER WATER IMPROVEMENT DIST.,Wappinger (T),"Distribution main extension along Route 9., Extend Distribution System",14000,8326405,10,1073439996
19418,Dutchess,BRINKERHOFF WATER DISTRICT,Fishkill (T),"Installation of looping main, Upgrade Distribution System",3788,725000,10,1074164996
19547,Erie,AKRON VILLAGE,Akron (V),"Improve Water Storage Tank. Install TTHM Removal System, Upgrade Storage",2900,6500000,85,1080664996
19553,Erie,WEST SENECA (T),West Seneca (T),"ECWA Connection/Conversion, Extend Distribution System, Upgrade Distribution System",1968,10327707,50,1090992703
19657,Erie,HAMBURG (V),Hamburg (V),"Replace Water Storage Tank, New Pump Station, New SCADA System, Upgrade Storage",9556,10764000,50,1101756703
19118,Erie,ERIE COUNTY WATER AUTHORITY,Erie County Water Authority,"Replacement of the Van de Water Raw Water Pumping System, Upgrade Pump Station",180000,14280000,45,1116036703
19053,Erie,CAYUGA CREEK WD,Alden (T),"Cayuga Creek Water District, New Water District",56,887600,45,1116924303
19131,Erie,ERIE COUNTY WATER AUTHORITY,Erie County Water Authority,"Rehabilitation of Filters 1 through 4 - Van de Water WTP, Upgrade Water Treatment Plant",180000,28706700,45,1145631003
19276,Erie,ALDEN (T),Alden (T),"Water District No. 5, New Water District",1500,20497000,45,1166128003
19137,Erie,ERIE COUNTY WATER AUTHORITY,Erie County Water Authority,"Sturgeon Point WTP Washwater Tank Replacement., New Water Treatment Plant",479000,3744250,40,1169872253
19023,Erie,ERIE COUNTY WATER AUTHORITY,Erie County Water Authority,"Castle Hill Pump Station Replacement, Upgrade Pump Station",-,2940400,40,1172812653
19621,Erie,BUFFALO (C),Buffalo (C),"Lead Service Line Replacement, Upgrade Distribution System",2800,11516000,40,1184328653
19409,Erie,BUFFALO WATER BOARD,Buffalo (C),"Lead Service Line Replacement., Upgrade Distribution System",900,5460000,40,1189788653
19117,Erie,ERIE COUNTY WATER AUTHORITY,Erie County Water Authority,"Replacement of the Van de Water High Service Pump System, Upgrade Pump Station",180000,46440000,40,1236228653
18862,Erie,BUFFALO WATER BOARD,Buffalo Water Board,"Water main and lead service line replacement., Upgrade Distribution System",1350,21450000,40,1257678653
19195,Erie,ERIE COUNTY WATER AUTHORITY,Erie County Water Authority,"Sturgeon Point WTP Filtered Water Bypass, Upgrade Water Treatment Plant",370000,2950400,35,1260629053
19861,Erie,BUFFALO (C),Buffalo (C),"Lead Service Line Replacement, Upgrade Distribution System",4400,16372000,35,1277001053
19219,Erie,ERIE COUNTY WATER AUTHORITY,Erie County Water Authority,"Van de Water WTP - Additional Filters No.5 and No.6, Upgrade Water Treatment Plant",180000,30246400,35,1307247453
19055,Erie,ERIE COUNTY WATER AUTHORITY,Erie County Water Authority,"30-Inch Transmission Main Replacement on Various Areas, Upgrade Transmission",215000,4240300,35,1311487753
19431,Erie,ERIE COUNTY WATER AUTHORITY,Erie County Water Authority,"Sandridge Water Storage Tank Rehabilitation, Upgrade Storage",17600,3485000,35,1314972753
19116,Erie,ERIE COUNTY WATER AUTHORITY,Erie County Water Authority,"Transmission Main Improvements - Town Cheektowaga and City of Lackawanna, Upgrade Transmission",100000,9069860,35,1324042613
19833,Erie,ERIE COUNTY WATER AUTHORITY,ECWA,"ECWA 2024 Lead Service Line Replacements, Upgrade Distribution System",551274,8447400,30,1332490013
19442,Erie,GRAND ISLAND (T),Grand Island (T),"Grand Island Water System Pump Station Improvements, Upgrade Pump Station",21389,1982750,30,1334472763
19115,Erie,ERIE COUNTY WATER AUTHORITY,Erie County Water Authority,"Interconnection to City of Buffalo to provide 20MGD, New Inter-Connection",550000,34127800,30,1368600563
19111,Erie,ERIE COUNTY WATER AUTHORITY,Erie County Water Authority,"Replacement of 18 Mile Creek Transmission Crossings, Upgrade Transmission",370000,16850000,30,1385450563
19851,Erie,TONAWANDA (T),Tonawanda (T),"Raw Water Intake Modification and Cleaning, Upgrade Transmission",72636,6504486,30,1391955049
19112,Erie,ERIE COUNTY WATER AUTHORITY,Erie County Water Authority,"Water Main Replacement Town of Amherst, Upgrade Distribution System",180000,11490000,25,1403445049
19122,Erie,ERIE COUNTY WATER AUTHORITY,Erie County Water Authority,"Van De Water WTP and RWPS HVAC Upgrades, Upgrade Water Treatment Plant",180000,3831863,25,1407276912
19237,Erie,ERIE COUNTY WATER AUTHORITY,Erie County Water Authority,"Union Road Watermain Replacement, Upgrade Distribution System",150000,10439606,25,1417716518
19114,Erie,ERIE COUNTY WATER AUTHORITY,Erie County Water Authority,"Line Maintenance Facility at Sturgeon Point WTP, Upgrade Other Expenses, Upgrade Other (OT)",370000,2997200,25,1420713718
19615,Erie,ERIE COUNTY WA,Erie County Water Authority,"Lead Service Line Replacement, Upgrade Distribution System",117,910000,25,1421623718
19509,Erie,TONAWANDA (T),Tonawanda (T),"Electrical Upgrades at WTP and Pump Station, New Water Treatment Plant",72100,37080000,25,1458703718
19274,Erie,AKRON (V),Akron (V),"East Avenue Water Main Replacement, Upgrade Distribution System",3085,3028200,25,1461731918
19282,Erie,TONAWANDA (T),Tonawanda (T),"Lead service line inventory., Upgrade Distribution System",88990,324500,25,1462056418
19655,Erie,EVANS (T),Evans (T),"Ph1A Watermain Replacement, Upgrade Distribution System",15321,8300000,20,1470356418
19732,Erie,BOSTON (T),Boston (T),"WD No. 1 & No. 2 Water System Improvements Phase 2 & 3, Upgrade Distribution System",7948,10088975,20,1480445393
19852,Erie,WEST SENECA (T),West Seneca (T),"WM Replacement on Bullis and Seneca, Upgrade Distribution System",9722,3604872,20,1484050265
18901,Erie,BOSTON (T),Boston (T),"Water Districts No.1 & 2 Water System Improvements, Upgrade Pump Station, Upgrade Distribution System",6604,16123067,20,1500173332
18605,Erie,GRAND ISLAND TOWN WATER DEPT.,Grand Island (T),"Baseline Road Water Main Improvements, Upgrade Distribution System",19500,5370000,15,1505543332
19842,Erie,ORCHARD PARK (V),Orchard Park (V),"WM Replacement on South Buffalo St, Upgrade Distribution System",3108,2596036,15,1508139368
19052,Erie,LANCASTER (T),Lancaster (T),"Cemetery Rd Water Main Replacement, Upgrade Distribution System",45114,4046500,10,1512185868
17629,Essex,ESSEX WD,Essex (T),"WTP Upgrades and New GW Source., Upgrade Water Treatment Plant, New Ground Water Source",300,0,1165,1512185868
18275,Essex,KEESEVILLE V,Chesterfield (T),"WTP, storage, and distribution improvements., Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Distribution System",2300,0,1155,1512185868
18184,Essex,CROWN POINT WD,Crown Point (T),"Rehab and upgrades to contaminated wells and replacing mains with severe break history., Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Distribution System",995,0,1135,1512185868
18982,Essex,WILLSBORO WD,Willsboro (T),"Phase I - new WTP, intake improvements, pump station upgrades., New Water Treatment Plant, New Storage, Upgrade Distribution System",1571,12157962,1090,1524343830
18270,Essex,CHILSON-EAGLE LAKE WD,Ticonderoga (T),"Chilson-Eagle Lake SWTR Compliance Project., New Surface Water Treatment Rule Compliance Facility, New Ground Water Source, Upgrade Distribution System",200,14000000,140,1538343830
18709,Essex,ELIZABETHTOWN WD,Elizabethtown (T),"New well to meet capacity standards, address use of springs (GWUDI), Telemetry & Treatment., Upgrade Water Treatment Plant, New Ground Water Source",800,3744565,115,1542088395
18869,Essex,KEENE WD,Keene (T),"WD #2. New redundant well and upgrades to well building., New Ground Water Source",238,6355150,90,1548443545
18844,Essex,TICONDEROGA WD,Ticonderoga (T),"New Meters and Storage., New Storage, Upgrade Distribution System",5000,10104679,50,1558548224
19421,Essex,LAKE PLACID (V),Lake Placid (V),"Lead service line inventory., Upgrade Distribution System",2229,440632,30,1558988856
18423,Essex,RAY BROOK WD,North Elba (T),"Upgrade Storage, Upgrade Distribution System",400,0,30,1558988856
18887,Essex,MINERVA WD,Minerva (T),"Replacement of Approx. 6,400-ft of water main., Upgrade Distribution System",800,0,20,1558988856
18061,Franklin,TUPPER LAKE (V),Tupper Lake (V),"New wells to replace SW source and inadequate DE plant., New Ground Water Source, Upgrade Distribution System",5500,0,1230,1558988856
19258,Franklin,TUPPER LAKE (V),Tupper Lake (V),"Tupper Lake Intake and WTP Rehab., Upgrade Water Treatment Plant, Upgrade Surface Water Source",5500,12897900,110,1571886756
18531,Franklin,SARANAC LAKE (V),Saranac Lake (V),"New Surface Water Source, WM Replacement, New Water Treatment Plant, New Surface Water Source, Upgrade Distribution System",4887,22635000,100,1594521756
19794,Franklin,BIRCH MOBILE HOME PARK,Birch Park MHP,"Installation of GAC for PFAS, new well, new disinfection, Upgrade Water Treatment Plant, New Ground Water Source",90,668923,80,1595190679
19267,Franklin,MALONE (V),Malone (V),"New production well, trans. main, upgrades well buildings, WTP and water meters., Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Transmission",6619,13802000,55,1608992679
19253,Franklin,CHATEAUGAY (V),Chateaugay (T),"Replacing spring house with new wells, water meters, and distribution work., New Ground Water Source, Upgrade Distribution System",1100,22911278,50,1631903957
19467,Franklin,MALONE (V),Malone (V),"Lead service line inventory., Upgrade Distribution System",8560,190358,40,1632094315
19775,Franklin,TOWN OF TUPPER LAKE WD 1,Tupper Lake (T),"Water Main Replacement and Installation, Upgrade Distribution System",,9270000,30,1641364315
19427,Franklin,SARANAC LAKE (V),Saranac Lake (V),"Lead service line inventory., Upgrade Distribution System",5800,1151160,15,1642515475
18976,Fulton,GLOVERSVILLE (C) WATER WORKS,Gloversville (C),"WTP and Water Distribution system improvements. New booster pump station., Upgrade Water Treatment Plant, New Pump Station, Upgrade Distribution System",17991,0,1070,1642515475
18315,Fulton,GLOVERSVILLE (C) WATER WORKS,Gloversville (C),"New Storage, Upgrade Distribution System",17991,1000000,80,1643515475
19488,Fulton,GLOVERSVILLE (C) WATER WORKS,Gloversville (C),"Water Meter Replacement project., Upgrade Other Expenses, Upgrade Other (OT)",15300,1350000,50,1644865475
19278,Fulton,GLOVERSVILLE (C) WATER WORKS,Gloversville (C),"New Transmission Main and upgrades to the distribution system., New Transmission, Upgrade Distribution System",15300,5309551,45,1650175026
17882,Fulton,BROADALBAN (V),Broadalbin (V),"Replace Aged Storage Tank, New Storage",1500,0,45,1650175026
19436,Fulton,GLOVERSVILLE (C) WATER WORKS,Gloversville (C),"Lead service line replacement., Upgrade Distribution System",4723,12209763,40,1662384789
19092,Fulton,NORTHAMPTON (T),Northampton (T),"State Route 30 / Bridge Street Area Distribution Improvements, Upgrade Distribution System",2670,1408079,30,1663792868
19790,Genesee,PEMBROKE (T) WD NO. 4,Pembroke (T),"New WD No. 4, New Water District",685,15101000,60,1678893868
18991,Genesee,WD NO. 6,Alexander (T),"New Water District No.6, New Distribution System",350,6270000,60,1685163868
19224,Genesee,LEROY (T) WD 12,LeRoy (T),"WD #12 New Water Mains, New Water District",920,19472000,55,1704635868
19849,Genesee,STAFFORD (T),Stafford (T),"Water District No. 14, New Distribution System",30,530000,50,1705165868
19136,Genesee,BETHANY (T),Bethany (T),"Water District No.5, New Water District",1000,20040000,50,1725205868
19776,Genesee,BATAVIA (C),Batavia (C),"Replacement of WM on Walnut St, Upgrade Distribution System",15600,4170000,40,1729375868
19862,Genesee,BATAVIA (C),Batavia (C),"Lead Service Line Replacement Project, Upgrade Distribution System",3110,10744805,35,1740120673
19559,Genesee,GENESEE COUNTY WATER SUPPLY,Genesee County,"Phase 3 Water Supply Project., New Distribution System",30000,155486524,35,1895607197
19223,Genesee,GENESEE COUNTY WATER SUPPLY,Genesee County,"Phase 3 Water Supply Project, Part 3. Funding Phase 3 of #19559., New Distribution System",30000,55680000,35,1951287197
19222,Genesee,GENESEE COUNTY WATER SUPPLY,Genesee County,"Phase 3 Water Supply Project, Part 2. Funding Phase 2 of #19559., New Distribution System",30000,46520000,35,1997807197
19619,Genesee,BATAVIA (C),Batavia (C),"Lead Service Line Inventory, Upgrade Distribution System",15600,772500,35,1998579697
19221,Genesee,GENESEE COUNTY WATER SUPPLY,Genesee County,"Phase 3 Water Supply Project, Part 1. Funding Phase 1 of #19559., New Distribution System",30000,50800000,35,2049379697
19497,Genesee,GENESEE COUNTY WATER SUPPLY,Genesee County,"Phase 2 - Chlorination Booster Upgrades, Tank THM Treatment, and Transmission Upgrades",57808,2812000,30,2052191697
18919,Genesee,MONROE COUNTY WA,Monroe County Water Authority,"1.5MG Tank Installation in Town of Pavilion., New Storage",8820,5055000,20,2057246697
19649,Genesee,BATAVIA (T),Batavia (T),"Pearl Street Rd, Asbestos Cement WM Replacement, Upgrade Distribution System",6293,3675900,20,2060922597
15958,Greene,PRATTSVILLE WATER DISTRICT,Prattsville (T),"Address organics violations and inadequate source capacity, New Ground Water Source",410,150000,1155,2061072597
18764,Greene,CATSKILL (V),Catskill (V),WTP improvements to control DBPs and replace water mains on Main Street.,4081,0,1090,2061072597
19506,Greene,ATHENS (V),Athens (V),"Surface Water Treatment Plant Rehabilitation, Upgrade Surface Water Treatment Rule Compliance Facility",1586,1331338,95,2062403935
15704,Greene,COXSACKIE VILLAGE,Coxsackie (V),New storage tank and transmission main upgrades.,4010,0,75,2062403935
18917,Greene,ASHLAND WD,Ashland (T),"Ashland WD Extension Along NYS Rt. 23., Extend Distribution System",200,437750,70,2062841685
19733,Greene,CATSKILL (V),Catskill (V),"Lead Service Line Replacement., Upgrade Distribution System",5000,355150,40,2063196835
19579,Greene,SLEEPY HOLLOW LAKE WATER COMPANY,Sleepy Hollow Lake APO,"Sleepy Hollow Lake WTP Upgrades, Upgrade Water Treatment Plant",2460,8376498,40,2071573333
19629,Greene,CATSKILL (V),Catskill (V),"Lead Service Line Inventory., Upgrade Distribution System",5000,1272369,40,2072845702
19832,Greene,CATSKILL (V),Catskill (V),"Replacement of approximately 4,685 LF of Watermain, Upgrade Distribution System",3833,5000000,35,2077845702
19808,Greene,VILLAGE OF COXSACKIE,Coxsackie (V),"Lead Service Line Inventory., Upgrade Distribution System",1300,41450,30,2077887152
19106,Greene,TANNERSVILLE (V),Tannersville (V),"Emergency Water Storage Tank Replacement, Upgrade Storage",600,400000,30,2078287152
19815,Greene,VILLAGE OF COXSACKIE,Coxsackie (V),"Lead Service Line Replacement., Upgrade Distribution System",210,1294945,30,2079582097
18430,Hamilton,BLUE MT LAKE WD,Indian Lake (T),"DBP Compliance Project., New Ground Water Source",400,5000000,80,2084582097
19260,Hamilton,LONG LAKE WD,Long Lake (T),"Rehab and replace existing Distribution System, well upgrades, WTP upgrades.",800,46350000,35,2130932097
19094,Hamilton,SPECULATOR (V),Speculator (V),"Elm Lake Road Water Main Replacement and Transmission Upgrades, Upgrade Transmission, Upgrade Distribution System",408,2200000,35,2133132097
18563,Herkimer,ILION (V) WATER WORKS,Ilion (V),"Medium Priority Distribution Improvements and Eastern Mohawk Valley Regional Trans Main Connection, Related to Project #18897",8610,0,1145,2133132097
18562,Herkimer,ILION (V) WATER WORKS,Ilion (V),Dedicated Well Transmission Main and High Priority Distribution Improvements.,8610,0,1135,2133132097
17422,Herkimer,"HERKIMER (T), WD NO. 3",Herkimer (T),"New Storage, New Pump Station, Distribution System Improvements",320,0,1080,2133132097
18860,Herkimer,HERKIMER (V),Herkimer (V),"High Priority System Upgrades and Eastern Mohawk Valley Regional Trans Main Connection, Related to Project #18897",7606,17498670,125,2150630767
18711,Herkimer,EAST SCHUYLER WD,Schuyler (T),"New Distribution System and Eastern Mohawk Valley Regional Trans Main Connection, Related to Project #18897",816,7391280,105,2158022047
18897,Herkimer,HERKIMER COUNTY INDUSTRIAL DEV AGENCY,Herkimer County IDA,"Eastern Mohawk Valley Regional Transmission Main, Related to Projects Nos. 18715, 18716, 18860, 18563, 18711",22000,16620000,100,2174642047
18716,Herkimer,WEST HERKIMER WD EXT NO. 1,Herkimer (T),"WD Ext 1 and Eastern Mohawk Valley Regional Trans Main Connection, Related to Project #18897",150,1839580,95,2176481627
18715,Herkimer,FRANKFORT (V) WATER WORKS,Frankfort (V),"Distribution System Improvements and Eastern Mohawk Valley Regional Trans Main Connection, Related to Project #18897",2995,8667450,90,2185149077
18872,Herkimer,HERKIMER (V),Herkimer (V),Phase 2 (2nd Priority) Water System Improvements,7606,20597940,85,2205747017
18765,Herkimer,TOWN OF FRANKFORT,Frankfort (T),"Center and Zolad Roads WD, New Distribution System, New Water District",170,1365000,60,2207112017
17048,Herkimer,DOLGEVILLE (V),Dolgeville (V),"Manheim Elevated Storage Tank, New Storage",2452,5830000,55,2212942017
19423,Herkimer,HERKIMER (V),Herkimer (V),"Lead Service Line Inventory, Upgrade Distribution System",7500,801340,45,2213743357
19424,Herkimer,HERKIMER (V),Herkimer (V),"Lead Service Line Replacement, Upgrade Distribution System",7500,13208720,45,2226952077
19425,Herkimer,ILION (V) WATER WORKS,Ilion (V),"Lead Service Line Inventory, Upgrade Distribution System",7646,1077380,45,2228029457
19426,Herkimer,ILION (V) WATER WORKS,Ilion (V),"Lead Service Line Replacement, Upgrade Distribution System",7646,4071590,45,2232101047
19368,Herkimer,LITTLE FALLS (C),Little Falls (C),"Lead Service Line Inventory, Upgrade Distribution System",4605,541780,40,2232642827
19261,Herkimer,LITTLE FALLS (C),Little Falls (C),"Distribution system improvements, WTP improvements, Spruce Lake Dam Rehab",4946,28428000,40,2261070827
18834,Herkimer,POLAND (V),Poland (V),Well and Treatment Improvements,463,1400000,40,2262470827
19422,Herkimer,FRANKFORT (V),Frankfort (V),"Lead Service Line Replacement, Upgrade Distribution System",2502,551050,35,2263021877
19446,Herkimer,DOLGEVILLE (V),Dolgeville (V),"Lead service line inventory., Upgrade Distribution System",2042,352260,35,2263374137
18537,Jefferson,ORLEANS WATER IMPROVEMENTS,Orleans (T),"Consolidation of PWS w/ violations and to serve contaminated private wells, Extend Distribution System",450,0,1135,2263374137
18173,Jefferson,BROWNVILLE (T),Brownville (T),"(T) Brownville WD#2, New Distribution System",424,0,1095,2263374137
18936,Jefferson,ALEXANDRIA VILLAGE,Alexandria Bay (V),"WTP upgrades and water main replacement., Upgrade Water Treatment Plant, Upgrade Distribution System",1900,0,1070,2263374137
16339,Jefferson,WELLESLEY ISLAND WATER CORP.,Wellesley Island Water Corp.,"New Water Treatment Plant, New Surface Water Source",548,6354590,140,2269728727
19140,Jefferson,WATERTOWN WD #3 & #4,Watertown (T),"System Water Looping to address disinfection byproducts and consolidate Northland Estates and Pine Meadows PWS, Upgrade Distribution System",660,10135200,105,2279863927
17978,Jefferson,NORTHEAST WATER DISTRICT,Watertown (T),"New Northeast Water District, New Water District",550,8085000,100,2287948927
19240,Jefferson,WEST CARTHAGE (V),West Carthage (V),"New storage tanks, distribution & transmission improvements, WTP improvements",5016,21945180,100,2309894107
18911,Jefferson,LERAY TOWN WD 2,LeRay (T),Consolidated Water District Extension along NYS Rt. 11 and former WD #3. Carey Well improvements,2500,4000000,100,2313894107
19154,Jefferson,WATERTOWN (C),Watertown (C),"WTP Upgrades to address DBPs, Upgrade Water Treatment Plant",65000,58300000,95,2372194107
18097,Jefferson,CLAYTON VILLAGE,Clayton (V),"Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Pump Station, Upgrade Distribution System",2100,0,90,2372194107
18126,Jefferson,BROWNVILLE (V),Brownville (V),"Replace Severely Aged Distribution Mains and Tank, New Storage, Upgrade Distribution System",2200,18948500,85,2391142607
19119,Jefferson,PHILADELPHIA (T),Philadelphia (T),"New Proposed Water System, New Distribution System",183,6787746,80,2397930353
18425,Jefferson,HOUNSFIELD WATER DISTRICT NO. 7,Hounsfield (T),"WD #7, New Distribution System",40,0,80,2397930353
18853,Jefferson,HOUNSFIELD WSA #8,Hounsfield (T),"Water Service Area #8 to serve an area currently on individual wells., New Water District",1250,13162370,75,2411092723
18180,Jefferson,CAPE VINCENT (T) WD#7,Cape Vincent (T),"New Water District #7, New Water District",495,8334000,65,2419426723
19510,Jefferson,LORRAINE WATER DISTRICT NO. 1,Lorraine (T),"Construction of WD No. 1, New Water District",160,4435000,65,2423861723
18876,Jefferson,TOWN OF LYME WATER DISTRICT NO. 6,Lyme (T),New Distribution System - Three Mile Bay/Chaumont/Cape Vincent Areas,150,6413810,65,2430275533
17301,Jefferson,ADAMS VILLAGE,Adams (V),"Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Distribution System",2000,0,55,2430275533
18232,Jefferson,ADAMS VILLAGE,Adams (V),"Upgrade Ground Water Source, Upgrade Distribution System",2000,0,55,2430275533
17058,Jefferson,HOUNSFIELD WD 2,Hounsfield (T),Extend Distribution System,500,794439,50,2431069972
19527,Jefferson,BLACK RIVER (V),Black River (V),"Distribution, Maple St. Well, & New Source Improvements, New Ground Water Source, Upgrade Distribution System",4170,18200000,50,2449269972
19528,Jefferson,PAMELIA CONSOLIDATED WD NO. 1,Pamelia (T),"Water Main Replacement and Chlorine Booster Station, Upgrade Other Expenses, Upgrade Distribution System, Upgrade Other (OT)",2350,8786000,45,2458055972
19126,Jefferson,DEVELOPMENT AUTH OF NORTH COUNTRY,DANC,"Army Water Line Replacement - Phase 1, Upgrade Transmission",40237,0,45,2458055972
19542,Jefferson,DEXTER (V),Dexter (V),"Route 180 Water Line Replacement, Upgrade Distribution System",1004,3071975,45,2461127947
18927,Jefferson,ADAMS (V),Adams (V),"Water main and water meter replacement, Upgrade Distribution System",3300,6162490,45,2467290437
18175,Jefferson,SACKETS HARBOR VILLAGE,Sackets Harbor (V),"Replace existing intake piping and crib., Upgrade Surface Water Source, Upgrade Transmission",1300,0,45,2467290437
19159,Jefferson,SACKETS HARBOR (V),Sackets Harbor (V),"E. Main St., E. Washington St., etc. Watermain Replacement, Upgrade Distribution System",1503,3190000,45,2470480437
19143,Jefferson,CLAYTON (V),Clayton (V),"Water Main Replacement and New Raw Water Intake Line and Screen, Upgrade Distribution System",2732,8481020,40,2478961457
18884,Jefferson,HOUNSFIELD WATER SYSTEM,Hounsfield (T),"NYS Rt 3 Corridor Upgrades, New Transmission, Upgrade Transmission, Upgrade Storage, Upgrade Distribution System",1250,0,40,2478961457
18329,Jefferson,CHAUMONT VILLAGE,Chaumont (V),"Upgrade Transmission, Upgrade Distribution System",625,0,35,2478961457
19454,Jefferson,CLAYTON (V),Clayton (V),"Lead service line inventory., Upgrade Distribution System",2079,82391,35,2479043848
19453,Jefferson,CHAMPION WD#2,Champion (T),"Lead service line inventory., Upgrade Distribution System",712,26766,35,2479070615
19461,Jefferson,ADAMS (V),Adams (V),"Lead service line inventory., Upgrade Distribution System",1775,519120,30,2479589735
19466,Jefferson,LERAY (T),Leray (T),"Lead service line inventory., Upgrade Distribution System",10000,87962,30,2479677697
19470,Jefferson,RUTLAND (T),Rutland (T),"Lead service line inventory., Upgrade Distribution System",1250,48419,30,2479726116
19471,Jefferson,SACKETS HARBOR (V),Sackets Harbor (V),"Lead service line inventory., Upgrade Distribution System",1550,54610,20,2479780726
18548,Lewis,HAMLET OF GLENFIELD WATER DISTRIBUTION S,Martinsburg (T),"Improvements to the existing water system including replacing the original water distribution system., Upgrade Distribution System",231,0,1080,2479780726
19760,Lewis,CROGHAN (V),Croghan (V),"Water System Improvements Project, Upgrade Transmission, Upgrade Distribution System, New Water District",900,10197000,110,2489977726
19517,Lewis,TURIN (V),Turin (V),"Water Main Replacement and Water Storage Tank Replacement, Upgrade Storage, Upgrade Distribution System",300,6952500,100,2496930226
18756,Lewis,CONSTABLEVILLE (V),Constableville (V),"Watermain replacement, raw water transmission main replacement, spring storage basin repair/upgrades., Upgrade Transmission, Upgrade Distribution System",310,13600000,95,2510530226
19521,Lewis,PORT LEYDEN (V),Port Leyden (V),"Water System Improvements, Upgrade Water Treatment Plant, Upgrade Distribution System",704,10197000,95,2520727226
19802,Lewis,LYONSDALE (T),Lyonsdale (T),"Replacement and extension of Lyonsdale (T) Water District No. 1., New Water District",783,5871000,90,2526598226
18825,Lewis,COPENHAGEN (V),Copenhagen (V),"Interconnection with Carthage / West Carthage - Source Capacity, Upgrade Water Treatment Plant",723,6264300,80,2532862526
18579,Lewis,TOWN OF DIANA WATER DISTRICT,Diana (T),"Upgrade Wells 1 and 3, Distribution Looping and New Water Meters., Upgrade Ground Water Source, Upgrade Distribution System",618,6180000,60,2539042526
18735,Lewis,CASTORLAND (V),Castorland (V),"Denmark Storage Tank Replacement., New Storage",365,915000,45,2539957526
19464,Lewis,PORT LEYDEN (V),Port Leyden (V),"Lead service line inventory., Upgrade Distribution System",820,301778,40,2540259304
19608,Lewis,TURIN (V),Turin (V),"Lead service line inventory., Upgrade Distribution System",300,185400,40,2540444704
19877,Lewis,CROGHAN (V),Croghan (V),"Lead service line inventory., New Distribution System",900,267800,35,2540712504
16683,Lewis,CONSTABLEVILLE (V),Constableville (V),Upgrade Transmission,310,1575000,35,2542287504
19458,Lewis,DIANA (T),Diana (T),"Lead service line inventory., Upgrade Distribution System",650,28818,30,2542316322
