Project #,County,System Name / Borrower,Description,Population,Project Cost,Score,Cumulative Total,emmali_notes,codes_if_scraped
19125,Ontario,RUSHVILLE (V) / Rushville (V),"WTP Improvements to address harmful algal blooms and cyanotoxins, Upgrade Water Treatment Plant","2,028","$1,500,000.00",80,"$1,112,109,416.00",,
18825,Lewis,COPENHAGEN (V) / Copenhagen (V),"Interconnection with Carthage / West Carthage - Source Capacity, Upgrade Water Treatment Plant",723,"$6,264,300.00",80,"$1,118,373,716.00",,
19750,Dutchess,QUAKER HILL WATER SYSTEM / DCWWA,"Quaker Hill WS Interconnection with Hyde Park Regional WS to resolve PFAS contamination at Quaker Hill., New Pump Station, New Inter-Connection",350,"$21,875,700.00",80,"$1,140,249,416.00",,
19567,Rensselaer,TROY (C) / Troy (C),"Corrosion Control Treatment Optimization, Upgrade Water Treatment Plant","51,400","$16,070,000.00",80,"$1,156,319,416.00",,
18315,Fulton,GLOVERSVILLE (C) WATER WORKS / Gloversville (C),"New Storage, Upgrade Distribution System","17,991","$1,000,000.00",80,"$1,157,319,416.00",,
18535,Albany,WATERVLIET (C) / Watervliet (C),"Water System Improvements., Upgrade Water Treatment Plant, Upgrade Transmission","10,450",$0.00,80,"$1,157,319,416.00",,
18967,Nassau,TOWN OF HEMPSTEAD WD / Hempstead (T),"1,4-dioxane treatment for Well No. 13 at Levittown WD, Upgrade Water Treatment Plant","110,000","$8,110,000.00",80,"$1,165,429,416.00",,
19332,Suffolk,RIVERHEAD WD / Riverhead (T),"Well No. 5-1 PFAS removal, Upgrade Water Treatment Plant","28,000","$2,200,000.00",80,"$1,167,629,416.00",,
19820,Schenectady,GLENVILLE (T) / Glenville (T),"Installation of GAC for PFAS removal., Upgrade Water Treatment Plant","16,000","$8,799,355.00",80,"$1,176,428,771.00",,
18681,Broome,ENDICOTT (V) / Endicott (V),"Well No. 32 treatment for iron, manganese, and 1,4-dioxane., Upgrade Water Treatment Plant","46,000","$18,473,853.00",80,"$1,194,902,624.00",,
18128,Cayuga,PROPOSED WD #2 / Sterling (T),"Water District #2., Extend Distribution System",500,"$6,669,393.00",80,"$1,201,572,017.00",,
18910,Oswego,VOLNEY TOWN WD / Volney (T),"County Rt. 6 / Maple Ave Water Service Area Extension., New Distribution System",103,"$710,365.00",80,"$1,202,282,382.00",,
19119,Jefferson,PHILADELPHIA (T) / Philadelphia (T),"New Proposed Water System, New Distribution System",183,"$6,787,746.00",80,"$1,209,070,128.00",,
18425,Jefferson,HOUNSFIELD WATER DISTRICT NO. 7 / Hounsfield (T),"WD #7., New Distribution System",40,$0.00,80,"$1,209,070,128.00",,
18188,Orange,GOSHEN VILLAGE / Goshen (V),"Replace WTP at Prospect Reservoir, Upgrade Water Treatment Plant","5,676","$6,120,819.00",75,"$1,215,190,947.00",,
15704,Greene,COXSACKIE VILLAGE / Coxsackie (V),"New storage tank and transmission main upgrades. , Upgrade Transmission, New Storage","4,010",$0.00,75,"$1,215,190,947.00",,
19780,Chautauqua,CASSADAGA (V) / Cassadaga (V),"New Well, Replace WM, Upgrade Telemetry, New Ground Water Source, Upgrade Distribution System","1,500","$8,836,370.00",75,"$1,224,027,317.00",,
19752,Allegany,BELMONT (V) / Belmont (V),"Improvements on Well Source, Water Treatment Plant and Watermains, Upgrade Water Treatment Plant, Upgrade Ground Water Source, Upgrade Distribution System","1,324","$8,712,667.00",75,"$1,232,739,984.00",,
18839,Tompkins,NEWFIELD WATER DISTRICT / Newfield (T),"Phase 1 - Replacement of aged and undersized asbestos water main along Main Street & New GW Source, New Ground Water Source, Upgrade Distribution System","2,300","$7,119,751.00",75,"$1,239,859,735.00",,
18853,Jefferson,HOUNSFIELD WSA #8 / Hounsfield (T),"Water Service Area #8 to serve an area currently on individual wells., New Water District","1,250","$13,162,370.00",75,"$1,253,022,105.00",,
19105,Westchester,MEADOWS AT CROSS RIVER / Meadow Water-Works Corp.,"Removal of sodium chloride and PFAS from water system, Upgrade Water Treatment Plant",630,"$952,750.00",70,"$1,253,974,855.00",,
19146,Dutchess,TOWN WIDE INTERCONNECTED WDS / East Fishkill (T),"Installation of Ionization Media filters, interconnections within the Town's existing water districts, and development of new GW Sources to address PFOA/PFAS contamination, Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Distribution","3,493","$16,728,197.00",70,"$1,270,703,052.00",,
18131,Oneida,SAUQUOIT CONSOLIDATED WD (T/O/PARIS) / Paris (T),"Saquoit WD Upgrades., New Water Treatment Plant, New Ground Water Source, Upgrade Transmission","2,639","$5,250,000.00",70,"$1,275,953,052.00",,
19550,Livingston,AVON (V) / Avon (V),"Upgrade Water Tanks and Water Mains, Upgrade Distribution System","6,200","$4,828,640.00",70,"$1,280,781,692.00",,
19365,Orange,NEWBURGH (C) / Newburgh (C),"Lead Service Line Inventory., Upgrade Distribution System","30,000","$968,000.00",70,"$1,281,749,692.00",,
19660,Rensselaer,TROY (C) / Troy (C),"Lead service line replacement., Upgrade Distribution System","4,300","$12,823,000.00",70,"$1,294,572,692.00",,
18406,Wyoming,WARSAW (V) / Warsaw (V),"Water System Improvements, Upgrade Water Treatment Plant, Upgrade Distribution System","4,200","$12,100,000.00",70,"$1,306,672,692.00",,
18877,Washington,NORTH GRANVILLE WD #1 / Granville (T),"Source development and disribution improvements for the North Granville WD., Upgrade Ground Water Source, Upgrade Distribution System",800,"$2,825,625.00",70,"$1,309,498,317.00",,
18322,Chemung,ELMIRA WATER BOARD / Elmira Water Board,"Elmira Refresh Initiative., Upgrade Transmission, Upgrade Distribution System","65,000","$6,043,913.00",70,"$1,315,542,230.00",,
18321,Chautauqua,NORTH CHAUTAUQUA COUNTY REGIONAL / Chautauqua County,"North Chautauqua County Regional Water Project., New Water District","31,000",$0.00,70,"$1,315,542,230.00",,
19068,Chemung,HORSEHEADS VILLAGE / Horseheads (T),"Oak Hill Water District Extension, New Distribution System","11,530","$461,000.00",70,"$1,316,003,230.00",,
18704,St.Lawrence,POTSDAM (T) / Potsdam (T),"NYS Rt. 56 WD., New Distribution System, New Water District",305,"$7,441,000.00",70,"$1,323,444,230.00",,
19110,Rensselaer,POESTENKILL WD #2 / Poestenkill (T),"Creation of Poestenkill WD #2 to provide water to an area with PFAS contamination, New Water District",700,"$5,711,000.00",70,"$1,329,155,230.00",,
19774,St.Lawrence,BORDER WATER DISTRICT / Massena (T),"Border Water District Project, New Water District",583,"$11,330,000.00",70,"$1,340,485,230.00",,
19145,St.Lawrence,MASSENA (T) / Massena (T),"Proposed Service Area No. 1, New Water District",350,"$9,270,000.00",70,"$1,349,755,230.00",,
19399,Chenango,SMITHVILLE (T) / Smithville (T),"Smithville Flats New Water System, New Ground Water Source",350,"$8,000,000.00",70,"$1,357,755,230.00",,
19788,Allegany,WISCOY-ROSSBURG WD / Hume (T),"New Wiscoy-Rossburg Water District, New Water District",235,"$6,946,320.00",70,"$1,364,701,550.00",,
18917,Greene,ASHLAND WD / Ashland (T),"Ashland WD Extension Along NYS Rt. 23., Extend Distribution System",200,"$437,750.00",70,"$1,365,139,300.00",,
19741,Westchester,SCOTTS CORNER WD / Pound Ridge (T),"Creation of the Scotts Corners WD to Serve Contaminated Private Wells, Consolidate Several Public Water Systems, and Address PFAS, New Water District",114,"$10,907,000.00",70,"$1,376,046,300.00",,
19804,Orleans,BARRE (T) WD NO. 10 / Barre (T),"New WD No. 10, New Water District",75,"$2,708,000.00",70,"$1,378,754,300.00",,
19049,Westchester,KENSICO WATER DISTRICT / Mount Pleasant (T),"Kensico WD Storage Tank and Treatment Improvements, Upgrade Storage, Upgrade Distribution System","17,452","$9,221,695.00",65,"$1,387,975,995.00",,
19537,Columbia,VALATIE (V) / Valatie (V),"New filtration and PFAS treatment facility., New Water Treatment Plant","2,000","$3,942,100.00",65,"$1,391,918,095.00",,
19831,Clinton,PLATTSBURGH (C) / Plattsburgh (C),"Phase 4 - New Production Well, rehab transmission main, WTP Upgrades, Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Transmission","19,900","$8,810,000.00",65,"$1,400,728,095.00",,
19171,Rockland,NYACK VILLAGE WATER SUPPLY / Nyack (V),"PFAS Treatment at Nyack Water Plant., New Other Expenses, New Other (OT)","14,700","$4,749,320.00",65,"$1,405,477,415.00",,
18863,Steuben,PAINTED POST VILLAGE / Painted Post (V),"Well upgrades and replacement of storage tank, Upgrade Ground Water Source, Upgrade Storage","1,842","$8,289,487.00",65,"$1,413,766,902.00",,
18523,Albany,ALBANY (C) / Albany MWFA,"Feura Bush WTP Upgrades., Upgrade Water Treatment Plant, Upgrade Storage","98,000",$0.00,65,"$1,413,766,902.00",,
19487,Clinton,PLATTSBURGH (C) / Plattsburgh (C),"Phase 3 - drinking water system upgrades. , Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Transmission","19,840","$8,832,000.00",65,"$1,422,598,902.00",,
18928,Oswego,PULASKI VILLAGE / Pulaski (V),"Replacement of aged and deteorating water main, Upgrade Distribution System",900,"$11,962,000.00",65,"$1,434,560,902.00",,
19184,Chenango,BAINBRIDGE (V) / Bainbridge (V),"Water System Improvements - WM Replacement, New Well, Booster PS Improvements, New Ground Water Source, Upgrade Pump Station, Upgrade Distribution System","1,600","$7,455,600.00",65,"$1,442,016,502.00",,
19793,St.Lawrence,GOUVERNEUR (V) / Gouverneur (V),"Improvements to portions of existing water distribution system., Upgrade Distribution System","1,550","$9,749,000.00",65,"$1,451,765,502.00",,
18958,Otsego,VILLAGE OF OTEGO / Otego (V),"GW Source Development, WTP Resiliency, AC Pipe Replacement, Booster Station Replacement., Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Distribution System","1,010","$6,899,315.00",65,"$1,458,664,817.00",,
18625,Steuben,ERWIN WELL NO. 7 / Erwin (T),"New Well No. 7. , New Ground Water Source","2,954","$2,149,133.00",65,"$1,460,813,950.00",,
18900,Chenango,VILLAGE OF GREENE / Greene (V),"Phase 1 - Water main replacement, Upgrade Distribution System","1,800","$20,566,400.00",65,"$1,481,380,350.00",,
18981,Clinton,MORRISONVILLE WD / Schuyler Falls (T),"Replacement of asbestos cement water main., Upgrade Distribution System","1,300","$5,729,375.00",65,"$1,487,109,725.00",,
19203,Ontario,MARBLETOWN-WHITE RD. WD / Phelps (T),"White Road WD Extension and Watermain Replacement, Upgrade Distribution System, Extend Water District",80,"$604,776.00",65,"$1,487,714,501.00",,
19247,Chautauqua,POMFRET (T) / Pomfret (T),"North End WD Phase 2, New Distribution System","1,200","$22,263,450.00",65,"$1,509,977,951.00",,
19194,Yates,TOWN OF TORREY WATER DISTRICT NO.1 / Torrey (T),"New Water District No.1, New Water District",202,"$3,727,000.00",65,"$1,513,704,951.00",,
19510,Jefferson,LORRAINE WATER DISTRICT NO. 1 / Lorraine (T),"Construction of WD No. 1, New Water District",160,"$4,435,000.00",65,"$1,518,139,951.00",,
19041,Orange,WALLKILL CONSOLIDATED WD #1 / Wallkill (T),"Rykowski Well Field Expansion and Water Treatment Plant Upgrades, Upgrade Water Treatment Plant, New Ground Water Source","18,500","$11,074,560.00",60,"$1,529,214,511.00",,
19742,Orange,GREENWOOD LAKE (V) / Greenwood Lake (V),"Greenwood Lake (V) Water System Improvements - Phase II, Upgrade Water Treatment Plant, Upgrade Storage","3,000","$5,017,950.00",60,"$1,534,232,461.00",,
19268,Orange,TAPPAN HILLS WD / Blooming Grove (T),"New Well, storage tank, disinfection for new well, New Water Treatment Plant, New Ground Water Source, Upgrade Storage",450,"$2,000,000.00",60,"$1,536,232,461.00",,
19645,Dutchess,SCHREIBER WATER WORKS / DCWWA,"New well and treatment for removal of gross alpha, radium, iron/manganese, and sulfate, New Water Treatment Plant, New Ground Water Source",80,"$4,653,540.00",60,"$1,540,886,001.00",,
19560,Orange,WALTON LAKE ESTATES WD / Chester (T),"Rehabilitation of two existing wells, upgrades to pump and water treatment, and install new raw watermain., New Water Treatment Plant, New Ground Water Source, Upgrade Distribution System",800,"$2,092,500.00",60,"$1,542,978,501.00",,
18883,Oneida,ORISKANY FALLS VILLAGE / Oriskany Falls (V),"Booster pump station and water main upgrades on Cooper, College, and Cottage Streets, New Pump Station, Upgrade Distribution System, New Distribution System",682,"$1,300,000.00",60,"$1,544,278,501.00",,
18743,Niagara,NORTH TONAWANDA (C) / North Tonawanda (C),"WTP Improvements., Upgrade Water Treatment Plant","31,568",$0.00,60,"$1,544,278,501.00",,
18631,Orange,NEWBURGH (C) / Newburgh (C),"Replacement of filter media and installation of SCADA system., Upgrade Water Treatment Plant","28,866",$0.00,60,"$1,544,278,501.00",,
19025,Orleans,ALBION VILLAGE / Albion (V),"Phase 2A and 2B WTP Improvements, Upgrade Water Treatment Plant, Upgrade Transmission, Upgrade Storage","6,000","$7,855,059.00",60,"$1,552,133,560.00",,
18896,Allegany,CUBA (V) / Cuba (V),"Water main replacement and improvements to well site and storage tanks., Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System","1,500",$0.00,60,"$1,552,133,560.00",,
18282,Oswego,CLEVELAND VILLAGE / Cleveland (V),"Storage & Transmission Upgrades., New Ground Water Source, Upgrade Storage, Upgrade Distribution System",925,$0.00,60,"$1,552,133,560.00",,
18587,Niagara,NIAGARA FALLS WATER BOARD / Niagara Falls Water Board,"Beech Ave Storage Tank Replacement., Upgrade Storage","48,500","$15,240,000.00",60,"$1,567,373,560.00",,
19213,Allegany,WELLSVILLE (V) / Wellsville (V),"Village-Wide Watermain Replacement, Upgrade Distribution System","5,700","$6,828,000.00",60,"$1,574,201,560.00",,
19211,Wayne,WOLCOTT (V) / Wolcott (V),"Village of Wolcott WTP Upgrades, Upgrade Water Treatment Plant","2,465","$8,400,000.00",60,"$1,582,601,560.00",,
18809,Clinton,ROUSES POINT WATER DISTRICT / Rouses Point (V),"WTP Replacement with membrane microfiltration with raw water pump station. , New Water Treatment Plant, New Surface Water Source, New Pump Station","2,139","$10,000,000.00",60,"$1,592,601,560.00",,
18751,Warren,NORTH CREEK WATER DISTRICT / Johnsburg (T),"New Storage tank to replace South Tank and Distribution System Upgrades., New Storage, Upgrade Pump Station, Upgrade Distribution System","1,000",$0.00,60,"$1,592,601,560.00",,
18299,Madison,DERUYTER (V) / DeRuyter (V),"Water Systems Improvements - Storage, WTP, and Watermain upgrades., Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Distribution System",643,"$3,646,335.00",60,"$1,596,247,895.00",,
18579,Lewis,TOWN OF DIANA WATER DISTRICT / Diana (T),"Upgrade Wells 1 and 3, Distribution Looping and New Water Meters., Upgrade Ground Water Source, Upgrade Distribution System",618,"$6,180,000.00",60,"$1,602,427,895.00",,
18858,Yates,DRESDEN (V) / Dresden (V),"System wide replacement of aged mains and appurtenances, installation of new main to loop dead ends., Upgrade Distribution System",600,"$7,984,160.00",60,"$1,610,412,055.00",,
19149,Chemung,WELLSBURG (V) / Wellsburg (V),"Tank decommissioning & replacements, distribution upgrades, new emergency ground supply, New Ground Water Source, Upgrade Storage, Upgrade Storage, Upgrade Distribution System",580,"$6,536,623.00",60,"$1,616,948,678.00",,
18835,Sullivan,NARROWSBURG WD / Tusten (T),"System-wide Infrastructure Upgrades., Upgrade Storage, Upgrade Distribution System",500,$0.00,60,"$1,616,948,678.00",,
18890,Chemung,MILLPORT (V) / Millport (V),"New Well and Upgrade Tank, Meters, and Telemetry., New Other Expenses, Upgrade Ground Water Source, Upgrade Storage, New Other (OT)",292,"$1,604,100.00",60,"$1,618,552,778.00",,
18797,Sullivan,MELODY LAKE ACRES / Thompson (T),"Well No. 1 Upgrades and Replace storage tank, chlorination and corrosion control systems., Upgrade Water Treatment Plant",150,"$725,000.00",60,"$1,619,277,778.00",,
18198,Chenango,OXFORD VILLAGE / Oxford (V),"Upgrades to valve vault, distribution & transmission mains., Upgrade Transmission, Upgrade Distribution System","1,738",$0.00,60,"$1,619,277,778.00",,
18813,Cattaraugus,FRANKLINVILLE (V) / Franklinville (V),"South and North Wellhouse Improvements & Howard Street Water Main Replacement., Upgrade Ground Water Source, Upgrade Distribution System",728,$0.00,60,"$1,619,277,778.00",,
19544,Seneca,TOWN OF FAYETTE WD NO. 8 / Fayette (T),"WD No. 8 Phase 2, Extend Distribution System",450,"$1,854,000.00",60,"$1,621,131,778.00",,
19104,Suffolk,SUFFOLK COUNTY WATER AUTHORITY / SCWA,"Connection of public water to residences in Calverton, Town of Brookhaven along South River road due to PFAS detection in private wells, Upgrade Distribution System","1,009,264","$6,850,000.00",60,"$1,627,981,778.00",,
19790,Genesee,PEMBROKE (T) WD NO. 4 / Pembroke (T),"New WD No. 4, New Water District",685,"$15,101,000.00",60,"$1,643,082,778.00",,
18930,Oswego,WATER SERVICE AREA #6 / Mexico (T),"Provide public water to Water Service Area #6, New Distribution System",479,"$5,465,000.00",60,"$1,648,547,778.00",,
18932,Oswego,COUNTY RT. 57 / HUNTLEY RD WATER DISTRICT / Schroeppel (T),"County Route 57 / Huntley Road Water District., New Distribution System",253,"$4,903,800.00",60,"$1,653,451,578.00",,
19773,Cayuga,MONTEZUMA WD 2 / Montezuma (T),"Expansion of water system, creation of Town's service area no. 2., Extend Distribution System",250,"$9,143,282.00",60,"$1,662,594,860.00",,
19548,Wyoming,TOWN OF PERRY WD NO. 2 / Perry (T),"New WD No. 2, Upgrade Distribution System",215,"$6,360,734.00",60,"$1,668,955,594.00",,
18765,Herkimer,TOWN OF FRANKFORT / Frankfort (T),"Center and Zolad Roads WD., New Distribution System, New Water District",170,"$1,365,000.00",60,"$1,670,320,594.00",,
19501,Madison,WATER DISTRICT 14 / Lenox (T),"Water District 14 Waterline Extension, New Water District",50,"$1,100,000.00",60,"$1,671,420,594.00",,
19192,Yates,WATER DISTRICT NO. 5 / Benton (T),"New Water District No.5, New Water District",39,"$1,144,000.00",60,"$1,672,564,594.00",,
15616,Ulster,PORT EWEN WATER DISTRICT / Esopus (T),New Storage,"4,800",$0.00,55,"$1,672,564,594.00",,
19158,Ontario,TOWN OF BRISTOL WD NO. 1 / Bristol (T),"Day Road Tank Improvements to Address DBPs, Upgrade Storage","2,136","$333,720.00",55,"$1,672,898,314.00",,
19040,Orange,MONROE WD NO. 8 / Monroe (T),"Water District No. 8 - New Groundwater Source Development, New Water Treatment Plant, New Ground Water Source",544,"$2,700,000.00",55,"$1,675,598,314.00",,
19568,Putnam,KENT WD NO. 1 AND 2 / Kent (T),"Installation of Ion Exchange to remove PFAS, Upgrade Water Treatment Plant",480,"$1,004,000.00",55,"$1,676,602,314.00",,
19496,Putnam,STARR RIDGE MANOR / Southeast (T),"Starr Ridge - Installation of GAC treatment to address PFAS contamination, Upgrade Water Treatment Plant",295,"$3,000,000.00",55,"$1,679,602,314.00",,
19495,Putnam,BIRCH HILL ACRES / Southeast (T),"Birch Hill Acres - Installation of GAC treatment to address PFAS contamination, Upgrade Water Treatment Plant",60,"$3,000,000.00",55,"$1,682,602,314.00",,
19539,Wyoming,SHELDON-VARYSBURG WD / Sheldon (T),"Replacement of WM, Storage Tank, and New Wellhouse, Upgrade Storage, Upgrade Distribution System",350,"$2,697,570.00",55,"$1,685,299,884.00",,
17301,Jefferson,ADAMS VILLAGE / Adams (V),"Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Distribution System","2,000",$0.00,55,"$1,685,299,884.00",,
18822,Dutchess,WAPPINGERS FALLS (V) / Wappingers Falls (V),"New Greensand WTP for Mn Removal, New Water Treatment Plant, Upgrade Ground Water Source, Upgrade Storage","6,731","$3,042,840.00",55,"$1,688,342,724.00",,
16236,Dutchess,RED HOOK VILLAGE / Red Hook (V),"New Ground Water Source, Upgrade Ground Water Source, New Storage, Upgrade Distribution System","2,214",$0.00,55,"$1,688,342,724.00",,
18814,Otsego,EDMESTON (T) / Edmeston (T),"Treatment and Distribution System Improvements., Upgrade Water Treatment Plant, Upgrade Distribution System",900,"$9,647,000.00",55,"$1,697,989,724.00",,
18585,Rensselaer,PETERSBURGH WATER DISTRICT / Petersburgh (T),"Address PFAS, Develop Additional GW Source, Storage and Distribution Improvements., Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Storage, Upgrade Distribution System",240,$0.00,55,"$1,697,989,724.00",,
19847,Delaware,TREADWELL WATER DISTRICT / Franklin (T),"Treadwell Water District Improvements Project., Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Storage",140,"$1,500,000.00",55,"$1,699,489,724.00",,
19267,Franklin,MALONE (V) / Malone (V),"New production well, trans. main, upgrades well buildings, WTP and water meters., Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Transmission","6,619","$13,802,000.00",55,"$1,713,291,724.00",,
19046,Delaware,DELHI (V) / Delhi (V),"Distribution, Storage, & Pump Station Upgrades, Upgrade Storage, Upgrade Pump Station, Upgrade Distribution System","3,833","$6,500,000.00",55,"$1,719,791,724.00",,
18622,Allegany,ALFRED VILLAGE WATER SUPPLY / Alfred (V),"Upgrade Transmission, Upgrade Storage, Upgrade Pump Station, Upgrade Distribution System","3,500","$1,500,000.00",55,"$1,721,291,724.00",,
18232,Jefferson,ADAMS VILLAGE / Adams (V),"Upgrade Ground Water Source, Upgrade Distribution System","2,000",$0.00,55,"$1,721,291,724.00",,
19133,Cayuga,WEEDSPORT (V) / Weedsport (V),"Water Systems Improvements, Upgrade Storage, Upgrade Distribution System","1,945","$22,008,000.00",55,"$1,743,299,724.00",,
19766,Sullivan,LIVINGSTON WD / Rockland (T),"Distribution and Storage Improvements, Upgrade Storage, Upgrade Distribution System",850,"$8,365,746.00",55,"$1,751,665,470.00",,
19574,Steuben,PRATTSBURGH WD / Prattsburgh (T),"Water distribution system improvements, Upgrade Other Expenses, Upgrade Storage, Upgrade Distribution System, Upgrade Other (OT)",594,"$7,107,000.00",55,"$1,758,772,470.00",,
19243,Steuben,COHOCTON (T) / Cohocton (T),"Tank rehab, distribution upgrades and looping, well house improvements, Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System",485,"$3,759,150.00",55,"$1,762,531,620.00",,
19165,Onondaga,SYRACUSE CITY / Syracuse (C),"Guilford, Brookford and Westminster Booster Pump Station Replacement, New Pump Station","192,000","$3,707,200.00",55,"$1,766,238,820.00",,
17867,Rensselaer,TROY (C) / Troy (C),"Replace raw water transmission mains between Tomhannock and Troy WTP., Upgrade Transmission","135,000",$0.00,55,"$1,766,238,820.00",,
19056,Niagara,NIAGARA FALLS WATER BOARD / Niagara Falls Water Board,"Water Main Replacement and WTP Upgrades, Upgrade Water Treatment Plant, Upgrade Distribution System","55,593","$10,025,000.00",55,"$1,776,263,820.00",,
18995,Rensselaer,TROY (C) / Troy (C),"Phase 2 (North Section) RW Transmsission Main., Upgrade Transmission","51,400","$2,000,000.00",55,"$1,778,263,820.00",,
18208,Orange,KIRYAS JOEL VILLAGE / Kiryas Joel (V),"Interconnection NYC Aqueduct, Water Filtration Plant, Transmission main. Related to project DWSRF 16906, New Water Treatment Plant, New Transmission, New Inter-Connection","21,750",$0.00,55,"$1,778,263,820.00",,
19751,Chautauqua,NORTH CHAUTAUQUA COUNTY WD / Chautauqua County,"North Chautauqua County WD Phase 3, Upgrade Distribution System","9,000","$8,200,000.00",55,"$1,786,463,820.00",,
19777,Monroe,BROCKPORT (V) / Brockport (V),"Replacement of Distribution and Transmission WM, Controls and Appurtenances, Upgrade Distribution System","7,300","$10,266,010.00",55,"$1,796,729,830.00",,
18856,Allegany,WELLSVILLE VILLAGE PUBLIC WATER / Wellsville (V),"Replacement of WTP pumps and controls, meters, and aged water mains., Upgrade Water Treatment Plant, Upgrade Distribution System","5,700","$1,596,912.00",55,"$1,798,326,742.00",,
19770,Cayuga,FLEMING-SPRINGPORT WD / Fleming (T),"New water main to interconnect Fleming-Springport WD, Fleming Consolidated WD, and Owasco WD., Upgrade Distribution System, New Inter-Connection","5,525","$8,005,160.00",55,"$1,806,331,902.00",,
19512,Columbia,KINDERHOOK (T) / Kinderhook (T),"Watermain replacement and extension, New Distribution System, Upgrade Distribution System","4,400","$4,926,000.00",55,"$1,811,257,902.00",,
19232,Wayne,CLYDE (V) / Clyde (V),"Replace well pumps, well improvements, upgrade chemical feed system, site improvements, Upgrade Water Treatment Plant, Upgrade Ground Water Source","2,269","$2,544,000.00",55,"$1,813,801,902.00",,
15902,Steuben,ADDISON VILLAGE / Addison (V),"Main replacement & looping, new High Street Tank, wellhouse VFD improvements, Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System","1,797","$1,690,000.00",55,"$1,815,491,902.00",,
19515,Oswego,OSWEGO (C) / Oswego (C),"Ellen St. and Gardiner Hill HSZ Interconnect, and rehab Gardiner Hill Tank, Upgrade Storage, Upgrade Distribution System","1,700","$11,200,000.00",55,"$1,826,691,902.00",,
19556,Montgomery,ST JOHNSVILLE (V) / St. Johnsville (V),"Disinfection Upgrades, Tank Rehab, Monroe St. Main Replacement, Upgrade Storage, Upgrade Distribution System","1,643","$2,278,880.00",55,"$1,828,970,782.00",,
18534,Onondaga,SKYRIDGE/SALT SPRINGS JOINT PROJECT / Manlius (T),"Skyridge WD/Salt Springs WD Joint Water Project., New System Consolidation, New Water District",100,"$13,700,000.00",55,"$1,842,670,782.00",,
19224,Genesee,LEROY (T) WD 12 / LeRoy (T),"WD #12 New Water Mains, New Water District",920,"$19,472,000.00",55,"$1,862,142,782.00",,
19747,Madison,TOWN OF LINCOLN WATER DISTRICT NO. 1 / Lincoln (T),"Water District No. 1, New Water District",500,"$13,750,500.00",55,"$1,875,893,282.00",,
18737,Chemung,BIG FLATS WD #4 / Big Flats (T),"Smith Valley and Ponderosa Drive Extension., Extend Distribution System",231,"$2,277,534.00",55,"$1,878,170,816.00",,
19188,Oswego,TOWN OF CONSTANTIA WD NO. 3 / Constantia (T),"Water District 3 formation w/ new DI mains,valves and services, New Water District",140,"$3,230,080.00",55,"$1,881,400,896.00",,
19504,NY City,NEW YORK CITY / NYCMWFA,"Kensico-Eastview Connection - Phase 2, Upgrade Transmission","8,271,000","$100,000,000.00",50,"$1,981,400,896.00",,
19036,Ontario,GORHAM TOWN WATER DISTRICT / Gorham (T),"Comprehensive WTP Improvements, Upgrade Water Treatment Plant, Upgrade Pump Station","4,373",$0.00,50,"$1,981,400,896.00",,
19772,Suffolk,FISHERS ISLAND WATER WORKS / Fishers Island Utility Co,"Barlow Pond SWTP Improvements, Upgrade Water Treatment Plant","3,500","$3,531,847.00",50,"$1,984,932,743.00",,
19527,Jefferson,BLACK RIVER (V) / Black River (V),"Distribution, Maple St. Well, & New Source Improvements, New Ground Water Source, Upgrade Distribution System","4,170","$18,200,000.00",50,"$2,003,132,743.00",,
18444,Schenectady,SCOTIA (V) / Scotia (V),"Water System Improvements., Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System","12,800","$8,000,000.00",50,"$2,011,132,743.00",,
17787,Schoharie,SCHOHARIE VILLAGE / Schoharie (V),"Water System Improvements., Upgrade Water Treatment Plant, Upgrade Storage, New Pump Station, Upgrade Distribution System","1,030",$0.00,50,"$2,011,132,743.00",,
19262,Warren,CHESTERTOWN WD / Chester (T),"New well, upgrade distribution system, replace AC pipe, New Ground Water Source, Upgrade Distribution System",750,"$2,947,000.00",50,"$2,014,079,743.00",,
18526,Sullivan,JEFFERSONVILLE (V) / Jeffersonville (V),"Construct new water storage tank, new pump/treatment building, and two new wells., New Ground Water Source, New Storage, Upgrade Distribution System",400,"$5,314,353.00",50,"$2,019,394,096.00",,
18305,Onondaga,ONONDAGA COUNTY WATER AUTHORITY / OCWA,"Lake Ontario Water Treatment Plant Improvements Phase 3 - Clearwells., Upgrade Water Treatment Plant","500,000","$33,250,000.00",50,"$2,052,644,096.00",,
18979,Schenectady,SCHENECTADY (C) / Schenectady (C),"Phase 1 Rice Road Source and WTP Improvements,, Upgrade Water Treatment Plant, New Ground Water Source","60,000","$7,775,470.00",50,"$2,060,419,566.00",,
