"PROJRANK","COUNTY","PWSID","PROJECT COST","DEP PROJECT RATING","APPLICANT NAME","STREET ADDRESS","CITY","PROJECT TYPE","FUND SOURCE","MTGDATE","REGION","POPULATION","PV RATING","GREEN CATEGORY","GREEN PROJECT","BUSINESS CASE","LOAN #","GREEN AMOUNT","PROJ. DESCRIPTION","PROB. DESCRIPTION"
"25","BUTLER","5100012","$28,500,000","43","PA AMERICAN WATER COMPANY - BUTLER WATER TREATMENT PLANT FILTER IMPROVEMENTS","2936 ELLWOOD ROAD","NEW CASTLE","TREAT","DWSRF","10/15/2025","VI","43,044","58","N/A","No","N/A","80306","$0","The Project includes upgrading the Butler Water Treatment Plant's sedimentation and filtration systems to address capacity limitations and ensure reliable treatment, the demolishing three (3) aging Aldrich purification units, and constructing a new treatment building and concrete tank structure. Within this facility, three (3) 6-million-gallons-per-day (MGD) Actiflo ballasted flocculation and sedimentation trains will be installed, along with four (4) 4-MGD dual-media gravity filtration units with air scouring capability providing 12.0 MGD capacity with one (1) unit out of service. The project also includes rerouting process piping (influent, effluent, wash water, wastewater, sanitary, and filter to waste lines), rerouting chemical feed lines, and electrical and control system modifications as well as related work. The improvements will be constructed in phases to maintain plant operation and minimize service disruptions.","The existing WTP utilizes three (3) Aldrich purification units to perform mechanical flocculation, sedimentation, and filtration. While the facility has a rated capacity of 11.9 MGD with all units in service, its capacity is reduced to 7.1 MGD when one unit is out of service, which will not meet the projected maximum day demand of the system. The existing water treatment plant has capacity limitations and needs improved water treatment reliability. With aging infrastructure, the sedimentation and filtration performance of the existing Aldrich units is no longer optimal, and the risk of system shortfall during peak demand or unit outages poses a threat to water system resiliency."
"26","CAMBRIA","4110041","$15,253,200","41","SOUTHWESTERN CAMBRIA COUNTY WATER AUTHORITY ~ WATERLINE REPLACEMENT PROJECT","1422 FRANKSTOWN ROAD","JOHNSTOWN","DS, METERS","DWSRF","4/15/2026","V","4,400","60","Water Efficiency","Yes","Not Required","82257","$255,000","This project mainly consists of the installation of approximately 34,000 linear feet (LF) of waterline, the majority of which is 6-inch in diameter, approximately 5,000 LF of service lines, three PRV vaults, the replacement of approximately 277 curb stop assemblies, and the installation of approximately 277 meter pits and meters. The project also involves the installation of a new large water holding tank to replace an existing Mizel Water Storage tank constructed in 1967. This entails the demolition of the current tank and construction of a new tank within the same footprint. The waterlines along Frankstown Road and Ragers Hill Rd are major feed lines for the system. Piping size and telemetry will be analyzed to increase service reliability and fire flows; thus, the replacement sizes may vary throughout the project.","A large portion of the Authority’s water system is comprised of asbestos-concrete pipe installed in the 1950s and early 1960s. It is evident through leaks and water loss that much of this pipe is at the end of its life expectancy. The past several years has seen an increase in volume of water purchased while maintaining a consistent customer base. Currently, the Authority’s customer meters capture only about 48% of the water purchased monthly. These issues have resulted in decreased water quality, distribution system operation issues, and decreased pressure to customers."
"27","CAMBRIA","4110297","$5,021,005","40","READE TOWNSHIP MUNICIPAL AUTHORITY- WELL LINE AND TANK PROJECT","P.O. BOX 153","GLASGOW","TRAN, WS","DWSRF","4/15/2026","V","1,746","63","N/A","No","N/A","80322","$0","The Reade Township Municipal Authority (RTMA) is proposing to replace 8,800 linear feet (LF) of existing 10-inch diameter raw waterline along Cambria Mills Rd. Project scope also includes replacing the section of waterline that runs along Sportsman Club Rd. In addition, a new 178,061 gallon glass fused bolted steel storage water tank will be installed at the same location as the existing 189,203 gallon water tank.","RTMA is supplying Glendale Valley Municipal Authority (GVMA) with finished water with sufficient reserve water capacity. RTMA is looking to supply DCNR Glendale Lake Park (Prince Gallitzin State Park) with approximately 45,000 gallons per day in addition to its supplies to GVMA. The source capacity is available but storage in the three existing tanks allows for only 1.5 days capacity on average. RTMA would like to install an additional storage tank to increase their storage to the DEP-recommended storage capacity of three days. The storage capacity concern is related to the raw waterline replacement as well. The existing ductile iron pipe that conveys raw water has had many leaks. The poorly draining acidic soil in the area has been noted to rot out the pipe in several locations."
"28","LANCASTER","7360058","$49,293,000","40","CITY OF LANCASTER - SUSQUEHANNA LARGE DIAMETER TRANSMISSION MAIN","150 PITNEY ROAD","LANCASTER","TRANS","DWSRF","1/21/2026","III","120,000","65","N/A","No","N/A","85229","$0","The Susquehanna large diameter transmission main project will include the construction of 7,200 linear feet (LF) of raw water transmission main between the Susquehanna Low Service Pump Station and the Susquehanna Water Treatment Plant (WTP) and 28,200 LF of finished water transmission main between the WTP and the Oyster Point Reservoir. All new pipe will be 42-inch diameter, ductile-iron/cement-lined pipe. The new raw and finished mains will parallel the existing raw and finished mains, providing redundancy and making the Susquehanna treatment system more resilient.","The City of Lancaster (City) withdraws about 70 percent of its water from an intake on the Susquehanna River at Columbia, PA. The water is moved from the Susquehanna Low Service Pump Station through a 42-inch diameter raw water transmission main to the Susquehanna Water Treatment Plant (WTP). Finished water from the WTP is moved through another 42-inch diameter water main to the Oyster Point Reservoir. Both the raw and finished water transmission mains are constructed of steel and are about 70-years old. While they are still in serviceable condition, the frequency of leaks and repairs is accelerating, and the City desires redundancy in these critical transmission mains for the Susquehanna system. It would not be feasible for the City to rely on their second WTP, the Conestoga WTP, to supply their entire service area due to water allocation limits on the Conestoga River and the presence of PFOA."
"29","MONROE","2450063","$4,844,000","38","PA AMERICAN WATER COMPANY SUMMIT POINT PFAS/MN TREATMENT IMPROVEMENTS","P O BOX 718","MOUNT POCONO","PFAS","DWSRF","7/16/2025","II","17,860","53","N/A","No","N/A","80302","$0","The project will demolish the existing wellhouse and replacement with a new facility. Two high service pumps will be installed in the treatment building. The well will receive a new submersible pump. The existing well discharge piping will be replaced from the well to the new treatment building. The column pipe and pitless adapter will be replaced. PFAS treatment system will include two GAC units and a 24-inch Greensand Plus filter for iron/manganese. Two sodium hypochlorite feed pumps, two sodium hydroxide chemical feed pumps, and a polymer batch aging and feed tank system. Two chemical feed pumps will be used to dose Zinc Orthophosphate into the post-GAC effluent line.","The most recent sampling shows PFOA levels at 4.1 ppt, manganese levels at 0.226 mg/L (limit 0.05 mg/L), and iron levels of 0.25 mg/L (limit 0.3 mg/L). Project will improve water quality for the service area."
"30","ERIE","6250028","$8,000,000","37","ERIE CITY WATER AUTH - WEST 12TH ST. MAINTENANCE FACILITY RENO. & DISTRIBUTION SYS PRO-FI","340 WEST BAYFRONT PARKWAY","ERIE","TREAT, DS","DWSRF","4/15/2026","VI","180,000","52","N/A","Yes","N/A","82258","$1,840,000","12TH STREET FACILITY BUILDING IMPROVEMENTS (77% of project cost): The Erie Water Works 240 West 12th Street facility, located at the intersection of West 12th Street and Myrtle Street in the City of Erie, Erie County, PA, houses the Distribution, Meters, and Engineering Departments as well as material inventory and a large portion of the fleet. Much of the facility was originally constructed in the 1930s and the majority of the facility is in need of significant updates. Work will include selective demolition, concrete work, structural steel, roofing, glazing, painting, flooring, install new fire protection system, new domestic water pipes, new gas pipes, utility connections, fixtures, appurtenances, water heater, air compressor, HVAC, panel boards, raceways, conduits, interior lighting, and exterior lighting. CURED-IN-PLACE PIPE (GIPP) LINER PROJECT (12% of project cost):Several important transmission mains throughout the system will be rehabilitated by Cured-In-Place Pipe (GIPP) technology under this project in order to economically extend life, and provide stability for continuous water supply through key parts of the distribution system. Funding may include hydraulic modeling as needed, site evaluations, and design, as well as the physical GIPP work. BIRD DRIVE WATER MAIN REPLACEMENT (11% of project cost): The existing water mains within this project area are 6"" cast iron mains from 1920s. Numerous water main breaks have occurred in these areas which interrupt water service to many customers, cause traffic disruptions, and lead to expensive pavement and lawn restoration. The existing mains will be replaced with approximately 1,500 feet of new ductile iron pipe. Fire hydrants and service lines will also be replaced.","This proposed Pro-Fi application includes the following projects. The first (12th Street Facility Building Improvements) is planned to be the lead project:12th Street Facility Building Improvements - The 12th Street facility houses the Erie Water Works Distribution, Meters, and Engineering Departments as well as material inventory and a large portion of the fleet. Much of the building is in need of upgrades. Cured-In-Place Pipe (GIPP) Liner Project - leaking The large diameter transmission main under railroad tracks in the City of Erie is leaking. There are several other important transmission mains throughout the system that can be rehabilitated by GIPP in order to economically extend life, and provide stability for continuous water supply through key parts of the distribution system. Bird Drive Water Main Replacement - The existing cast iron water mains are significantly aged and well past their useful life. These water mains were prioritized using the KLH Master Plan as well as EWW analysis of historical data of the frequency of main breaks per section of water main of equivalent age and material."
"31","MONTGOMERY","1460073","$16,235,000","36","AQUA PENNSYLVANIA INC. - CABOT/HALL RD PFAS PROJECT PWSID PA1460073","762 LANCASTER AVE.","BRYN MAWR","PFAS","DWSRF","7/16/2025","I","747,460","51","N/A","No","N/A","80303","$0","The Cabot and Hall Road Wells are located in Upper Merion and Abington Townships, respectively, in Montgomery County. The current plans for the Cabot Well project include construction of a new stand-alone treatment building and equalization tank, and installation of two trains of granular activated carbon (GAC) filter vessels for PFAS treatment. The current plans for the Hall Road project include construction of a treatment building addition, replacement of the well pump, and installation of one train of anion exchange (IX) filters with pre-filtration for PFAS treatment.","Aqua Pennsylvania Inc. (Aqua PA) serves municipalities throughout southeastern Pennsylvania. Aqua PA has been monitoring perfluoroalkyl substances (PFAS) in its water supply. Samples of water collected at entry points in the Aqua PA Main system (PWSID 1460073) have been analyzed for perfluorooctanoic acid (PFOA) and perfluorooctane sulfonate (PFOS). Analytical results indicate PFOA level of 5.525 ppt at Cabot well and 5.775 at Hall Road well and PFOS level of 3.125 ppt at Cabot well and 5.425 ppt at Hall Road well. in this system at the Cabot Well and Hall Road Well Treatment Facilities."
"32","CAMBRIA","4110043","$9,920,350","36","EAST TAYLOR MUNICIPAL AUTHORITY - 2\" WATERLINE REPLACEMENT PROJECT","403 DONRUTH LANE","CONEMAUGH","DS","DWSRF","7/16/2025","V","3,152","45","N/A","No","N/A","80296","$0","The proposed project includes the installation of 22,000 linear feet of new 2-inch diameter plastic water main distribution piping. New customer water service lateral piping and meter pits are also proposed as part of the project. The existing water distribution system would be abandoned in place, disconnected, and will no longer be utilized for water distribution. New water service installation will occur at all homes that were disconnected from the existing water system within the project area. New water laterals are proposed from the new main line to the customers’ property line. The new water main line and services will be installed at a minimum depth of 4 feet to the top of the pipe ensuring freeze protection.","The existing water distribution infrastructure within the proposed project area was largely installed throughout the 1900's and is significantly past its effective design life. Due to the change in water quality requirements for this public water system, the ability of the Authority to provide water to its customers that meets the current standards has become the primary focus of the Authority. The existing cast iron pipes within the system degrade the chlorine residuals in the water to levels near the minimum requirement. This means that the authority must flush the system regularly, resulting an increase in the water that must be purchased. By reducing the amount of water wasted through flushing, the Authority can minimize the cost passed onto its customers, while still providing quality water. In addition, various leaks in the existing piping contribute to ongoing water loss."
"33","BEDFORD","4050037","$5,033,000","36","BEDFORD TOWNSHIP MUNICIPAL AUTHORITY- WATER SYSTEM IMPROVEMENTS PROJECT","P.O. Box 371","BEDFORD","TREAT, SRS, DS","DWSRF","4/15/2026","III","1,125","41","N/A","No","N/A","85232","$0","The Bedford Township Municipal Authority (BTMA) project includes construction of the Bedford Springs Well No. 2 and replacement of approximately 11,900 LF of existing 4-inch through 12-inch diameter water mains. Development of the new well includes 1,350 LF of transmission main between the new well and the existing Bedford Springs treatment facility, a new metering vault to serve both wells, and the addition of an AQUAMAG (corrosion control) injection system at the treatment facility. The corrosion control system is a necessary upgrade as both Wells 1 and 2 have low alkalinity. The project also includes replacing eight fire hydrants, 34 gate valves, service lines, and appurtenances. The water main is located north of the Borough of Bedford, between U.S. Route 220-BUS and the Raystown Branch of the Juniata River.","BTMA’s system is divided into the Northern and Southern Services Areas and there is no connection between the two; the area in the middle is served by the Municipal Authority of the Borough of Bedford (MABB) and is bordered on the east and west sides by mountainous terrain. While the BTMA’s Northern Service Area has redundancy provided by four (4) wells, the Southern Service Area is only supplied by the Bedford Springs Well No. 1. If there is a problem with the single well, BTMA has no options other than purchasing water from MABB through an interconnection, which is not cost-effective. The new Bedford Springs Well No. 2 will provide source redundancy for BTMA’s Southern Service Area and ensure that a sufficient quality and quantity of water can be provided to users at a reasonable cost. The project will include an additional watermain replacement in the Northern Service Area where the existing pipe is either low-strength PVC or cast iron which is between 50 and 70 years old. This piping is increasingly prone to leaks and breaks which are costly to repair and can interrupt service to the mix of commercial, industrial, and residential users who are connected to the main. The condition of the existing main makes replacement necessary to continue serving this area."
"34","MONTGOMERY","1460073","$35,000,000","36","AQUA PENNSYLVANIA, INC. - RIDLEY PFAS PROJECT PWSID PA1460073","762 LANCASTER AVE.","BRYN MAWR","TREAT, PFAS","DWSRF","10/15/2025","I","747,460","51","N/A","No","N/A","80314","$0","PFAS treatment will be installed on the existing WTP campus and be sized to maintain the permitted 8.0 MGD plant capacity, with a maximum design capacity of 9.0 MGD. The PFAS treatment will involve the usage of granular activated carbon (GAC) in trains of dual (i.e., lead-lag formation) vessels to adsorb the PFAS compounds. The vessels will be housed in a new brick building and include a new electrical room for pump starters and variable frequency drives (VFDs), HVAC, and lighting. The project also includes a low lift pump station with four (4) vertical turbine pumps (VTPs) to push water through the GAC vessels and a 100,000-gal waste equalization tank with two (2) submersible transfer pumps to facilitate GAC rinses and backwashes. Details of the proposed PFAS treatment system implementation at the RWTP includes the improvements to the plant will consist of the demolition of an existing decommissioned treatment building and the construction of a new building (approximately 7,600 square feet) to house GAC treatment vessels, as well as associated site piping and underground storage chambers for feed water and wastewater to serve the GAC system; Installation of seven (7) trains of 12-foot diameter lead-lag GAC vessels. The 7-train system will allow Aqua to provide adequate treatment for 9.0 MGD with one train out of service. Installation of a 70,000-gallon wet well. The GAC system will be fed from the feed water wet well, which will receive flow via newly installed piping tapped into the existing treatment process downstream of the gravity filters. The wet well will contain four (4) submersible feed water pumps. Installation of a 100,000-gallon equalization tank. The design includes this waste holding tank for initial start-up waste and operational backwash for two vessels, as well as sludge discharge from the existing treatment process that is currently conveyed by force main from a pump station wet well to the thickeners. This tank will include two (2) submersible waste pumps. Backwash water for the GAC vessels will be supplied by the distribution system. Backwash wastewater will discharge from the waste holding tank to the existing wastewater treatment process on site. The existing chemical application points will be relocated after the GAC treatment, in a new chamber located upstream of the existing clearwell.","Aqua Pennsylvania Inc. (Aqua PA) serves municipalities throughout southeastern Pennsylvania. The Ridley Water Treatment Plant (RWTP) is owned and operated by Aqua PA and is located at 1200 East Baltimore Pike in Media, Delaware County. The RWTP is a surface water treatment plant that draws from two raw water sources. Up to 3.0 million gallons per day (MGD) is taken from Ridley Creek and up to 6.0 MGD is taken from Chester Creek. The RWTP produces up to 8.0 MGD and allocation is set at 9.0 MGD. Over the period of 2015 to 2020, the average flow split between the two raw water sources was 57% Ridley Creek and 43% Chester Creek. Both the Ridley Creek and Chester Creek raw water sources have detectable levels of perfluoroalkyl substances (PFAS) with the Chester Creek source having higher levels of contamination. Samples of water collected at the RWTP entry point (EP 138) have been analyzed for perfluorooctanoic acid (PFOA) and perfluorooctane sulfonate (PFOS). Analytical results indicate running annual average of 7.5 ppt for PFOA and 2.7 ppt for PFOS detections in at this entry point. The results for the past five quarters of monitoring have not exceeded the Pennsylvania Maximum Contaminant Level (MCL) for these two compounds."
"35","BUCKS","1090159","$2,077,000","35","BUCKINGHAM TOWNSHIP - WELL F-8 PFAS REMOVAL","PO BOX 413","BUCKINGHAM","PFAS, TREAT","DWSRF","1/21/2026","I","3,100","40","N/A","No","N/A","81139","$0","The existing treatment system for Well F8 consists of a pre-filtration system, disinfection by UV and chlorination systems, and booster pumps within a treatment control building, as well as an 88,000-gallon on-site storage tank (day tank). The existing well treatment system will remain in place without modification. There is an existing pole barn, at the site and in proximity to the control building, that will be demolished to serve as the site for a new building to house the proposed PFAS treatment system. The proposed treatment system will consist of one train of granular activated carbon (GAC) filters for removal of PFAS. The GAC filters are to be backwashed into a new holding tank, with a volume of approximately 18,000 to 19,000 gallons, which will be built adjacent to the new PFAS treatment building. The backwash holding tank will discharge into the sewer system via the wet well of the Buckingham Village Wastewater Treatment Plant (WWTP). Well F8 had originally served as the exclusive non-potable water supply for the township-owned Buckingham Village WWTP.","Sources of drinking water supply in the Buckingham Township Furlong System (PWSID#1090159), referenced herein as Buckingham, include six active wells (Wells F1, F2, F3, F4,F5, and F8), two abandoned wells (Well F7 and F9), and one well (Well F6) in reserve status. The system has been monitoring perfluoroalkyl substances (PFAS) in its water supply in 2024 and 2025. Samples of water collected at Entry Point (EP) 104 for Well F8 have been analyzed for perfluorooctanoic acid (PFOA) and perfluorooctane sulfonate (PFOS) and indicate elevated levels of PFAS. Averaged results from samples taken over five quarters of monitoring are as follows: 2.39 ng/L for PFOA and 6.6 ng/L for PFOS."
"36","BUCKS","1090063","$4,100,000","35","UPPER SOUTHAMPTON MUNCIPAL AUTHORITY - MAPLE AVENUE WATER MAIN REPLACEMENT","P O BOX 481 945 STRRET ROAD","SOUTHAMPTON","DS","DWSRF","1/21/2026","I","16,000","40","N/A","No","N/A","85230","$0","Upper Southampton Municipal Authority (USMA) intends to replace approximately 6,800 linear feet (LF) of existing 8-inch cast iron water main with 8-inch PVC pipe on Maple Avenue (SR 2016) from Street Road (SR 0132) to Second Street (SR 0232). This project will encompass 12 intersections, 95 water service connections, 5 fire hydrants, and 12 ADA compliant ramps. The road falls under PENNDOT jurisdiction, and restoration will be full wide macadam overlay.","The Maple Avenue water main replacement project, located within the Upper Southampton Municipal Authority system (PWSID 1090063), is a critical infrastructure initiative aimed at enhancing service reliability and water quality for customers. The existing water main has experienced frequent breaks in recent years, resulting in service disruptions and increased maintenance costs. Replacing this aging infrastructure will significantly improve system performance and reduce long-term operational costs. In addition, the project will ensure that ADA-compliant curb ramps, within the scope of the water main work, are brought up to current code standards, supporting accessibility and regulatory compliance."
"37","BUCKS","1090046","$5,974,042","33","PERKASIE REGIONAL AUTHORITY WELL #7 PFAS REMEDIATION","PO BOX 159","PERKASIE","TREAT, PFAS","DWSRF","4/15/2026","I","15,000","48","N/A","No","N/A","80328","$0","The proposed PFAS treatment project includes construction of a new treatment building. The existing wellhouse will be demolished to allow for re-drilling activities to removal materials resulting from a partial collapse within the well. The treatment building will contain one train of granular activated carbon filtration, for removal of PFAS, as well as disinfection feed. Backwash water will be stored in an on-site holding tank to allow for managed discharge to the sanitary sewer.","The Perkasie Regional Authority (PWS ID# 1090046), referenced herein as PRA, serves residential, commercial, and industrial customers within the Borough of Perkasie, as well as portions of East Rockhill Township, Sellersville Borough, Hilltown Township, and West Rockhill Township in Bucks County. The water system derives its water supply via production wells identified as Wells 5, 6, 7, 10, and 11, as well as purchased groundwater from Hilltown Township Authority. Well 7 (Source ID 010) is located in the Three Mile Run watershed within East Rockhill Township near Pennridge Airport and Heidelberg Materials Quarry. Well 7 supply is currently disinfected prior to distribution as Entry Point (EP) 105. Samples of water collected at Entry Point 105 for Well 7 exhibited elevated PFAS levels in 2024 and 2025, as follows (averaged values): 1.9 ng/L PFOA and 4.6 ng/L PFOS."
"38","MONTGOMERY","1460007","$1,040,000","33","AQUA PENNSYLVANIA, INC. - IVY RIDGE WELLS PFAS REMOVAL PROJECT PWSID PA1460007","762 LANCASTER AVE","BRYN MAWR","PFAS, TREAT","DWSRF","1/21/2026","I","150","38","N/A","No","N/A","81136","$0","Proposed PFAS treatment upgrades include two trains (two vessels in series per train) of anion exchange resin filters with pre-filtration (5 micron cartridge filters), and replacement of the well pump with addition of variable frequency drive and upgraded electrical controls. The PFAS filtration trains and pre-filtration assembly will be housed within the existing well house.","Samples of water collected at entry points in the Aqua PA Superior Ivy Ridge (PWSID 1460007) system have been analyzed for perfluorooctanoic acid (PFOA) and perfluorooctane sulfonate (PFOS). Average quarterly PFAS results collected at Ivy Ridge Wells 1 & 2 are 4.0 ng/L (PFOA) and non-detect (PFOS)."
"39","BUCKS","1090147","$1,520,000","33","AQUA PENNSYLVANIA, INC. - PEDDLERS VIEW WELL PFAS REMOVAL PROJECT PWSID PA1090147","762 LANCASTER AVE.","BRYN MAWR","PFAS, TREAT","DWSRF","1/21/2026","I","600","38","N/A","No","N/A","81137","$0","Proposed PFAS treatment upgrade project includes one train (two vessels in series) of granular activated carbon filters at the well station. Pumps for each well will be replaced. The PFAS filtration train will have a heated enclosure for the valve trees and exposed piping and valves will be heat-traced and insulated.","Aqua Pennsylvania Inc. (Aqua PA) serves municipalities throughout southeastern Pennsylvania. Aqua PA has been monitoring perfluoroalkyl substances (PFAS) in its water supply. Samples of water collected at entry points in the Aqua PA Peddlers View (PWSID 1090147) system have been analyzed for perfluorooctanoic acid (PFOA) and perfluorooctane sulfonate (PFOS). Analytical results indicate detections of PFOA and PFOS. The monitoring results for 2024 and 2025, to date, have not exceeded the Pennsylvania Maximum Contaminant Level (MCL) for these two compounds at the proposed project site. Average quarterly PFAS results collected at the Peddlers View Wells 1 & 3 well station are 1.69 ng/L (PFOA) and non-detect (PFOS)."
"40","MONTGOMERY","1460073","$6,890,000","33","AQUA PENNSYLVANIA, INC. - HUNT, ORELAND, AND FLOURTOWN WELLS PFAS REMOVAL PA1460073","762 LANCASTER AVE.","BRYN MAWR","PFAS, TREAT","DWSRF","1/21/2026","I","747,460","38","N/A","No","N/A","80321","$0","Proposed PFAS treatment upgrade project includes one train (two vessels in series) of anion exchange resin filters with pre-filtration at Hunt Country Well and one train of granular activated carbon filters at Flourtown Well and at Oreland Well. Well pumps for each station will be replaced. The PFAS filtration trains will have a heated enclosure for the valve trees and exposed piping and valves will be heat-traced and insulated.","Samples of water collected at entry points in the Aqua PA Main (PWSID 1460073) system have been analyzed for perfluorooctanoic acid (PFOA) and perfluorooctane sulfonate (PFOS). Average quarterly PFAS results at each well station are 3.8 ng/L (PFOA) and 3.4 ng/L (PFOS) [Flourtown Well]; 4.7 ng/L (PFOA) and 4.4 ng/L (PFOS) [Oreland Well]; and, 3.5 ng/L (PFOA) and non-detect (PFOS) [Hunt Country Well Station]."
"41","MONTGOMERY","1460069","$6,890,000","33","AQUA PENNSYLVANIA, INC. - MEYERS, CRANBERRY 3 & 4, AND RAHNS WELLS PFAS  PA1460069","467 GRAVEL PIKE","COLLEGEVILLE","PFAS, TREAT","DWSRF","1/21/2026","I","3,600","38","N/A","No","N/A","81138","$0","Proposed PFAS treatment upgrades project includes one train (two vessels in series) of anion exchange resin filters with pre-filtration at three well stations. Well pumps for each station will be replaced. The PFAS filtration trains will have a heated enclosure for the valve trees and exposed piping and valves will be heat-traced and insulated.","Samples of water collected at entry points in the Aqua PA Perkiomen Township (PWSID 1460069) system have been analyzed for perfluorooctanoic acid (PFOA) and perfluorooctane sulfonate (PFOS). Average quarterly PFAS results at each well station are 6.5 ng/L (PFOA) and 4.1 ng/L (PFOS) [Cranberry Well 3]; 4 ng/L (PFOA) and 3.2 ng/L (PFOS) [Cranberry Well 4]; 5.6 ng/L (PFOA) and 5.6 ng/L (PFOS) [Meyers Tract]; and, 7.9 ng/L (PFOA) and 5.7 ng/L (PFOS) [Rahn]."
"42","CHESTER","1150195","$990,000","33","AQUA PENNSYLVANIA, INC. - DEER RUN WELL PFAS REMOVAL PROJECT PWSID PA1150195","5803 OLD PHILADELPHIA PIKE","GAP","PFAS, TREAT","DWSRF","1/21/2026","I","1,600","38","N/A","No","N/A","81135","$0","Proposed PFAS treatment upgrade project includes one train (two vessels in series) of anion exchange resin filters with pre-filtration (two 5 micron cartridge filters), and replacement of the well pump with addition of variable frequency drive and upgraded electrical controls. The PFAS filtration train and pre-filtration assembly will be housed within the existing well house.","Samples of water collected at entry point in the Aqua PA Honeybrook (PWSID 1150195) system have been analyzed for perfluorooctanoic acid (PFOA) and perfluorooctane sulfonate (PFOS). Average quarterly PFAS results collected at Deer Run Well 3 are 2.25 ng/L (PFOA) and non-detect (PFOS)."
"43","LACKAWANNA","2409010","$7,370,000","31","PENNSYLVANIA AMERICAN WATER COMPANY MAPLE LAKE DAM REHABILITATION","39 PUBLIC SQUARE","WILKES-BARRE","DAM","DWSRF","7/16/2025","II","52,640","46","N/A","No","N/A","80294","$0","The proposed Maple Lake Dam Rehabilitation project will upgrade the Maple Lake Dam structure to bring it into compliance with current dam safety practices. The project includes upgrading the outlet works to modern design standards and increasing the capacity of the spillway to convey the probable maximum flood consisting of a 2-stage labyrinth weir. In addition, a seepage collection system will be installed in the embankment of the dam. The embankment will be flattened to increase the overall stability of the structure, and a filter diaphragm will be installed around the concrete culvert that protrudes through the embankment. The outlet works system will include a 30-inch diameter ductile iron pipe that will bypass the weir and be to the left of the spillway training wall. The pipe will be controlled by an unseated self-contained stainless steel slide gate at the downstream end of the pipe and the upstream end of the pipe will be fitted with a trash rack.","The Maple Lake Dam’s current spillway can only pass a flow of 76 percent of the probable maximum flood event. There is risk of failure due to the lack of a filter diaphragm. There was also seepage noted through the embankment of the dam."
"44","LACKAWANNA","2359008","$7,326,000","31","PENNSYLVANIA AMERICAN WATER COMPANY MARSHWOOD DAM REHABILITATION","39 PUBLIC SQUARE","WILKES BARRE","DAM","DWSRF","7/16/2025","II","134,570","46","N/A","No","N/A","80295","$0","The proposed Marshwood Dam Rehabilitation project will upgrade the Marshwood Dam structure bringing it into compliance with current dam safety practices. The project includes upgrading the outlet works to modern design standards and increasing the capacity of the spillway to convey the probable maximum flood. A two stage labyrinth weir will be installed. In addition, a seepage collection system will be installed in the embankment of the dam. The embankment will be flattened to increase the overall stability of the dam. The outlet works system will include a 30-inch diameter ductile iron pipe that will bypass the weir and be to the right of the spillway training wall. The pipe will be controlled by an unseated self-contained stainless steel slide gate at the downstream end of the pipe and the upstream end of the pipe will be fitted with a trash rack.","The Marshwood Dam’s current spillway can only pass a flow of 55 percent of the probable maximum flood event. There is risk for a failure due to the material piping from the lack of a filter diaphragm. There was also seepage noted through the embankment of the dam."
"45","ARMSTRONG","5030019","$8,957,546","25","MUNICIPAL AUTHORITY OF BUFFALO TOWNSHIP - WATER TREATMENT PLANT EXPANSION","707 SOUTH PIKE ROAD","SARVER","TREAT","DWSRF","1/21/2026","VI","5,849","40","N/A","No","N/A","85228","$0","The Municipal Authority of Buffalo Township is proposing a water treatment plant expansion project which will consist of adding additional influent and effluent pumps, one additional treatment basin, a membrane filtration skid, a new clearwell tank, and a second clarifier.","The Municipal Authority needs to expand their Freeport Water Treatment Plant to meet the current increase in demand for their service area. The current treatment plant can produce 1.25 million gallons per day (MGD). Recently the Authority received a new water allocation permit for 2.0 MG per day. The current expansion project will allow the Authority to produce up to 2.5 MG per day if needed."
"46","CARBON","3540014","$6,670,000","23","KLINE TOWNSHIP MUNICIPAL AUTHORITY - 2026 WATER PROJECTS","1110 SOUTH CHURCH STREET","HAZLETON","DS","DWSRF","4/15/2026","II","6,700","28","N/A","No","N/A","85233","$0","The Hancock Street project will replace approx. 2,500 LF of water main with 8-inch and include fire hydrant replacement and service line replacements. The Fire Loop project will replace approx. 4,100 LF water main with 8-inch and addition of fire hydrants and replacement of water service lines. The Tank Rehab project will repaint the existing tank.","The project will replace old and outdated water mains on Hancock Street. The Tresckow Fire loop project will replace cast iron pipe with leaded joints that has extreme tuberculation to improve fire suppression. And the water tank will be repainted as the current paint is old and peeling."
"47","LACKAWANNA","2359008","$16,922,000","23","PENNSYLVANIA AMERICAN WATER COMPANY GRIFFIN DAM REHABILITATION PROJECT","39 PUBLIC SQUARE","WILKES BARRE","DAM","DWSRF","4/15/2026","II","134,570","28","N/A","No","N/A","85234","$0","The Griffin Dam rehabilitation project includes upgrading the outlet works to meet modern design standards, increasing capacity of the principal spillway, completing a seepage collection system, installing a filter diaphragm around the concrete culvert, and other related work.","In May 2010, the Department prepared a document for the Pennsylvania American Water Company (PAWC) that categorized all high hazard dams in PAWC’s inventory as “safe” or “unsafe” based on Pennsylvania’s Risk Management Tool for the Assessment of Dams. The existing spillway system is undersized for flood control and therefore, it is categorized as “unsafe.” Also, misalignment issues exist along the downstream slope’s existing concrete retaining walls and outlet.  Finally, seepage issues have been experienced along the dam in the past."
