,Community,Affordability Score,2020 Pop.,Total Project Cost,Potential Principal Forgiveness,Estimated Start,Estimated Completion,Est. Interest Rate,Est. Terms,Project Description
102,City of Adel*,29,"5,507","$135,000",Primary,8/1/2023,11/1/2025,2.63%,20,"The City of Adel is seeking funding to continue development of its lead service line inventory. In order to meet the upcoming October 16, 2024 deadline set by the Lead and Copper Rule Revision, the City is utilizing ArcGIS to compile service line data from various sources, including historical records review, water meter inspection, and other field investigation methods. The City is also requesting funding to supplement the expected cost of replacing service lines."
103,City of Allentown*,29,191,"$28,750",Primary,1/1/2024,3/29/2024,2.63%,20,"The project will apply best practices to determine lead services across the water system. The prac(cid:415)ces will include desktop surveys of tax id information, postcard testing, &#64257;eld testing, and visual inspections of services to determine in-place infrastructure. The costs also include data aggregation and a data management platform for the inventory."
104,City of Barwick*,29,358,"$53,250",Primary,9/1/2023,10/1/2024,2.63%,20,"Project will create service line inventory to comply with new LCR rules. Inventory development will include field investigations to review line materials, researching year of install and review of plans to identify material type. Collected information will be incorporated in a GIS database. A service line replacement plan will also be developed to comply with new LCR rules."
105,City of Bowdon*,29,"2,161","$335,150",Primary,3/1/2023,9/30/2024,2.63%,20,"Development of the required lead and copper service line inventory utilizing engineering consultant services to determine the specific services that need to be verified by field investigations, field verification of service materials by a selected contractor via visual meter inspection and/or pothole/excavation methods, public notifications, purchase of POU devices, representative sampling, customer surveys, and any other miscellaneous tasks required to complete and submit the inventory or update the public."
106,City of Canon *,29,798,"$15,900",Primary,8/28/2023,8/30/2024,2.63%,20,"Will begin inventory with a request for Diamond Maps to create spreadsheets with program to auto populate service connections, multipliers for feet of service line, pipe material drop down list. Our water supervisor has paper logs of service lines that have required view due to water leaks or water line breaks in the area. We will create a customer survey to be included on the water bill to receive any known information on all connections on build date of the structure, service line pipe material, and any other service line or water issues that the customer would like to make known to the City of Canon. All inventory data collection will be stored digitally awaiting EPD portal creation for submitting. The City of Canon will purchase the Diamond Maps and iPad for data collection in the field to assist with the inventory. The cost of these items are included in the project cost submission. With the request of $25,300 to create inventory, they may require these funds to be used for a subcontractor job to complete the inventory. From my understanding, systems are having their “Water Department” do the inventory after hours and paying them for the inventory crea(cid:415)on services. (Is this a viable op(cid:415)on?) We will need to use a portion of these funds to purchase the iPad ($1,000) and Diamond Maps ($288).This is an estimated cost. We may also need a small portion for the survey creation and spreadsheet so that it auto populates instead for having to enter all informa(cid:415)on manually."
108,City of Funston*,29,402,"$65,985",Primary,5/1/2023,10/16/2024,2.63%,20,"The City of Funston is in need of funding for its Lead Service Line Inventory project. The City has a limited staff and is unable to complete the required inventory and other planning portions of the new LCRR on its own. The City is requesting $77,985.00 to cover the costs associated with the project including: development of the service line inventory and replacement capital improvement plan by a contracted consultant, field investigation services for identification of lead service lines by a contractor that will be incorporated into the service line inventory, an initial supply of filter pitchers for a pitcher filter program, an initial supply of tap sampling kits for a random lead sampling and monitoring program, and printing and postage costs for initial notification and public education materials as part of a community outreach and communication program. The City will begin the development of the Service Line Inventory immediately upon notification of grant approval. All work will be completed and submi(cid:425)ed to EPD no later than October 16, 2024."
109,City of Hephzibah*,29,"3,830","$135,100",Primary,6/1/2023,6/1/2024,2.63%,20,Investigation for lead/copper lines within the City. Replacement of lead service lines if found.
110,City of Montezuma*,29,"3,047","$189,305",Primary,7/1/2023,11/1/2024,2.63%,20,"The City of Montezuma is in need of funding for its Lead Service Line Inventory project for its water system serving approximately 1,690 customers. The City has a limited staff and is unable to complete the required inventory and other planning portions of the new LCRR on its own. The City is requesting $280,705.00 to cover the costs associated with the project including: development of the service line inventory and replacement capital improvement plan by a contracted consultant, field investigation services for identification of lead service lines by a contractor that will be incorporated into the service line inventory, an initial supply of filter pitchers for a pitcher filter program, an initial supply of tap sampling kits for a random lead sampling and monitoring program, and printing and postage costs for initial notification and public education materials as part of a community outreach and communication program. The City will begin the development of the Service Line Inventory immediately upon notification of grant approval. All work will be completed and submitted to EPD no later than October 16, 2024."
111,City of Nashville*,29,"4,717","$94,350",Primary,4/13/2023,-,2.63%,20,Inventory and replace all lead service lines
112,City of Ocilla*,29,"3,498","$98,680",Primary,5/1/2023,10/16/2024,2.63%,20,"The City of Ocilla is in need of funding for its Lead Service Line Inventory project. The City has a limited staff and is unable to complete the required inventory and other planning portions of the new LCRR on its own. The City is requesting $203,680.00 to cover the costs associated with the project including: development of the service line inventory and replacement capital improvement plan by a contracted consultant, field investigation services for identification of lead service lines by a contractor that will be incorporated into the service line inventory, an initial supply of filter pitchers for a pitcher filter program, an initial supply of tap sampling kits for a random lead sampling and monitoring program, and printing and postage costs for initial notification and public education materials as part of a community outreach and communication program. The City will begin the development of the Service Line Inventory immediately upon notification of grant approval. All work will be completed and submi(cid:425)ed to EPD no later than October 16, 2024."
113,City of Poulan*,29,760,"$76,926",Primary,5/1/2023,10/16/2024,2.63%,20,"The City of Poulan is in need of funding for its Lead Service Line Inventory project. The City has a limited staff and is unable to complete the required inventory and other planning portions of the new LCRR on its own. The City is requesting $99,726.00 to cover the costs associated with the project including: development of the service line inventory and replacement capital improvement plan by a contracted consultant, field investigation services for identification of lead service lines by a contractor that will be incorporated into the service line inventory, an initial supply of filter pitchers for a pitcher filter program, an initial supply of tap sampling kits for a random lead sampling and monitoring program, and printing and postage costs for initial notification and public education materials as part of a community outreach and communication program. The City will begin the development of the Service Line Inventory immediately upon notification of grant approval. All work will be completed and submi(cid:425)ed to EPD no later than October 16, 2024."
115,City of Sandersville*,29,"5,813","$150,600",Primary,6/1/2023,6/1/2024,2.63%,20,Investigation for lead/copper lines within the City. Replacement of lead service lines if found.
117,City of Whigham*,29,417,"$47,500",Primary,-,-,2.63%,20,LEAD SERVICE LINE INVENTORY PROJECT
118,East Dublin*,29,"2,479","$1,225,600",Primary,10/2/2023,1/1/2024,2.63%,20,"The removal and replacement of all lead service lines and lead appurtenances in the water system, including but not limited to goosenecks and lead service lines."
119,Eatonton-Putnam Water & Sewer Authority*,29,"6,278","$61,650",Primary,6/5/2023,10/1/2024,2.63%,20,"The Eatonton-Putnam Water & Sewer Authority is seeking funding assistance to develop a complete lead & copper service line inventory program that will comply with EPA’s Lead & Copper Rule Revisions (LCRR) by the October 16, 2024 deadline. This program will include the inventory of 6,700 existing service lines utilizing methodologies currently accepted by EPA/EPD to determine material type for __######___ potable water service lines, including both system- and customer- owned sides. Additionally, the program will include submitting the Lead Service Line Replacement (LSLR) Plan to EPA/EPD by the LCRR deadline, planning for public education and outreach, and developing an economical strategy for performing and optimizing sampling and LSLR procedures, including funding strategies for disadvantaged communities."
121,Sale City*,29,344,"$75,770",Primary,7/1/2023,11/1/2024,2.63%,20,"Sale City is in need of funding for its Lead Service Line Inventory project for its water system serving approximately 260 customers. The City has a limited staff and is unable to complete the required inventory and other planning portions of the new LCRR on its own. The City is requesting $86,120.00 to cover the costs associated with the project including: development of the service line inventory and replacement capital improvement plan by a contracted consultant, field investigation services for identification of lead service lines by a contractor that will be incorporated into the service line inventory, an initial supply of filter pitchers for a pitcher filter program, an initial supply of tap sampling kits for a random lead sampling and monitoring program, and printing and postage costs for initial notification and public education materials as part of a community outreach and communication program. The City will begin the development of the Service Line Inventory immediately upon notification of grant approval. All work will be completed and submitted to EPD no later than October 16, 2024."
122,Town of DuPont*,29,120,"$2,400",Primary,4/13/2023,-,2.63%,20,Inventory of lead service lines and replacement
124,City of Barnesville*,28,"6,389","$141,000",Primary,1/1/2022,10/1/2024,2.63%,20,"The City of Barnesville is seeking funding assistance to develop a complete lead & copper service line inventory program that will comply with EPA’s Lead & Copper Rule Revisions (LCRR) by the October 16, 2024 deadline. This program will include the inventory of existing service lines utilizing methodologies currently accepted by EPA/EPD to determine material type for 4,500 potable water service lines, including both system- and customer-owned sides. Additionally, the program will include submitting the Lead Service Line Replacement (LSLR) Plan to EPA/EPD by the LCRR deadline, planning for public education and outreach, and developing an economical strategy for performing and optimizing sampling and LSLR procedures, including funding strategies for disadvantaged communities."
123,City of Alma*,28,"3,397","$115,075",Primary,8/1/2023,11/1/2025,2.63%,20,"The City of Alma is seeking funding to continue development of its lead service line inventory. In order to meet the upcoming October 16, 2024 deadline set by the Lead and Copper Rule Revision, the City is utilizing ArcGIS to compile service line data from various sources, including historical records review, water meter inspection, and other field investigation methods. The City is also requesting funding to supplement the expected cost of replacing service lines."
125,City of Carlton*,28,259,"$6,450",Primary,9/6/2022,9/30/2023,2.63%,20,"Began Inventory with request for Diamond Maps to create spreadsheet with Program to auto populate service connections, multipliers for feet of service line, pipe material drop down list. Mr. Kemp has created a paper log of service lines that have required view, whether due to water leaks or other water line breakage in the area. Ms. Willis has measured from the meter to the house on connections within concentrated housing areas to get an estimate Latino of number of feet of service line for all connections on South Railroad Ave after identifying these connections to be (GRR) Galvanized Requiring Removal. Mr. Kemp has identified areas of concern where pot holing will be required for Inventory. Ms. Willis is creating a customer survey to be included on the Water bill to survey all connections on built date of structure, service line pipe material (if known), any repairs or upgrades to service line, identify repair/upgrade materials used (if known), and any other service line/water issues customer would like to make known to the City of Carlton. This project will be modified to conform to EPD requirements when presented. All inventory data collection will retained digitally awaiting EPD portal creation for submittal. City of Carlton has purchased Diamond Maps, and an IPAD for data collection in the field to assist with compiling data for the LSL inventory. Cost for these items are included in the project cost submission."
126,City of Luthersville*,28,"1,910","$152,250",Primary,8/1/2023,11/1/2025,2.63%,20,"The City of Luthersville is seeking funding to continue development of its lead service line inventory. In order to meet the upcoming October 16, 2024 deadline set by the Lead and Copper Rule Revision, the City is utilizing ArcGIS to compile service line data from various sources, including historical records review, water meter inspection, and other field investigation methods. The City is also requesting funding to supplement the expected cost of replacing service lines."
127,City of Lyons*,28,"4,211","$194,725",Primary,6/5/2023,10/1/2024,2.63%,20,"The City of Lyons, GA is seeking funding assistance to develop a complete lead & copper service line inventory program that will comply with EPA’s Lead & Copper Rule Revisions (LCRR) by the October 16, 2024 deadline. This program will include the inventory of existing service lines utilizing methodologies currently accepted by EPA/EPD to determine material type for 2,101 potable water service lines, including both system- and customer-owned sides. Additionally, the program will include submitting the Lead Service Line Replacement (LSLR) Plan to EPA/EPD by the LCRR deadline, planning for public education and outreach, and developing an economical strategy for performing and optimizing sampling and LSLR procedures, including funding strategies for disadvantaged communities."
128,City of Milan*,28,631,"$78,825",Primary,1/3/2024,8/15/2024,2.63%,20,"This project will involve creating a complete service line inventory. The project will include review of existing plans and documentation for recorded data, as well as field investigations for unrecorded data. The end result will be a complete inventory of all service lines that will be submitted to GA EPD before the regulatory deadline. Part of this phase (after inventory) will include mapping of service lines that need replacing in preparation for future phases."
129,City of Omega*,28,"1,318","$67,050",Primary,6/1/2023,10/16/2024,2.63%,20,"The City of Omega has a population of 1,318 with approx. 465 water services and is in need of grant funding for its Lead Service Line Inventory project. The City has a very limited staff and is unable to complete the required inventory and other planning portions of the new LCRR on its own. The City is requesting $100,000 to cover the costs associated with the project including: development of the service line inventory and replacement capital improvement plan by a contracted consultant, field investigation services for identification of lead service lines by a contractor that will be incorporated into the service line inventory, an initial supply of filter pitchers for a pitcher filter program, an initial supply of tap sampling kits for a random lead sampling and monitoring program, and printing and postage costs for initial notification and public education materials as part of a community outreach and communication program. The City will begin the development of the Service Line Inventory immediately upon notification of grant approval. All work will be completed and submitted to EPD no later than October 16, 2024. The City wishes to be considered for the grant opportunity and has only selected the loan opportunity as a back-up option."
130,City of Pinehurst*,28,462,"$11,550",Primary,-,-,2.63%,20,lead service line inventory and lead service line replacement
131,City of Stapleton*,28,402,"$124,950",Primary,6/1/2023,6/1/2024,2.63%,20,Investigation for lead/copper lines within the City. Replacement of lead service lines if found.
132,City of Statesboro*,28,"40,000","$1,390,000",Primary,-,-,2.63%,20,Inventory and Replacement
133,City of Thomson*,28,"6,885","$1,127,875",Primary,3/1/2023,10/16/2024,2.63%,20,"The City of Thomson is seeking funding for development of a service line inventory to be compliant with the EPA Lead and Copper Rule Revisions. Funding will be used to furnish services for developing the inventory in ArcGIS software and for performing a desktop analysis, historical records review, and field investigations to verify service line materials. Funding will also be used for other inventory-related expenditures, such as point-of-use devices and public no(cid:415)ﬁca(cid:415)on materials."
134,City of Uvalda*,28,442,"$108,950",Primary,6/1/2023,6/1/2024,2.63%,20,Investigation for lead/copper lines within the City. Replacement of lead service lines if found.
135,City of Waynesboro,28,"5,745","$8,856,375",Primary,8/1/2023,10/1/2024,2.63%,20,"The City of Waynesboro is seeking any available grant funding and other financial assistance to aid in the (federally mandated) required inventory of all service lines in our community. Funding assistance is also needed for the replacement of all service lines found to contain lead during the initial lead line inventory/assessment. Once the affected properties are correctly identified, the city will create and implement a strategy for the required replacement of the public (City owned) portion as well as the private (Customer owned) portion of the lines identified to contain lead. The 2020 Census data reported a population of 5,745 with a Median household income of $40,268.00 and a poverty rate of 48.7%.There are currently approximately 2500 (metered) service connections in Waynesboro with approximately 50% of those lines estimated to contain lead. According to information included in the 2022 GMA City Data profile for Waynesboro, it states that 65% of structures in Waynesboro were built before 1980 (increasing the probability that theses properties contain lead lines.) We have been working diligently to resolve all infrastructure issues in our area and will need funding assistance to remain compliant with these guidelines."
136,Heard County Water Authority*,28,"11,286","$13,717,850",Primary,3/7/2023,3/1/2028,2.63%,20,"Complete Lead Service Line Inventory, with mapping, to meet 2021 LCRR. Conduct Community engagement and educational workshops to advise community about relacing lead service lines. Develop Lead Service Line Replacement projects to replace such lines and related appurtenances, by providing project funding to HCWA customers."
137,Lumber City*,28,967,"$475,820",Primary,10/2/2023,1/1/2024,2.63%,20,"The removal and replacement of all lead service lines and lead appurtenances in the water system, including but not limited to goosenecks and lead service lines."
138,Town of Sasser*,28,287,"$54,505",Primary,5/1/2023,10/16/2024,2.63%,20,"The City of Sasser is in need of funding for its Lead Service Line Inventory project. The City has a limited staff and is unable to complete the required inventory and other planning portions of the new LCRR on its own. The City is requesting $71,705.00 to cover the costs associated with the project including: development of the service line inventory and replacement capital improvement plan by a contracted consultant, field investigation services for identification of lead service lines by a contractor that will be incorporated into the service line inventory, an initial supply of filter pitchers for a pitcher filter program, an initial supply of tap sampling kits for a random lead sampling and monitoring program, and printing and postage costs for initial notification and public education materials as part of a community outreach and communication program. The City will begin the development of the Service Line Inventory immediately upon notification of grant approval. All work will be completed and submi(cid:425)ed to EPD no later than October 16, 2024."
140,City of Baconton*,27,856,"$72,270",Primary,5/1/2023,10/16/2024,2.63%,20,"The City of Baconton is in need of funding for its Lead Service Line Inventory project. The City has a limited staff (1 office personnel and 1 utility personnel) and is unable to complete the required inventory and other planning portions of the new LCRR on its own. The City is requesting $93,670.00 to cover the costs associated with the project including: development of the service line inventory and replacement capital improvement plan by a contracted consultant, field investigation services for identification of lead service lines by a contractor that will be incorporated into the service line inventory, an initial supply of filter pitchers for a pitcher filter program, an initial supply of tap sampling kits for a random lead sampling and monitoring program, and printing and postage costs for initial notification and public education materials as part of a community outreach and communication program. The City will begin the development of the Service Line Inventory immediately upon notification of grant approval. All work will be completed and submitted to EPD no later than October 16, 2024."
141,City of Damascus*,27,210,"$45,665",Primary,7/1/2023,11/1/2024,2.63%,20,"The City of Damascus is in need of funding for its Lead Service Line Inventory project serving approximately 95 customers.. The City has a limited staff and is unable to complete the required inventory and other planning portions of the new LCRR on its own. The City is requesting $60,915.00 to cover the costs associated with the project including: development of the service line inventory and replacement capital improvement plan by a contracted consultant, field investigation services for identification of lead service lines by a contractor that will be incorporated into the service line inventory, an initial supply of filter pitchers for a pitcher filter program, an initial supply of tap sampling kits for a random lead sampling and monitoring program, and printing and postage costs for initial notification and public education materials as part of a community outreach and communication program. The City will begin the development of the Service Line Inventory immediately upon notification of grant approval. All work will be completed and submitted to EPD no later than October 16, 2024."
142,City of Manchester*,27,"3,563","$2,311,000",Primary,10/2/2023,1/1/2024,2.63%,20,"The removal and replacement of all lead service lines and lead appurtenances in the water system, including but not limited to goosenecks and lead service lines."
143,City of Milledgeville*,27,"17,070","$573,250",Primary,6/1/2023,6/1/2024,2.63%,20,Investigation for lead/copper lines within the City. Replacement of lead service lines if found.
144,City of Pearson*,27,"2,200","$53,000",Primary,10/1/2023,4/30/2023,2.63%,20,Inventory of all service lines in the City of Pearson to determine whether lines are lead and require replacement.
145,City of Rhine,27,295,"$72,350",Primary,7/1/2023,11/1/2024,2.63%,20,"The City of Rhine is in need of funding for its Lead Service Line Inventory project for its water system serving approximately 200 customers. The City has a limited staff and is unable to complete the required inventory and other planning portions of the new LCRR on its own. The City is requesting $79,850.00 to cover the costs associated with the project including: development of the service line inventory and replacement capital improvement plan by a contracted consultant, field investigation services for identification of lead service lines by a contractor that will be incorporated into the service line inventory, an initial supply of filter pitchers for a pitcher filter program, an initial supply of tap sampling kits for a random lead sampling and monitoring program, and printing and postage costs for initial notification and public education materials as part of a community outreach and communication program. The City will begin the development of the Service Line Inventory immediately upon notification of grant approval. All work will be completed and submitted to EPD no later than October 16, 2024."
146,City of Toccoa,27,"9,248","$1,970,000",Primary,3/1/2023,10/16/2024,2.63%,20,"The City of Toccoa is seeking funding for development of a service line inventory to be compliant with the EPA Lead and Copper Rule Revisions. Funding will be used to furnish services for developing the inventory in ArcGIS software and for performing a desktop analysis, historical records review, and field investigations to verify service line materials. Funding will also be used for other inventory-related expenditures, such as point-of-use devices and public no(cid:415)ﬁca(cid:415)on materials."
147,City of Warm Springs,27,"1,107","$907,388",Primary,6/1/2023,1/1/2024,2.63%,20,The city of Warms Springs received a failing grade on its lead testing from EPD. The city is applying for a loan and grant from GEFA to replace all lead service lines to protect the citizens of this great city and per EPD instruction. Please contact the city operations team if you have any questions or the city engineer for clarification. This is priority 1 for the city and the safety of the residents of this disadvantage community in which most are low to moderate income.
148,City of Warwick,27,502,"$76,090",Primary,7/1/2023,11/1/2024,2.63%,20,"The City of Warwick is in need of funding for its Lead Service Line Inventory project for its water system serving approximately 270 customers. The City has a limited staff and is unable to complete the required inventory and other planning portions of the new LCRR on its own. The City is requesting $88,640.00 to cover the costs associated with the project including: development of the service line inventory and replacement capital improvement plan by a contracted consultant, field investigation services for identification of lead service lines by a contractor that will be incorporated into the service line inventory, an initial supply of filter pitchers for a pitcher filter program, an initial supply of tap sampling kits for a random lead sampling and monitoring program, and printing and postage costs for initial notification and public education materials as part of a community outreach and communication program. The City will begin the development of the Service Line Inventory immediately upon notification of grant approval. All work will be completed and submitted to EPD no later than October 16, 2024."
149,City of Young Harris,27,"1,146","$41,350",Primary,8/1/2023,10/16/2024,2.63%,20,To comply with the Lead service line inventory (LSLI) project.
150,Town of Ochlocknee,27,605,"$15,125",Primary,5/1/2023,10/16/2024,2.63%,20,Lead Service Line Inventory and Replacement
152,City of Leary,26,548,"$77,025",Primary,7/1/2023,11/1/2024,2.63%,20,"The City of Leary is in need of funding for its Lead Service Line Inventory project for its water system serving approximately 225 customers. The City has a limited staff and is unable to complete the required inventory and other planning portions of the new LCRR on its own. The City is requesting $87,975.00 to cover the costs associated with the project including: development of the service line inventory and replacement capital improvement plan by a contracted consultant, field investigation services for identification of lead service lines by a contractor that will be incorporated into the service line inventory, an initial supply of filter pitchers for a pitcher filter program, an initial supply of tap sampling kits for a random lead sampling and monitoring program, and printing and postage costs for initial notification and public education materials as part of a community outreach and communication program. The City will begin the development of the Service Line Inventory immediately upon notification of grant approval. All work will be completed and submitted to EPD no later than October 16, 2024."
151,City of Covington,26,"14,391","$32,180",Primary,5/1/2023,10/1/2024,2.63%,20,"The City is looking to develop a program that is in compliance with the Environmental Protection Agency’s Lead and Copper Rule. The program should implement all the updates that the EPD implemented on the January 15, 2021 Lead and Copper Rule Revision (LCRR) as well as any current requirements required by the Lead and Copper Rule, and the programs shall be implemented so that all timelines set forth by the EPD are met. Firms are asked to develop a program so that all requirements by the EPA are met by the October 16, 2024 deadline. The following items to be included in the program are: • Prepare an inventory of all lead and copper service lines within the City’s service area. o A strategy will need to be developed to determine the status of known and unknown material of service lines. o Develop SOP to keep inventory up-to-date as lead service lines are replaced. o Develop an inventory that can be made to the public. o Upon collecting data for service line inventory, collect information on all backflow devices within the City’s service area to compile backflow inventory."
153,City of Lincolnton,26,"1,480","$155,400",Primary,6/1/2023,6/1/2024,2.63%,20,Investigation for lead/copper lines within the City. Replacement of lead service lines if found.
154,City of Mitchell,26,153,"$92,450",Primary,6/1/2023,6/1/2024,2.63%,20,Investigation for lead/copper lines within the City. Replacement of lead service lines if found.
155,City of Monticello,26,"2,868","$328,300",Primary,3/1/2023,10/16/2024,2.63%,20,"The City of Monticello is seeking funding for development of a service line inventory to be compliant with the EPA Lead and Copper Rule Revisions. Funding will be used to furnish services for developing the inventory in ArcGIS software and for performing a desktop analysis, historical records review, and field investigations to verify service line materials. Funding will also be used for other inventory-related expenditures, such as point-of-use devices and public notification materials. The City is also seeking service line replacement funding for expected galvanized or lead service lines."
156,City of Rockmart,26,"4,673","$6,500",Primary,4/3/2023,7/31/2024,2.63%,20,Rockmart Lead Service Line Inventory - The City of Rockmart intends to hire a contractor to inventory all service lines connected to the city’s water system. The project will allow Rockmart to comply with the lead service line inventory component of the federal Lead and Copper Rule Revisions.
157,City of Unadilla,26,"2,847","$943,000",Primary,10/2/2023,1/1/2024,2.63%,20,"The removal and replacement of all lead service lines and lead appurtenances in the water system, including but not limited to goosenecks and lead service lines."
158,Town of Alapaha,26,450,"$11,250",Primary,4/13/2023,,2.63%,20,Lead service line inventory and replacement
159,Town of Pine Mountain,26,"1,521","$169,600",Primary,8/1/2023,11/1/2025,2.63%,20,"The Town of Pine Mountain is seeking funding to continue development of its lead service line inventory. In order to meet the upcoming October 16, 2024 deadline set by the Lead and Copper Rule Revisions, the Town is using ARCGIS to compile service line data from various sources, including historical records review, water meter inspection and other field investigative methods. The Town is also requesting funding to supplement the expected cost of replacing service lines."
160,City of Attapulgus,25,454,"$72,683",Primary,7/1/2023,11/1/2024,2.63%,20,"The City of Attapulgus is in need of funding for its Lead Service Line Inventory project for its water system serving approximately 294 customers. The City has a limited staff and is unable to complete the required inventory and other planning portions of the new LCRR on its own. The City is requesting $91,763.00 to cover the costs associated with the project including: development of the service line inventory and replacement capital improvement plan by a contracted consultant, field investigation services for identification of lead service lines by a contractor that will be incorporated into the service line inventory, an initial supply of filter pitchers for a pitcher filter program, an initial supply of tap sampling kits for a random lead sampling and monitoring program, and printing and postage costs for initial notification and public education materials as part of a community outreach and communication program. The City will begin the development of the Service Line Inventory immediately upon notification of grant approval. All work will be completed and submitted to EPD no later than October 16, 2024."
161,City of Comer,25,"1,512","$119,760",Primary,3/1/2023,9/30/2024,2.63%,20,"Development of the required lead and copper service line inventory utilizing engineering consultant services to determine the specific services that need to be verified by field investigations, field verification of service materials by a selected contractor via visual meter inspection and/or pothole/excavation methods, public notifications, purchase of POU devices, representative sampling, customer surveys, and any other miscellaneous tasks required to complete and submit the inventory or update the public."
162,City of Flovilla,25,"1,292","$274,160",Primary,7/1/2023,9/30/2024,2.63%,20,"The City of Flovilla is seeking funding assistance in order to develop it's lead service line inventory. The City does not have the necessary financial resources to develop and submit the inventory by the October 16, 2024 deadline set by the Lead and Copper Rule Revision. The City of Flovilla is planning to utilize ArcGIS Software, review historical records, conduct water meter inspections, perform representative sampling and other methods necessary to determine the status of service lines in the City's Water Service Area. The population provided is representative of the service population for the City's Water System as it extends past the City Limits."
163,City of Forsyth,25,"4,512","$3,309,760",Primary,10/2/2023,1/1/2024,2.63%,20,"The removal and replacement of all lead service lines and lead appurtenances in the water system, including but not limited to goosenecks and lead service lines."
164,City of Girard,25,184,"$96,320",Primary,6/1/2023,6/1/2024,2.63%,20,Investigation for lead/copper lines within the City. Replacement of lead service lines if found.
165,City of Jakin,25,131,"$31,380",Primary,6/1/2023,10/16/2024,2.63%,20,"The City of Jakin has a population of approx. 131 with 97 water services and is in need of grant funding for its Lead Service Line Inventory project. The City has a very limited staff (1 City Clerk, a contracted water system operator and no local utility staff) and is unable to complete the required inventory and other planning portions of the new LCRR on its own. The City is requesting $44,000 to cover the costs associated with the project including: development of the service line inventory and replacement capital improvement plan by a contracted consultant, field investigation services for identification of lead service lines by a contractor that will be incorporated into the service line inventory, an initial supply of filter pitchers for a pitcher filter program, an initial supply of tap sampling kits for a random lead sampling and monitoring program, and printing and postage costs for initial notification and public education materials as part of a community outreach and communication program. The City will begin the development of the Service Line Inventory immediately upon notification of grant approval. All work will be completed and submitted to EPD no later than October 16, 2024. The City wishes to be considered for the grant opportunity and has only selected the loan opportunity as a back-up option."
166,City of Sumner,25,445,"$56,840",Primary,5/1/2023,10/16/2024,2.63%,20,"The City of Sumner is in need of funding for its Lead Service Line Inventory project. The City has a limited staff and is unable to complete the required inventory and other planning portions of the new LCRR on its own. The City is requesting $74,840.00 to cover the costs associated with the project including: development of the service line inventory and replacement capital improvement plan by a contracted consultant, field investigation services for identification of lead service lines by a contractor that will be incorporated into the service line inventory, an initial supply of filter pitchers for a pitcher filter program, an initial supply of tap sampling kits for a random lead sampling and monitoring program, and printing and postage costs for initial notification and public education materials as part of a community outreach and communication program. The City will begin the development of the Service Line Inventory immediately upon notification of grant approval. All work will be completed and submitted to EPD no later than October 16, 2024."
167,City of Valdosta,25,"55,653","$2,532,650",Primary,4/3/2023,10/1/2024,2.63%,20,City of Valdosta - Lead water service line inventory and replacement
168,Columbus Water Works,25,"206,920","$350,000",Primary,8/22/2022,8/1/2024,2.63%,20,Lead service line inventory project
169,Echols County Water Authority,25,"3,595","$33,100",Primary,9/1/2023,10/1/2024,2.63%,20,"Project will create service line inventory to comply with new LCR rules. Inventory development will include field investigations to review line materials, researching year of install and review of plans to identify material type. Collected information will be incorporated in a GIS database. A service line replacement plan will also be developed to comply with new LCR rules."
170,Town of Bluffton,25,113,"$46,143",Primary,7/1/2023,11/1/2024,2.63%,20,"The Town of Bluffton is in need of funding for its Lead Service Line Inventory project serving approximately 84 customers.. The City has a limited staff and is unable to complete the required inventory and other planning portions of the new LCRR on its own. The City is requesting $58,393.00 to cover the costs associated with the project including: development of the service line inventory and replacement capital improvement plan by a contracted consultant, field investigation services for identification of lead service lines by a contractor that will be incorporated into the service line inventory, an initial supply of filter pitchers for a pitcher filter program, an initial supply of tap sampling kits for a random lead sampling and monitoring program, and printing and postage costs for initial notification and public education materials as part of a community outreach and communication program. The City will begin the development of the Service Line Inventory immediately upon notification of grant approval. All work will be completed and submitted to EPD no later than October 16, 2024."
172,City of Calhoun,24,"74,493","$150,000",Primary,7/1/2023,7/1/2025,2.63%,20,"With over 23,000 connections and 865 miles of mains, EPA's lead inventory and replacement initiative will be a monumental task for Calhoun Utilities. While our initial efforts have focused on historical records, we understand that field investigations are inevitable. With the upcoming fiscal budget, we have plans to hire some additional staff. However, we're also currently limited by equipment. Under this grant application, we hope to purchase minimally invasive excavation equipment for potholing (jet-vac truck and mini-excavator), specialized lead pipe detection equipment, small construction equipment for installation (directional boring machine and mini-excavator), service line components, and/or other items that would help expedite the discovery/corrective action process while minimizing destruction to hardscapes and private properties. The initial purchase of service components would cover the first 100 service line replacements. Experienced City crews would perform the replacement work."
173,City of Colbert,24,"1,800","$63,000",Primary,6/1/2023,4/1/2024,2.63%,20,"Subcontract with Piedmont water to create LSL inventory identify service line pipe material, estimated service line length and any other specifics as designated by the EPD. Create inventory in Elements software for record keeping uses until EPD portal is created for Inventory Submission."
174,City of Concord,24,378,"$139,300",Primary,3/1/2023,9/30/2024,2.63%,20,"Development of the required lead and copper service line inventory utilizing engineering consultant services to determine the specific services that need to be verified by field investigations, field verification of service materials by a selected contractor via visual meter inspection and/or pothole/excavation methods, public notifications, purchase of POU devices, representative sampling, customer surveys, and any other miscellaneous tasks required to complete and submit the inventory or update the public."
