Project.Number,County,System.Name,Borrower,Description,Pop,Project.Cost,Score,Cumulative.Total,Code
18903,Albany,ALBANY CITY,Albany MWFA,"2022 Water System Improvements., Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Pump Station","101,082","$6,100,000",70,"$781,888,171",
18905,Cayuga,AUBURN,Auburn (C),"Comprehensive upgrades to City of Auburn Water Filtration Plant, Upgrade Water Treatment Plant","29,788","$9,866,370",70,"$791,754,541",
18936,Jefferson,ALEXANDRIA VILLAGE,Alexandria Bay (V),"WTP upgrades and water main replacement., Upgrade Water Treatment Plant, Upgrade Distribution System","1,900","$13,103,000",70,"$804,857,541",
18877,Washington,NORTH GRANVILLE WD #1,Granville (T),"Source development and disribution improvements for the North Granville WD., Upgrade Ground Water Source, Upgrade Distribution System",800,"$2,825,625",70,"$807,683,166",
18322,Chemung,ELMIRA WATER BOARD,Elmira Water Board,"Elmira Refresh Initiative., Upgrade Transmission, Upgrade Distribution System","65,000","$6,043,913",70,"$813,727,079",
18321,Chautauqua,NCCRWP,Chautauqua County,"North Chautauqua County Regional Water Project., New Water District","31,000n",$0,70,"$813,727,079",FMP
19068,Chemung,HORSEHEADS VILLAGE,Horseheads (T),"Oak Hill Water District Extension, New Distribution System","11,530","$461,000",70,"$814,188,079",
18016,Steuben,WD #3,Campbell (T),"Serve private contaminated/poor yielding wells., Extend Water District","1,025","$908,687",70,"$815,096,766",
18524,Saratoga,MALTAVILLE WATER ,Malta (T),"Maltaville WD., New Water District",450,"$3,636,724",70,"$818,733,490",
19145,St.Lawrence,MASSENA (T),Massena (T),"Proposed Service Area No. 1, New Water District",350,"$9,270,000",70,"$828,003,490",
18199,St.Lawrence,COOK STREET WD,Norfolk (T),Extend Distribution System,300,"$1,122,000",70,"$829,125,490",
18917,Greene,ASHLAND WD,Ashland (T),"Ashland WD Extension Along NYS Rt. 23., Extend Distribution System",200,"$437,750",70,"$829,563,240",
19119,Jefferson,PHILADELPHIA (T),Philadelphia (T),"New Proposed Water System, New Distribution System",183,"$6,787,746",70,"$836,350,986",
19049,Westchester,KENSICO WATER DISTRICT,Mount Pleasant (T),"Kensico WD Storage Tank and Treatment Improvements, Upgrade Storage, Upgrade Distribution System","17,452","$9,221,695",65,"$845,572,681",
18523,Albany,ALBANY CITY,Albany MWFA,"Feura Bush WTP Upgrades., Upgrade Water Treatment Plant, Upgrade Storage","101,082n",$0,65,"$845,572,681",FMP
18540,Chautauqua,WD2EXT1NORTH&WTP RELOCATION,Chautauqua (T),"New Surface Water Treatment Rule Compliance Facility, Extend Transmission, Extend Distribution System",230,"$5,125,280",65,"$850,697,961",
19244,Cattaraugus,SALAMANCA CITY,Salamanca (C),"Abandon Existing WTP, New Well Source, New Pump Building., Upgrade Water Treatment Plant","7,000","$12,303,767",65,"$863,001,728",
19184,Chenango,BAINBRIDGE VILLAGE,Bainbridge (V),"Water System Improvements - WM Replacement, New Well, Booster PS Improvements, New Ground Water Source, Upgrade Pump Station, Upgrade Distribution System","1,550","$7,455,600",65,"$870,457,328",
18089,Sullivan,MELODY LAKE ACRES,Thompson (T),Upgrade Distribution System,150,"$2,510,000",65,"$872,967,328",
18345,Herkimer,HERKIMER VILLAGE,Herkimer (V),"Replace Finished Water Transmission Main. Add UV disinfection at WTP., Upgrade Water Treatment Plant, Upgrade Transmission","7,606","$40,000",65,"$873,007,328",FMP
18981,Clinton,MORRISONVILLE WATER DISTRICT,Schuyler Falls (T),"Replacement of asbestos cement water main., UpgradeDistribution System","1,300","$6,899,500",65,"$879,906,828",
17791,Delaware,STAMFORD VILLAGE,Stamford (V),"Replace water storage tank and aging water mains, New Storage, Upgrade Distribution System","1,280","$1,973,600",65,"$881,880,428",
19194,Yates,TOWN OF TORREY WATERDISTRICT NO.1,Torrey (T),"New Water District No.1, New Water District",202,"$3,727,000",65,"$885,607,428",
18893,Westcheste,OAKRIDGE WATER rDISTRICT,Lewisboro (T),"Addition of GAC for PFAS removal., Upgrade Water Treatment Plant",892,"$2,000,000",60,"$887,607,428",
17548,Albany,MENANDS VILLAGE,Menands (V),"Upgrade Pump Station, Upgrade Distribution System","3,900","$6,936,000",60,"$894,543,428",
19146,Dutchess,PINEWOOD KNOLLS WATER DISTRICT,East Fishkill (T),"Provide interconnections within the Town's existing water districts, develop new GW Sources, New Ground Water Source, Upgrade Distribution System",265,"$11,183,599",60,"$905,727,027",
18133,Delaware,BOVINA CENTER WATER DIST. NO 1,Bovina (T),New Ground Water Source,142,"$657,000",60,"$906,384,027",
19171,Rockland,NYACK VILLAGE WATER SUPPLY,Nyack (V),"PFAS Treatment at Nyack Water Plant., New Other Expenses, New Other (OT)","14,700","$4,749,320",60,"$911,133,347",
18821,Columbia,GREENPORT WD NO1,Greenport (T),"Source, Treatment and Distribution System Improvements., Upgrade Water Treatment Plant, Upgrade Ground Water Source, Upgrade Pump Station,Upgrade Distribution System","4,050","$6,228,500",60,"$917,361,847",
19061,Wyoming,ATTICA VILLAGE,Attica (V),"Water Treatment Plant Upgrades, Upgrade Water Treatment Plant","2,700","$11,125,000",60,"$928,486,847",
18883,Oneida,ORISKANY FALLS VILLAGE, Oriskany Falls (V),"Booster pump station and water main upgrades on Cooper, College, and Cottage Streets, New Pump Station, Upgrade Distribution System, New Distribution System",682,"$1,300,000",60,"$929,786,847",
18516,Steuben,GREENWOOD WATER DISTRICT,Greenwood (T),"New Fe/Mn Removal Treatment., New Water TreatmentPlant, Upgrade Storage",330,"$856,356",60,"$930,643,203",
18743,Niagara,NORTH TONAWANDA CITY,North Tonawanda (C),"WTP Improvements., Upgrade Water Treatment Plant","33,262",$0,60,"$930,643,203",FMP
18631,Orange,NEWBURGH CITY,Newburgh (C),"Replacement of filter media and installation of SCADA system., Upgrade Water Treatment Plant","28,000",$0,60,"$930,643,203",FMP
19025,Orleans,ALBION VILLAGE,Albion (V),"Phase 2A and 2B WTP Improvements, Upgrade Water Treatment Plant, Upgrade Transmission, Upgrade Storage","6,000","$7,855,059",60,"$938,498,262",
18896,Allegany,CUBA VILLAGE PUBLIC WATER , Cuba (V),"Water main replacement and improvements to well site and storage tanks., Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System","1,800","$7,373,770",60,"$945,872,032",
18282,Oswego,CLEVELAND VILLAGE , Cleveland (V),"Storage & Transmission Upgrades., New Ground WateSource, Upgrade Storage, Upgrade Distribution System",925,$0,60,"$945,872,032",FMP
19213,Allegany,WELLSVILLE VILLAGE PUBLIC WATER , Wellsville (V),"Village-Wide Watermain Replacement, Upgrade Distribution System","5,700","$5,166,480",60,"$951,038,512",
18525,Delaware,HANCOCK VILLAGE , Hancock Village,"Village wide water system improvements., Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System","1,189",$0,60,"$951,038,512",FMP
18751,Warren,NORTH CREEK WATER DISTRICT , Johnsburg (T),"New Storage tank to replace South Tank and Distribution System Upgrades., New Storage, Upgrade Pump Station, Upgrade Distribution System","1,000",$0,60,"$951,038,512",FMP
18825,Lewis,COPENHAGEN VILLAGE , Copenhagen (V),"Woodbattle Road WTP and wells Rehabilitation., Upgrade Water Treatment Plant",850,"$1,134,000",60,"$952,172,512",
19149,Chemung,WELLSBURG VILLAGE , Wellsburg (V),"Tank decommissioning & replacements, distribution upgrades, new emergency ground supply, New GroundWater Source, Upgrade Storage, Upgrade Storage, Upgrade Distribution System",631,"$4,595,119",60,"$956,767,631",
18579,Lewis,TOWN OF DIANA WATER DISTRICT , Diana (T),"Upgrade Wells 1 and 3, Distribution Looping and New Water Meters., Upgrade Ground Water Source, Upgrade Distribution System",618,"$4,916,800",60,"$961,684,431",
18835,Sullivan,NARROWSBURG WD , Tusten (T),"System-wide Infrastructure Upgrades., Upgrade Storage, Upgrade Distribution System",550,"$4,635,000",60,"$966,319,431",
18797,Sullivan,MELODY LAKE ACRES , Thompson (T),"Well No. 1 Upgrades and Replace storage tank, chlorination and corrosion control systems., Upgrade Water Treatment Plant",150,"$725,000",60,"$967,044,431",
18813,Cattaraugus,FRANKLINVILLE VILLAGE , Franklinville (V),"South and North Wellhouse Improvements & Howard Street Water Main Replacement., Upgrade Ground Water Source, Upgrade Distribution System","1,760","$6,000,000",60,"$973,044,431",
18198,Chenango,OXFORD VILLAGE , Oxford (V),"Upgrades to valve vault, distribution & transmission mains., Upgrade Transmission, Upgrade Distribution System","1,738",$0,60,"$973,044,431",FMP
18812,Rensselaer,BATTISTI WATER DISTRICT NO. 10 , Schodack (T),"Batisti WD No. 10. , Upgrade Distribution System, NewSystem Consolidation, New Water District",130,"$2,432,000",60,"$975,476,431",
18930,Oswego,WATER SERVICE AREA #6 ,Mexico (T),"Provide public water to Water Service Area #6, New Distribution System",479,"$549,170",60,"$976,025,601",
18765,Herkimer,FRANKFORT (T) , Frankfort (T),"Center and Zolad Roads WD., New Distribution System, New Water District",150,"$1,365,000",60,"$977,390,601",
19192,Yates,TOWN OF BENTON WATER DISTRICT NO. 5 , Benton (T),"New Water District No.5, New Water District",39,"$1,144,000",60,"$978,534,601",
15616,Ulster,PORT EWEN WATER DISTRICT , Esopus (T),New Storage,"4,800",$0,55,"$978,534,601",FMP
19158,Ontario,BRISTOL WD #1,Bristol (T),"Day Road Tank Improvements to Address DBPs, Upgrade Storage",180,"$203,786",55,"$978,738,386",
18659,Albany,WESTERLO WD 1, Westerlo (T),"Aeration for for DBP treatment at well sources, UpgradeWater Treatment Plant",265,"$200,000",55,"$978,938,386",
17301,Jefferson,ADAMS VILLAGE,Adams (V),"Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Distribution System","2,000",$0,55,"$978,938,386",FMP
18822,Dutchess,WAPPINGERS FALLS VILLAGE,Wappingers Falls(V),"New Greensand WTP for Mn Removal and replace water storage tanks, New Water Treatment Plant, Upgrade Ground Water Source, Upgrade Storage","6,000","$3,042,840",55,"$981,981,226",
16236,Dutchess,RED HOOK VILLAGE,Red Hook (V),"New Ground Water Source, Upgrade Ground Water Source, New Storage, Upgrade Distribution System","2,214",$0,55,"$981,981,226",FMP
18585,Rensselaer,PETERSBURGH WATER DISTRICT,Petersburgh (T),"Address PFAS, Develop Additional GW Source, Storageand Distribution Improvements., Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Storage, Upgrade Distribution System",240,$0,55,"$981,981,226",FMP
19267,Franklin,MALONE V,Malone (V),"New production well, trans. main, upgrades well buildings, WTP and water meters. , Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Transmission","13,000","$8,681,872",55,"$990,663,098",
18069,Madison,HAMILTON VILLAGE,Hamilton (V),"New Redundant Source., New Ground Water Source, Upgrade Distribution System","3,904","$3,872,800",55,"$994,535,898",
19046,Delaware,DELHI VILLAGE,Delhi (V),"Distribution, Storage, & Pump Station Upgrades, Upgrade Storage, Upgrade Pump Station, Upgrade Distribution System","3,833","$4,750,000",55,"$999,285,898",
18622,Allegany,ALFRED VILLAGE WATER SUPPLY,Alfred (V),"Upgrade Transmission, Upgrade Storage, Upgrade Pump Station, Upgrade Distribution System","3,500",$0,55,"$999,285,898",FMP
19133,Cayuga,WEEDSPORT VILLAGE,Weedsport (V),"Water Systems Improvements, Upgrade Storage, Upgrade Distribution System","2,300","$21,235,000",55,"$1,020,520,898",
18232,Jefferson,ADAMS VILLAGE,Adams (V),"Upgrade Ground Water Source, Upgrade Distribution System","2,000",$0,55,"$1,020,520,898",FMP
19243,Steuben,COHOCTON (T),Cohocton (T),"Tank rehab, distribution upgrades and looping, well house improvements, Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System",485,"$3,759,150",55,"$1,024,280,048",
19165,Onondaga,SYRACUSE CITY,Syracuse (C),"Guilford, Brookford and Westminster Booster Pump Station Replacement, New Pump Station","192,000","$3,707,200",55,"$1,027,987,248",
19056,Niagara,NIAGARA FALLS WATER BOARD,Niagara Falls Water Board,"Water Main Replacement and WTP Upgrades, UpgradeWater Treatment Plant, Upgrade Distribution System","55,593","$10,025,000",55,"$1,038,012,248",
17867,Rensselaer,TROY CITY PWS,Troy (C),"Replace raw water transmission mains between Tomhannock and Troy WTP., Upgrade Transmission","49,170",$0,55,"$1,038,012,248",FMP
18995,Rensselaer,TROY CITY PWS,Troy (C),"Phase 2 (North Section) RW Transmsission Main., Upgrade Transmission","49,170","$32,900,000",55,"$1,070,912,248",
16906,Orange,KIRYAS JOEL VILLAGE,Kiryas Joel (V),"Transmission main, Mountainville Wells and Treatment, (2) pump stations. Related to Project DWSRF 18208, New Water Treatment Plant, New Ground Water Source,New Transmission, New Pump Station","21,750",$0,55,"$1,070,912,248",FMP
17952,Orange,KIRYAS JOEL VILLAGE,Kiryas Joel (V),"Redevelop wells at the Star Expansion Well Field, Upgrade Ground Water Source","21,750","$4,452,690",55,"$1,075,364,938",
18208,Orange,KIRYAS JOEL VILLAGE,Kiryas Joel (V),"Interconnection NYC Aqueduct, Water Filtration Plant, Transmission main. Related to project DWSRF 16906, New Water Treatment Plant, New Transmission, New Inter-Connection","21,750",$0,55,"$1,075,364,938",FMP
18856,Allegany,WELLSVILLE VILLAGE PUBLIC WATER,Wellsville (V),"Replacement of WTP pumps and controls, meters, and aged water mains., Upgrade Water Treatment Plant, Upgrade Distribution System","5,700","$1,596,912",55,"$1,076,961,850",
18809,Clinton,ROUSES POINT VILLAGE WD,Rouses Point (V),"WTP Replacement with membrane microfiltration with raw water pump station. , New Water Treatment Plant, New Surface Water Source, New Pump Station","2,550","$10,000,000",55,"$1,086,961,850",
18449,Montgomer,FORT PLAIN (V) WATER yWORKS,Fort Plain (V),"Upgrade Transmission, Upgrade Storage, Upgrade Pump Station, Upgrade Distribution System","2,400","$205,000",55,"$1,087,166,850",FMP
19232,Wayne,CLYDE VILLAGE,Clyde (V),"New vertical turbine pumps, new well houses, treatment improvements, emergency backup power, Upgrade Water Treatment Plant, Upgrade Ground Water Source","2,269","$1,499,000",55,"$1,088,665,850",
15902,Steuben,ADDISON VILLAGE,Addison (V),"main replacement & looping, new High Street Tank, wellhouse VFD improvements, Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System","1,797","$1,690,000",55,"$1,090,355,850",
18126,Jefferson,BROWNVILLE VILLAGE,Brownville (V),"Replace Severely Aged Distribution Mains and Tank., New Storage, Upgrade Distribution System","1,200","$18,948,500",55,"$1,109,304,350",
19224,Genesee,LEROY (T) WD 12,LeRoy (T),"WD #12 New Water Mains, New Water District",920,"$22,200,620",55,"$1,131,504,970",
18737,Chemung,BIG FLATS WD #4,Big Flats (T),"Smith Valley and Ponderosa Drive Extension., Extend Distribution System",231,"$2,277,534",55,"$1,133,782,504",
19188,Oswego,TOWN OF CONSTANTIA WD NO. 3,Constantia (T),"Water District 3 formation w/ new DI mains,valves and services, New Water District",140,"$3,230,080",55,"$1,137,012,584",
19036,Ontario,GORHAM TOWN WD,Gorham (T),"Comprehensive WTP Improvements, Upgrade Water Treatment Plant, Upgrade Pump Station","4,500","$7,971,000",50,"$1,144,983,584",
18869,Essex,KEENE WD,Keene (T),"WD #2. New redundant well and upgrades to well building., New Ground Water Source",300,"$5,025,999",50,"$1,150,009,583",
18923,Chenango,NEW BERLIN VILLAGE,New Berlin (V),"Treatment upgrades, main replacement, new meters andtank improvements., Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Distribution System","1,500","$13,986,000",50,"$1,163,995,583",
19262,Warren,CHESTERTOWN WATER DISTRICT,Chester (T),"New well, upgrade distribution system, replace AC pipe, WST upgrades., New Ground Water Source, Upgrade Storage, Upgrade Distribution System","1,300","$16,050,490",50,"$1,180,046,073",
18958,Otsego,OTEGO VILLAGE,Otego (V),"GW Source Development, WTP Resiliency, AC Pipe Replacement., Upgrade Water Treatment Plant, New Ground Water Source, Upgrade Distribution System","1,150","$6,899,315",50,"$1,186,945,388",
18007,Cortland,MARATHON VILLAGE,Marathon (V),"New Storage, New Pump Station, Upgrade Distribution System","1,107","$2,947,345",50,"$1,189,892,733",
17787,Schoharie,SCHOHARIE VILLAGE,Schoharie (V),"Water System Improvements., Upgrade Water Treatment Plant, Upgrade Storage, New Pump Station, Upgrade Distribution System","1,030",$0,50,"$1,189,892,733",FMP
18305,Onondaga,OCWA,Onondaga County Water Auth.,"Lake Ontario Water Treatment Plant Improvements Phase 3 - Clearwells., Upgrade Water Treatment Plant","256,000","$33,250,000",50,"$1,223,142,733",
18979,Schenectady,SCHENECTADY CITY WATER WORKS,Schenectady (C),"Phase 1 Rice Road Source and WTP Improvements,, New Ground Water Source","61,821","$7,775,470",50,"$1,230,918,203",
18486,Nassau,SOUTH FARMINGDALE WD, South Farmingdale WD,"Installation of iron removal system at Well No. 1-4., Upgrade Water Treatment Plant","44,700","$2,701,892",50,"$1,233,620,095",
16069,Suffolk,RIVERHEAD WD,Riverhead (T),"Construction of Replacement Production Well, UpgradeWater Treatment Plant, Upgrade Ground Water Source","28,000","$2,754,000",50,"$1,236,374,095",
18058,Ulster,KINGSTON (CITY) WATER DISTRICT,City of Kingston Water Dep.,"Replacement of Mink Hollow Raw Water Intake, Upgrade Other Expenses, Upgrade Other (OT)","24,000",$0,50,"$1,236,374,095",FMP
18906,Wyoming,ARCADE VILLAGE,Arcade (V),"Hamlet of Sandusky Water System Improvements., Upgrade Storage, Upgrade Distribution System","2,400","$4,617,490",50,"$1,240,991,585",
18284,Sullivan,STEVENSVILLE WD,Liberty (T),"Upgrade Ground Water Source, New Storage, Upgrade Distribution System","1,200","$230,000",50,"$1,241,221,585",FMP
18386,Clinton,REDFORD WATER DISTRICT,Saranac (T),"Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System",486,"$1,984,430",50,"$1,243,206,015",
18706,Onondaga,SYRACUSE CITY,Syracuse (C),"Intake No. 2 Extension., Upgrade Surface Water Source","192,000","$14,011,500",50,"$1,257,217,515",
18587,Niagara,NIAGARA FALLS WATER BOARD,Niagara Falls Water Board,"Beech Ave Storage Tank Replacement., Upgrade Storage","55,593","$7,785,000",50,"$1,265,002,515",
18428,Oswego,OSWEGO CITY,Oswego (C),"McCaffrey WTP Upgrades., Upgrade Water Treatment Plant","29,400",$0,50,"$1,265,002,515",FMP
18294,Niagara,LOCKPORT CITY WTP,Lockport (C),Upgrade Transmission,"22,279",$0,50,"$1,265,002,515",FMP
18759,Orleans,ALBION VILLAGE,Albion (V),"Improvements to the existing WTP, and pump station, and replacment of aged transmission main., Upgrade Water Treatment Plant, Upgrade Transmission, UpgradePump Station","6,000",$0,50,"$1,265,002,515",FMP
18820,Steuben,BATH VILLAGE,Bath (V),"W. Washington, Liberty, Geneva, W. Morris St, E Steuben Distribution Improvements, Upgrade Distribution System","5,641","$11,551,934",50,"$1,276,554,449",
18332,Saratoga,SOUTH GLENS FALLS VILLAGE,South Glens Falls(V),"Rehabilitate Storage Tank; New GAC for PFOA/PFOS Removal., Upgrade Storage, Upgrade Distribution System","3,700",$0,50,"$1,276,554,449",FMP
18565,Steuben,CANISTEO VILLAGE , Canisteo (V),"Replace critical sections of the water main within the Village's distribution system, and upgrades to stroage tank and meters., Upgrade Storage, Upgrade Distribution System","2,320",$0,50,"$1,276,554,449",FMP
18412,Montgomer,CANAJOHARIE (V) WATER yWORKS , Canajoharie (V),"Storage tank replacement; storage tank rehabilitation; distribution upgrades, New Storage, Upgrade Storage, Upgrade Distribution System","2,300","$2,750,000",50,"$1,279,304,449",
18890,Chemung,MILLPORT VILLAGE WATER SUPPLY , Millport (V),"Well installation, tank improvements, replacement of meters, upgraded telemetry, and safety improvements., New Other Expenses, Upgrade Ground Water Source, Upgrade Storage, New Other (OT)",292,"$1,521,250",50,"$1,280,825,699",
18206,Cortland,CORTLAND (C) , Cortland (C),"Clinton Avenue Distribution System Upgrade., Upgrade Distribution System","20,095","$2,009,463",50,"$1,282,835,162",
18857,Orange,CORNWALL-ON-HUDSON ,Cornwall-on-Hudson (V),"Angola Road and Cedar Lane Area Improvements., Extend Distribution System, Upgrade Distribution System","9,300","$1,413,984",50,"$1,284,249,146",
18671,Nassau,HEMPSTEAD (V) , Hempstead (V),"1,4-dioxane Treatment at Laurel Ave Plant (Well Nos. 7 and 9). , Upgrade Water Treatment Plant","56,000","$6,263,074",50,"$1,290,512,220",
17058,Jefferson,HOUNSFIELD WD 2 , Hounsfield (T),Extend Distribution System,500,"$794,439",50,"$1,291,306,659",
18853,Jefferson,HOUNSFIELD WSA #8 , Hounsfield (T),"Water Service Area #8 to serve an area currently on individual wells., New Water District",460,"$10,931,000",50,"$1,302,237,659",
19193,Yates,TOWN OF BENTON WATER DISTRICT NO.6 , Benton (T),"New Water District No.6, New Water District",450,"$26,889,000",50,"$1,329,126,659",
18047,Genesee,RTE 98 WD , Batavia (T),"New Water District the serve areas East and West of Rte. 98, New Water District",318,"$5,322,464",50,"$1,334,449,123",
18932,Oswego,COUNTY RT. 57/HUNTLEYRD WATER DISTRICT,Schroeppel (T),"County Route 57 / Huntley Road Water District., New Distribution System",253,"$2,879,571",50,"$1,337,328,694",
18859,Madison,WHITELAW WD , Sullivan (T),"Whitelaw WD - Extend water service to areas served by private wells., New Water District",180,"$5,960,000",50,"$1,343,288,694",
18045,Genesee,CREEK RD. WD , Batavia (T),New Water District,136,"$1,407,623",50,"$1,344,696,317",
18046,Genesee,PRATT RD. WD , Batavia (T),New Water District,55,"$1,067,974",50,"$1,345,764,291",
18851,Orange,GREENWOOD LAKE VILLAGE , Greenwood Lake (V),"Village of Greenwood Lake water system improvements., Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Distribution System","3,411","$5,665,000",45,"$1,351,429,291",
18918,Dutchess,RHINEBECK VILLAGE WATER , Rhinebeck (V),"Upgrade Water Treatment Plant, Upgrade Storage","4,300","$6,649,680",45,"$1,358,078,971",
18814,Otsego,EDMESTON WATER DISTRICT , Edmeston (T),"Treatment and Distribution System Improvements., Upgrade Water Treatment Plant, Upgrade Distribution System",490,"$6,647,000",45,"$1,364,725,971",
19131,Erie,ECWA DIRECT,Erie County Water Authority,"Rehabilitation of Filters 1 through 4 - Van de Water WTP, Upgrade Water Treatment Plant","228,869","$28,706,700",45,"$1,393,432,671",
18458,Washington,FORT EDWARD VILLAGE,Fort Edward (V),"Hill Storage Tank Replacement and Upgrade PS and Distribution., New Storage, Upgrade Pump Station, Upgrade Distribution System","3,150",$0,45,"$1,393,432,671",FMP
17974,Steuben,SOUTH CORNING VILLAGE, South Corning (V),"Upgrade Storage, Upgrade Distribution System","1,147",$0,45,"$1,393,432,671",FMP
18026,Tioga,CANDOR VILLAGE WATER DEPT.,Candor (V),"Upgrade Storage, Upgrade Distribution System","1,020","$3,047,237",45,"$1,396,479,908",
19118,Erie,ECWA DIRECT,Erie County Water Authority,"Replacement of the Van de Water Raw Water Pumping System, Upgrade Pump Station","228,869","$14,280,000",45,"$1,410,759,908",
18572,Albany,COHOES CITY,Cohoes (C),"WTP Improvements Phase I., Upgrade Water Treatment Plant","15,550","$9,609,256",45,"$1,420,369,164",
18984,Albany,COHOES CITY,Cohoes (C),"Phase 2 WTP Upgrades., Upgrade Water Treatment Plant","15,550","$9,738,811",45,"$1,430,107,975",
18444,Schenectad,SCOTIA VILLAGE WATER yWORKS,Scotia (V),"Water System Improvements., Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System","9,500","$3,000,000",45,"$1,433,107,975",
19186,Tompkins,TRUMANSBURG VILLAGE ,Trumansburg (V),"Village-Wide Storage, Treatment, and Pump Station Upgrades, Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Pump Station","2,300","$3,884,000",45,"$1,436,991,975",
18927,Jefferson,ADAMS VILLAGE,Adams (V),"Water main and water meter replacement, Upgrade Distribution System","2,000","$5,106,000",45,"$1,442,097,975",
18052,Jefferson,CAPE VINCENT VILLAGE,Cape Vincent (V),Upgrade Water Treatment Plant,"1,500","$3,200,000",45,"$1,445,297,975",
18522,Chenango,NEW BERLIN VILLAGE,New Berlin (V),"Distribution, source, and storage improvements., Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System","1,500","$4,877,339",45,"$1,450,175,314",
18175,Jefferson,SACKETS HARBOR VILLAGE,Sackets Harbor (V),"Replace existing intake piping and crib., Upgrade Surface Water Source, Upgrade Transmission","1,300",$0,45,"$1,450,175,314",FMP
18929,Oneida,MOHAWK VALLEY WATER AUTHORITY,MVWA,"Hanger Zone Tank Reconfiguration and main replacement, New Storage, Upgrade Storage, Upgrade Distribution System","120,000","$14,700,000",45,"$1,464,875,314",
19018,Nassau,LONG BEACH CITY,Long Beach (C),"Well 16A Replacement, New Ground Water Source","35,000","$4,993,440",45,"$1,469,868,754",
18723,Dutchess,POUGHKEEPSIE CITY,City of Poughkeepsie,Upgrade Distribution System,"28,000","$15,770,000",45,"$1,485,638,754",
18507,Ulster,KINGSTON (CITY) WATER DISTRICT,Kingston (C),"Phase 2 transmission main and SCADA rehabilitation, Upgrade Transmission, Upgrade Distribution System","24,000",$0,45,"$1,485,638,754",FMP
19278,Fulton,GLOVERSVILLE (C) WATER WORKS,Gloversville Water Works,"New Tranmission Main and upgrades to the distribution system. , New Transmission, Upgrade Distribution System","17,991","$5,309,551",45,"$1,490,948,305",
19153,Otsego,ONEONTA CITY,Oneonta (C),"Distribution and Storage Improvements, Upgrade Storage, Upgrade Distribution System","15,779","$12,525,830",45,"$1,503,474,135",
18767,Chemung,HORSEHEADS VILLAGE,Horseheads (V),"Upgrade water mains and appurtenances in Ridge Road, Number Street and Center Street areas., Upgrade Distribution System","11,530",$0,45,"$1,503,474,135",FMP
18788,Sullivan,FALLSBURG WHO-LS-SF,Fallsburg (T),"Replacement of Hurleyville Well No. 2., New Ground Water Source","8,355","$289,594",45,"$1,503,763,729",
18614,Greene,CATSKILL VILLAGE,Catskill (V),"Storage, Distribution, and Booster Pump Improvements., New Storage, New Pump Station, Upgrade Distribution System","8,000","$5,270,000",45,"$1,509,033,729",
18830,Dutchess,WAPPINGERS FALLS VILLAGE,Wappingers Falls(V),"Interconnection between Wappingers Falls (V) and Wappinger (T)., New Inter-Connection","6,000","$1,440,252",45,"$1,510,473,981",
18406,Wyoming,WARSAW VILLAGE,Warsaw (V),"Upgrade Water Treatment Plant, Upgrade Distribution System","3,850","$4,988,250",45,"$1,515,462,231",
18087,Oswego,PULASKI VILLAGE,Pulaski(V),Upgrade Distribution System,"2,398","$18,849,810",45,"$1,534,312,041",
18543,Onondaga,SYRACUSE CITY,Syracuse (C),"Repalce chlorine gas systems with NaOCl., Upgrade Water Treatment Plant","192,000","$3,543,200",45,"$1,537,855,241",
18559,Onondaga,SYRACUSE CITY,Syracuse (C),"One of the three transmission conduits, which supply water to the City of Syracuse, is to have sections replaced., Upgrade Transmission","192,000","$1,671,175",45,"$1,539,526,416",
19166,Onondaga,SYRACUSE CITY,Syracuse (C),"PRV Replacement Project, Upgrade Other Expenses, Upgrade Other (OT)","192,000","$746,750",45,"$1,540,273,166",
19126,Jefferson,DANC,Dev Authority of North Country,"Army Water Line Replacement - Phase 1, Upgrade Transmission","40,237","$9,373,000",45,"$1,549,646,166",
18216,Delaware,WALTON VILLAGE,Walton (V),"Replace two tanks and aged mains on Bruce, Prospect and Burton Sts., Upgrade Storage, Upgrade DistributionSystem","3,070",$0,45,"$1,549,646,166",FMP
18544,Broome,PORT DICKINSON VILLAGE, Port Dickinson (V),"Replace Aged Water Mains., Upgrade Distribution System","1,785","$2,810,116",45,"$1,552,456,282",
17882,Fulton,BROADALBIN (V),Broadalin (V),"Replace Aged Storage Tank, New Storage","1,397",$0,45,"$1,552,456,282",FMP
18331,Fulton,MAYFIELD (V) WATER WORKS,Mayfield (V),"Replace Elevated Storage Tank., New Storage",817,$0,45,"$1,552,456,282",FMP
