Priority Points,Community,PWS Number,Population,Project Description,Estimated Total Cost
135,Polk,NE3114301,346,"100% PHA in Manganese, 100% MCL in Nitrates; Rehab mains;Treatment due to high Iron and Manganese - SFY 2023Treatment due to Nitrates and Iron/Mg; Rehab wells and mains -SFY 2022","$1,475,000"
155,Ponca,NE3105106,907,80% MCL in Nitrates; Replace/Loop mains; Rehab wells and  pumps; Replace tower and meters,"$3,500,000"
15,Potter,NE3103302,342,"Replace/Rehab mains, valves, hydrants, and curb stops","$50,000"
135,Prague,NE3115501,291,100% PHA in Manganese; New well; Replace meters; Rehab WTP;  Reline/Reseal storage tank,"$1,135,000"
25,Ragan,NE3108305,22,Replace meters; New chemical feed,"$50,000"
60,Randolph,NE3102709,879,Replace/Loop mains; Replace meters,"$566,000"
60,Ravenna,NE3101911,"1,441",Rehab mains; Replace meters,"$280,000"
160,Raven's Nest,NE3121381,58,"Replace shallow well, tank, and mains due to Administrative Order -  SFY 2019 (LOAN)","$571,000"
60,Red Cloud,NE3118301,962,New wellhouses and VFD; Rehab mains,"$1,000,000"
165,Republican City,NE3108304,134,80% MCL in Nitrates; Replace wellhouse; Install/Loop mains,"$450,000"
60,Riverdale,NE3120710,247,Rehab mains and meters,"$242,000"
145,Riverton,NE3106101,57,"80% MCL in Arsenic; Interconnect w/RWD, rehab tank and meters","$1,380,000"
25,Rockville,NE3120818,89,Backup generator; Replace well pumps and meters,"$110,000"
15,Rosalie,NE3117307,159,Repaint tower,"$150,000"
60,Roseland,NE3130003,263,New well; Replace meters - SFY 2023,"$1,200,000"
70,Rushville,NE3116101,816,Replace mains and meters,"$800,000"
135,Ruskin,NE3112905,105,80% MCL in Nitrates; Rehab well and mains,"$150,000"
135,Sargent,NE3104101,500,"100% PHA in Manganese; Replace mains and meters; Rehab  pump house, tower, and well","$73,000"
60,Sarpy Cnty SID #79 Meadow Oaks,NE3115302,300,Replace well - SFY 2021,"$800,000"
15,Saunders Cnty SID #8 - Woodcliff Lake,NE3120483,925,Rehab/Repaint tower; Rehab wellhouses; Replace VFDs,"$120,000"
145,Schuyler,NE3103701,"6,547",100% MCL in Uranium; New wells and mains; Repaint tower - SFY  2023  Replace LSL - National Needs Survey,"$20,575,550"
15,Scotia,NE3107703,301,Replace mains and meters,"$225,000"
135,Scottsbluff,NE3115716,"14,436",100% MCL in Nitrates and Uranium; Install booster pump; Water  treatment,"$690,000"
135,Scottsbluff Cnty SID #10 - Wildcat Hills,NE3120305,150,"100% MCL in Uranium, 80% MCL in Nitrates; New treatment filter;Install controls and water pumping station; Rehab/Replace main;Rehab well","$800,000"
135,Scribner,NE3105302,843,"100% PHA in Manganese; Replace mains, valves, and meters;  Rehab WTP","$720,000"
135,Seward,NE3115905,"7,643","100% MCL in Nitrates and Uranium; New tower and wells; Extendmains - SFY 2023Replace tower, mains, and meters; Rehab well - SFY 2022","$3,500,000"
135,Shelby,NE3114304,710,100% PHA in Manganese; Replace mains and valves,"$75,000"
135,Shelton,NE3101910,"1,034",100% PHA in Manganese; Loop mains; Replace LSL - SFY 2023  and 2021 (LOAN),"$545,000"
135,Shickley,NE3105909,347,80% MCL in Nitrates; Rehab mains; New meters,"$500,000"
90,Silver Creek,NE3112104,320,New well and mains,"$450,000"
90,Smithfield,NE3107313,60,Backup well; Rehab pump and meters,"$500,000"
60,Snyder,NE3105303,254,New well,"$300,000"
70,South Sioux City,NE3104309,"14,043","New/Replace/Extend mains; New pump station, water treatment,  and meters - SFY 2023  New tower - SFY 2021 (LOAN)","$34,088,750"
135,Spalding,NE3107702,408,"100% PHA in Manganese, 80% MCL in Arsenic; Rehab well;Replace mains and meters","$430,000"
15,Spencer,NE3101507,408,Replace mains and meters,"$350,000"
145,Springfield,NE3115301,"1,501",Replace main and tower - SFY 2023Replace well lost due to Nitrates; Loop mains - SFY 2022 (LOAN)Provide supply to Platteview H.S. due to Nitrates - SFY 2019,"$4,200,000"
15,St. Helena,NE3120175,89,Rehab mains,"$15,000"
60,St. Paul,NE3109306,"2,416","Replace mains, LSL, and meters; Rehab wells, treatment, and  tower","$481,000"
30,Stamford,NE3108301,158,Replace mains and meters,"$320,000"
135,Stanton,NE3116702,"1,520",100% PHA in Manganese; New well,"$350,000"
135,Stanton Cnty SID  #1-Woodland Pk,NE3120155,"1,866","100% PHA in Manganese; Replace mains, tank, and meters; Rehab  well","$2,140,000"
100,Staplehurst,NE3115914,236,"Elevate tower; New meters, well, and mains; Loop mains; Replace  hydrants","$2,000,000"
15,Stapleton,NE3111301,267,Backup power,"$50,000"
130,Steele City,NE3109502,44,100% MCL in Nitrates; Sourcing water from nearby community to  mitigate Nitrates; Rehab pump station bldg.; Install pressure tank,"$1,075,000"
60,Sterling,NE3109706,480,Replace mains; New meters,"$446,050"
90,Stockville,NE3106305,25,"Replace mains, controls, wellhouse, and security fence; New  storage tank","$145,000"
165,Stratton,NE3108701,310,80% MCL in Arsenic; Replace mains and meters,"$928,000"
135,Stromsburg,NE3114303,"1,143","100% MCL in Arsenic, 80% MCL in Nitrates; Replace well; New  generator, backup supply well, and meters - SFY 2023","$527,000"
145,Stuart,NE3108906,486,80% MCL in Arsenic; Replace well; Replace/Loop mains - SFY  2023,"$750,000"
135,Sumner,NE3120220,252,100% PHA in Manganese; Rehab tank; Replace meters,"$92,000"
135,Superior,NE3112904,"1,825","80% MCL in Nitrates; Replace mains and meters; Rehab/Repainttank; New treatment - SFY 2023Replace well due to Nitrates, mains, and meters - SFY 2021","$5,463,978"
135,Sutton,NE3103507,"1,447",80% MCL in Nitrates; Replace mains; Rehab/Repaint tower; New  meters,"$1,950,000"
60,Swanton,NE3115106,82,Replace mains,"$250,000"
110,Syracuse,NE3113104,"1,941",New/Replace/Loop mains; New storage tank; Replace meters - SFY  2023  New wells and tank; Replace meters - SFY 2022,"$8,010,250"
135,Table Rock,NE3113308,233,100% PHA in Manganese; Replace mains,"$100,000"
175,Talmage,NE3113102,198,"100% PHA in Manganese; New well, WTP, tower, and meters","$1,225,000"
135,Tekamah,NE3102102,"1,714",80% MCL in Nitrates; Rehab wells; New VFDs and controls;  Replace mains,"$650,000"
25,Terrytown,NE3115701,"1,057",New meters - SFY 2019 (LOAN),"$1,300,000"
70,Tilden,NE3100301,992,New well; New/Replace mains,"$1,450,000"
60,Tobias,NE3115108,114,New mains,"$100,000"
15,Trenton,NE3108503,516,New wellhouse; New/Replace meters,"$115,000"
15,Trumbull,NE3100108,194,Replace meters,"$75,000"
15,Uehling,NE3105304,241,"Replace mains, valves, and hydrants; Repaint storage tank; New  meters","$2,071,000"
60,Unadilla,NE3113101,296,Replace mains,"$400,000"
175,Union,NE3102505,195,80% MCL in Nitrates; Replace mains,"$2,000,000"
135,Upland,NE3106102,125,100% PHA in Manganese; Replace mains and valves,"$75,000"
60,Utica,NE3115913,840,Replace mains and meters,"$120,000"
135,Valentine,NE3103106,"2,633","100% MCL in Nitrates; New well; Rehab mains, VFDs, and  generators; Replace meters","$2,750,000"
135,Valley,NE3105518,"3,037",100% PHA in Manganese; Upgrade WTP - SFY 2022,"$7,935,020"
60,Valparaiso,NE3115511,595,Replace mains and standpipe - SFY 2023  Replace mains and meters; Rehab standpipe and well - SFY 2021,"$335,000"
130,Verdel,NE3110712,38,Replace mains; New backup well,"$378,000"
60,Verdigre,NE3110713,554,Replace mains and meters,"$675,000"
60,Waco,NE3118705,296,Repaint tower; Replace mains - SFY 2021,"$265,000"
60,Wahoo,NE3115512,"4,818",Loop/Replace mains; Replace well and meters; New generator -  SFY 2023  Replace LSL - National Needs Survey,"$11,499,000"
155,Wakefield,NE3105107,"1,522",100% PHA in Manganese; Replace WTP and meters,"$6,500,000"
60,Wallace,NE3111112,318,Replace meters; Repaint tower,"$125,000"
25,Walthill,NE3117301,682,"Rehab WTP; Replace tank, piping, pumps, motors, and meters","$1,000,000"
15,Washington Cnty  RWD 1,NE3120004,"1,942",Extend mains,"$6,000"
60,Waterloo,NE3105517,935,Replace mains and meters,"$875,000"
60,Wauneta,NE3102901,549,New/Rehab well; New backup generator,"$130,000"
15,Wausa,NE3110711,592,Replace mains and meters,"$225,000"
135,Waverly,NE3110905,"4,279",80% MCL in Nitrates and Selenium; Replace mains,"$150,000"
135,Wayne,NE3118104,"5,973",100% MCL in Nitrates and Selenium; Rehab wells; Replace/Loop  mains; Replace meters,"$1,675,000"
60,Weeping Water,NE3102506,"1,029",Replace mains - SFY 2021,"$500,000"
60,West Knox RWD,NE3120348,565,Replace wells and meters - SFY 2022New well with transmission mains; Planning and design costs tosupply center and Niobrara - SFY 2014 (LOAN),"$1,982,000"
60,West Military  Water Company,NE3105506,300,Replace mains; Install meters - SFY 2020,"$1,402,171"
135,West Point,NE3103904,"3,500",100% PHA in Manganese; Replace mains; Well and LSLgenerators; Pump station - SFY 2023Upgrade WTP due in part to a Copper Advisory; Replace/Pig mains;Backup power - SFY 2021,"$875,000"
80,Western,NE3115107,227,Rehab wells and control system; New mains; Replace valves and  hydrants,"$430,000"
90,Whitney,NE3104501,62,Replace mains and meters,"$599,000"
135,Wilber,NE3115105,"1,937","100% MCL in Nitrates; New/Replace wells; New wellhouse,  chemical feed, mains, and controls","$1,825,000"
30,Wilcox,NE3109901,330,New well,"$400,000"
135,Wilsonville,NE3106501,75,80% MCL in Nitrates; New well; Replace controls and meters;  New/Extend mains; Repaint storage tank,"$1,044,000"
60,Winnebago,NE3117302,916,Replace meters - SFY 2023  Replace mains and meters - SFY 2022,"$61,600"
70,Winnetoon,NE3110714,54,Replace mains,"$50,000"
50,Winside,NE3118105,379,"Replace hydrants, mains, and meters; New well; Repaint storage  tank; Rehab WTP","$1,400,000"
165,Wisner,NE3103903,"1,239","100% PHA in Manganese, 100% MCL in Nitrates, 80% MCL inSelenium; New WTP; Loop mains; Replace LSL - SFY 2023Replace well due to Selenium; Loop mains; Replace tank - SFY2022 (LOAN)","$5,000,000"
60,Wolbach,NE3107704,224,"New well and meters; Replace tank, mains, and LSL","$925,000"
155,Wood Lake,NE3103105,46,80% MCL in Arsenic; Replace mains and well components,"$80,000"
60,Wood River,NE3107901,"1,172",New well; Repaint tower; Loop/Extend mains,"$1,188,000"
60,Wymore,NE3106710,"1,377",Replace mains and meters,"$652,000"
135,Wynot,NE3102708,216,100% MCL in Nitrates; Backup well,"$300,000"
135,York,NE3118706,"8,066",80% PHA in Manganese; Rehab wells; Replace mains and LSL -  SFY 2023 and 2022 (LOAN),"$5,225,000"
145,Yutan,NE3115515,"1,347","New wells; Replace/Extend mains; Replace meters - SFY 2023 Replace well lost due to Nitrates, mains, and meters - SFY 2022","$2,530,000"
