"State","City Served","Borrower","PWSID","Project Name","Project Description","Project Type","Funding Amount","Principal Forgiveness","Population","Meets State Disadvantaged Criteria","State Rank","State Score"
"Idaho","No Information","Yellow Pine Water Users Assocation","ID4430059","No Information","Replacement of: failing treatment plant, non-operational water storage reservoir, all aging undersized distribution water mains, and damaged chlorination facilities. Construction of a surface water intake and installation of pressure reducing valves","Other","6451613","3302320","72","Yes","3","125"
"Idaho","No Information","Drake Subdivision Property Owners Association","ID3140028","No Information","Drilling two new wells, replacement of priority distribution water mains, and construction of a new well house","Other","480261","480261","109","Yes","5","112"
"Idaho","No Information","City of Genesee","ID2290015","No Information","Installation of new groundwater wells and facilities, upgrade booster station, transmission and ditribution main replacements, isolation valve replacement and addition, and fire hydrant replacement","Other","1273969","0","1209","No","7","106"
"Idaho","No Information","HooDoo Harvard Water & Sewer Dist.","ID2290017","No Information","Upgrades to water supply and storage to address drought conditions and public health hazards","Other","3000000","3000000","82","Yes","8","105"
"Idaho","No Information","Systems w/Corrosive Water or Lead Fixtures Presenting a Public Health Hazard","No Information","No Information","Fund Planning, Design and Construction to remediate corrosive/aggressive water situations that present a clear threat to public health.","Lead","500000","0","No Information","Yes","80","20"
"Idaho","No Information","Emergency","No Information","No Information","See section IV.A. of the Intended Use Plan","Other","500000","0","No Information","Yes","81",""
"Illinois","No Information","Lima","IL0010400","No Information","New water source, connect to clayton camp point water commission","Other","500000","250000","125","Yes","No Information","460"
"Illinois","No Information","Assumption","IL0210050","No Information","New wtp building w/ filters/softeners/nitrate removal/aerator/chemical feed","Other","4065456","1250000","1368","Yes","No Information","435"
"Illinois","No Information","Indian Creek Hoa","IL1135250","No Information","Repaint water tower","Other","300000","150000","228","Yes","No Information","365"
"Illinois","No Information","Lasalle","IL0990300","No Information","Treatment plant improvements","Other","1172000","586000","8897","Yes","No Information","360"
"Illinois","No Information","North Chicago","IL0971250","No Information","New transmission main & watermain replacement","Other","9000000","1250000","16667","Yes","No Information","355"
"Illinois","No Information","Cullom","IL1050200","No Information","New 125,000-gallon water tower and demolish old tower","Other","2270000","1135000","550","Yes","No Information","345"
"Illinois","No Information","Groveland Township Wd","IL1795200","No Information","Replace pump station, storage tank, chemical feed, and watermains","Other","1902000","951000","2430","Yes","No Information","345"
"Illinois","No Information","Blue Mound","IL1150100","No Information","Phase 2 - watermain replacement & rehab 2 elevated water towers","Other","1383000","691500","1300","Yes","No Information","330"
"Illinois","No Information","Carrollton","IL0610050","No Information","New treatment plant","Other","4500000","1250000","2441","Yes","No Information","325"
"Illinois","No Information","Forreston","IL1410200","No Information","Replacement of 660 water meters & meter read system","Other","450000","225000","1368","Yes","No Information","320"
"Illinois","No Information","Macon","IL1150250","No Information","Water meter and watermain replacement and construct a new well","Other","1838571","919286","1216","Yes","No Information","315"
"Illinois","No Information","Carmi","IL1930100","No Information","Replace 2,500 lf of watermains & replace 1 pressure reducing station","Other","1150000","575000","4740","Yes","No Information","315"
"Illinois","No Information","Prophetstown","IL1950400","No Information","New well & new wtp","Other","4420000","1250000","1946","Yes","No Information","310"
"Illinois","No Information","Mount Carroll","IL0150200","No Information","Watemain replacement & looping","Other","511800","255900","1717","Yes","No Information","305"
"Illinois","No Information","Sibley","IL0530400","No Information","Wtp upgrades, section of watermain replacement, & water meter replacement","Other","612000","306000","272","Yes","No Information","305"
"Illinois","No Information","Pleasant Plains","IL1670900","No Information","New elevated water tower","Other","1390000","0","800","No","No Information","300"
"Illinois","No Information","Williamsfield","IL0950650","No Information","Upgrade wtp, new ground storage tank, & replace old water mains","Other","1000000","500000","578","Yes","No Information","300"
"Illinois","No Information","Evanston","IL0310810","No Information","Replace raw water intake","Other","42230164","0","504000","No","No Information","285"
"Illinois","No Information","Rock Falls","IL1950450","No Information","Phase 2 - watermain replacement & looping","Other","884000","442000","8789","Yes","No Information","285"
"Illinois","No Information","St. Charles","IL0894830","No Information","New deep well & improvements at ohio ave wtp","Other","14000000","0","32709","No","No Information","280"
"Illinois","No Information","Mound City","IL1530100","No Information","Watermain extension","Other","675500","337750","744","Yes","No Information","275"
"Illinois","No Information","Lee","IL1034600","No Information","New water tower and new well","Other","1607000","803500","327","Yes","No Information","275"
"Illinois","No Information","Manlius","IL0110600","No Information","New water services for new customers & dewatering structure at plant","Other","254000","127000","359","Yes","No Information","275"
"Illinois","No Information","Vandalia","IL0510350","No Information","New water treatment plant & raw watermain for new water source","Other","21099000","1250000","7458","Yes","No Information","270"
"Illinois","No Information","Donnellson","IL0054360","No Information","Repaint water tower & install ammonia injection equipment","Other","600000","300000","210","Yes","No Information","250"
"Illinois","No Information","Kirkwood","IL1870050","No Information","Drill new well & install raw watermain","Other","313300","156650","714","Yes","No Information","250"
"Illinois","No Information","Nokomis","IL1350450","No Information","Watermain replacement & rehab filters/softeners/detention tank at plant","Other","3000000","1250000","2055","Yes","No Information","250"
"Illinois","No Information","Polo","IL1410450","No Information","Phase 1 - water system improvements","Other","2289000","1144500","2355","Yes","No Information","250"
"Illinois","No Information","South Highway Wd","IL0775400","No Information","Construction of 1600 lf of watermain & replacement of below ground pump station with an above ground pump station","Other","530000","265000","4650","Yes","No Information","250"
"Illinois","No Information","Downs","IL1130500","No Information","Wtp upgrades, new well, & new raw water main","Other","3574000","0","949","No","No Information","245"
"Illinois","No Information","Elizabeth","IL0850150","No Information","Phase 2 - well house & well #1 improvements","Other","537700","268850","761","Yes","No Information","245"
"Illinois","No Information","Forsyth","IL1150200","No Information","Installation of new well & well building","Other","964000","0","3602","No","No Information","245"
"Illinois","No Information","Greenville","IL0050050","No Information","Construct new treatment plant","Other","17123050","1250000","6761","Yes","No Information","245"
"Illinois","No Information","Kirkland","IL0370300","No Information","Watermain replacement & install valves","Other","2984000","1250000","3477","Yes","No Information","235"
"Illinois","No Information","Rockford","IL2010300","No Information","Well no. 34 treatment improvements to remove radium and iron","Other","10555500","0","149597","No","No Information","235"
"Illinois","No Information","Gilman","IL0750450","No Information","Watermain replacement","Other","940000","470000","1814","Yes","No Information","230"
"Illinois","No Information","Morrison","IL1950350","No Information","Phase 3 - 4,780 ft watermain","Other","1434000","717000","4188","Yes","No Information","230"
"Illinois","No Information","Dixon","IL1030200","No Information","Phase 3 - replacement & rehabilitation of watermain","Other","3030500","1250000","15733","Yes","No Information","225"
"Illinois","No Information","Downs","IL1130500","No Information","Phase 1 - install booster pumps station & watermain extension","Other","1620000","0","949","No","No Information","225"
"Illinois","No Information","Donovan","IL0750400","No Information","Water system improvements","Other","1460000","730000","306","Yes","No Information","220"
"Illinois","No Information","Sycamore","IL0370550","No Information","Bring well no. 7 back online","Other","3403595","1250000","17897","Yes","No Information","205"
"Illinois","No Information","Dixmoor","IL0310660","No Information","Water meter replacement phase 1","Other","576000","288000","3518","Yes","No Information","205"
"Illinois","No Information","Oak Lawn","IL0312220","No Information","#5 - transmission main from marion ave through crossing calumet - sag","Other","55300000","0","350000","No","No Information","205"
"Illinois","No Information","Oak Lawn","IL0312220","No Information","Bid package 7b - orland park spur","Other","18700000","0","350000","No","No Information","205"
"Illinois","No Information","Oak Lawn","IL0312220","No Information","#2 - transmission main from orland park & booster (applied for $45.5m but funding limited due to 25% program cap)","Other","11000000","0","350000","No","No Information","205"
"Illinois","No Information","Taylor Springs","IL1350650","No Information","Phase 2 - replace asbestos cement mains","Other","900000","450000","690","Yes","No Information","185"
"Illinois","No Information","Rushville","IL1690200","No Information","Replace ground storage tank, valves and hydrants & rehab pump station","Other","2120000","1060000","3200","Yes","No Information","180"
"Illinois","No Information","Dolton","IL0310690","No Information","Replacement of 2,200 watermeters & meter read system","Other","2000000","1000000","23153","Yes","No Information","180"
"Illinois","No Information","Freeport","IL1770200","No Information","Phase 4 - watermain replacement (adams & clinton ave)","Other","4000000","1250000","23973","Yes","No Information","180"
"Illinois","No Information","St. Anne","IL0910700","No Information","Loop and replace watermains","Other","2270000","1135000","1209","Yes","No Information","180"
"Illinois","No Information","Westfield","IL0230200","No Information","New water meters","Other","320000","160000","728","Yes","No Information","175"
"Illinois","No Information","Bloomington","IL1130200","No Information","Phase 4 - watermain replacement & looping","Other","2000000","0","77962","No","No Information","170"
"Illinois","No Information","Coal City","IL0630200","No Information","Expanding water treatment plant and drilling a new deep well","Other","6016260","1250000","6077","Yes","No Information","170"
"Illinois","No Information","Hardin County Wd","IL0695000","No Information","Phase 2 - watermain replacement","Other","950000","475000","1000","Yes","No Information","165"
"Illinois","No Information","Saybrook","IL1130950","No Information","New elevated water storage tank & wtp upgrades","Other","1573000","786500","693","Yes","No Information","165"
"Illinois","No Information","Taylor Springs","IL1350650","No Information","Watermain, valve and hydrant replacement","Other","1200000","600000","690","Yes","No Information","165"
"Illinois","No Information","Elverado Water District","IL0770010","No Information","Repaint & repair 100,000-gallon water tank","Other","355500","177750","660","Yes","No Information","160"
"Illinois","No Information","Heyworth","IL1130650","No Information","Watermain replacement","Other","2400000","1200000","3000","Yes","No Information","155"
"Illinois","No Information","Quincy","IL0010650","No Information","Phase 3 improvements - new finished water pumping station","Other","7500000","0","42000","No","No Information","155"
"Illinois","No Information","Coulterville","IL1570150","No Information","Meter vault & transmission main for new water source - city of sparta","Other","1500000","750000","900","Yes","No Information","150"
"Illinois","No Information","Jonesboro","IL1810250","No Information","Rehabilitation of 261,000-gallon standpipe","Other","322500","161250","1905","Yes","No Information","145"
"Illinois","No Information","Thornton","IL0313090","No Information","Renovate storage tank and replace meters","Other","2900000","1250000","2367","Yes","No Information","145"
"Illinois","No Information","Braceville","IL0630050","No Information","Service line and watermain replacement and looping","Other","2000000","1000000","775","Yes","No Information","140"
"Illinois","No Information","Seaton","IL1310350","No Information","Transmission main replacement & system looping","Other","1361000","680500","222","Yes","No Information","140"
"Illinois","No Information","West Frankfort","IL0550700","No Information","Phase 2 - water meter replacement","Other","800000","400000","8500","Yes","No Information","140"
"Illinois","No Information","Xenia","IL0250300","No Information","Replace 3,650 ft of water main","Other","303000","151500","391","Yes","No Information","140"
"Illinois","No Information","Henderson","IL0950250","No Information","Install 50,000-gallon water storage tank & demolish old tank","Other","1080850","540425","241","Yes","No Information","135"
"Illinois","No Information","Glendale Heights","IL0430400","No Information","Improve booster pump stations & altitude valve station","Other","3500000","0","33351","No","No Information","130"
"Illinois","No Information","Murphysboro","IL0770500","No Information","Repainting & repairing both elevated tanks","Other","950000","475000","11613","Yes","No Information","130"
"Illinois","No Information","Joliet","IL1970450","No Information","Replacement of 21mi of watermain ($37,323,000 requested)","Other","34528754","0","148693","No","No Information","130"
"Illinois","No Information","Assumption","IL0210050","No Information","Lead service line replacement project (140 lines)","Lead","1380273","No Information","1368","Yes","No Information","355"
"Illinois","No Information","Barrington","IL0974080","No Information","Lead service line replacement project (250 lines)","Lead","4000000","No Information","12131","No Information","No Information","255"
"Illinois","No Information","Batavia","IL0894130","No Information","Lead service line replacement project (260 lines)","Lead","3984353","No Information","26422","No Information","No Information","305"
"Illinois","No Information","Calumet City","IL0310390","No Information","Lead service line replacement project (400 lines)","Lead","3998000","No Information","36033","No Information","No Information","240"
"Illinois","No Information","Dixmoor","IL0310660","No Information","Lead service line replacement project phase 1","Lead","4000000","No Information","3158","Yes","No Information","240"
"Illinois","No Information","Elgin","IL0894380","No Information","Lead service line replacement project (350 lines)","Lead","4000000","No Information","120000","No Information","No Information","235"
"Illinois","No Information","Freeport","IL1770200","No Information","Phase 3 - lead service line replacement project","Lead","4000000","No Information","23973","Yes","No Information","210"
"Illinois","No Information","Galesburg","IL0950200","No Information","Lead service line replacement project","Lead","2000000","No Information","40000","No Information","No Information","455"
"Illinois","No Information","Hazel Crest","IL0311170","No Information","Lead service line replacement project","Lead","4000000","No Information","14000","No","No Information","160"
"Illinois","No Information","Itasca","IL0430500","No Information","Replace lead service lines","Lead","2700000","No Information","8694","No Information","No Information","250"
"Illinois","No Information","Joliet","IL1970450","No Information","Replace lead service lines along 21mi of watermain","Lead","4000000","No Information","148693","No","No Information","165"
"Illinois","No Information","Marshall","IL0230100","No Information","Lead service line replacement project","Lead","800000","No Information","7786","No Information","No Information","365"
"Illinois","No Information","Nokomis","IL1350450","No Information","Lead service line replacement project","Lead","300000","No Information","2055","Yes","No Information","280"
"Illinois","No Information","Plainfield","IL1970800","No Information","Lead service line replacement project","Lead","409933","No Information","39581","No","No Information","165"
"Illinois","No Information","Robbins","IL0312700","No Information","Lead service line replacement project","Lead","4000000","No Information","5460","No Information","No Information","255"
"Illinois","No Information","Rockford","IL2010300","No Information","Phase 5 - remove/replace lead service lines","Lead","4000000","No Information","149597","No","No Information","325"
"Illinois","No Information","Seaton","IL1310350","No Information","Lead service line replacement project","Lead","753000","No Information","222","Yes","No Information","175"
"Illinois","No Information","Sycamore","IL0370550","No Information","Replace 120 lead service lines","Lead","4000000","No Information","17897","Yes","No Information","265"
"Louisiana","No Information","Village of Harrisonburg","LA1025004","No Information","To tie the Harrisonburg Water System into the Enterprise Water System via a water transmission line from the existing Harrisonburg distribution line. Harrisonburg: AO:C-19-025-027-ETT TTHMS Enterprise: AO: C-18-025-046-ETT- M-I for TTHMS, inadequate CR, PNs, corrosion control.","Other","2693992","2693992","1290","Yes","6","42"
"Louisiana","No Information","City of Winnfield","LA1127012","No Information","Consolidation of HWY 84 West into the of City of Winnfield's water system. Construction will consist of: installation of various distribution piping, valving, and metering improvements to connect the existing distribution systems. Also included in the project is the construction of an in-line booster station, chloramination system, site piping and sity work. HWY 84: AO: C-14127-033-S1-DDBP-M-I for TTHMS, Cross Connection, Pressure Tank Discharge piping corroded, lockable ladder guard not provided.","Other","1850000","1045658","5000","Yes","9","36"
"Louisiana","No Information","Town of Lutcher Loan 3","LA1093003","No Information","The proposed project consist of water plant upgrades, including lauderer replacement, miscellaneous waterline replacement (8""""), installing inserta valves, meter procurement, raw water intake pumps, and new 8"""" waterline (Labre).","Other","861750","0","3559","No","12","33"
"Louisiana","No Information","L & R Utilities(Lincoln Subdivsion)","LA1073090","No Information","All four systems consolidating together will then purchase water from Better Waterworks PWS ID NO. LA1073003 (Pop Served 2160 Service Connections 720)Four WS to consolidate to Lincoln PWS ID NO. 1073090;Lincoln PWS ID NO: LA1073090 (Private for Profit, Community GW System);Population Served 490 via 163 Service Connections (SDWIS States 150 via 50 SCs);Hidden WS PWS ID No. LA1073061 (Private Not for Profit, Community GW System) Population Served 390 via 130 SCs;Wildwood WS PWS ID No. LA1073110 (Private Not for Profit, Community GW System) Population Served 72 via 24 SCs;Pecan WS PWS ID No. LA1073063 (Private Not for Profit, Community GW System) Population Served 50 via 17 SCs;Ouachita, OPH Region 8, District 4","Other","431500","431500","965","Yes","18","25"
"Louisiana","No Information","Town of Sunset (Loan 2)","LA1097015","No Information","The proposed project consists of one water treatment facility, with appurtenances, and interconnected water lines to treat water from existing water wells.","Other","2350000","500460","3080","No","25","20"
"Louisiana","No Information","Bayou Liberty Water Association","LA1103005","No Information","The proposed project will construct a new water well to replace Water Well No. 3 located at Camp Villere Road in Slidell. The existing well was construction in 1980's and is currently production sand.","Other","1500000","0","10500","No","29","17"
"Louisiana","No Information","Savoy Swords Water System, Inc. (Loan 3)","LA1097024","No Information","Proposed project involves the construction of a new second water well at the Richard Well Field, two standby generators at booster station sites, and upgrade computer and PLC controllers for SCADA systems.","Other","468000","468000","8306","No","32","16"
"Maryland","Allegany","Lavale Sanitary Commission","MD0010016","Winchester road water line replacement","Problem: aging and failing water main requires replacement project: replace ~15,000 lf water transmission main along winchester road in lavale","Other","3602800","1801400","6218","Yes","4","97"
"Maryland","Worcester","Town Of Snow Hill","MD0230007","Coulbourne lane well backup power","Problem: no backup power to largest producing well for water system project: furnish and install emergency generator and automatic transfer switch to town's largest production well","Other","27258","13629","2150","Yes","7","90"
"Maryland","Frederick","Town Of Emmitsburg","MD0100010","Emmitsburg north seton avenue water line replacement","Problem: water pressure compliance and resolve water quality complaints project: replace 1,584 lf of deteriorating 6-in and 4-in unlined cast iron piping with new 8-in ductile iron pipe along n. Seton av","Other","859164","0","2770","No","8","90"
"Maryland","Frederick","Town Of Emmitsburg","MD0100010","Emmitsburg depaul street water line replacement","Problem: water pressure compliance and resolve water quality complaints project: replace 1,850 lf 6-in and 4-in unlined cast iron piping with 8-in ductile iron pipe","Other","832500","0","6925","No","9","90"
"Maryland","Washington","City Of Hagerstown","MD0210010","Mack water storage tank replacement","Problem: tank has exceeded useful life and develops leaks. Extended repairs leave fire protection vulnerable. Project: replace 50+ year old 1m gal ground storage tank","Other","4000000","2000000","25580","Yes","10","90"
"Maryland","Prince George's","Washington Suburban Sanitary Commission","MD0150005","Powhatan street water main replacement","Problem: bare cast iron mains with tuberculation and breaks project: replace 1.85 mi small dia 4-in, 8-in, 10-in & 12-in water mains in new carrollton","Other","2461000","1230500","573","Yes","11","87"
"Maryland","Prince George's","Washington Suburban Sanitary Commission","MD0150005","Horizon way water main replacement","Problem: bare cast iron mains with tuberculation and breaks project: replace 2.30 mi small dia 4-in, 8-in & 10-in water mains in forestville and district hgts","Other","3400000","1700000","610","Yes","12","80"
"Maryland","Garrett","Town Of Grantsville","No Information","Town of grantsville chestnut ridge water system","Problem: area not served by public water experiencing excess salt in wells from rt 40 project: construct new public water system for chestnut ridge community, incl 12-in main, new wtp, new well, & new 470,000 gal tank","Other","8035000","2500000","920","Yes","13","80"
"Maryland","Montgomery","Washington Suburban Sanitary Commission","MD0150005","Montgomery knolls water main replacement","Problem: bare cast iron mains with tuberculation and breaks project: replace 2.77 mi small dia 8-in & 10-in water mains","Other","4416000","0","388","No","15","72"
"Maryland","Baltimore City","Baltimore City","MD0300002","Wc-1199 ashburton pumping station rehabilitation","Problem: pump station for ashburton reservoir is aging/unreliable project: construct major mods to hydraulic, mechanical, and electrical systems as well as the structure","Other","10000000","2500000","1800000","Yes","16","72"
"Maryland","Baltimore County","Baltimore County","MD0300002","Wc-1199 ashburton pumping station rehabilitation","Problem: pump station for ashburton reservoir is aging/unreliable project: construct major mods to hydraulic, mechanical, and electrical systems as well as the structure","Other","10000000","0","No Information","No","17","72"
"Maryland","Allegany","Town Of Westernport","MD0010033","Town of westernport-water distribution system improvements- phases 5-7","Problem: failing water mains over 100 yr old. Continuation of replacements. Project: replace 53,000 lf water mains, 2 pump stations, 2 ground-mounted water storage tanks, valves, hydrants, & appurtenances","Other","10000000","2500000","2448","Yes","19","70"
"Maryland","Washington","City Of Hagerstown","MD0210010","Transmission mains replacement-hagerstown","Problem: deteriorated 90+ year old transmission main piping with increasing failures project: phase 2 of multi-phase proj. Replace 6,000 lf of 2 parallel 24-in mains with ductile iron 36-in mains","Other","7500000","2500000","108600","Yes","20","70"
"Maryland","Worcester","Town Of Berlin","MD0230001","Franklin avenue well replacement","Problem: well #2 is 58 years old and has outlived its useful life - replacement needed for redundant water supply to system project: build test well and replace well #2","Other","130000","65000","5045","Yes","21","65"
"Maryland","Garrett","Garrett County Sanitary District","MD0110007","Mountain lake park & loch lynn heights water line replacement project","Problem: deteriorating pipes leaking >40% into surrounding area. Areas of low water pressure and low fire flow project: replace 133,075 lf water line with adequately sized pipes","Other","1587274","793637","3275","Yes","23","60"
"Maryland","Allegany","Town Of Lonaconing","MD0010018","Midland/gilmore raw water storage tank","Problem: dam inspection classified a high hazard potential and rated unsafe project: decommission existing midland gilmore reservoir, restore elk lick run, and construct 6 mg raw water storage tank","Other","9904840","2500000","4500","Yes","24","60"
"Maine","No Information","Sugarloaf Water Association","ME0019690","2022-91","Timbers Tank","Other","1756000","175000","3560","No","No Information","BP"
"Maine","No Information","Orono-Veazie WD","ME0091210","2022-96","Rt 2 WM","Other","252000","25000","5510","No","No Information","BP"
"Maine","No Information","Stonington Water Company","ME0091510","2022-83","Hydrogeologic Study","Other","709000","425000","718","Yes","No Information","123"
"Maine","No Information","Maine Water","ME0090990","2022-54","Millinocket Div GAC Treatment Addition","Other","1994000","598000","4780","Yes","No Information","122"
"Maine","No Information","Fort Fairfield Utilities District","ME0090550","2022-22","New Wells & Chemical Feed Facility","Other","1171000","351000","1828","Yes","No Information","122"
"Maine","No Information","Belfast WD","ME0090140","2022-5","Talbot Well Pump Station","Other","3335000","333000","5120","No","No Information","115"
"Maine","No Information","Kennebec Water District","ME0090750","2022-38","Critical Water Treatment Plant Infrastructure","Other","1610000","483000","22118","Yes","No Information","112"
"Maine","No Information","Boothbay Regional WD","ME0090200","2022-7","Ocean Point Road WM Replacement","Other","4211000","1894000","8445","Yes","No Information","111"
"Maine","No Information","Searsport Water District","ME0091440","2022-78","Route 1 Water Main Removal & Culvert Installation","Other","2439000","1545000","2880","Yes","No Information","108"
"Maine","No Information","Greater Augusta Utilities District","ME0090080","2022-27","Kennebec River Utility Crossing","Other","2000000","400000","13750","Yes","No Information","108"
"Maine","No Information","North Berwick Water District","ME0091120","2022-92","New Well Supply","Other","1367000","273000","1998","Yes","No Information","106"
"Maine","No Information","Guilford-Sangarville WD","ME0090640","2022-33","Well #1 Replacement","Other","737000","331000","1365","Yes","No Information","105"
"Maine","No Information","Lake Arrowhead Community","ME0090811","2022-46","Well 3","Other","995000","99000","3400","No","No Information","105"
"Maine","No Information","Limerick WD","ME0090850","2022-49","Wescott & Maple Sts WM Replacement","Other","598000","59000","603","No","No Information","103"
"Maine","No Information","Caribou Utilities District","ME0090320","2022-17","Well PS Generator","Other","223000","66000","4000","Yes","No Information","102"
"Maine","No Information","KKWWD","ME0090760","2022-44","Laudholm Farm Rd Ph II WM Replacement","Other","872000","96000","35643","Yes","No Information","102"
"Maine","No Information","KKWWD","ME0090760","2022-43","Colony & Ocean Ave WM Replacement","Other","363000","36000","35643","No","No Information","102"
"Maine","No Information","Mexico WD","ME0090970","2022-58","Swift River WM Interconnect (Red Bridge)","Other","250000","75000","2365","Yes","No Information","101"
"Maine","No Information","Brunswick Topsham Water District","ME0090260","2022-11","Androscoggin River WM Crossing","Other","1782000","198000","18290","Yes","No Information","100"
"Maine","No Information","Great Salt Bay SD","ME0090410","2022-23","Cross & Pump Sts and Glidden & River Rds WM Upgrade","Other","1548000","387000","2095","Yes","No Information","100"
"Maine","No Information","Caribou Utilities District","ME0090320","2022-14","High Service Area Booster PSs Upgrade","Other","467000","140000","4000","Yes","No Information","98"
"Maine","No Information","So Berwick Water District","ME0091470","2022-81","Front & Spring Sts WM Replacements","Other","499000","49000","3660","No","No Information","98"
"Maine","No Information","Rangeley Water District","ME0091330","2022-76","WM Replacement & Stream Crossing","Other","439000","197000","1290","Yes","No Information","96"
"Maine","No Information","KKWWD","ME0090760","2022-43","Western Ave WM Replacement","Other","3146000","349000","35643","Yes","No Information","96"
"Maine","No Information","Bath WD","ME0090130","2022-4","Middle Rd Transmission Main","Other","7434000","2230000","9618","Yes","No Information","94"
"Maine","No Information","Kennebec Water District","ME0090760","2022-42","Western Ave WM Replacement","Other","1547000","464000","22118","Yes","No Information","93"
"Maine","No Information","Buckfield Village Corporation","ME0090270","2022-12","Morrill St WM Replacement","Other","730000","328000","450","Yes","No Information","93"
"Maine","No Information","Solon WD","ME0091460","2022-79","Fall Brook Bridge WM Relocation & Standpipe painting","Other","702000","175000","490","Yes","No Information","93"
"Maine","No Information","Bangor WD","ME0090110","2022-3","BIA Storage Tank & Booster Station","Other","4780400","1100000","28750","Yes","No Information","93"
"Maine","No Information","LFWD","ME0090880","2022-52","Church, Knapp & Millett WM Replacement & Jewell St PS Generator","Other","1773000","797000","2950","Yes","No Information","93"
"Maine","No Information","Houlton Water Company","No Information","2022-35EC","Phase I Airport Water System Upgrade","Emerging Contaminants","1686000","1686000","No Information","No Information","No Information","BP-EC"
"Maine","No Information","Houlton Mobile Home Park","No Information","2022-34EC","Water System Upgrades (PFAS)","Emerging Contaminants","605000","605000","No Information","No Information","No Information","BP-EC"
"Maine","No Information","Brunswick Topsham Water District","No Information","2022-100EC","Jordan Ave Wellfield Contamination (PFAS)","Emerging Contaminants","155000","155000","No Information","No Information","No Information","BP-EC"
"Michigan","Van Buren County","Paw Paw","No Information","No Information","WM replacement","Other","1270000","952500","3534","Yes","1","480"
"Michigan","Clinton County","Village of Westphalia","No Information","No Information","WM replacement","Other","187500","0","1000","No","2","470"
"Michigan","Lenawee County","Onsted","No Information","No Information","WM replacement, well improvements","Other","4380400","3285300","917","Yes","3","445"
"Michigan","Wayne County","GLWA","No Information","No Information","96 inch trans main relocation P2","Other","48172500","0","713777","No","4","400"
"Michigan","Osceola County","Village of Marion","No Information","No Information","WM, wells, storage, meters, SCADA","Other","5730000","4297500","795","Yes","5","820"
"Michigan","Ingham County","Lansing Board of Water and Light","No Information","No Information","WM replacement, WTP upgrade","Other","32220000","20000000","209000","Yes","6","700"
"Michigan","Ingham County","East Lansing Meridian Water & Sewer Authority","No Information","No Information","New storage reservoir, wells","Other","12045000","0","79585","No","7","600"
"Michigan","Washtenaw County","Charter Twp of Ann Arbor","No Information","No Information","Distribution Sys Improv","Other","6288750","0","3300","No","8","570"
"Michigan","Tuscola County","City of Vassar","No Information","No Information","WM replacement, new wells, meters","Other","8910000","6682500","2542","Yes","9","570"
"Michigan","Eaton County","City of Grand Ledge","No Information","No Information","WTP, WM repl","Other","12900000","0","8855","No","12","555"
"Michigan","Sanilac County","Village of Carsonville","No Information","No Information","tank, meters, WTP, wells","Other","1430571","455571","510","Yes","13","545"
"Michigan","Lenawee County","Village of Addison","No Information","No Information","WM, meters, WTP, tower","Other","825000","0","605","Yes","14","545"
"Michigan","Shiawassee County","City of Owosso","No Information","No Information","WM replacement, LSLR, SCADA, well","Lead","3033750","0","14539","No","15","540"
"Michigan","Calhoun County","Bedford Charter Township","No Information","No Information","WM extension for PFAS","Emerging Contaminants","5100000","5100000","105","No","16","535"
"Michigan","Berrien County","City of St Joseph","No Information","No Information","WM replacement, LSLR, WTP imp","Lead","9787500","0","33000","No","18","515"
"Michigan","Genesee County","Genesee County Drain Commissioner","No Information","No Information","WM extension","Other","6978750","0","436000","No","19","510"
"Michigan","Eaton County","City of Grand Ledge","No Information","No Information","New Wells","Other","3240000","0","8855","No","20","505"
"Michigan","Macomb and St Clair Counties","City of Memphis","No Information","No Information","WM, WTP, meter replacement, well imp,LSLR","Lead","546100","191100","1107","Yes","21","495"
"Michigan","Genesee County","City of Montrose","No Information","No Information","WM replacement, well decommission","Other","561250","0","1743","Yes","22","495"
"Michigan","Wayne County","Brownstown Charter Township","No Information","No Information","Elevated Storage Tanks","Other","5568750","0","33194","No","23","490"
"Michigan","St. Clair County","City of St. Clair","No Information","No Information","WTP imp, WM replacement","Other","2513230","0","6285","No","24","480"
"Michigan","Gogebic County","City of Bessemer","No Information","No Information","WM replacement, LSLR, tank upgrades","Lead","1000000","490000","1900","Yes","28","470"
"Michigan","Isabella County","Village of Shepherd","No Information","No Information","LSLR, force main, lagoon imp","Lead","3500000","1715000","1478","Yes","29","470"
"Michigan","Muskegon County","City of Muskegon","No Information","No Information","WM & LSLR","Lead","4512255","2211005","38401","Yes","32","465"
"Michigan","Oakland County","Independence Township","No Information","No Information","WM extension - PFAS","Emerging Contaminants","5185000","5185000","36818","No","33","465"
"Michigan","Dickinson County","City of Kingsford","No Information","No Information","WM replacement, LSLR","Lead","2380000","1166200","5480","Yes","35","455"
"Michigan","Kalamazoo County","City of Kalamazoo","No Information","No Information","WM and LSLR","Lead","9901961","4851961","144500","Yes","39","450"
"Michigan","Branch County","Village of Quincy","No Information","No Information","LSLR and WM replacement","Lead","415000","203350","2040","Yes","40","445"
"Michigan","Sanilac County","City of Sandusky","No Information","No Information","WM and LSLR","Lead","59400","29106","2539","Yes","41","445"
"Michigan","Jackson County","City of Jackson","No Information","No Information","LSLR,WM,WTP","Lead","8112745","3975245","33165","Yes","43","440"
"Michigan","Wayne County","City of Melvindale","No Information","No Information","WM and LSRL looping","Lead","280000","137200","12851","Yes","45","440"
