Project Name,DWSRF No.,Project Description,IUP Yr,Quarter,Project Categories,Priority Points,Population,Project Status," Original IUP Funding Request
(estimate) ", Current Funding Request ,Date Loan Signed, Loan Amount , Remaining Amount on IUP ,LF Eligible?
Schaller,PD-DW-23-52,Water System Improvements,2023 ,4 ,P&D,P&D,729,P," $ 614,000.00 "," $ 614,000.00 ",,,,NA
Ellsworth,PD-DW-23-51,New Elevated Storage Tank,2023 ,4 ,P&D,P&D,518,P," $ 300,000.00 "," $ 300,000.00 ",,,,NA
Lake City,PD-DW-23-50,Two New Wells,2023 ,4 ,P&D,P&D,1992,P," $ 255,000.00 "," $ 255,000.00 ",,,,NA
Palmer,PD-DW-23-49,Upgrades to Water Treatment Plant,2023 ,4 ,P&D,P&D,138,P," $ 186,000.00 "," $ 186,000.00 ",,,,NA
Polk City,PD-DW-23-44,New Elevated Storage Tank,2023 ,4 ,P&D,P&D,5899,P," $ 407,000.00 "," $ 407,000.00 ",,,,NA
Irwin,PD-DW-23-43,Water Mains and Water Tower Replacement,2023 ,4 ,P&D,P&D,319,P," $ 271,400.00 "," $ 271,400.00 ",,,,NA
Fort Dodge,PD-DW-23-42,Water Distribution Infrastructure Repair,2023 ,4 ,P&D,P&D,25206,P," $ 1,190,000.00 "," $ 1,190,000.00 ",,,,NA
Des Moines Water Works,PD-DW-23-41,Two Transmission Main Improvement Projects,2023 ,4 ,P&D,P&D,600000,P," $ 1,098,700.00 "," $ 1,098,700.00 ",,,,NA
Lime Springs,PD-DW-23-47,Water Main Installation,2023 ,4 ,P&D,P&D,473,P," $ 504,000.00 "," $ 504,000.00 ",,,,NA
Peosta,PD-DW-23-32,P&D For Water System Improvements,2023 ,3 ,P&D,P&D,2500,P," $ 600,000.00 "," $ 600,000.00 ",,,,NA
Ely,PD-DW-23-19,P&D for Water Main System Rehabiliation,2023 ,2 ,P&D,P&D,2328,P," $ 184,420.00 "," $ 184,420.00 ",,,,NA
Ely,PD-DW-23-18,P&D for Construction of New Drinking Water Treatment Facility,2023 ,2 ,P&D,P&D,2328,P," $ 582,420.00 "," $ 582,420.00 ",,,,NA
Carter Lake,PD-DW-23-23,P&D for Water Line & Pipe Replacement,2023 ,2 ,P&D,P&D,3791,P," $ 725,000.00 "," $ 725,000.00 ",,,,NA
Ankeny,PD-DW-22-57,P&D for Construction of Water Main Transmission,2022 ,4 ,P&D,P&D,N/A,P," $ 174,600.00 "," $ 174,600.00 ",,,,NA
Titonka,PD-DW-22-16,P&D for Existing Treatment System Improvements,2022 ,1 ,P&D,P&D,486,P," $ 200,000.00 "," $ 200,000.00 ",,,,NA
Essex,PD-DW-21-53,P&D for Drinking Water System Upgrades,2021 ,4 ,P&D,P&D,798,P," $ 30,000.00 "," $ 30,000.00 ",,,,NA
Neola,PD-DW-21-56,P&D for Water Distribution System Replacement,2021 ,4 ,P&D,P&D,842,P," $ 371,094.00 "," $ 371,094.00 ",,,,NA
Glidden,PD-DW-21-38,P&D for New Well & Watermain,2021 ,3 ,P&D,P&D,1146,P," $ 150,000.00 "," $ 150,000.00 ",,,,NA
Plainfield,PD-DW-20-33,Water Main Installation,2020 ,3 ,P&D,P&D,436,P," $ 40,000.00 "," $ 40,000.00 ",,,,NA
Albion,PD-DW-19-13,Construction of new water main connecting to Marshalltown Water Works,2019 ,2 ,P&D,P&D,505,P," $ 55,000.00 "," $ 55,000.00 ",,,,NA
Bellevue,PD-DW-19-15,Construction of 2700 sf Radium Treatment Facility,2019 ,2 ,P&D,P&D,2191,P," $ 285,000.00 "," $ 285,000.00 ",,,,NA
Vail,PD-DW-18-30,Plan for new water source and water treatment options,2018 ,3 ,P&D,P&D,436,P," $ 50,000.00 "," $ 50,000.00 ",,,,NA
Rathbun Regional Water (RRWA),FS-04-17-DWSRF-010,Replacement of of aging water meters with a new advanced/smart metering system.,2017 ,2 ,"C,D",15 ,28215,R," $ 2,902,945.00 "," $ 2,902,945.00 ",,,," Awarded
CAP'18 Pending "
Ankeny,FS-77-22-DWSRF-030,Water Distribution System Improvements,2022 ,4 ,B,20 ,67900,R," $ 4,809,000.00 "," $ 5,783,000.00 ",,,,Not Eligible
Waukee,FS-25-21-DWSRF-004,ASR Well,2021 ,1 ,B,35 ,17945,R," $ 3,567,750.00 "," $ 3,567,750.00 ",,,,Not Eligible
Eagle Grove,FS-99-20-DWSRF-018,Water Distribution System Improvements,2020 ,3 ,"B, C, E",40 ,3583,R," $ 503,000.00 "," $ 503,000.00 ",,,, Not Eligible 
Farmington,FS-89-16-DWSRF-006 (2),Water meter replacement,2016 ,2 ,"B,C,E",40 ,664,R," $ 312,000.00 "," $ 117,000.00 ",,,,Not Eligible
,,,,,,,,," $ 539,869,730.10 "," $ 526,365,502.00 ",," $ 62,285,800.00 ",,
,,,,,,,,,,,,,,
Project Status,Project Type,,,,Abbreviations,,,,,,,,,
Dropped -- D,A = Water Quality and Human Health Risk-Related Criteria,,,,N/A = Not Applicable,,,,,,,,,
Ready for Loan -- R,B = Infrastructure and Engineering-Related Improvement,,,,Not used = No loan forgiveness assistance utilized for project,,,,,,,,,
Loan Signed -- L,C = Affordability Criteria,,,,TBD = To Be Determined,,,,,,,,,
Planning Stage -- P,D = Special Category Improvements,,,,BIL = Bipartisan Infrastructure Law,,,,,,,,,
CAP 2018-2021 LF Project Type/Awards,"E = Project Serves Population less than 10,000",,,,CAP = Federal Capitalization Grant,,,,,,,,,
Water and Energy Efficiency,F = Supplemental Loan for Previously Approved Project,,,,DAC = Disadvantaged Community,,,,,,,,,
Emergency Generators,G = Planning and Design Loan  ,,,,LF = Loan Forgiveness,,,,,,,,,
Disadvantaged Communities,,,,,LSL = Lead Service Line,,,,,,,,,
Public Health Projects,,,,,SES Score = SocioEconomic Assessment Score,,,,,,,,,
,,,,,PFAS/EC - PFAS Emerging Contaminants,,,,,,,,,
,,,,,,,,,,,,,,
Socioeconomic Assessment Score (SES) Point Scale,,,,,,,,,,,,,,
Point Range,,DAC Status,,,,,,,,,,,,
 Low ,0-10,Does not meet SRF's Disadvantaged Community definition,,,,,,,,,,,,
 Moderate-Low ,11-15,Disadvantaged,"Social, econmonic and demographic information meets SRF's definition of Disadvantaged Community for the purpose of SRF Loan Forgiveness",,,,,,,,,,,
 Moderate  ,16-20,Disadvantaged,,,,,,,,,,,,
 Moderate-High ,21-25,Disadvantaged,,,,,,,,,,,,
 High ,26-30,Disadvantaged,,,,,,,,,,,,
