Rank,Points,PIF #,Entity,Owner Type,PWS ID,Population,Project Description,Requested Phase(s),Total Project Cost,Disadv %,Green Type,GPR,Related PIF #s
112,25,14555,Jacksboro,M,TX1190002,"4,450",The City of Jacksboro's Water Treatment Plant (WTP) is  undersized and has reached the end of its effective useful life.  The capacity of the WTP needs to be doubled to satisfy  regulatory requirements and ongoing distribution system  pressure deficiencies require construction of a new elevated  storage tank (EST) and upsizing the main transmission line.,DC,"$25,000,000.00",70%,,,
113,24,14585,El Paso Co WCID # 4,D,TX0710018,"7,498","The existing I-10 Ground Storage Reservoir controls the raw  water feed quality to the existing Fe/Mn filters and Reverse  Osmosis facility and provides storage if the Wells become  non-operational. The reservoir is currently not in use due to  tank structural defects. Under this project, the Fabens Water  District (EPCWCID #4) proposes to demolish the existing 0.5  MG steel reservoir, including foundation and piping, and  replace it with a new 0.25 MG steel reservoir, including  foundation, piping, cathodic protection system, fencing, and  site grading.",DC,"$1,241,811.00",70%,,,
114,23,14689,Wharton,M,TX2410005,"8,756","The City has a history of high water loss and frequent  leaks/outages in a number of areas that still have old 2""  waterlines. These lines are also too small to provide any fire protection or allow the City to place fire hydrants in these  older subdivisions. After completion of planning,  environmental, and design the City intends to replace the 2""  steel waterlines with 8"" PVC waterlines improving water  quality, reducing leaks/outages, and providing fire protection.",PDC,"$1,153,360.00",70%,,,
115,23,14486,Greater Texoma UA,M,TX0490001,"16,502","Project includes replacement of a 14"" Water Transmission  Main along Foundry Road in Gainesville, Texas. Project will accomplish alleviating water  loss. Current Water Transmission Main has major leaks estimated to have lost 30 million gallons  over the past 5 years, and is 80+ years old.",C,"$2,724,620.00",70%,Yes-BC,"$2,000,000.00",
116,23,14456,Corix Utilities,P,,165,Addition of a well to replace existing well.,PDC,"$3,077,000.00",70%,Yes-BC,"$3,076,000.00",
117,23,14440,Streetman,M,TX0810016,248,"The project consists of a new 150 gpm water well, raw water  and treated water transmission mains, pump station  improvements, and water meter replacement with AMR  meters.",PADC,"$11,061,125.00",70%,Yes-BC,"$5,426,400.00",
118,23,14468,Green Creek WSC,W,,460,The WSC proposes to install a pump station with disinfection  facilities. The WSC received a violation from the TCEQ for  failure to provide a maximum hourly purchase rate of at least  2.0 gallons per minute (gpm) per connection. The WSC  currently purchases treated wholesale water from the City of  Dublin who also provides direct pressure to the WSC's water  system. The WSC proposes to install a pump station and  storage facility in order to provide a capacity of 0.6 gpm per  connection.,PADC,"$785,000.00",70%,Yes-BC,"$785,000.00",
119,23,14404,North Alamo WSC,W,TX1080029,963,Transmission System Improvements for Hargill,PADC,"$1,457,844.00",70%,,,
120,23,14683,Honey Grove,M,TX0740003,"1,715","Installation of 500 GPM pumping system with a 100,000  Gallon GST. Replacement of approximately 7,850 linear feet  of 6” water line and associated appurtenances.",DC,"$4,196,000.00",70%,,,
121,23,14526,Greater Texoma UA,M,TX0910011,"1,906",GTUA/City of Whitewright Water Improvements/Additional  Funds,DC,"$3,271,394.00",70%,,,
122,23,14513,Carrizo Springs,M,TX0640002,"5,828",The City of Carrizo Springs is proposing to bring its water  system up to date to correct numerous deficiencies according  to TCEQ regulations and Texas State Board of Insurance  requirements.,PDC,"$11,295,000.00",70%,,,
123,23,14434,Slaton,M,TX1520004,"6,052",The City of Slaton is proposing the installation of an AMI  system throughout their distribution system as well as the  installation of a new elevated storage tank.,PDC,"$6,030,000.00",70%,Yes-BC,"$6,030,000.00",
124,22,14490,Greater Texoma UA,M,TX0910148,"56,925","The primary purpose of this project will be expand the water  delivery capacity on the Collin-Grayson Municipal Alliance  (“CGMA”) water system. The work will focus at the pump station site and consist of the following components, 1)add a  4th pump and motor, VFDs, soft starters, 2) Add 2 additional  stages to the three (3) existing pumps, 3) additional ground  storage tank, 4)SCADA upgrades, 5)Backup Generator,  6)piping and pressure relief additions , 7)all associated electrical, plumbing and earthwork 8)and appurtenances. In order to add the stages to the pumps, the vertical turbine pumps will have to be removed and taken to a shop. During that process we would have the contractor inspect the pumps and motors and make any repairs should they be necessary.",C,"$7,531,300.00",,,,
125,22,14584,El Paso Co WCID # 4,D,TX0710018,"7,498","Per TCEQ requirements, the minimum pressure throughout a  system during a transient event (power outage) must be  greater than 20 psi. A surge evaluation of the existing I-10  booster station indicated that the system's pressure dropped  below the minimum TCEQ required pressure of 20 psi during  a power failure event.  Per TCEQ requirements, the El Paso  County Water Improvements District #4 (EPCWCID #4)  requires an elevated storage capacity of 100 gallons per  connection or a pressure tank capacity of 20 gallons per  connection to meet this requirement.  Under this project, the  EPCWCID #4 proposes installing a new 120-gallon bladder  tank to meet the pressure requirements in the event of a  power failure event specified by TCEQ.",DC,"$199,584.00",70%,,,
126,22,14586,El Paso Co WCID # 4,D,TX0710018,"7,498","The existing Cypress Well has been drilled but is currently not  equipped. When in service, the Cypress Well will have a 900  GPM capacity. Under this project, the Fabens Water District  (EPCWCID #4) proposes to fully equip Cypress Well #6,  including furnishing and installing a new well pump and  motor, a Well building and canopy, discharge piping, valves,  flow meter, electrical and instrumentation systems, generator  with ATS, site grading, and a new access roadway and  driveway.",DC,"$1,235,465.00",70%,,,
127,22,14587,El Paso Co WCID # 4,D,TX0710018,"7,498","The existing water distribution system piping on Elam  Subdivision has ruptured several times in the past and is  prone to leaks. The system also has physical deficiencies  such as non-functional valves and a lack of additional  isolation valves and curb stops.  Under this project, the Fabens Water District (EPCWCID #4)  proposes to abandon the existing distribution system in place  and furnish and install approximately 6,100 LF of new 6-inch  PVC C900 piping, including all related appurtenances and  2,000 LF of 6-inch PVC C900 pipe for the loop system  adjacent to railroad tracks including all related work and  appurtenances.",DC,"$4,412,000.00",70%,Yes-BC,"$3,616,200.00",
128,21,14374,Houston,M,,"3,563,653","Accelerated rehabilitation and replacement of small diameter  (2”-20”) water distribution infrastructure to address  deficiencies affecting water quality, fire flow availability, water  loss, sub-standard water lines, system design and asset age.  Includes replacement of lines undersized for current usage,  improve integrity of water supply, and replacement of end-of- life components (lines, valves, appurtenances). Work to be  performed within existing City rights-of-way under task order- based contracts.",C,"$40,000,000.00",,,,
129,21,14534,Houston,M,,"3,563,653","Accelerated rehabilitation and replacement of large diameter  (>20”) water distribution infrastructure to address deficiencies  affecting water quality, fire flow availability, water loss, system  design and asset age. Includes replacement of lines  undersized for current usage, improve integrity of water  supply, and replacement of end-of-life components (lines,  valves, appurtenances). Work to be performed within existing  City rights-of-way under task order-based contracts.",C,"$40,000,000.00",,,,
130,21,14484,Alba,M,TX2500005,753,"Rehabilitate existing EST and GST tanks, install new  generators, and replace old waterlines. Includes creation of  an asset management plan.",PDC,"$1,538,000.00",70%,,,
131,21,14435,Athens,M,,"12,777",The City of Athens needs to implement an asset management  plan. Also included in this project is the design and installation  of a SCADA system for the City's utility system.,PDC,"$713,000.00",70%,Yes-BC,"$578,000.00",
132,21,14413,Marshall,M,TX1020002,"23,935",Replace Existing Raw Water Main,PDC,"$9,645,000.00",70%,,,
133,20,14501,Moran,M,,178,"Replacing flush valves, isolation valves and water distribution  lines.",PDC,"$500,000.00",70%,Yes-BC,"$350,000.00",
134,20,14566,Rochester,M,TX1040002,464,"This project involves backup power generation, drilling of a  new water well and associated supply line, an AMR meter  system, and the replacement of old water line.",PDC,"$600,000.00",70%,Yes-BC,"$110,000.00",
135,20,14583,Rule,M,TX1040003,540,"This project involves the replacement of old cast iron lines  with new lines, an AMR meter system, GST rehab, EST,  rehab, and backup power generation.",PDC,"$930,000.00",70%,Yes-BC,"$157,500.00",
136,20,14524,Pure WSC,W,,774,Project to comply with the Emergency Preparedness Plan,PDC,"$504,600.00",70%,,,
137,20,14540,Pineland,M,TX2020002,888,"Construction of a pump station and storage facilities at the  Well 3 site to provide redundant system pressure  maintenance during times when the existing elevated storage  tank is taken offline for repair and maintenance. Proposed  facility will also support pressure maintenance in the northern  part of the City during normal operations. Upon completion of  the Plant 3 Pump Station, the existing elevated storage tank  will be repaired and rehabilitated.",PDC,"$2,144,800.00",70%,,,
138,20,14473,Millsap WSC,W,,"1,477","Millsap WSC proposes to replace a pressure tank at their  Pump Station No. 2, install generators at their pump stations  (3), install SCADA at their pump stations (3), master meter  and office, and install new water lines, and loop existing  distribution lines.",PDC,"$605,000.00",70%,Yes-BC,"$125,000.00",
139,20,14403,Grapeland,M,,"1,489",New industry developments in the City require additional  supply and storage.,PDC,"$3,709,000.00",70%,,,
140,20,14491,Grandview,M,,"1,841",This project consists of installing two new water wells and  installing a new backup generator at the elevated storage  tank site.,PADC,"$875,000.00",70%,,,
141,20,14567,Grandview,M,,"1,841",This project consists of replacing deteriorated distribution  lines.,PDC,"$2,809,750.00",70%,Yes-BC,"$2,809,750.00",
142,20,14487,Jefferson,M,TX1580001,"1,883",Waterline Upgrades,PDC,"$3,940,000.00",70%,,,
143,20,14414,Goodsprings WSC,W,TX2010016,"2,346",Replacement of old and/or undersized lines and creation of  loops in the system.,PDC,"$2,145,000.00",70%,,,
144,20,14578,Haskell,M,TX1040001,"3,195","Recoat and rehabilitation of the City's existing 500,000 gallon  elevated storage tank and replacement of vent on existing  250,000 gallon elevated storage tank.",PDC,"$525,000.00",70%,,,
145,20,14375,Dublin,M,TX0720001,"4,207","Proposed project will replace existing 14"" water supply line.",PDC,"$2,994,500.00",70%,Yes-BC,"$2,316,000.00",
146,20,14464,San Diego MUD # 1,D,,"4,753","Rehabilitation of the existing elevated and ground storage for  the San Diego MUD facilities. Replace 2-inch line with a 6- inch line from Well 7, and replace asbestos gaskets/line for  11,000 lf of 12- inch water main. Asbestos lines are a high  priority for removal and considered an emerging contaminant.  Rehabilitate broken chlorine sheds due to safety risks.",PADC,"$4,160,000.00",70%,,,
147,20,14410,Dean WSC,W,,"5,907",Construction of a new elevated storage tank at an existing  pump station.,PDC,"$2,858,500.00",,,,
148,20,14536,Raymondville,M,tx2450001,"11,284","The City of Raymondville is proposing to remove and replace  approximately 15,000 LF of existing waterlines",PDC,"$3,146,295.00",70%,,,
149,20,14554,Hidalgo,M,TX1080021,"12,200",0.5 MG Elevated Storage Tank Project,PDC,"$4,477,000.00",70%,,,
150,20,14681,Palo Pinto Co MWD # 1,D,TX1820075,"15,096",The Brazos Pump Station and Hilltop WTP is suffering from  aging infrastructure. A condition assessment of the facilities  was performed and identified several elements for upgrading  and replacing.,DC,"$11,779,000.00",70%,,,
151,20,14476,San Benito,M,,"24,371",City of San Benito Proposed Water System Improvements,PDC,"$5,714,424.00",70%,,,
152,20,14550,Military Highway WSC,W,,"46,000",Military Highway Water Supply Corporation will be performing  needed repairs on ground storage tanks at four existing site  locations. Total of 8 ground storage tanks,PDC,"$2,201,000.00",70%,,,
153,20,14515,Covington,M,,570,The purpose of this project is to replace/upsize undersized  water mains to improve water flow/pressure. This project will  also include replacement of lead service lines. Covington is  experiencing between 25-35% water loss in any given month.,PDC,"$300,000.00",,,,
154,18,14508,Hays County,C,,"213,366","Jacob’s Well is a karst spring, which originates from the  Middle Trinity Aquifer. It is located in the Cypress Creek  watershed in Wimberley, Texas. In the past, the spring has  stopped flowing due to prolonged drought exacerbated by  pumping influences in the areas that surround it.  A problematic well has been identified as the primary  controllable source of the problem. This project proposes to  decommission this problematic well and replace it with a new  well at a location that will not cause the same problem. The  well’s move and replacement below the Tom Creek Fault,  based on scientific and engineering analysis suggests that  healthy, consistent spring flow will be restored and preserved  long term.",ADC,"$7,353,841.10",,,,
155,18,14449,Danbury,M,TX0200011,"1,671",The City has an aging and deteriorating water system with no  remaining alternatives for water supply.  The City is proposing  to refurbish and update its water infrastructure to provide  better and more efficient water services as well as provide  water supply redundancy and disaster preparedness.,PDC,"$7,410,000.00",,Yes-BC,"$1,420,000.00",
156,18,14433,Santo SUD,D,TX1820010,"2,775",The proposed project includes improvements to various  portions of the water system to bring the system into  compliance with TCEQ requirements and provide capacity for  future growth. An asset management plan will be prepared as  part of this project.,PDC,"$11,572,000.00",,Yes-BC,"$11,572,000.00",
157,18,14455,Corix Utilities,P,,"3,513","Improvements to the distribution system including line  replacement, pump station improvements, elevated storage  tank improvements, and additional water production.",PDC,"$30,536,000.00",,Yes-BC,"$30,536,000.00",
158,17,14439,Knollwood,M,,590,"This project will include replacing/improving undersized water  mains in the City, replacing lead service lines and installing  new isolation valves to improve operation and maintenance.",PDC,"$300,000.00",,,,
159,17,14395,Springtown,M,,"5,500",This project consists of installing smart water meters and  repairing leaking water mains.,DC,"$4,958,750.00",,Yes-BC,"$4,958,750.00",
160,16,14608,Hidalgo Co DD #  1,D,,"180,000","Planning, Design, Permitting and Construction of a 1 MGD  Water Treatment Plant with intake pump station, reservoir  and distribution system.",PDC,"$25,759,700.00",,Yes-BC,"$25,759,700.00",
161,16,14506,Penelope WSC,W,,206,"Replace old, deteriorated and under capacity water mains.",PDC,"$300,000.00",,,,
162,16,14398,New Fairview,M,,206,"The City does not currently own public water infrastructure nor provide water to anyone. At present, small water supply corporations provide water to residences and businesses that do not have private groundwater wells within the city. However, these small co-ops are unable to meet the demands of growth occurring within the City. Therefore, the City wishes to obtain a CCN and construct infrastructure for providing public water to meet the needs of the City moving forward.",PADC,"$36,650,000.00",,,,
163,16,14416,Creedmoor Maha WSC,W,TX2270008,"9,728",The Twin Creek subdivision currently has undersized lines  that do not meet TCEQ requirements for serving the existing  customers. These lines also are in conflict with an upcoming  Travis County drainage project.,PADC,"$2,753,884.00",,,,
164,15,14457,Corix Utilities,P,,117,Addition of a well to increase system capacity.,PDC,"$1,779,000.00",,,,
165,15,14503,Southlake,M,,"31,265","The City has numerous existing water system components  that were installed prior to Jan 4, 2014 and therefore contain  small amounts of lead acceptable by code and statute prior to  that date. This project aims at replacing each of those  components so the City's water distribution system is 100%  free of any components or parts with any lead content.",AC,"$14,497,530.00",,,,
166,15,14378,Nueces River Authority,D,,"304,347",Water Resource and Flood Mitigation Planning Study,P,"$450,000.00",,,,
167,15,14535,Nueces River Authority,D,,"304,347",Water Resource and Flood Mitigation Planning Study,P,"$450,000.00",,,,
168,15,14393,Travis County,C,,"1,226,805",Travis County is interested in making water main  improvements to serve businesses and homes gain or  improve their water service.,DC,"$5,350,000.00",,,,
169,15,14443,Travis County,C,,"1,226,805",There are numerous areas within Travis County where  drinking water systems are completely inadequate. This  project will seek to address these inadequate systems and  make physical improvements to improve water service to the  residents.,DC,"$6,000,000.00",,,,
170,14,14412,Mooreville WSC,W,TX0730015,142,"The Mooreville WSC (MWSC) water distribution system and  single-phase high service pump station is old and has  reached the end of its useful life. The booster pump station is  undersized. The pump station must be upgraded to meet  TCEQ requirements of 1.5 gpm per connection (currently 108  gpm). Larger pumps require 3-phase power at the pump  station using phase converters.  In addition, a new diesel  standby power generator and new 2,000-gallon hydro- pneumatic pressure tank is required as well. The existing  distribution system is undersized, old and suffers from  significant water loss and frequent breakages. The proposed  project will replace all of MWSC’s distribution mains and will  upsize those mains that that are currently undersized and  result in poor water pressures and flows. The proposed  project will construct approximately 21,500 LF of new 4-inch  water mains, 10,500 LF of new 3-inch water mains, and  29,000 LF of new 2-inch water mains.",PADC,"$3,959,250.00",,,,
171,14,14496,Acton MUD,D,,"22,643",AMUD is proposing water system improvements to address  growth in the distribution system which includes upgrading a  main arterial distribution main in the system to areas which  are currently limited by the size of main.  Several areas also  require the extension of main lines to provide additional  pressure in areas where future developments are anticipated.,PDC,"$9,581,000.00",,Yes-BC,"$9,581,000.00",
172,14,14599,Wickson Creek SUD,D,,"22,644","This project will provide groundwater supply, treatment,  storage, high service pumping, and piping to deliver potable  water from an existing well to the existing distribution system.",PADC,"$20,963,600.00",,,,
173,14,14401,San Jacinto RA,D,TX1700197,"112,439",The existing wholesale 16/24-inch PVC water transmission  line along Woodlands Parkway between Carlton Woods Dr.  and FM 2978 which was installed between 2000 and 2003  has experienced nearly 30 failures between 2007 and 2021.   This project will replace the existing water line with new water  line pipe.,ADC,"$16,200,000.00",,,,
174,13,14387,Carl's Corner,M,,199,"The city's water well (State Well Number 32-64-203) only  produces 10 gallon per minute to serve 76 connections.  This  amount is woefully short of the TCEQ requirement of 0.6 gpm  per connection.  The city desires to increase its water supply  by constructing a new water well, or if necessary to obtain  other adequate water supply or emergency interconnection.",C,"$1,614,124.00",,,,
175,13,14623,"Seguro Water Co., LLC",P,TX2330051,201,"The ground storage tank has a significant leak, second water  well has been idle due to an equipment failure for  approximately 8-10 years and residents continue to install  septic systems and water wells jeopardizing the ground water  quality.",PADC,"$93,900.00",,,,
176,13,14419,Thorndale,M,,"1,263","Construction of new water well, transmission line from new  water well, water treatment plant improvements, and asset  management plan",PADC,"$14,396,000.00",,,,
177,13,14522,Laredo,M,,"259,151",Construction of the booster station in South Laredo and a  3MG elevated storage tank  in the sports complex area. This  is to meet TCEQ water storage requirements and pumping  capacity.,DC,"$27,500,000.00",,,,
178,13,14575,Laredo,M,,"259,151",The proposed Unitec Elevated Storage Tank will assist the  City in maintaining pressure in the Unitec/Hachar/Reuthinger  Industrial Parks and to meet the elevated storage  requirements for the El Pico SWTP Pressure Zone.,DC,"$6,750,000.00",,,,
179,13,14556,Swenson WSC,W,,38,"For this project, Swenson Water Supply Corporation (WSC)  will be making improvements to their high service pump  station and ground storage tank (GST) that serves their 30  customers.",PDC,"$1,684,000.00",,Yes-BC,"$1,684,000.00",
180,13,14528,Trent,M,,425,"Replacement of various portions of the City’s potable water  distribution pipeline system, valves, and fire hydrants.",PDC,"$1,530,000.00",,Yes-BC,"$1,530,000.00",
181,13,14437,Loraine,M,,602,Replacement of various portions of the City’s potable water  distribution pipeline and valves.,PDC,"$3,307,000.00",,Yes-BC,"$3,307,000.00",
182,13,14628,Chappell Hill WSC,W,TX2390003,645,Improvements throughout the entire water supply corporation  system.,PDC,"$4,668,735.00",,,,
183,13,14469,Keene,M,,"6,266","Replace approximately 16,000 linear feet of 2-inch through 8- inch water line. Install a new well and pump station facilities.",PDC,"$3,100,000.00",,Yes-BC,"$3,100,000.00",
184,13,14538,Orangefield WSC,W,,"6,531",The proposed project water system improvement will eliminate the use of private drinking water wells and address the human health needs by eliminating potential risks to public health and safety caused by the unsatisfactory water  quality.,PDC,"$8,900,000.00",,,,
185,13,14565,Abilene,M,TX2210001,"121,994","This project involves the replacement of existing water lines,  the installation of new water lines, the construction and/or  rehabilitation of pump stations, and storage tanks.",PADC,"$104,350,000.00",,,,
186,11,14421,Wilmer,M,,"4,772",The City of Wilmer is seeking to upgrade their water  distribution system to provide critical fire protection to  residents.,PADC,"$34,077,250.00",,,,
187,11,14624,Jim Hogg Co WCID # 2,D,,"4,838","Waterline replacement and street resurfacing of Maria Street  between David Street and Draper Street, Storage Tanks,  Chemicals, and Generators",PADC,"$3,898,691.00",,,,
188,11,14444,Creedmoor Maha WSC,W,TX2270008,"9,728",New Water Well,PDC,"$5,100,000.00",,,,
189,11,14445,Creedmoor Maha WSC,W,TX2270008,"9,728",CMWSC Water System Improvement to increase capacity  and serviceability,PADC,"$12,085,648.00",,,,
190,11,14447,Creedmoor Maha WSC,W,TX2270008,"9,728",The undersized lines currently have more connections than  allowed by TCEQ ?290.44(c) connection requirements.,PADC,"$2,837,385.00",,,,
191,11,14523,Laredo,M,,"259,151","Installation of 9,400 LF of 24'' water line along Loop 20 from  HWY 359 to Kansas City Southern Railroad and from HWY  359 to the new Cuatro Vientos Booster Station, providing  resiliency to the water system.",C,"$5,131,000.00",,,,
192,11,14568,Laredo,M,,"259,151","Installation of 9,000 LF of 16'' waterline on the west side of  Loop 20 from the Airport to US HWY 59, including borings, in  order to loop the system.",DC,"$7,168,000.00",,,,
193,11,14571,Laredo,M,,"259,151",Relocation of 24'' waterline on Loop 20 from Del Mar to  International. TXDOT US59 upgrade to IH69.,C,"$1,500,000.00",,,,
194,11,14572,Laredo,M,,"259,151",Replacing aging waterline infrastructure along Corpus Christi  St. from Cedar Ave. to Arkansas Ave.,C,"$4,500,000.00",,,,
195,11,14574,Laredo,M,,"259,151",Improve flow into the distribution system to maintain residuals  and pressure throughout the system and includes installation  of 24''pipe from South Laredo elevated storage tank to the  sports complex site.,DC,"$13,500,000.00",,,,
196,11,14576,Laredo,M,,"259,151","Construction of 12,000 LF of new 36"" Ductile Iron water main  from Jefferson WTP to intersection of Tilden Ave. and  Kearney St.",DC,"$30,736,000.00",,,,
197,10,14425,Johnson County SUD,D,TX1260018,16,"This project involves the installation and construction of  waterlines, pressure tanks and pump stations improvements  to bring two pressure planes into capacity compliance.",PADC,"$4,515,000.00",,,,
198,10,14679,Oglesby,M,TX0500003,484,"Development of a proposed new well for the City of Oglesby  to supplement their existing, dwindling water supply.",PADC,"$924,023.50",,,,
199,10,14470,Lone Oak,M,,786,The City of Lone Oak is experiencing issues with various  water lines in their system due to undersized lines and dead- ends.,PDC,"$600,000.00",,Yes-BC,"$600,000.00",
200,10,14517,Greater Texoma UA,M,,"1,374","New elevated storage tank planned for the Southmayd PWS,  will improve storage, pressure, and distribution of drinking  water. Upsizing of various 2-inch water lines to be identified in  planning phase.",PDC,"$2,424,200.00",,,,
201,10,14495,Loop 360 WSC,W,TX2270242,"1,770",The existing Loop 360 WSC Water Treatment Plant is over  thirty years old and many of the elements in the plant are in  need of replacement or improvement.,DC,"$8,481,414.00",,,,
202,10,14415,BCY WSC,W,TX0010018,"2,772","Planning, property acquisition, design, bidding, and  construction of a new drinking water well and new elevated  water storage tank.",PADC,"$3,878,000.00",,,,
203,10,14448,Greater Texoma UA,M,,"43,654",GTUA/City of Sherman Water System Improvements,C,"$2,785,875.00",,,,
204,10,14383,Johnson County SUD,D,TX1260018,"163,475","This project involves the installation and construction of  waterlines, storage tanks and pump stations to serve two  pressure planes.",PADC,"$26,000,000.00",,,,
205,10,14376,Austin,M,TX2270001,"1,053,756",The Center Street Pump Station will be replaced with a new  pump station including electrical improvements to bring the  station up to current design standards.,C,"$23,945,740.00",,,,
206,10,14592,Austin,M,TX2270001,"1,053,756",Building an additional reservoir in the Southwest B Pressure  Zone and its associated transmission main. This project is  required to provide storage and resiliency in the pressure  zone.,C,"$9,366,900.00",,,,
207,10,14593,Austin,M,TX2270001,"1,053,756",The proposed South IH-35 Reservoir is planned as a 3- million-gallon elevated reservoir 100'-150’ in height and will  include foundational piping for a future pump station.,C,"$14,397,850.00",,,,
208,10,14595,Austin,M,TX2270001,"1,053,756","Project infrastructure includes 8,500 feet of 72-inch diameter water pipeline along McNeil Drive from the 84-inch Jollyville Transmission Main to the 54-inch Martin Hill Transmission  Main and multiple 24-inch transmission mains at Parmer Ln.",C,"$34,217,000.00",,,,
209,8,14588,Mission,M,TX1080008,"77,058",City of Mission new 6 MGD Water Treatment Plant will  expand the total production capacity of treated water from the  permitted 25.5 MGD production capacity to 31.5 MGD for the  City of Mission CCN.,PADC,"$23,370,000.00",,,,
210,8,14553,McAllen,M,,"143,258",This Project consists of facility improvements at the Northwest  Water Treatment Plant such as to increase Capacity by a  minimum of 10 MGD.  The current plan is to install a parallel  treatment train that will essentially double capacity of the  North Water Treatment Plant.,C,"$25,300,000.00",,,,
211,7,14502,Greenville,M,,"32,000","Due to unprecedented growth, the City of Greenville needs to  expand the current water treatment plant.  Due to limited  available land to expand at existing plant, a new plant will  need to be built to better serve current and future growth  areas.",C,"$40,500,000.00",,,,
212,6,14589,Pearsall,M,,"9,346",Phase 1 for compliance with upcoming lead and copper rule  changes. Complete inventory of all service lines in the City of  Pearsall to determine which lines include lead in accordance  with EPA/TCEQ requirements. Overall plan for remaining  steps for compliance with new rules.,P,"$170,000.00",,,,
213,6,14516,Blum,M,,434,The purpose of this project is to replace/upsize undersized  water mains and replace non-working isolation valves.,PDC,"$300,000.00",,,,
214,6,14544,Fort Worth,M,TX2200012,"890,050","The Fort Worth Water Department is currently inventorying  service material throughout the city and removing city-owned  lead service lines, resulting in partial lead service line  replacement.  The Fort Worth Department would like to  continue with the removal of lead service lines on the  customer-owned portion.   The United States Environmental Protection Agency (USEPA)  Lead and Copper Rule Revision (LCRR) recommends full  service lead line replacement.  The rule also defines a lead  service as any galvanized service material currently or  previously downstream of a lead service line.  In addition, the  rule also considers any unknown service line material as lead  as well.  This project will involve the replacement of  approximately 1,200 known customer-owned lead service  lines and known galvanized service lines requiring  replacement.",C,"$12,000,000.00",,,,
215,5,14685,Wolfforth,M,TX1520005,"5,771","The City of Wolfforth relies completely on groundwater for our  water supply.  We are experiencing unprecedented growth,  and in need of expanding our water supply.  We are  requesting funding to develop six new wells.",PADC,"$9,350,000.00",,,,
216,5,14604,North Alamo WSC,W,TX1080029,"6,052","To address low water pressure concerns in the service area  south of Donna, Texas, North Alamo WSC will construct  37,000 lineal feet of waterlines.",PADC,"$2,722,705.00",,,,
217,5,14557,McAllen,M,,"143,258",McAllen Public Utility proposes to install large diameter  transmission lines such as to improve efficiency of water  delivery throughout the service area.  This loan will also be  used to fund the construction of a new elevated water storage  tower.,C,"$6,750,000.00",,,,
218,5,14591,Austin,M,TX2270001,"1,053,756",This project will replace galvanized services found in Austin Water’s system on both the public and private side of the meter.,C,"$6,038,000.00",,,,
219,4,14590,Austin,M,TX2270001,"1,053,756","Installation of approximately 6,200 linear feet of 24” reclaimed  water main.",C,"$7,845,000.00",,,,
220,4,14397,San Jacinto RA,D,TX1700197,"112,439",This project includes the replacement of 12 and 16-inch  asbestos cement water transmission lines along Grogan's Mill  Road south of Woodlands Parkway.,ADC,"$8,950,000.00",,,,
221,4,14402,San Jacinto RA,D,TX1700197,"112,439",This project includes replacement of 12-inch asbestos cement  water transmission lines along Lake Front Circle and  Pinecroft Drive between Grogan's Mill Road and IH-45.,ADC,"$10,900,000.00",,,,
222,4,14438,San Jacinto RA,D,TX1700197,"112,439","This project includes replacement of 12-inch asbestos cement  water transmission lines along Grogan's Mill Road between  Research Forest Drive and Woodlands Parkway, Lake  Woodlands Drive between Grogan's Mill Road and Pinecroft  Drive, and Six Pines Drive between Timberloch Drive and  North Millbend Road.",C,"$6,200,000.00",,,,
223,3,14687,Wolfforth,M,TX1520005,"5,771",Wolfforth needs to increase our water treatment capacity to  address the needs of our growing city.  We also intend to  develop an Asset Management Plan as a part of this project  to assist us in the future.,PADC,"$16,600,000.00",,,,
224,3,14453,Corix Utilities,P,,345,Addition of a new automatic meter reading (AMR) system and  a new SCADA system.,PDC,"$1,127,000.00",,Yes-BC,"$1,127,000.00",
225,3,14485,Tioga,M,,"1,366","The project involves constructing a new high service pump  station,  500,000-gallon elevated storage tank, 250,000- gallon ground storage tank, chlorination equipment, and a  400 gpm water well at the airport road site. Additionally, line  extensions to connect the elevated storage tank into the  distribution system are included.",PDC,"$11,022,459.00",,,,
226,3,14602,North Alamo WSC,W,TX1080029,"8,723","North Alamo WSC is proposing to install a new raw waterline  from the Delta Regional Water Plant No. 7 to the Engelman  Irrigation District. The project will provide Water Plant No. 7  with a secondary source of raw water. The improvements  include the installation of approximately 18,000 lineal feet of  pipeline with two control structures, a metering structure, and  roadway crossings. The improvements will provide the  treatment plant with two sources of raw water.",PDC,"$5,027,850.00",,,,
227,3,14559,McAllen,M,,"143,258",This Project consists of improvements to existing Back-up  Power facilities at both our South and Northwest Water  Treatment Facilities.,C,"$6,750,000.00",,,,
228,2,14466,Graford,M,TX1820003,830,"Replace existing water lines, install a SCADA System and  radio read meters",PDC,"$500,000.00",,Yes-BC,"$500,000.00",
229,2,14385,Dallas,M,TX0570004,"1,736,651","Dallas Water Utilities (DWU) is planning to build  approximately 32 miles of 120/96-inch diameter treated water  transmission pipeline along southern Dallas County. The  Southwest Pipeline project (Project) will transfer treated water  from the East Side Water Treatment Plant (ESWTP) located  in Sunnyvale, Texas through the southern portion of the DWU  service area to the Summit Ground Storage Tanks (GSTs)  located in Cedar Hill.",C,"$73,300,000.00",,,,
