Rank,Points,Entity,PWS ID,Population,Project Description,Requested Phase(s),Total Project Cost
159,20.82,Somerville,TX0260002,1400,"The City of Somerville is planning to use these funds for preparation of the application, preparation of a GIS database of existing water services, a lead service line initial inventory, and lead service line replacement program. The project will include all planning, acquisition (none anticipated), design, and construction related to these activities. The City has not identified lead service lines at this time, but
knows that they do exist within their system and will require replacement.",PDC,2354050
160,20.74,Green Creek WSC,TX0720028,552,"This project consists of identifying lead service lines in the City's service area and
replacing service lines that contain lead.",PDC,776219
161,20.57,Rogers,TX0140004,1471,"Develop lead service line inventory by performing a historical records review of the documents identified by staff. This should include a review of building and plumbing codes, water main construction and inspection details, development plans, meter
records, and Tax Appraisal District of Bell County data for construction dates.",PADC,300000
162,20.44,Medina WSC,TX0100013,807,"Medina WSC is requesting funding for the Lead Service Line Inventory and Replacement. This project is to include the work required to identify the material of all the service lines and develop an inventory, planning and designing for all lead
service lines replacements, and site restoration required.",PDC,102660
164,20.39,Bonham,TX0740001,10386,Inventory exisiting water service line. Replacement of lead service line.,PADC,16898000
164,20.39,Harris Co FWSD # 1A,TX1010082,2560,"Inventory of service line material. Public communication of the inventory.
Replacement of lead service lines.",PC,3901800
165,20.26,Wolfe City,TX1160005,1480,"Inventory, Identify and Replace Lead Service Lines.",PDC,6872005
166,20.19,Crystal City,TX2540001,7128,"Inventory, identify and replace lead service lines.",PDC,11383200
167,19.93,Reid Road MUD # 2,TX1011928,4677,"Identify, Inventory and Replace lead service lines.",PADC,4380000
168,19.9,Lone Oak,TX1160006,601,"This project consists of identifying lead service lines in the City's service area and
replacing service lines that contain lead.",PDC,1439912
169,19.61,Freeport,TX0200005,12098,"Phase 2 -Sampling Plan, LSLR Plan, and Public Communications. Phase 3 -Further
Material Inspections.Phase 4 -Lead Service Line Replacement and Mitigation.",PC,2222224
170,19.59,Mexia,TX1470004,7459,"The proposed project will begin with the necessary research and field verification to
inventory all water service lines and classify them in accordance with EPA guidance. Following completion of the inventory, all service lines identified for replacement, will be replaced per EPA guidance.",PDC,9623658
171,19.5,Bayview MUD,TX0840010,1839,"An inventory of all service lines shall be completed by researching city and county
records for relevant data for the dates of installation and type of materials used. Focusing on pre-1986 construction, we will cross reference records with building permits and zoning requirements. In-field investigation shall also be completed if records do not exist to identify the type of material used for service lines. This would include potholing where necessary. All collected data shall be cataloged in ARC-GIS format along with coordinates for each service line in the system.",PDC,1002740
172,19.44,San Saba,TX2060001,3099,"Identifying lead service lines in the service area and replacing service lines that
contain lead.",PDC,6575000
173,19.37,Snook,TX0260017,680,"The City of Snook will hire a third-party contractor to gather information on all service lines, City and customer, regarding type of material the lines consist of. After an inventory is made from the gathered information, the City of Snook will replace any
identified lead service lines.",PDC,572000
174,19.36,Axtell WSC,TX1550016,1725,Locate and correct lead service lines in the Axtell W.S.C.,,100000
175,19.33,Era WSC,TX0490014,447,Inventory and then replace the communityÅfs lead service lines.,PDC,981800
176,19.32,Baylor County SUD,TX0120004,2658,"SUD is requesting funding to perform a lead service line inventory to meet TCEQ requirements. Following the inventory, a separate construction project would replace the service line and accessories between the water main line and customer's house
(service tap, corporation stop, service line, and meter stop).",PDC,5900000
177,19.22,Commodore Cove ID,TX0200033,356,"An inventory of all service lines shall be completed by researching city and county records for relevant data for the dates of installation and type of materials used. Focusing on pre-1986 construction, we will cross reference records with building permits and zoning requirements. In-field investigation shall also be completed if records do not exist to identify the type of material used for service lines. This would include potholing where necessary. All collected data shall be cataloged in ARC-GIS
format along with coordinates for each service line in the system.",PDC,339610
178,19.11,New Ulm WSC,TX0080014,492,"Create Inventory of all existing service lines. Replace all lead service lines and lead pigtails/goosenecks, and all galvanized service lines identified as requiring
replacement.",PC,257976
179,19.07,Palo Pinto WSC,TX1820004,573,"This project consists of identifying lead service lines in the CityÅfs service area and
replacing service lines that contain lead.",PDC,1462975
180,19.04,Pattison WSC,TX2370005,1461,Identify and/or replace lead Service lines.,PADC,100000
181,18.84,Danbury,TX0200011,1745,Identification and Removal of Lead Service Lines,PDC,454000
182,18.79,Brookesmith SUD,TX0250004,11985,"SUD is requesting funding to perform a lead service line inventory. Following the
inventory, a separate construction project would replace the service line and accessories between the water main line and customerÅfs house (service tap, corporation stop, service line, and meter stop).",PDC,19600000
183,18.68,Dalworthington Gardens,TX2200047,2330,"Project would include resources to inventory lines in the eligible area, and include
any acquisitions, agreements, and line replacement.",PDC,100000
184,18.66,Sunbelt FWSD - Oakwilde,TX1010022,7197,"Inventory of service line material. Public communication of the inventory.
Replacement of lead service lines.",PC,8317200
186,18.62,Lower Valley WD,TX0710154,59049,"Inventory, identify and coordinate with the different local government's planning department for getting the permits and the residents who may have lead service lines on their properties so that they can have those lines replaced. Identify and replace
any lead pipes in the distribution system.",PDC,905000
186,18.62,New Home,TX1530004,326,"An inventory of all service lines shall be completed by researching city and county records for relevant data for the dates of installation and type of materials used. Focusing on pre-1986 construction, we will cross reference records with building permits and zoning requirements. In-field investigation shall also be completed if records do not exist to identify the type of material used for service lines. This would include potholing where necessary. All collected data shall be cataloged in ARC-GIS
format along with coordinates for each service line in the system.",PDC,295495
187,18.29,NW Harris Co MUD # 24,TX1012071,1200,"Identify, Inventory and Replace lead service lines.",PADC,1591780
188,18.13,Mount Pleasant,TX2250001,16113,"Planning services for water service line inventory of all service lines (public and
private) connected to the public water distribution system.",P,166407
189,17.88,Hempstead,TX2370001,6687,"The project will include all planning, acquisition (none anticipated), design, and
construction related to lead and copper service line initial inventory, and lead and copper service line replacement program.",PDC,6846950
190,17.84,Fort Griffin SUD,TX2090005,2800,"This project consists of identifying lead service lines in the CityÅfs service area and
replacing service lines that contain lead.",PDC,3918462
191,17.79,West Tawakoni,TX1160012,3168,"This project consists of identifying lead service lines in the City's service area and
replacing service lines that contain lead.",PDC,5855951
192,17.68,Port Arthur,TX1230009,53818,"The city is requesting funding to conduct a lead service line inventory and costs
associated with the replacement of found lead sevice lines.",PDC,51878565
193,17.56,Hondo,TX1630002,10542,"Inventory lead service lines in system. This will consist of household surveys, records
research, and field verification. Replace all lead service lines, or other service lines requiring replacement under TCEQ / EPA protocols.",PDC,4681000
194,17.52,Riesel,TX1550040,1308,"The City of Riesel is requesting funds to assist in completion of the required
inventory summary.",P,57500
195,17.5,Tolar,TX1110012,881,"The funds will be used to plan, design, and construct the replacement of current lead service lines throughout the City of Tolar city limits. Service lines will be inspected,
with a GIS dashboard created to show the location of found lead service lines.",PDC,99320
196,17.36,DeLeon,TX0470002,2171,"This project consists of identifying lead service lines in the City's service area and
replacing service lines that contain lead.",PDC,3949232
197,17.35,Leon Valley,TX0150178,7794,"Identify and develop an inventory, planning and designing for all lead service lines
replacements, and site restoration required.",PDC,427240
198,17.31,Brazoria,TX0200003,4395,"Prepare a GIS database of existing water services, a lead service line initial inventory, and a lead service line replacement program. The project includes all planning, acquisition (although none is anticipated), design, and construction related
to these activities.",PDC,3250200
199,17.3,Columbus,TX0450001,3739,"The project is to identify and replace existing lead service lines within the City of Columbus. There are a total of 1,523 residential service lines in the City of
Columbus. Based on CAD records the number of homes built prior to 1988 is 1,377.",PDC,2883012
200,17.28,Oak Ridge North,TX1700025,3600,Inventory and Replace Lead Service Lines.,DC,97500
202,17.01,Clyde,TX0300002,3811,"City is requesting funding to perform a lead service line inventory to meet TCEQ requirements. Following the inventory, a separate construction project would replace the service line and accessories between the water main line and customerÅfs house
(service tap, corporation stop, service line, and meter stop).",PDC,8000000
202,17.01,Giddings,TX1440001,7428,"The City of Giddings is planning to use these funds for preparation of the application,
preparation of a GIS database of existing water services, a lead service line initial inventory, and lead service line replacement program. The project will include all planning, acquisition (none anticipated), design, and construction related to these activities. The City has not identified lead service lines at this time.",PDC,6907200
203,16.98,Merkel,TX2210002,3609,"This project consists of identifying lead service lines in the CityÅfs service area and
replacing service lines that contain lead.",PDC,4497952
204,16.86,Sun WSC,TX2210015,3888,"WSC is requesting funding to perform a lead service line inventory. Following the inventory, a separate construction project would replace the service line and accessories between the water main line and customerÅfs house (service tap,
corporation stop, service line, and meter stop).",PDC,5625000
205,16.83,El Campo,TX2410002,12290,"The City of El Campo is planning to use these funds for preparation of the
application, preparation of a GIS database of existing water services, a lead and copper service line initial inventory, and lead service line replacement program. The project will include all planning, acquisition (none anticipated), design, and construction related to these activities. The City has not identified lead service lines at this time but knows that they do exist within their system and will require replacement.",PDC,9746400
206,16.79,Millsap WSC,TX1840007,1080,"This project consists of identifying lead service lines in the CityÅfs service area and
replacing service lines that contain lead.",PDC,1988496
207,16.77,Hull FWSD,TX1460012,849,"The District will procure an engineering firm to assist the City in building and
managing a location-based inventory as required by the EPA/TCEQ. The engineering firm will work with the District to identify the service line material, and will help the staff ensure that the City will be in compliance in 2024 and beyond.",P,45710
208,16.76,Early,TX0250015,3087,"Identifying lead service lines in the CityÅfs service area and replacing service lines that
contain lead.",PDC,7275000
209,16.48,Harris Co MUD # 50,TX1010719,4743,"Inventory of service line material. Public communication of the inventory.
Replacement of lead service lines.",PC,6737700
210,16.43,Texarkana,TX0190004,38682,"This funding request is for the reimbursement of costs to conduct an inventory of the 13,773 domestic service lines within the Texas portion of TWU's service area. Upon completion of the senrice line
inventory and review of the data WU will be able to fully document the number of lead service lines within the water service area in Texas. With the information provided by the service line inventory TWU will then develop a plan to replace all water service lines containing lead, contaminated by lead, or suspected of being contaminated. TWU plan is to use a non-excavating inspection process to identify connections from the water main to the water meter and from the water meter to the point beginning of the customer service line for
locations that were either installed prior to July 1, 1988, or that the actual installation date could not be verified as being prior to July 1, 1988. With this information a plan will be developed to replace all portions of the service line requiring replacement to
meet the lead-free requirement.",PAD,6380029
211,16.32,Sunbelt FWSD - Northline,TX1010117,3225,"Inventory of service line material. Public communication of the inventory.
Replacement of lead service lines.",PC,4603800
212,16.25,Montgomery Co MUD # 7,TX1700169,12291,"Inventory, Identify and Replace Lead Service Lines.",PC,1782938
213,16.19,Reid Road MUD # 1,TX1010872,6693,"Inventory of service line material. Public communication of the inventory.
Replacement of lead service lines.",PC,5194100
215,15.92,Caldwell,TX0260001,4358,"The City of Caldwell is planning to use these funds for preparation of the application,
updating the existing GIS database of the water services, a lead and copper service line initial inventory, and lead and copper service line replacement program. The project will include all planning, acquisition (none anticipated), design, and construction related to these activities. The City has not identified lead service lines at this time, but knows that they do exist within their system and will require replacement.",PDC,5835350
215,15.92,Keller,TX2200096,45400,"Identify, Inventory and Replace Lead Service Lines.",PC,8047464.7
216,15.91,Bandera,TX0100012,3066,"Identify, Inventory, Planning and Design for all lead service line replacements and
site restoration.",PDC,383920
217,15.9,North Hunt SUD,TX1160039,4509,"GPS Data Collection / GIS mapping. This is needed to start identifying any lead
services lines.",,23022.62
218,15.79,Elm Creek WSC,TX1550026,4620,Inventory of all service lines.,PDC,5970162
219,15.47,Needville,TX0790001,4560,"Identify, inventory, and replace lead service lines connected to the City of Needville
Water System.",PDC,1980000
220,15.23,Orange Co WCID # 1,TX1810005,14769,"Inventory as required by the EPA/TCEQ. The staff at 120 Water Inventory Solutions with work with District staff through submission to TCEQ and will help staff ensure
that the District will be in compliance in 2024 and beyond.",PDC,213864
222,15.2,Fort Bend Co MUD # 131,TX0790450,1974,"The District will complete the required Lead Service Line Inventory for the entire
District water facilities.",D,47500
222,15.2,Tomball,TX1010026,12924,"An inventory of all service lines shall be completed by researching city and county
records for relevant data for the dates of installation and type of materials used. Focusing on pre-1986 construction, we will cross reference records with building permits and zoning requirements. In-field investigation shall also be completed if records do not exist to identify the type of material used for service lines. This would include potholing where necessary. All collected data shall be cataloged in ARC-GIS format along with coordinates for each service line in the system.",PDC,5936191
223,15.17,Humble,TX1010014,15616,"Inventory, identify and replace all lead service lines.",PDC,13722500
224,15.07,Nueces Co WCID # 3,TX1780005,13200,Identify and Replace Lead Service Lines.,PDC,16913607
225,15,Bellville,TX0080001,6222,"The City of Bellville is planning to use these funds for reimbursement of preparation of the application, preparation of a GIS layer for water services, a lead and copper service line initial inventory, and lead and copper service line replacement program. The project will include all planning, acquisition (none anticipated), design, and construction related to these activities. The City has not identified lead service lines at this time, but knows that they may exist within their system and will require
replacement.",PDC,6966700
226,14.98,Moffat WSC,TX0140028,4182,"The WSC has identified those homes to survey and verify service line material going
to each home for possible replacement.",PDC,200000
227,14.9,Coryell City WSD,TX0500013,5628,"An inventory of all service lines shall be completed by researching city and county records for relevant data for the dates of installation and type of materials used. In-field investigation shall also be completed if records do not exist to identify the type of material used for service lines. This would include potholing where necessary. All collected data shall be cataloged in ARC-GIS format along with coordinates for each
service line in the system.",PDC,19010005
228,14.73,Abernathy,TX0950001,2865,"An inventory of all service lines shall be completed by researching city and county
records for relevant data for the dates of installation and type of materials used. Focusing on pre-1986 construction, we will cross reference records with building permits and zoning requirements. In-field investigation shall also be completed if records do not exist to identify the type of material used for service lines. This would include potholing where necessary. All collected data shall be cataloged in ARC-GIS format along with coordinates for each service line in the system.",PDC,1872100
229,14.5,Blanco,TX0160002,3192,"Inventory, Identify and Replace Lead Service Lines.",PDC,459980
231,14.23,Harris Co MUD # 257,TX1012985,3492,"District will undergo an inventory of their service lines to analyze whether lead service lines are present or have been present. The inventory will also include field
investigation.",DC,72500
231,14.23,Whitesboro,TX0910010,4192,"Inventory and Identify Lead Service Lines. Inform customers of lines that need
replacement.",PC,72500
233,14.2,Blue Ridge West MUD,TX0790051,7428,"The District will undergo an inventory of their service lines to analyze whether lead service lines are present or have been present. The inventory will also include field
investigation.",DC,133000
233,14.2,Wells Branch MUD,TX2270227,22062,"Identify service lines across the District in accordance with the revised Lead and
Copper Rule and to develop a comprehensive inventory of all service lines.",P,204550
234,14.16,Beaumont,TX1230001,118129,"Complete Service Line Inventory and replace any lead service line or galvanized
requiring replacement.",PDC,5274000
235,14.02,Sunbelt FWSD - Woodland Oaks,TX1010758,4527,Inventory of service line material. Public communication of the inventory. Replacement of lead service lines.,PC,3278000
236,13.93,Baytown,TX1010003,83701,"Evaluating lead concentrations following the new 5th liter sampling protocols, completing the development of the lead service line inventory, and developing plans
for public education and outreach, and lead service line (LSL) replacement.",PDC,23972800
237,13.84,Andrews,TX0020001,14109,"An inventory of all service lines shall be completed by researching city and county
records for relevant data for the dates of installation and type of materials used. Focusing on pre-1986 construction, we will cross reference records with building permits and zoning requirements. In-field investigation shall also be completed if records do not exist to identify the type of material used for service lines. This would include potholing where necessary. All collected data shall be cataloged in ARC-GIS format along with coordinates for each service line in the system.",PDC,7334030
238,13.64,Montgomery Co MUD # 36,TX1700139,4422,"Inventory, identify and replace lead service lines as required by the updated
regulations in the Lead and Copper Rule Revisions.",PC,1702807
239,13.59,Cross Country WSC,TX1550059,3789,"An inventory of all service lines shall be completed by researching city and county
records for relevant data for the dates of installation and type of materials used. Focusing on pre-1986 construction, we will cross reference records with building permits and zoning requirements. In-field investigation shall also be completed if records do not exist to identify the type of material used for service lines. This would include potholing where necessary. All collected data shall be cataloged in ARC-GIS format along with coordinates for each service line in the system.",PDC,12122415
240,13.48,East Central SUD,TX0150138,16038,"The proposed project includes the identification, inventory, and mapping of ECSUDÅfs existing water system service line network. To complete the identification and inventory of the ECSUDÅfs service lines, this project includes the purchase of equipment, ECSUD staff time, and use of subcontractor(s). No design or construction
services are anticipated to be required.",P,716100
241,13.45,Boerne,TX1300001,22287,"Project is to complete a service line inventory and replace identified lead service
lines in accordance with the Lead and Copper Rule Revisions. Project will prioritize replacement of lead service lines starting with schools and daycare facilities, and then replace the remaining lead service lines found in the system.",PDC,2100000
242,13.4,Bertram,TX0270012,3330,"The proposed project includes the identification, inventory, and mapping of BertramÅfs
existing water system service linework. The project would also include design and construction services to replace any identified lead service lines.",PDC,521010
243,13.36,Crystal Clear SUD,TX0940015,15924,"Identify, Inventory and Replace Lead Service Lines",PDC,3873350
244,13.34,G & W WSC,TX0930048,1962,"The proposed project consists on identifying and replacing lead services lines within
the service area of G&W Water Supply Corporation in Waller and Grimes Counties.",PDC,500000
245,13.32,Varner Creek UD,TX0200070,3111,"Identify all service lines and determine lead classification. Prepare the Service Line Inventory for submittal to the TCEQ. Survey service lines determined to contain lead.
Prepare plans for the replacement of lead lines.",PDC,730823.5
246,13.28,Galveston Co WCID # 1,TX0840001,32214,"Identify and replace lead infused galvanized service line piping (both public and
private side)",DC,3635000
247,13.26,Alvin,TX0200001,26780,"Phase 2 - Sampling Plan, LSLR Plan, and Public Communications, Phase 3 - Further Material Inspections . Phase 4 - Lead Service Line Replacement and Mitigation.",PC,3136616
248,12.86,Parkway UD,TX1010750,7278,"Inventory, Identify and Replace Lead Service Lines.",DC,92500
249,12.82,Harris Co MUD # 149,TX1011296,3675,"District will undergo an inventory of their service lines to analyze whether lead service lines are present or have been present. The inventory will also include field
investigation.",DC,65000
250,12.65,Castroville,TX1630005,3229,"The project is to identify the material of existing service lines, replace any service
lines that are identified to be lead material.",PDC,2796250
251,12.16,Manor,TX2270002,11886,"Develop lead service line inventory by performing a historical records review of the documents identified by staff. This should include a review of building and plumbing codes, water main construction and inspection details, development plans, and
Travis Central Appraisal District data for construction dates.",PADC,80000
252,12.04,Hurst,TX2200054,38510,"The City developed a phased approach. Phases 1 and 2 are in progress; The City is seeking funding for future Phases 3 through 5. Phase 3 . Field Verification of Service Line Material Predictive modeling will be developed and used to identify priority areas for field inspections. This phase will include field work through a contractor, program management and data management. Phase 4 . Sample Plan Update, Preliminary Sampling, Monitoring and LSLR Plan In this phase, the sampling plan will be updated per the new compliance requirements, and sampling to observe lead concentrations will be conducted before the compliance deadline. Based on the results of this effort, the City may proactively implement a lead service line replacement program. A LSLR Plan will be developed as required for compliance with the LCRR outlining the goals, customer coordination, funding, and other considerations for future line replacement activity. Phase 5 . Lead Service Line Replacement. This phase covers construction costs and program oversight required to replace lead service lines, lead fittings and lead connectors identified in the system during Phases 2 and 3. It includes activities required to support the replacements, such as design, legal measures and public communication, and additional water sampling required to monitor the effectiveness of the line replacements.",PC,4164629
253,12.02,Houston,TX1010013,2202531,"The proposed project will survey an estimated 494,856 household service line connections throughout the City of Houston to identify and replace lead service lines
within the entire service area.",PC,30000000
254,11.22,Corpus Christi,TX1780003,325733,"Assessment of service lines in the CityÅfs service area, development of an inventory
to satisfy EPA and TCEQ requirements, and replacement of lead service lines as identified in the assessment.",PDC,1537500
255,10.65,Johnson County SUD,TX1260018,50054,"This project will involve the use of all available data to inventory and locate lead or
potentially lead service lines. Lead service lines will be replaced and the potential lead service lines will be verified and replaced if composed of lead.",PC,1500000
256,10.28,Arlington,TX2200001,383950,"The first steps of this program involve data collection and processing, which include assigning pipe installation dates based on multiple historical records, gathering documentation on City ordinances and plumbing codes, custom application configuration for collecting meter GPS coordinates and performing field inspections and developing a web mapping tool for reporting material types to residents as required by the LCR. Should any water service lines be found to require replacement, the City will promptly prepare engineering plans and specifications, obtain the
necessary agreements, and bid the project for construction.",PC,6438000
257,9.81,Green Valley SUD,TX0940020,39258,"The proposed project includes the identification, inventory, and mapping of GVSUDÅfs existing water system service linework. The project would also include purchasing applicable and effective equipment, as well as design and construction services to
replace any identified lead service lines.",PDC,5740800
258,9.23,North Richland Hills,TX2200063,71600,"The City will be required to inventory and survey an estimated 23,000 water service
lines including the City's and customer's service lines that are 2 inch and smaller. Additionally, there will be professional services required to assist with GIS and Public Notification portions of the project.",PDC,3045000
259,7,Austin,TX2270001,1044405,"This project will replace galvanized services found in Austin Water's system on both
the public and private side of the meter.",C,6000000
260,19.02,Cleveland,TX1460001,8230,"The City of Cleveland Public Works Department will utilize City staff to identify the service lines and the line material for the inventory study that is due in October 2024. The staff will utilize a combination of hand digging and hydro excavation to identify the service lines. During this period, the City will conduct multi-pronged public outreach to inform the public about the project. Therefore, this request only involves the inventory phase. The purpose is to verify any service lines that could be a potential health risk to the public due to the lead content in the lines. Data from the field will be compiled and used to create exhibits and data on where any service lines
are located. GIS mapping is anticipated to be used.",PC,280000
261,44.34,Seagraves,TX0830001,2417,"The City of Seagraves will work with our consulting Engineer to perform a full inventory of all 2022 service lines in the service area. It is expected that up to 1800 service lines will require physical inspection to determine the presence of lead. Once
the inventory is complete, the replacement will be designed and constructed.",PDC,1649853
262,41.11,Pecos,TX1950001,12480,"The City of Pecos will work with our consulting Engineer to perform a full inventory of all 4270 service lines in the service area. It is expected that most of these service lines will require physical inspection to determine the presence of lead. Once the
inventory is complete, the replacement will be designed and constructed.",PDC,6671485
