Rank,Points,PIF #,Entity,"Owner
Type",PWS ID,Population,Project Description,"Requested
Phase(s)",Total Project Cost,"Disadv
%","Green
Type",GPR,"Related PIF
#'s"
102,41.5,16563,Three Community WSC,W,TX1070071,"1,077","The System has a history of water leaks and low pressure as a
result of “piece meal” additions to the system over time.  This is
primarily due to undersized lines and old-line materials (""grey
pipe"").  Additionally, the existing wells, service pumps and
pressure tanks are not able to produce sufficient water to meet
the current system demands, as required by the regulatory
agency, TCEQ.",PADC,"$19,111,600.00",70%,Yes-CE,"$11,970,000.00",
103,41,17099,"Mobile Home Management
LLC",P,TX1520232,99,"The system has been receiving Nitrate levels above MCL since
3Q 2023.  Attempts to blend water have only been marginally
effective.  TCEQ has ordered system improvements within 3
years to remove Nitrates.",PDC,"$50,000.00",,,,
104,41,17071,Lott,M,TX0730001,644,"Make improvements to the City's water system including a new
well, replacing old, failing distribution lines, and rehabilitating
existing storage facilities.",PADC,"$10,215,000.00",70%,,,
105,40.5,16663,Pineland,M,TX2020002,994,"Construction of a pump station and storage facilities at the Well 3
site to provide redundant system pressure maintenance during
times when the existing elevated storage tank is taken offline for
repair and maintenance. Proposed facility will also support
pressure maintenance in the northern part of the City during
normal operations.",PDC,"$2,009,400.00",70%,,,
106,40.5,16967,Bangs,M,TX0250001,"2,964",This project consists of an interconnect with Brookesmith SUD.,PADC,"$1,350,000.00",70%,,,
107,40.5,16616,Mineola,M,TX2500002,"4,823","Upgrades to water distribution system, create asset management
plan",PDC,"$5,500,000.00",70%,,,
108,40.5,16799,Hidalgo,M,TX1080021,"12,200","Construction of new 5.0 MGD Conventional Surface Water
Treatment Plant.",PADC,"$16,350,000.00",70%,,,
109,40,16827,Rochester,M,TX1040002,248,"This project involves backup power generation, an AMR meter
system, and the replacement of old water line.",PDC,"$645,000.00",70%,Yes-CE,"$120,000.00",
110,40,16997,"Holiday Harbor Gold Coast
WSC",W,TX1580006,249,Water System Improvements,PADC,"$2,980,000.00",70%,,,
111,40,16848,Rule,M,TX1040003,597,"This project involves the replacement of old cast iron lines with
new lines, an AMR meter system, EST rehab, and backup power
generation.",PDC,"$975,100.00",70%,Yes-CE,"$180,000.00",
112,40,16956,Chatt WSC,W,TX1090020,927,Chatt WSC Watermain Improvement,PDC,"$2,185,427.00",70%,,,
113,40,16795,Garrison,M,TX1740002,"1,001","Replace existing A/C lines with PVC, replace old meters with new
more accurate meters, replace failing GST, refurbish failing well,",PDC,"$16,601,200.00",70%,,,
114,40,16970,Rosebud,M,TX0730003,"1,077",Rosebud Watermain Improvements,PDC,"$1,016,881.00",70%,,,
115,40,16803,Ames-Minglewood WSC,W,TX1460005,"1,174",New waterlines,PDC,"$4,045,000.00",70%,Yes-BC,"$2,000,000.00",
116,40,16856,Westwood Shores MUD,D,TX2280016,"1,561","This project upgrades the water distribution system to improve
reliability and efficiency. Key tasks include leak testing, gate valve
replacements, electrical system upgrades (new Motor Control
Center), MCC building expansion, and yard piping installation.
These improvements modernize infrastructure, extend its lifespan
and enhance service reliability.",PDC,"$2,100,000.00",70%,"Yes-
Comb.","$2,100,000.00",
117,40,16906,South Jasper WSC,W,TX1210063,"2,721","New well, elevated storage, and production facility to serve the
western area.",PADC,"$6,694,000.00",70%,,,
118,40,16586,Colorado City,M,TX1680001,"3,973","Improvements to City's water distribution and water supply
infrastructure.",PADC,"$27,000,000.00",70%,,,
119,40,16966,Hillsboro,M,TX1090001,"8,221",Hillsboro Watermain Improvements,PDC,"$45,475,725.00",70%,,,
120,40,16809,Bellmead,M,TX1550001,"10,494","The City is in need of additional water supply for both redundancy
and to support industrial development. The City proposes a new
Groundwater Supply Well coupled with the necessary treatment,
storage and supply infrastructure.",PADC,"$11,281,000.00",70%,,,
121,39.5,16989,Caro WSC,W,TX1740007,"2,400","The proposed project shall consist of replacing and upgrading
major portions of the existing water system infrastructure includin
water lines, pump stations, water wells, disinfection systems, and
emergency generators. The proposed improvements are needed
to meet minimum TCEQ requirements for production capacity,
pumping capacity, pressure tank capacity, storage capacity, wate
line capacity and disinfection.",PADC,"$4,550,000.00",70%,Yes-BC,"$4,550,000.00",
122,38.5,16610,Sweetwater,M,TX1770002,"10,622","The City of Sweetwater (City) desires to enhance the reliability of
it’s water system by expanding the City’s groundwater well field
and prepare an asset management plan.",PADC,"$8,662,000.00",70%,Yes-BC,"$1,498,000.00",
123,37.5,16667,Johnson City,M,TX0160001,"1,952","The City of Johnson City has a serious water loss problem
because of leaking and deficient water pipes. This project will
endeavor to repair and/or replace these leaking pipes.",DC,"$8,000,000.00",70%,Yes-BC,"$8,000,000.00",
124,36,16577,Farwell,M,TX1850002,"1,425","The project scope includes project planning and asset
management, ground storage tank, and the development of a ne
wellfield for the City of Farwell. The project will include land
acquisition and the design and construction of associated water
transmission lines.",PADC,"$14,062,712.00",70%,,,
125,36,16590,El Tanque WSC,W,TX2140029,"3,000","The proposed project will replace the WSC’s existing 0.054 MG
bolted ground storage tank (GST) with a larger welded steel GST
plus replacement of older water liens and an asset management
plan.  The additional volume will provide the system with increase
buffer times during emergency situations when supply is restricte
from the wholesale supplier.",PADC,"$4,033,000.00",70%,Yes-BC,"$2,799,600.00",
126,36,16876,Eastland,M,TX0670002,"3,609","The proposed project will include the installation of new water line
to eliminate system leaks and reduce water loss.  An asset
management plan is also included.",PDC,"$3,558,000.00",70%,Yes-BC,"$520,000.00",
127,36,16609,Snyder,M,TX2080001,"11,104","The City of Snyder desires to enhance their water distribution
system by upgrading the existing residential metering system and
preparing an asset management plan.",PDC,"$5,963,200.00",70%,Yes-CE,"$5,963,200.00",
128,35.5,16725,De Berry WSC,W,TX1830006,989,"DeBerry WSC is facing leaks due to aging infrastructure. This
project aims to detect and monitor leaks, aiding in water
distribution line replacement planning and reducing water loss.",PC,"$480,000.00",70%,,,
129,35.5,16727,De Berry WSC,W,TX1830006,989,"The project proposed to improve water measurement and reduce
loss by replacing meters, meter boxes, and related components
with AMR/AMI technology. The number of replacements will
depend on available funding, and an asset management plan will
be developed.",PDC,"$1,255,000.00",70%,Yes-CE,"$1,255,000.00",
130,35,17019,Hubbard,M,TX1090002,"1,492","The proposed project will provide redundancy in the existing wate
supply system. The city has only one groundwater well with an
emergency interconnect with Post Oak SUD. The new water well
will provide additional, redundant supply to the system thus limitin
the use of the emergency interconnect with Post Oak SUD.",PADC,"$10,419,900.00",70%,,,
131,35,16572,Hutchins,M,TX0570012,"5,804","This is a Water Loss Mitigation Project. The rehabilitation of
leaking pipes and modernization improvements identified with this
project are imperative to address the overwhelming water system
challenges faced by the City of Hutchins, a disadvantaged
community just south of downtown Dallas.",DC,"$14,500,000.00",70%,Yes-BC,"$14,500,000.00",
132,34.5,17010,Wortham,M,TX0810003,980,"Provide treated water supply transmission line from Corsicana to
Wortham.",PADC,"$48,400,000.00",70%,,,
133,34.5,16882,Fort Davis WSC,W,TX1220001,"1,024","Groundwater Treatment System to address Radionuclide in
excess of the MCL for Gross Alpha",C,"$500,000.00",70%,,,
134,34,16729,De Berry WSC,W,TX1830006,989,"A project for electrical upgrades at each well and at the plant site
is proposed. This may include emergency generators, VFDs and
other necessary electrical items.",PDC,"$820,000.00",70%,Yes-BC,"$820,000.00",
135,34,17060,Lexington,M,TX1440002,"1,217",Smart Metering System and Prepare Asset Management Plan,PDC,"$1,900,000.00",70%,Yes-CE,"$1,900,000.00",
136,34,16607,Slaton,M,TX1520004,"5,858","The City of Slaton is proposing the installation of a new elevated
storage tank, two new groundwater wells with rehabilitation of
existing wells, and pump station rehabilitation and preparation of
an asset management plan.",PDC,"$14,125,000.00",70%,Yes-BC,"$14,125,000.00",
137,34,16581,Mexia,M,TX1470004,"7,459","Replacement of existing deteriorating and under sized cast iron
water lines in the water distribution system with new PVC water
lines.  These existing lines are leaking and leading to excessive
water loss and in the system.",PDC,"$13,832,500.00",70%,,,
138,33.5,16612,Winkler WSC,W,TX1750023,"1,344",Water Treatment Plant Expansion from 0.5MGD to 1.0 MGD,PDC,"$21,411,000.00",70%,Yes-BC,"$382,000.00",
139,33.5,16927,Hearne,M,TX1980004,"4,959","This is to engineer and build an elevated storage tank and a wate
well.",DC,"$9,127,000.00",70%,,,
140,33.5,16816,Brownwood,M,TX0250002,"18,862","The City of Brownwood (City) aims to enhance the water
distribution system by improving its existing elevated storage
tanks (ESTs) and a high service Pump Station (PS). The ESTs
are aging and need to be internally and externally repainted to
preserve the useful service life. The Existing PS only has 2 of 3
total pump installed and is looking to install a third pump to
increase the total operating capacity. Additionally, the City is
addressing water age issues by installing a control valve
downstream of the Brown County Water Improvements District
(BCWID) take point.",PDC,"$3,775,000.00",70%,Yes-BC,"$410,000.00",
141,33,16831,Covington,M,TX1090021,717,"The proposed project includes: A new well to increase system
capacity, a new pump station, existing pump upgrades;
Rehabilitation of transmission lines; Rehabilitation of distribution
lines; Proposed EST for a new development",PDC,"$13,185,000.00",70%,,,
142,33,16735,De Berry WSC,W,TX1830006,989,"The service area is experiencing aging infrastructure, water loss,
and operational challenges. This project aims to assess asset
conditions and develop a plan to enhance system reliability using
data from hydraulic modeling, leak detection, and other relevant
studies.",P,"$405,000.00",70%,,,
143,33,16752,De Berry WSC,W,TX1830006,989,"An additional water source will help with the supply of safe and
quality water for the community now and in the future. A planning
project to identify and connect to an alternate water source is
proposed.",PA,"$390,000.00",70%,,,
144,33,16757,De Berry WSC,W,TX1830006,989,"The aging pipelines in the service area require performance
evaluation for timely maintenance. This project proposes hydrauli
modeling to assess pipe upsizing and replacement needs. It may
include GIS mapping, flow studies, and related activities. A final
report will provide recommendations on pipeline upgrades to mee
demands.",P,"$220,000.00",70%,,,
145,33,16901,Sheridan WSC,W,TX0450016,"1,164","Pressure Storage Facilities Upgrades and Distribution System
Upgrades to Facilitate the Development of a Open
Interconnection with Lake Sheridan Estates",DC,"$4,000,000.00",70%,Yes-BC,"$12,000.00",
146,33,17055,Lake Palo Pinto Area WSC,W,TX1820069,"2,247","This project is targeted at making distribution system
improvements to bring the system in compliance with TCEQ
minimum line size requirements (30 TAC,290.44(c)).  It also
includes pump station improvements to eliminate an existing inlin
booster pump station, and replace old infrastructure, provide
better pressure maintenance for areas of the existing system, and
provide operational flexibility through SCADA improvements and
piping insulation at the Water Treatment Plant.",PDC,"$2,875,000.00",,Yes-BC,"$213,000.00",
147,33,17036,Paris,M,TX1390002,"24,476","Rehabilitation of water system by replacing leaking and
dilapidated water mains, updating treatment filtration systems, an
performing an overall system inventory and analysis.",PADC,"$9,380,104.00",70%,,,
148,32.5,17028,Anderson,M,TX0930016,40,"Water plant additions to Roans Prairie Water System of Anderson
Water Supply Company",PDC,"$473,000.00",70%,,,
149,32.5,16891,Roaring Springs,M,TX1730002,231,"Roaring Springs will be drilling a new production water well and
installing a new transmission line from the new well to the city's
standpipe. An asset management plan will be developed as part
of this project.",PADC,"$3,612,000.00",70%,,"$3,612,000.00",
150,32.5,16666,Streetman,M,TX0810016,333,"Construction of a treated water pump station, with storage facility,
and treated water transmission main.",PADC,"$5,407,600.00",70%,,,
151,32.5,16592,Grandfalls,M,TX2380003,395,"The City of Grandfalls (City) aims to enhance its water system by
upgrading the existing residential metering system and preparing
an asset management plan.",PDC,"$803,700.00",70%,Yes-CE,"$803,700.00",
152,32.5,17070,Lorenzo,M,TX0540002,964,"The City of Lorenzo is proposing to clean, sandblast and recoat
their existing ground storage facilities along with install isolation
valves throughout the City.",DC,"$1,118,250.00",70%,,,
153,32.5,16857,Whitney,M,TX1090006,"2,308","The project has four primary components: 1.) Replacement of a
significant portion of the City's existing water distribution system;
2.) Increase groundwater supply sources; 3.) Rehabilitate existing
facilities; and 4.) Examine the feasibility of obtaining surface wate
from Lake Whitney.",PADC,"$18,544,100.00",70%,Yes-BC,"$3,150,000.00",
154,32.5,17072,M & M WSC,W,TX0030026,"3,204","Waterline replacements, storage tank rehabilitation, and new
generators",PDC,"$5,259,000.00",70%,,,
155,32.5,17058,Lamesa,M,TX0580001,"9,442","The project involves the relocation of approximately 2,300 lf of
water line from the Right Of Way of Highway 180.",PDC,"$880,000.00",70%,,,
156,32,16998,Lyford,M,TX2450003,"2,597","The City is proposing to replace and upsize old and under sized
Poly Vinyl Chloride waterlines and replace non-working gate
valves and fire hydrants.",PDC,"$2,751,500.00",70%,,,
157,31.5,17102,Sunrise Beach Village,M,TX1500010,903,"Sunrise Beach Village’s water system faces pressure
inconsistencies, insufficient storage, and non-compliance with
TCEQ regulations due to aged infrastructure and insufficient
historical system planning. This project will include a dedicated 12
inch transmission main, small diameter pipe size upgrades (2, 3,
& 4-inch), 140,000-gallons of storage, and a dedicated
hydropneumatic tank and booster pump station to customers
experiencing less than 35 psi at their homes on a routine basis.",C,"$9,299,600.00",,Yes-BC,"$4,540,000.00",
158,31,17016,Jefferson,M,TX1580001,"1,883",Drinking Water System Improvements,PDC,"$6,040,000.00",70%,,,
159,30.5,16806,Lago Vista,M,TX0940029,54,"Lago Vista is seeking to fund an interconnect with the City of
Luling, TX due to its aging and deteriorated infrastructure",PDC,"$814,000.00",,,,
160,30.5,17009,Thornton,M,TX1470005,671,Upgrade water system components and distribution lines.,PDC,"$3,700,000.00",70%,,,
161,30.5,16804,Anderson,M,TX0930011,837,Acquisition and restructure of Anderson Water System,A,"$919,000.00",70%,,,
162,30.5,16583,Grapeland,M,TX1130002,"1,419","Rehabilitation/replacement of components within the water syste
and distribution system need upgrades and improvements.
Improvements include water line upgrades, replacement of old
valves and fire hydrants, and EST rehab.",PDC,"$5,390,000.00",70%,,,
163,30.5,16957,Orangefield WSC,W,TX1810186,"8,231","The project involves the construction of a new 800 GPM well, ne
200,000 gallon elevated water tank, rehabilitation of an existing
200,000 gallon elevated water tank, and installation of automated
water meter reading system.",PDC,"$14,060,000.00",,,,
164,30,16796,Anderson,M,TX0930011,222,Waterline extension and water plant additions,PADC,"$2,096,600.00",70%,,,
165,30,16982,Amherst,M,TX1400006,678,"The City of Amherst is proposing to clean, sandblast and recoat
their existing ground storage tank to improve water quality and
extend the life of the structure. In addition, this project seeks to
replace a section of water distribution lines to mitigate water
losses.",DC,"$570,000.00",70%,,,
166,30,17000,Centerville,M,TX1450002,949,Centerville Watermain Replacement,PDC,"$2,242,292.00",70%,,,
167,30,17107,Legacy WSC,W,TX2400051,999,"The scope of our proposed project would be to investigate and
develop planning phase to study and outline how to utilize the
developing resources of the Legacy Water Supply Corporation in
providing potable drinking about to the three Las Colonias
Developments.",PA,"$1,100,000.00",70%,,,
168,30,16801,Alto,M,TX0370001,"1,523","Rehabilitate existing water plant components and replace existing
waterlines including new water meters.",PDC,"$3,779,000.00",70%,,,
169,30,16987,Whitney,M,TX1090006,"2,090",Whitney Elevated Storage Tank,PADC,"$3,848,266.00",70%,,,
170,30,16980,Anson,M,TX1270001,"2,294","Construction of a new 2.0 MGD Membrane Water Treatment
Plant to replace the City's existing treatment facility.",PADC,"$10,000,000.00",70%,,,
171,30,16996,West,M,TX1550009,"2,597",West Waterline Improvements,PADC,"$1,841,953.00",70%,,,
172,30,16909,Grand Saline,M,TX2340003,"3,219","Water System Improvements:  New Water Well, EST
Rehabilitation and Improvements",PDC,"$3,215,000.00",70%,,,
173,30,16842,"Harlingen Water Works
System",M,TX0310002,"75,498","Harlingen Waterworks System owns and maintains a water
distribution system consisting of 120 miles of asbestos-cement
pipe. As AC pipe had been used only up to the 1980s, all AC
water mains are 50 years or older and have reached the end of
their serviceable life. Though composing about 30% of the water
distribution system, the majority of water main breaks occur in AC
portions of the system. To replace AC mains in a congested
neighborhood experiencing the highest frequency of leaks and
breaks, a pipe bursting method is proposed to minimize disruption
associated with open cut construction.",C,"$25,775,000.00",70%,,,
174,28.5,16640,Athens,M,TX1070005,"12,878","The City of Athens has a severe lost water problem within a
disadvantaged area of the City. The water distribution system is
old and dilapidated and needs major repairs and significant
replacements.",PDC,"$14,500,000.00",,Yes-BC,"$14,500,000.00",
175,28.5,17040,Lakeway MUD,D,TX2270012,"15,176","As the new wholesale provider to TCMUDs 11-13, LMUD will nee
to expand their water treatment plant capacity in order to provide
wholesale potable water service to the additional LUEs.",C,"$14,520,880.00",,,,
176,28.5,17041,Lakeway MUD,D,TX2270012,"15,176","LMUD has an approved agreement in place with TCMUDs 11-13.
As the new wholesale provider to TCMUDs 11-13, LMUD will nee
to expand their storage in order to provide wholesale potable
water service to the additional LUEs.",C,"$15,000,000.00",,,,
177,28,16805,Barton WSC,W,TX0720013,"1,032","Barton WSC is putting forward a project to strengthen their water
lines due to their current water loss in their system. Proposing to
replace existing leaking lines to reduce water loss as well as meet
minimum pressure requirements in the system per 30 TAC.
290.44(d).",PDC,"$16,469,000.00",,Yes-BC,"$8,868,000.00",
178,28,16713,Laredo,M,TX2400001,"260,571","Construction of a 1MG Booster Station & a 1MG Elevated Storag
Tank to meet existing and future water demands in South Laredo.",DC,"$29,300,000.00",,Yes-BC,"$400,000.00",
179,27.5,16794,Gordon,M,TX1820007,744,"The project consists of installing new wells, pump station, storage
and transmission lines to convey a new groundwater supply to th
City.",PC,"$7,121,000.00",,,,
180,26.62,17106,Legacy WSC,W,TX2400051,"288,404","New Water Supply using treated Brackish Groundwater to supply
wholesale water to Webb County, Legacy MMD, and City of
Laredo, for their retail service of unserved, underserved Rural
Areas and Colonias, and to provide a Regional Emergency and
Supplemental Water supply to Existing Connections.",PADC,"$150,239,000.00",,,,
181,26.5,16628,D & M WSC,W,TX1740010,"6,570","Construct pump station improvements and drill a new well at the
F.R. Lewis and Moral Booster Stations based on the findings of
the EFR. In addition, construct new water lines and replace
targeted old deteriorated water lines.  The creation of a asset
management plan is also included.",PDC,"$4,415,000.00",,,,
182,26,16896,Rolling Hills WS,W,TX1110032,300,"Rolling Hills Water Service will be installing an AMI metering
system, and replacing portions of the distribution system.",PDC,"$2,886,000.00",,"Yes-
Comb.","$2,886,000.00",
183,26,16611,View Caps WSC,W,TX2210004,"3,018","Replacement of various portions of the WSC’s aging water
distribution pipeline, pump station, and valves in order to reduce
the number of water line leaks/breaks and boil water notices and
prepare an asset management plan.",PDC,"$6,725,000.00",,Yes-BC,"$6,286,000.00",
184,26,16576,Hitchcock,M,TX0840004,"7,341","The purpose of this project is to improve the City's water
distribution system through the installation of additional valves an
the targeted replacement of undersized mains. The project also
includes the rehabilitation of its water production facilities to
provide safe drinking water to its residents.",DC,"$24,771,000.00",,Yes-BC,"$10,000,000.00",
185,26,16638,Athens,M,TX1070005,"12,878","The City of Athens needs to rebuild their existing Water Treatmen
Plant. The current facility is over sixty years old and in need of
significant upgrades.",DC,"$10,000,000.00",,,,
186,25.5,16981,Danbury,M,TX0200011,"1,671","The City has an aging and deteriorating water system with one
operational source of water. The City is in the process of drilling a
new test well for it's second water source. The plan is to tie this
new well into the current distribution system to provide more
reliable and efficient water services as well as provide water
supply redundancy and disaster preparedness.",PDC,"$5,651,388.00",,Yes-BC,"$1,633,000.00",
187,25.5,16619,Italy,M,TX0700028,"2,264","The project includes upsize and replace various leaking
distribution lines at various locations of the distribution system an
also the installation of a new water well for source water,
treatment at well and installation of elevated storage tank.",PADC,"$21,017,500.00",,,,
188,25.5,16630,G-M WSC,W,TX2020067,"11,220","Upgrade existing plant components and replace water lines.
Includes the creation of an asset management plan.",PDC,"$5,415,000.00",,,,
189,23.33,16929,Hidalgo Co DD #  1,D,TX1080088,"268,758","Planning, Design, Permitting and Construction of a 5 MGD Water
Treatment Plant with intake pump station, reservoir, and
distribution system.",PADC,"$72,091,751.00",,Yes-BC,"$72,091,750.00",
190,23.03,16793,Raywood WSC,W,TX1460006,"1,605","Raywood WSC is proposing a new 150,000 Gallon Elevated
Storage Tank, a new groundwater well along with treatment
equipment and approximately 29,000 linear feet of waterlines",PDC,"$10,360,000.00",,,,
191,22.5,16959,Bartlett,M,TX2460006,"1,633",Bartlett New Municipal Well,PADC,"$5,510,000.00",,,,
192,22.5,16832,Crescent Heights WSC,W,TX1070016,"2,379","A new public water supply well, pressure facilities, and line
upgrades.",PDC,"$4,256,175.00",,,,
193,21.5,17119,Jones River Bend WSC,W,TX1490036,80,"Treated water will flow from Beeville’s pressurized pipeline throug
a pressure reducing valve and RPZ backflow prevention valve int
a 2-inch PVC pipeline to a vault near the JRBWSC distribution
system. The vault will house Beeville’s wholesale water meter wit
cut-off valves, and potentially a pressure reducing valve on the
JRBWSC side. The project will include customer meters and, if
funding allows, new service lines throughout the JRBWSC area.",PADC,"$1,199,950.00",,,,
194,21,16821,Coahoma,M,TX1140002,"5,442","The City of Coahoma has recently absorbed an adjacent PWS.
The distribution system being absorbed requires numerous water
system upgrades to achieve regulatory compliance.  The City
plans to upsize existing transmission lines and add pressure
boosting facilities and prepare an asset management plan.  The
City now owns all infrastructure and has taken operational control",PDC,"$13,812,000.00",,Yes-BC,"$1,500,000.00",
195,20.5,17078,Miles,M,TX2000002,907,"The City of Miles needs to replace the undersized 6-inch
transmission lines running from the city of San Angelo to the City
of Miles, rehabilitate the Harriet Pump Station, and replace aging
infrastructure at the City’s Water Treatment Plant.",PDC,"$28,499,000.00",,Yes-BC,"$18,180,000.00",
196,19,16958,Merkel,M,TX2210002,"3,609","The City has a history of water line leaks from old and deteriorate
cast iron and asbestos cement water lines. The project includes
replacement of cast iron and asbestos cement water lines. The
project will provide for a more reliable supply of water and reduce
the water loss for the City.",PDC,"$7,533,000.00",,,,
197,19,16623,Del Rio,M,TX2330001,"40,649","The City is applying for planning, design and construction funds t
construct a new municipal well and to rehabilitate the East Spring
Containment Pond Wall in support of its overarching water supply
strategy.",PDC,"$16,296,406.00",,,,
198,18.5,16948,Red River Authority,D,TX1690005,168,"Project will make improvements to the RRA Ringgold Pump
Station.",DC,"$950,000.00",,,,
199,18.5,16566,B & B WSC,W,TX1750028,"3,000","Replace old, deteriorated and under capacity water main and
pump station(s). One of the pump stations is out of service and
must be replaced while the other pump station is in violation of
TCEQ that must be addressed. Replacing the main and pump
station is essential to meeting TCEQ requirements. This is part of
a multi-phase project.",PADC,"$7,000,000.00",,,,
200,18.5,16614,Santo SUD,D,TX1820010,"3,090","This project addresses Santo SUD's critical infrastructure needs
by ensuring compliance with TCEQ requirements and improving
system reliability. It includes installing a new 2,000-gallon
hydropneumatic tank to double storage capacity, replacing aging
and leaking pipelines (upgrading a 3"" line to 8"" and an 8"" line to
12""), and constructing a 120-foot standpipe with an altitude valve
for controlled filling. Upgrades will enhance system resilience,
reduce water loss, and ensure uninterrupted water supply,
representing a vital investment in sustainable water management
for the community. An asset management plan will also be
completed.",PADC,"$9,161,000.00",,Yes-BC,"$4,100,000.00",
201,18.5,16893,Robertson County WSC,W,TX1980013,"3,611","The project includes an elevated storage tank, 290,400 LF of
water line replacement and an asset management plan.",PDC,"$35,237,000.00",,Yes-BC,"$35,237,000.00",
202,18.5,16719,Travis Co WCID # 17,D,TX2270027,"4,404","This is a Water Loss Mitigation project. The Apache Shores area
of Travis County WCID #17 needs to replace and repair elements
of their leaking water distribution system.",PDC,"$12,400,000.00",,Yes-BC,"$12,400,000.00",
203,18,16653,Brandon-Irene WSC,W,TX1090018,"2,196","Brandon-Irene WSC has an average 54% water loss percentage
over the past five years with the 2024 percentage at 62%. The
project will replace 9.6 miles of water main lines that need to be
replaced to reduce water loss due to leaks.  After completion of
the project, the water supply hopes to reduce the water loss
percentage by at least 60% and in ten years have no more than a
10% water loss percentage.",ADC,"$4,106,842.00",,Yes-BC,"$4,106,842.00",
204,17.5,17068,Lone Pine WSC,W,TX0010021,"1,026","Water well, ground storage, and lines.",PADC,"$5,300,000.00",,Yes-BC,"$2,000,000.00",
205,16.75,16955,Baylor County SUD,W,TX0120004,"2,535","Construct a new water treatment plant to provide treated water for
Baylor SUD customers.",PDC,"$13,350,000.00",,,,
206,16.5,16636,South Freestone WSC,W,TX0810005,"3,753",The project consists of Distribution Line Improvements.,PDC,"$2,273,888.20",,,,
207,16.5,16654,Del Rio,M,TX2330001,"40,649","The City of Del Rio is looking to do a full replacement of the
membrane filtration racks used at the San Felipe Springs Water
Treatment Plant.",PDC,"$8,339,280.00",,,,
208,16.5,16655,Del Rio,M,TX2330001,"40,649","The proposed project reduces high pressures in the distribution
network by eliminating the Bedell booster pumps in favor of a new
elevated storage tank, as well as a supplementary ground storag
tank at the Agarita elevated tanks.",PDC,"$21,278,268.00",,,,
209,16.5,16947,Travis Co WCID # 17,D,TX2270027,"52,215","This project includes a set of 7 projects that will decrease water
loss, decrease the chances of water outages and low system
pressures and increase system resiliency and reliability.",PADC,"$88,710,000.00",,,,
210,16,17006,Morgan Mill WSC,W,TX0720012,540,"Morgan Mill WSC has a current lease on the site where the water
facilities (wells, pumps and tanks) lease expires on June 30, 2025
without any option for renewal. The water facilities will need to be
relocated. This proposed project includes the establishment of
new well sites (wells and pumps), relocation of some of the
existing water facilities (water tanks) to address the critical
emergency need resulting from the expiring lease along with
improvements (replacement of waterline, valves and fire hydrants
to the water transmission /distribution system to meet current
TCEQ requirements and reduce water loss.",ADC,"$10,459,000.00",,,,
211,16,17074,Matador,M,TX1730001,578,"The City is in need of replacement of various portions of the City’s
distribution system pipelines and valves that have reached the en
of their service life and require replacement along with an asset
management plan.",PDC,"$9,972,000.00",,Yes-BC,"$9,972,000.00",
212,16,17077,Mertzon,M,TX1180002,781,"The project will consist of replacing aging and deteriorated water
distribution lines and valves. The City will also acquire
approximately 17 acres of land from TxDOT and will add a new
groundwater well on the acquired land.",PADC,"$15,838,000.00",,Yes-BC,"$9,748,000.00",
213,16,16986,Hilltop Lakes WSC,W,TX1450006,972,"This project will modernize and upgrade the existing water
distribution system to comply with Texas Commission on
Environmental Quality regulations, improve system efficiency, an
ensure long-term reliability. The scope of work includes the
replacement of a 65,000-gallon bolted steel tank, the installation
of a new SCADA system, and the replacement of all Asbestos
Concrete water lines. These upgrades will address current
deficiencies, reduce water loss, minimize maintenance needs, an
extend the service life of the distribution system and provide an
asset management plan.",PDC,"$7,367,000.00",,Yes-BC,"$7,929,000.00",
214,16,16835,D & M WSC,W,TX1740010,"6,570","Construction of a new water plant in the Douglass Pressure Plane
This project will also address waterloss by removal and
replacement of an existing trunk main.",PADC,"$4,739,000.00",,,,
215,16,17116,Liberty Hill,M,TX2460013,"9,147","A new 16"" interconnection and upgrade of an existing
interconnection (6"" to 8"") with the City of Georgetown is necessar
for the City of Liberty Hill to access/receive additional 600 ac-ft/yr
of treated water per year (LH Water Rights Contract #2) to meet
the city's rapid growth.",DC,"$1,200,000.00",,,,
216,16,16649,Northlake,M,,"17,000","The Town of Northlake is experiencing water loss issues. The
water distribution system needs repairs and replacements.",DC,"$14,500,000.00",,Yes-BC,"$14,500,000.00",
217,16,16579,Terrell,M,TX1290006,"18,001","This project includes several elements to rehabilitate the water
distribution system and reduce main break frequency in
disadvantaged areas within the City of Terrell.",DC,"$14,550,000.00",,Yes-BC,"$14,550,000.00",
218,16,16642,Farmers Branch,M,TX0570047,"36,254","The City of Farmers Branch has a severe loss water problem
within the City. The water distribution system is old and dilapidate
and needs major repairs and significant replacements.",DC,"$14,500,000.00",,Yes-BC,"$14,500,000.00",
219,15.5,16916,Tehuacana,M,TX1470013,283,"The purpose of this project is replace/upsize undersized water
mains that are causing maintenance and operation issues within
the system. Replacement of ex. valves, fire hydrants and
installation of new valves, fire hydrants are also needed
throughout for better operation and maintenance of the overall
system. Replacing and improving the existing distribution system
will also help reduce overall water loss.",PDC,"$300,000.00",,,,
