No.,PWS,Total  Points,PWS  ID.,Project  Cost,Population,Small  System  (Y/N),MHI,Disadv-  antaged  (Y/N),Project  Description,Base or  General,LSL,EC
284,MAGNET-BUTTERFIELD  WATER AUTHORITY,3,241,"$15,780 ","1,838",YES,,,LSLI,,X,
285,MINERAL SPRINGS  WATERWORKS,3,242,"$10,000 ","1,245",YES,,,LSLI,,X,
286,DIERKS WATER WORKS,3,243,"$11,420 ","1,102",YES,,,LSLI,,X,
287,NASHVILLE WATERWORKS,3,244,"$39,700 ","5,094",YES,,,LSLI,,X,
288,MAGNESS WATER  ASSOCIATION,3,246,"$5,000 ",202,YES,,,LSLI,,X,
289,OIL TROUGH WATERWORKS,3,247,"$5,000 ",284,YES,,,LSLI,,X,
290,NEWARK WATERWORKS,3,248,"$11,820 ","1,358",YES,,,LSLI,,X,
291,CUSHMAN WATER SYSTEM,3,249,"$11,100 ","1,240",YES,,,LSLI,,X,
292,BATESVILLE WATER  UTILITIES,3,250,"$100,400 ","10,177",NO,,,LSLI,,X,
293,PFEIFFER WATER  AUTHORITY,3,251,"$29,880 ","3,167",YES,,,LSLI,,X,
294,Rock Moore Water Authority,3,252,"$28,860 ","3,442",YES,,,LSLI,,X,
295,SOUTHSIDE PUB WATER  AUTHORITY,3,254,"$79,260 ","9,108",YES,,,LSLI,,X,
296,HORSESHOE BEND  WATERWORKS,3,255,"$25,900 ","2,186",YES,,,LSLI,,X,
297,MELBOURNE WATERWORKS,3,256,"$37,120 ","3,600",,,,LSLI,,X,
298,FRANKLIN WATERWORKS,3,257,"$5,000 ",192,,,,LSLI,,X,
299,MT PLEASANT  WATERWORKS,3,258,"$11,800 ","1,338",,,,LSLI,,X,
300,OXFORD WATERWORKS,3,259,"$9,520 ","1,074",,,,LSLI,,X,
301,CAMPBELL STATION  WATERWORKS,3,261,"$5,000 ",234,,,,LSLI,,X,
302,BEEDEVILLE WATER  WORKS,3,262,"$5,000 ",112,,,,LSLI,,X,
303,JACKSONPORT  WATERWORKS,3,263,"$5,000 ",230,,,,LSLI,,X,
304,NEWPORT WATERWORKS,3,264,"$52,540 ","6,468",,,,LSLI,,X,
305,SWIFTON WATERWORKS,3,265,"$7,780 ","1,013",,,,LSLI,,X,
306,TUCKERMAN WATERWORKS,3,266,"$15,100 ","1,817",YES,,,LSLI,,X,
307,GRUBBS WATERWORKS,3,267,"$6,400 ",409,YES,,,LSLI,,X,
308,DIAZ WATERWORKS,3,269,"$9,300 ","1,088",YES,,,LSLI,,X,
309,ALTHEIMER WATERWORKS,3,271,"$6,400 ",900,YES,,,LSLI,,X,
310,LIBERTY UTILITIES,3,272,"$338,440 ","48,038",NO,,,LSLI,,X,
311,HARDIN WATER  ASSOCIATION,3,273,"$38,480 ","4,600",YES,,,LSLI,,X,
312,LONG LAKE WATER  ASSOCIATION,3,274,"$5,000 ",516,YES,,,LSLI,,X,
313,JEFFERSON-SAMPLES- DEXTER WATER,3,276,"$21,180 ","2,551",YES,,,LSLI,,X,
314,LADD WATER ASSOCIATION,3,277,"$15,040 ","2,143",YES,,,LSLI,,X,
315,REDFIELD WATERWORKS,3,279,"$22,900 ","2,865",YES,,,LSLI,,X,
316,ADC - TUCKER UNIT MAINT,3,282,"$5,000 ","1,850",YES,,,LSLI,,X,
317,WABBASEKA WATERWORKS,3,283,"$5,000 ",286,YES,,,LSLI,,X,
318,WATSON CHAPEL WATER  ASSOC,3,284,"$46,920 ","5,865",YES,,,LSLI,,X,
319,HARTMAN WATERWORKS,3,286,"$7,620 ","1,230",YES,,,LSLI,,X,
320,KNOXVILLE WATERWORKS,3,287,"$16,140 ","1,930",YES,,,LSLI,,X,
321,LAMAR WATERWORKS,3,288,"$14,780 ","1,885",YES,,,LSLI,,X,
322,CLARKSVILLE CONNECTED  UTILITIES,3,289,"$78,540 ","9,410",YES,,,LSLI,,X,
323,COAL HILL WATERWORKS,3,290,"$11,540 ","1,300",YES,,,LSLI,,X,
324,LUDWIG WATER  ASSOCIATION,3,292,"$12,020 ","1,322",,,,LSLI,,X,
325,SPADRA-GOOSE CAMP  WATER ASSOC,3,293,"$5,000 ",517,,,,LSLI,,X,
326,BRADLEY WATERWORKS,3,294,"$5,000 ",567,,,,LSLI,,X,
327,BUCKNER WATERWORKS,3,295,"$5,000 ",290,,,,LSLI,,X,
328,STAMPS WATERWORKS,3,296,"$17,100 ","3,262",,,,LSLI,,X,
329,LEWISVILLE WATERWORKS,3,297,"$12,340 ","1,951",,,,LSLI,,X,
330,WALNUT HILL WATER  ASSOCIATION,3,298,"$5,000 ",270,,,,LSLI,,X,
331,LYNN WATERWORKS,3,299,"$6,080 ",651,,,,LSLI,,X,
332,IMBODEN WATERWORKS,3,300,"$6,940 ",677,,,,LSLI,,X,
333,HOXIE WATER  DEPARTMENT,3,301,"$29,380 ","2,678",YES,,,LSLI,,X,
334,BLACK ROCK  WATERWORKS,3,302,"$6,720 ",663,YES,,,LSLI,,X,
335,ALICIA WATER SYSTEM,3,303,"$5,000 ",124,YES,,,LSLI,,X,
336,SEDGWICK WATERWORKS,3,304,"$5,000 ",210,YES,,,LSLI,,X,
337,PORTIA WATERWORKS,3,305,"$5,000 ",437,YES,,,LSLI,,X,
338,RAVENDEN WATERWORKS,3,306,"$5,300 ",470,YES,,,LSLI,,X,
339,STRAWBERRY  WATERWORKS,3,307,"$8,200 ",998,YES,,,LSLI,,X,
340,WALNUT RIDGE  WATERWORKS,3,309,"$48,860 ","5,234",YES,,,LSLI,,X,
341,MARIANNA WATERWORKS,3,310,"$26,540 ","3,795",YES,,,LSLI,,X,
342,LEE COUNTY WATER  ASSOCIATION,3,313,"$31,960 ","4,813",YES,,,LSLI,,X,
343,MORO WATERWORKS,3,314,"$5,000 ",180,YES,,,LSLI,,X,
344,ADC - CUMMINS UNIT MAINT,3,315,"$5,000 ","3,800",YES,,,LSLI,,X,
345,GOULD MUNICIPAL WATER- SEWER,3,316,"$7,220 ",837,YES,,,LSLI,,X,
346,GRADY WATERWORKS,3,317,"$5,000 ",333,YES,,,LSLI,,X,
347,STAR CITY WATER  WATERWORKS,3,318,"$19,860 ","2,274",YES,,,LSLI,,X,
348,YORKTOWN WATER  ASSOCIATION,3,319,"$62,940 ","7,364",YES,,,LSLI,,X,
349,ASHDOWN WATERWORKS,3,320,"$40,340 ","4,723",YES,,,LSLI,,X,
350,WILTON WATERWORKS,3,321,"$5,000 ",354,,,,LSLI,,X,
351,OGDEN WATERWORKS,3,322,"$5,000 ",487,,,,LSLI,,X,
352,FOREMAN WATERWORKS,3,323,"$11,160 ","1,011",,,,LSLI,,X,
353,BOONEVILLE WATERWORKS,3,326,"$39,680 ","3,915",,,,LSLI,,X,
354,MAGAZINE WATERWORKS,3,327,"$8,000 ","1,000",,,,LSLI,,X,
355,PARIS WATERWORKS,3,328,"$34,920 ","4,935",,,,LSLI,,X,
356,RATCLIFF WATERWORKS,3,329,"$10,740 ","1,395",,,,LSLI,,X,
357,SCRANTON WATERWORKS,3,330,"$11,980 ","1,498",,,,LSLI,,X,
358,NORTH CARBON CITY  WATER ASSOC,3,331,"$5,000 ",100,,,,LSLI,,X,
359,WINSLOW WATERWORKS,3,332,"$12,580 ","1,590",,,,LSLI,,X,
360,SUBIACO ACADEMY  WATERWORKS,3,334,"$5,000 ",250,YES,,,LSLI,,X,
361,BOONEVILLE  DEVELOPMENT CENTER,3,336,"$5,000 ",275,YES,,,LSLI,,X,
362,KEO WATER WORKS,3,337,"$5,000 ",275,YES,,,LSLI,,X,
363,CABOT WATERWORKS,3,338,"$206,560 ","26,655",NO,,,LSLI,,X,
364,CARLISLE WATERWORKS,3,339,"$18,580 ","2,417",YES,,,LSLI,,X,
365,COY WATERWORKS,3,340,"$5,000 ",225,YES,,,LSLI,,X,
366,ENGLAND WATERWORKS,3,341,"$25,420 ","2,823",YES,,,LSLI,,X,
367,LONOKE WATERWORKS,3,343,"$35,620 ","4,167",YES,,,LSLI,,X,
368,HUMNOKE WATERWORKS,3,344,"$5,000 ",290,YES,,,LSLI,,X,
369,WARD WATERWORKS,3,345,"$93,040 ","11,025",NO,,,LSLI,,X,
370,AUSTIN WATERWORKS,3,346,"$27,720 ","2,585",YES,,,LSLI,,X,
371,HUNTSVILLE WATERWORKS,3,348,"$27,280 ","2,485",YES,,,LSLI,,X,
372,MADISON CO WATER  FACILITIES BD,3,349,"$86,000 ","9,688",YES,,,LSLI,,X,
373,EDGEWOOD BAY WATER,3,350,"$5,000 ",279,YES,,,LSLI,,X,
374,FLIPPIN WATERWORKS,3,351,"$36,480 ","3,627",YES,,,LSLI,,X,
375,BULL SHOALS WATER  SYSTEM,3,352,"$25,820 ","3,228",YES,,,LSLI,,X,
376,PYATT WATERWORKS,3,354,"$5,000 ",225,YES,,,LSLI,,X,
377,SUMMIT WATERWORKS,3,355,"$5,500 ",604,YES,,,LSLI,,X,
378,YELLVILLE WATERWORKS,3,356,"$20,840 ","2,329",,,,LSLI,,X,
379,GARLAND WATERWORKS,3,357,"$5,000 ",342,,,,LSLI,,X,
380,FOUKE WATERWORKS,3,358,"$7,520 ",940,,,,LSLI,,X,
381,TEXARKANA WATER  UTILITIES,3,360,"$238,700 ","67,267",,,,LSLI,,X,
382,LUXORA WATERWORKS,3,361,"$6,700 ","1,178",,,,LSLI,,X,
383,LEACHVILLE WATERWORKS,3,362,"$18,800 ","1,989",,,,LSLI,,X,
384,BLYTHEVILLE  WATERWORKS,3,365,"$128,240 ","16,243",,,,LSLI,,X,
385,BURDETTE WATERWORKS,3,366,"$5,000 ",591,,,,LSLI,,X,
386,DELL WATERWORKS,3,367,"$9,020 ","1,077",,,,LSLI,,X,
387,WILSON WATER SYSTEM,3,370,"$8,880 ","1,122",YES,,,LSLI,,X,
388,LITTLE RIVER WATER  ASSOCIATION,3,371,"$6,140 ",829,YES,,,LSLI,,X,
389,JOINER WATERWORKS,3,372,"$5,360 ",486,YES,,,LSLI,,X,
390,KEISER WATERWORKS,3,373,"$6,620 ",750,YES,,,LSLI,,X,
391,GOSNELL WATER  ASSOCIATION,3,374,"$23,960 ","3,220",YES,,,LSLI,,X,
392,OSCEOLA WATERWORKS,3,375,"$54,340 ","6,053",YES,,,LSLI,,X,
393,DYESS WATERWORKS,3,376,"$5,000 ",430,YES,,,LSLI,,X,
394,JOINER RURAL WATER,3,377,"$8,420 ",335,YES,,,LSLI,,X,
395,MANILA WATERWORKS,3,378,"$29,260 ","3,348",YES,,,LSLI,,X,
396,VICTORIA WATER  ASSOCIATION,3,380,"$5,000 ",35,YES,,,LSLI,,X,
397,MARIE WATER SYSTEM,3,382,"$5,000 ",135,YES,,,LSLI,,X,
398,YARBRO WATERWORKS,3,383,"$5,000 ",392,YES,,,LSLI,,X,
399,BRINKLEY WATERWORKS,3,384,"$35,660 ","3,940",YES,,,LSLI,,X,
400,CLARENDON WATERWORKS,3,385,"$13,060 ","1,293",YES,,,LSLI,,X,
401,HOLLY GROVE  WATERWORKS,3,388,"$14,540 ","1,010",YES,,,LSLI,,X,
402,ROE WATERWORKS,3,389,"$5,000 ",124,YES,,,LSLI,,X,
403,NORMAN WATERWORKS,3,391,"$7,040 ",850,YES,,,LSLI,,X,
404,MOUNT IDA WATERWORKS,3,392,"$28,200 ","3,218",YES,,,LSLI,,X,
405,EMMET WATERWORKS,3,393,"$5,000 ",550,,,,LSLI,,X,
406,PRESCOTT WATERWORKS,3,394,"$39,140 ","4,525",,,,LSLI,,X,
407,ROSSTON WATER  DEPARTMENT,3,395,"$6,260 ",750,,,,LSLI,,X,
408,JASPER WATERWORKS,3,397,"$5,400 ",766,,,,LSLI,,X,
409,WESTERN GROVE  MUNICIPAL WATER,3,400,"$7,220 ",939,,,,LSLI,,X,
410,BEARDEN WATERWORKS,3,401,"$16,800 ","1,982",,,,LSLI,,X,
411,HARMONY GROVE WATER  ASSOC,3,402,"$18,400 ","2,192",,,,LSLI,,X,
412,CHIDESTER WATERWORKS,3,403,"$5,000 ",336,,,,LSLI,,X,
413,CAMDEN WATERWORKS,3,404,"$110,340 ","13,275",,,,LSLI,,X,
414,STEPHENS WATERWORKS,3,405,"$9,820 ","1,000",YES,,,LSLI,,X,
415,LOUANN WATERWORKS,3,406,"$5,000 ",170,YES,,,LSLI,,X,
416,SHUMAKER PUBLIC  SERVICE CO,3,407,"$12,100 ","1,399",YES,,,LSLI,,X,
417,MILLWOOD WATER  CORPORATION,3,409,"$5,000 ",545,YES,,,LSLI,,X,
418,WYE MOUNTAIN WATER  ASSOCIATION,3,410,"$11,500 ","1,350",YES,,,LSLI,,X,
419,BIGELOW WATERWORKS,3,411,"$5,000 ",544,YES,,,LSLI,,X,
420,PERRY WATER SYSTEM,3,412,"$5,320 ",658,YES,,,LSLI,,X,
421,PERRYVILLE WATERWORKS,3,413,"$43,420 ","2,976",YES,,,LSLI,,X,
422,HOUSTON WATERWORKS,3,414,"$5,800 ",647,YES,,,LSLI,,X,
423,BARTON LEXA WATER  ASSOCIATION,3,415,"$30,100 ","3,700",YES,,,LSLI,,X,
424,WEST HELENA WATER  WORKS,3,416,"$51,920 ","5,673",YES,,,LSLI,,X,
425,BIRDSONG WHITTON  WATER ASSOC,3,417,"$5,000 ",452,YES,,,LSLI,,X,
426,ELAINE WATERWORKS,3,418,"$13,160 ","1,673",YES,,,LSLI,,X,
427,HELENA WATER SEWER,3,419,"$37,500 ","5,500",YES,,,LSLI,,X,
428,LAKE VIEW MUNICIPAL  WATER,3,420,"$5,500 ",500,YES,,,LSLI,,X,
429,MARVELL WATERWORKS,3,421,"$9,540 ","1,005",YES,,,LSLI,,X,
430,GLENWOOD WATER  DEPARTMENT,3,422,"$29,400 ","2,228",YES,,,LSLI,,X,
431,DELIGHT WATERWORKS,3,423,"$12,620 ","1,577",,,,LSLI,,X,
432,ANTOINE WATERWORKS,3,424,"$5,000 ",563,,,,LSLI,,X,
433,MURFREESBORO  WATERWORKS,3,425,"$16,060 ","1,645",,,,LSLI,,X,
434,TYRONZA WATERWORKS,3,426,"$7,300 ",826,,,,LSLI,,X,
435,HEAFER-BLACK OAK WATER  ASSOC,3,427,"$5,000 ",436,,,,LSLI,,X,
436,WEINER WATERWORKS,3,428,"$8,000 ",997,,,,LSLI,,X,
437,MARKED TREE  WATERWORKS,3,430,"$22,000 ","2,566",,,,LSLI,,X,
438,HARRISBURG  WATERWORKS,3,431,"$22,160 ","2,885",,,,LSLI,,X,
439,LEPANTO WATERWORKS,3,432,"$17,800 ","1,745",,,,LSLI,,X,
440,TRUMANN RURAL WATER  ASSOC,3,434,"$22,040 ","3,082",YES,,,LSLI,,X,
441,TRUMANN WATERWORKS,3,435,"$50,780 ","7,142",YES,,,LSLI,,X,
442,HATFIELD WATERWORKS,3,436,"$6,220 ",410,YES,,,LSLI,,X,
443,GRANNIS WATERWORKS,3,437,"$5,000 ",548,YES,,,LSLI,,X,
444,MENA WATER DEPT,3,438,"$77,120 ","7,784",YES,,,LSLI,,X,
445,COVE WATERWORKS,3,439,"$5,280 ",651,YES,,,LSLI,,X,
446,WICKES WATERWORKS,3,440,"$16,220 ","2,014",YES,,,LSLI,,X,
447,ATKINS WATER SYSTEM,3,441,"$38,260 ","4,439",YES,,,LSLI,,X,
448,LONDON WATERWORKS,3,443,"$10,720 ","1,363",YES,,,LSLI,,X,
449,DOVER WATERWORKS,3,444,"$14,800 ","1,410",YES,,,LSLI,,X,
450,POTTSVILLE WATER  ASSOCIATION,3,445,"$32,000 ","4,108",YES,,,LSLI,,X,
451,CITY CORPORATION,3,446,"$249,480 ","29,260",NO,,,LSLI,,X,
452,BISCOE WATERWORKS,3,448,"$5,000 ",440,YES,,,LSLI,,X,
453,DES ARC WATERWORKS,3,449,"$35,420 ","3,964",YES,,,LSLI,,X,
454,DEVALLS BLUFF  WATERWORKS,3,450,"$7,000 ",600,YES,,,LSLI,,X,
455,ULM WATERWORKS,3,451,"$5,000 ",213,YES,,,LSLI,,X,
456,HAZEN WATERWORKS,3,452,"$15,100 ","1,338",YES,,,LSLI,,X,
457,MOUNTAIN TOP WATER  ASSOCIATION,3,454,"$73,020 ","8,838",YES,,,LSLI,,X,
458,EAST PRAIRIE CNTY PUBLIC  WATER AUTHORITY,3,458,"$5,280 ",700,,,,LSLI,,X,
459,CROSS COUNTY RURAL  WATER SYS,3,459,"$76,260 ","9,276",,,,LSLI,,X,
460,WALDENBURG WATER  ASSOCIATION,3,460,"$5,000 ",181,,,,LSLI,,X,
461,DENNARD WATER  ASSOCIATION,3,461,"$8,280 ",908,,,,LSLI,,X,
462,BEE BRANCH WATER,3,462,"$28,420 ","3,345",,,,LSLI,,X,
463,MAUMELLE WATER  CORPORATION,3,464,"$21,760 ","2,832",,,,LSLI,,X,
464,CENTRAL ARKANSAS  WATER,3,465,"$2,619,760 ","330,667",,,,LSLI,,X,
465,JACKSONVILLE  WATERWORKS,3,466,"$209,020 ","30,481",,,,LSLI,,X,
466,LITTLE RIVER COUNTRY  CLUB,3,467,"$5,000 ",120,,,,LSLI,,X,
467,LIBERTY - WOODSON /  HENSLEY,3,471,"$9,100 ","1,000",YES,,,LSLI,,X,
468,SUNSET WATER  ASSOCIATION,3,472,"$5,840 ",575,YES,,,LSLI,,X,
469,O'KEAN WATERWORKS,3,473,"$5,000 ",211,YES,,,LSLI,,X,
470,POCAHONTAS  WATERWORKS,3,474,"$73,400 ","7,830",YES,,,LSLI,,X,
471,REYNO WATERWORKS,3,475,"$5,000 ",437,YES,,,LSLI,,X,
472,BIGGERS WATERWORKS,3,476,"$5,000 ",404,YES,,,LSLI,,X,
473,RAVENDEN SPRINGS  WATERWORKS,3,477,"$5,000 ",143,YES,,,LSLI,,X,
474,LAFE REGIONAL WATER  DISTRIBUTION DISTRICT,3,483,"$21,160 ","2,522",YES,,,LSLI,,X,
475,BENTON WATERWORKS,3,484,"$305,760 ","30,681",NO,,,LSLI,,X,
476,ARKANSAS HEALTH  CENTER,3,485,"$12,800 ","1,000",YES,,,LSLI,,X,
477,BRYANT WATERWORKS,3,486,"$172,160 ","19,607",NO,,,LSLI,,X,
478,HASKELL WATER SYSTEM,3,488,"$27,260 ","3,990",YES,,,LSLI,,X,
479,SALINE CO WW SS PFB,3,491,"$18,200 ","1,900",YES,,,LSLI,,X,
480,SALEM WATER  ASSOCIATION,3,492,"$134,000 ","16,737",NO,,,LSLI,,X,
481,SARDIS WATER  ASSOCIATION,3,493,"$116,820 ","13,752",NO,,,LSLI,,X,
482,SOUTHWEST WATER  ASSOCIATION,3,495,"$76,000 ","9,185",YES,,,LSLI,,X,
483,BAUXITE WATER,3,497,"$5,000 ",574,,,,LSLI,,X,
484,WALDRON WATERWORKS,3,498,"$32,780 ","2,955",,,,LSLI,,X,
485,LESLIE WATER SYSTEM,3,500,"$7,000 ",740,,,,LSLI,,X,
486,MARSHALL WATERWORKS,3,501,"$18,960 ","3,295",,,,LSLI,,X,
487,CENTRAL CITY WATER  DEPARTMENT,3,503,"$9,740 ","1,218",,,,LSLI,,X,
488,GREENWOOD  WATERWORKS,3,504,"$76,860 ","8,952",,,,LSLI,,X,
489,HACKETT WATERWORKS,3,505,"$8,600 ",990,,,,LSLI,,X,
490,HARTFORD WATERWORKS,3,506,"$5,700 ",665,,,,LSLI,,X,
491,FORT SMITH WATER  UTILITIES,3,,"$714,420 ","86,209",,,,LSLI,,X,
492,HUNTINGTON  WATERWORKS,3,508,"$5,000 ",490,YES,,,LSLI,,X,
493,MANSFIELD WATERWORKS,3,509,"$18,780 ","2,348",YES,,,LSLI,,X,
494,LAVACA WATERWORKS,3,510,"$29,600 ","3,650",YES,,,LSLI,,X,
495,SEBASTIAN LAKE UTILITY  OPERATING COMPANY,3,511,"$5,000 ",298,YES,,,LSLI,,X,
496,BARLING WATERWORKS,3,512,"$40,860 ","5,100",YES,,,LSLI,,X,
497,JAMES FORK REGIONAL  WATER,3,513,"$99,840 ","11,148",NO,,,LSLI,,X,
498,FCMTC WATERWORKS,3,514,"$5,000 ",500,YES,,,LSLI,,X,
499,CADDO VALLEY  WATERWORKS,3,515,"$6,660 ",535,YES,,,LSLI,,X,
500,GILLHAM WATERWORKS,3,516,"$5,000 ",328,YES,,,LSLI,,X,
501,LOCKESBURG  WATERWORKS,3,517,"$6,700 ",739,YES,,,LSLI,,X,
502,HORATIO WATERWORKS,3,518,"$9,280 ","1,278",YES,,,LSLI,,X,
503,BEN LOMOND  WATERWORKS,3,519,"$5,000 ",210,YES,,,LSLI,,X,
504,DEQUEEN WATER WORK,3,520,"$45,100 ","6,534",YES,,,LSLI,,X,
505,CHEROKEE VILLAGE WATER  ASSOC,3,521,"$59,900 ","4,717",YES,,,LSLI,,X,
506,HARDY WATERWORKS,3,524,"$8,700 ","1,101",YES,,,LSLI,,X,
507,EVENING SHADE  WATERWORKS,3,525,"$6,300 ",750,YES,,,LSLI,,X,
508,CAVE CITY WATERWORKS,3,526,"$23,740 ","2,484",YES,,,LSLI,,X,
509,ASH FLAT WATER COMPANY,3,527,"$10,260 ","1,144",,,,LSLI,,X,
510,SIDNEY WATER SYSTEM,3,528,"$5,000 ",312,,,,LSLI,,X,
511,WILLIFORD WATERWORKS,3,529,"$5,000 ",105,,,,LSLI,,X,
512,OZARK ACRES WATER  ASSOCIATION,3,530,"$6,720 ",819,,,,LSLI,,X,
513,HUGHES WATERWORKS,3,531,"$7,360 ",827,,,,LSLI,,X,
514,CALDWELL WATER,3,532,"$11,700 ","1,585",,,,LSLI,,X,
515,COLT WATER ASSOCIATION,3,533,"$8,200 ",853,,,,LSLI,,X,
516,WHEATLEY WATERWORKS,3,535,"$5,000 ",550,,,,LSLI,,X,
517,PALESTINE WATER  ASSOCIATION,3,536,"$14,700 ","1,800",,,,LSLI,,X,
518,ST FRANCIS RURAL WATER  ASSOC,3,537,"$12,680 ","1,775",,,,LSLI,,X,
519,WIDENER WATERWORKS,3,538,"$5,000 ",678,YES,,,LSLI,,X,
520,EASTSIDE HOMEOWNERS  ASSOC,3,539,"$5,000 ",201,YES,,,LSLI,,X,
521,MOUNTAIN VIEW  WATERWORKS,3,542,"$60,360 ","6,349",YES,,,LSLI,,X,
522,FAIRCREST WATER  ASSOCIATION,3,544,"$10,340 ","1,244",YES,,,LSLI,,X,
523,FELSENTHAL WATER AND  SEWER,3,545,"$5,000 ",150,YES,,,LSLI,,X,
524,HARMONY WATER  ASSOCIATION,3,546,"$5,000 ",336,YES,,,LSLI,,X,
525,HWY 82 WATER  ASSOCIATION,3,547,"$5,000 ",123,YES,,,LSLI,,X,
526,LAWSON-URBANA WATER  ASSOC,3,548,"$9,120 ","1,108",YES,,,LSLI,,X,
527,EL DORADO WATERWORKS,3,550,"$165,280 ","17,932",NO,,,LSLI,,X,
528,CALION WATER WORKS,3,551,"$5,500 ",494,YES,,,LSLI,,X,
529,JUNCTION CITY  WATERWORKS,3,552,"$5,600 ",726,YES,,,LSLI,,X,
530,HUTTIG WATERWORKS,3,553,"$5,800 ",733,YES,,,LSLI,,X,
531,NORPHLET WATERWORKS,3,554,"$8,960 ","1,112",YES,,,LSLI,,X,
532,SMACKOVER  WATERWORKS,3,555,"$23,220 ","2,821",YES,,,LSLI,,X,
533,STRONG WATERWORKS,3,556,"$9,260 ","1,131",YES,,,LSLI,,X,
534,NEW LONDON WATER  ASSOCIATION,3,557,"$6,600 ",802,YES,,,LSLI,,X,
535,OAK MANOR WATER  ASSOCIATION,3,558,"$5,000 ",339,,,,LSLI,,X,
536,Old Union Public Water  Authority,3,559,"$9,600 ","1,200",,,,LSLI,,X,
537,PARKERS CHAPEL PUBLIC  WATER,3,560,"$19,320 ","2,391",,,,LSLI,,X,
538,QUINN WATER  ASSOCIATION,3,561,"$5,900 ",729,,,,LSLI,,X,
539,WILDWOOD WATER  ASSOCIATION,3,562,"$10,760 ","1,350",,,,LSLI,,X,
540,CLINTON WATERWORKS,3,564,"$51,900 ","5,733",,,,LSLI,,X,
541,TONTITOWN WATERWORKS,3,566,"$44,420 ","3,740",,,,LSLI,,X,
542,ELKINS WATERWORKS,3,567,"$27,780 ","3,473",,,,LSLI,,X,
543,FAYETTEVILLE  WATERWORKS,3,569,"$916,060 ","102,878",,,,LSLI,,X,
544,LINCOLN WATERWORKS,3,572,"$48,920 ","6,250",YES,,,LSLI,,X,
545,PRAIRIE GROVE  WATERWORKS,3,573,"$62,500 ","8,398",YES,,,LSLI,,X,
546,WASHINGTON WATER  AUTHORITY WWA,3,574,"$145,700 ","18,212",NO,,,LSLI,,X,
547,SPRINGDALE WATER  UTILITIES,3,575,"$752,260 ","90,235",NO,,,LSLI,,X,
548,WEST FORK WATERWORKS,3,577,"$22,100 ","2,688",YES,,,LSLI,,X,
549,TUMBLING SHOALS WATER  ASSOC,3,579,"$51,520 ","4,890",YES,,,LSLI,,X,
550,PANGBURN WATERWORKS,3,580,"$22,200 ","2,975",YES,,,LSLI,,X,
551,JUDSONIA WATERWORKS,3,582,"$24,440 ","3,028",YES,,,LSLI,,X,
552,NORTH WHITE CO RURAL  WATER PFB,3,583,"$41,780 ","5,215",YES,,,LSLI,,X,
553,BALD KNOB WATERWORKS,3,584,"$24,900 ","2,905",YES,,,LSLI,,X,
554,DOGWOOD WATER  ASSOCIATION,3,585,"$10,700 ","1,345",YES,,,LSLI,,X,
555,FOUR MILE HILL PUBLIC  FACILITIES BOARD,3,586,"$37,000 ","4,603",YES,,,LSLI,,X,
556,BRADFORD WATERWORKS,3,587,"$7,440 ",950,YES,,,LSLI,,X,
557,KENSETT WATERWORKS,3,588,"$11,060 ","1,425",YES,,,LSLI,,X,
558,MC RAE WATERWORKS,3,589,"$7,440 ",800,YES,,,LSLI,,X,
559,SEARCY WATERWORKS,3,590,"$211,520 ","25,918",NO,,,LSLI,,X,
560,RUSSELL WATERWORKS,3,591,"$5,000 ",338,YES,,,LSLI,,X,
561,BEEBE WATERWORKS,3,592,"$69,480 ","8,120",YES,,,LSLI,,X,
562,SE WHITE COUNTY WATER  ASSOC,3,594,"$42,900 ","4,992",,,,LSLI,,X,
563,COTTON PLANT  WATERWORKS,3,596,"$5,000 ",435,,,,LSLI,,X,
564,AUGUSTA WATERWORKS,3,597,"$19,920 ","2,128",,,,LSLI,,X,
565,PATTERSON WATERWORKS,3,598,"$5,000 ",452,,,,LSLI,,X,
566,MC CRORY WATERWORKS,3,599,"$16,560 ","1,747",,,,LSLI,,X,
567,BELLEVILLE WATER,3,600,"$9,100 ","1,103",,,,LSLI,,X,
568,DARDANELLE  WATERWORKS,3,601,"$36,260 ","4,228",,,,LSLI,,X,
569,HAVANA WATERWORKS,3,602,"$9,140 ","1,115",,,,LSLI,,X,
570,DANVILLE WATERWORKS,3,603,"$23,160 ","2,810",,,,LSLI,,X,
571,OLA WATERWORKS,3,604,"$9,080 ",593,YES,,,LSLI,,X,
572,WATALULA WATER  ASS0CIATION,3,606,"$22,880 ","2,278",YES,,,LSLI,,X,
573,ODEN- PENCIL BLUFF  WATER ASSN.,3,616,"$5,000 ",393,YES,,,LSLI,,X,
574,HORSEHEAD WATER  ASSOCIATION,3,617,"$43,400 ","4,940",YES,,,LSLI,,X,
575,TOLLETTE WATER,3,618,"$5,000 ",346,YES,,,LSLI,,X,
576,MAYNARD WATERWORKS,3,619,"$5,000 ",449,YES,,,LSLI,,X,
577,COTTONSHED  WATERWORKS,3,620,"$5,000 ",21,YES,,,LSLI,,X,
578,BATTS-LAPILE WATER  ASSOCIATION,3,622,"$5,000 ",583,YES,,,LSLI,,X,
579,PERLA WATER  ASSOCIATION,3,623,"$15,680 ","1,970",YES,,,LSLI,,X,
580,GUION WATER  DEPARTMENT,3,626,"$5,000 ",262,YES,,,LSLI,,X,
581,BETHESDA WATER  ASSOCIATION,3,627,"$11,360 ","1,302",YES,,,LSLI,,X,
