"borrower","pwsid","project_description","project_type","state_rank","state_score","funding_amount","disadvantaged","population","funding_status","principal_forgiveness_amount","state","category"
"TURRELL WATER WORKS","AR0000155","LSLI","Lead","215","3",5000,NA,540,"Not Funded",NA,"Arkansas","1"
"WEST MEMPHIS WATERWORKS","AR0000156","LSLI","Lead","216","3",181400,NA,20138,"Not Funded",NA,"Arkansas","1"
"CHERRY VALLEY WATERWORKS","AR0000158","LSLI","Lead","217","3",5500,NA,651,"Not Funded",NA,"Arkansas","1"
"HICKORY RIDGE WATERWORKS","AR0000159","LSLI","Lead","218","3",5000,NA,280,"Not Funded",NA,"Arkansas","1"
"PARKIN WATERWORKS","AR0000160","LSLI","Lead","219","3",8860,NA,988,"Not Funded",NA,"Arkansas","1"
"VANNDALE-BIRDEYE WATER ASSOC","AR0000162","LSLI","Lead","220","3",17720,NA,2389,"Not Funded",NA,"Arkansas","1"
"WYNNE WATERWORKS","AR0000163","LSLI","Lead","221","3",82000,NA,7652,"Not Funded",NA,"Arkansas","1"
"FORDYCE WATER CO","AR0000164","LSLI","Lead","222","3",39700,NA,4500,"Not Funded",NA,"Arkansas","1"
"CARTHAGE WATER AND SEWER","AR0000165","LSLI","Lead","223","3",5000,NA,345,"Not Funded",NA,"Arkansas","1"
"SPARKMAN WATERWORKS","AR0000166","LSLI","Lead","224","3",10660,NA,1178,"Not Funded",NA,"Arkansas","1"
"ARKANSAS CITY WATERWORKS","AR0000167","LSLI","Lead","225","3",5000,NA,366,"Not Funded",NA,"Arkansas","1"
"KELSO-ROHWER WATER ASSOCIATION","AR0000168","LSLI","Lead","226","3",5000,NA,593,"Not Funded",NA,"Arkansas","1"
"MITCHELLVILLE WATERWORKS","AR0000169","LSLI","Lead","227","3",5000,NA,360,"Not Funded",NA,"Arkansas","1"
"MCGEHEE WATERWORKS","AR0000170","LSLI","Lead","228","3",32560,NA,4219,"Not Funded",NA,"Arkansas","1"
"DUMAS WATERWORKS","AR0000171","LSLI","Lead","229","3",56000,NA,6338,"Not Funded",NA,"Arkansas","1"
"PICKENS WATERWORKS","AR0000172","LSLI","Lead","230","3",5000,NA,49,"Not Funded",NA,"Arkansas","1"
"REED WATERWORKS","AR0000173","LSLI","Lead","231","3",5000,NA,209,"Not Funded",NA,"Arkansas","1"
"WATSON WATERWORKS","AR0000174","LSLI","Lead","232","3",5000,NA,188,"Not Funded",NA,"Arkansas","1"
"NORTHERN OHIO WATER ASSOC","AR0000175","LSLI","Lead","233","3",5320,NA,665,"Not Funded",NA,"Arkansas","1"
"MOUNTAIN PINE WATERWORKS","AR0000176","LSLI","Lead","234","3",6340,NA,770,"Not Funded",NA,"Arkansas","1"
"BOIS D'ARC WATER SYSTEM","AR0000178","LSLI","Lead","235","3",5000,NA,53,"Not Funded",NA,"Arkansas","1"
"BOWSER WATER ASSN","AR0000179","LSLI","Lead","236","3",5000,NA,580,"Not Funded",NA,"Arkansas","1"
"CROWLEYS RIDGE WATER ASSOC","AR0000180","LSLI","Lead","237","3",31260,NA,3695,"Not Funded",NA,"Arkansas","1"
"COLLINS WATER ASSOCIATION","AR0000181","LSLI","Lead","238","3",5000,NA,212,"Not Funded",NA,"Arkansas","1"
"SELMA WATER ASSOCIATION","AR0000182","LSLI","Lead","239","3",9000,NA,1094,"Not Funded",NA,"Arkansas","1"
"ENON WATER ASSOCIATION","AR0000183","LSLI","Lead","240","3",5000,NA,488,"Not Funded",NA,"Arkansas","1"
"MONTICELLO WATER DEPARTMENT","AR0000184","LSLI","Lead","241","3",116300,NA,9467,"Not Funded",NA,"Arkansas","1"
"SW WHITE COUNTY WATER ASSN","AR0000185","LSLI","Lead","242","3",89700,NA,10917,"Not Funded",NA,"Arkansas","1"
"TILLAR WATERWORKS","AR0000186","LSLI","Lead","243","3",5000,NA,225,"Not Funded",NA,"Arkansas","1"
"WILMAR WATERWORKS","AR0000187","LSLI","Lead","244","3",7000,NA,809,"Not Funded",NA,"Arkansas","1"
"WINCHESTER WATERWORKS","AR0000188","LSLI","Lead","245","3",5000,NA,457,"Not Funded",NA,"Arkansas","1"
"CONWAY WATER SYSTEM","AR0000189","LSLI","Lead","246","3",538580,NA,64960,"Not Funded",NA,"Arkansas","1"
"DAMASCUS WATER WORKS","AR0000190","LSLI","Lead","247","3",18880,NA,1695,"Not Funded",NA,"Arkansas","1"
"GREENBRIER WATERWORKS","AR0000191","LSLI","Lead","248","3",81840,NA,7893,"Not Funded",NA,"Arkansas","1"
"GUY WATERWORKS","AR0000192","LSLI","Lead","249","3",18600,NA,1692,"Not Funded",NA,"Arkansas","1"
"MAYFLOWER WATERWORKS","AR0000193","LSLI","Lead","250","3",64520,NA,7578,"Not Funded",NA,"Arkansas","1"
"VILONIA WATERWORKS","AR0000195","LSLI","Lead","251","3",189120,NA,22730,"Not Funded",NA,"Arkansas","1"
"WOOSTER WATERWORKS","AR0000196","LSLI","Lead","252","3",35180,NA,5000,"Not Funded",NA,"Arkansas","1"
"ALTUS WATERWORKS","AR0000197","LSLI","Lead","253","3",15240,NA,1820,"Not Funded",NA,"Arkansas","1"
"DENNING WATERWORKS","AR0000199","LSLI","Lead","254","3",6040,NA,755,"Not Funded",NA,"Arkansas","1"
"CHARLESTON WATERWORKS","AR0000200","LSLI","Lead","255","3",28920,NA,3265,"Not Funded",NA,"Arkansas","1"
"OZARK WATERWORKS","AR0000201","LSLI","Lead","256","3",34540,NA,4368,"Not Funded",NA,"Arkansas","1"
"PLEASANT VIEW WATER FAC BOARD","AR0000202","LSLI","Lead","257","3",13660,NA,1708,"Not Funded",NA,"Arkansas","1"
"SALEM WATERWORKS","AR0000204","LSLI","Lead","258","3",14920,NA,1639,"Not Funded",NA,"Arkansas","1"
"VIOLA WATERWORKS","AR0000205","LSLI","Lead","259","3",5000,NA,363,"Not Funded",NA,"Arkansas","1"
"MAMMOTH SPRING WATERWORKS","AR0000206","LSLI","Lead","260","3",13460,NA,1110,"Not Funded",NA,"Arkansas","1"
"HOT SPRINGS VILLAGE WATER","AR0000208","LSLI","Lead","261","3",187520,NA,14092,"Not Funded",NA,"Arkansas","1"
"HOT SPRINGS UTILITIES","AR0000209","LSLI","Lead","262","3",664360,NA,88909,"Not Funded",NA,"Arkansas","1"
"CENTER GROVE WATER ASSOCIATION","AR0000213","LSLI","Lead","263","3",29840,NA,4377,"Not Funded",NA,"Arkansas","1"
"LITTLE CREEK WATER ASSOCIATION","AR0000214","LSLI","Lead","264","3",18960,NA,2542,"Not Funded",NA,"Arkansas","1"
"SHERIDAN WATERWORKS","AR0000215","LSLI","Lead","265","3",36840,NA,4605,"Not Funded",NA,"Arkansas","1"
"PRATTSVILLE WATERWORKS","AR0000216","LSLI","Lead","266","3",10500,NA,1282,"Not Funded",NA,"Arkansas","1"
"POYEN WATERWORKS","AR0000217","LSLI","Lead","267","3",7020,NA,875,"Not Funded",NA,"Arkansas","1"
"LEOLA WATERWORKS","AR0000218","LSLI","Lead","268","3",5000,NA,561,"Not Funded",NA,"Arkansas","1"
"SOUTH SHERIDAN WATER ASSOC","AR0000219","LSLI","Lead","269","3",30700,NA,3887,"Not Funded",NA,"Arkansas","1"
"TULL WATER","AR0000220","LSLI","Lead","270","3",18540,NA,1987,"Not Funded",NA,"Arkansas","1"
"PARAGOULD, LIGHT, WATER, & CABLE","AR0000222","LSLI","Lead","271","3",249500,NA,27396,"Not Funded",NA,"Arkansas","1"
"BRECKENRIDGE UNION WATER ASSOC","AR0000223","LSLI","Lead","272","3",10760,NA,1312,"Not Funded",NA,"Arkansas","1"
"DELAPLAINE WATERWORKS","AR0000224","LSLI","Lead","273","3",5000,NA,116,"Not Funded",NA,"Arkansas","1"
"MARMADUKE WATERWORKS","AR0000225","LSLI","Lead","274","3",9200,NA,1111,"Not Funded",NA,"Arkansas","1"
"OZAN WATERWORKS","AR0000227","LSLI","Lead","275","3",5000,NA,425,"Not Funded",NA,"Arkansas","1"
"HOPE WATER LIGHT COMM","AR0000230","LSLI","Lead","276","3",86540,NA,11500,"Not Funded",NA,"Arkansas","1"
"FULTON WATERWORKS","AR0000231","LSLI","Lead","277","3",5000,NA,365,"Not Funded",NA,"Arkansas","1"
"WASHINGTON WATER SYSTEM","AR0000232","LSLI","Lead","278","3",5000,NA,142,"Not Funded",NA,"Arkansas","1"
"BLEVINS WATERWORKS","AR0000233","LSLI","Lead","279","3",5000,NA,335,"Not Funded",NA,"Arkansas","1"
"PERRYTOWN WATERWORKS","AR0000234","LSLI","Lead","280","3",5000,NA,130,"Not Funded",NA,"Arkansas","1"
"HOT SPRING CO WATER ASSOC","AR0000236","LSLI","Lead","281","3",27940,NA,3528,"Not Funded",NA,"Arkansas","1"
"MALVERN WATERWORKS","AR0000237","LSLI","Lead","282","3",85280,NA,9690,"Not Funded",NA,"Arkansas","1"
"RIVIERA UTILITIES","AR0000239","LSLI","Lead","283","3",14560,NA,1800,"Not Funded",NA,"Arkansas","1"
"MAGNET-BUTTERFIELD WATER AUTHORITY","AR0000241","LSLI","Lead","284","3",15780,NA,1838,"Not Funded",NA,"Arkansas","1"
"MINERAL SPRINGS WATERWORKS","AR0000242","LSLI","Lead","285","3",10000,NA,1245,"Not Funded",NA,"Arkansas","1"
"DIERKS WATER WORKS","AR0000243","LSLI","Lead","286","3",11420,NA,1102,"Not Funded",NA,"Arkansas","1"
"NASHVILLE WATERWORKS","AR0000244","LSLI","Lead","287","3",39700,NA,5094,"Not Funded",NA,"Arkansas","1"
"MAGNESS WATER ASSOCIATION","AR0000246","LSLI","Lead","288","3",5000,NA,202,"Not Funded",NA,"Arkansas","1"
"OIL TROUGH WATERWORKS","AR0000247","LSLI","Lead","289","3",5000,NA,284,"Not Funded",NA,"Arkansas","1"
"NEWARK WATERWORKS","AR0000248","LSLI","Lead","290","3",11820,NA,1358,"Not Funded",NA,"Arkansas","1"
"CUSHMAN WATER SYSTEM","AR0000249","LSLI","Lead","291","3",11100,NA,1240,"Not Funded",NA,"Arkansas","1"
"BATESVILLE WATER UTILITIES","AR0000250","LSLI","Lead","292","3",100400,NA,10177,"Not Funded",NA,"Arkansas","1"
"PFEIFFER WATER AUTHORITY","AR0000251","LSLI","Lead","293","3",29880,NA,3167,"Not Funded",NA,"Arkansas","1"
"Rock Moore Water Authority","AR0000252","LSLI","Lead","294","3",28860,NA,3442,"Not Funded",NA,"Arkansas","1"
"SOUTHSIDE PUB WATER AUTHORITY","AR0000254","LSLI","Lead","295","3",79260,NA,9108,"Not Funded",NA,"Arkansas","1"
"HORSESHOE BEND WATERWORKS","AR0000255","LSLI","Lead","296","3",25900,NA,2186,"Not Funded",NA,"Arkansas","1"
"MELBOURNE WATERWORKS","AR0000256","LSLI","Lead","297","3",37120,NA,3600,"Not Funded",NA,"Arkansas","1"
"FRANKLIN WATERWORKS","AR0000257","LSLI","Lead","298","3",5000,NA,192,"Not Funded",NA,"Arkansas","1"
"MT PLEASANT WATERWORKS","AR0000258","LSLI","Lead","299","3",11800,NA,1338,"Not Funded",NA,"Arkansas","1"
"OXFORD WATERWORKS","AR0000259","LSLI","Lead","300","3",9520,NA,1074,"Not Funded",NA,"Arkansas","1"
"CAMPBELL STATION WATERWORKS","AR0000261","LSLI","Lead","301","3",5000,NA,234,"Not Funded",NA,"Arkansas","1"
"BEEDEVILLE WATER WORKS","AR0000262","LSLI","Lead","302","3",5000,NA,112,"Not Funded",NA,"Arkansas","1"
"JACKSONPORT WATERWORKS","AR0000263","LSLI","Lead","303","3",5000,NA,230,"Not Funded",NA,"Arkansas","1"
"NEWPORT WATERWORKS","AR0000264","LSLI","Lead","304","3",52540,NA,6468,"Not Funded",NA,"Arkansas","1"
"SWIFTON WATERWORKS","AR0000265","LSLI","Lead","305","3",7780,NA,1013,"Not Funded",NA,"Arkansas","1"
"TUCKERMAN WATERWORKS","AR0000266","LSLI","Lead","306","3",15100,NA,1817,"Not Funded",NA,"Arkansas","1"
"GRUBBS WATERWORKS","AR0000267","LSLI","Lead","307","3",6400,NA,409,"Not Funded",NA,"Arkansas","1"
"DIAZ WATERWORKS","AR0000269","LSLI","Lead","308","3",9300,NA,1088,"Not Funded",NA,"Arkansas","1"
"ALTHEIMER WATERWORKS","AR0000271","LSLI","Lead","309","3",6400,NA,900,"Not Funded",NA,"Arkansas","1"
"LIBERTY UTILITIES","AR0000272","LSLI","Lead","310","3",338440,NA,48038,"Not Funded",NA,"Arkansas","1"
"HARDIN WATER ASSOCIATION","AR0000273","LSLI","Lead","311","3",38480,NA,4600,"Not Funded",NA,"Arkansas","1"
"LONG LAKE WATER ASSOCIATION","AR0000274","LSLI","Lead","312","3",5000,NA,516,"Not Funded",NA,"Arkansas","1"
"JEFFERSON-SAMPLES- DEXTER WATER","AR0000276","LSLI","Lead","313","3",21180,NA,2551,"Not Funded",NA,"Arkansas","1"
"LADD WATER ASSOCIATION","AR0000277","LSLI","Lead","314","3",15040,NA,2143,"Not Funded",NA,"Arkansas","1"
"REDFIELD WATERWORKS","AR0000279","LSLI","Lead","315","3",22900,NA,2865,"Not Funded",NA,"Arkansas","1"
"ADC - TUCKER UNIT MAINT","AR0000282","LSLI","Lead","316","3",5000,NA,1850,"Not Funded",NA,"Arkansas","1"
"WABBASEKA WATERWORKS","AR0000283","LSLI","Lead","317","3",5000,NA,286,"Not Funded",NA,"Arkansas","1"
"WATSON CHAPEL WATER ASSOC","AR0000284","LSLI","Lead","318","3",46920,NA,5865,"Not Funded",NA,"Arkansas","1"
"HARTMAN WATERWORKS","AR0000286","LSLI","Lead","319","3",7620,NA,1230,"Not Funded",NA,"Arkansas","1"
"KNOXVILLE WATERWORKS","AR0000287","LSLI","Lead","320","3",16140,NA,1930,"Not Funded",NA,"Arkansas","1"
"LAMAR WATERWORKS","AR0000288","LSLI","Lead","321","3",14780,NA,1885,"Not Funded",NA,"Arkansas","1"
"CLARKSVILLE CONNECTED UTILITIES","AR0000289","LSLI","Lead","322","3",78540,NA,9410,"Not Funded",NA,"Arkansas","1"
"COAL HILL WATERWORKS","AR0000290","LSLI","Lead","323","3",11540,NA,1300,"Not Funded",NA,"Arkansas","1"
"LUDWIG WATER ASSOCIATION","AR0000292","LSLI","Lead","324","3",12020,NA,1322,"Not Funded",NA,"Arkansas","1"
"SPADRA-GOOSE CAMP WATER ASSOC","AR0000293","LSLI","Lead","325","3",5000,NA,517,"Not Funded",NA,"Arkansas","1"
"BRADLEY WATERWORKS","AR0000294","LSLI","Lead","326","3",5000,NA,567,"Not Funded",NA,"Arkansas","1"
"BUCKNER WATERWORKS","AR0000295","LSLI","Lead","327","3",5000,NA,290,"Not Funded",NA,"Arkansas","1"
"STAMPS WATERWORKS","AR0000296","LSLI","Lead","328","3",17100,NA,3262,"Not Funded",NA,"Arkansas","1"
"LEWISVILLE WATERWORKS","AR0000297","LSLI","Lead","329","3",12340,NA,1951,"Not Funded",NA,"Arkansas","1"
"WALNUT HILL WATER ASSOCIATION","AR0000298","LSLI","Lead","330","3",5000,NA,270,"Not Funded",NA,"Arkansas","1"
"LYNN WATERWORKS","AR0000299","LSLI","Lead","331","3",6080,NA,651,"Not Funded",NA,"Arkansas","1"
"IMBODEN WATERWORKS","AR0000300","LSLI","Lead","332","3",6940,NA,677,"Not Funded",NA,"Arkansas","1"
"HOXIE WATER DEPARTMENT","AR0000301","LSLI","Lead","333","3",29380,NA,2678,"Not Funded",NA,"Arkansas","1"
"BLACK ROCK WATERWORKS","AR0000302","LSLI","Lead","334","3",6720,NA,663,"Not Funded",NA,"Arkansas","1"
"ALICIA WATER SYSTEM","AR0000303","LSLI","Lead","335","3",5000,NA,124,"Not Funded",NA,"Arkansas","1"
"SEDGWICK WATERWORKS","AR0000304","LSLI","Lead","336","3",5000,NA,210,"Not Funded",NA,"Arkansas","1"
"PORTIA WATERWORKS","AR0000305","LSLI","Lead","337","3",5000,NA,437,"Not Funded",NA,"Arkansas","1"
"RAVENDEN WATERWORKS","AR0000306","LSLI","Lead","338","3",5300,NA,470,"Not Funded",NA,"Arkansas","1"
"STRAWBERRY WATERWORKS","AR0000307","LSLI","Lead","339","3",8200,NA,998,"Not Funded",NA,"Arkansas","1"
"WALNUT RIDGE WATERWORKS","AR0000309","LSLI","Lead","340","3",48860,NA,5234,"Not Funded",NA,"Arkansas","1"
"MARIANNA WATERWORKS","AR0000310","LSLI","Lead","341","3",26540,NA,3795,"Not Funded",NA,"Arkansas","1"
"LEE COUNTY WATER ASSOCIATION","AR0000313","LSLI","Lead","342","3",31960,NA,4813,"Not Funded",NA,"Arkansas","1"
"MORO WATERWORKS","AR0000314","LSLI","Lead","343","3",5000,NA,180,"Not Funded",NA,"Arkansas","1"
"ADC - CUMMINS UNIT MAINT","AR0000315","LSLI","Lead","344","3",5000,NA,3800,"Not Funded",NA,"Arkansas","1"
"GOULD MUNICIPAL WATER- SEWER","AR0000316","LSLI","Lead","345","3",7220,NA,837,"Not Funded",NA,"Arkansas","1"
"GRADY WATERWORKS","AR0000317","LSLI","Lead","346","3",5000,NA,333,"Not Funded",NA,"Arkansas","1"
"STAR CITY WATER WATERWORKS","AR0000318","LSLI","Lead","347","3",19860,NA,2274,"Not Funded",NA,"Arkansas","1"
"YORKTOWN WATER ASSOCIATION","AR0000319","LSLI","Lead","348","3",62940,NA,7364,"Not Funded",NA,"Arkansas","1"
"ASHDOWN WATERWORKS","AR0000320","LSLI","Lead","349","3",40340,NA,4723,"Not Funded",NA,"Arkansas","1"
"WILTON WATERWORKS","AR0000321","LSLI","Lead","350","3",5000,NA,354,"Not Funded",NA,"Arkansas","1"
"OGDEN WATERWORKS","AR0000322","LSLI","Lead","351","3",5000,NA,487,"Not Funded",NA,"Arkansas","1"
"FOREMAN WATERWORKS","AR0000323","LSLI","Lead","352","3",11160,NA,1011,"Not Funded",NA,"Arkansas","1"
"BOONEVILLE WATERWORKS","AR0000326","LSLI","Lead","353","3",39680,NA,3915,"Not Funded",NA,"Arkansas","1"
"MAGAZINE WATERWORKS","AR0000327","LSLI","Lead","354","3",8000,NA,1000,"Not Funded",NA,"Arkansas","1"
"PARIS WATERWORKS","AR0000328","LSLI","Lead","355","3",34920,NA,4935,"Not Funded",NA,"Arkansas","1"
"RATCLIFF WATERWORKS","AR0000329","LSLI","Lead","356","3",10740,NA,1395,"Not Funded",NA,"Arkansas","1"
"SCRANTON WATERWORKS","AR0000330","LSLI","Lead","357","3",11980,NA,1498,"Not Funded",NA,"Arkansas","1"
"NORTH CARBON CITY WATER ASSOC","AR0000331","LSLI","Lead","358","3",5000,NA,100,"Not Funded",NA,"Arkansas","1"
"WINSLOW WATERWORKS","AR0000332","LSLI","Lead","359","3",12580,NA,1590,"Not Funded",NA,"Arkansas","1"
"SUBIACO ACADEMY WATERWORKS","AR0000334","LSLI","Lead","360","3",5000,NA,250,"Not Funded",NA,"Arkansas","1"
"BOONEVILLE DEVELOPMENT CENTER","AR0000336","LSLI","Lead","361","3",5000,NA,275,"Not Funded",NA,"Arkansas","1"
"KEO WATER WORKS","AR0000337","LSLI","Lead","362","3",5000,NA,275,"Not Funded",NA,"Arkansas","1"
"CABOT WATERWORKS","AR0000338","LSLI","Lead","363","3",206560,NA,26655,"Not Funded",NA,"Arkansas","1"
"CARLISLE WATERWORKS","AR0000339","LSLI","Lead","364","3",18580,NA,2417,"Not Funded",NA,"Arkansas","1"
"COY WATERWORKS","AR0000340","LSLI","Lead","365","3",5000,NA,225,"Not Funded",NA,"Arkansas","1"
"ENGLAND WATERWORKS","AR0000341","LSLI","Lead","366","3",25420,NA,2823,"Not Funded",NA,"Arkansas","1"
"LONOKE WATERWORKS","AR0000343","LSLI","Lead","367","3",35620,NA,4167,"Not Funded",NA,"Arkansas","1"
"HUMNOKE WATERWORKS","AR0000344","LSLI","Lead","368","3",5000,NA,290,"Not Funded",NA,"Arkansas","1"
"WARD WATERWORKS","AR0000345","LSLI","Lead","369","3",93040,NA,11025,"Not Funded",NA,"Arkansas","1"
"AUSTIN WATERWORKS","AR0000346","LSLI","Lead","370","3",27720,NA,2585,"Not Funded",NA,"Arkansas","1"
"HUNTSVILLE WATERWORKS","AR0000348","LSLI","Lead","371","3",27280,NA,2485,"Not Funded",NA,"Arkansas","1"
"MADISON CO WATER FACILITIES BD","AR0000349","LSLI","Lead","372","3",86000,NA,9688,"Not Funded",NA,"Arkansas","1"
"EDGEWOOD BAY WATER","AR0000350","LSLI","Lead","373","3",5000,NA,279,"Not Funded",NA,"Arkansas","1"
"FLIPPIN WATERWORKS","AR0000351","LSLI","Lead","374","3",36480,NA,3627,"Not Funded",NA,"Arkansas","1"
"BULL SHOALS WATER SYSTEM","AR0000352","LSLI","Lead","375","3",25820,NA,3228,"Not Funded",NA,"Arkansas","1"
"PYATT WATERWORKS","AR0000354","LSLI","Lead","376","3",5000,NA,225,"Not Funded",NA,"Arkansas","1"
"SUMMIT WATERWORKS","AR0000355","LSLI","Lead","377","3",5500,NA,604,"Not Funded",NA,"Arkansas","1"
"YELLVILLE WATERWORKS","AR0000356","LSLI","Lead","378","3",20840,NA,2329,"Not Funded",NA,"Arkansas","1"
"GARLAND WATERWORKS","AR0000357","LSLI","Lead","379","3",5000,NA,342,"Not Funded",NA,"Arkansas","1"
"FOUKE WATERWORKS","AR0000358","LSLI","Lead","380","3",7520,NA,940,"Not Funded",NA,"Arkansas","1"
"TEXARKANA WATER UTILITIES","AR0000360","LSLI","Lead","381","3",238700,NA,67267,"Not Funded",NA,"Arkansas","1"
"LUXORA WATERWORKS","AR0000361","LSLI","Lead","382","3",6700,NA,1178,"Not Funded",NA,"Arkansas","1"
"LEACHVILLE WATERWORKS","AR0000362","LSLI","Lead","383","3",18800,NA,1989,"Not Funded",NA,"Arkansas","1"
"BLYTHEVILLE WATERWORKS","AR0000365","LSLI","Lead","384","3",128240,NA,16243,"Not Funded",NA,"Arkansas","1"
"BURDETTE WATERWORKS","AR0000366","LSLI","Lead","385","3",5000,NA,591,"Not Funded",NA,"Arkansas","1"
"DELL WATERWORKS","AR0000367","LSLI","Lead","386","3",9020,NA,1077,"Not Funded",NA,"Arkansas","1"
"WILSON WATER SYSTEM","AR0000370","LSLI","Lead","387","3",8880,NA,1122,"Not Funded",NA,"Arkansas","1"
"LITTLE RIVER WATER ASSOCIATION","AR0000371","LSLI","Lead","388","3",6140,NA,829,"Not Funded",NA,"Arkansas","1"
"JOINER WATERWORKS","AR0000372","LSLI","Lead","389","3",5360,NA,486,"Not Funded",NA,"Arkansas","1"
"KEISER WATERWORKS","AR0000373","LSLI","Lead","390","3",6620,NA,750,"Not Funded",NA,"Arkansas","1"
"GOSNELL WATER ASSOCIATION","AR0000374","LSLI","Lead","391","3",23960,NA,3220,"Not Funded",NA,"Arkansas","1"
"OSCEOLA WATERWORKS","AR0000375","LSLI","Lead","392","3",54340,NA,6053,"Not Funded",NA,"Arkansas","1"
"DYESS WATERWORKS","AR0000376","LSLI","Lead","393","3",5000,NA,430,"Not Funded",NA,"Arkansas","1"
"JOINER RURAL WATER","AR0000377","LSLI","Lead","394","3",8420,NA,335,"Not Funded",NA,"Arkansas","1"
"MANILA WATERWORKS","AR0000378","LSLI","Lead","395","3",29260,NA,3348,"Not Funded",NA,"Arkansas","1"
"VICTORIA WATER ASSOCIATION","AR0000380","LSLI","Lead","396","3",5000,NA,35,"Not Funded",NA,"Arkansas","1"
"MARIE WATER SYSTEM","AR0000382","LSLI","Lead","397","3",5000,NA,135,"Not Funded",NA,"Arkansas","1"
"YARBRO WATERWORKS","AR0000383","LSLI","Lead","398","3",5000,NA,392,"Not Funded",NA,"Arkansas","1"
"BRINKLEY WATERWORKS","AR0000384","LSLI","Lead","399","3",35660,NA,3940,"Not Funded",NA,"Arkansas","1"
"CLARENDON WATERWORKS","AR0000385","LSLI","Lead","400","3",13060,NA,1293,"Not Funded",NA,"Arkansas","1"
"HOLLY GROVE WATERWORKS","AR0000388","LSLI","Lead","401","3",14540,NA,1010,"Not Funded",NA,"Arkansas","1"
"ROE WATERWORKS","AR0000389","LSLI","Lead","402","3",5000,NA,124,"Not Funded",NA,"Arkansas","1"
"NORMAN WATERWORKS","AR0000391","LSLI","Lead","403","3",7040,NA,850,"Not Funded",NA,"Arkansas","1"
"MOUNT IDA WATERWORKS","AR0000392","LSLI","Lead","404","3",28200,NA,3218,"Not Funded",NA,"Arkansas","1"
"EMMET WATERWORKS","AR0000393","LSLI","Lead","405","3",5000,NA,550,"Not Funded",NA,"Arkansas","1"
"PRESCOTT WATERWORKS","AR0000394","LSLI","Lead","406","3",39140,NA,4525,"Not Funded",NA,"Arkansas","1"
"ROSSTON WATER DEPARTMENT","AR0000395","LSLI","Lead","407","3",6260,NA,750,"Not Funded",NA,"Arkansas","1"
"JASPER WATERWORKS","AR0000397","LSLI","Lead","408","3",5400,NA,766,"Not Funded",NA,"Arkansas","1"
"WESTERN GROVE MUNICIPAL WATER","AR0000400","LSLI","Lead","409","3",7220,NA,939,"Not Funded",NA,"Arkansas","1"
"BEARDEN WATERWORKS","AR0000401","LSLI","Lead","410","3",16800,NA,1982,"Not Funded",NA,"Arkansas","1"
"HARMONY GROVE WATER ASSOC","AR0000402","LSLI","Lead","411","3",18400,NA,2192,"Not Funded",NA,"Arkansas","1"
"CHIDESTER WATERWORKS","AR0000403","LSLI","Lead","412","3",5000,NA,336,"Not Funded",NA,"Arkansas","1"
"CAMDEN WATERWORKS","AR0000404","LSLI","Lead","413","3",110340,NA,13275,"Not Funded",NA,"Arkansas","1"
"STEPHENS WATERWORKS","AR0000405","LSLI","Lead","414","3",9820,NA,1000,"Not Funded",NA,"Arkansas","1"
"LOUANN WATERWORKS","AR0000406","LSLI","Lead","415","3",5000,NA,170,"Not Funded",NA,"Arkansas","1"
"SHUMAKER PUBLIC SERVICE CO","AR0000407","LSLI","Lead","416","3",12100,NA,1399,"Not Funded",NA,"Arkansas","1"
"MILLWOOD WATER CORPORATION","AR0000409","LSLI","Lead","417","3",5000,NA,545,"Not Funded",NA,"Arkansas","1"
"WYE MOUNTAIN WATER ASSOCIATION","AR0000410","LSLI","Lead","418","3",11500,NA,1350,"Not Funded",NA,"Arkansas","1"
"BIGELOW WATERWORKS","AR0000411","LSLI","Lead","419","3",5000,NA,544,"Not Funded",NA,"Arkansas","1"
"PERRY WATER SYSTEM","AR0000412","LSLI","Lead","420","3",5320,NA,658,"Not Funded",NA,"Arkansas","1"
"PERRYVILLE WATERWORKS","AR0000413","LSLI","Lead","421","3",43420,NA,2976,"Not Funded",NA,"Arkansas","1"
"HOUSTON WATERWORKS","AR0000414","LSLI","Lead","422","3",5800,NA,647,"Not Funded",NA,"Arkansas","1"
"BARTON LEXA WATER ASSOCIATION","AR0000415","LSLI","Lead","423","3",30100,NA,3700,"Not Funded",NA,"Arkansas","1"
"WEST HELENA WATER WORKS","AR0000416","LSLI","Lead","424","3",51920,NA,5673,"Not Funded",NA,"Arkansas","1"
"BIRDSONG WHITTON WATER ASSOC","AR0000417","LSLI","Lead","425","3",5000,NA,452,"Not Funded",NA,"Arkansas","1"
"ELAINE WATERWORKS","AR0000418","LSLI","Lead","426","3",13160,NA,1673,"Not Funded",NA,"Arkansas","1"
"HELENA WATER SEWER","AR0000419","LSLI","Lead","427","3",37500,NA,5500,"Not Funded",NA,"Arkansas","1"
"LAKE VIEW MUNICIPAL WATER","AR0000420","LSLI","Lead","428","3",5500,NA,500,"Not Funded",NA,"Arkansas","1"
"MARVELL WATERWORKS","AR0000421","LSLI","Lead","429","3",9540,NA,1005,"Not Funded",NA,"Arkansas","1"
"GLENWOOD WATER DEPARTMENT","AR0000422","LSLI","Lead","430","3",29400,NA,2228,"Not Funded",NA,"Arkansas","1"
"DELIGHT WATERWORKS","AR0000423","LSLI","Lead","431","3",12620,NA,1577,"Not Funded",NA,"Arkansas","1"
