Project #,County,System Name/Borrower,Description,Pop.,Project Cost,Score,Cumulative Total,Source Document
18725,Suffolk,SUFFOLK COUNTY WATER AUTHORITY / Suffolk County Water Authority,"Construct three new Advanced Oxidation Process Systems to remove 1,4-dioxane from groundwater at the Falcon Drive well field, Upgrade Water Treatment Plant","1,009,264","3,000,000",80,"$750,680,901",NY_Y0_annual-0002
18726,Suffolk,SUFFOLK COUNTY WATER AUTHORITY / Suffolk County Water Authority,"Construct a new Advanced Oxidation Process System to remove 1,4-dioxane from groundwater at the Old Dock Road well field, Upgrade Water Treatment Plant","1,009,264","1,500,000",80,"$752,180,901",NY_Y0_annual-0002
18729,Suffolk,SUFFOLK COUNTY WATER AUTHORITY / Suffolk County Water Authority,"Construct a new Advanced Oxidation Process System to remove 1,4-dioxane from groundwater at the Waterside Road well field, Upgrade Water Treatment Plant","1,009,264","1,500,000",80,"$753,680,901",NY_Y0_annual-0002
18734,Suffolk,SUFFOLK COUNTY WATER AUTHORITY / Suffolk County Water Authority,"Construct two new Advanced Oxidation Process systems to remove 1,4-dioxane from groundwater at its Broadway well field, Upgrade Water Treatment Plant","1,009,264","3,000,000",80,"$756,680,901",NY_Y0_annual-0002
18736,Suffolk,SUFFOLK COUNTY WATER AUTHORITY / Suffolk County Water Authority,"Construct a new Advanced Oxidation Process System to remove 1,4-dioxane from groundwater at its Douglas Avenue well field, Upgrade Water Treatment Plant","1,009,264","1,500,000",80,"$758,180,901",NY_Y0_annual-0002
18738,Suffolk,SUFFOLK COUNTY WATER AUTHORITY / Suffolk County Water Authority,"Construct three new Advanced Oxidation Process Systems to remove 1,4-dioxane from groundwater at its Flower Hill Road well field, Upgrade Water Treatment Plant","1,009,264","4,500,000",80,"$762,680,901",NY_Y0_annual-0002
18740,Suffolk,SUFFOLK COUNTY WATER AUTHORITY / Suffolk County Water Authority,"Construct a new Advanced Oxidation Process System to remove 1,4-dioxane from groundwater at its Hollywood Place well field, Upgrade Water Treatment Plant","1,009,264","1,500,000",80,"$764,180,901",NY_Y0_annual-0002
18741,Suffolk,SUFFOLK COUNTY WATER AUTHORITY / Suffolk County Water Authority,"Construct a new Advanced Oxidation Process System to remove 1,4-dioxane from groundwater at its McKay Drive well field, Upgrade Water Treatment Plant","1,009,264","1,500,000",80,"$765,680,901",NY_Y0_annual-0002
18669,Nassau,TOWN OF HEMPSTEAD WD / Town of Hempstead,"1,4-dioxane treatment for Well Nos. 1 & 3 at the Prospect Ave. Pumping Station. , Upgrade Water Treatment Plant, Upgrade Pump Station","110,000","5,689,000",80,"$771,369,901",NY_Y0_annual-0002
18674,Nassau,TOWN OF HEMPSTEAD WD / Hempstead (T),"1,4-dioxane and VOC treatment at Well Nos. 5 and 6 at Uniondale WD., Upgrade Water Treatment Plant","110,000","12,463,000",80,"$783,832,901",NY_Y0_annual-0002
18686,Nassau,JERICHO WD / Jericho WD,"Kirby Lane 1,4-Dioxane and PFOA removal., Upgrade Water Treatment Plant","58,000","9,268,000",80,"$793,100,901",NY_Y0_annual-0002
18782,Nassau,JERICHO WD / Jericho Water District,"Well Nos. 9 & 14: 1,4-dioxane & PFAS removal., Upgrade Water Treatment Plant","58,000","9,827,950",80,"$802,928,851",NY_Y0_annual-0002
18840,Nassau,HICKSVILLE WD / Hicksville Water District,"Plant No. 9 - AOP/GAC treamtent for 1,4-dioxane and PFOA/PFOS removal., Upgrade Water Treatment Plant","47,810","14,879,000",80,"$817,807,851",NY_Y0_annual-0002
18849,Nassau,HICKSVILLE WD / Hicksville WD,"Wellhead treatment of 1,4-dioxane, PFOA and PFOS., Upgrade Other Expenses, New Water Treatment Plant, Upgrade Other (OT)","47,810","9,419,000",80,"$827,226,851",NY_Y0_annual-0002
18792,Nassau,MANHASSET LAKEVILLE WD / Manhasset-Lakeville WD,"Searingtown Rd. Plant No. 1: 1,4-dioxane removal., Upgrade Water Treatment Plant","43,000","12,461,000",80,"$839,687,851",NY_Y0_annual-0002
18668,Suffolk,GREENLAWN WD / Greenlawn Water District,"Well No. 12 - 1,4-dioxane water treatment. , Upgrade Water Treatment Plant","42,000","5,286,000",80,"$844,973,851",NY_Y0_annual-0002
18661,Suffolk,DIX HILLS WD / Huntington (TO),"AOP Treatment at Well 5-1 for 1,4-Dioxane, Upgrade Water Treatment Plant","34,522","5,070,000",80,"$850,043,851",NY_Y0_annual-0002
18665,Nassau,PORT WASHINGTON WD / Port Washington Water District,"AOP Treatment for 1,4-dioxane at Well Nos. 8,9, and 11., Upgrade Water Treatment Plant","34,000","18,938,000",80,"$868,981,851",NY_Y0_annual-0002
18784,Nassau,PORT WASHINGTON WD / Port Washington WD,"Well 10: 1,4-dioxane and PFOA removal., Upgrade Water Treatment Plant","34,000","5,714,000",80,"$874,695,851",NY_Y0_annual-0002
18680,Nassau,BETHPAGE WD / Bethpage WD,"Bethpage WD BGD Plant - 1,4-dioxane removal, Upgrade Water Treatment Plant","33,000","6,425,000",80,"$881,120,851",NY_Y0_annual-0002
18663,Nassau,GARDEN CITY (V) / Garden City (V),"Well No. 12 - 1,4-dioxane Treatment.","25,000","6,089,656",80,"$887,210,507",NY_Y0_annual-0002
18781,Nassau,GARDEN CITY (V) / Garden City (V),"Clinton Rd. Wells 10 & 11: 1,4-Dioxane & PFAS Removal., Upgrade Water Treatment Plant","25,000","8,893,840",80,"$896,104,347",NY_Y0_annual-0002
18687,Nassau,MINEOLA (V) / Mineola (V),"Well No. 4 - 1,4-Dioxane Removal., Upgrade Water Treatment Plant","20,600","8,300,000",80,"$904,404,347",NY_Y0_annual-0002
18833,Nassau,MINEOLA (V) / Mineola (V),"Installation of GAC for PFOS/PFOA removal for Plant No. 7, Upgrade Water Treatment Plant","20,600","4,470,200",80,"$908,874,547",NY_Y0_annual-0002
18692,Nassau,WESTBURY WD / Westbury WD,"Drexel Avenue 1,4-Dioxane Treatment., Upgrade Water Treatment Plant","20,500","12,315,000",80,"$921,189,547",NY_Y0_annual-0002
18745,Lewis,LOWVILLE VILLAGE / Lowville (V),"Groundwater Project Phase 1., Upgrade Water Treatment Plant, New Ground Water Source, New Pump Station","4,000","$5,560,000",80,"$926,749,547",NY_Y0_annual-0002
18963,Nassau,TOWN OF HEMPSTEAD WD / Hempstead (T),"1,4-dioxane treatment for Well Nos. 5 & 11 at East Meadow WD, Upgrade Water Treatment Plant","110,000","$11,896,500",80,"$938,646,047",NY_Y0_annual-0002
18964,Nassau,TOWN OF HEMPSTEAD WD / Hempstead (T),"1,4-dioxane treatment for Well Nos. 5A & 6B at Levittown WD, Upgrade Water Treatment Plant","110,000","13,493,000",80,"$952,139,047",NY_Y0_annual-0002
18967,Nassau,TOWN OF HEMPSTEAD WD / Hempstead (T),"1,4-dioxane treatment for Well No. 13 at Levittown WD, Upgrade Water Treatment Plant","110,000","9,630,500",80,"$961,769,547",NY_Y0_annual-0002
18969,Nassau,TOWN OF HEMPSTEAD WD / Hempstead (T),"1,4-dioxane and nitrate treatment for Well Nos. 7, 11 & 12 at Roosevelt WD, Upgrade Water Treatment Plant","110,000","29,458,000",80,"$991,227,547",NY_Y0_annual-0002
18923,Chenango,NEW BERLIN VILLAGE / New Berlin (V),"Treatment upgrades, main replacement, new meters and tank improvements., Upgrade Other Expenses, Upgrade Water Treatment Plant, Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Distribution","1,500","10,770,000",80,"$1,001,997,547",NY_Y0_annual-0002
18367,Delaware,FISHS EDDY COMMUNITY WATER SUP / Hancock (T),"Fish's Eddy Water District., New Ground Water Source, Upgrade Distribution System, New Water District",150,"$356,895",80,"$1,002,354,442",NY_Y0_annual-0002
18002,Steuben,HAMLET OF WOODHULL MUNICIPAL WS / Woodhull (T),"System to serve former Village (now hamlet) with private contaminated wells., New Ground Water Source, New Storage, New Distribution System",483,"$4,489,928",80,"$1,006,844,370",NY_Y0_annual-0002
18010,Oswego,TOWN/VILLAGE JOINT WATER PROJECT / Parish (T),"Water Supply Area No. 1. Serve inadequate private wells., Extend Distribution System, New Water District","1,200","9,476,000",80,"$1,016,320,370",NY_Y0_annual-0002
18188,Orange,GOSHEN VILLAGE / Goshen (V),"Upgrade Water Treatment Plant, New Transmission","5,676","11,000,000",75,"$1,027,320,370",NY_Y0_annual-0002
18121,Saratoga,SARATOGA SPRINGS CITY / Saratoga Springs (C),New Ground Water Source,"26,525","$908,125",75,"$1,028,228,495",NY_Y0_annual-0002
17299,Albany,RAVENA VILLAGE / Ravena (V),"Source, WTP, Storage, and Distribution Improvements., Upgrade Water Treatment Plant, Upgrade Surface Water Source, Upgrade Storage, Upgrade Distribution System","4,500",0,75,"$1,028,228,495",NY_Y0_annual-0002
18083,Hamilton,INDIAN LAKE WD / Indian Lake (T),New Ground Water Source,900,"$1,552,000",75,"$1,029,780,495",NY_Y0_annual-0002
18430,Hamilton,BLUE MT LAKE WD / Indian Lake (T),"DBP Compliance Project., New Ground Water Source",400,"$1,515,296",75,"$1,031,295,791",NY_Y0_annual-0002
18262,Columbia,CHATHAM VILLAGE / Chatham (V),"Replace Open Reservoir, Upgrade Wells, Replace Aged Mains., Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System","2,156","$400,000",75,"$1,031,695,791",NY_Y0_annual-0002
18097,Jefferson,CLAYTON VILLAGE / Clayton (V),"Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Pump Station, Upgrade Distribution System","2,100",$0,75,"$1,031,695,791",NY_Y0_annual-0002
18939,St.Lawrence,HERMON VILLAGE / Hermon (T),"Source and WTP improvements, and replacement of entire distribution system for WD #1., Upgrade Water Treatment Plant, New Ground Water Source, New Transmission, New Distribution System",492,"$7,879,500",75,"$1,039,575,291",NY_Y0_annual-0002
18535,Albany,WATERVLIET CITY / Watervliet (C),"Water System Improvements., Upgrade Water Treatment Plant, Upgrade Transmission","9,889","$6,986,000",75,"$1,046,561,291",NY_Y0_annual-0002
18133,Delaware,BOVINA CENTER WATER DIST. NO 1 / Bovina (T),New Ground Water Source,142,"$657,000",75,"$1,047,218,291",NY_Y0_annual-0002
18309,Chenango,GUILFORD WATER DISTRICT / Guilford (T),"Water System Improvements Project, New Water Treatment Plant, New Ground Water Source, New Transmission",350,$0,75,"$1,047,218,291",NY_Y0_annual-0002
17417,Delaware,ARKVILLE WATER DISTRICT / Middletown (T),"Extend distribution, 100,000 gallons of storage, 100 gpm well, system consolidation., New Ground Water Source, New Storage, Extend Distribution System, Extend System Consolidation",400,"$1,833,375",75,"$1,049,051,666",NY_Y0_annual-0002
18704,St.Lawrence,POTSDAM (T) / Potsdam (T),"NYS Rt. 56 WD., New Distribution System, New Water District",305,"$4,802,752",75,"$1,053,854,418",NY_Y0_annual-0002
18350,Madison,NELSON-CAZENOVIA ROUTE 20 WATER DISTRICT / Nelson (T),"Towns of Cazenovia & Nelson Route 20 Water District., Extend Distribution System, New System Consolidation, New Water District","1,250","$30,000",75,"$1,053,884,418",NY_Y0_annual-0003
18016,Steuben,WD #3 / Campbell (T),"Serve private contaminated/poor yielding wells., Extend Water District","1,025","$908,687",75,"$1,054,793,105",NY_Y0_annual-0003
17801,Yates,WD #1 / Torrey (T),New Distribution System,375,"$3,079,875",75,"$1,057,872,980",NY_Y0_annual-0003
18456,Ontario,RT. 14 WD JOINT PROJECT / Phelps (T),"Towns of Phelps, Geneva, and Waterloo Joint Project., New Inter-Connection, New Water District",262,"$2,929,753",75,"$1,060,802,733",NY_Y0_annual-0003
18598,Ontario,CANANDAIGUA TOWN CONS. WD / Canandaigua (T),"West Street PS, Trans, and Storage (Cramer Road Water Tank). , Upgrade Other Expenses, New Transmission, Upgrade Storage, Upgrade Other (OT)","6,300","$7,570,000",70,"$1,068,372,733",NY_Y0_annual-0003
18843,Cattaraugus,PORTVILLE VILLAGE / Portville (V),"Well, treatment, storage, and distribution upgrades., Upgrade Water Treatment Plant, Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System","1,040","$5,408,530",70,"$1,073,781,263",NY_Y0_annual-0003
18291,Essex,LAKE PLACID V / Lake Placid (V),"Upgrade Water Treatment Plant, New Storage, Upgrade Distribution System","5,000",$0,70,"$1,073,781,263",NY_Y0_annual-0003
15704,Greene,COXSACKIE VILLAGE / Coxsackie (V),"New storage tank and transmission main upgrades. , Upgrade Transmission, New Storage","4,010",$0,70,"$1,073,781,263",NY_Y0_annual-0003
18356,Wayne,WOLCOTT VILLAGE / Wolcott (V),"Upgrade Water Treatment Plant, Upgrade Distribution System","2,200","$8,002,070",70,"$1,081,783,333",NY_Y0_annual-0003
18903,Albany,ALBANY CITY / Albany MWFA,"2022 Water System Improvements., Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Pump Station","101,082","$5,700,000",70,"$1,087,483,333",NY_Y0_annual-0003
18905,Cayuga,AUBURN / Auburn (C),"Comprehensive upgrades to City of Auburn Water Filtration Plant, Upgrade Water Treatment Plant","29,788","$9,866,370",70,"$1,097,349,703",NY_Y0_annual-0003
18283,Cortland,CORTLAND (C) / Cortland (T),"Broadway Well Field Treatment Improvements., Upgrade Water Treatment Plant","20,095","$3,500,000",70,"$1,100,849,703",NY_Y0_annual-0003
18976,Fulton,GLOVERSVILLE (C) WATER WORKS / Gloversville (C),"WTP and Water Distribution system improvements. New booster pump station., Upgrade Water Treatment Plant, New Pump Station, Upgrade Distribution System","17,991","$5,001,752",70,"$1,105,851,455",NY_Y0_annual-0003
18322,Chemung,ELMIRA WATER BOARD / Elmira Water Board,"Elmira Refresh Initiative., Upgrade Transmission, Upgrade Distribution System","65,000","$5,870,789",70,"$1,111,722,244",NY_Y0_annual-0003
18390,Chautauqua,FREWSBURG WATER DISTRICT / Carroll (T),"New Ground Water Source, Upgrade Distribution System","2,600","$9,721,164",70,"$1,121,443,407",NY_Y0_annual-0003
18818,Oswego,"MT PLEASANT, BATEMAN, DISTIN SERVICE AR / Volney (T)","Mt Pleasant, Bateman, and Disitn Roads Water Service Area Extension., New Distribution System",280,"$208,150",70,"$1,121,651,557",NY_Y0_annual-0003
18910,Oswego,VOLNEY TOWN WD / Volney (T),"County Rt. 6 / Maple Ave Water Service Area Extension., New Distribution System",103,"$710,365",70,"$1,122,361,922",NY_Y0_annual-0003
18075,Madison,CLOCKVILLE WATER DISTRICT / Lincoln (T),"New Clockville WD #1., New Storage, New Distribution System, New Water District",816,"$7,258,100",70,"$1,129,620,022",NY_Y0_annual-0003
18524,Saratoga,MALTAVILLE WATER DISTRICT / Malta (T),"Maltaville WD., New Water District",450,"$3,636,724",70,"$1,133,256,746",NY_Y0_annual-0003
18765,Herkimer,FRANKFORT (T) / Frankfort (T),"Center and Zolad Roads WD., New Distribution System, New Water District",150,"$1,365,000",70,"$1,134,621,746",NY_Y0_annual-0003
18425,Jefferson,WD#7 / Hounsfield (T),"WD #7., New Distribution System",40,$0,70,"$1,134,621,746",NY_Y0_annual-0003
18347,Cayuga,GENOA-KING FERRY WD / Genoa (T),"Upgrade Ground Water Source, Upgrade Transmission, Upgrade Distribution System",900,"$20,000",65,"$1,134,641,746",NY_Y0_annual-0003
18821,Columbia,GREENPORT WD NO1 / Greenport (T),"Source, Treatment and Distribution System Improvements., Upgrade Water Treatment Plant, Upgrade Ground Water Source, Upgrade Pump Station, Upgrade Distribution System","4,050","$6,228,500",65,"$1,140,870,246",NY_Y0_annual-0003
18516,Steuben,GREENWOOD WATER DISTRICT / Greenwood (T),"New Fe/Mn Removal Treatment., New Water Treatment Plant, Upgrade Storage",330,"$856,356",65,"$1,141,726,602",NY_Y0_annual-0003
18523,Albany,ALBANY CITY / Albany MWFA,"Feura Bush WTP Upgrades., Upgrade Water Treatment Plant, Upgrade Storage","101,082",$0,65,"$1,141,726,602",NY_Y0_annual-0003
18877,Washington,NORTH GRANVILLE WD #1 / Granville (T),"Source development and disribution improvements for the North Granville WD., Upgrade Ground Water Source, Upgrade Distribution System",800,"$2,825,625",65,"$1,144,552,227",NY_Y0_annual-0003
18814,Otsego,EDMESTON WATER DISTRICT / Edmeston (T),"Treatment and Distribution System Improvements., Upgrade Water Treatment Plant, Upgrade Distribution System",490,"$6,388,000",65,"$1,150,940,227",NY_Y0_annual-0003
18089,Sullivan,MELODY LAKE ACRES / Thompson (T),Upgrade Distribution System,150,"$2,510,000",65,"$1,153,450,227",NY_Y0_annual-0003
17193,Essex,AUSABLE FORKS WD / Jay (T),"New Water Treatment Plant, New Ground Water Source, New Storage",900,$0,65,"$1,153,450,227",NY_Y0_annual-0003
18345,Herkimer,HERKIMER VILLAGE / Herkimer (V),"Replace Finished Water Transmission Main. Add UV disinfection at WTP., Upgrade Water Treatment Plant, Upgrade Transmission","7,606",$0,65,"$1,153,450,227",NY_Y0_annual-0003
18321,Chautauqua,NCCRWP / Chautauqua County,"North Chautauqua County Regional Water Project., New Water District","31,000","$11,750,000",65,"$1,165,200,227",NY_Y0_annual-0003
18930,Oswego,WATER SERVICE AREA #6 / Mexico (T),"Provide public water to Water Service Area #6, New Distribution System",479,"$549,170",65,"$1,165,749,397",NY_Y0_annual-0003
18165,Clinton,DANNEMORA (T) LEDGERS CORNERS WD / Dannemora (T),"Extend the Clinton County Correctional Facility water system to serve area with contaminated private wells, New Distribution System, New Water District",322,"$4,171,450",65,"$1,169,920,847",NY_Y0_annual-0003
18199,St.Lawrence,COOK STREET WD / Norfolk (T),Extend Distribution System,300,"$1,122,000",65,"$1,171,042,847",NY_Y0_annual-0003
18816,Oswego,WATER SERVICE AREA #9 / New Haven (T),"Water Service Area #9., New Distribution System",300,"$858,143",65,"$1,171,900,990",NY_Y0_annual-0003
18917,Greene,ASHLAND WD / Ashland (T),"Ashland WD Extension Along NYS Rt. 23., Extend Distribution System",200,"$437,750",65,"$1,172,338,740",NY_Y0_annual-0003
18893,Westchester,OAKRIDGE WATER DISTRICT / Lewisboro (T),"Addition of GAC for PFAS removal., Upgrade Water Treatment Plant",892,"$2,000,000",60,"$1,174,338,740",NY_Y0_annual-0003
17548,Albany,MENANDS VILLAGE / Menands (V),"Upgrade Pump Station, Upgrade Distribution System","3,900","$6,936,000",60,"$1,181,274,740",NY_Y0_annual-0003
18618,Tioga,CANDOR VILLAGE WATER DEPT. / Candor (V),"Source, treatment and distribution improvements. , Upgrade Ground Water Source, Upgrade Pump Station, Upgrade Distribution System","1,020",$0,60,"$1,181,274,740",NY_Y0_annual-0003
18592,Westchester,OAKRIDGE WATER DISTRICT IMPROVEMENTS / Lewisboro (T),"Upgrade Water Treatment Plant, Upgrade Storage",895,"$482,500",60,"$1,181,757,240",NY_Y0_annual-0003
17203,NY City,NEW YORK CITY-CATSKILL/DELAWARE SYSTEM / NYCMWFA,"City Tunnel 3, Stage 1, Shafts 8B and 15B, Phase 1 - Completion of Chlorination Booster Stations, Upgrade Distribution System","6,552,718","$1,000,000",60,"$1,182,757,240",NY_Y0_annual-0003
18389,Chautauqua,FREDONIA VILLAGE / Fredonia (V),"Upgrade Water Treatment Plant, Upgrade Pump Station","10,400","$1,100,000",60,"$1,183,857,240",NY_Y0_annual-0003
17301,Jefferson,ADAMS VILLAGE / Adams (V),"Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Distribution System","2,000",$0,60,"$1,183,857,240",NY_Y0_annual-0003
17868,Dutchess,WOODHILL GREEN / Woodhill Green Condos,"New Water Treatment Plant, New Ground Water Source, Upgrade Ground Water Source, New Storage, Upgrade Distribution System",483,"$2,279,500",60,"$1,186,136,740",NY_Y0_annual-0003
15669,Orange,MONROE WD #12 (MONROE HILLS ESTATES) / Monroe (T),"New well house, storage tank and emergency generator; upgrade welll transmission., Upgrade Transmission, New Storage, New Pump Station",120,"$1,496,250",60,"$1,187,632,990",NY_Y0_annual-0003
18631,Orange,NEWBURGH CITY / Newburgh (C),"Replacement of filter media and installation of SCADA system., Upgrade Water Treatment Plant","28,000",$0,60,"$1,187,632,990",NY_Y0_annual-0003
16236,Dutchess,RED HOOK VILLAGE / Red Hook (V),"New Ground Water Source, Upgrade Ground Water Source, New Storage, Upgrade Distribution System","2,214",$0,60,"$1,187,632,990",NY_Y0_annual-0003
18869,Essex,KEENE WD / Keene (T),"WD #2. New redundant well and upgrades to well building., New Ground Water Source",300,"$5,898,337",60,"$1,193,531,327",NY_Y0_annual-0003
18525,Delaware,HANCOCK VILLAGE / Hancock Village,"Village wide water system improvements., Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System","1,189",$0,60,"$1,193,531,327",NY_Y0_annual-0003
17787,Schoharie,SCHOHARIE VILLAGE / Schoharie (V),"Water System Improvements., Upgrade Water Treatment Plant, Upgrade Storage, New Pump Station, Upgrade Distribution System","1,030",$0,60,"$1,193,531,327",NY_Y0_annual-0003
18579,Lewis,TOWN OF DIANA WATER DISTRICT / Diana (T),"Upgrade Wells 1 and 3, Distribution Looping and New Water Meters., Upgrade Ground Water Source, Upgrade Distribution System",618,"$4,916,800",60,"$1,198,448,127",NY_Y0_annual-0003
18749,Oswego,MEXICO VILLAGE / Mexico (V),"Storage and Distribution Upgrades., Upgrade Storage, Upgrade Distribution System","1,600","$1,111,111",60,"$1,199,559,238",NY_Y0_annual-0003
18797,Sullivan,MELODY LAKE ACRES / Thompson (T),"Well No. 1 Upgrades and Replace storage tank, chlorination and corrosion control systems., Upgrade Water Treatment Plant",150,"$725,000",60,"$1,200,284,238",NY_Y0_annual-0003
18611,Cayuga,SENNETT WD #1 / Sennett (T),"WD #3 Improvements and WD #1 Extension., Upgrade Storage, New Distribution System, Upgrade Distribution System",200,"$2,969,000",60,"$1,203,253,238",NY_Y0_annual-0003
18049,Erie,CONCORD TOWN WATER SYSTEM / Concord (T),Extend Distribution System,125,"$335,000",60,"$1,203,588,238",NY_Y0_annual-0003
18187,Genesee,TOWNLINE WATER PROJECT / Batavia (T),Extend Distribution System,500,"$6,300,000",60,"$1,209,888,238",NY_Y0_annual-0003
18180,Jefferson,CAPE VINCENT (T) WD#7 / Cape Vincent (T),"New Water District #7, New Water District",495,"$7,721,000",60,"$1,217,609,238",NY_Y0_annual-0003
18703,St.Lawrence,LOUISVILLE WD #4 / Louisville (T),"New Water District #4., New Distribution System",350,"$5,960,000",60,"$1,223,569,238",NY_Y0_annual-0003
18200,Jefferson,LORRAINE WD1/ELLISBURG WD3 / Lorraine (T),"New Pump Station, Extend Distribution System",300,"$4,190,000",60,"$1,227,759,238",NY_Y0_annual-0003
18045,Genesee,CREEK RD. WD / Batavia (T),New Water District,136,"$1,407,623",60,"$1,229,166,861",NY_Y0_annual-0003
15616,Ulster,PORT EWEN WATER DISTRICT / Esopus (T),New Storage,"4,800",$0,55,"$1,229,166,861",NY_Y0_annual-0003
18135,Saratoga,ROUND LAKE VILLAGE (CPWA) / Round Lake (V),"Disinfection Byproduct Reduction., New Water Treatment Plant",650,$0,55,"$1,229,166,861",NY_Y0_annual-0003
18584,Rensselaer,BERLIN WATER DISTRICT # 2 / Berlin (T),"Replace Storage. Upgrade Well Pumps and System Controls., Upgrade Ground Water Source, Upgrade Storage",700,$0,55,"$1,229,166,861",NY_Y0_annual-0003
18179,Dutchess,DOVER RIDGE ESTATES / Beekman (T),"New Water Treatment Plant, New Ground Water Source, Upgrade Ground Water Source, New Storage, Upgrade Distribution System",250,"$1,019,860",55,"$1,230,186,721",NY_Y0_annual-0003
18659,Albany,WESTERLO WD 1 / Westerlo (T),"Aeration for for DBP treatment at well sources, Upgrade Water Treatment Plant",265,"$200,000",55,"$1,230,386,721",NY_Y0_annual-0003
18540,Chautauqua,WD 2 EXT 1 NORTH & WTP RELOCATION / Chautauqua (T),"New Surface Water Treatment Rule Compliance Facility, Extend Transmission, Extend Distribution System",230,"$5,125,280",55,"$1,235,512,001",NY_Y0_annual-0003
18896,Allegany,CUBA VILLAGE PUBLIC WATER / Cuba (V),"Water main replacement and improvements to well site and storage tanks., Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System","1,800","$7,373,770",55,"$1,242,885,771",NY_Y0_annual-0003
18940,St.Lawrence,EAST LOUISVILLE WATER DISTRICT / Louisville (T),"WTP Upgrade., Upgrade Water Treatment Plant, New Water Treatment Plant","1,200","$2,082,625",55,"$1,244,968,396",NY_Y0_annual-0003
18282,Oswego,CLEVELAND VILLAGE / Cleveland (V),"Storage & Transmission Upgrades., New Ground Water Source, Upgrade Storage, Upgrade Distribution System",925,$0,55,"$1,244,968,396",NY_Y0_annual-0003
18064,Oneida,FORESTPORT WATER DISTRICT / Foresport (T),New Ground Water Source,900,"$390,000",55,"$1,245,358,396",NY_Y0_annual-0003
18093,Oswego,WATER DISTRICT #2 / Sandy Creek (T),Upgrade Distribution System,202,"$1,708,000",55,"$1,247,066,396",NY_Y0_annual-0003
18622,Allegany,ALFRED VILLAGE WATER SUPPLY / Alfred (V),"Upgrade Transmission, Upgrade Storage, Upgrade Pump Station, Upgrade Distribution System","3,500",$0,55,"$1,247,066,396",NY_Y0_annual-0003
18900,Chenango,GREENE VILLAGE / Greene (V),"Replace aged water mains, storage tank upgrades, chlorination improvements, and pressure improvements., Upgrade Water Treatment Plant, Upgrade Storage, New Pump Station, Upgrade Pump","1,800","$15,975,300",55,"$1,263,041,696",NY_Y0_annual-0003
18015,Yates,DUNDEE VILLAGE / Dundee (V),"Upgrade Storage, Upgrade Distribution System","1,638","$6,913,360",55,"$1,269,955,056",NY_Y0_annual-0003
18007,Cortland,MARATHON VILLAGE / Marathon (V),"New Storage, New Pump Station, Upgrade Distribution System","1,107","$2,947,345",55,"$1,272,902,401",NY_Y0_annual-0003
17867,Rensselaer,TROY CITY PWS / Troy (C),"Replace raw water transmission mains between Tomhannock and Troy WTP., Upgrade Transmission","49,170",$0,55,"$1,272,902,401",NY_Y0_annual-0003
16906,Orange,KIRYAS JOEL VILLAGE / Kiryas Joel (V),"Transmission main, Mountainville Wells and Treatment, (2) pump stations. Related to Project DWSRF 18208, New Water Treatment Plant, New Ground Water Source, New Transmission, New Pump Station","21,750",$0,55,"$1,272,902,401",NY_Y0_annual-0003
17951,Orange,KIRYAS JOEL VILLAGE / Kiryas Joel (V),"Redevelopment of Wells 6 and 13A and new well at Well 13 Well Field, New Ground Water Source, Upgrade Ground Water Source","21,750","$3,805,747",55,"$1,276,708,148",NY_Y0_annual-0003
17952,Orange,KIRYAS JOEL VILLAGE / Kiryas Joel (V),"Redevelop wells at the Star Expansion Well Field, Upgrade Ground Water Source","21,750","$4,452,690",55,"$1,281,160,838",NY_Y0_annual-0003
18208,Orange,KIRYAS JOEL VILLAGE / Kiryas Joel (V),"Interconnection NYC Aqueduct, Water Filtration Plant, Transmission main. Related to project DWSRF 16906, New Water Treatment Plant, New Transmission, New Inter-Connection","21,750",$0,55,"$1,281,160,838",NY_Y0_annual-0003
18856,Allegany,WELLSVILLE VILLAGE PUBLIC WATER / Wellsville (V),"Replacement of WTP pumps and controls, meters, and aged water mains., Upgrade Water Treatment Plant, Upgrade Distribution System","5,700","$1,596,912",55,"$1,282,757,750",NY_Y0_annual-0003
18449,Montgomery,FORT PLAIN (V) WATER WORKS / Fort Plain (V),"Upgrade Transmission, Upgrade Storage, Upgrade Pump Station, Upgrade Distribution System","2,400",$0,55,"$1,282,757,750",NY_Y0_annual-0003
18522,Chenango,NEW BERLIN VILLAGE / New Berlin (V),"Distribution, source, and storage improvements., Upgrade Ground Water Source, Upgrade Storage, Upgrade Distribution System","1,500","$4,877,339",55,"$1,287,635,089",NY_Y0_annual-0003
18853,Jefferson,HOUNSFIELD WD #8 / Hounsfield (T),"Replace aged mains, and extend water service to an area currently on individual wells., New Water District",460,"$13,188,120",55,"$1,300,823,209",NY_Y0_annual-0003
18047,Genesee,RTE 98 WD / Batavia (T),"New Water District the serve areas East and West of Rte. 98, New Water District",318,"$5,322,464",55,"$1,306,145,673",NY_Y0_annual-0003
