Project #,County,System Name/Borrower,Description,Pop.,Project Cost,Score,Cumulative Total,Source Document
18083,Hamilton,INDIAN LAKE WD / Indian Lake (T),New Ground Water Source,900,"$1,552,000",75,"$1,012,080,352",NY_Y0_multiyear-0003
18353,Hamilton,ROUTE 8 WATER EXTENSION / Lake Pleasant (T),Extend Distribution System,50,"$835,000",75,"$1,012,915,352",NY_Y0_multiyear-0003
16692,Herkimer,VAN HORNESVILLE WATER WORKS / Stark (T),"VanHornesville Water System, New Surface Water Treatment Rule Compliance Facility, New Storage, Upgrade Distribution System",372,$0,1185,"$1,012,915,352",NY_Y0_multiyear-0003
18292,Herkimer,VAN HORNESVILLE WATER WORKS / Stark (T),"Van Hornesville WD Phase 2 Water System Improvements., New Surface Water Treatment Rule Compliance Facility, New Ground Water Source, Upgrade Distribution System",372,$0,1175,"$1,012,915,352",NY_Y0_multiyear-0003
18562,Herkimer,ILION (V) WATER WORKS / Ilion (V),"Dedicated Well Transmission Main and High Priority Distribution Improvements., Upgrade Ground Water Source, New Transmission, Upgrade Storage, Upgrade Distribution System","8,610",$0,"$1,140","$1,012,915,352",NY_Y0_multiyear-0003
17422,Herkimer,"HERKIMER (T), WD NO. 3 / Herkimer (T)","New Storage, New Pump Station, Distribution System Improvements., New Storage, New Pump Station, Upgrade Distribution System",320,$0,1085,"$1,012,915,352",NY_Y0_multiyear-0003
18563,Herkimer,ILION (V) WATER WORKS / Ilion (V),"Medium Priority Distribution System Improvements and Connection to Eastern Mohawk Valley Regional Trans Main. Related to Project #18897., New Transmission, Upgrade Distribution System, New System Consolidation","8,610","$8,209,100",150,"$1,021,124,452",NY_Y0_multiyear-0003
18860,Herkimer,HERKIMER VILLAGE / Herkimer (V),"High Priority System Upgrades and and Connection to Eastern Mohawk Valley Regional Trans Main. Related to Project #18897., Upgrade Storage, Upgrade Distribution System, New Inter-Connection","7,606","$17,498,670",125,"$1,038,623,122",NY_Y0_multiyear-0003
18716,Herkimer,WEST HERKIMER WD EXT NO. 1 / Herkimer (T),"WD Ext 1 and Connection to Eastern Mohawk Valley Regional Trans Main. Related to Project #18897., New Transmission, New Distribution System, New System Consolidation",150,"$1,839,580",$105,"$1,040,462,702",NY_Y0_multiyear-0003
18711,Herkimer,EAST SCHUYLER WD / Schuyler (T),"New Distribution System and Connection to Eastern Mohawk Valley Regional Trans Main. Related to Project #18897., New Transmission, New Distribution System, New System Consolidation",816,"$7,391,280",$105,"$1,047,853,982",NY_Y0_multiyear-0003
18897,Herkimer,HERKIMER COUNTY INDUSTRIAL DEV AGENCY / Herkimer County IDA,"Eastern Mohawk Valley Regional Transmission Main. Related to projects Nos. 18715, 18716, 18860, 18563, 18711., New Transmission","22,000","$16,620,000",$100,"$1,064,473,982",NY_Y0_multiyear-0003
18715,Herkimer,FRANKFORT (V) WATER WORKS / Frankfort (V),"Distribution System Improvements and Connection to Eastern Mohawk Valley Regional Trans Main. Related to Project #18897., New Transmission, Upgrade Distribution System, New System Consolidation","2,995","$8,667,450",95,"$1,073,141,432",NY_Y0_multiyear-0003
16922,Herkimer,"GRAHM, NEWPORT & BROWN RD WD / Schuyler (T)","New water system with connection to MVWA., New Complete System (New System)",260,"$4,700,000",85,"$1,077,841,432",NY_Y0_multiyear-0003
18872,Herkimer,HERKIMER VILLAGE / Herkimer (V),"Second Priority Water System Improvements., Upgrade Storage, Upgrade Distribution System","7,606","$20,597,940",85,"$1,098,439,372",NY_Y0_multiyear-0003
18765,Herkimer,FRANKFORT (T) / Frankfort (T),"Center and Zolad Roads WD., New Distribution System, New Water District",150,"$1,365,000",$70,"$1,099,804,372",NY_Y0_multiyear-0003
18345,Herkimer,HERKIMER VILLAGE / Herkimer (V),"Replace Finished Water Transmission Main. Add UV disinfection at WTP., Upgrade Water Treatment Plant, Upgrade Transmission","7,606",$0,$65,"$1,099,804,372",NY_Y0_multiyear-0003
18228,Herkimer,DOLGEVILLE (V) PWS / Dolgeville (V),"Upgrade transmission and demo out of service RW chlorination building., Upgrade Transmission","2,166","$150,475",45,"$1,099,954,847",NY_Y0_multiyear-0003
17048,Herkimer,DOLGEVILLE (V) PWS / Dolgeville (V),"Manheim Elevated Storage Tank., New Storage","2,166","$4,735,000",$45,"$1,104,689,847",NY_Y0_multiyear-0003
18453,Herkimer,ILION (V) WATER WORKS / Ilion (V),"Replace Supplemental DE Filtration System, Upgrade Water Treatment Plant","8,610","$1,113,000",40,"$1,105,802,847",NY_Y0_multiyear-0003
18330,Herkimer,OLD FORGE (V) WATER DISTRICT / Webb (T),"Maple Ridge Storage Tank., New Storage","1,766","$1,750,000",20,"$1,107,552,847",NY_Y0_multiyear-0003
18834,Herkimer,POLAND VILLAGE / Polland (V),"Well and Treatment Improvements., Upgrade Other Expenses, Upgrade Ground Water Source, Upgrade Transmission, Upgrade Pump Station, Upgrade Other (OT)",463,"$1,100,000",20,"$1,108,652,847",NY_Y0_multiyear-0003
18418,Jefferson,PHILADELPHIA VILLAGE / Philadelphia (V),"Upgrade Surface Water Source, New Storage, New Pump Station","1,800",$0,"$1,130","$1,108,652,847",NY_Y0_multiyear-0003
18537,Jefferson,ORLEANS WATER IMPROVEMENTS /,"Consolidation of PWS w/ violations and to serve contaminated private wells. Related to DWSRF# 18096., Extend Distribution System",450,$0,1120,"$1,108,652,847",NY_Y0_multiyear-0003
18096,Jefferson,ORLEANS WATER IMPROVEMENTS / Orleans (T),"Consolidation of PWS w/ violations and to serve contaminated private wells, Extend Distribution System",450,$0,"$1,120","$1,108,652,847",NY_Y0_multiyear-0003
18173,Jefferson,BROWNVILLE (T) / Brownville (T),"(T) Brownville WD#2., New Distribution System",424,$0,1090,"$1,108,652,847",NY_Y0_multiyear-0003
18528,Jefferson,PAMELIA WATER SYSTEM PROJECT / Pamelia (T),"Water system improvements and expansion., Upgrade Storage, Upgrade Distribution System, New Inter-Connection, Extend System Consolidation","2,000","$13,990,000",155,"$1,122,642,847",NY_Y0_multiyear-0003
16339,Jefferson,WELLESLEY ISLAND WATER CORP. / Wellesley Island Water Corp.,"New Water Treatment Plant, New Surface Water Source",548,"$2,336,000",130,"$1,124,978,847",NY_Y0_multiyear-0003
18911,Jefferson,LERAY TOWN WD 2 / LeRay (T),"Consolidated Water District Extension along NYS Rt. 11 and former WD #3. Carey Well improvements, New Ground Water Source, Upgrade Distribution System, New Distribution System","2,500","$4,000,000",105,"$1,128,978,847",NY_Y0_multiyear-0003
17978,Jefferson,NORTHEAST WATER DISTRICT / Watertown (T),"New Ground Water Source, New Storage, New Distribution System",550,"$6,260,705",100,"$1,135,239,552",NY_Y0_multiyear-0003
18006,Jefferson,WATER DISTRICT NO. 6 / Hounsfield (T),"Upgrade Transmission, Upgrade Distribution System, Extend Distribution System",450,"$7,715,000",85,"$1,142,954,552",NY_Y0_multiyear-0003
17474,Jefferson,DEPAUVILLE WATER DISTRICT / Clayton (T),"New Distribution System, New System Consolidation",200,"$6,333,529",$80,"$1,149,288,081",NY_Y0_multiyear-0003
18097,Jefferson,CLAYTON VILLAGE / Clayton (V),"Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Pump Station, Upgrade Distribution System","2,100",$0,75,"$1,149,288,081",NY_Y0_multiyear-0003
18425,Jefferson,WD#7 / Hounsfield (T),"WD #7., New Distribution System",40,$0,70,"$1,149,288,081",NY_Y0_multiyear-0003
18088,Jefferson,ALEXANDRIA WATER IMPROVEMENTS / Alexandria (T),Extend Distribution System,300,"$3,015,428",$65,"$1,152,303,509",NY_Y0_multiyear-0003
18936,Jefferson,ALEXANDRIA VILLAGE / Alexandria Bay (V),"WTP upgrades and water main replacement., Upgrade Water Treatment Plant, Upgrade Distribution System","1,900","$11,520,550",60,"$1,163,824,059",NY_Y0_multiyear-0003
17301,Jefferson,ADAMS VILLAGE / Adams (V),"Upgrade Water Treatment Plant, Upgrade Storage, Upgrade Distribution System","2,000",$0,60,"$1,163,824,059",NY_Y0_multiyear-0003
18200,Jefferson,LORRAINE WD1/ELLISBURG WD3 / Lorraine (T),"New Pump Station, Extend Distribution System",300,"$4,190,000",60,"$1,168,014,059",NY_Y0_multiyear-0003
18180,Jefferson,CAPE VINCENT (T) WD#7 / Cape Vincent (T),"New Water District #7, New Water District",495,"$7,721,000",60,"$1,175,735,059",NY_Y0_multiyear-0003
18853,Jefferson,HOUNSFIELD WD #8 / Hounsfield (T),"Replace aged mains, and extend water service to an area currently on individual wells., New Water District",460,"$13,188,120",55,"$1,188,923,179",NY_Y0_multiyear-0003
18876,Jefferson,TOWN OF LYME WATER DISTRICT NO. 6 / Lyme (T),"New Distribution System - Three Mile Bay/Chaumont/Cape Vincent Areas., New Distribution System",150,"$6,413,810",55,"$1,195,336,989",NY_Y0_multiyear-0003
18927,Jefferson,ADAMS VILLAGE / Adams (V),"Water main and water meter replacement, Upgrade Distribution System","2,000","$5,106,000",50,"$1,200,442,989",NY_Y0_multiyear-0003
17058,Jefferson,HOUNSFIELD WD 2 / Hounsfield (T),Extend Distribution System,500,"$794,439",50,"$1,201,237,428",NY_Y0_multiyear-0003
18232,Jefferson,ADAMS VILLAGE / Adams (V),"Upgrade Ground Water Source, Upgrade Distribution System","2,000",$0,50,"$1,201,237,428",NY_Y0_multiyear-0003
17924,Jefferson,WD#3 EXTENSION / Hounsfield (T),Extend Distribution System,37,"$2,635,000",50,"$1,203,872,428",NY_Y0_multiyear-0003
17320,Jefferson,HOUNSFIELD WD#2 EXTENSION / Hounsfield (T),New Distribution System,200,"$3,900,000",50,"$1,207,772,428",NY_Y0_multiyear-0003
18607,Jefferson,ALEXANDRIA VILLAGE / Alexandria Bay (V),"Improvement and replacement of storage tanks, and replacement of portions of water mains., Upgrade Storage, Upgrade Distribution System","1,900","$2,500,000",45,"$1,210,272,428",NY_Y0_multiyear-0003
17466,Jefferson,SACKETS HARBOR VILLAGE / Sackets Harbor (V),Upgrade Water Treatment Plant,"1,300","$3,090,000",45,"$1,213,362,428",NY_Y0_multiyear-0003
17185,Jefferson,WATERTOWN TOWN WD 2 / Watertown (T),New Distribution System,100,"$1,435,865",45,"$1,214,798,293",NY_Y0_multiyear-0003
17305,Jefferson,MORGIAS BEACH WATER SYSTEM / Sackets Harbor (V),New Distribution System,65,"$500,000",45,"$1,215,298,293",NY_Y0_multiyear-0003
18126,Jefferson,BROWNVILLE VILLAGE / Brownville (V),"Replace Severely Aged Distribution Mains and Tank., New Storage, Upgrade Distribution System","1,200","$16,348,500",40,"$1,231,646,793",NY_Y0_multiyear-0003
18329,Jefferson,CHAUMONT VILLAGE / Chaumont (V),"Upgrade Transmission, Upgrade Distribution System",625,$0,40,"$1,231,646,793",NY_Y0_multiyear-0004
18175,Jefferson,SACKETS HARBOR VILLAGE / Sackets Harbor (V),"Replace existing intake piping and crib., Upgrade Surface Water Source, Upgrade Transmission","1,300","$3,650,000",40,"$1,235,296,793",NY_Y0_multiyear-0004
18627,Jefferson,"WATERTOWN, CITY OF / Watertown (C)","Upgrades to soda ash system and replacement of filter backwash tank. , Upgrade Water Treatment Plant","27,861","$1,700,000",40,"$1,236,996,793",NY_Y0_multiyear-0004
18052,Jefferson,CAPE VINCENT VILLAGE / Cape Vincent (V),Upgrade Water Treatment Plant,"1,500","$3,200,000",40,"$1,240,196,793",NY_Y0_multiyear-0004
18884,Jefferson,TOWN OF HOUNSFIELD WATER SYSTEM / Hounsfield (T),"NYS Rt 3 Corridor Upgrades., New Transmission, Upgrade Transmission, Upgrade Storage, Upgrade Distribution System","1,250","$5,610,500",35,"$1,245,807,293",NY_Y0_multiyear-0004
18236,Jefferson,LERAY TOWN WD 2 / Leray (T),"Upgrade Ground Water Source, New Storage","2,500",$0,35,"$1,245,807,293",NY_Y0_multiyear-0004
17465,Jefferson,HIGHWAY GARAGE WD / Hounsfield (T),Upgrade Distribution System,200,"$3,035,853",35,"$1,248,843,146",NY_Y0_multiyear-0004
17308,Jefferson,BROWNVILLE VILLAGE / Brownville (V),Upgrade Distribution System,"1,200","$574,000",25,"$1,249,417,146",NY_Y0_multiyear-0004
18021,Jefferson,WATER DISTRICT #3 / Ellisburg (T),"Serve private contaminated/poor yielding wells., Extend Distribution System",200,"$9,000,000",$20,"$1,258,417,146",NY_Y0_multiyear-0004
17585,Jefferson,CLAYTON VILLAGE / Clayton (V),Upgrade Distribution System,"2,100","$551,000",$15,"$1,258,968,146",NY_Y0_multiyear-0004
17464,Jefferson,ROUTE 12F WD / Hounsfield (T),Upgrade Distribution System,144,"$5,406,750",15,"$1,264,374,896",NY_Y0_multiyear-0004
18246,Jefferson,DEFERIET VILLAGE / Deferiet (V),Upgrade Distribution System,300,"$1,381,230",$15,"$1,265,756,126",NY_Y0_multiyear-0004
16549,Jefferson,NORTHLAND ESTATES / Northland Park Inc.,New Storage,540,"$82,416",15,"$1,265,838,542",NY_Y0_multiyear-0004
18174,Jefferson,SACKETS HARBOR VILLAGE / Sackets Harbor (V),Upgrade Distribution System,"1,300","$800,000",10,"$1,266,638,542",NY_Y0_multiyear-0004
18020,Lewis,WATER DISTRICT #1 / Denmark (T),"Serve private contaminated/poor yielding wells., New Storage, Extend Distribution System. NOTE: Short - Term Loan Closed, Project Cost Shown is Remaining Balance Not Funded With Short Term Loan",275,$0,1130,"$1,266,638,542",NY_Y0_multiyear-0004
18310,Lewis,LOWVILLE VILLAGE / Lowville (V),"Five Streets Water Improvement Project., Upgrade Storage, Upgrade Distribution System. NOTE: Short - Term Loan Closed, Project Cost Shown is Remaining Balance Not Funded With Short Term Loan","4,000","$330,000","$1,085","$1,266,968,542",NY_Y0_multiyear-0004
18548,Lewis,HAMLET OF GLENFIELD WATER DISTRIBUTION S / Martinsburg (T),"Improvements to the existing water system including replacing the original water distribution system. NOTE: Short - Term Loan Closed, Project Cost Shown is Remaining Balance Not Funded With Short Term Loan",231,$0,1080,"$1,266,968,542",NY_Y0_multiyear-0004
18658,Lewis,TOWN OF LOWVILLE WD 1 / Lowville (T),"DBP related system improvements, Upgrade Water Treatment Plant",350,"$1,500,000",85,"$1,268,468,542",NY_Y0_multiyear-0004
18745,Lewis,LOWVILLE VILLAGE / Lowville (V),"Groundwater Project Phase 1., Upgrade Water Treatment Plant, New Ground Water Source, New Pump Station","4,000","$5,560,000",$80,"$1,274,028,542",NY_Y0_multiyear-0004
18579,Lewis,TOWN OF DIANA WATER DISTRICT / Diana (T),"Upgrade Wells 1 and 3, Distribution Looping and New Water Meters., Upgrade Ground Water Source, Upgrade Distribution System",618,"$4,916,800",60,"$1,278,945,342",NY_Y0_multiyear-0004
18825,Lewis,COPENHAGEN VILLAGE / Copenhagen (V),"Woodbattle Road WTP and wells Rehabilitation., Upgrade Water Treatment Plant",850,"$1,134,000",40,"$1,280,079,342",NY_Y0_multiyear-0004
18756,Lewis,CONSTABLEVILLE VILLAGE / Constableville (V),"Replace watermain on N. Main street, Main street, W. Main street, Schuyler street, James street, John street, and High street., Upgrade Distribution System",310,"$3,644,450",30,"$1,283,723,792",NY_Y0_multiyear-0004
16683,Lewis,CONSTABLEVILLE VILLAGE / Constableville (V),Upgrade Transmission,310,"$1,575,000",30,"$1,285,298,792",NY_Y0_multiyear-0004
18735,Lewis,CASTORLAND VILLAGE / Castorland (V),"Denmark Storage Tank Replacement., New Storage",320,"$650,000",25,"$1,285,948,792",NY_Y0_multiyear-0004
18746,Livingston,LAKEVILLE WD / Livingston Co. Water & Sewer A,"Disinfection byproduct removal, installation of new meters and SCADA, storage tank replacement, consolidation of water systems., Upgrade Storage, Upgrade Distribution System, New System Consolidation","2,400","$7,000,000",100,"$1,292,948,792",NY_Y0_multiyear-0004
18708,Livingston,DANSVILLE (V) / Dansville (V),"Replacement of aged undersized mains, Upgrade Distribution System","4,463","$6,838,170",35,"$1,299,786,962",NY_Y0_multiyear-0004
18655,Livingston,AVON VILLAGE PWS / Avon (V),"Replace existing aged undersized pump station, Upgrade Pump Station","2,993","$2,048,217",30,"$1,301,835,179",NY_Y0_multiyear-0004
18124,Livingston,SPRINGWATER WD / Springwater (T),"Upgrade Storage, Upgrade Distribution System",360,"$1,391,560",$25,"$1,303,226,739",NY_Y0_multiyear-0004
18609,Livingston,LEICESTER VILLAGE / Leicester (V),"Pleasant Street Water Main Replacement., Upgrade Distribution System",438,"$200,000",10,"$1,303,426,739",NY_Y0_multiyear-0004
18261,Madison,SLEEPY HOLLOW SUBDIVISION / Sullivan (T),"Sleepy Hollow WD & Ext No. 1 Improvements and Connection to OCWA., New Storage, Extend Distribution System, New Inter-Connection, New Water District. NOTE: Short - Term Loan Closed, Project Cost Shown is Remaining Balance Not Funded With Short Term Loan",27,"$200,000",1145,"$1,303,626,739",NY_Y0_multiyear-0004
18879,Madison,SKYRIDGE WD / SALT SPRINGS WD / Sullivan (T),"Town of Sullivan portion of Skyridge WD/Salt Springs WD project. Currently Inactive. Related to Project #18534., New System Consolidation, New Water District",304,"$2,290,909",$95,"$1,305,917,648",NY_Y0_multiyear-0004
18350,Madison,NELSON-CAZENOVIA ROUTE 20 WATER DISTRICT / Nelson (T),"Towns of Cazenovia & Nelson Route 20 Water District., Extend Distribution System, New System Consolidation, New Water District","1,250","$30,000",$75,"$1,305,947,648",NY_Y0_multiyear-0004
18075,Madison,CLOCKVILLE WATER DISTRICT / Lincoln (T),"New Clockville WD #1., New Storage, New Distribution System, New Water District",816,"$7,258,100",$70,"$1,313,205,748",NY_Y0_multiyear-0004
18859,Madison,WHITELAW WD / Sullivan (T),"Extend water service to areas served by private wells., New Water District",180,"$3,700,790",50,"$1,316,906,538",NY_Y0_multiyear-0004
18082,Madison,ONEIDA CITY / Oneida (C),"Replace RW transmission main crossing of Fish Creek., Upgrade Transmission","12,000","$2,309,000",45,"$1,319,215,538",NY_Y0_multiyear-0004
18677,Madison,HAMILTON BROWN/BUSHNELL SHORE WD / Sullivan (T),"Hamilton Brown/Bushnell Shore WD Improvement Project., Extend Distribution System, New Water District",70,"$800,000",45,"$1,320,015,538",NY_Y0_multiyear-0004
18299,Madison,DERUYTER VILLAGE / DeRuyter (V),"NYS Route 13 Water Main Improvements., Upgrade Distribution System",643,"$478,900",40,"$1,320,494,438",NY_Y0_multiyear-0004
18069,Madison,HAMILTON VILLAGE / Hamilton (V),"New Redundant Source., New Ground Water Source, Upgrade Distribution System","3,904","$3,110,600",35,"$1,323,605,038",NY_Y0_multiyear-0004
18829,Madison,ONEIDA CITY / City of Oneia,"Construction of a new clear well, and rehab existing clear well., Upgrade Storage","12,000","$3,048,800",35,"$1,326,653,838",NY_Y0_multiyear-0004
18213,Monroe,ROCHESTER CITY / Rochester (C),"Cover Highland Reservoir, Upgrade Storage","214,000","$7,200,000",105,"$1,333,853,838",NY_Y0_multiyear-0004
16326,Monroe,MCWA EASTSIDE WTP / MCWA,"Eastside Water Supply Project Regional Water Treatment Plant Phase 4, Raw Water Transmission Main & Backwash Return Line, New Water Treatment Plant, New Transmission","222,503","$16,000,000",$100,"$1,349,853,838",NY_Y0_multiyear-0004
16325,Monroe,MCWA EASTSIDE WTP / MCWA,"Eastside Water Supply Project Regional Water Treatment Plant Phase 3, Construction of WTP., New Water Treatment Plant","222,503","$60,000,000",$100,"$1,409,853,838",NY_Y0_multiyear-0004
16324,Monroe,MCWA EASTSIDE WTP / MCWA,"Eastside Water Supply Project Regional Water Treatment Plant Phase 2, Raw Water Pump Station, New Water Treatment Plant, New Pump Station","222,503","$15,000,000",$100,"$1,424,853,838",NY_Y0_multiyear-0004
16327,Monroe,MCWA EASTSIDE WTP / MCWA,"Eastside Water Supply Project Regional Water Treatment Plant Phase 5, Finished Water Transmission Mains, New Water Treatment Plant, New Transmission","222,503","$28,000,000",$100,"$1,452,853,838",NY_Y0_multiyear-0004
17812,Monroe,ROCHESTER CITY / Rochester (C),"Install liner and floating cover on Rush Reservoir, Upgrade Storage","214,000","$11,900,000",85,"$1,464,753,838",NY_Y0_multiyear-0004
16879,Monroe,ROCHESTER CITY / Rochester (C),"2003 Watermain Extensions and Improvements., Upgrade Distribution System","214,000","$1,348,000",75,"$1,466,101,838",NY_Y0_multiyear-0004
17155,Monroe,ROCHESTER CITY / Rochester (C),"2006 Watermain Extensions and Improvements., Upgrade Distribution System","214,000","$1,261,000",75,"$1,467,362,838",NY_Y0_multiyear-0004
17154,Monroe,ROCHESTER CITY / Rochester (C),"2005 Watermain Extensions and Improvements., Upgrade Distribution System","214,000","$1,240,000",75,"$1,468,602,838",NY_Y0_multiyear-0004
17153,Monroe,ROCHESTER CITY / Rochester (C),"2004 Watermain Extensions and Improvements., Upgrade Distribution System","214,000","$1,219,000",75,"$1,469,821,838",NY_Y0_multiyear-0004
17721,Monroe,MCWA RIGA WD / Riga (T),New Distribution System,25,"$4,500,000",$55,"$1,474,321,838",NY_Y0_multiyear-0004
16328,Monroe,MCWA SHOREMONT WTP / Monroe Co. Water Authority,Upgrade Surface Water Source,"310,000","$1,854,000",55,"$1,476,175,838",NY_Y0_multiyear-0004
15659,Monroe,MONROE CO. WATER AUTHORITY / Wheatland (T),"Wheatland Center Road water extension to Blue Pond and South Road., Extend Distribution System",250,"$1,252,600",45,"$1,477,428,438",NY_Y0_multiyear-0004
18484,Monroe,ROCHESTER CITY / Rochester (C),"Conduits 2 and 3 Cathodic Protection., Upgrade Transmission","214,000","$2,600,000",45,"$1,480,028,438",NY_Y0_multiyear-0004
16333,Monroe,MCWA MENDON WD / Monroe Co. Water Authority,"Boughton Hill Road., Extend Distribution System",25,"$1,085,842",$45,"$1,481,114,280",NY_Y0_multiyear-0004
16332,Monroe,MCWA MENDON WD / MCWA/Mendon (T),"Parrish Road., Extend Distribution System",25,"$745,662",$45,"$1,481,859,942",NY_Y0_multiyear-0004
16331,Monroe,MCWA MENDON WD / MCWA/Mendon (T),"Mendon-Ionia Road., Extend Distribution System",25,"$342,580",$45,"$1,482,202,522",NY_Y0_multiyear-0004
15037,Monroe,MCWA RIGA WD / MCWA/Riga (T),"Betteridge-Griffin Roads., Extend Distribution System",25,"$199,893",40,"$1,482,402,415",NY_Y0_multiyear-0004
17810,Monroe,ROCHESTER CITY / Rochester (C),Upgrade Storage,"214,000","$7,025,000",40,"$1,489,427,415",NY_Y0_multiyear-0004
17813,Monroe,ROCHESTER CITY / Rochester (C),"New Other Expenses, New Other (OT)","214,000","$10,090,000",40,"$1,499,517,415",NY_Y0_multiyear-0004
15035,Monroe,MCWA RIGA WD / MCWA/Riga (T),"Route 36 - Sanford Road., Extend Distribution System",25,"$221,610",$40,"$1,499,739,025",NY_Y0_multiyear-0004
18485,Monroe,ROCHESTER CITY / Rochester (C),"Scottrville Road Water Main Replacement., Upgrade Distribution System","214,000","$1,253,000",$40,"$1,500,992,025",NY_Y0_multiyear-0004
17542,Monroe,WEBSTER VILLAGE / Webster (V),Upgrade Storage,"7,500","$400,826",40,"$1,501,392,851",NY_Y0_multiyear-0004
15759,Monroe,MCWA MENDON WD / MCWA/ Mendon (T),"Semmel Road water main., Extend Distribution System",25,"$267,615",$40,"$1,501,660,466",NY_Y0_multiyear-0004
15623,Monroe,HAMLIN CONSOLIDATED WATER DIST / Hamlin (T),"Walker - Lake Ontario Road., Extend Distribution System","10,000","$378,657",40,"$1,502,039,123",NY_Y0_multiyear-0004
15620,Monroe,HAMLIN CONSOLIDATED WATER DIST / Hamlin (T),"Route 18., Extend Distribution System","10,000","$876,742",40,"$1,502,915,865",NY_Y0_multiyear-0004
18421,Monroe,MCWA SHOREMONT WTP / Monroe County Water Authority,Upgrade Water Treatment Plant,"310,000","$3,000,000",40,"$1,505,915,865",NY_Y0_multiyear-0004
16605,Monroe,MCWA MENDON WD / Mendon (T),"Main Street Fishers and Mile Square Rd., Extend Distribution System",25,"$148,686",$40,"$1,506,064,551",NY_Y0_multiyear-0004
15198,Monroe,ROCHESTER CITY / Rochester (C),"Water Main Extensions and Improvements., Upgrade Transmission","214,000","$1,946,200",40,"$1,508,010,751",NY_Y0_multiyear-0004
16738,Monroe,SPRUCE LANE WATER DISTRICT / Pittsford (T),Upgrade Distribution System,30,"$60,770",$40,"$1,508,071,521",NY_Y0_multiyear-0004
16603,Monroe,MCWA MENDON WD / Mendon (T),"Rte. 251-Rush/Mendon Road., Extend Distribution System",25,"$159,650",40,"$1,508,231,171",NY_Y0_multiyear-0004
18432,Monroe,ROCHESTER CITY / Rochester (C),"Replace mains Cynthia Lane Westchester Ave.,Grand Ave., Flower City Park, Mt. Read Blvd., Gorsline St., Swan St., and Frost Ave, Upgrade Distribution System","214,000","$3,400,000",35,"$1,511,631,171",NY_Y0_multiyear-0004
17808,Monroe,ROCHESTER CITY / Rochester (C),Upgrade Distribution System,"214,000","$2,040,000",35,"$1,513,671,171",NY_Y0_multiyear-0004
17809,Monroe,ROCHESTER CITY / Rochester (C),Upgrade Transmission,"214,000","$5,800,000",35,"$1,519,471,171",NY_Y0_multiyear-0004
17805,Monroe,ROCHESTER CITY / Rochester (C),Upgrade Distribution System,"214,000","$1,660,000",35,"$1,521,131,171",NY_Y0_multiyear-0004
17806,Monroe,ROCHESTER CITY / Rochester (C),Upgrade Distribution System,"214,000","$509,500",35,"$1,521,640,671",NY_Y0_multiyear-0004
17881,Monroe,WEBSTER (T) / MCWA,"replace 5000 lf of main in Hard Road, Upgrade Distribution System","2,400","$810,170",$20,"$1,522,450,841",NY_Y0_multiyear-0004
17878,Monroe,SWEDEN (T) / MCWA,"New Transmission, New Storage","4,400","$4,672,000",20,"$1,527,122,841",NY_Y0_multiyear-0004
16777,Monroe,HENRIETTA WD #1 / Henrietta (T),"RIT Backflow Prevention Project., Upgrade Distribution System","36,400","$360,500",15,"$1,527,483,341",NY_Y0_multiyear-0004
18230,Monroe,MCWA SHOREMONT WTP / Monroe County Water Authority,Upgrade Distribution System,"310,000","$855,000",$15,"$1,528,338,341",NY_Y0_multiyear-0004
18926,Monroe,MCWA SHOREMONT WTP / Monroe County Water Authority,"Installation of emergency scrubber for chlorine gas treatment., Upgrade Other Expenses, Upgrade Other (OT)","310,000","$300,000",15,"$1,528,638,341",NY_Y0_multiyear-0004
17877,Monroe,PITTSFORD (T) & BRIGHTON (T) / MCWA,"Main replacement Clover Street in Pittsford (T) & Brighton (T), Upgrade Distribution System","3,300","$739,200",10,"$1,529,377,541",NY_Y0_multiyear-0004
17875,Monroe,PITTSFORD & BRIGHTON (T)'S & E. ROCHESTER(V) / MCWA,"Cement line 23,470 lf mains in (T)'s Pittsford & Brighton & (V) E. Rochester, Upgrade Distribution System","12,000","$1,490,455",10,"$1,530,867,996",NY_Y0_multiyear-0004
17876,Monroe,PERINTON (T) & FAIRPORT (V) / MCWA,"Main replacement Creekside Rd., Potter Pl, Lewis St, E. Church St in Perinton (T) & Fairport (V), Upgrade Distribution System","1,500","$668,200",10,"$1,531,536,196",NY_Y0_multiyear-0004
17874,Monroe,GATES (T)& PERITON (T) / MCWA,"Pipe Bridge Rehabilitation Cairn St in Gates & Marsh Rd. in Periton, Upgrade Distribution System","90,000","$434,678",10,"$1,531,970,874",NY_Y0_multiyear-0004
17880,Monroe,PENFIELD (T) / MCWA,"Replace 3900 lf main on Five mile Line Rd., Upgrade Distribution System",600,"$607,600",10,"$1,532,578,474",NY_Y0_multiyear-0004
17216,Monroe,FAIRPORT VILLAGE / Fairport (V),"Replace distribution main on South Avenue., Upgrade Distribution System","9,800","$86,310",10,"$1,532,664,784",NY_Y0_multiyear-0004
17873,Monroe,BERGEN (V) & IRONDEQUOIT (T) / MCWA,"Cement lining 23,300 lf water main Bergen (V) & Irondequoit (T), Upgrade Distribution System","3,700","$1,647,500",10,"$1,534,312,284",NY_Y0_multiyear-0004
