RANK,PWS #,APPLICANT,SYSTEM TOWN,PROJECT NAME,POPULATION,REQUESTED LOAN  AMOUNT,ARPA  DISADVANTAGED  CO-OP or EPA WIIN  GRANT,EMERGING  CONTAMINANTS,LEAD SERVICE  LINE (LSL) LOAN  AMOUNT,LSL FORGIVENESS,2022 ARPA  GRANT,BASE &  SUPPLEMENTAL  LOAN AMOUNT,BASE &  SUPPLEMENTAL  FORGIVENESS,A. WATER QUALITY  SCORE,B. QUANTITY  DEFICIENCIES  SCORE,C. TREATMENT  SCORE,D. STORAGE SCORE,E. DISTRIBUTION  SCORE,F.  AFFORDABILITY  SCORE,G. CAP DEV  SCORE,H. GREEN  SCORE,I. RESILIENCY  SCORE,J.  CONSOLIDATION /INTERCONNECTI ON SCORE,K. CRITICAL  INFRASTRUCTUR E SCORE,L. PROJECT  READINESS  SCORE,TOTAL SCORE,WATER  RATE,MHI,FINANCIALLY  DISADVANTAGED,ENVIRONMENTALL Y DISADVANTAGED,AFFORDABILITY  INDEX
83,162270,NORDIC VILLAGE,BARTLETT,NVCA MANGANESE WATER  TREATMENT,315,"$110,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,30,0,0,0,0,11,10,0,0,0,20,0,71,$587.35,"$35,982.00",YES,,1.6
84,651010,DOVER WATER DEPT,DOVER,WATER STORAGE  IMPROVEMENTS,"28,000","$7,300,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,10,15,0,10,5,0,0,20,10,70,$533.28,"$74,833.00",NO,,0.7
85,1741010,NEWPORT WATER WORKS,NEWPORT,NORTH NEWPORT WELL  DEVELOPMENT PROJECT,"5,000","$2,462,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,18,0,0,0,7,20,0,10,0,15,0,70,$677.52,"$66,102.00",YES,,1.0
86,2521010,WILTON WATER WORKS,WILTON,NH ROUTE 101 WATER  MAIN IMPROVEMENTS,"1,700","$800,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,15,0,20,5,0,0,20,10,70,$345.96,"$52,969.00",NO,,0.7
87,1731010,NEWMARKET WATER  WORKS,NEWMARKET,BENNETT WELL  IMPROVEMENTS,"5,030","$1,880,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,16,0,0,7,20,15,0,0,10,0,68,$689.70,"$69,259.00",YES,,1.0
88,2001010,ROCHESTER WATER DEPT,ROCHESTER,ROCHESTER WATER  TREATMENT PLANT  ELECTRICAL UPGRADES,"25,000","$2,100,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,5,0,0,7,20,15,0,0,20,0,67,$561.12,"$66,831.00",YES,,0.8
89,2001010,ROCHESTER WATER DEPT,ROCHESTER,LEAD SERVICE INVENTORY  ASSESSMENT AND  REPLACEMENT,"25,000","$400,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,40,7,20,0,0,0,0,0,67,$561.12,"$66,831.00",YES,,0.8
90,1852020,PEU/GAGE HILL,PELHAM,GAGE HILL WATER MAIN  REPLACEMENT,68,"$1,300,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,15,7,20,5,0,0,20,0,67,"$1,185.00","$108,223.00",NO,,1.1
91,921020,GORHAM HILL SPRING,GORHAM,GORHAM HILL PUMPING  STATION INSTALLATION  AND WATER MAIN  REPLACEMENT,55,"$4,200,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,15,7,0,5,10,20,10,0,67,$445.64,"$50,666.00",YES,,0.9
92,762040,MELLING GLEN,EPPING,NEW WELL HOUSE AND  INFRASTRUCTURE  IMPROVEMENTS,92,"$423,485.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,34,0,0,7,0,5,0,0,20,0,66,$587.35,"$66,388.00",YES,,0.9
93,1181010,CENTRAL HOOKSETT  WATER PCT,HOOKSETT,FARMER ROAD WATER  MAIN,"4,300","$1,000,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,15,0,20,0,0,30,0,0,65,$447.96,"$74,497.00",NO,,0.6
94,951010,VILLAGE DIST OF  EASTMAN,GRANTHAM,COVERED BRIDGE LANE/  BAY TREE LANE/ OLD BEACH  CIRCLE & FERNWOOD DRIVE  WATERMAIN  REPLACEMENT,"3,400","$2,286,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,33,7,20,5,0,0,0,0,65,"$1,780.00","$126,302.00",NO,,1.4
95,1971010,RAYMOND WATER DEPT,RAYMOND,RAYMOND WATER  STORAGE TANK,"3,300","$3,500,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,20,0,7,20,0,0,0,15,0,62,$555.96,"$55,822.00",YES,,1.0
96,1392180,CENTURY VILLAGE  CONDOS,LONDONDERRY,WATERLINE  INTERCONNECTION  EXTENSION AND METERS,875,"$870,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,27,0,10,5,0,0,20,0,62,$587.35,"$107,813.00",NO,,0.5
97,1471010,MANCHESTER WATER  WORKS,MANCHESTER,SUPPLY/TREATMENT  CAPITAL WORK FY2022,"133,000","$900,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,20,0,16,0,0,0,10,5,0,0,10,0,61,$275.95,"$62,087.00",NO,,0.4
98,801010,EXETER WATER DEPT,EXETER,GROUNDWATER SUPPLY  IMPROVEMENTS,"12,200","$5,700,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,34,0,0,0,7,10,0,10,0,0,0,61,$843.00,"$68,984.00",YES,,1.2
99,1941010,PLYMOUTH VLG WATER  AND SEWER,PLYMOUTH,LOW PRESSURE SERVICE  ZONE WATER STORAGE  TANK REPLACEMENT,"6,300","$4,368,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,10,0,11,20,0,0,0,20,0,61,$924.48,"$50,658.00",YES,,1.8
100,1844010,CARROLL COUNTY  COMPLEX,OSSIPEE,NEW GROUNDWATER  SOURCE DEVELOPMENT,258,"$1,040,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,34,0,0,0,7,0,0,10,0,10,0,61,$687.96,"$47,248.00",YES,,1.5
101,1281010,LACONIA WATER WORKS,LACONIA,SUMMER STREET WATER  MAIN REPLACEMENT,"20,500","$202,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,55,0,0,5,0,0,0,0,60,$310.20,"$55,814.00",NO,,0.6
102,1741010,NEWPORT WATER WORKS,NEWPORT,WATER METER  REPLACEMENT,"5,000","$500,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,27,7,20,5,0,0,0,0,59,$677.52,"$66,102.00",YES,,1.0
103,651010,DOVER WATER DEPT,DOVER,LITTLEWORTH ROAD -  INBOUND,"28,000","$3,000,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,33,0,10,5,0,0,0,10,58,$533.28,"$74,833.00",NO,,0.7
104,2041010,RYE WATER DIST,RYE,PARSONS & MARSH ROAD  WATER MAIN  IMPROVEMENTS,"4,300","$2,261,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,33,0,20,5,0,0,0,0,58,$435.00,"$108,750.00",NO,,0.4
105,771010,EPSOM VILLAGE DIST,EPSOM,SHORT FALLS ROAD WATER  MAIN REPLACEMENT,800,"$1,075,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,33,0,20,5,0,0,0,0,58,$721.92,"$96,840.00",NO,,0.7
106,512060,FOREST EDGE,CONWAY,PUMP HOUSE II  RENOVATION &,118,"$125,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,16,0,15,7,0,5,0,0,15,0,58,$586.68,"$53,300.00",YES,,1.1
107,1241010,KEENE WATER DEPT,KEENE,CONSOLIDATION  3 MG ROXBURY WATER  STORAGE TANK  IMPROVEMENTS,"30,000","$2,400,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,10,0,7,20,5,0,0,15,0,57,$488.88,"$57,393.00",YES,,0.9
108,1241010,KEENE WATER DEPT,KEENE,GENERATOR  IMPROVEMENTS -  CHAPMAN ROAD AND  PORTABLE,"30,000","$250,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,5,0,0,7,20,15,0,0,10,0,57,$488.88,"$57,393.00",YES,,0.9
109,1241010,KEENE WATER DEPT,KEENE,ISLAND STREET  INFRASTRUCTURE PROJECT,"30,000","$893,700.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,15,7,20,5,10,0,0,0,57,$488.88,"$57,393.00",YES,,0.9
110,2151010,SOMERSWORTH WATER  WORKS,SOMERSWORTH,MAIN STREET UTILITY  REPLACEMENT PROJECT,"12,000","$2,145,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,15,7,20,5,0,0,10,0,57,$519.72,"$67,209.00",YES,,0.8
111,1321010,LEBANON WATER DEPT,LEBANON,KIMBALL,"10,050","$445,475.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,15,7,20,15,0,0,0,0,57,$577.56,"$73,704.00",YES,,0.8
112,1731010,NEWMARKET WATER  WORKS,NEWMARKET,GREAT HILL WATER TANK II,"5,030","$2,720,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,10,0,7,20,0,0,0,20,0,57,$689.70,"$69,259.00",YES,,1.0
113,1221010,JAFFREY WATER WORKS,JAFFREY,WHEELER NEIGHBORHOOD  WATERMAIN  REPLACEMENT,"3,800","$1,300,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,15,7,20,5,0,0,0,10,57,$970.32,"$63,565.00",YES,,1.5
114,161020,LOWER BARTLETT WATER  PCT,BARTLETT,LOWER BARTLETT WATER  PRECINCT  INTERCONNECTION,"3,800","$14,000,280.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,0,7,20,0,0,30,0,0,57,$575.90,"$35,982.00",YES,,1.6
115,61010,ALTON WATER WORKS,ALTON,2022 WATER STORAGE  TANK REHABILITATION AND  WATER MAIN  REPLACEMENTS,"1,750","$1,221,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,10,15,7,0,5,0,0,20,0,57,"$1,115.04","$96,681.00",NO,,1.2
116,1101050,MOUNTAIN LAKES WATER  DEPT,HAVERHILL,KEARSARGE DRIVE  RECONNECT WATER LINE  AND INSTALL VALVE AND  BLOW-OFF,787,"$8,220.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,30,7,0,5,0,0,15,0,57,$600.00,"$52,611.00",YES,,1.1
117,2542170,PEU/LAMPLIGHTER  VILLAGE,WINDHAM,SOUTHERN NH REGIONAL  WATER INTERCONNECTION,162,"$450,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,0,7,0,0,0,30,20,0,57,"$1,185.00","$154,032.00",NO,,0.8
118,2041010,RYE WATER DIST,RYE,CENTRAL WATER  TREATMENT FACILITY,"4,300","$900,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,30,0,0,0,0,0,20,5,0,0,0,0,55,$435.00,"$108,750.00",NO,,0.4
119,1461010,VILLAGE DISTRICT OF  EIDELWEISS,MADISON,WATER MAIN  REPLACEMENT,"1,140","$1,160,900.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,30,0,20,5,0,0,0,0,55,$450.00,"$82,984.00",NO,,0.5
120,1461010,VILLAGE DISTRICT OF  EIDELWEISS,MADISON,WATER MAIN  REPLACEMENT,"1,140","$500,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,30,0,20,5,0,0,0,0,55,$450.00,"$82,984.00",NO,,0.5
121,611010,DERRY WATER DEPT,DERRY,TSIENNETTO TANK  CHEMICAL FEED BUILDING,"17,210","$1,250,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,36,0,0,0,18,0,0,0,0,0,54,$354.96,"$69,813.00",NO,,0.5
122,512080,REBECCA LANE WATER SYS,CONWAY,NEW PUMP HOUSE,140,"$400,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,34,0,0,0,0,0,0,0,20,0,54,$360.00,"$53,300.00",NO,,0.7
123,1241010,KEENE WATER DEPT,KEENE,WINCHESTER STREET  WATER IMPROVEMENTS,"30,000","$300,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,15,7,10,0,10,0,10,0,52,$488.88,"$57,393.00",YES,,0.9
124,2001010,ROCHESTER WATER DEPT,ROCHESTER,TUFTS POND RESERVOIR  DAM IMPROVEMENTS**,"25,000","$350,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,0,7,20,0,10,0,15,0,52,$561.12,"$66,831.00",YES,,0.8
125,511030,NORTH CONWAY WATER  PCT,CONWAY,DISTRIBUTION SYSTEM  IMPROVEMENTS,"5,400","$1,278,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,15,7,20,0,0,0,10,0,52,$439.41,"$53,300.00",YES,,0.8
126,1741010,NEWPORT WATER WORKS,NEWPORT,MAPLE STREET  INFRASTRUCTURE PROJECT,"5,000","$2,200,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,15,7,20,0,0,0,10,0,52,$677.52,"$66,102.00",YES,,1.0
127,921010,GORHAM WATER AND  SEWER DEPT,GORHAM,SUGAR HILL TANK &  PIPELINE REPLACEMENT,"2,630","$5,660,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,10,15,7,0,0,0,0,20,0,52,$447.60,"$50,666.00",YES,,0.9
128,341010,CAMPTON VILLAGE PCT,CAMPTON,OWLS NEST PRV AND  WATERMAIN,595,"$762,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,15,7,0,0,0,0,20,10,52,$828.00,"$72,700.00",YES,,1.1
129,1844010,CARROLL COUNTY  COMPLEX,OSSIPEE,OLD RTE 28 WATER MAIN  REPLACEMENT,258,"$1,430,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,30,7,0,0,0,0,15,0,52,$687.96,"$47,248.00",YES,,1.5
130,2041010,RYE WATER DIST,RYE,HEADQUARTERS BOOSTER  PUMP STATION UPGRADE,"4,300","$1,000,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,16,0,0,0,20,5,0,0,10,0,51,$435.00,"$108,750.00",NO,,0.4
131,1281010,LACONIA WATER WORKS,LACONIA,NEW SALEM AND FAIR  STREET WATER MAIN  REPLACEMENT,"20,500","$250,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,35,0,0,5,0,0,10,0,50,$310.20,"$55,814.00",NO,,0.6
132,691010,UNH/DURHAM WATER SYS,DURHAM,MADBURY ROAD WATER  MAIN REPLACEMENT,"16,000","$3,000,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,18,7,20,5,0,0,0,0,50,$707.40,"$61,845.00",YES,,1.1
133,1561010,MILFORD WATER UTILITIES  DEPT,MILFORD,AMHERST STREET  INFRASTRUCTURE  IMPROVEMENTS,"9,500","$1,750,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,15,0,20,5,0,0,10,0,50,$375.36,"$65,328.00",NO,,0.6
134,1561010,MILFORD WATER UTILITIES  DEPT,MILFORD,MILFORD OVAL  CONGRESSIONAL DIRECTED  SPENDING PROJECT,"9,500","$1,000,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,15,0,20,5,0,0,10,0,50,$375.36,"$65,328.00",NO,,0.6
135,2521010,WILTON WATER WORKS,WILTON,NEW WATER SOURCE,"1,700","$175,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,0,0,20,0,10,0,20,0,50,$345.96,"$52,969.00",NO,,0.7
136,1471010,MANCHESTER WATER  WORKS,MANCHESTER,WATERSHED CAPITAL  PROJECTS FY2022,"133,000","$500,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,14,0,0,0,10,0,0,0,15,10,49,$275.95,"$62,087.00",NO,,0.4
137,1101050,MOUNTAIN LAKES WATER  DEPT,HAVERHILL,"WILDCAT DRIVE/BEAR ROAD  TO WATER CHAMBERS- REPLACE 2,100 FEET OF  WATER LINE",787,"$143,605.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,15,7,0,5,0,0,15,7,49,$600.00,"$52,611.00",YES,,1.1
138,2348110,OWLS NEST GOLF CLUB  AND CONDOS,THORNTON,OWLS NEST PUMP STATION,272,"$625,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,16,0,0,7,0,5,0,0,20,0,48,$587.35,"$74,583.00",YES,,0.8
139,1621010,PENNICHUCK WATER  WORKS,NASHUA,SMALL MAIN AND  UNKNOWN SERVICE TYPE  REPLACEMENT,"87,932","$6,500,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,15,7,20,5,0,0,0,0,47,$679.92,"$73,785.00",YES,,0.9
140,1621010,PENNICHUCK WATER  WORKS,NASHUA,RAW WATER  TRANSMISSION MAIN  IMPROVEMENTS,"87,932","$4,200,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,0,7,20,0,10,0,10,0,47,$679.92,"$73,785.00",YES,,0.9
141,2001010,ROCHESTER WATER DEPT,ROCHESTER,ROUND POND RESERVOIR  IMPROVEMENTS,"25,000","$7,750,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,0,7,20,0,10,0,10,0,47,$561.12,"$66,831.00",YES,,0.8
142,801010,EXETER WATER DEPT,EXETER,SCHOOL STREET AREA  RECONSTRUCTION,"12,200","$2,400,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,15,7,20,5,0,0,0,0,47,$843.00,"$68,984.00",YES,,1.2
143,801010,EXETER WATER DEPT,EXETER,WATER STREET  IMPROVEMENT PROJECT,"12,200","$2,300,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,15,7,20,5,0,0,0,0,47,$843.00,"$68,984.00",YES,,1.2
144,2151010,SOMERSWORTH WATER  WORKS,SOMERSWORTH,CONSTITUTIONAL WAY  UTILITY REPLACEMENT  PROJECT,"12,000","$346,500.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,15,7,20,5,0,0,0,0,47,$519.72,"$67,209.00",YES,,0.8
145,61010,ALTON WATER WORKS,ALTON,2022 WATER SYSTEM  UPGRADES-MAIN STREET  WATER MAINS  REPLACEMENT PROJECT,"1,750","$2,805,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,15,7,0,10,0,0,15,0,47,"$1,115.04","$96,681.00",NO,,1.2
146,1481010,MARLBOROUGH WATER  WORKS,MARLBOROUGH,MCKINLEY CIRCLE WATER  SYSTEM IMPORVEMENTS,750,"$600,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,15,7,20,5,0,0,0,0,47,$831.24,"$55,875.00",YES,,1.5
147,2001010,ROCHESTER WATER DEPT,ROCHESTER,WATER TREATMENT  RESIDUALS HANDLING  IMPROVEMENTS,"25,000","$9,500,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,14,0,0,7,10,15,0,0,0,0,46,$561.12,"$66,831.00",YES,,0.8
148,651010,DOVER WATER DEPT,DOVER,CENTRAL AVENUE - URBAN  CORE - WATER  IMPROVEMENTS,"28,000","$8,000,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,15,0,10,5,0,0,15,0,45,$533.28,"$74,833.00",NO,,0.7
149,1561010,MILFORD WATER UTILITIES  DEPT,MILFORD,BROOKVIEW WATER  BOOSTER PUMP STATION  UPGRADE,"9,500","$1,000,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,18,0,0,0,20,5,0,0,0,0,43,$375.36,"$65,328.00",NO,,0.6
150,921010,GORHAM WATER AND  SEWER DEPT,GORHAM,SECOND STREET TANK &  PIPELINE INSTALLATION,"2,630","$5,360,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,10,15,7,0,0,0,0,10,0,42,$447.60,"$50,666.00",YES,,0.9
151,1141010,HILLSBOROUGH WATER  WORKS,HILLSBOROUGH,PRESTON STREET WATER  REPLACEMENT AND LOOP,"2,000","$900,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,30,7,0,5,0,0,0,0,42,$747.96,"$72,875.00",YES,,1.0
152,1101050,MOUNTAIN LAKES WATER  DEPT,HAVERHILL,"LAKESIDE-DEERFIELD DRIVE  TO GOOSE LANE – REPLACE  1,600 FEET 6 INCH  WATERLINE",787,"$132,516.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,15,7,0,5,0,0,15,0,42,$600.00,"$52,611.00",YES,,1.1
153,1101050,MOUNTAIN LAKES WATER  DEPT,HAVERHILL,"ROGERS ROAD-REPLACE  1,100 FEET 4 INCH  WATERLINE",787,"$135,763.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,15,7,0,5,0,0,15,0,42,$600.00,"$52,611.00",YES,,1.1
154,1101050,MOUNTAIN LAKES WATER  DEPT,HAVERHILL,"GATEWAY-REPLACE 1,350  FEET 2 INCH WATERLINE",787,"$120,196.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,15,7,0,5,0,0,15,0,42,$600.00,"$52,611.00",YES,,1.1
155,841010,FRANCONIA VILLAGE  WATER,FRANCONIA,"FRANCONIA WATER8""  CROSS COUNTRY WATER  MAIN EXTENSION",535,"$500,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,15,7,0,5,0,0,15,0,42,"$1,176.00","$92,689.00",NO,,1.3
156,1061010,HANCOCK WATER WORKS,HANCOCK,WATER METER  INSTALLATION,413,"$600,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,12,0,20,5,0,0,0,0,37,$276.00,"$54,830.00",NO,,0.5
157,1951010,PORTSMOUTH WATER  WORKS,PORTSMOUTH,EMERGENCY PORTSMOUTH- DOVER WATER  INTERCONNECT,"33,000","$1,000,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,0,0,10,0,10,15,0,0,35,$479.28,"$78,712.00",NO,,0.6
158,651010,DOVER WATER DEPT,DOVER,EMERGENCY PORTSMOUTH- DOVER WATER  INTERCONNECT,"28,000","$1,000,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,0,0,10,0,10,15,0,0,35,$533.28,"$74,833.00",NO,,0.7
159,1281010,LACONIA WATER WORKS,LACONIA,OPECHEE ST. WATER MAIN  REPLACEMENT,"20,500","$165,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,30,0,0,5,0,0,0,0,35,$310.20,"$55,814.00",NO,,0.6
160,771010,EPSOM VILLAGE DIST,EPSOM,BLACK HALL ROAD WATER  MAIN REPLACEMENT,800,"$3,460,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,15,0,20,0,0,0,0,0,35,$721.92,"$96,840.00",NO,,0.7
161,1071010,HANOVER WATER DEPT,HANOVER,HANOVER DRINKING  WATER  _MAGANESE STUDY  PROJECT,"8,500","$50,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,26,0,0,7,0,0,0,0,0,0,33,$671.64,"$79,844.00",NO,,0.8
162,1141020,EMERALD LAKE,HILLSBOROUGH,LEAD LINE INVENTORY,"1,300","$100,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,0,15,18,0,0,0,0,0,33,"$1,141.00","$55,000.00",YES,,2.1
163,1471010,MANCHESTER WATER  WORKS,MANCHESTER,MUNIS SOFTWARE  IMPLEMENTATION,"133,000","$1,000,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,12,0,10,0,0,0,0,10,32,$275.95,"$62,087.00",NO,,0.4
164,1471010,MANCHESTER WATER  WORKS,MANCHESTER,NEW 1.5MG TANK AT  HILLSBOROUGH COUNTY  NURSING HOME LOCATION,"133,000","$3,870,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,10,0,0,10,0,0,0,10,0,30,$275.95,"$62,087.00",NO,,0.4
165,1471010,MANCHESTER WATER  WORKS,MANCHESTER,2.1MG HIGH SERVICE TANK  TO REPLACE RESERVOIR,"133,000","$4,000,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,10,0,0,10,0,0,0,10,0,30,$275.95,"$62,087.00",NO,,0.4
166,1951010,PORTSMOUTH WATER  WORKS,PORTSMOUTH,ISLINGTON STREET  CORRIDOR IMPROVEMENTS  - PHASE 2,"33,000","$2,200,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,15,0,10,5,0,0,0,0,30,$479.28,"$78,712.00",NO,,0.6
167,512150,DEERBROOK CONDOS,CONWAY,ATMOSPHERIC TANK  CLEANING,80,"$125,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,10,0,0,0,0,0,0,20,0,30,$385.28,"$53,300.00",NO,,0.7
168,162260,VILLAGGIO BIANCO,BARTLETT,BLOW OFF VALVE REPAIRS,58,"$20,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,15,11,0,0,0,0,0,0,26,$587.35,"$35,982.00",YES,,1.6
169,1471010,MANCHESTER WATER  WORKS,MANCHESTER,MAIN RELAY FY2022,"133,000","$1,000,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,15,0,10,0,0,0,0,0,25,$275.95,"$62,087.00",NO,,0.4
170,1951010,PORTSMOUTH WATER  WORKS,PORTSMOUTH,FLEET STREET ROADWAY  RECONSTRUCTION,"33,000","$3,000,000.00",$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,$0.00,0,0,0,0,15,0,10,0,0,0,0,0,25,$479.28,"$78,712.00",NO,,0.6
