Rank,Project Sponsor,Project Number,Project Name,Population,Building Cost,Support Cost,Estimated Cost,Cat A,Cat B,Cat C.a,Cat C.b,Cat C.c,Cat C.d,Cat D,Cat E,Rank Points,SFY Project Expected Funding,BIL Eligibility
140,Montclair Township,0713001-013,Montclair Township - Lead & Galvanized Service Line Replacements - SFY23,2000,4000000,1372677,4960000,175,0,0,5,0,0,0,0.38,185.38,2027,BIL (LSLR)
141,Collingswood Borough,0412001-006,Collingswood Lead Line Removal,16000,4320000,400000,5184000,175,0,0,5,0,0,0,0.24,185.24,2027,BIL (LSLR)
142,Passaic Valley Water Commission,0231001-002,Lead Service Line Replacement in Lodi System,24551,6000000,7000000,7200000,175,0,0,0,5,0,0,0.24,185.24,2027,BIL (LSLR)
143,South Orange Village,0719001-013,Lead Line Identi.cation and Replacement,22865,7560000,200000,9072000,175,0,0,5,0,0,0,0.17,185.17,2027,BIL (LSLR)
144,North Jersey District Water Supply Commission,1613001-006,"Construct a 48 inch by-pass main and rehabilitate the single 70+ yr old 74 inch
aqueduct",872153,15000000,6260000,21260000,75,50,20,0,0,0,30,8.72,183.72,2030,BIL (EC)
144,North Jersey District Water Supply Commission,1613001-009,Rehab of the Kearny/Bayonne Transmission main,872153,5600000,3526000,9126000,75,50,20,0,0,0,30,8.72,183.72,2030,BIL (LSLR)
145,"NJ American Water Company, Inc.",2004002-015,Netherwood PFAS Treatment,48000,15700000,690000,18840000,160,0,0,5,5,0,0,3.18,183.18,2025,BIL (EC)
146,"NJ American Water Company, Inc.",2004002-004,"NJ American Water Lead Service Line Replacement Program PWSID 2004002 - Phase
2",13967,68865390,-,82638468,175,0,0,0,0,0,0,6.15,181.15,2027,BIL (LSLR)
147,Salem City,1712001-004,Salem City Water Meter,4931,1092100,253420,1345520,35,80,15,0,5,15,0,0.06,180.06,2026,BIL (GEN)
148,Tuckerton Borough,1532002-004,Rehabilitation of three green sand .lter tanks and one backwash tank,3365,109000,49050,158050,100,35,15,0,0,0,30,0.03,180.03,2030,BIL (GEN)
150,Passaic Valley Water Commission,1605002-015,Replace approximately 200 large antiquated valves,347052,2000000,1140000,3140000,75,0,20,0,0,0,80,3.47,178.47,2030,BIL (GEN)
150,Passaic Valley Water Commission,1605002-017,Installation of 7000 LF of 12-inch main to replace Granite Ave storage tank,347052,1700000,1008000,2708000,75,0,20,0,0,0,80,3.47,178.47,2030,BIL (GEN)
150,Passaic Valley Water Commission,1605002-019,"Installation of 2200 LF of 12-inch main to connect Eastside Pumping station to
Patersons downtown area",347052,600000,420000,1020000,75,0,20,0,0,0,80,3.47,178.47,2030,BIL (GEN)
151,Newark City,0714001-010,"Replacement of 38,234 old water meters in the distribution system.",285000,19000000,7540000,26540000,25,50,20,0,0,0,80,2.85,177.85,2030,BIL (GEN)
152,Newark City,0714001-018,Replacement of Water Distribution Mains,273000,3000000,2070000,5070000,75,0,20,0,0,0,80,2.73,177.73,2030,BIL (GEN)
153,Middlesex Water Company,1225001-005,MWC Galvanized & Lead Service Line Replacement,,8441000,-,10129200,175,0,0,0,0,0,0,2.33,177.33,N/A,BIL (LSLR)
154,"NJ American Water Company, Inc.",0712001-017,NJ American Water Lead Service Line Replacement Program PWSID 0712001 - Phase 2,61176,50685200,234750,60822240,175,0,0,0,0,0,0,2.17,177.17,2027,BIL (LSLR)
155,Trenton City,1111001-013,TWW - Phase 4 LSL Replacement Project,91543,8771000,-,10525200,175,0,0,0,0,0,0,2.17,177.17,2024,BIL (LSLR)
156,Ridgewood Village,0251001-007,Ridgewood Water Lead Service Line Replacements,61220,30800000,-,37310000,175,0,0,0,0,0,0,0.62,175.62,2027,BIL (LSLR)
157,Merchantville Pennsauken Water Commission,0424001-005,Lead line removal,49990,3780000,2707750,4536000,175,0,0,0,0,0,0,0.47,175.47,2025,BIL (LSLR)
158,Aqua New Jersey Incorporate,1103001-007,Aqua NJ Hamilton Lead Service Line Replacement,88464,10000000,640000,12780000,175,0,0,0,0,0,0,0.39,175.39,2030,BIL (LSLR)
159,Belleville Township,0701001-009,Belleville Lead Service Line Replacement Phase 2,37480,3931525,-,4827830,175,0,0,0,0,0,0,0.35,175.35,2027,BIL (LSLR)
160,Orange City,0717001-014,"Orange Twp | Relocation of the existing transmission main under the Glen Avenue
Bridge for the stabilization of the pipe",30731,1225000,-,1843000,75,80,0,5,5,0,0,0.3,175.3,2027,BIL (GEN)
161,Aqua New Jersey Incorporate,2119001-002,Lead Service Line Replacement Phillipsburg,14950,5000000,-,6390624,175,0,0,0,0,0,0,0.27,175.27,2025,BIL (LSLR)
162,Hackettstown Municipal Utilities Authority,2108001-002,Lead Service Line Replacement,185,600000,-,807800,125,50,0,0,0,0,0,0.22,175.22,N/A,BIL (LSLR)
163,Hamilton Township Municipal Utilities Authority,0112001-005,WATER MAIN REPLACEMENT PHASE 2,22000,3500000,67500,4200000,175,0,0,0,0,0,0,0.22,175.22,2025,BIL (LSLR)
164,Lyndhurst Township,0232001-004,Lead Water Service Replacement Program,22453,24425250,523056,29310300,175,0,0,0,0,0,0,0.2,175.2,2025-2026,BIL (LSLR)
165,Hawthorne Borough,1604001-003,Hawthorne Lead Water Service Line Replacement Phase 2,19360,2250000,3140000,2745000,175,0,0,0,0,0,0,0.19,175.19,2024,BIL (LSLR)
165,Hawthorne Borough,1604001-004,Hawthorne Lead Service Line Replacement Phase 3,19458,2250000,-,2760000,175,0,0,0,0,0,0,0.19,175.19,2026,BIL (LSLR)
166,Maple Shade Township,0319001-001,Maple Shade Township Lead Service Line Replacement,19980,3750000,6017480,4593250,175,0,0,0,0,0,0,0.19,175.19,2025,BIL (LSLR)
167,Passaic Valley Water Commission,0239001-002,Lead Service Line Replacement in North Arlington System,15741,8500000,3800000,10200000,175,0,0,0,0,0,0,0.15,175.15,2028,BIL (LSLR)
168,Ventnor City,0122001-002,Water Infrastructure Project,14076,63200000,-,75940000,175,0,0,0,0,0,0,0.14,175.14,2025-2029,BIL (GEN)
169,Clinton Town,1005001-014,Town of Clinton - Galvanized Service Line Replacement - SFY23,1000,4000000,960000,4950000,175,0,0,0,0,0,0,0.12,175.12,2027,BIL (LSLR)
169,Clinton Town,1005001-015,Town of Clinton - Galvanized Service Line Replacement - SFY24,1000,4000000,-,4950000,175,0,0,0,0,0,0,0.12,175.12,2027,BIL (LSLR)
169,Clinton Town,1005001-016,Town of Clinton - Galvanized Service Line Replacement - SFY25,1000,4000000,-,4950000,175,0,0,0,0,0,0,0.12,175.12,2027,BIL (LSLR)
169,Clinton Town,1005001-017,Town of Clinton - Galvanized Service Line Replacement - SFY26,1000,4000000,-,4950000,175,0,0,0,0,0,0,0.12,175.12,2027,BIL (GEN)
169,Clinton Town,1005001-018,Town of Clinton - Galvanized Service Line Replacement - SFY27,1000,4000000,-,4950000,175,0,0,0,0,0,0,0.12,175.12,2027,BIL (LSLR)
170,Brigantine City,0103001-002,Brigantine Lead Service Line Replacement Project,11117,60000000,-,72000000,175,0,0,0,0,0,0,0.11,175.11,2030,BIL (LSLR)
171,Margate City,0116001-003,Margate Lead Service Line Replacement Program,10000,44744150,-,54692980,175,0,0,0,0,0,0,0.1,175.1,2027,BIL (LSLR)
172,Chatham Borough,1404001-001,Lead Line Service Replacements,9212,8000000,330000,9735000,175,0,0,0,0,0,0,0.09,175.09,2027,BIL (LSLR)
173,Aqua New Jersey Incorporate,1107002-001,Lead Service Line Replacements Lawrenceville,33472,1000000,220000,1278124,175,0,0,0,0,0,0,0.09,175.09,2025,BIL (LSLR)
175,Glen Ridge Borough,0708001-009,GR-Lead Service Lines Replacement (Main to Dwelling) - Phase 1,7527,2000000,950000,2960000,175,0,0,0,0,0,0,0.08,175.08,2027,BIL (LSLR)
176,Keyport Borough,1322001-001,Lead Service Line Project,7204,10000000,60000,12000000,175,0,0,0,0,0,0,0.07,175.07,2027,BIL (LSLR)
177,Bayonne City,0901001-005,City of Bayonne Lead Service Line Replacement Project,71686,19000000,105000,22800000,175,0,0,0,0,0,0,0.06,175.06,2024-2025,BIL (LSLR)
178,Hightstown Borough,1104001-013,Improvements to Maxwell Avenue,5855,1000000,700000,1355000,175,0,0,0,0,0,0,0.05,175.05,2027,BIL (LSLR)
179,Longport Borough,0115001-001,Lead Service Line Replacement - Phase I,3851,9248800,340000,13098560,175,0,0,0,0,0,0,0.04,175.04,2027,BIL (LSLR)
180,"Fayson Lake Water Company, Incorporated",1415001-002,FLWC 2023 Water Main Replacement,3010,1401800,631800,1682160,175,0,0,0,0,0,0,0.03,175.03,2027,BIL (LSLR)
181,Swedesboro Borough,0817001-001,Lead Service Water Line Abatement,2000,12010390,950000,16128238,175,0,0,0,0,0,0,0.03,175.03,2027,BIL (LSLR)
182,Hampton Borough,1013001-002,Hampton Borough - Galvanized Service Line Replacement,1400,770000,6970302,974000,175,0,0,0,0,0,0,0.01,175.01,2027,BIL (GEN)
183,Weymouth Township Municipal Utilities Authority,0123001-001,WTMUA Water Line Replacement,600,4896800,1512000,5876160,175,0,0,0,0,0,0,0.01,175.01,2026,BIL (GEN)
184,"NJ American Water Company, Inc.",2004002-014,RMWTP LT2ESWWTR and Filter Rehabilitation,44464,31209707,3088865,37983523,100,50,20,0,0,0,0,3.15,173.15,2030,BIL (GEN)
185,Jersey City Municipal Utilities Authority,0906001-019,Route 139 Water Main Replacement Project,262000,5000000,1060000,6060000,75,50,20,5,5,0,15,2.62,172.62,N/A,BIL (GEN)
186,Wildwood City,0514001-006,2019 Capital Improvements (Drinking Water),94333,4756511,478605,6183204,75,0,15,0,0,0,80,0.94,170.94,N/A,BIL (GEN)
187,Sayreville Borough,1219001-011,Water Treatment Plant Chemical Feed Upgrades,44243,2000000,1965000,2600000,160,0,0,0,5,0,0,0.44,170.44,2027,BIL (GEN)
188,Montclair Township,0713001-012,Montclair Township - PFOAS and Perchlorate Treatment - Rand Well,3800,500000,-,770000,160,0,0,5,0,0,0,0.38,170.38,2027,BIL (EC)
189,Manchester Township,1518005-001,Various main replacements,26877,243890,56585,300475,75,0,15,0,0,0,80,0.27,170.27,2030,BIL (GEN)
190,Collingswood Borough,0412001-001,Collingswood Comly Ave Water Plant,16904,7406391,80000,9219769,160,0,0,5,0,0,0,0.24,170.24,2027,BIL (EC)
192,South Orange Village,0719001-008,Well 17 Air Stripper,16198,332500,149625,482125,160,0,0,5,0,0,0,0.17,170.17,2027,BIL (GEN)
193,Park Ridge Borough,0247001-002,Well 21 Treatment Plant Construction,16500,2303350,718150,2764020,160,0,0,5,0,0,0,0.16,170.16,2025,BIL (GEN)
194,Lower Township Municipal Utilities Authority,0505002-004,Del Haven Water Main Expansion / Wildwood Water Utility Interconnect,7222,8550000,-,10260000,125,0,15,0,0,0,30,0.07,170.07,N/A,BIL (GEN)
195,Flemington Borough,1009001-009,Additional Water Tank and Improvements,4389,3500000,1450000,4950000,60,80,15,0,0,0,0,0.04,170.04,2026,BIL (GEN)
196,Seaside Park Borough,1527001-004,Well 10 Treatment Facility,1700,495000,99000,594000,40,50,0,0,0,0,80,0.02,170.02,2030,BIL (GEN)
198,Arthur Road Well Association,1912007-001,Connection of this system to Hopatcong Borough,60,200000,299500,499500,170,0,0,0,0,0,0,0,170,2030,BIL (GEN)
199,North Jersey District Water Supply Commission,1613001-019,Ramapo Pump Station Improvements,872153,12000000,6750000,18750000,60,50,20,0,0,0,30,8.72,168.72,2030,BIL (GEN)
199,North Jersey District Water Supply Commission,1613001-021,Implementation of alternative energy generation systems at the Wanaque TP,872153,2500000,1790000,4290000,45,50,20,0,0,15,30,8.72,168.72,2030,BIL (GEN)
199,North Jersey District Water Supply Commission,1613001-035,Rehabilitation of Pump Stations,872153,1000000,5181742,6181742,60,50,20,0,0,0,30,8.72,168.72,2030,BIL (GEN)
200,"NJ American Water Company, Inc.",1345001-021,Swimming River WTP 2nd Clearwell,335449,16973964,5143231,22117195,100,50,0,0,0,0,15,3.35,168.35,N/A,BIL (GEN)
201,Jersey City Municipal Utilities Authority,0906001-016,Large Valve Replacement Program- Phase 2,264290,6101000,1220200,7321200,75,0,20,5,5,0,0,2.64,167.64,2026,BIL (GEN)
202,Jersey City Municipal Utilities Authority,0906001-022,"Hackensack River 36"" Aqueduct replacement",270753,10000000,5910317,13330000,75,0,20,5,5,0,0,2.62,167.62,2027,BIL (GEN)
202,Jersey City Municipal Utilities Authority,0906001-023,Phase 5A Water Project,262000,7750000,-,9300000,75,0,20,5,5,0,0,2.62,167.62,2026,BIL (GEN)
202,Jersey City Municipal Utilities Authority,0906001-024,Phase 2A Water,250000,9700000,1800000,11640000,75,0,20,5,5,0,0,2.62,167.62,2024-2025,BIL (GEN)
202,Jersey City Municipal Utilities Authority,0906001-026,5-B Water Project,250000,6100000,725400,7320000,75,0,20,5,5,0,0,2.62,167.62,2025,BIL (GEN)
202,Jersey City Municipal Utilities Authority,0906001-027,PHASE 6B WATER MAIN REHABILITATION PROJECT,247597,6529990,-,8140310,75,0,20,5,5,0,0,2.62,167.62,2026,BIL (GEN)
202,Jersey City Municipal Utilities Authority,0906001-032,Van Horne Street Water Improvements,265549,3500000,226400,4200000,75,0,20,5,5,0,0,2.62,167.62,2026,BIL (GEN)
202,Jersey City Municipal Utilities Authority,0906001-033,Pine Street Area Water Improvements,5000,14412000,671200,19023840,75,0,20,5,5,0,0,2.62,167.62,2026,BIL (EC)
204,East Windsor Municipal Utilities Authority,1101002-006,Millstone Road Water Treatment Plant Well #9 & Well #10,25763,28410000,1813378,36092000,150,0,0,0,0,15,0,0.25,165.25,2027,BIL (GEN)
205,Manchester Utilities Authority,1603001-004,Holland Christian Home Water Main Extension Project,175,700000,780000,975641,165,0,0,0,0,0,0,0.12,165.12,2027,BIL (GEN)
206,Lower Township Municipal Utilities Authority,0505002-005,LCMR - Water Main Extension,884,2089560,3800000,2507472,165,0,0,0,0,0,0,0.1,165.1,2027,BIL (GEN)
207,Passaic Valley Water Commission,1605002-020,Replacement of Prospect Park storage tank,347052,800000,560000,1360000,60,0,20,0,0,0,80,3.47,163.47,2030,BIL (GEN)
207,Passaic Valley Water Commission,1605002-023,Decommissing of Granite Avenue Tank,347052,1700000,1008000,2708000,60,0,20,0,0,0,80,3.47,163.47,2030,BIL (GEN)
208,Jersey City Municipal Utilities Authority,0906001-029,Phase 6A Water Rehabilitation,265510,15000000,-,18800000,75,0,15,5,5,0,0,2.62,162.62,2027,BIL (GEN)
209,Brick Township Municipal Utilities Authority,1506001-014,"Water Main Replacement on Cartagena Drive, Alhama Drive, Cadiz Drive, Valencia
Drive and Monterey Drive",86898,1600000,495000,2095000,75,50,20,0,0,0,15,0.87,160.87,N/A,BIL (GEN)
210,"NJ American Water Company, Inc.",0323001-005,Woodlane WTP Improvement Project,445702,7827100,650000,9392520,160,0,0,0,0,0,0,0.47,160.47,2025,BIL (GEN)
211,Camden City,0408001-022,Install potable wells/.r elevations at Morris Delair WTP,46585,100000,1160000,1260000,15,80,15,0,0,0,0,0.47,160.47,2027,BIL (GEN)
212,Mount Laurel Township Municipal Utilities Authority,0324001-004,Elbo Lane WTP HVAC Replacement,46310,1466692,200000,1897630,160,0,0,0,0,0,0,0.42,160.42,2025,BIL (EC)
213,Aqua New Jersey Incorporate,1103001-004,AQUA Hamilton PFAS Treatment,39128,15000000,2236400,19500000,160,0,0,0,0,0,0,0.39,160.39,2027,BIL (GEN)
214,Fair Lawn Borough,0217001-001,Fair Lawn Water Treatment Facility,34927,35000000,74250,45500000,160,0,0,0,0,0,0,0.31,160.31,2027,BIL (EC)
215,Monroe Municipal Utilities Authority,0811002-002,Water Treatment System Rehabilitation,37117,1500000,7890000,1800000,160,0,0,0,0,0,0,0.26,160.26,2026,BIL (GEN)
217,Manchester Township,1518005-005,"Wells 1, 2 ,3, 4 Treatment . ESA",9498,18715400,340000,22458480,160,0,0,0,0,0,0,0.23,160.23,2027,BIL (GEN)
218,Hamilton Township Municipal Utilities Authority,0112001-004,HTMUA WELL #8 REHABILITATION,23176,1352650,3992144,1655830,160,0,0,0,0,0,0,0.22,160.22,2027,BIL (EC)
219,Point Pleasant Borough,1524001-002,Water Treatment Plant Filter Replacement,18651,2112000,1589180,2917840,160,0,0,0,0,0,0,0.2,160.2,2027,BIL (EC)
220,Verona Township,0720001-006,LINN DRIVE WELLS,14460,2569000,1119528,3332800,160,0,0,0,0,0,0,0.14,160.14,N/A,BIL (EC)
220,Verona Township,0720001-007,FAIRVIEW WELLS,14460,2948000,-,3787600,160,0,0,0,0,0,0,0.14,160.14,2025,BIL (EC)
221,Clinton Town,1005001-019,"Town of Clinton - Wells 11, 12R & 15 - PFAS Treatment Improvements",,6000000,368700,7800000,160,0,0,0,0,0,0,0.12,160.12,2027,BIL (GEN)
221,Clinton Town,1005001-020,Town of Clinton - Lebanon Well #2 - PFAS Treatment and Well Improvements,8333,3700000,440000,4810000,160,0,0,0,0,0,0,0.12,160.12,2027,BIL (GEN)
222,Beachwood Borough,1504001-001,Beachwood Water Department New Water Treatment Facility,10859,5984000,377025,7446800,160,0,0,0,0,0,0,0.11,160.11,2026,BIL (GEN)
223,Boonton Town,1401001-003,Well.eld Treatment Plant Upgrades,9900,3069900,-,3928380,160,0,0,0,0,0,0,0.1,160.1,2026,BIL (GEN)
224,Spotswood Borough,1224001-003,Rehabilitation of the George Street Water Treatment Plant,8300,2144545,520000,2770999,160,0,0,0,0,0,0,0.08,160.08,2027,BIL (EC)
225,Berkeley Township Municipal Utilities Authority,1505004-003,Install new solar panels at treatment plant,8130,750000,525000,1275000,45,0,20,0,0,15,80,0.08,160.08,2030,BIL (GEN)
226,Roxbury Township,1436003-001,Well 2 PFAS Treatment Facility,5153,4795000,2359368,6234074,160,0,0,0,0,0,0,0.05,160.05,2027,BIL (GEN)
227,Netcong Borough,1428001-002,Replacement of leaking water mains,3236,1150000,766000,1916000,75,50,15,5,0,0,15,0.03,160.03,2030,BIL (GEN)
227,Netcong Borough,1428001-004,Replacement of 8in water main,3236,1597665,962972,2560637,75,50,15,5,0,0,15,0.03,160.03,2030,BIL (GEN)
228,Lakehurst Borough,1513001-003,Treatment Plant Updates,2684,558500,1280000,670200,160,0,0,0,0,0,0,0.03,160.03,2026,BIL (GEN)
229,Jersey City Municipal Utilities Authority,0906001-006,Transmission Main Install,247000,13500000,4240000,17740000,75,0,20,5,0,0,0,2.62,157.62,2026,BIL (GEN)
229,Jersey City Municipal Utilities Authority,0906001-012,Water Main Replacement,262000,12000000,3850000,15850000,75,0,20,5,0,0,0,2.62,157.62,2026,BIL (GEN)
229,Jersey City Municipal Utilities Authority,0906001-036,"Bates Street, Grand Street and Center Street Water System Improvements",283927,21000000,900000,27300000,75,0,20,5,0,0,0,2.62,157.62,2027,BIL (GEN)
235,Clementon Borough,0411001-001,Rehab of Gibbsboro Water Main (White Horse Pike & White Horse Rd.),5003,300000,156750,456750,75,80,0,0,0,0,0,0.05,155.05,2026,BIL (GEN)
237,Sussex Borough,1921001-007,Sussex Borough Main Street Water Main Replacement Project,2201,496477,644047,719892,75,80,0,0,0,0,0,0.02,155.02,2027,BIL (GEN)
238,Sussex Borough,1921001-005,Lake Rutherford Water Line Installation Project,2130,1018000,203600,1221600,75,0,0,0,0,0,80,0.02,155.02,2030,BIL (GEN)
238,Sussex Borough,1921001-006,Water Systems Enhancements,2130,186000,37200,223200,75,0,0,0,0,0,80,0.02,155.02,2030,BIL (GEN)
239,Newark City,0714001-014,Installation of a SCADA system,285000,2500000,1360000,3860000,1,50,20,0,0,0,80,2.85,153.85,2030,BIL (GEN)
240,North Jersey District Water Supply Commission,1613001-018,"Security system improvements - Relocation of Wanaque WTP main entrance gate
closer to Ringwood Blvd",872153,3000000,1890000,4890000,45,50,20,0,0,0,30,8.72,153.72,2030,BIL (GEN)
240,North Jersey District Water Supply Commission,1613001-023,Security system improvements,872153,1500000,1200000,2700000,45,50,20,0,0,0,30,8.72,153.72,2030,BIL (GEN)
241,"NJ American Water Company, Inc.",1345001-018,Oak Glenn Treatment Plant Expansion,290470,26920000,12419600,39339600,100,50,0,0,0,0,0,2.9,152.9,2030,BIL (GEN)
242,Middlesex Water Company,1225001-029,CJO Plant Upgrade - DBP Removal Treatment,282741,21043630,6201344,27244974,100,50,0,0,0,0,0,2.33,152.33,2030,BIL (GEN)
243,East Orange Water Commission,0705001-004,"Rehab of Braidburn wells #1 & #2; Canoe Brook wells #2, #3 & #4",80468,1196000,786240,1982240,15,50,0,5,0,0,80,0.8,150.8,2030,BIL (GEN)
243,East Orange Water Commission,0705001-005,"Replacement of electrical cable for well.eld which includes Well Nos. 3, 4 & 5",80468,950000,665000,1615000,15,50,0,5,0,0,80,0.8,150.8,2030,BIL (GEN)
244,Perth Amboy City,1216001-012,Florida Grove Road Reservoir Improvements,55436,5133385,-,6506062,60,80,0,0,5,0,0,0.52,150.52,2027,BIL (GEN)
245,Mahwah Township,0233001-006,"Rehabilitation of Ford Well.eld treatment, pumps & motors, electrical, SCADA and
transmission mains",24062,4600000,2250536,6850536,100,50,0,0,0,0,0,0.24,150.24,2030,BIL (GEN)
246,Hawthorne Borough,1604001-002,Hawthorne Water Utility PFAs Treatment,18775,3500000,342580,4750000,100,50,0,0,0,0,0,0.19,150.19,N/A,BIL (EC)
247,Willingboro Municipal Utilities Authority,0338001-002,"Replacement of 56,000 LF of 6 and 8-inch mains-Twin Hills",34731,8100000,2350880,10450880,75,50,20,0,0,0,0,0.35,145.35,2030,BIL (GEN)
247,Willingboro Municipal Utilities Authority,0338001-003,Replacement of 6 & 8 inch mains in RIttenhouse section,34731,1585600,957664,2543264,75,50,20,0,0,0,0,0.35,145.35,2030,BIL (GEN)
248,Vineland City,0614003-012,Upgrades to well #4 water treatment plant including a new air stripping tower,33000,756000,529200,1285200,100,0,15,0,0,0,30,0.33,145.33,2030,BIL (GEN)
248,Vineland City,0614003-013,"Upgrades to the existing water treatment plant at well #13 with new replacement
well #18.",33000,4000000,2020000,6020000,100,0,15,0,0,0,30,0.33,145.33,2030,BIL (GEN)
249,Stafford Township,1530004-016,"Installation of 5,000 LF of main under the GSP as secondary crossing",28868,3000000,1580000,4580000,75,35,20,0,0,0,15,0.29,145.29,2030,BIL (GEN)
249,Stafford Township,1530004-017,"Replacement of 1,600 LF of water main on Charles Blvd",28868,363066,344910,707976,75,35,20,0,0,0,15,0.29,145.29,2030,BIL (GEN)
250,Egg Harbor City,0107001-001,Construction of a new storage tank,4700,2000000,340000,2340000,50,0,15,0,0,0,80,0.05,145.05,2030,BIL (GEN)
252,Netcong Borough,1428001-005,Roof and Structural repairs to a 1MG reservoir,3236,608125,425687,1033812,60,50,15,5,0,0,15,0.03,145.03,2030,BIL (GEN)
253,Glassboro Borough,0806001-001,2.0 mg elevated tower repainting,19992,2327688,95000,3142226,60,80,0,0,0,0,0,0.24,140.24,2027,BIL (GEN)
254,Manchester Utilities Authority,1603001-007,Replace existing booster station,12111,1100000,744000,1844000,60,50,15,0,0,0,15,0.12,140.12,2030,BIL (GEN)
255,Berkeley Township Municipal Utilities Authority,1505004-004,Install automated meter reading system,8130,500000,350000,850000,25,0,20,0,0,15,80,0.08,140.08,2030,BIL (GEN)
256,Hightstown Borough,1104001-009,Water Tank Painting & Repairs,5567,660500,762700,922600,60,50,15,0,0,0,15,0.05,140.05,N/A,BIL (GEN)
258,Upper Deer.eld Township,0613004-002,Seabrook Water Tower Replacement (Upper Deer.eld),2964,1615000,323000,1938000,60,80,0,0,0,0,0,0.02,140.02,N/A,BIL (GEN)
259,Waterford Township Municipal Utilities Authority,0435003-001,New water mains for Maximum Contaminant Level violations,2408,1465738,904923,2370661,125,0,15,0,0,0,0,0.02,140.02,2030,BIL (GEN)
260,Jersey City Municipal Utilities Authority,0906001-025,Phase 1 & 2 Water Main Replacement Project,264161,16166000,3345200,19511200,75,0,20,5,5,15,15,2.62,137.62,N/A,BIL (GEN)
260,Jersey City Municipal Utilities Authority,0906001-028,Dam Security Improvements,265932,1250000,317200,1682400,45,0,20,5,5,0,0,2.62,137.62,2026,BIL (GEN)
261,East Orange City,0705001-500/001,Install generators -White Oak Rd,80468,3217000,1159440,4376440,1,50,0,5,0,0,80,0.8,136.8,2030,BIL (GEN)
263,Atlantic City Municipal Utilities Authority,0102001-009,Water Meter and MTU Replacement,75619,2210000,350000,2652000,25,0,15,0,0,15,80,0.76,135.76,2030,BIL (GEN)
264,Perth Amboy City,1216001-005,"THE INSTALLATION OF A NEW STANDBY GENERATOR AT THE RUNYON WATER
TREATMENT PLANT",366296,750000,9087360,1021050,45,80,0,0,5,0,0,0.52,135.52,2027,BIL (GEN)
265,Wildwood City,0514001-005,Well #39 Redevelopment,45500,315000,63000,378000,15,80,15,0,0,0,0,0.45,135.45,2027,BIL (GEN)
266,Vineland City,0614003-016,Well 17 Treatment Facility,36848,5900000,2018000,7918000,15,80,15,0,0,0,0,0.36,135.36,2026,BIL (GEN)
267,Willingboro Municipal Utilities Authority,0338001-010,Well5A PFOS Treatment System Upgrade,34731,3497000,15118650,4654400,100,0,20,0,0,0,15,0.35,135.35,N/A,BIL (EC)
269,Bridgeton City,0601001-006,Well 14/15 Rehabilitation,25349,800000,-,1160000,15,80,15,0,0,0,0,0.23,135.23,2027,BIL (GEN)
270,Freehold Borough,1315001-003,Replacement of Well No. 3,12052,1427000,1000000,2152400,15,80,15,0,5,0,0,0.11,135.11,2026,BIL (GEN)
271,Passaic Valley Water Commission,1605002-010,Installation of a back up Wanaque interconnection line,347052,750000,525000,1275000,30,0,20,0,0,0,80,3.47,133.47,2030,BIL (GEN)
271,Passaic Valley Water Commission,1605002-016,Upgrade the interconnection with United WC,347052,2000000,1140000,3140000,30,0,20,0,0,0,80,3.47,133.47,2030,BIL (GEN)
271,Passaic Valley Water Commission,1605002-022,Emergency interconnection upgrade,347052,2000000,1140000,3140000,30,0,20,0,0,0,80,3.47,133.47,2030,BIL (GEN)
272,Jersey City Municipal Utilities Authority,0906001-009,Burma Road Area Water System Improvements,262000,2000000,770000,2770000,75,0,15,5,5,0,30,2.62,132.62,N/A,BIL (GEN)
272,Jersey City Municipal Utilities Authority,0906001-010,Journal Square North Cleaning,262000,5000000,2067000,7067000,75,0,20,5,0,0,30,2.62,132.62,2030,BIL (GEN)
274,NJ City Univ. / Jersey City Municipal Utilities Authority,0906001-005,Redevelopment of Brown.eld site,247000,882867,601385,1484252,75,0,20,5,0,0,30,2.47,132.47,2030,BIL (GEN)
275,"NJ American Water Company, Inc.",0712001-016,NJ American Water Lead Service Line Replacement Program PWSID 0712001,217230,2805000,1027600,3832600,125,0,0,5,0,0,0,1.75,131.75,N/A,BIL (LSLR)
279,Orange City,0717001-012,Orange Twp | Interconnection and Distribution Project,30731,1296216,618000,1555459,30,80,0,5,5,0,0,0.3,130.3,2027,BIL (GEN)
280,Manchester Township,1518005-004,MANCHESTER TOWNSHIP 1.0MG ELEVATED TANK,21200,4962608,380619,6680643,50,80,0,0,0,0,0,0.21,130.21,2027,BIL (GEN)
281,Pine Hill Municipal Utilities Authority,0428002-001,Construction of GAC .ltration system for removal of IPMP - Critical Area #2,12492,250000,175000,425000,100,0,0,0,0,0,30,0.12,130.12,2030,BIL (GEN)
282,Bellmawr Borough,0404001-005,Improvements to WTP,11583,415500,83100,498600,100,0,0,0,0,0,30,0.12,130.12,2030,BIL (GEN)
283,Sussex Borough,1921001-001,Water Treatment Plant upgrades,2666,116857,-16359,100498,100,0,0,0,0,0,30,0.03,130.03,2030,BIL (GEN)
284,Bayville Central Regional Board of Education,1505355-001,Additional treatment on existing well,2500,1000000,700000,1700000,100,0,0,0,0,0,30,0.02,130.02,2030,BIL (GEN)
285,Downe Township,0604001-004,Construction of new storage tank on New Jersey Avenue,770,600000,420000,1020000,50,0,0,0,0,0,80,0.01,130.01,2030,BIL (GEN)
