PWSID,Water System Name2,Sum of Weighted Muni MHI,Project MHI Factor,Sum of Weighted Muni Unemp Rate,"Project UE
Factor",Sum of Weighted Muni Pop Trend,Project PT Factor,Project Affordability Score,Sum of Weighted Muni OBC,Meets OBC Criteria (OBC >= 35),AC Tier
NJ1530004,STAFFORD TWP WATER - BEACH HAVEN W,81548,95.66,3.5,1,5.86,0,94.66,0.1866,No,Enh Base
NJ1530005,STAFFORD TWP MUA FAWN LA,81548,95.66,3.5,1,5.86,0,94.66,0.1866,No,Enh Base
NJ1533001,BARNEGAT TWP WATER & SEWER UTILITIE,73498,86.22,3.5,1,15.04,0,85.22,0.2127,No,Enh Base
NJ1533002,PINEWOOD ESTATES-BRIGHTN,73498,86.22,3.5,1,15.04,0,85.22,0.2127,No,Enh Base
NJ1603001,MANCHESTER UTILITIES AUTHORITY,81562,95.68,4.2,1,0.42,0,94.68,0.2193,No,Enh Base
NJ1616001,WOODLAND PARK WATER DEPARTMENT,77250,90.62,4.2,1,7.38,0,89.62,0.236,No,Enh Base
NJ1702001,ELMER BORO W DEPT,77734,91.19,4.6,1,-6.44,1,89.19,0.1514,No,Enh Base
NJ1706001,AUBURN VILLAGE WATER SUP,82500,96.78,4.6,1,0.39,0,95.78,0.1752,No,Enh Base
NJ1710001,HARDING WOODS MHP,75260,88.29,4.6,1,-6.28,1,86.29,0.1769,No,Enh Base
NJ1710002,HOLLY TREE ACRES SYSTEM,75260,88.29,4.6,1,-6.28,1,86.29,0.1769,No,Enh Base
NJ1710003,"PICNIC GROVE MHC, LLC",75260,88.29,4.6,1,-6.28,1,86.29,0.1769,No,Enh Base
NJ1710006,VILLAGE I,75260,88.29,4.6,1,-6.28,1,86.29,0.1769,No,Enh Base
NJ1710304,EAGLEVIEW HEALTH AND REHABILIATION,75260,88.29,4.6,1,-6.28,1,86.29,0.1769,No,Enh Base
NJ1714001,COUNTRY CLUB ESTATES,86622,101.62,4.6,1,-4.5,1,99.62,0.2352,No,Enh Base
NJ1714003,BANCROFT NEURO HEALTH FACILITIES,86622,101.62,4.6,1,-4.5,1,99.62,0.2352,No,Enh Base
NJ1715001,WOODSTOWN WATER DEPARTMENT,80829,94.82,4.6,1,-1.75,1,92.82,0.2185,No,Enh Base
NJ1909001,HAMBURG BOARD OF PUBLIC WORKS,76650,89.92,3.3,0,-4.46,1,88.92,0.1652,No,Enh Base
NJ1910002,CARRIAGE MOBILE HOMES INC,78403,91.97,3.3,0,-6.74,1,90.97,0.1218,No,Enh Base
NJ1910003,SUEZ WATER NEW JERSEY HAMPTON,78403,91.97,3.3,0,-6.74,1,90.97,0.1218,No,Enh Base
NJ1914002,MONTAGUE WATER CO.,76172,89.36,3.3,0,-4.73,1,88.36,0.3275,No,Enh Base
NJ2013001,RAHWAY CITY WATER DEPT,78946,92.61,3.5,1,10.2,0,91.61,0.1994,No,Enh Base
NJ2102001,ALPHA MUNICIPAL WATER WORKS,72463,85.01,3.2,0,-5.57,1,84.01,0.1317,No,Enh Base
NJ2108001,HACKETTSTOWN MUA,83894,98.42,3.1,0,-3.14,1,97.42,0.1905,No,Enh Base
NJ2116002,HILLSIDE VILLAGE,80847,94.84,3.2,0,-5.43,1,93.84,0.199,No,Enh Base
NJ2116004,WARREN HAVEN REHABILITATION & NURSI,80847,94.84,3.2,0,-5.43,1,93.84,0.199,No,Enh Base
NJ2117002,VALLEY VIEW ESTATES,74357,87.23,3.2,0,-3.54,1,86.23,0.1763,No,Enh Base
NJ2117003,OXFORD MANOR LLC,74357,87.23,3.2,0,-3.54,1,86.23,0.1763,No,Enh Base
NJ2119001,AQUA NJ INC - PHILLIPSBURG,75416,88.47,3.2,0,-1.67,1,87.47,0.2641,No,Enh Base
NJ2120001,AQUA NJ INC - RIEGELSVILLE,83115,97.5,3.2,0,-5.51,1,96.5,0.1306,No,Enh Base
NJ2121001,NJ AMERICAN WATER - WASHINGTON/OXF,80073,93.93,3.2,0,-2.37,1,92.93,0.1999,No,Enh Base
NJ0115001,LONGPORT WATER DEPARTMENT,116500,136.66,4.9,1,-6.48,1,134.66,0.084,No,Base
NJ0201001,ALLENDALE WATER DEPT,170955,200.55,2.8,0,3.7,0,200.55,0.0493,No,Base
NJ0217001,FAIR LAWN WATER DEPT,123159,144.48,2.8,0,1.9,0,144.48,0.11,No,Base
NJ0220001,SUEZ WATER NEW JERSEY FRANKLIN LAKES,172766,202.67,2.8,0,5.49,0,202.67,0.0398,No,Base
NJ0228001,HO HO KUS WATER DEPT,216808,254.34,2.8,0,0.07,0,254.34,0.0178,No,Base
NJ0233001,MAHWAH WATER DEPARTMENT,107108,125.65,2.8,0,2.11,0,125.65,0.1302,No,Base
NJ0233005,BOGERTS RANCH ESTATES,107081,125.62,2.8,0,2.11,0,125.62,0.1302,No,Base
NJ0236001,SUEZ WATER NEW JERSEY MONTVALE PD9,146708,172.1,2.8,0,10.5,0,172.1,0.0772,No,Base
NJ0238001,SUEZ WATER NEW JERSEY HACKENSACK,92808,108.87,2.9,0,4.57,0,108.87,0.2213,No,Base
NJ0242001,OAKLAND WATER DEPT,126319,148.18,2.8,0,1.88,0,148.18,0.0868,No,Base
NJ0247001,PARK RIDGE WATER DEPT,137911,161.78,2.8,0,0.89,0,161.78,0.0929,No,Base
NJ0248001,RAMSEY WATER DEPT,147879,173.48,2.8,0,3.23,0,173.48,0.0775,No,Base
NJ0251001,RIDGEWOOD WATER,173722,203.79,2.8,0,1.24,0,203.79,0.0645,No,Base
NJ0257001,SADDLE BROOK WATER DEPT,106776,125.26,2.8,0,-0.07,1,125.26,0.1416,No,Base
NJ0258001,SADDLE RIVER WATER UTILITY,213958,250.99,2.8,0,0.95,0,250.99,0.0512,No,Base
NJ0264001,WALDWICK WATER DEPT,124914,146.53,2.8,0,5.39,0,146.53,0.0931,No,Base
NJ0303001,BORDENTOWN WATER DEPARTMENT,88913,104.3,3.2,0,3.48,0,104.3,0.1551,No,Base
NJ0306001,BURLINGTON TWP W DEPT,89545,105.04,3.2,0,0.63,0,105.04,0.1418,No,Base
NJ0311001,FENIMORE TRAILER PARK,96429,113.12,3.2,0,0.85,0,113.12,0.1173,No,Base
NJ0311002,FENIMORE WOODS MHP,96429,113.12,3.2,0,0.85,0,113.12,0.1173,No,Base
NJ0313001,EVESHAM MUA,100720,118.15,3.2,0,-0.37,1,117.15,0.101,No,Base
NJ0318002,NJ AMERICAN WATER - HOMESTEAD,92386,108.38,3.2,0,2.81,0,108.38,0.0526,No,Base
NJ0320001,MEDFORD TWP DEPT OF MUNI,124471,146.02,3.2,0,1.69,0,146.02,0.0711,No,Base
NJ0320002,ESTAUGH CORP T/A MEDFORD LEAS,124471,146.02,3.2,0,1.69,0,146.02,0.0711,No,Base
NJ0322001,MOORESTOWN WATER DEPT,148060,173.69,3.2,0,-0.53,1,172.69,0.061,No,Base
NJ0323001,NJ AMERICAN WATER - MOUNT HOLLY,92533,108.55,3.2,0,-0.4,1,107.55,0.1495,No,Base
NJ0324001,MT LAUREL TWP MUA,94832,111.25,3.2,0,-1.31,1,110.25,0.1166,No,Base
NJ0332001,FAWN LAKE VILLAGE,118554,139.07,3.2,0,-2.08,1,138.07,0.1147,No,Base
NJ0332002,OAKVIEW LEISURE VILLAGE,118554,139.07,3.2,0,-2.08,1,138.07,0.1147,No,Base
NJ0335001,ALLENWOOD ESTATES LLC,103101,120.95,3.2,0,-2.55,1,119.95,0.0839,No,Base
NJ0416001,HADDON TWP WATER DEPARTM,97159,113.98,3.9,1,-1.34,1,111.98,0.1181,No,Base
NJ0435003,WATERFORD TOWNSHIP WATER DEPT.,105119,123.31,3.9,1,0.25,0,122.31,0.1147,No,Base
NJ0435324,ONYX BEHAVIORAL HEALTH CARE,105119,123.31,3.9,1,0.25,0,122.31,0.1147,No,Base
NJ0501001,AVALON WATER AND SEWERAGE UTILITIES,95556,112.1,6.9,1,-10.95,1,110.1,0.1025,No,Base
NJ0510001,STONE HARBOR WATER DEPT,99375,116.58,6.9,1,-8.06,1,114.58,0.1073,No,Base
NJ0511001,NJ AMERICAN WATER - STRATHMERE,91167,106.95,6.9,1,-3.1,1,104.95,0.1217,No,Base
NJ0511003,SHORE ACRES MOBILE HOME,91167,106.95,6.9,1,-3.1,1,104.95,0.1217,No,Base
NJ0703001,CALDWELL WATER DEPT,96806,113.56,4.3,1,2.04,0,112.56,0.1505,No,Base
NJ0704001,CEDAR GROVE WATER DEPT,123768,145.19,4.3,1,1.05,0,144.19,0.0698,No,Base
NJ0706001,ESSEX FELLS WATER DEPT,213088,249.97,4.3,1,-0.95,1,247.97,0.0294,No,Base
NJ0706002,ESSEX FELLS WATER HILLTOP SYSTEM,128060,150.23,4.3,1,0.65,0,149.23,0.0903,No,Base
NJ0707001,FAIRFIELD WATER DEPARTMENT,122364,143.54,4.3,1,0.82,0,142.54,0.0751,No,Base
NJ0708001,GLEN RIDGE WATER DEPT,202222,237.22,4.3,1,1.19,0,236.22,0.0684,No,Base
NJ0710001,LIVINGSTON TWP DIV OF WATER,166629,195.47,4.3,1,4.09,0,194.47,0.062,No,Base
NJ0712001,NJ AMERICAN WATER - PASSAIC BASIN,130439,153.02,3.7,1,2.42,0,152.02,0.1484,No,Base
NJ0713001,MONTCLAIR WATER BUREAU,126844,148.8,4.3,1,2.51,0,147.8,0.1451,No,Base
NJ0715001,NORTH CALDWELL WATER DEP,187734,220.23,4.3,1,5.9,0,219.23,0.0431,No,Base
NJ0715002,NORTH CALDWELL - HILLTOP,187734,220.23,4.3,1,5.9,0,219.23,0.0431,No,Base
NJ0716001,NUTLEY WATER DEPT,99276,116.46,4.3,1,0.82,0,115.46,0.1471,No,Base
NJ0718001,ROSELAND WATER DEPT,129006,151.34,4.3,1,1.32,0,150.34,0.0955,No,Base
NJ0719001,SOUTH ORANGE WATER DEPARTMENT,139037,163.1,4.3,1,3.04,0,162.1,0.146,No,Base
NJ0720001,VERONA WATER DEPARTMENT,127843,149.97,4.3,1,0.68,0,148.97,0.0909,No,Base
NJ0721001,WEST CALDWELL WATER DEPARTMENT,128350,150.57,4.3,1,0.8,0,149.57,0.0852,No,Base
NJ0803001,EAST GREENWICH TWP WATER DEPT,129353,151.74,3.5,1,15.34,0,150.74,0.0687,No,Base
NJ0808001,NJ AMERICAN WATER - HARRISON,145366,170.53,3.5,1,7.42,0,169.53,0.0408,No,Base
NJ0809001,NJ AMERICAN WATER - BRIDGEPORT,111324,130.59,3.5,1,-3.26,1,128.59,0.0716,No,Base
NJ0809002,NJ AMERICAN WATER - LOGAN,111439,130.73,3.5,1,-3.12,1,128.73,0.0716,No,Base
NJ0810004,MANTUA TOWNSHIP MUA,91321,107.13,3.5,1,-2.53,1,105.13,0.1329,No,Base
NJ0810005,MANOR WATER ASSOCIATIONS,91321,107.13,3.5,1,-2.53,1,105.13,0.1329,No,Base
NJ0816001,HARRISONVILLE MOBILE HOME PARK,132880,155.88,3.5,1,0.1,0,154.88,0.0947,No,Base
NJ0818004,WASHINGTON TOWNSHIP MUA,97247,114.08,3.5,1,-2.16,1,112.08,0.1051,No,Base
NJ0819001,WENONAH WATER DEPARTMENT,124821,146.43,3.5,1,-3.53,1,144.43,0.058,No,Base
NJ0823001,WOODBURY HEIGHTS W UTILITY,96875,113.64,3.5,1,-3.42,1,111.64,0.1245,No,Base
NJ0824001,AQUA NJ - WOOLWICH,141875,166.43,3.5,1,33.44,0,165.43,0.0743,No,Base
NJ0905001,HOBOKEN WATER UTILITY,147620,173.17,3.2,0,7.81,0,173.17,0.1553,No,Base
NJ1004001,AQUA NJ INC - CALIFON,97019,113.81,2.6,0,-3.15,1,112.81,0.1048,No,Base
NJ1005001,CLINTON W DEPT,127532,149.61,2.6,0,-2.75,1,148.61,0.1011,No,Base
NJ1006300,TEEN CHALLENGE,142162,166.77,2.6,0,-6.76,1,165.77,0.0837,No,Base
NJ1006302,ROLLING HILLS CARE CENTER,142162,166.77,2.6,0,-6.76,1,165.77,0.0837,No,Base
NJ1007001,DELAWARE TOWNSHIP MUA,117941,138.36,2.6,0,-3.49,1,137.36,0.1167,No,Base
NJ1007002,ROSEMONT WATER COMPANY,117941,138.36,2.6,0,-3.49,1,137.36,0.1167,No,Base
NJ1014001,HIGH BRIDGE W DEPT,96132,112.77,2.6,0,-7.19,1,111.77,0.1971,No,Base
NJ1015003,AQUA NJ INC - RIEGEL RIDGE,101726,119.33,2.6,0,-3.92,1,118.33,0.0684,No,Base
NJ1015004,AQUA NJ - FOX HILL,101726,119.33,2.6,0,-3.92,1,118.33,0.0684,No,Base
NJ1019001,AQUA NJ INC - BUNNVALE,117577,137.93,2.6,0,-7.2,1,136.93,0.0518,No,Base
NJ1019003,CAMELOT AT SPRUCE RIDGE,117577,137.93,2.6,0,-7.2,1,136.93,0.0518,No,Base
NJ1019311,LITTLE BROOK NURSING HOME,117577,137.93,2.6,0,-7.2,1,136.93,0.0518,No,Base
NJ1020001,MILFORD W DEPT,94349,110.68,2.6,0,-4.47,1,109.68,0.0835,No,Base
NJ1021363,HUNTERDON CARE CENTER,135115,158.5,2.6,0,1.24,0,158.5,0.0758,No,Base
NJ1023001,STOCKTON WATER DEPARTMENT,101250,118.78,2.6,0,-5.54,1,117.78,0.2117,No,Base
NJ1024001,NJ AMERICAN WATER - OLDWICK,148867,174.63,2.6,0,-3.52,1,173.63,0.0506,No,Base
NJ1025313,COUNTRY ARCH CARE CENTER,106996,125.52,2.6,0,-7.92,1,124.52,0.1122,No,Base
NJ1101002,EAST WINDSOR MUA,88795,104.16,3,0,0.92,0,104.16,0.1973,No,Base
NJ1103001,AQUA NJ - HAMILTON SQUARE,110324,129.42,3,0,2.12,0,129.42,0.1457,No,Base
NJ1105001,HOPEWELL BORO W DEPT,110823,130.01,3,0,-1.15,1,129.01,0.1089,No,Base
NJ1106001,HOPEWELL TOWNSHIP WATER & SEWER,136231,159.81,3,0,2.81,0,159.81,0.0548,No,Base
NJ1106002,MERCER COUNTY CORRECTIONAL CENTER,136231,159.81,3,0,2.81,0,159.81,0.0548,No,Base
NJ1107001,LAWRENCEVILLE SCHOOL,103690,121.64,3,0,-2.1,1,120.64,0.128,No,Base
NJ1107002,AQUA NJ - LAWRENCE,103690,121.64,3,0,-2.1,1,120.64,0.128,No,Base
NJ1108001,PENNINGTON W DEPT,132500,155.43,3,0,-0.62,1,154.43,0.0897,No,Base
NJ1204001,EAST BRUNSWICK TWP WATER & SEWER U,115445,135.43,3,0,0.32,0,135.43,0.1281,No,Base
NJ1205001,EDISON WATER UTILITY,103076,120.92,3,0,-0.01,0,120.92,0.1478,No,Base
NJ1206001,HELMETTA WATER DEPT,93056,109.16,3,0,0.14,0,109.16,0.137,No,Base
NJ1209002,OLD BRIDGE MUA,91919,107.83,3,0,0.9,0,107.83,0.1432,No,Base
NJ1212001,MILLTOWN W DEPT,101563,119.14,3,0,1,0,119.14,0.2245,No,Base
NJ1213002,MONROE TOWNSHIP UTILITY DEPARTMEN,90451,106.11,3,0,17.53,0,106.11,0.1171,No,Base
NJ1215001,NORTH BRUNSWICK WATER DEPARTMENT,96546,113.26,3,0,2.57,0,113.26,0.1658,No,Base
NJ1221004,SOUTH BRUNSWICK TOWNSHIP WATER DIV,120545,141.41,3,0,6.28,0,141.41,0.0918,No,Base
NJ1225001,MIDDLESEX WATER COMPANY,94050,110.33,3,0,1.96,0,110.33,0.1618,No,Base
NJ1302001,ALLENTOWN WATER DEPT,105954,124.29,3.1,0,-3.11,1,123.29,0.0571,No,Base
NJ1304001,ATLANTIC HIGHLANDS WATER,100048,117.37,3.1,0,-1.25,1,116.37,0.1088,No,Base
NJ1305001,AVON BY THE SEA WATER DE,92813,108.88,3.1,0,-7.38,1,107.88,0.1297,No,Base
NJ1306001,BELMAR WATER DEPT,87639,102.81,3.1,0,-4.53,1,101.81,0.2475,No,Base
NJ1308001,BRIELLE WATER DEPT,140352,164.65,3.1,0,-2.38,1,163.65,0.0456,No,Base
NJ1309002,SUEZ WATER TOMS RIVER - COLTS NECK,176280,206.79,3.1,0,-3.13,1,205.79,0.0692,No,Base
NJ1309415,BRANDYWINE ASSISTED LIVING AT COLTS N,176280,206.79,3.1,0,-3.13,1,205.79,0.0692,No,Base
NJ1312001,ENGLISHTOWN WATER DEPT,92691,108.73,3.1,0,3.8,0,108.73,0.2872,No,Base
NJ1316001,FREEHOLD TWP WATER DEPT,112266,131.7,3.1,0,-3.35,1,130.7,0.1176,No,Base
NJ1319003,ANGLE INN MOBILE HOME PARK,105082,123.27,3.1,0,2.1,0,123.27,0.1352,No,Base
NJ1319008,WINDING BROOK MHP SYS 1,105082,123.27,3.1,0,2.1,0,123.27,0.1352,No,Base
NJ1319009,WINDING BROOK MHP SYSTEM 2,105082,123.27,3.1,0,2.1,0,123.27,0.1352,No,Base
NJ1319010,GREEN ACRES NJ MHC LLC,105082,123.27,3.1,0,2.1,0,123.27,0.1352,No,Base
NJ1326001,GORDONS CORNER WATER CO,132887,155.89,3.1,0,1.34,0,155.89,0.0853,No,Base
NJ1326002,SUEZ WATER MANALAPAN KNOB HILL,122304,143.47,3.1,0,2.32,0,143.47,0.0886,No,Base
NJ1326004,SUEZ WATER MATCHAPONIX,111352,130.63,3.1,0,-2.92,1,129.63,0.1166,No,Base
NJ1326005,SUEZ WATER MANALAPAN MILLHURST,122304,143.47,3.1,0,2.32,0,143.47,0.0886,No,Base
NJ1326007,SUEZ WATER MANALAPAN TRACEY STATIO,122304,143.47,3.1,0,2.32,0,143.47,0.0886,No,Base
NJ1327001,MANASQUAN WATER DEPARTMENT,124097,145.58,3.1,0,-1.96,1,144.58,0.0963,No,Base
NJ1328002,MARLBORO TOWNSHIP WATER UTILITY DIV,152489,178.88,3.1,0,-0.47,1,177.88,0.0793,No,Base
NJ1329001,MATAWAN BOROUGH WATER DE,100680,118.11,3.1,0,-0.91,1,117.11,0.1218,No,Base
NJ1330002,ABERDEEN - CLIFFWOOD/CLIFFWOOD BEAC,101362,118.91,3.1,0,6.5,0,118.91,0.1068,No,Base
NJ1330003,ABERDEEN- HIGH SCHOOL/OAKSHADE ARE,101363,118.91,3.1,0,6.5,0,118.91,0.1068,No,Base
NJ1330004,ABERDEEN - FRENEAU,101363,118.91,3.1,0,6.5,0,118.91,0.1068,No,Base
NJ1332314,MILLSTONE MANOR,163981,192.36,3.1,0,-0.37,1,191.36,0.1047,No,Base
NJ1339001,NJ AMERICAN WATER - SHORELANDS,115886,135.94,3.1,0,-2.34,1,134.94,0.1129,No,Base
NJ1341001,ROOSEVELT WATER DEPT,105694,123.99,3.1,0,-5.54,1,122.99,0.0925,No,Base
NJ1344001,SEA GIRT WATER DEPT,146023,171.3,3.1,0,-4.65,1,170.3,0.0326,No,Base
NJ1345001,NJ AMERICAN WATER - COASTAL NORTH,92257,108.23,3.1,0,-0.02,0,108.23,0.2365,No,Base
NJ1347001,LAKE COMO WATER DEPT,95563,112.1,3.1,0,-4.49,1,111.1,0.2069,No,Base
NJ1349001,BOROUGH OF SPRINGLAKE HEIGHTS,87500,102.65,3.1,0,-4.78,1,101.65,0.1301,No,Base
NJ1350001,NJ AMERICAN WATER - UNION BEACH,87571,102.73,3.1,0,-15.39,1,101.73,0.1652,No,Base
NJ1352003,WALL TWP WATER DEPT,107685,126.32,3.1,0,-1.97,1,125.32,0.1266,No,Base
NJ1352005,NJ WATER SUPPLY AUTHORITY MANASQUA,107685,126.32,3.1,0,-1.97,1,125.32,0.1266,No,Base
NJ1401001,BOONTON WATER DEPT,87027,102.09,2.7,0,6.67,0,102.09,0.2264,No,Base
NJ1401002,BOONTON TWP WATER DEPT,138750,162.77,2.7,0,-0.61,1,161.77,0.1277,No,Base
NJ1403001,BUTLER WATER DEPT,95768,112.34,2.7,0,1.86,0,112.34,0.1552,No,Base
NJ1404001,CHATHAM WATER DEPT,192321,225.61,2.7,0,-3.22,1,224.61,0.0478,No,Base
NJ1406002,WINDY ACRES MOBILE HOME,105500,123.76,2.7,0,-1.52,1,122.76,0.1679,No,Base
NJ1407001,AWM FOUR SEASONS AT CHESTER,167500,196.49,2.7,0,-1.64,1,195.49,0.0628,No,Base
NJ1408001,DENVILLE TWP WATER DEPT,126815,148.77,2.7,0,-0.75,1,147.77,0.0954,No,Base
NJ1410001,EAST HANOVER TWP WATER DEPT,136016,159.56,2.7,0,-2.3,1,158.56,0.0801,No,Base
NJ1411001,FLORHAM PARK WATER DEPT,128071,150.24,2.7,0,-0.89,1,149.24,0.1222,No,Base
NJ1413001,LAKESHORE COMPANY,141196,165.64,2.7,0,-1.03,1,164.64,0.1009,No,Base
NJ1414003,JEFFERSON TWP W U MILTON SYSTEM,106892,125.39,2.7,0,-2.3,1,124.39,0.1208,No,Base
NJ1414006,LOZIERS TRAILER PARK,106892,125.39,2.7,0,-2.3,1,124.39,0.1208,No,Base
NJ1414008,OAK RIDGE MOBILE HOME PARK,106892,125.39,2.7,0,-2.3,1,124.39,0.1208,No,Base
NJ1414011,JEFFERSON TWP WATER UTILITY LAKE HOP,106892,125.39,2.7,0,-2.3,1,124.39,0.1208,No,Base
NJ1414014,SANDY POINT MOBILE HOME,106892,125.39,2.7,0,-2.3,1,124.39,0.1208,No,Base
NJ1414016,JEFFERSON TWP W U VASSAR ROAD,106892,125.39,2.7,0,-2.3,1,124.39,0.1208,No,Base
NJ1415001,FAYSON LAKES WATER COMPANY INC,158000,185.35,2.7,0,-3.05,1,184.35,0.0643,No,Base
NJ1415002,KINNELON WATER DEPT,158000,185.35,2.7,0,-3.05,1,184.35,0.0643,No,Base
NJ1416001,BOROUGH OF LINCOLN PARK WATER DEPT,97003,113.79,2.7,0,-4.21,1,112.79,0.0837,No,Base
NJ1416004,BOROUGH OF LINCOLN PARK JACKSONVILL,97003,113.79,2.7,0,-4.21,1,112.79,0.0837,No,Base
NJ1417001,MADISON WATER DEPT,146157,171.46,2.7,0,11.56,0,171.46,0.0827,No,Base
NJ1420001,MINE HILL TWP WATER DEPT,91219,107.01,2.7,0,-4.79,1,106.01,0.2149,No,Base
NJ1421003,MONTVILLE TWP MUA,145292,170.44,2.7,0,-1.99,1,169.44,0.0782,No,Base
NJ1421305,SIGNATURE CARE HOME @ MONTVILLE,145292,170.44,2.7,0,-1.99,1,169.44,0.0782,No,Base
NJ1422001,SISTERS OF CHARITY OF SE,151776,178.05,2.7,0,-0.43,1,177.05,0.0532,No,Base
NJ1424001,SOUTHEAST MORRIS COUNTY MUA,126700,148.63,2.7,0,3.48,0,148.63,0.1172,No,Base
NJ1425001,MOUNTAIN LAKES WATER DEP,241201,282.95,2.7,0,1.31,0,282.95,0.339,No,Base
NJ1427001,MT OLIVE VILLAGES WATER,88073,103.32,2.7,0,3.94,0,103.32,0.0632,No,Base
NJ1427002,MOUNT OLIVE TWP - GOLDMINE SYSTEM,88073,103.32,2.7,0,3.94,0,103.32,0.0632,No,Base
NJ1427005,MOUNT OLIVE TWP - FLANDERS,88073,103.32,2.7,0,3.94,0,103.32,0.0632,No,Base
NJ1427006,MOUNT OLIVE TWP - SAND,88073,103.32,2.7,0,3.94,0,103.32,0.0632,No,Base
NJ1427007,MOUNT OLIVE TWP - VILLAGE,88073,103.32,2.7,0,3.94,0,103.32,0.0632,No,Base
NJ1427008,MOUNT OLIVE TWP - PINECREST,88073,103.32,2.7,0,3.94,0,103.32,0.0632,No,Base
NJ1427009,NJ AMERICAN WATER - MOUNT OLIVE - WE,88073,103.32,2.7,0,3.94,0,103.32,0.0632,No,Base
NJ1427010,NJ VASA HOME WATER SYS,88073,103.32,2.7,0,3.94,0,103.32,0.0632,No,Base
NJ1427012,MOUNT OLIVE TWP - LYNWOOD,88073,103.32,2.7,0,3.94,0,103.32,0.0632,No,Base
NJ1427014,MOUNT OLIVE TWP - CARLTON HILLS,88073,103.32,2.7,0,3.94,0,103.32,0.0632,No,Base
NJ1427015,MOUNT OLIVE TWP - TINC FARM,88073,103.32,2.7,0,3.94,0,103.32,0.0632,No,Base
NJ1427017,NJ AMERICAN WATER - ITC,88073,103.32,2.7,0,3.94,0,103.32,0.0632,No,Base
NJ1427018,MORRIS CHASE/MORRIS HUNT PCWS,88073,103.32,2.7,0,3.94,0,103.32,0.0632,No,Base
NJ1429001,PARSIPPANY-TROY HILLS WATER DEPARTM,102507,120.25,2.7,0,-2.76,1,119.25,0.1148,No,Base
NJ1431001,PEQUANNOCK TWP WATER DEPARTMENT,105310,123.54,2.7,0,-2.88,1,122.54,0.1226,No,Base
NJ1431002,PEQUANNOCK TWP WD-CEDAR CREST,105299,123.53,2.7,0,-2.88,1,122.53,0.1225,No,Base
NJ1432001,MORRIS COUNTY MUA,142459,167.12,2.7,0,-1.16,1,166.12,0.0896,No,Base
NJ1432003,RANDOLPH TWP PUBLIC WORKS DEPT,142459,167.12,2.7,0,-1.16,1,166.12,0.0896,No,Base
NJ1433001,RIVERDALE BORO WATER DEP,110664,129.82,2.7,0,18.82,0,129.82,0.1337,No,Base
NJ1434001,ROCKAWAY BORO WATER DEPT,99718,116.98,2.7,0,-0.5,1,115.98,0.0968,No,Base
NJ1435001,HOFFMAN HOMES COMMUNITY LLC,111026,130.24,2.7,0,7.45,0,130.24,0.1156,No,Base
NJ1435002,ROCKAWAY TWP WATER DEPT,111026,130.24,2.7,0,7.45,0,130.24,0.1156,No,Base
NJ1436002,NJ AMERICAN WATER - ROXBURY,113957,133.68,2.7,0,-3.3,1,132.68,0.0949,No,Base
NJ1436003,ROXBURY TWP W DEPT-SHORE,107932,126.61,2.7,0,-0.07,1,126.61,0.1113,No,Base
NJ1436004,ROXBURY TWP W DEPT-SKY V,113957,133.68,2.7,0,-3.3,1,132.68,0.0949,No,Base
NJ1436006,ROXBURY TWP W DEPT-EVERGREEN,113957,133.68,2.7,0,-3.3,1,132.68,0.0949,No,Base
NJ1438001,AQUA NJ CLIFFSIDE PARK,141447,165.93,2.8,0,-2.13,1,164.93,0.1082,No,Base
NJ1438003,WASHINGTON TWP MUA-HAGER,146878,172.3,2.7,0,-1.82,1,171.3,0.0972,No,Base
NJ1438004,WASHINGTON TWP MUA-SCHOOLEYS MOU,149129,174.94,2.7,0,-1.71,1,173.94,0.0967,No,Base
NJ1438006,SHERWOOD VILLAGE,149129,174.94,2.7,0,-1.71,1,173.94,0.0967,No,Base
NJ1503001,BOROUGH OF BEACH HAVEN,97083,113.89,3.5,1,2.03,0,112.89,0.1696,No,Base
NJ1509001,HARVEY CEDARS WATER DEPT,96944,113.72,3.5,1,1.77,0,112.72,0.1326,No,Base
NJ1510001,ISLAND HEIGHTS WATER DEP,94464,110.81,3.5,1,-0.59,1,108.81,0.0755,No,Base
NJ1511001,JACKSON TWP MUA,95069,111.52,3.5,1,6.72,0,110.52,0.1456,No,Base
NJ1511002,JACKSON ACRES MHP,95069,111.52,3.5,1,6.72,0,110.52,0.1456,No,Base
NJ1511003,LAND O PINES MOBILE HOME PARK,95069,111.52,3.5,1,6.72,0,110.52,0.1456,No,Base
NJ1511004,MAPLE GLEN MOBILE HOME PARK,95069,111.52,3.5,1,6.72,0,110.52,0.1456,No,Base
NJ1511005,OAK TREE MOBILE HOME PARK,95069,111.52,3.5,1,6.72,0,110.52,0.1456,No,Base
NJ1511007,SILVER PINE PARK LAND LLC,95069,111.52,3.5,1,6.72,0,110.52,0.1456,No,Base
NJ1511008,SOUTH WIND MOBILE HOME V,95069,111.52,3.5,1,6.72,0,110.52,0.1456,No,Base
NJ1511011,ALL SEASONS MHP,95069,111.52,3.5,1,6.72,0,110.52,0.1456,No,Base
NJ1511013,FOUNTAINHEAD PARKS INC,95069,111.52,3.5,1,6.72,0,110.52,0.1456,No,Base
NJ1511016,MEADOWBROOK CO-OP INC,95069,111.52,3.5,1,6.72,0,110.52,0.1456,No,Base
