Project Number,District Number,Project Type,Applicant,Project Title / Description,Priority Class,Consolidation Project,Population,Service Connections ,Degree of Disadvantaged,Estimated/Required Project Costs
1010023-004C,23,Construction,"Orange Cove, City of",Water Treatment Plant Improvements,F,FALSE,"8,500","1,450","Small SeverelyDisadvantaged","$19,438,750.00"
1200701-001C,1,Construction,Orick Community Services District,Water System Improvement Project,F,FALSE,400,139,"Small SeverelyDisadvantaged","$1,246,220.00"
5610007-001C,6,Construction,"Oxnard, City of",Laguna Vista Elementary School Consolidation Project,C,TRUE,"192,000","37,964",Pending,$                                  -
4400758-001C,5,Construction,Pajaro Valley Unified School District,Renaissance High School and Soquel Creek Consolidation,C,FALSE,250,1,"Small SeverelyDisadvantaged",$                                  -
2700771-001C,5,Construction,Pajaro/Sunny Mesa Community Services District,Springfield MWC - Nitrate,A,TRUE,200,42,"Small SeverelyDisadvantaged","$8,589,000.00"
0400060-001C,21,Construction,Palermo Union School District,Honcut School Well Project,A,FALSE,40,2,Pending,"$776,200.00"
5400519-001C,24,Construction,Palo Verde Union Elementary School District,Palo Verde Union Elementary School Well,D,FALSE,500,26,"Small SeverelyDisadvantaged","$645,000.00"
1206002-001C,1,Construction,Palomino Estates M.W.C.,Palomino Estates Water System Upgrade Project,B,FALSE,64,19,"Small SeverelyDisadvantaged","$2,320,000.00"
1000345-003C,23,Construction,Panoche Water District,Drinking Water Treatment Plant,F,FALSE,27,15,Pending,"$9,340,000.00"
1200541-003C,1,Construction,Phillipsville Community Services District,"Water Quality, Supply, and Distribution ImprovementsProject",C,FALSE,140,66,"Small SeverelyDisadvantaged","$3,850,964.00"
1010026-001C,11,Construction,Pinedale County Water District,Pinedale County Water District - Water Meter Project,D,FALSE,"8,495","3,370",Pending,"$8,170,000.00"
5410009-001C,12,Construction,Pixley Public Utilities District,Pixley TCP Treatment Design,C,FALSE,"4,322",841,"Small SeverelyDisadvantaged","$8,342,200.00"
3110005-010C,2,Construction,Placer County Water Agency,Shady Glen Consolidation Construction Project,C,TRUE,336,120,Small Disadvantaged,"$3,496,061.00"
3110005-011C,2,Construction,Placer County Water Agency,Sierra Meadows Apartment Consolidation Project,C,FALSE,87,31,Pending,"$238,162.00"
5410039-003C,12,Construction,Plainview Mutual Water Company,Plainview Nitrate Relief Project,C,TRUE,800,187,"Small SeverelyDisadvantaged","$5,070,567.00"
5410010-019C,24,Construction,"Porterville, City of","Grandview Gardens and East Plano Consolidation withPorterville",A,TRUE,"55,107","15,395","Small SeverelyDisadvantaged","$8,123,000.00"
2300755-001C,3,Construction,Potter Valley Community Unified School District,PVCUSD System DWSRF Improvement,D,FALSE,295,15,Pending,$                                  -
3301380-001C,20,Construction,Pueblo Unido Community Development Corporation,St. Anthony On-Site Water Distribution System,C,FALSE,250,60,"Small SeverelyDisadvantaged","$1,101,203.00"
1500458-002C,19,Construction,R.S. Mutual Water Company,R.S. Mutual Water Company consolidation project,C,TRUE,67,23,"Small SeverelyDisadvantaged","$538,000.00"
4200867-001C,6,Construction,Ray Water,Ray Water Company Consolidation,C,FALSE,25,7,Pending,$                                  -
4510005-001C,2,Construction,"Redding, City of","City of Redding and Cascade Racquet Club Mutual WaterCompany",F,TRUE,"85,703","26,080",Not Disadvantaged,"$889,705.00"
1210012-008C,1,Construction,"Rio Dell, City of",Water Distribution System Improvement Project,F,FALSE,"3,174","1,134","Small SeverelyDisadvantaged","$12,862,989.00"
0310006-002C,10,Construction,River Pines Public Utility District,Water Storage and Distribution Rehabilitation Project,F,FALSE,510,210,"Small SeverelyDisadvantaged","$7,574,250.00"
3310028-001C,20,Construction,"Riverside, County of (CSA 122- Mesa Verde)","Consolidation – Expanded Feasibility Study, Rate Studyand Construction Application",C,TRUE,"1,240",389,"Small SeverelyDisadvantaged","$7,865,213.00"
3600220-001C,13,Construction,"San Bernardino, County of",CSA 42 Reservoir Replacement,F,FALSE,700,140,"Small SeverelyDisadvantaged","$200,000.00"
3600114-003C,13,Construction,"San Bernardino, County of",CSA 70 W3 Hacienda Uranium Treatment Facilities,C,FALSE,695,139,Small Disadvantaged,"$56,000.00"
3600226-001C,13,Construction,"San Bernardino, County of",CSA 70 F Morongo Uranium Treatment Facilities,C,FALSE,450,90,Small Disadvantaged,"$455,000.00"
3810011-002C,4,Construction,"San Francisco, Public Utilities Commission of theCity and County of",Water Service Line Replacement Project (LSL),F,FALSE,"802,650","175,154",Pending,"$38,500,000.00"
1010034-004C,23,Construction,"San Joaquin, City of",Well #3 and Well #5 Manganese Removal System,E,FALSE,"3,870",944,"Small SeverelyDisadvantaged","$8,906,000.00"
1010034-005C,23,Construction,"San Joaquin, City of","(Combined with 1010034-004C) San Joaquin Phase 2Water System Improvement Project",C,FALSE,"3,870",944,"Small SeverelyDisadvantaged","$10,413,810.00"
4100513-001C,17,Construction,"San Mateo, County of",Pescadero High School,A,FALSE,192,1,"Small SeverelyDisadvantaged","$2,784,000.00"
1010029-002C,23,Construction,"Sanger, City of",City of Sanger New Water Well Project,E,FALSE,"25,404","5,971","MediumDisadvantaged","$5,250,000.00"
1910240-001C,22,Construction,Santa Clarita Valley Water Agency,"T7, U4 and U6 Wells PFAS Treatment (Incentive)",C,FALSE,"101,000","29,924",Not Disadvantaged,"$16,649,966.00"
1910240-002C,22,Construction,Santa Clarita Valley Water Agency,"S6, S7, and S8 Wells PFAS Treatment FacilityImprovements Project (Incentive)",C,FALSE,"101,000","29,924",Not Disadvantaged,"$15,136,104.00"
2410018-003C,11,Construction,Santa Nella County Water District,Residential Water Meter Improvement Project,D,FALSE,"1,500",454,Not Disadvantaged,"$319,153.00"
2410018-004C,11,Construction,Santa Nella County Water District,"Santa Nella County Water District Surface WaterTreatment Plant Improvements",C,FALSE,"1,500",454,Not Disadvantaged,"$7,694,323.00"
4910009-001C,18,Construction,"Santa Rosa, City of","City of Santa Rosa Mobile Home Park ConsolidationProject",C,TRUE,"157,985","54,603",Not Disadvantaged,"$5,588,000.00"
1000187-001C,23,Construction,Selma Unified School District,"Indianola Elementary School Water SystemConsolidation",C,TRUE,500,1,"Small SeverelyDisadvantaged","$3,118,625.00"
1800575-001C,2,Construction,Shaffer Union Elementary School District,Shaffer Elementary School Source Capacity Project,D,FALSE,250,76,Small Disadvantaged,"$554,966.00"
4600019-001C,2,Construction,"Sierra County (Calpine) Waterworks District No.1",New Well and Treatment Facilities,C,FALSE,225,142,Not Disadvantaged,"$3,245,520.00"
2000506-001C,11,Construction,"Sierra Linda Mutual Water Company, Inc.","Consolidation, Metering, and Water Treatment",C,TRUE,180,89,"Small SeverelyDisadvantaged","$7,724,400.00"
5200562-001C,21,Construction,Sky View County Water District,Water System Improvement Project,C,FALSE,120,98,Pending,"$13,622,400.00"
4900510-001C,18,Construction,South Cloverdale Water Corporation,Water Service Connection and Metering,C,FALSE,90,37,"Small SeverelyDisadvantaged","$117,808.00"
3310017-001C,20,Construction,South Mesa Water Company,County Line Pipeline Replacement Project,F,TRUE,"9,018","2,934","Small SeverelyDisadvantaged","$100,000.00"
4200842-001C,6,Construction,"St. Marie Mobile Home Park, LLC",City of Santa Maria Water Service Connection,A,TRUE,250,78,"Small SeverelyDisadvantaged","$934,450.00"
3910012-001C,10,Construction,"Stockton, City of","Century Mobile Home Park and Sunny Road WaterSystem Consolidation Project",C,TRUE,"158,113","46,119",Small Disadvantaged,"$1,421,588.00"
1700536-004C,3,Construction,Sunrise Shore Mutual Water Company,Compliance and Sustainability Project,C,FALSE,45,37,Small Disadvantaged,"$2,109,000.00"
4910028-001C,18,Construction,Sweetwater Springs Water District,Monte Rio Bridge Water Main Attachment,F,FALSE,"3,000","1,061",Small Disadvantaged,"$800,000.00"
3110013-001C,2,Construction,Tahoe City Public Utility District,"Tahoe Cedars Interconnection and DistributionImprovements",F,FALSE,"2,775","1,114",Pending,"$22,000,000.00"
3110043-001C,,Construction,Tahoe City Public Utility District,"Madden Creek Interconnection and DistributionImprovements",F,FALSE,,,Pending,"$13,000,000.00"
5410014-002C,12,Construction,Tipton Community Services District,North Burnett Road Water System Project,C,FALSE,"1,992",592,"Small SeverelyDisadvantaged","$4,150,000.00"
3400172-001C,9,Construction,Tokay Park Water Company,New Production Well and Interconnection Project,A,FALSE,525,190,Small Disadvantaged,"$462,000.00"
1910160-010C,7,Construction,Tract 349 Mutual Water Company,Tract 349 Water Quality Improvement Project,E,FALSE,"8,500",905,"Small SeverelyDisadvantaged","$7,387,000.00"
5400903-001C,24,Construction,Tract 92 Community Services District,"Tract 92 CSD – CWS Visalia Water SystemConsolidation Project",C,TRUE,500,93,"Small SeverelyDisadvantaged","$7,440,000.00"
1010030-007C,23,Construction,Tranquillity Irrigation District,TID Rural Water System Improvement Project,C,FALSE,820,326,"Small SeverelyDisadvantaged","$4,700,000.00"
5510012-001C,11,Construction,Tuolumne Utilities District,Sierra Pines Regional Water Treatment Facility Project,F,TRUE,"3,446","1,460",non-DAC,"$52,112,434.00"
5510013-010C,11,Construction,Tuolumne Utilities District,Cuesta Heights Water Storage,D,TRUE,"3,646","1,545",Small Disadvantaged,"$2,633,879.00"
0510001-002C,10,Construction,Union Public Utility District,"Treatment Plant Backwash/Recycling and Storage TankAeration Project",F,FALSE,"4,300","1,521",Small Disadvantaged,"$1,377,000.00"
1710009-002C,3,Construction,Upper Lake County Water District,"Meadow Pointe Residential Park Water SystemConsolidation",D,FALSE,989,370,Pending,"$6,739,000.00"
4900568-001C,18,Construction,Valley Ford Water Association,VFWA New Well,A,FALSE,40,16,"Small SeverelyDisadvantaged","$2,150,000.00"
5610003-001C,6,Construction,Ventura County Waterworks District No. 17,Bell Canyon Reservoir #3,C,FALSE,"2,154",711,Not Disadvantaged,"$10,400,000.00"
1510021-004C,12,Construction,"Wasco, City of",Water System Improvement & Treatment Project,C,FALSE,"19,448","3,936","Expanded SmallSeverelyDisadvantaged","$49,204,372.00"
5010026-001C,10,Construction,"Waterford, City of","Hickman Water System Improvements ConstructionProject",D,TRUE,565,181,Small Disadvantaged,"$5,033,821.00"
4710009-002C,1,Construction,"Weed, City of",City of Weed Bypass Water Supply Pipeline Project,D,FALSE,"2,963","1,042","Small SeverelyDisadvantaged","$10,985,000.00"
1500578-003C,19,Construction,Weldon Regional Water District,Weldon Regional Water Project,E,TRUE,197,67,"Small SeverelyDisadvantaged","$20,000,000.00"
1200553-001C,1,Construction,Weott Community Services District,"Water Tank Replacement and Water TreatmentImprovement Project",B,FALSE,364,150,"Small SeverelyDisadvantaged","$3,974,226.00"
1503475-001C,19,Construction,Western Acres Mutual Water Company,TCP Treatment Design Project,C,FALSE,310,90,Pending,$                                  -
3610053-001C,13,Construction,Western Heights Water Company,Lead and Copper Service Lateral Replacement,E,FALSE,"7,120","2,225",Pending,"$5,300,000.00"
3301529-001C,20,Construction,Western Water Conservation,"ANZA-RAMONA WATER SYSTEM IMPROVEMENTPROJECT",C,FALSE,250,106,"Small SeverelyDisadvantaged","$5,780,000.00"
EDWG-1210024-004C,1,Construction,Westhaven Community Services District,Disinfection Byproduct Reduction Project,A,FALSE,490,232,Small Disadvantaged,"$11,070,800.00"
1310008-003C,14,Construction,"Westmorland, City of",Westmorland Water Treatment Plant Improvements,C,FALSE,"2,444",601,"Small SeverelyDisadvantaged","$5,000,000.00"
1210015-002C,6,Construction,Willow Creek Community Services District,"Willow Creek CSD Brannan Mountain Water StorageTank",F,FALSE,"1,030",344,Small Disadvantaged,"$2,112,750.00"
1900961-001C,16,Construction,Winterhaven Mobile Estates,Winterhaven Mobile Estates,C,FALSE,27,20,Pending,"$6,000,000.00"
5410025-001C,12,Construction,Woodville Public Utility District,Replacement Well Project,A,FALSE,"1,678",478,"Small SeverelyDisadvantaged","$3,488,578.00"
4900694-001C,18,Construction,Wright Elementary School District,"Wright Elementary and City of Santa Rosa Water SystemConsolidation",E,FALSE,441,11,"Small SeverelyDisadvantaged",$                                  -
5700788-003C,9,Construction,"Yolo, County of",North Davis Meadows Water Consolidation Project,A,TRUE,110,95,Not Disadvantaged,"$7,600,000.00"
1100616-001C,21,Construction,Elk Creek Community Services District,Water Treatment Plant Improvement Project,B,FALSE,300,90,"Small SeverelyDisadvantaged","$3,571,429.00"
3110006-001C,2,Construction,Placer County Water Agency,Colfax WTP Replacement Project,C,TRUE,"3,114",836,non-DAC,"$12,510,000.00"
5610022-002C,6,Construction,Ventura River Water District,2023 Water Projects,F,FALSE,"6,400","2,125",Not Disadvantaged,"$17,000,000.00"
5610022-001C,6,Construction,Ventura River Water District,Tico Mutual Water Company Consolidation,C,TRUE,"6,400","2,125",Not Disadvantaged,"$3,256,648.00"
2510001-001P,2,Planning,"Alturas, City of",City of Alturas Drinking Water Improvement Project,F,FALSE,"2,600","1,501","Small SeverelyDisadvantaged","$500,000.00"
1200592-001P,1,Planning,Big Lagoon Community Services District,"Big Lagoon Pipeline Replacement Serving the SchoolDistrict",F,FALSE,140,35,"Small SeverelyDisadvantaged","$160,000.00"
0600121-001P,N/A,Planning,"Big Sandy Rancheria of Western Mono Indiansof California","Big Sandy Rancheria Water System CapitalImprovement",C,FALSE,235,55,Small Disadvantaged,"$255,370.00"
0600122-001P,27,Planning,Bishop Paiute-Shoshone Tribe,Bishop Paiute Tribe Water System Improvements,C,FALSE,"2,150",748,"Small SeverelyDisadvantaged","$233,932.00"
5500040-001P,11,Planning,Blue Bell Valley Mutual Water Company,"The Blue Bell Valley Nitrate Removal & Water SystemImprovements",A,FALSE,230,90,Pending,"$49,000.00"
1700561-001P,3,Planning,"Blue Lakes Improvement Club Water, Inc.",Blue Lakes Water System Improvements,F,FALSE,150,43,"Small SeverelyDisadvantaged","$90,000.00"
3301045-001P,20,Planning,Blythe Mobile Home Estates,Water Filtration System for Iron and Manganese Project,C,FALSE,30,23,"Small SeverelyDisadvantaged","$459,000.00"
5304109-001P,1,Planning,Burnt Ranch Estates Mutual Water Company,"Water Treatment Plant & Supporting InfrastructureUpgrades",C,FALSE,53,35,"Small SeverelyDisadvantaged","$397,750.00"
2500503-001P,1,Planning,California Pines Community Services District,Water System Improvements,F,FALSE,300,130,Pending,"$551,700.00"
1710005-003P,3,Planning,California Water Service Company,California Water Service - Intake Water Quality,F,FALSE,"2,870","1,280","Small SeverelyDisadvantaged","$385,936.00"
5800924-001P,,Planning,Camptonville Comm. Serv. Dist,Water System Resiliency Project,C,FALSE,,,"Small SeverelyDisadvantaged","$621,202.00"
2510002-001P,1,Planning,Cedarville County Water District,Cedarville Capital Improvements,F,FALSE,500,265,"Small SeverelyDisadvantaged","$490,000.00"
1000206-002P,23,Planning,Central Unified School District,Houghton-Kearney K-8 School Well Project,C,FALSE,310,4,"Small SeverelyDisadvantaged","$722,000.00"
3210009-001P,2,Planning,Chester Public Utility District,Water System Improvement Project,D,FALSE,"2,088","1,209",Small Disadvantaged,"$1,812,000.00"
4510016-004P,2,Planning,Clear Creek Community Services District,Distribution Pipe Replacement,F,FALSE,"8,000","2,645","Small SeverelyDisadvantaged","$231,608.00"
3310001-010P,20,Planning,Coachella Valley Water District,"East Coachella Valley Water Supply Plan Update andConsolidation Planning Project",C,FALSE,"244,472","97,789","Small SeverelyDisadvantaged","$2,835,234.00"
4700551-001P,1,Planning,Copco Lake Mutual Water Company,Copco Lake MWC Infrastructure Improvement,B,FALSE,181,65,Small Disadvantaged,"$686,000.00"
5000005-003P,10,Planning,Crows Landing Community Services District,"Crows Landing Community Services District - WaterSystem Improvement",F,FALSE,500,138,"Small SeverelyDisadvantaged","$550,000.00"
5410001-004P,24,Planning,Cutler Public Utility District,Water Supply Improvements Project,C,FALSE,"6,200","1,218","Small SeverelyDisadvantaged","$406,900.00"
5410001-005P,24,Planning,Cutler Public Utility District,Surface Water Treatment Plant Project,C,FALSE,"6,200","1,218",Pending,"$500,000.00"
4210009-001P,6,Planning,Cuyama Community Services District,Cuyama CSD Water System Capital Improvements,D,FALSE,550,254,"Small SeverelyDisadvantaged","$570,000.00"
4400571-006P,5,Planning,Davenport County Sanitation District,Davenport Diversion Facility Upgrade Feasibility Study,F,FALSE,350,130,"Small SeverelyDisadvantaged","$475,000.00"
5700623-001P,9,Planning,Davis Joint Unified School District,"Fairfield Elementary School Improvements to WaterQuality",A,FALSE,65,1,"Small SeverelyDisadvantaged","$500,000.00"
2410006-001P,11,Planning,Delhi County Water District,Drinking Water Planning Project,E,FALSE,"5,548","2,253",Small Disadvantaged,"$895,650.00"
0710007-002P,4,Planning,Diablo Water District,Willow Mobile Home Park Consolidation,F,TRUE,"33,250","9,907",Pending,"$450,000.00"
0710007-003P,4,Planning,Diablo Water District,Bethel Island Consolidation,F,TRUE,"33,250","9,907",Pending,"$4,100,000.00"
4710002-003P,1,Planning,"Dunsmuir, City of",City of Dunsmuir Crag View Water System Consolidation,C,TRUE,"1,923","1,285","Small SeverelyDisadvantaged","$1,396,000.00"
4710002-004P,1,Planning,"Dunsmuir, City of",Water System Improvement Project,F,FALSE,"1,923","1,285","Small SeverelyDisadvantaged","$1,419,000.00"
1000221-002P,23,Planning,Easton Community Water System Authority,Easton Authority Water Connection Project,F,FALSE,"1,150",23,"Small SeverelyDisadvantaged","$102,055.00"
5410003-001P,24,Planning,"Exeter, City of",Drinking Water System Improvement Project,C,FALSE,"10,334","3,317",Pending,"$617,683.00"
4510008-002P,2,Planning,Fall River Valley Community Services District,Fall River Valley CSD Water System Improvements,D,FALSE,"1,584",474,"Small SeverelyDisadvantaged","$1,845,000.00"
5410004-001P,24,Planning,"Farmersville, City of","City of Farmersville Well Replacement and RelatedImprovements",F,FALSE,"10,971","2,414","Small SeverelyDisadvantaged","$822,000.00"
4710003-002P,1,Planning,"Fort Jones, Town of",Drinking Water Improvements Project,D,FALSE,675,342,"Small SeverelyDisadvantaged","$1,139,000.00"
1010006-001P,11,Planning,"Fowler, City of",City of Fowler Water System Improvement Project,C,FALSE,"6,700","1,920",Small Disadvantaged,"$341,200.00"
1210008-007P,1,Planning,Garberville Sanitary District,Meadows Aerial Waterline Reconstruction Project,F,FALSE,"1,500",420,"Small SeverelyDisadvantaged","$300,000.00"
0410004-002P,21,Planning,"Gridley, City of",Waterline Replacement Project,F,FALSE,"6,403","2,077","Small SeverelyDisadvantaged","$560,914.00"
0410004-003P,21,Planning,"Gridley, City of",Wilson Well Assessment,C,FALSE,"6,403","2,077",Small Disadvantaged,"$278,605.00"
0910006-001P,9,Planning,Grizzly Flats Community Services District,Water System Improvement Planning Project,F,FALSE,"1,300",609,Small Disadvantaged,"$385,000.00"
3210010-001P,2,Planning,Hamilton Branch Community Services District,"Capacity Development & Associated InfrastructureImprovements",F,FALSE,"1,624",495,Not Disadvantaged,"$775,000.00"
4500023-001P,2,Planning,Hat Creek Highlands Mutual Water Company,DWSRF Planning Financing Application Assistance,D,FALSE,75,43,Small Disadvantaged,"$500,000.00"
3610017-001P,13,Planning,Havasu Water Company,Havasu Water Company Improvements Plan,C,FALSE,350,211,"Small SeverelyDisadvantaged","$442,200.00"
1710015-007P,3,Planning,Hidden Valley Lake Community Services District,HVLCSD WaterMains Rehabilitation - Planning,F,FALSE,"6,971","2,438",Small Disadvantaged,"$806,112.00"
1710003-001P,3,Planning,Highlands Water Company,"Highlands Water Treatment Plant and DistributionImprovements",F,FALSE,"5,300","2,303","Small SeverelyDisadvantaged","$500,000.00"
1610007-003P,12,Planning,Home Garden Community Services District,Home Garden System Deficiencies Planning Project,F,FALSE,"1,750",453,"Small SeverelyDisadvantaged","$350,000.00"
0310001-001P,10,Planning,"Jackson, City of",Martell Reservoir Replacement,F,FALSE,"5,223","2,089",Small Disadvantaged,"$495,574.00"
3710011-001P,14,Planning,Jacumba Community Services District,"Jacumba CSD Distribution System ReplacementProject",F,FALSE,500,221,"Small SeverelyDisadvantaged","$228,820.00"
5304209-001P,1,Planning,Junction City Elementary School District,Water Filtration and Treatment System Upgrade Project,F,FALSE,100,1,"Small SeverelyDisadvantaged","$232,000.00"
5000008-002P,10,Planning,Knights Ferry Community Services District,KFCSD Functioning Upgrades,F,FALSE,85,62,"Small SeverelyDisadvantaged","$623,175.00"
3610045-001P,13,Planning,Lake Arrowhead Community Services District,Rimforest Planning,F,FALSE,256,298,Small Disadvantaged,"$372,000.00"
5510008-014P,11,Planning,Lake Don Pedro Community Services District,"Surface Water Reliability and Water Treatment PlantModernization",F,FALSE,"3,240","1,516",Small Disadvantaged,"$500,000.00"
5800805-001P,21,Planning,Lake Francis Mutual Water Company,Lake Francis MWC DWSRF Planning Application,C,FALSE,60,21,Small Disadvantaged,"$780,949.00"
4700549-001P,1,Planning,Lake Siskiyou Mutual Water Company,Lake Siskiyou Water System Upgrades,B,FALSE,240,84,Not Disadvantaged,"$421,750.00"
4500016-001P,2,Planning,Lakehead Subdivision Mutual Water Company,Lakehead Subdivision MWC Planning Application,F,FALSE,40,19,Pending,$                                  -
0000000-001P,,Planning,Larkin Woods Mutual Water Company,Larkin Woods MWC Capital Improvements,A,FALSE,45,18,Not Disadvantaged,"$322,000.00"
2410011-001P,11,Planning,Le Grand Community Services District,Le Grand Community Services District Well Site Seven,F,FALSE,"1,700",433,"Small SeverelyDisadvantaged","$297,600.00"
1810004-001P,2,Planning,Leavitt Lake Community Services District,Leavitt Lake CSD DWSRF New Well,D,FALSE,950,258,Small Disadvantaged,"$748,000.00"
2000589-001P,11,Planning,"Legacy Development, LLC",MPMH Well Replacement,A,FALSE,60,32,"Small SeverelyDisadvantaged","$500,000.00"
5301002-005P,1,Planning,Lewiston Community Services District,Bud Fine MWC and Lewiston CSD Consolidation Project,F,TRUE,150,37,"Small SeverelyDisadvantaged","$233,000.00"
1800516-001P,2,Planning,Little Valley Community Services District,Little Valley CSD - Drinking Water Improvement Project,F,FALSE,26,46,Small Disadvantaged,"$432,500.00"
5410017-004P,12,Planning,London Community Services District,"1,2,3-TCP Compliance Improvements",C,FALSE,"1,638",432,"Small SeverelyDisadvantaged","$500,000.00"
2000851-001P,11,Planning,"Madera, County of",MD-40 Sunset Ridge Estates Water System Improvements,E,FALSE,150,27,Pending,"$500,000.00"
2010008-005P,11,Planning,"Madera, County of (MD10A - Madera Ranchos)",MD10A New Wells Improvement Planning Project,C,TRUE,"2,255",922,Not Disadvantaged,"$3,080,433.00"
0610003-001P,21,Planning,Maxwell Public Utility District,Water System Treatment Improvement Project,E,FALSE,"1,317",393,Small Disadvantaged,"$363,300.00"
1910084-001P,16,Planning,Maywood Mutual Water Company #1,Water Quality Improvement Project,F,FALSE,"5,500","1,161","Small SeverelyDisadvantaged","$485,000.00"
4710006-001P,1,Planning,McCloud Community Services District,McCloud CSD Distribution System Improvements Project,F,FALSE,"1,020",728,"Small SeverelyDisadvantaged","$500,011.00"
1010021-002P,23,Planning,"Mendota, City of",Water Supply Planning Project,E,FALSE,"8,656","1,680","Small SeverelyDisadvantaged","$500,000.00"
1900147-001P,16,Planning,"Mescal Creek Water, Inc.",Water System Improvements,B,FALSE,37,23,Small Disadvantaged,"$1,200,000.00"
3010097-001P,8,Planning,Midway City Mutual Water Company,Midway City Distribution System Improvements,F,FALSE,"1,000",198,"Small SeverelyDisadvantaged","$707,000.00"
1200707-001P,1,Planning,Miranda Community services District,MCSD Tank Replacement,F,FALSE,600,143,"Small SeverelyDisadvantaged","$225,000.00"
3900805-001P,10,Planning,"Morepark Properties, LP",Morehead Park CWS Meter Project,D,FALSE,300,108,"Small SeverelyDisadvantaged","$50,000.00"
4010005-001P,6,Planning,Oceano Community Services District,CIP Upgrade Projects,F,FALSE,"7,601","2,217",Small Disadvantaged,"$488,893.00"
5500243-001P,11,Planning,"OLA Rambling Hills, LLC",Water Source Planning,F,TRUE,45,17,"Small SeverelyDisadvantaged","$500,000.00"
1010023-006P,23,Planning,"Orange Cove, City of",City of Orange Cove Water Supply Reliability Project,F,FALSE,"8,500","1,450","Small SeverelyDisadvantaged","$500,000.00"
1995015-001P,7,Planning,Palmdale Water District,"Alpine Mobile Home Park Consolidation and PalmdaleWater District Sierra Highway Reservoir Project",C,TRUE,175,52,"Small SeverelyDisadvantaged","$475,000.00"
1995015-002P,7,Planning,Palmdale Water District,Palmdale Water District Sierra Highway Reservoir Project,F,FALSE,"115,525","26,797",Not Disadvantaged,"$475,000.00"
4110020-001P,17,Planning,Palo Alto Park MWC,PAPMWC Iron and Manganese Removal System,F,FALSE,"2,500",652,"Small SeverelyDisadvantaged","$500,000.00"
5510026-001P,11,Planning,"Phoenix Lake Estates Country Club MutualWater Company","Phoenix Lake Estates Country Club Mutual WaterCompany Water Supply",C,FALSE,870,351,"Small SeverelyDisadvantaged","$500,000.00"
0310005-004P,10,Planning,Pine Grove Community Services District,Lead Abatement and Water Conservation,D,FALSE,900,361,Small Disadvantaged,"$850,000.00"
3110005-009P,2,Planning,Placer County Water Agency,Heather Glen Consolidation Planning Project,C,TRUE,250,86,"Small SeverelyDisadvantaged","$597,000.00"
3110005-010P,2,Planning,Placer County Water Agency,Weimar Water Company Pipeline Project,C,FALSE,900,442,Not Disadvantaged,"$2,000,000.00"
0900308-001P,9,Planning,Quintette Service Corporation,"Quintette Service Corporation InfrastructureEnhancement Project",F,FALSE,68,59,"Small SeverelyDisadvantaged","$811,096.00"
5304502-001P,1,Planning,"Salyer Heights Water Supply, Inc.","Salyer Heights New Water Treatment Plant & WaterTanks Project",A,FALSE,82,42,"Small SeverelyDisadvantaged","$424,750.00"
4010028-001P,6,Planning,"San Luis Obispo, County of",Shandon (CSA 16) - Water System Improvement Project,F,FALSE,"1,141",351,"Small SeverelyDisadvantaged","$708,871.00"
1210010-001P,1,Planning,Scotia Community Services District,Scotia Water Treatment Facility Replacement,F,FALSE,681,304,"Small SeverelyDisadvantaged","$1,133,000.00"
4700630-001P,1,Planning,"Shasta View Heights Owners' Association, Inc.",Shasta View Heights Water System Planning Activities,D,FALSE,50,17,"Small SeverelyDisadvantaged","$659,200.00"
0810002-001P,1,Planning,Smith River Community Services District,Smith River Infrastructure Rehabilitation Project,F,FALSE,"2,568",508,Not Disadvantaged,"$455,000.00"
5110007-001P,21,Planning,Sutter Community Services District,Sutter CSD Water Storage Reservoir,C,FALSE,"2,904","1,064",Not Disadvantaged,"$276,000.00"
3710025-001P,14,Planning,Sweetwater Authority,"Sweet Water Authority Lead and Copper Rule RevisionsInventory and Identification Requirements",F,FALSE,"177,630","33,396",Large Disadvantaged,"$2,643,155.00"
4700531-005P,1,Planning,Tennant Community Services District,Water Distribution Replacment Project,D,FALSE,94,94,Small Disadvantaged,"$253,000.00"
5400704-001P,24,Planning,Three Rivers Union School District,Three Rivers USD Drinking Water Planning Application,C,FALSE,300,1,"Small SeverelyDisadvantaged","$403,000.00"
5410014-004P,12,Planning,Tipton Community Services District,Water Supply Improvements Project,C,FALSE,"1,992",592,"Small SeverelyDisadvantaged","$476,500.00"
3610051-001P,13,Planning,Valley of Enchantment Mutual Water Company,"Infrastructure Replacements, tanks, services lines, autometering systems",F,FALSE,"1,815",823,Small Disadvantaged,"$500,000.00"
0510010-001P,10,Planning,Valley Springs Public Utility District,Distribution System Improvement Project,F,FALSE,900,276,Not Disadvantaged,"$620,000.00"
3702354-001P,14,Planning,"Warner Springs Estates HomeownersAssociation","Warner Springs Tank, Wells, and Meters ImprovementProject",D,FALSE,340,287,"Small SeverelyDisadvantaged","$567,500.00"
2900523-003P,9,Planning,Washington Water District,Water System Improvements,F,FALSE,185,112,"Small SeverelyDisadvantaged","$499,120.00"
1200553-001P,1,Planning,Weott Community Services District,"Replacement of Raw and Treated Water TransmissionPipelines",B,FALSE,364,150,"Small SeverelyDisadvantaged","$455,783.00"
5200014-001P,21,Planning,Wilson Acres Mutual Water Co.,Wilson Acres MWC Infrastructure Rehabilitation Project,E,FALSE,75,28,Small Disadvantaged,"$275,000.00"
