Rank,Project Sponsor,Project Number,Project Name,Population,Building Cost,Support Cost,Estimated Cost,Cat A,Cat B,Cat C.a,Cat C.b,Cat C.c,Cat C.d,Cat D,Cat E,Rank Points
152,"NJ American Water Company, Incorporated","0712001-
016",NJ American Water Lead Service Line Replacement Program PWSID 0712001,217230,2805000,1027600,3832600,125,0,0,5,0,0,0,1.75,131.75
156,Manchester Township,"1518005-
004",MANCHESTER TOWNSHIP 1.0MG ELEVATED TANK,21200,4962608,380619,6135130,50,0,0,0,0,0,80,0.21,130.21
157,Pine Hill Municipal Utilities Authority,"0428002-
001",Construction of GAC .ltration system for removal of IPMP - Critical Area #2,12492,250000,175000,425000,100,0,0,0,0,0,30,0.12,130.12
158,Bellmawr Borough,"0404001-
005",Improvements to WTP,11583,415500,83100,498600,100,0,0,0,0,0,30,0.12,130.12
159,Sussex Borough,"1921001-
001",Water Treatment Plant upgrades,2666,116857,-16359,100498,100,0,0,0,0,0,30,0.03,130.03
160,Bayville Central Regional Board of Education,"1505355-
001",Additional treatment on existing well,2500,1000000,700000,1700000,100,0,0,0,0,0,30,0.02,130.02
161,Downe Township,"0604001-
004",Construction of new storage tank on New Jersey Avenue,770,600000,420000,1020000,50,0,0,0,0,0,80,0.01,130.01
162,"NJ American Water Company, Incorporated","1345001-
019",Howell-Lakewood Transmission Main,290470,32000000,9050000,41050000,75,50,0,0,0,0,0,2.55,127.55
163,Middlesex Water Company,"1225001-
018",Construction of a water main,233376,23200000,8884000,32084000,75,50,0,0,0,0,0,2.33,127.33
163,Middlesex Water Company,"1225001-
019","Replacement of 5,000 LF of 24-inch cast iron mains",233376,4200000,2108000,6308000,75,50,0,0,0,0,0,2.33,127.33
164,Middlesex Water Company,"1225001-
028",RENEW 2018 - Woodbridge Twp.,22844,8591350,2607612,11198962,75,50,0,0,0,0,0,1.33,126.33
165,Atlantic City Municipal Utilities Authority,"0102001-
008",Water Meter Replacement Program,94225,-,-,-,25,0,20,0,0,0,80,0.95,125.95
166,Old Bridge Municipal Utilities Authority,"1209002-
005","Laurence Harbor Water System Upgrade, Phase 1",65375,1753990,182000,2315267,75,50,0,0,0,0,0,0.67,125.67
167,Bayonne Municipal Utilities Authority,"0901001-
004",Rehabilitation of gate house valve chamber and venturi .ow meter,61842,900000,594000,1494000,75,0,20,0,0,0,30,0.62,125.62
168,Hoboken City,"0905001-
002",Water Main Upgrades (2018),54379,4443160,1127465,5570625,75,50,0,0,0,0,0,0.54,125.54
169,Aqua New Jersey Incorporate,"0415002-
008","Replacement of 5,900 LF of water main on Lakeside, East Blenheim, Haines, Lake & Church, etc",49350,936100,723456,1659556,75,50,0,0,0,0,0,0.49,125.49
170,Long Beach Township,"1517001-
013",Replacement of water mains,35367,2466545,1345279,3811824,75,50,0,0,0,0,0,0.35,125.35
172,Hackettstown Municipal Utilities Authority,"2108001-
001",Construction of New Water Storage Tank w/ related water distribution lines,22500,3500000,-,4445700,60,50,15,0,0,0,0,0.22,125.22
173,Ramsey Borough,"0248001-
001","Construction of mains (Rte 17, Grant & Airmount)",16350,1690000,1003600,2693600,75,50,0,0,0,0,0,0.16,125.16
173,Ramsey Borough,"0248001-
002",Replacement of mains (Carol & Maple),16350,1340000,849600,2189600,75,50,0,0,0,0,0,0.16,125.16
173,Ramsey Borough,"0248001-
003","Construction of mains (Rte 17, Snyder & Airmount)",16350,985000,689500,1674500,75,50,0,0,0,0,0,0.16,125.16
173,Ramsey Borough,"0248001-
004",Construction of mains (Lakeview & Airmount),16350,795000,556500,1351500,75,50,0,0,0,0,0,0.16,125.16
175,Harrison Town,"0904001-
001","Cleaning & Lining of mains on Grant Ave., Cleveland Ave., & Hamilton Street",14425,5500000,2680000,8180000,75,0,20,0,0,0,30,0.14,125.14
175,Harrison Town,"0904001-
004","Cleaning and Lining and of approximately 3,000 LF of 10, 12 and 14 inch mains",14425,2000000,1140000,3140000,75,0,20,0,0,0,30,0.14,125.14
175,Harrison Town,"0904001-
005","Replacement of 3,160 LF of water mains on S 2nd, Frank E. Rogers Blvd & Scott Mobus Place",14425,1500000,920000,2420000,75,0,20,0,0,0,30,0.14,125.14
176,Clinton Town,"1005001-
010",West Main Street Water Main Replacement Project - Asset Management Planning,12500,998750,449437,1448187,75,50,0,0,0,0,0,0.12,125.12
177,Manchester Utilities Authority,"1603001-
001",Heights Tank Rehabilitation,12028,389167,1800000,500000,60,50,15,0,0,0,0,0.12,125.12
178,Spotswood Borough,"1224001-
001","Cleaning and lining of approximaty 3,600 LF of water mains",8300,2528595,915319,3443914,75,50,0,0,0,0,0,0.08,125.08
179,Point Pleasant Beach Borough,"1525001-
002",Ocean Avenue Water Main Replacement,7733,2160000,3900000,2756800,75,50,0,0,0,0,0,0.08,125.08
180,Glen Ridge Borough,"0708001-
008",GR-2017-LSL-R/FH-RR Lead Service Water-Line Replacement/Fire Hydrant - Repairs & Replacement & Water System Asset Management Plan,7681,1606395,-,2573210,75,50,0,0,0,0,0,0.08,125.08
181,Passaic Valley Water Commission,"0239001-
002",Lead Service Line Replacement in North Arlington System,15741,8500000,3800000,10200000,125,0,0,0,0,0,0,0.04,125.04
182,High Bridge Borough,"1014001-
003",West Main Street Water Main Upgrades,3648,350000,444073,462000,75,50,0,0,0,0,0,0.03,125.03
184,Jersey City Municipal Utilities Authority,"0906001-
022","Hackensack River 36"" Aqueduct replacement",270753,10000000,5910317,12750000,75,0,20,5,5,0,15,2.62,122.62
184,Jersey City Municipal Utilities Authority,"0906001-
023",Phase 5A Water Project,262000,7750000,-,9300000,75,0,20,5,5,0,15,2.62,122.62
184,Jersey City Municipal Utilities Authority,"0906001-
024",Phase 2A Water,250000,9700000,1800000,11640000,75,0,20,5,5,0,15,2.62,122.62
185,Perth Amboy City,"1216001-
009",The Replacement of Water Meters Project,47300,575830,259123,834953,25,0,0,0,0,15,80,0.47,120.47
186,Willingboro Municipal Utilities Authority,"0338001-
012",Well No. 1 Water Treatment Plant Upgrade,34731,2001800,1718944,3720744,100,0,20,0,0,0,0,0.38,120.38
187,Vineland City,"0614003-
017",2016 Water Distribution Rehabilitation Project,36848,1906425,740056,2646481,75,0,15,0,0,0,30,0.36,120.36
188,Vineland City,"0614003-
007",Replacement of 1.4 miles of 8-inch with 10 -inch water mains,33000,1100000,744000,1844000,75,0,15,0,0,0,30,0.33,120.33
188,Vineland City,"0614003-
008","Replacement of 2,300 LF of 8-, 10- and 12-inch water mains",33000,350000,245000,595000,75,0,15,0,0,0,30,0.33,120.33
188,Vineland City,"0614003-
009",Construction of .4 miles of 12-inch water mains to loop dead ends and enhance water pressure,33000,200000,140000,340000,75,0,15,0,0,0,30,0.33,120.33
189,Orange City,"0717001-
012",Orange Twp | Interconnection and Distribution Project,30731,1200200,618000,1440240,30,0,0,5,5,0,80,0.3,120.3
191,Wildwood City,"0514001-
003",Water system improvements - 2016 street & utility reconstruction,20361,2100000,480000,2580000,75,0,15,0,0,0,30,0.2,120.2
192,Tuckerton Borough,"1532002-
007","Curlew Rd. and King.sher Rd. Water Main Replacement and Well#3, Well#4 Rehabilitation/Repairs.",3371,1268730,-,1649349,75,0,15,0,0,0,30,0.06,120.06
193,Passaic Valley Water Commission,"1605002-
009",Replacement of surface water intake facilities on the Passaic River,347052,800000,560000,1360000,15,0,20,0,0,0,80,3.47,118.47
194,Jersey City Municipal Utilities Authority,"0906001-
020",Phase 3 and 4 Water Main Replacement Project,261666,2973465,713173,3686638,75,0,15,5,5,0,15,2.62,117.62
194,Jersey City Municipal Utilities Authority,"0906001-
021",Phase 5 Water Mains,261666,7000000,1547000,8547000,75,0,15,5,5,0,15,2.62,117.62
195,Jersey City Municipal Utilities Authority,"0906001-
014",Brookdale Gate House Improvements,257342,992000,674560,1666560,75,0,20,5,0,0,15,2.57,117.57
197,Winslow Township,"0436007-
003",New 1.0 MG .nished water storage tank,39328,1000000,700000,1700000,50,50,15,0,0,0,0,0.39,115.39
198,Hamilton Township Municipal Utilities Authority,"0112001-
004",HTMUA WELL #8 REHABILITATION,23176,1100000,3992144,1352650,100,0,0,0,0,0,15,0.22,115.22
199,Ship Bottom Borough,"1528001-
003",Water Treatment Plant Reconstruction,17437,8000000,2147725,9900000,100,0,0,0,0,0,15,0.17,115.17
200,South Orange Village,"0719001-
012",South Orange Newstead Watersphere Emergency Repairs,17000,475000,-,640000,60,50,0,5,0,0,0,0.17,115.17
201,Berlin Borough,"0405001-
005",Repairs to Plant#1 .lter and complete replacement of .lter media,13121,80500,57030,137530,100,0,15,0,0,0,0,0.13,115.13
203,Hightstown Borough,"1104001-
003","Construct 80,000 gallon backwash tank and re-line existing lagoons",5567,450000,315000,765000,100,0,15,0,0,0,0,0.06,115.06
204,National Park Borough,"0812001-
001",Replacement of a WTP,3289,2289450,1193852,3483302,100,0,0,0,0,0,15,0.03,115.03
205,Sussex Borough,"1921001-
004",Water Meter Replacement Project,2130,338850,75770,414620,35,0,0,0,0,0,80,0.02,115.02
206,Allentown Borough,"1302001-
004",Water Treatment Plant Improvements,1828,1628000,700960,2328960,100,0,15,0,0,0,0,0.02,115.02
208,North Jersey District Water Supply Commission,"1613001-
034","Security, IT and Safety Projects",872153,950350,496558,1446908,45,50,20,0,0,0,0,0,115
210,Jersey City Municipal Utilities Authority,"0906001-
015",Van Winkle Ave. Water Main Replacement,247597,2799120,1025718,3824838,75,0,20,0,0,0,15,2.47,112.47
211,Middlesex Water Company,"1225001-
020",Replace the Tingley Lane pump station,233376,10000000,4660000,14660000,60,50,0,0,0,0,0,2.33,112.33
213,Brick Township Municipal Utilities Authority,"1506001-
008",Undersized Water Main Replacement Cedar Park East and West,100000,4616240,1607197,6223437,75,0,20,0,0,0,15,0.87,110.87
216,Kearny Town,"0907001-
001A",Water Facility and Ground Improv. Program,291648,20495142,4099028,24594170,75,0,20,0,0,0,15,0.42,110.42
217,Long Beach Township,"1517001-
012","Rehabilitation of four storage tanks-Beach Haven Terrace, Brant Beach, Holgate & Pehala Park",35367,1000000,700000,1700000,60,50,0,0,0,0,0,0.35,110.35
219,Orange City,"0717001-
005",Cleaning & Lining of mains,30000,1675000,997000,2672000,75,0,0,5,0,0,30,0.3,110.3
220,Phillipsburg Redevelopment Authority,"2119001-
006","Installation of 5,300 LF of 8 and 12-inch water mains for a brown.eld site",18162,2099859,1180310,3280169,75,0,0,0,5,0,30,0.18,110.18
221,Ramsey Borough,"0248001-
005",Rehabilitation of Airmount reservoir,16350,430000,144000,574000,60,50,0,0,0,0,0,0.16,110.16
222,Salem City,"1712001-
002",Installation of a new well,5857,130000,91000,221000,15,0,15,0,0,0,80,0.06,110.06
223,Netcong Borough,"1428001-
006",Replacement of Water meters,3236,225000,157500,382500,25,50,15,5,0,0,15,0.03,110.03
224,North Jersey District Water Supply Commission,"1613001-
007",Acquisition and integration of the Kearny/Bayonne Transmission main,872153,30000000,11060000,41060000,1,50,20,0,0,0,30,8.72,109.72
224,North Jersey District Water Supply Commission,"1613001-
030",Modify and Expand Central Receiving Building,872153,605000,511226,1116226,1,50,20,0,0,0,30,8.72,109.72
225,Jersey City Municipal Utilities Authority,"0906001-
028",Dam Security Improvements,265932,1250000,317200,1682400,45,0,20,5,5,0,30,2.66,107.66
226,"NJ American Water Company, Incorporated","2004002-
007",Painting of the Raritan Millstone backwash tank at the WTP,610000,395000,276500,671500,100,0,0,0,0,0,0,6.1,106.1
227,Perth Amboy City,"1216001-
001",Replacement of undersize water main - Center Street,50814,1209050,791982,2001032,75,0,0,0,0,0,30,0.51,105.51
227,Perth Amboy City,"1216001-
002",Replacement of undersize water main - State Street,50814,2490000,1355600,3845600,75,0,0,0,0,0,30,0.51,105.51
227,Perth Amboy City,"1216001-
003",Cleaning & Lining of water mains-Central bussiness District,50814,1000000,700000,1700000,75,0,0,0,0,0,30,0.51,105.51
228,Gar.eld City,"0221001-
004",Replacement of water mains,29780,4200000,2108000,6308000,75,0,0,0,0,0,30,0.3,105.3
228,Gar.eld City,"0221001-
006","Replacement of 8,000 LF of 6-inch to 12-inch water main & replacement of 30 valves",29780,4500000,3415000,7915000,75,0,0,0,0,0,30,0.3,105.3
229,Lakewood Township Municipal Utilities Authority,"1514002-
012",Installation of a new storage tank,25000,100000,70000,170000,50,25,0,0,0,0,30,0.25,105.25
230,Little Egg Harbor Municipal Utilities Authority,"1516001-
007",Little Egg Harbor Water Improvements Phase II,24215,1685470,190000,2106664,75,0,15,0,0,0,15,0.24,105.24
231,Middlesex Water Company,"1225001-
027",RENEW 2019 - Carteret,23992,6900000,4210000,11110000,75,0,0,0,0,15,15,0.24,105.24
232,West Deptford Township,"0820001-
003",Water Meter Replacment Project,21248,2958200,666640,3624840,25,50,0,0,0,15,15,0.21,105.21
233,Manchester Township,"1518005-
003",Install automated meters,21083,1600000,1044444,2644444,25,0,0,0,0,0,80,0.21,105.21
234,South Orange Village,"0719001-
008",Well 17 Air Stripper,16198,250000,112500,362500,100,0,0,5,0,0,0,0.17,105.17
235,Ventnor City,"0122001-
001",Clean and line 8 and 14inch water mains,12900,1425000,865000,2290000,75,0,0,0,0,0,30,0.13,105.13
236,Red Bank Borough,"1340001-
003",White Street Water Main,12350,468625,1426693,562350,75,0,15,0,0,0,15,0.12,105.12
237,Manchester Utilities Authority,"1603001-
008","Slip line 16,000 LF unlined cast iron 16inch pipe in High Mountain in Haledon and North Haledon w/ smaller diameter pipe",12111,1100000,744000,1844000,75,0,15,0,0,0,15,0.12,105.12
239,Wallington Borough,"0265001-
001",Replacement of 6-inch mains with 8-inch mains,11580,1295845,830171,2126016,75,0,0,0,0,0,30,0.12,105.12
240,Gloucester City,"0414001-
002",Water Main replacement on Broadway & Koehler Streets,11484,799205,559442,1358647,75,0,0,0,0,0,30,0.11,105.11
240,Gloucester City,"0414001-
003",Water Main replacement on Jersey Avenue,11484,2038605,1156986,3195591,75,0,0,0,0,0,30,0.11,105.11
240,Gloucester City,"0414001-
007",Water Main replacement on Johnson Blvd.,11484,856487,599539,1456026,75,0,0,0,0,0,30,0.11,105.11
240,Gloucester City,"0414001-
008",Water Main replacement on Market Street,11484,450005,315002,765007,75,0,0,0,0,0,30,0.11,105.11
240,Gloucester City,"0414001-
009",Water Main replacement on Park Avenue,11484,791314,553918,1345232,75,0,0,0,0,0,30,0.11,105.11
240,Gloucester City,"0414001-
010",Water Main replacement on Baynes Avenue,11484,477153,334006,811159,75,0,0,0,0,0,30,0.11,105.11
240,Gloucester City,"0414001-
011","Water Main replacement on Brown Street, E. Brown Street, Sparks Avenue",11484,1667072,993510,2660582,75,0,0,0,0,0,30,0.11,105.11
240,Gloucester City,"0414001-
012",Water Main replacement on Nicholson Road,11484,217305,152112,369417,75,0,0,0,0,0,30,0.11,105.11
240,Gloucester City,"0414001-
013","Replacement of 2,200 LF of water mains on Charles Street",11484,1118625,751231,1869856,75,0,0,0,0,0,30,0.11,105.11
242,Hammonton Town,"0113001-
001","Water main extension along Egg Harbor Road, and Eighth Street to create loops and eliminate dead ends",11300,250000,175000,425000,75,0,15,0,0,0,15,0.11,105.11
242,Hammonton Town,"0113001-
002","Replacement of water mains on Central Ave., Golf Dr., & 12th Street.",11300,1000000,700000,1700000,75,0,15,0,0,0,15,0.11,105.11
242,Hammonton Town,"0113001-
003","Replacement of 2,900 LF of water mains on Rte 54",11300,485000,339500,824500,75,0,15,0,0,0,15,0.11,105.11
243,Pemberton Township,"0329004-
006",Various Water System Improvements,10815,400000,366000,766000,75,0,15,0,0,0,15,0.11,105.11
244,Pine Hill Municipal Utilities Authority,"0428002-
003",Erial Road Water Main Rehab and Branch Avenue Pressure Reducing Valve,10233,2806223,-,3367468,75,0,0,0,0,0,30,0.1,105.1
245,Paulsboro Borough,"0814001-
002","Replacement of 2,300 water meters",6025,880000,616000,1496000,25,0,0,0,0,0,80,0.06,105.06
246,Hightstown Borough,"1104001-
010",2017 Water Main Improvements,5567,1239150,536528,1775678,75,0,15,0,0,0,15,0.06,105.06
249,Sussex Borough,"1921001-
002",Replacement of 75 year old water mains,2666,1402286,-196321,1205965,75,0,0,0,0,0,30,0.03,105.03
250,Brooklawn Borough,"0407001-
004","Removal and replacement 1,500 LFof 6-inch water mains",2300,1483000,912520,2395520,75,0,0,0,0,0,30,0.02,105.02
251,Oak Ridge Senior Housing Community,"1414008-
001",Oakridge Senior Community Water Lines,100,386750,143550,530300,75,0,0,0,0,0,30,0,105
252,"NJ American Water Company, Incorporated","1345001-
005",Replacement of ozone generators at Swimming River WTP,289553,519890,-39979,479911,100,0,0,0,0,0,0,2.9,102.9
253,Middlesex Water Company,"1225001-
025",Western Transmission Main,233376,29000000,13210000,42210000,30,50,15,5,0,0,0,2.33,102.33
255,Berkeley Township Municipal Utilities Authority,"1505004-
002",Install new water mains,8130,5226820,1805364,7032184,1,0,20,0,0,0,80,0.08,101.08
255,Berkeley Township Municipal Utilities Authority,"1505004-
005",Extension of water mains,8130,7500000,5138330,12638330,1,0,20,0,0,0,80,0.08,101.08
256,"NJ American Water Company, Incorporated","0323001-
005",Woodlane WTP Improvement Project,445702,6700000,-,8040000,100,0,0,0,0,0,0,0.47,100.47
259,North Brunswick Township,"1215001-
003",Treatment plant upgrade,38000,20000000,7860000,27860000,100,0,0,0,0,0,0,0.38,100.38
261,Moorestown Township,"0322001-
002",Hartford Road Water Treatment Plant Upgrade,20726,10060000,3097320,13157320,100,0,0,0,0,0,0,0.21,100.21
262,Point Pleasant Borough,"1524001-
002",Water Treatment Plant Filter Replacement,18651,1600000,1589180,2112000,100,0,0,0,0,0,0,0.19,100.19
263,Ramsey Borough,"0248001-
015",Installation of chlorine analyzers and pipe improvements to upgrade disinfection system at various facilities,16350,500000,180000,680000,100,0,0,0,0,0,0,0.16,100.16
266,Pompton Lakes Municipal Utilities Authority,"1609001-
003",Replacement of gas chlorination system with solid tablet chlorination system,11435,60000,54200,114200,100,0,0,0,0,0,0,0.11,100.11
268,Ringwood Borough,"1611002-
001","Installation of chlorination station, automatic controls & protection of pipe",9600,331000,52960,383960,100,0,0,0,0,0,0,0.1,100.1
269,Boonton Town,"1401001-
003",Well.eld Treatment Plant Upgrades,9900,2354500,-,3069900,100,0,0,0,0,0,0,0.1,100.1
270,Spotswood Borough,"1224001-
003",Rehabilitation of the George Street Water Treatment Plant,8300,1650000,520000,2177545,100,0,0,0,0,0,0,0.08,100.08
271,Netcong Borough,"1428001-
003",Drill new well to meet current demand,3236,425000,297500,722500,15,50,15,5,0,0,15,0.03,100.03
272,"Fayson Lake Water Company, Incorporated","1415001-
001",Upgrade treatment facility,3087,525000,367500,892500,100,0,0,0,0,0,0,0.03,100.03
273,West Milford Municipal Utilities Authority,"1615016-
001","Wells #1,6 & 7 WTP upgrades",1625,358000,340100,698100,100,0,0,0,0,0,0,0.02,100.02
274,West Milford Municipal Utilities Authority,"1615018-
001",Concorde & Quincy WTP upgrades,1260,324000,226800,550800,100,0,0,0,0,0,0,0.01,100.01
275,Roosevelt Borough,"1341001-
005",Upgrades to water treatment plant,935,246240,172367,418607,100,0,0,0,0,0,0,0.01,100.01
276,West Milford Municipal Utilities Authority,"1615012-
001",Well #1 WTP upgrades,635,118000,112100,230100,100,0,0,0,0,0,0,0.01,100.01
277,West Milford Municipal Utilities Authority,"1615002-
001",Well #28 WTP Upgrades,600,176000,167200,343200,100,0,0,0,0,0,0,0.01,100.01
278,Collier Services,"1328300-
003",Replace existing hypochlorination and water softener systems,350,100000,70000,170000,100,0,0,0,0,0,0,0,100
279,Plausha Park Water Company,"1421004-
001","Install chemical feed, safety upgrades and replace the ramp and piping at the well/treatment facility",200,130000,48800,178800,100,0,0,0,0,0,0,0,100
280,West Milford Municipal Utilities Authority,"1615001-
001",Moore Rd WTP upgrades,180,145000,137750,282750,100,0,0,0,0,0,0,0,100
281,West Milford Municipal Utilities Authority,"1615006-
001",Well #6 WTP Upgrades,115,256000,243200,499200,100,0,0,0,0,0,0,0,100
282,Green Briar Residential Home,"1421305-
001","Installation of chlorination to WTP, emergency generator, back up well",43,26000,3760,29760,100,0,0,0,0,0,0,0,100
283,Cliffside Park Borough,"0238001-
001",Construction of water mains for a brown.eld redevelopment project - Towne Centre,394079,525000,367500,892500,75,0,0,0,5,0,15,3.94,98.94
284,Atlantic City Municipal Utilities Authority,"0102001-
010",Asset Management Plan - Professional Consulting Services In Compliance With The New Jersey Water Quality Accountability Act,76240,-,725602,122840,1,0,15,0,0,0,80,0.76,96.76
285,Woodbine Borough,"0516001-
002",Woodbine Asset Management Plan,2650,100000,20000,120000,1,0,15,0,0,0,80,0.03,96.03
286,Brick Township Municipal Utilities Authority,"1506001-
009",Breton Woods Water Main Replacement - Phase I,100000,4393000,1535760,5928760,75,0,20,0,0,0,0,1,96
288,Wildwood City,"0514001-
005",Well #39 Redevelopment,45500,315000,63000,378000,15,0,0,0,0,0,80,0.45,95.45
289,Bloom.eld Township,"0702001-
001",Cleaning and Lining of water mains,47000,1946500,775720,2102220,75,0,0,5,0,0,15,0.45,95.45
291,Rahway City,"2013001-
001",Cleaning & Lining of various water main sections,27785,900000,630000,1530000,75,0,0,5,0,0,15,0.28,95.28
291,Rahway City,"2013001-
002",Cleaning & Lining of various water main sections,27785,1100000,744000,1844000,75,0,0,5,0,0,15,0.28,95.28
292,Mahwah Township,"0233001-
005",Installation of emergency generators,24062,350000,245000,595000,45,50,0,0,0,0,0,0.24,95.24
293,Burlington Township,"0306001-
004","Replacement of 1,500 LF of main on Lansberry Dr and LaVeer Rd",22000,214000,149800,363800,75,0,20,0,0,0,0,0.22,95.22
294,Barnegat Township,"1533001-
002",Replacement of water meters & Back .ow preventers,20935,450000,315000,765000,25,35,20,0,0,0,15,0.21,95.21
296,Milltown Borough,"1212001-
002",Ford Ave Redevelopment,7052,1060000,546000,1606000,75,0,15,0,5,0,0,0.07,95.07
297,Richard Stockton College,"0111304-
001",Installation of solar power at water treatment plant,6600,680000,476000,1156000,45,0,20,0,0,15,15,0.07,95.07
298,Clementon Borough,"0411001-
002",Rehab of well 9 including slip lining to improve conveyance,5003,850000,444125,1294125,15,0,0,0,0,0,80,0.05,95.05
299,Flemington Borough,"1009001-
009",Additional Water Tank and Improvements,4389,3500000,1000000,4500000,60,0,0,5,0,0,30,0.04,95.04
300,Hardyston Municipal Utility Authority,"1911006-
002",Water Tank Refurbishment,1963,825000,165000,990000,60,35,0,0,0,0,0,0.02,95.02
301,Milltown Borough,"1212001-
004",Cleaning and Lining of mains and construction of 2 water main loops to eliminate dead ends,7052,1062500,880750,1943250,75,0,15,0,5,0,0,0.07,95
302,Middlesex Water Company,"1225001-
003",Installation of nano.ltration for hardness removal (North Tingley Lane),233376,1500000,920000,2420000,40,50,0,0,0,0,0,2.33,92.33
302,Middlesex Water Company,"1225001-
004",Installation of nano.ltration for hardness removal (South Tingley Lane),233376,2000000,1140000,3140000,40,50,0,0,0,0,0,2.33,92.33
304,Orange City,"0717001-
006",asset management plan,30134,6000000,1220000,7200000,1,0,0,5,5,0,80,0.3,91.3
304,Orange City,"0717001-
016","Orange Twp | Water System Hydraulic Model, GIS, AMP",32000,780500,527545,936600,1,0,0,5,5,0,80,0.3,91.3
305,Brick Township Municipal Utilities Authority,"1506001-
013","Water Main Stream Crossings Replacements at Route 70 (16"" Diameter), at the Beaver Dam Creek at Midstreams Road (16"" Diameter), and Five 12"" Diameter Stream Crossings in the Township of Brick",100000,3074560,1113859,4188419,75,0,0,0,0,0,15,0.87,90.87
306,Bayonne City,"0901001-
006",Aqueduct Replacement,63000,8737229,1747446,10484675,75,0,0,0,0,0,15,0.63,90.63
307,Hoboken City,"0905001-
003",Water Main Upgrades Phase II,54379,4200000,3178333,5040000,75,0,15,0,0,0,0,0.52,90.52
308,Monroe Municipal Utilities Authority,"0811002-
001",Tank Painting,36908,1338500,482000,1606200,60,0,0,0,0,0,30,0.37,90.37
309,Belleville Township,"0701001-
006",Clara Maass Hospital Water Main Extension,36010,646700,614365,1261065,75,0,0,0,0,0,15,0.36,90.36
310,Belleville Township,"0701001-
001",Extension of 12 inch water main to the Medical Center,35928,350000,245000,595000,75,0,0,0,0,0,15,0.36,90.36
310,Belleville Township,"0701001-
002",Replacement of inoperable valves & hydrants,35928,525000,367500,892500,75,0,0,0,0,0,15,0.36,90.36
311,Vineland City,"0614003-
014","Installation of gas generators at wells #4,6,7,8,10,11 and 12",33000,1543500,939140,2482640,45,0,15,0,0,0,30,0.33,90.33
312,Deptford Township Municipal Utilities Authority,"0802001-
002",Water Main Replacement at East Woodbury,30590,1122360,-,1531832,75,0,0,0,0,0,15,0.31,90.31
312,Deptford Township Municipal Utilities Authority,"0802001-
003",Water Main Replacement at Country Club Estates,30590,893481,231180,1188377,75,0,0,0,0,0,15,0.31,90.31
313,Gar.eld City,"0221001-
005",Replacement of the Botany Street pump station. Expansion of the SCADA system,29780,2050000,1162000,3212000,60,0,0,0,0,0,30,0.3,90.3
314,Glassboro Borough,"0806001-
001",2.0 mg elevated tower repainting,19992,2327688,95000,3142226,60,0,0,0,0,0,30,0.24,90.24
315,Hamilton Township Municipal Utilities Authority,"0112001-
005",WATER MAIN REPLACEMENT PHASE 2,22000,3500000,67500,4200000,75,0,0,0,0,0,15,0.22,90.22
316,Lyndhurst Township,"0232001-
002","Replacement of 1,350 LF of antiquated water mains on Forest Avenue",19800,1950000,632000,2582000,75,0,0,0,0,0,15,0.2,90.2
317,Berlin Borough,"0405001-
006",A 12 inch water main needs to be tied in at Park Drive and White Horse Pike,13121,200000,140000,340000,75,0,15,0,0,0,0,0.13,90.13
318,Pemberton Township,"0329004-
001",Pinelands Water Infrastructure,2500,2420000,1167000,2904000,75,0,0,0,0,0,15,0.12,90.12
319,Manasquan Borough,"1327001-
002",Construction of 600 LF of WM on Perrine Blvd & Mallard Park Area,12265,750000,1004202,1754202,75,0,15,0,0,0,0,0.12,90.12
320,Wallington Borough,"0265001-
002",Wallington Avenue Water Main,11335,2084160,442000,2500992,75,0,0,0,0,0,15,0.12,90.12
321,Pemberton Township,"0329004-
007",Various Water System Improvements,10815,1710000,1257000,2967000,60,0,15,0,0,0,15,0.11,90.11
323,Ship Bottom Borough,"1528001-
004",Water Main Replacement Project,5762,3294705,1435887,4053646,75,0,0,0,0,0,15,0.06,90.06
324,National Park Borough,"0812001-
003",Replacement of 6-inch and 10-inch water main with appurtenances,3289,228450,152578,381028,75,0,0,0,0,0,15,0.03,90.03
325,Lakehurst Borough,"1513001-
002",Water Main Replacement Project Phase I,2654,860820,223813,1084633,75,0,0,0,0,0,15,0.03,90.03
326,Alpha Borough,"2102001-
001","Upgrades to treatment for Pursell & Alpha St wells or VOC removal, hardness and disinfection",2500,1547470,1201360,2748830,60,0,0,0,0,0,30,0.02,90.02
327,Brooklawn Borough,"0407001-
005",Painting interior & exterior of water tank,2300,429000,300300,729300,60,0,0,0,0,0,30,0.02,90.02
328,Pemberton Borough,"0328001-
001",Replacement of undersized and antiquated water mains on Hough and Handover Streets,1610,490820,375778,866598,75,0,0,0,0,0,15,0.02,90.02
329,Hopewell Township,"1106001-
001",Water System Improvements,5710,1000000,927000,1285000,75,0,15,0,0,0,0,0,90
330,Fountainhead Properties Incorporate,"1511013-
002",Loop system with 400 LF of water main with replacement of water meters,280,55000,22680,77680,75,0,15,0,0,0,0,0,90
331,Stafford Township,"1530004-
014","Construction of 2,600 LF of 8 and 12-inch water main on Rte 9 and Oak Ave",28868,487224,340510,827734,1,50,20,0,0,0,15,0.29,86.29
332,"NJ American Water Company, Incorporated","0119002-
004",Construction of a 1.5 MG elevated tank including water mains,88088,2100000,1184000,3284000,50,0,20,0,0,0,15,0.88,85.88
333,Stafford Township,"1530004-
015",Redevelopment of wells # 2 and 5,28868,90000,66400,156400,15,35,20,0,0,0,15,0.29,85.29
