Entity,Project,PWS ID,SDWIS Population,County,Estimated Loan Amount,Loan Type,Estimated Award Date,Rate,District Office
Fort Loramie,Park Street Water Main Replacement,OH7562499,"1,524",Shelby,"$1,117,850 ",Construction,24-Mar,SML,SWDO
Frankfort,WTP / Well #3 Rehabilitation,OH7100712,"1,100",Ross,"$35,450 ",Design,23-Aug,PLN/DES,SEDO
Frankfort,WTP/Well #3 Rehabilitation,OH7100712,"1,100",Ross,"$467,750 ",Construction,23-Oct,SML,SEDO
Franklin,Sixth Street Water Tower,OH8300412,"11,785",Warren,"$2,625,000 ",Construction,23-Sep,STD,SWDO
Freeport,Water System Improvements,OH3400412,364,Harrison,"$441,750 ",Construction,24-Apr,SML,SEDO
Gallipolis,Waterline Replacement,OH2700112,"7,134",Gallia,"$796,200 ",Design,23-Sep,PLN/DES,SEDO
Gallipolis,Waterline Replacement,OH2700112,"7,134",Gallia,"$8,042,600 ",Construction,24-Jun,DIS,SEDO
Garrettsville,Windham Street Water Main Replacement,OH6701412,"2,325",Portage,"$650,000 ",Construction,24-Apr,DIS,NEDO
Genoa,Water Tank Rehabilitation,OH6201003,"1,026",Ottawa,"$1,711,000 ",Construction,23-Oct,SML,NWDO
Germantown,"Fire Hydrant and Valve Replacement, Phase 1",OH5701012,"5,796",Montgomery,"$489,488 ",Construction,23-Dec,SML,SWDO
Germantown,High Service Area Water Tower Rehab,OH5701012,"5,796",Montgomery,"$580,850 ",Construction,24-Mar,SML,SWDO
Gettysburg,Water Tower Replacement,OH1900512,463,Darke,"$1,000,000 ",Construction,23-Sep,SML,SWDO
Glendale,Water Treatment System Upgrades,OH3100712,"2,500",Hamilton,"$318,000 ",Design,23-Jul,PLN/DES,SWDO
Glendale,Water Treatment System Upgrades,OH3100712,"2,500",Hamilton,"$3,975,000 ",Construction,24-Jun,SML/LSL,SWDO
Glenmont,Water Line and Household Lead Line Replacement Phase 1,OH3800312,282,Holmes,"$2,526,432 ",Construction,23-Aug,SML/LSL,NEDO
Glenmont,Waterline and Household Lead Line Replacement (Phase 2),OH3800312,282,Holmes,"$22,980 ",Design,23-Aug,PLN/DES,NEDO
Gnadenhutten,Water Treatment Plant,OH7900512,"1,300",Tuscarawas,"$1,853,250 ",Construction,23-Aug,SML,SEDO
Grafton,Washington Drive Waterline Replacement,OH4700511,"6,017",Lorain,"$153,747 ",Construction,23-Dec,SML,NEDO
Granville,River Road Water Line Extension - Phases 2 and 3,OH4500612,"5,829",Licking,"$60,000 ",Design,23-Aug,PLN/DES,CDO
Granville,River Road Water Line Extension - Phases 2 and 3,OH4500612,50,Licking,"$400,000 ",Construction,24-Apr,SML,CDO
Granville,WTP Filter Rehabilitation,OH4500612,"5,815",Licking,"$400,000 ",Construction,23-Dec,SML,CDO
Granville,WTP Lime Sludge Holding Improvements,OH4500612,"5,829",Licking,"$150,000 ",Design,23-Sep,PLN/DES,CDO
Granville,WTP Lime Sludge Holding Improvements,OH4500612,"5,500",Licking,"$800,000 ",Construction,24-Jan,SML,CDO
Granville,WTP Sanitary Improvements,OH4500612,"5,500",Licking,"$500,000 ",Construction,24-Jan,SML,CDO
Greene County,Hilltop Wellfield Development,OH2903512,"36,855",Greene,"$9,000,000 ",Construction,24-Jun,STD,SWDO
Greene County,Watermain Imps Bun. 3 - Membrane Concentrate Discharge Wtrmn,OH2903512,"50,000",Greene,"$2,805,660 ",Construction,23-Sep,STD,SWDO
Greene County,"Watermain Imps Bun. 5 - Wagner, Feedwire, and Clyo Wtrmns",OH2903512,"50,000",Greene,"$2,400,398 ",Construction,23-Oct,STD,SWDO
Greenfield,Phase 1 Water System Improvements,OH3655021,"4,683",Highland,"$2,500,000 ",Construction,23-Dec,SML,SWDO
Greenfield,Water Storage Tank Rehabilitation,OH3655021,"4,600",Highland,"$976,335 ",Construction,23-Dec,SML,SWDO
Greenville,New Water Tower - East,OH1900714,"12,824",Darke,"$245,200 ",Design,23-Sep,PLN/DES,SWDO
Greenville,New Water Tower - East,OH1900714,"13,227",Darke,"$8,574,800 ",Construction,23-Dec,STD/HAB,SWDO
Greenwich,Greenwich Water Treatment Plant,OH3900312,"1,500",Huron,"$100,000 ",Planning,24-Jun,PLN/DES,NWDO
Greenwich,Greenwich Water Treatment Plant,OH3900312,"1,500",Huron,"$300,000 ",Design,24-Jun,PLN/DES,NWDO
Hecla Water Association,Macedonia Hill Water Main Extension & Booster Station,OH4401612,"30,170",Lawrence,"$3,294,000 ",Construction,23-Oct,DIS/REG,SEDO
Hecla Water Association,Proctorville Water System Improvements,OH4401612,"34,942",Lawrence,"$40,000 ",Planning,24-Jun,PLN/DES,SEDO
Hecla Water Association,Proctorville Water System Improvements,OH4401612,"34,942",Lawrence,"$200,000 ",Design,23-Dec,PLN/DES,SEDO
Hecla Water Association,Proctorville Water System Improvements,OH4401612,"34,942",Lawrence,"$2,015,832 ",Construction,24-Jun,REG,SEDO
"Highland County Water Company, Inc.","Southeast Water System Fortification, Phase 1 Marshall Area",OH3600514,"2,500",Highland,"$4,973,000 ",Construction,24-Jun,STD,SWDO
"Highland County Water Company, Inc.","Southeast Water System Fortification, Phase 2 Fairfax Area",OH3600514,"2,500",Highland,"$9,014,000 ",Construction,24-Jun,STD,SWDO
Highland Ridge Water & Sewer Association,Fish and Game WL Ext,OH8403203,"3,200",Washington,"$207,000 ",Construction,23-Oct,REG,SEDO
Highland Ridge Water & Sewer Association,Highland Ridge Road Waterline Extension,OH8403203,"3,200",Washington,"$228,000 ",Construction,23-Aug,REG,SEDO
Highland Ridge Water & Sewer Association,State Rt 26 Waterline Extension,OH8403203,"3,200",Washington,"$189,650 ",Construction,23-Sep,REG,SEDO
Hillsboro,2023 High Street LSL Replacement,OH3600614,"6,535",Highland,"$1,000,000 ",Construction,23-Aug,LSL,SWDO
Hillsboro,2023 Water System Improvements,OH3600614,"6,535",Highland,"$52,649 ",Design,23-Aug,PLN/DES,SWDO
Hillsboro,2023 Water System Improvements,OH3600614,"6,535",Highland,"$743,167 ",Construction,23-Oct,SML,SWDO
Hillsboro,Beech St. Area Infrastructure Reconstruction Project,OH3600614,"6,535",Highland,"$1,011,322 ",Construction,23-Aug,SML/LSL,SWDO
Hiram,Water Treatment Plant Improvements,OH6701612,"1,406",Portage,"$1,500,000 ",Construction,24-Jun,SML,NEDO
Hopedale,Water Storage Tank Replacement and Booster Pump Station,OH3400811,943,Harrison,"$2,590,165 ",Construction,23-Sep,SML,SEDO
Hubbard,2023 Waterline Replacement Project,OH7801415,"8,606",Trumbull,"$710,729 ",Construction,23-Oct,SML/LSL,NEDO
Ironton,10th Street Waterline Improvements,OH4400711,"10,599",Lawrence,"$320,261 ",Design,23-Sep,PLN/DES,SEDO
Ironton,10th Street Waterline Improvements,OH4400711,"10,599",Lawrence,"$3,298,056 ",Construction,24-Jan,STD,SEDO
Ironton,24 Inch Waterline Improvements,OH4400711,"4,400",Lawrence,"$336,655 ",Design,23-Sep,PLN/DES,SEDO
Ironton,24 Inch Waterline Improvements,OH4400711,"11,129",Lawrence,"$3,556,918 ",Construction,24-Jan,STD,SEDO
Ironton,3rd Street Waterline Improvements,OH4400711,"10,599",Lawrence,"$1,694,489 ",Construction,23-Sep,STD,SEDO
Ironton,WL Imprs & Reg Interconnect,OH4400711,"11,129",Lawrence,"$305,560 ",Design,23-Sep,PLN/DES,SEDO
Ironton,WL Imprs & Reg Interconnect,OH4400711,"11,129",Lawrence,"$3,338,311 ",Construction,24-Jan,STD,SEDO
Jackson,Florence Avenue Water Supply Improvements,OH4000111,"9,691",Jackson,"$823,000 ",Construction,24-Jun,SML,SEDO
Jackson Center,Water Treatment Plant Upgrades,OH0200412,"1,441",Shelby,"$5,400,000 ",Construction,23-Oct,SML,SWDO
"Jackson County Water Company, Inc.",Garrett Ridge Improvements,OH4002012,"15,903",Jackson,"$9,585,000 ",Construction,24-Mar,DIS/REG,SEDO
Jamestown,Water System Improvements,OH2901712,"2,150",Greene,"$656,000 ",Design,23-Sep,PLN/DES,SWDO
Jamestown,Water System Improvements,OH2901712,"2,052",Greene,"$6,403,000 ",Construction,24-Mar,SML,SWDO
Jefferson County,Booster Station Replacement,OH4100803,"4,000",Jefferson,"$124,000 ",Design,23-Aug,PLN/DES,SEDO
Jefferson County,Booster Station Replacement,OH4100803,"19,287",Jefferson,"$926,000 ",Construction,24-Apr,SML,SEDO
Jefferson County,Hammondsville Water Storage Tank Rehab,OH4101103,504,Jefferson,"$93,400 ",Design,23-Aug,PLN/DES,SEDO
Jefferson County,Hammondsville Water Storage Tank Rehab,OH4101103,"17,054",Jefferson,"$1,200,000 ",Construction,24-May,STD,SEDO
Jefferson County,J and Bloomingdale Water Storage Tanks Rehabilitation,OH4101003,"1,207",Jefferson,"$1,898,000 ",Construction,23-Sep,STD,SEDO
Jefferson Regional Water Authority,Water Treatment Plant Improvements,OH5703012,"4,620",Montgomery,"$3,322,310 ",Construction,23-Aug,SML,SWDO
Jefferson Water & Sewer District,Water Treatment Plant Improvements Phase 1,OH2504012,"12,560",Franklin,"$3,920,000 ",Construction,23-Oct,STD,CDO
Jefferson Water & Sewer District,Water Treatment Plant Improvements Phase 2,OH2504012,"11,294",Franklin,"$2,646,500 ",Construction,24-Apr,STD,CDO
Johnstown,Water Treatment Plant Expansion,OH4501512,"5,237",Licking,"$14,900,000 ",Construction,23-Oct,SML,CDO
Kenton,Downtown Revitalization Phase 2 (WL and LSLR),OH3300612,"8,382",Hardin,"$7,100,000 ",Construction,24-Jan,DIS/LSL,NWDO
Kenton,France Lake Campground Water Extension,OH3300612,"7,951",Hardin,"$536,800 ",Construction,24-Mar,DIS/REG,NWDO
Killbuck,Water Line Upgrades,OH3800712,879,Holmes,"$25,000 ",Planning,23-Aug,PLN/DES,NEDO
Killbuck,Waterline Loop Improvement Project,OH3800712,879,Holmes,"$3,664,650 ",Construction,23-Sep,SML,NEDO
Killbuck,Waterline Upgrades,OH3800712,879,Holmes,"$110,000 ",Design,23-Aug,PLN/DES,NEDO
Killbuck,Waterline Upgrades,OH3800712,879,Holmes,"$1,971,940 ",Construction,24-Mar,SML,NEDO
La Rue,Water Treatment Plant Improvements,OH5100312,676,Marion,"$119,200 ",Design,23-Oct,PLN/DES,NWDO
La Rue,Water Treatment Plant Improvements,OH5100312,676,Marion,"$1,640,000 ",Construction,24-May,SML,NWDO
Lagrange,Water Supply Pump Station Standby Generator,OH4700603,"2,359",Lorain,"$19,615 ",Design,23-Aug,PLN/DES,NEDO
Lagrange,Water Supply Pump Station Standby Generator,OH4700603,"2,359",Lorain,"$192,070 ",Construction,24-Jan,SML,NEDO
Lakemore,New Water Storage Tower,OH7701812,"3,068",Summit,"$3,545,126 ",Construction,23-Oct,SML,NEDO
Lakeview,Grove and Park Street Waterline Improvements,OH4601512,"1,083",Logan,"$614,700 ",Construction,23-Sep,SML,SWDO
Lakeview,Midway Water System Improvements,OH4601512,"1,184",Logan,"$1,100,688 ",Construction,23-Dec,REG,SWDO
Lakeview,WTP Upgrades,OH4601512,"1,184",Logan,"$2,400,000 ",Construction,23-Dec,REG,SWDO
Lakewood,2023 Watermain & Lead Service Replacement,OH1801003,"50,002",Cuyahoga,"$755,394 ",Construction,23-Jul,LSL,NEDO
Lakewood,2024 Watermain & Lead Service Replacement,OH1801003,"52,131",Cuyahoga,"$669,920 ",Construction,24-May,LSL,NEDO
Laura,Water Tower Replacement,OH5500612,552,Miami,"$1,455,000 ",Construction,23-Oct,SML,SWDO
Lewisburg,Well Field Improvements,OH6800812,"1,800",Preble,"$400,000 ",Construction,23-Dec,SML,SWDO
Licking County,Edgewater Beach Water Line Extension and Storage Tank,OH4500812,320,Licking,"$7,418,700 ",Construction,24-Jun,REG,CDO
Licking County,Jacksontown Water Line Extension,OH4500812,120,Licking,"$2,780,100 ",Construction,24-Jun,REG,CDO
Licking County,Newark - Hanover Water Line Extension (Distribution),OH4502314,"2,100",Licking,"$6,000,000 ",Construction,24-Jun,REG,CDO
Lima,Allen WD - Gomer Regional WL,OH0200811,"3,876",Allen,"$790,000 ",Design,24-Jun,PLN/DES,NWDO
Lima,Allen WD - Lafayette WL Loop,OH0200811,"3,876",Allen,"$550,000 ",Design,24-Mar,PLN/DES,NWDO
Lima,Lead Service Line Replacement - Phase 1,OH0200811,"75,000",Allen,"$2,523,615 ",Construction,24-Jan,LSL,NWDO
Lima,Lead Service Line Replacement - Phase 2,OH0200811,"75,000",Allen,"$2,810,000 ",Construction,24-Jun,STD/LSL,NWDO
Lisbon,North End & SR 45 Waterline Extensions,OH1501512,"2,821",Columbiana,"$653,538 ",Construction,24-May,REG,NEDO
Lithopolis,Jackson Lake Park Water System Interface,OH2301112,"1,573",Fairfield,"$18,150 ",Design,23-Sep,PLN/DES,CDO
Lithopolis,Jackson Lake Park Water System Interface,OH2301112,"1,573",Fairfield,"$241,751 ",Construction,23-Dec,REG,CDO
Lithopolis,Water Treatment Plant Filter Addition,OH2301112,"1,954",Fairfield,"$69,080 ",Design,23-Sep,PLN/DES,CDO
Lithopolis,Water Treatment Plant Filter Addition,OH2301112,"1,573",Fairfield,"$789,000 ",Construction,24-Jan,SML,CDO
Little Hocking Water & Sewer Association,SR339 Transmission and Barlow Tank and Booster,OH8400212,"2,875",Washington,"$870,600 ",Design,23-Aug,PLN/DES,SEDO
Little Hocking Water & Sewer Association,SR339 Transmission and Barlow Tank and Booster,OH8400212,"2,877",Washington,"$7,101,800 ",Construction,24-Apr,DIS,SEDO
Logan,South Zone Water Improvements,OH3700612,"6,677",Hocking,"$232,320 ",Design,23-Aug,PLN/DES,SEDO
Logan,Valves and Waterline Replacement,OH3700612,"7,152",Hocking,"$1,757,300 ",Construction,23-Dec,DIS,SEDO
London,"East Water Plant Well, Pump and Pumphouse",OH4900712,"9,394",Madison,"$1,847,500 ",Construction,24-May,DIS,CDO
London,East Water Treatment Plant Upgrades,OH4900712,"9,394",Madison,"$378,250 ",Construction,23-Dec,SML,CDO
London,North Main Street Waterline Replacement,OH4900712,"9,394",Madison,"$1,341,256 ",Construction,23-Sep,SML,CDO
London,West WTP Filter Media and Solids Contact Tank,OH4900712,"9,394",Madison,"$951,829 ",Construction,24-Feb,SML,CDO
Lorain,2023 Lead Service line Replacement Project,OH4700711,"63,832",Lorain,"$5,000,000 ",Construction,23-Jul,LSL,NEDO
Lorain,Water Main Replacement Year 2,OH4700711,"63,832",Lorain,"$600,000 ",Design,23-Jul,PLN/DES,NEDO
Lordstown,Hallock-Young RD Connector Waterline,OH7804403,"3,600",Trumbull,"$2,090,000 ",Construction,24-Jun,SML,NEDO
Lordstown,Lordstown Water Extension Phase 2,OH7804403,"3,197",Trumbull,"$2,800,000 ",Design,23-Aug,PLN/DES,NEDO
Lordstown,Lordstown Water Extension Phase 2,OH7804403,"3,197",Trumbull,"$22,000,000 ",Construction,24-Jun,SML,NEDO
Lowell,Water Tank and Watermain Replacement,OH8400312,538,Washington,"$99,900 ",Design,23-Aug,PLN/DES,SEDO
Lowell,Water Tank and Watermain Replacement,OH8400312,549,Washington,"$1,066,995 ",Construction,23-Dec,DIS/LSL,SEDO
Lyons,Water Tower Replacement,OH2600603,697,Fulton,"$2,116,800 ",Construction,24-Feb,SML,NWDO
Madison County,SR 161 Waterline Extension,OH4901012,"5,176",Madison,"$343,569 ",Design,23-Oct,PLN/DES,CDO
Madison County,SR 161 Waterline Extension,OH4901012,"5,176",Madison,"$2,123,199 ",Construction,24-Mar,REG,CDO
Madison County,SR 56 / US 40 Waterline Extension,OH4901012,"5,176",Madison,"$770,000 ",Design,23-Oct,PLN/DES,CDO
Madison County,SR 56 / US 40 Waterline Extension,OH4901012,"5,176",Madison,"$7,397,000 ",Construction,24-Mar,REG,CDO
Madison County,US 40 Glade Run Water Line Extension,OH4901012,"5,176",Madison,"$300,500 ",Design,23-Oct,PLN/DES,CDO
Madison County,US 40 Glade Run Water Line Extension,OH4901012,"5,176",Madison,"$2,865,250 ",Construction,24-Mar,REG,CDO
Madison County,US 42 and Plain City Waterline Extension,OH4901012,"5,176",Madison,"$890,037 ",Design,23-Oct,PLN/DES,CDO
Madison County,US 42 and Plain City Waterline Extension,OH4901012,"5,176",Madison,"$13,268,068 ",Construction,24-Feb,REG,CDO
Madison Water District,Water Line Service to Heatherwood,OH7006712,"11,168",Richland,"$365,640 ",Design,23-Sep,PLN/DES,NWDO
Madison Water District,Waterline Service to Heatherwood,OH7006712,"1,500",Richland,"$3,371,990 ",Construction,24-Mar,REG,NWDO
Mahoning Valley Sanitary District,Mineral Ridge Dam Rehabilitation,OH7801811,"220,000",Trumbull,"$45,000,000 ",Construction,23-Dec,SML,NEDO
Mahoning Valley Sanitary District,MRWTP Process Treatment Improvements,OH7801811,48,Trumbull,"$2,704,100 ",Design,23-Oct,EC,NEDO
Malinta,Malinta Water Tower Rehabilitation,OH3501403,265,Henry,"$250,000 ",Construction,24-Mar,SML,NWDO
Malta,2022 Water Distribution System Improvements,OH5800412,671,Morgan,"$2,246,400 ",Construction,24-Jan,SML,SEDO
Malvern,Water Line Replacement Phase 2,OH1000112,"1,302",Carroll,"$6,050,000 ",Construction,24-Jun,DIS/LSL,NEDO
Manchester,Water Line Improvements Phase 2,OH0100112,"2,120",Adams,"$3,597,265 ",Construction,23-Sep,DIS,SEDO
Marblehead,Johnson's Island Waterline Extension,OH6202411,"3,010",Ottawa,"$7,000,000 ",Construction,23-Aug,REG,NWDO
Marblehead,North Water Tower Improvements,OH6202411,"3,010",Ottawa,"$350,000 ",Construction,23-Sep,SML,NWDO
Marblehead,Village of Marblehead Water Tower HAB,OH6202411,903,Ottawa,"$3,300,000 ",Construction,23-Aug,SML,NWDO
Marietta,LSL Replacement,OH8400412,"13,588",Washington,"$1,300,000 ",Construction,23-Aug,LSL,SEDO
Marshallville,Water Treatment Plant Replacement,OH8501912,811,Wayne,"$1,260,031 ",Construction,23-Aug,SML,NEDO
Martins Ferry,Hospital and Business District Water Main Replacement,OH0701212,"6,703",Belmont,"$855,768 ",Construction,23-Oct,SML,SEDO
Matamoras,Water Distribution Systems Improvements,OH8400512,672,Washington,"$103,500 ",Design,23-Sep,PLN/DES,SEDO
Matamoras,Water Distribution Systems Improvements,OH8400512,672,Washington,"$1,902,000 ",Construction,24-Jun,SML,SEDO
Matamoras,Water Interconnection to Monroe Water,OH8400512,672,Washington,"$30,000 ",Planning,23-Aug,PLN/DES,SEDO
Matamoras,Water Interconnection to Monroe Water,OH8400512,672,Washington,"$148,200 ",Design,23-Sep,PLN/DES,SEDO
Matamoras,Water Interconnection to Monroe Water,OH8400512,672,Washington,"$1,742,200 ",Construction,24-Jun,REG,SEDO
Mechanicsburg,Water Distribution System Improvements - Phase 3,OH1100712,"1,681",Champaign,"$2,271,713 ",Construction,23-Dec,SML,SWDO
Miami County,Casstown Regional Distribution System,OH5502303,"2,371",Miami,"$4,800,000 ",Construction,23-Oct,REG,SWDO
Miamisburg,WTF Softening Improvements Well #14,OH5701212,"20,000",Montgomery,"$2,000,000 ",Construction,24-Jun,STD,SWDO
Middlefield,Raw Water Line - Well #3,OH2802012,"2,698",Geauga,"$230,151 ",Construction,23-Jul,SML,NEDO
Middlefield,Water Well No. 3 Completion,OH2802012,"2,699",Geauga,"$2,447,000 ",Construction,23-Dec,SML,NEDO
Middletown,2023 Water Line Replacements,OH0901712,"50,000",Butler,"$4,000,000 ",Construction,23-Oct,STD,SWDO
Middletown,2024 Water Line Replacements,OH0901712,"50,000",Butler,"$5,000,000 ",Construction,24-Apr,STD,SWDO
Middletown,Water Storage Tank,OH0901712,"50,000",Butler,"$7,000,000 ",Construction,23-Dec,STD,SWDO
Midvale,Meters and Waterline,OH7900612,"2,376",Tuscarawas,"$2,000,000 ",Construction,23-Sep,DIS,SEDO
Milan,Water Tower Improvements,OH2201212,"2,223",Erie,"$363,125 ",Construction,24-May,SML,NWDO
Minerva,Water Meter Replacement,OH7603812,"3,680",Stark,"$805,000 ",Construction,23-Dec,SML,NEDO
Minster,Water Treatment Plant Expansion,OH0600412,"2,850",Auglaize,"$750,000 ",Design,24-Jan,PLN/DES,NWDO
Montgomery County,Flesher Rainbow LSL Replacement,OH5701315,"531,239",Montgomery,"$1,989,000 ",Construction,23-Oct,LSL,SWDO
Montgomery County,Nottingham LSL Replacement,OH5701503,"531,239",Montgomery,"$1,557,000 ",Construction,23-Oct,LSL,SWDO
Montgomery County,Shroyer Road Area LSL Replacement,OH5701315,"531,239",Montgomery,"$1,500,000 ",Construction,23-Oct,LSL,SWDO
Morgan-Meigsville Rural Water District,SR 60 Waterline Extension,OH5801003,700,Morgan,"$1,540,000 ",Construction,24-Feb,REG,SEDO
Muskingum County,Claysville Rd to Hardy Rd Water Main Ext,OH6000412,30,Muskingum,"$344,900 ",Construction,24-Apr,DIS/REG,SEDO
Muskingum County,Maysville Connection and WTP Upgrade,OH6000412,"23,375",Muskingum,"$7,163,900 ",Construction,24-Apr,DIS/REG,SEDO
Muskingum County,SR 555 Waterline Extension - Phase 2,OH6000412,80,Muskingum,"$734,900 ",Construction,24-Apr,DIS/REG,SEDO
Muskingum County,Sunflower Rd and Getz Rd Water Main Extension,OH6000412,"21,464",Muskingum,"$591,400 ",Construction,24-Mar,DIS/REG,SEDO
Nashville,New Water Storage Tank and Supply,OH3801012,183,Holmes,"$2,135,231 ",Construction,24-Jan,SML,NEDO
Nelsonville,Water System Improvements Phase 3,OH0501214,"6,656",Athens,"$277,900 ",Design,23-Sep,PLN/DES,SEDO
Nelsonville,Water System Improvements Phase 3,OH0501214,"6,656",Athens,"$4,536,000 ",Construction,24-Jan,DIS,SEDO
New Concord,WTP Clarifier #2 Rehabilitation,OH6001711,"2,209",Muskingum,"$379,600 ",Construction,23-Sep,SML,SEDO
New London,Coleman Court/Clinton Street Lead Waterline Replacement,OH3902611,"2,416",Huron,"$278,588 ",Construction,23-Sep,SML/LSL,NWDO
New Richmond,PFAS Evaluation and Treatment,OH1301212,"2,684",Clermont,"$50,000 ",Planning,23-Jul,EC,SWDO
New Richmond,PFAS Evaluation and Treatment,OH1301212,"2,650",Clermont,"$200,000 ",Design,24-Jan,EC,SWDO
Newark,Lead Service Line Replacement Project #4,OH4502314,"19,425",Licking,"$3,000,000 ",Construction,23-Dec,LSL,CDO
Newark,Lead Service Line Replacement Project #5,OH4502314,"19,245",Licking,"$3,000,000 ",Construction,24-Jun,LSL,CDO
Noble County Water Authority,Waterline Extension & Interconnect Final Phase,OH6100503,815,Noble,"$190,000 ",Design,23-Sep,PLN/DES,SEDO
Noble County Water Authority,Waterline Extension & Interconnect Final Phase,OH6100503,927,Noble,"$4,030,680 ",Construction,23-Dec,DIS/REG,SEDO
North Lewisburg,SR 245 and 559 Distribution Replacement,OH1100812,"1,636",Champaign,"$1,524,078 ",Construction,24-May,SML,SWDO
North Lewisburg,WTP Improvements,OH1100812,"1,636",Champaign,"$571,750 ",Construction,24-Jan,SML,SWDO
Northwestern Water & Sewer District,Custar Waterline Loop,OH8703211,"5,073",Wood,"$1,600,000 ",Construction,24-May,REG,NWDO
Northwestern Water & Sewer District,Dunbridge Area Regional Waterline,OH8752212,"19,758",Wood,"$3,000,000 ",Construction,24-Jan,REG,NWDO
Northwestern Water & Sewer District,Eastwood Local School District Regional Waterline,OH8752812,905,Wood,"$2,200,000 ",Construction,24-Apr,REG,NWDO
Northwestern Water & Sewer District,Lime City Waterline Loop,OH8752812,"19,758",Wood,"$1,425,000 ",Construction,23-Dec,STD,NWDO
Northwestern Water & Sewer District,Miltonville Waterline Replacement,OH8752812,"19,758",Wood,"$2,700,000 ",Construction,24-May,STD,NWDO
Northwestern Water & Sewer District,Rossford Waterline Replacement,OH8752812,"19,758",Wood,"$1,200,000 ",Construction,24-Jan,LSL,NWDO
Ohio & Lee Water & Sewer Authority,Ohio & Lee Water Meter Upgrades,OH5600412,"1,301",Monroe,"$15,000 ",Planning,23-Aug,PLN/DES,SEDO
Ohio & Lee Water & Sewer Authority,Ohio & Lee Water Meter Upgrades,OH5600412,"1,301",Monroe,"$337,302 ",Design,23-Oct,PLN/DES,SEDO
Ohio & Lee Water & Sewer Authority,Ohio & Lee Water Meter Upgrades,OH5600412,"1,301",Monroe,"$1,872,078 ",Construction,23-Oct,SML,SEDO
Ohio City,Water Tower and WTP Aerator Detention Tank Improvements,OH8100412,705,Van Wert,"$352,000 ",Construction,23-Oct,SML,NWDO
Old Straitsville Water Association,"State Route 93, Arnold & Price Road Water Line Replacement",OH6401403,"2,950",Perry,"$973,500 ",Construction,24-Jun,SML,SEDO
Oregon,Oregon WTP - Concrete Replacement Project,OH4800911,"19,950",Lucas,"$2,238,000 ",Construction,24-Jun,STD,NWDO
Oregon,"Water Line Repl. Program - Seaman Rd, Norden Rd, and Wynn Rd",OH4800911,"21,000",Lucas,"$2,535,000 ",Construction,23-Sep,STD,NWDO
Ottawa County,Secondary Feed Water Line Eastern Ottawa County,OH6205011,"17,348",Ottawa,"$5,448,220 ",Construction,24-Jun,STD,NWDO
Oxford,Water Treatment Plant Membrane Softening Improvements,OH0902312,"23,192",Butler,"$2,400,000 ",Design,23-Aug,EC,SWDO
Painesville,Chlorine Storage Upgrade,OH4301611,"33,000",Lake,"$25,000 ",Planning,23-Aug,PLN/DES,NEDO
Painesville,Chlorine Storage Upgrade,OH4301611,"33,000",Lake,"$75,000 ",Design,23-Oct,PLN/DES,NEDO
Painesville,Chlorine Storage Upgrade,OH4301611,"33,000",Lake,"$700,000 ",Construction,24-Mar,STD,NEDO
Painesville,High Service Pump Repair or Replacement Project,OH4301611,"33,000",Lake,"$95,000 ",Construction,23-Dec,STD,NEDO
Pemberville,Downtown Business Alley Waterline Replacement,OH8701712,"1,590",Wood,"$152,500 ",Construction,24-May,SML,NWDO
Pemberville,Downtown Waterline Replacement,OH8701712,"1,360",Wood,"$1,900,000 ",Construction,24-Jun,SML,NWDO
Pemberville,New Water Tower Improvements,OH8701712,"1,360",Wood,"$1,740,000 ",Construction,23-Oct,SML,NWDO
Pemberville,Pine and Main Streets Waterline Replacement,OH8701712,"1,360",Wood,"$770,000 ",Construction,24-Apr,SML,NWDO
Perry County,NPCW - Water System Improvements Phase 5,OH6402703,"1,476",Perry,"$1,601,000 ",Construction,23-Sep,DIS/REG,SEDO
Pike Water Inc,Green Ridge Waterline Extension,OH6602412,"15,487",Pike,"$2,229,660 ",Construction,23-Oct,DIS/REG,SEDO
Pike Water Inc,New North Water Treatment Plant,OH6602412,"15,487",Pike,"$6,837,795 ",Construction,24-May,STD,SEDO
Pike Water Inc,Remote Booster Station Stand-by Power,OH6602412,"15,487",Pike,"$355,160 ",Construction,23-Aug,STD,SEDO
Pike Water Inc,SR 124 Waterline Replacement,OH6602412,"15,487",Pike,"$2,321,810 ",Construction,23-Oct,STD,SEDO
Pomeroy,Breezy Heights Tank Proposed Wells,OH5300212,"1,953",Meigs,"$699,400 ",Construction,24-Feb,SML,SEDO
Pomeroy,Lead Service Line Replacement Phase 3,OH5300212,"1,990",Meigs,"$1,461,600 ",Construction,24-Feb,LSL,SEDO
Pomeroy,Lead Service Lines Phase 2,OH5300212,"1,752",Meigs,"$483,200 ",Construction,23-Aug,LSL,SEDO
Port Clinton,Lead Service Line Replacement,OH6203211,"6,025",Ottawa,"$200,000 ",Planning,23-Aug,PLN/DES,NWDO
Port Clinton,Water and Sanitary Sewer Infrastructure Improvements,OH6203211,"5,928",Ottawa,"$11,458,755 ",Construction,23-Oct,DIS/LSL,NWDO
Port William,Water System Improvements,OH1435013,315,Clinton,"$651,200 ",Design,23-Sep,PLN/DES,SWDO
Port William,Water System Improvements,OH1435013,250,Clinton,"$6,329,735 ",Construction,24-Mar,REG,SWDO
