Rank,Project Sponsor,Project Number,Project Name,Population,Building Cost,Support Cost,Estimated Cost,Cat A,Cat B,Cat C.a,Cat C.b,Cat C.c,Cat C.d,Cat D,Cat E,Rank Points,"Actual/ Anticipated
Funding Status",BIL Eligibility
127,Newton Town,1915001-001,2023 Drinking Water Improvements,8300,595000,1190000,773500,160,0,20,0,0,0,0,0.08,205.083,Funded,BIL (GEN)
128,Hightstown Borough,1104001-012,Lead Service Line Replacement,5494,10000000,425000,13500000,175,0,15,0,0,0,0,0.05,205.054,Beyond 2026,BIL(GEN)
129,Allentown Borough,1302001-008,Improvements to Hamilton Street & Pearl Street,1734,1000000,134045,1300000,175,0,20,0,0,0,0,0.02,205.02,Beyond 2026,BIL (GEN)
130,Buena Vista Township,0660004-001,Water Main extension due to private well contamination,184,$     -,$     -,$      -,125,0,0,0,0,0,80,0,205.00184,Beyond 2026,BIL(GEN)
131,Passaic Valley Water Commission,1605002-018,Upgrade residual treatment process to include belt thickners,347052,5000000,2460000,7460000,100,0,20,0,0,0,80,3.47,203.47052,Beyond 2026,BIL(GEN)
132,Newark City,0714001-011,Rehabilitation of the basculate gate at the Charlotteburgh Reservoir with a,285000,2000000,770000,2770000,45,80,15,5,0,0,0,2.94,202.94273,Beyond 2026,BIL (GEN)
133,Parsippany Troy Hills Township,1429001-002,Replacement Well 20-R VOC/PFAS Treatment,56000,4194000,950000,5334768,200,0,0,0,0,0,0,0.5,200.504,2026,BIL (GEN)
134,Merchantville Pennsauken Water Commission,0424001-004,National Highway PFC plant,50000,7000000,1420000,8700000,200,0,0,0,0,0,0,0.47,200.47144,Funded,BIL (GEN)/ BIL (EC)
134,Merchantville Pennsauken Water Commission,0424001-008,Park Ave GAC Plant,50000,10200000,3340000,12240000,200,0,0,0,0,0,0,0.47,200.47144,Beyond 2026,BIL (GEN)/ BIL (EC)
135,Atlantic City Municipal Utilities Authority,0102001-013,"Security Enhancements to the Water Treatment Plant, Distribution System",25333,4000000,55000,4800000,45,80,15,5,0,0,0,0.39,200.39415,Funded,BIL (GEN)
136,Aqua New Jersey Incorporate,1103001-008,AQUA-NJ: Hamilton System - PFAS Treatment - Well 11C,39128,3500000,2000000,4350000,200,0,0,0,0,0,0,0.39,200.39128,Beyond 2026,BIL (GEN)/ BIL (EC)
136,Aqua New Jersey Incorporate,1103001-009,AQUA-NJ: Hamilton System - PFAS Treatment - Well 12C,39128,3500000,388000,4350000,200,0,0,0,0,0,0,0.39,200.39128,Beyond 2026,BIL (GEN)/ BIL (EC)
136,Aqua New Jersey Incorporate,1103001-010,AQUA-NJ: Hamilton System - PFAS Treatment - Well 13C,39128,2500000,,3150000,200,0,0,0,0,0,0,0.39,200.39128,Beyond 2026,BIL(GEN)
137,Pompton Lakes Municipal Utilities Authority,1609001-007,Well #3 Treatment,11435,3805600,6385400,5142832,200,0,0,0,0,0,0,0.11,200.11435,Funded,BIL (GEN)/ BIL (EC)
137,Pompton Lakes Municipal Utilities Authority,1609001-008,Well #1 and #2 Treatment,11435,6978400,1366216,9013648,200,0,0,0,0,0,0,0.11,200.11435,Beyond 2026,BIL (GEN)/ BIL (EC)
138,Berkeley Township Municipal Utilities Authority,1505004-010,Berkeley Township MUA Phase VII Water Main Installation,10800,7962500,4000000,10167500,165,0,20,0,0,0,0,0.11,200.11235,2026,BIL (GEN)
139,East Greenwich Township,0803001-004,Installation of filtration system for PFC removal at #3 Well,9550,1741000,539200,2280200,200,0,0,0,0,0,0,0.1,200.0955,Funded,BIL (GEN)
140,Boonton Town,1401001-004,Wellfield PFAS Treatment Improvements (Boonton Town),9900,4350000,475000,5476700,200,0,0,0,0,0,0,0.1,200.09532,Beyond 2026,BIL (GEN)/ BIL (EC)
141,Washington Township Municipal Utilities Authority,1438004-005,WTMUA � SM-10 and SM-17 PFAS Treatment Improvements,4900,3150000,1350000,3955000,200,0,0,0,0,0,0,0.05,200.04866,Beyond 2026,BIL (GEN)/ BIL (EC)
142,Allentown Borough,1302001-005,Allentown Lead Service Lines,1734,2141500,2953779,2891025,175,0,15,0,0,0,0,0.02,200.02,2026,BIL (GEN)
143,Lakeshore Company,1413001-001,Lakeshore Water - New Well Treatment,250,342250,1800000,410700,200,0,0,0,0,0,0,0,200.0027,Funded,BIL (GEN)
145,Jersey City Municipal Utilities Authority,0906001-017,Boonton Plant Centrifuge,264290,1450200,290040,1740240,100,50,15,0,0,0,30,2.62,197.62004,Funded,BIL (GEN)
146,East Orange Water Commission,0705001-009,Installation of solar power at water treatment plant,80468,1000000,700000,1700000,45,50,0,5,0,15,80,0.8,195.80468,Beyond 2026,BIL(GEN)
147,Wildwood City,0514001-008,"Sanitary Sewer and Water Improvements, Phase 3",70762,2839080,650000,3506896,75,80,15,0,0,0,0,0.71,195.70762,2026,BIL (GEN)
148,East Orange City,0705001-012,WORPS SCADA Instrumentation/Controls Planning and Design,65078,3000000,2070000,5070000,60,50,0,5,0,0,80,0.65,195.65078,Beyond 2026,BIL(GEN)
148,East Orange City,0705001-013,WORPS Emergency Backup Power Generator Planning and Design,65078,3420000,2184000,5604000,60,50,0,5,0,0,80,0.65,195.65078,Beyond 2026,BIL(GEN)
149,Vineland City,0614003-017,2016 Water Distribution Rehabilitation Project,36848,1906425,740056,2646481,75,80,15,0,0,0,0,0.36,195.3625,Beyond 2026,BIL (GEN)
150,Willingboro Municipal Utilities Authority,0338001-011,Well 6 Water Treatment Plant Upgrade,34731,18752000,4654400,23406400,160,0,20,0,0,0,0,0.35,195.35,2026,BIL (GEN)
151,Rahway City,2013001-003,Rahway Lead Service Line Replacement Project,29556,1000000,4885050,1300000,175,0,0,5,5,0,0,0.27,195.273,Beyond 2026,BIL (GEN)
152,"NJ American Water Company, Inc.",2121001-001,Washington Twp. Main Extension,6492,5200000,554000,6240000,165,0,15,0,0,0,0,0.11,195.10719,2026,BIL (GEN)/ BIL (EC)
153,Hopatcong Borough,1912001-001,Hudson Avenue Water Main Installation,7224,900000,180000,1080000,165,0,15,0,0,0,0,0.07,195.07224,Beyond 2026,BIL (GEN)
154,Salem City,1712001-003,Upgrades to WTP to address taste and odor problems,5857,4500000,2240000,6740000,100,0,15,0,0,0,80,0.06,195.05857,Beyond 2026,BIL(GEN)
155,Egg Harbor City,0107001-002,Replacement of a water treatment plant,4700,8500000,2768740,11268740,100,0,15,0,0,0,80,0.05,195.047,Beyond 2026,BIL(GEN)
156,North Jersey District Water Supply Commission,1613001-031,Purchase and Install New Dewatering System,150,2469700,1215800,3685500,160,0,20,0,0,0,0,0,195.0015,Beyond 2026,BIL (GEN)
157,North Jersey District Water Supply Commission,1613001-032,Rehabilitation of Treatment Facility,872153,2465520,1088190,3553710,160,0,20,0,0,0,0,0,195,Beyond 2026,BIL (GEN)
158,Newark City,0714001-023,REHABILITATION OF PEQUANNOCK AQUEDUCTS,307220,17715500,42300,21537700,75,80,15,5,5,0,0,2.94,192.94274,Funded,BIL (GEN)
159,"NJ American Water Company, Inc.",2004002-012,NJ American Water Lead Service Line Replacement Program PWSID 20040,1,6700000,2274000,8974000,125,50,0,5,5,0,0,6.15,191.1543,Funded,BIL (GEN)
160,Camden City,0408001-021,New Auto Meter Reading Equip for entire City,77344,100000,3108500,3208500,25,50,20,0,0,15,80,0.77,190.77344,Beyond 2026,BIL(GEN)
161,Seaside Heights Borough,1526001-001,Seaside Heights - Water Treatment Plant Improvements,7667,1000000,250000,1275000,160,0,15,0,0,0,0,0.08,190.07667,Beyond 2026,BIL (GEN)
161,Seaside Heights Borough,1526001-002,Seaside Heights - Water System Improvements - Resiliency,7667,3150000,510360,3930000,160,0,15,0,0,0,0,0.08,190.07667,Funded,BIL (GEN)
162,Allentown Borough,1302001-006,"Improvements to Broad Street, Waker Avenue and Maiden Lane",1788,1000000,1735000,1200000,175,0,15,0,0,0,0,0.02,190.02,Funded,BIL (GEN)
162,Allentown Borough,1302001-007,Water Treatment Plant Improvements Phase II,1734,2000000,1787777,2720000,160,0,20,0,0,0,0,0.02,190.02,Funded,BIL (GEN)
163,Mount Arlington Borough,1426005-003,"Altenbrand, Windemere, McGregor and Lee Water Main Extension",133,1529000,330000,2020000,165,0,15,0,0,0,0,0.02,190.01978,2026,BIL (GEN)
164,Old Bridge Municipal Utilities Authority,1209002-014,Perrine Road Carbon Absorber Facility,65375,1200000,240000,1440000,160,0,15,0,0,0,0,0.67,185.67215,Beyond 2026,BIL (GEN)
165,Bloomfield Township,0702001-001,Cleaning and Lining of water mains,47000,1946500,639300,2585800,175,0,0,5,0,0,0,0.47,185.47314,Beyond 2026,BIL(GEN)
165,Bloomfield Township,0702001-006,Lead Service Line Replacement (2023-2025),0,6000000,,7350000,175,0,0,5,0,0,0,0.47,185.47314,Funded,BIL (GEN)
166,Montclair Township,0713001-013,Montclair Township - Lead & Galvanized Service Line Replacements - SFY2,2000,4000000,1372677,4960000,175,0,0,5,0,0,0,0.38,185.37669,Beyond 2026,BIL (GEN)
167,Collingswood Borough,0412001-006,Collingswood Lead Line Removal,16000,4320000,400000,5184000,175,0,0,5,0,0,0,0.25,185.245,Beyond 2026,BIL (GEN)
168,Passaic Valley Water Commission,0231001-002,Lead Service Line Replacement in Lodi System,24551,6000000,7000000,7200000,175,0,0,0,5,0,0,0.24,185.24136,Beyond 2026,BIL (GEN)
169,South Orange Village,0719001-013,Lead Line Identification and Replacement,22865,7560000,200000,9072000,175,0,0,5,0,0,0,0.17,185.16965,Beyond 2026,BIL (GEN)
170,North Jersey District Water Supply Commission,1613001-006,Construct a 48 inch by-pass main and rehabilitate the single 70+ yr old 74 i,872153,15000000,6260000,21260000,75,50,20,0,0,0,30,8.72,183.72153,Beyond 2026,BIL(GEN)
170,North Jersey District Water Supply Commission,1613001-009,Rehab of the Kearny/Bayonne Transmission main,872153,5600000,3526000,9126000,75,50,20,0,0,0,30,8.72,183.72153,Beyond 2026,BIL(GEN)
171,"NJ American Water Company, Inc.",2004002-015,Netherwood PFAS Treatment,48000,15700000,690000,18840000,160,0,0,5,5,0,0,3.18,183.18147,2026,BIL (GEN)/ BIL (EC)
172,"NJ American Water Company, Inc.",2004002-004,NJ American Water Lead Service Line Replacement Program PWSID 20040,13967,68865390,6720000,82638468,175,0,0,0,0,0,0,6.15,181.1543,Beyond 2026,BIL (GEN)
173,Salem City,1712001-004,Salem City Water Meter,4931,1092100,253420,1345520,35,80,15,0,5,15,0,0.06,180.062,Beyond 2026,BIL(GEN)
174,Tuckerton Borough,1532002-004,Rehabilitation of three green sand filter tanks and one backwash tank,3365,109000,49050,158050,100,35,15,0,0,0,30,0.03,180.03365,Beyond 2026,BIL(GEN)
176,Passaic Valley Water Commission,1605002-015,Replace approximately 200 large antiquated valves,347052,2000000,1140000,3140000,75,0,20,0,0,0,80,3.47,178.47052,Beyond 2026,BIL(GEN)
176,Passaic Valley Water Commission,1605002-017,Installation of 7000 LF of 12-inch main to replace Granite Ave storage tank,347052,1700000,1008000,2708000,75,0,20,0,0,0,80,3.47,178.47052,Beyond 2026,BIL(GEN)
176,Passaic Valley Water Commission,1605002-019,Installation of 2200 LF of 12-inch main to connect Eastside Pumping statio,347052,600000,420000,1020000,75,0,20,0,0,0,80,3.47,178.47052,Beyond 2026,BIL(GEN)
177,Newark City,0714001-010,"Replacement of 38,234 old water meters in the distribution system.",285000,19000000,7540000,26540000,25,50,20,0,0,0,80,2.85,177.85,Beyond 2026,BIL(GEN)
178,Newark City,0714001-018,Replacement of Water Distribution Mains,273000,3000000,2070000,5070000,75,0,20,0,0,0,80,2.73,177.73,Funded,BIL (GEN)
179,Middlesex Water Company,1225001-005,MWC Galvanized & Lead Service Line Replacement,0,8441000,,10129200,175,0,0,0,0,0,0,2.33,177.33376,2026,BIL (GEN)
180,"NJ American Water Company, Inc.",0712001-017,NJ American Water Lead Service Line Replacement Program PWSID 07120,61176,50685200,234750,60822240,175,0,0,0,0,0,0,2.17,177.1723,Beyond 2026,BIL (GEN)
181,Trenton City,1111001-013,TWW - Phase 4 LSL Replacement Project,91543,8771000,,10525200,175,0,0,0,0,0,0,2.17,177.17,Funded,BIL (GEN)
182,Bayonne City,0901001-008,Lead Service Line Replacement Phase 2,70300,58988650,160000,71056980,175,0,0,0,0,0,0,0.63,175.63,Beyond 2026,BIL (GEN)
183,Ridgewood Village,0251001-007,Ridgewood Water Lead Service Line Replacements,61220,30800000,,37310000,175,0,0,0,0,0,0,0.62,175.617,2026,BIL (GEN)
184,Merchantville Pennsauken Water Commission,0424001-005,Lead line removal,49990,3780000,2707750,4536000,175,0,0,0,0,0,0,0.47,175.47144,2026,BIL (GEN)
185,Kearny Town,0907001-003,Lead Service Line Replacement Project,27438,6831080,1930424,8197296,175,0,0,0,0,0,0,0.42,175.41664,Beyond 2026,IL (GEN)/ BIL (LSLR)
187,Aqua New Jersey Incorporate,1103001-007,Aqua NJ Hamilton Lead Service Line Replacement,88464,10000000,640000,12780000,175,0,0,0,0,0,0,0.39,175.39128,Beyond 2026,BIL(GEN)
189,Belleville Township,0701001-009,Belleville Lead Service Line Replacement Phase 2,37480,3931525,600000,4827830,175,0,0,0,0,0,0,0.35,175.35129,2026,BIL (GEN)
190,Orange City,0717001-014,Orange Twp | Relocation of the existing transmission main under the Glen,30731,1225000,,1843000,75,80,0,5,5,0,0,0.3,175.30135,Beyond 2026,BIL (GEN)
191,Aqua New Jersey Incorporate,2119001-002,Lead Service Line Replacement Phillipsburg,14950,5000000,1750000,6390624,175,0,0,0,0,0,0,0.27,175.26686,Funded,IL (GEN)/ BIL (LSLR)
192,Hackettstown Municipal Utilities Authority,2108001-002,Lead Service Line Replacement,185,600000,,807800,125,50,0,0,0,0,0,0.22,175.22,Funded,BIL (GEN)
193,Hamilton Township Municipal Utilities Authority,0112001-005,WATER MAIN REPLACEMENT PHASE 2,22000,3500000,67500,4200000,175,0,0,0,0,0,0,0.22,175.21719,2026,BIL (GEN)
194,Lyndhurst Township,0232001-004,Lead Water Service Replacement Program,22453,24425250,523056,29310300,175,0,0,0,0,0,0,0.21,175.205,2026,BIL (GEN)
195,Hawthorne Borough,1604001-003,Hawthorne Lead Water Service Line Replacement Phase 2,19360,2250000,3140000,2745000,175,0,0,0,0,0,0,0.19,175.19458,Funded,BIL (GEN)
195,Hawthorne Borough,1604001-004,Hawthorne Lead Service Line Replacement Phase 3,19458,2250000,,2760000,175,0,0,0,0,0,0,0.19,175.19458,Funded,BIL (GEN)
195,Hawthorne Borough,1604001-006,Hawthorne Lead Service Line Replacement - Phase 4,19496,2700000,666100,3270000,175,0,0,0,0,0,0,0.19,175.19458,2026,BIL (GEN)
196,Maple Shade Township,0319001-001,Maple Shade Township Lead Service Line Replacement,19980,3750000,6017480,4593250,175,0,0,0,0,0,0,0.19,175.194,2026,IL (GEN)/ BIL (LSLR)
198,Passaic Valley Water Commission,0239001-002,Lead Service Line Replacement in North Arlington System,15741,8500000,3800000,10200000,175,0,0,0,0,0,0,0.15,175.15392,Beyond 2026,BIL (GEN)
199,Ventnor City,0122001-002,Water Infrastructure Project,14076,63200000,,75940000,175,0,0,0,0,0,0,0.14,175.14076,2026,BIL (GEN)
200,Clinton Town,1005001-014,Town of Clinton - Galvanized Service Line Replacement - SFY23,1000,4000000,960000,4950000,175,0,0,0,0,0,0,0.13,175.125,Beyond 2026,BIL (GEN)
200,Clinton Town,1005001-015,Town of Clinton - Galvanized Service Line Replacement - SFY24,1000,4000000,800000,4950000,175,0,0,0,0,0,0,0.13,175.125,Beyond 2026,BIL (GEN)
200,Clinton Town,1005001-016,Town of Clinton - Galvanized Service Line Replacement - SFY25,1000,4000000,800000,4950000,175,0,0,0,0,0,0,0.13,175.125,Beyond 2026,BIL (GEN)
200,Clinton Town,1005001-017,Town of Clinton - Galvanized Service Line Replacement - SFY26,1000,4000000,800000,4950000,175,0,0,0,0,0,0,0.13,175.125,Beyond 2026,BIL (GEN)
200,Clinton Town,1005001-018,Town of Clinton - Galvanized Service Line Replacement - SFY27,1000,4000000,800000,4950000,175,0,0,0,0,0,0,0.13,175.125,Beyond 2026,BIL (GEN)
201,Brigantine City,0103001-002,Brigantine Lead Service Line Replacement Project,11117,60000000,,72000000,175,0,0,0,0,0,0,0.11,175.11117,2026,BIL (GEN)
202,Margate City,0116001-003,Margate Lead Service Line Replacement Program,10000,44744150,,54692980,175,0,0,0,0,0,0,0.1,175.1,Funded,BIL (GEN)
203,Boonton Town,1401001-005,Boonton Town - LSLR and Water Main Replacements,6600,2000000,234000,2600000,175,0,0,0,0,0,0,0.1,175.09532,Beyond 2026,BIL(GEN)
204,Chatham Borough,1404001-001,Lead Line Service Replacements,9212,8000000,330000,9735000,175,0,0,0,0,0,0,0.09,175.08962,2026,BIL (GEN)
205,Aqua New Jersey Incorporate,1107002-001,Lead Service Line Replacements Lawrenceville,33472,1000000,220000,1278124,175,0,0,0,0,0,0,0.09,175.08655,Beyond 2026,BIL(GEN)
207,Glen Ridge Borough,0708001-009,GR-Lead Service Lines Replacement (Main to Dwelling) - Phase 1,7527,2000000,950000,2960000,175,0,0,0,0,0,0,0.08,175.07681,Beyond 2026,BIL (GEN)
208,Keyport Borough,1322001-001,Lead Service Line Project,7204,10000000,60000,12000000,175,0,0,0,0,0,0,0.08,175.075,Beyond 2026,IL (GEN)/ BIL (LSLR)
209,Bayonne City,0901001-005,City of Bayonne Lead Service Line Replacement Project,71686,19000000,105000,22800000,175,0,0,0,0,0,0,0.06,175.063,Funded,IL (GEN)/ BIL (LSLR)
210,Hightstown Borough,1104001-013,Improvements to Maxwell Avenue,5855,1000000,700000,1355000,175,0,0,0,0,0,0,0.05,175.054,2026,BIL (GEN)
211,Ho-Ho-Kus Borough,0228001-003,Lead Service Line Replacement Program,4222,7587600,838000,9105120,175,0,0,0,0,0,0,0.04,175.0406,Beyond 2026,BIL (GEN)
212,Longport Borough,0115001-001,Lead Service Line Replacement - Phase I,3851,9248800,340000,13098560,175,0,0,0,0,0,0,0.04,175.03851,2026,BIL (GEN)
213,"Fayson Lake Water Company, Incorporated",1415001-002,FLWC 2023 Water Main Replacement,3010,1401800,631800,1682160,175,0,0,0,0,0,0,0.03,175.0301,Beyond 2026,BIL (GEN)
214,Swedesboro Borough,0817001-001,Lead Service Water Line Abatement,2000,12010390,950000,16128238,175,0,0,0,0,0,0,0.03,175.02824,Beyond 2026,BIL (GEN)
215,Hampton Borough,1013001-002,Hampton Borough - Galvanized Service Line Replacement,1400,770000,6970301,974000,175,0,0,0,0,0,0,0.01,175.01401,Beyond 2026,BIL (GEN)
216,Weymouth Township Municipal Utilities Authority,0123001-001,WTMUA Water Line Replacement,600,4896800,1512000,5876160,175,0,0,0,0,0,0,0.01,175.0072,Beyond 2026,BIL (GEN)
216,Weymouth Township Municipal Utilities Authority,0123001-002,Weymouth Township MUA - Water Meter Replacement Program,240,975000,275641,1220000,175,0,0,0,0,0,0,0.01,175.0072,Beyond 2026,BIL(GEN)
218,"NJ American Water Company, Inc.",2004002-014,RMWTP LT2ESWWTR and Filter Rehabilitation,44464,31209707,3088865,37983523,100,50,20,0,0,0,0,3.15,173.15315,Beyond 2026,BIL(GEN)
219,Passaic Valley Water Commission,1605002-033,PVWC Water Meter Replacement Main System,156452,4000000,584000,4838000,25,80,15,0,0,0,0,3.1,173.10483,Funded,BIL (GEN)
220,Jersey City Municipal Utilities Authority,0906001-019,Route 139 Water Main Replacement Project,262000,5000000,1060000,6060000,75,50,20,5,5,0,15,2.62,172.62,Funded,BIL (GEN)
221,Wildwood City,0514001-006,2019 Capital Improvements (Drinking Water),94333,4756510,478605,6183203,75,0,15,0,0,0,80,0.94,170.94333,Funded,BIL (GEN)
222,Sayreville Borough,1219001-011,Water Treatment Plant Chemical Feed Upgrades,44243,2000000,1965000,2600000,160,0,0,0,5,0,0,0.44,170.43761,Beyond 2026,BIL (GEN)
223,Montclair Township,0713001-012,Montclair Township - PFOAS and Perchlorate Treatment - Rand Well,3800,500000,,770000,160,0,0,5,0,0,0,0.38,170.37669,Beyond 2026,BIL (GEN)/ BIL (EC)
224,Manchester Township,1518005-001,Various main replacements,26877,243890,56585,300475,75,0,15,0,0,0,80,0.27,170.26877,Beyond 2026,BIL(GEN)
225,Collingswood Borough,0412001-001,Collingswood Comly Ave Water Plant,16904,7406390,80000,9219768,160,0,0,5,0,0,0,0.25,170.245,2026,BIL (GEN)/ BIL (EC)
227,South Orange Village,0719001-008,Well 17 Air Stripper,16198,332500,149625,482125,160,0,0,5,0,0,0,0.17,170.16965,Beyond 2026,BIL (GEN)/ BIL (EC)
228,Park Ridge Borough,0247001-002,Well 21 Treatment Plant Construction,16500,2303350,718150,2764020,160,0,0,5,0,0,0,0.16,170.16466,Funded,BIL (GEN)/ BIL (EC)
229,Lower Township Municipal Utilities Authority,0505002-004,Del Haven Water Main Expansion / Wildwood Water Utility Interconnect,7222,8550000,,10260000,125,0,15,0,0,0,30,0.07,170.07222,Funded,BIL (GEN)
230,Flemington Borough,1009001-009,Additional Water Tank and Improvements,4389,3500000,1450000,4950000,60,80,15,0,0,0,0,0.04,170.04388,Beyond 2026,BIL(GEN)
231,Seaside Park Borough,1527001-004,Well 10 Treatment Facility,1700,495000,99000,594000,40,50,0,0,0,0,80,0.02,170.017,Funded,BIL (GEN)
233,Arthur Road Well Association,1912007-001,Connection of this system to Hopatcong Borough,60,200000,299500,499500,170,0,0,0,0,0,0,0,170.0006,Beyond 2026,BIL(GEN)
234,North Jersey District Water Supply Commission,1613001-019,Ramapo Pump Station Improvements,872153,12000000,6750000,18750000,60,50,20,0,0,0,30,8.72,168.72153,Beyond 2026,BIL(GEN)
234,North Jersey District Water Supply Commission,1613001-021,Implementation of alternative energy generation systems at the Wanaque,872153,2500000,1790000,4290000,45,50,20,0,0,15,30,8.72,168.72153,Beyond 2026,BIL(GEN)
234,North Jersey District Water Supply Commission,1613001-035,Rehabilitation of Pump Stations,872153,1000000,5181742,6181742,60,50,20,0,0,0,30,8.72,168.72153,Beyond 2026,BIL(GEN)
235,"NJ American Water Company, Inc.",1345001-021,Swimming River WTP 2nd Clearwell,335449,16973964,5143230,22117194,100,50,0,0,0,0,15,3.35,168.35449,Funded,BIL (GEN)
236,Jersey City Municipal Utilities Authority,0906001-016,Large Valve Replacement Program- Phase 2,264290,6101000,1220200,7321200,75,0,20,5,5,0,0,2.64,167.6429,Beyond 2026,BIL(GEN)
237,Jersey City Municipal Utilities Authority,0906001-022,"Hackensack River 36"" Aqueduct replacement",270753,10000000,5910317,13330000,75,0,20,5,5,0,0,2.62,167.62,Beyond 2026,BIL (GEN)
237,Jersey City Municipal Utilities Authority,0906001-023,Phase 5A Water Project,262000,7750000,,9300000,75,0,20,5,5,0,0,2.62,167.62,2026,BIL (GEN)
237,Jersey City Municipal Utilities Authority,0906001-024,Phase 2A Water,250000,9700000,1800000,11640000,75,0,20,5,5,0,0,2.62,167.62,Funded,BIL (GEN)
237,Jersey City Municipal Utilities Authority,0906001-026,5-B Water Project,250000,6100000,725400,7320000,75,0,20,5,5,0,0,2.62,167.62,2026,BIL (GEN)
237,Jersey City Municipal Utilities Authority,0906001-027,PHASE 6B WATER MAIN REHABILITATION PROJECT,247597,6529990,,8140309,75,0,20,5,5,0,0,2.62,167.62,Beyond 2026,BIL (GEN)
237,Jersey City Municipal Utilities Authority,0906001-032,Van Horne Street Water Improvements,265549,3500000,226400,4200000,75,0,20,5,5,0,0,2.62,167.62,2026,BIL (GEN)
237,Jersey City Municipal Utilities Authority,0906001-033,Pine Street Area Water Improvements,5000,14412000,671200,19023840,75,0,20,5,5,0,0,2.62,167.62,2026,BIL (GEN)
239,Manchester Utilities Authority,1603001-004,Holland Christian Home Water Main Extension Project,175,700000,780000,975641,165,0,0,0,0,0,0,0.12,165.12,2026,BIL (GEN)/ BIL (EC)
240,Lower Township Municipal Utilities Authority,0505002-005,LCMR - Water Main Extension,884,2089560,3800000,2507472,165,0,0,0,0,0,0,0.1,165.10315,2026,BIL (GEN)
241,Passaic Valley Water Commission,1605002-020,Replacement of Prospect Park storage tank,347052,800000,560000,1360000,60,0,20,0,0,0,80,3.47,163.47052,Beyond 2026,BIL(GEN)
241,Passaic Valley Water Commission,1605002-023,Decommissing of Granite Avenue Tank,347052,1700000,1008000,2708000,60,0,20,0,0,0,80,3.47,163.47052,Beyond 2026,BIL(GEN)
242,Jersey City Municipal Utilities Authority,0906001-029,Phase 6A Water Rehabilitation,265510,15000000,,18800000,75,0,15,5,5,0,0,2.62,162.62,Beyond 2026,BIL (GEN)
243,Brick Township Municipal Utilities Authority,1506001-014,"Water Main Replacement on Cartagena Drive, Alhama Drive, Cadiz Drive,",86898,1600000,495000,2095000,75,50,20,0,0,0,15,0.87,160.86898,Funded,BIL (GEN)
244,Old Bridge Municipal Utilities Authority,1209002-015,Ticetown Road Project,67738,40000000,2163600,52000000,160,0,0,0,0,0,0,0.68,160.68,Beyond 2026,BIL (GEN)/ BIL (EC)
245,Parsippany Troy Hills Township,1429001-003,"Hills of Troy Water Treatment Plant (Wells 9, 10 & 18 PFAS Treatment)",56289,5000000,500000,6500000,160,0,0,0,0,0,0,0.5,160.504,Beyond 2026,BIL(GEN)
246,"NJ American Water Company, Inc.",0323001-005,Woodlane WTP Improvement Project,445702,7827100,650000,9392520,160,0,0,0,0,0,0,0.47,160.47427,2026,BIL (GEN)
247,Camden City,0408001-022,Install potable wells/flr elevations at Morris Delair WTP,46585,100000,1160000,1260000,15,80,15,0,0,0,0,0.47,160.46585,Beyond 2026,BIL (GEN)
248,Mount Laurel Township Municipal Utilities Authority,0324001-004,Elbo Lane WTP HVAC Replacement,46310,1466692,200000,1897630,160,0,0,0,0,0,0,0.42,160.41743,2026,BIL (GEN)
249,Aqua New Jersey Incorporate,1103001-004,AQUA Hamilton PFAS Treatment,39128,15000000,2236400,19500000,160,0,0,0,0,0,0,0.39,160.39128,Beyond 2026,BIL (GEN)/ BIL (EC)
250,Fair Lawn Borough,0217001-001,Fair Lawn Water Treatment Facility,34927,35000000,74250,45500000,160,0,0,0,0,0,0,0.31,160.31,Beyond 2026,BIL (GEN)/ BIL (EC)
251,Monroe Municipal Utilities Authority,0811002-002,Water Treatment System Rehabilitation,37117,1500000,7890000,1800000,160,0,0,0,0,0,0,0.26,160.2618,2026,BIL (GEN)
253,Manchester Township,1518005-005,"Wells 1, 2 ,3, 4 Treatment � ESA",9498,18715400,340000,22458480,160,0,0,0,0,0,0,0.23,160.231,Beyond 2026,BIL (GEN)/ BIL (EC)
254,Hamilton Township Municipal Utilities Authority,0112001-004,HTMUA WELL #8 REHABILITATION,23176,1352650,3992144,1655830,160,0,0,0,0,0,0,0.22,160.21719,Beyond 2026,BIL (GEN)
255,Point Pleasant Borough,1524001-002,Water Treatment Plant Filter Replacement,18651,2112000,1589180,2917840,160,0,0,0,0,0,0,0.2,160.196,Beyond 2026,BIL (GEN)
256,"Ocean Township, Ocean County",1520001-009,Pebble Beach Water Treatment Plant Replacement,8835,7845000,,9664000,160,0,0,0,0,0,0,0.15,160.15419,Beyond 2026,BIL(GEN)
257,Verona Township,0720001-006,LINN DRIVE WELLS,14460,2569000,1119528,3332800,160,0,0,0,0,0,0,0.14,160.13641,Funded,BIL (GEN)/ BIL (EC)
257,Verona Township,0720001-007,FAIRVIEW WELLS,14460,2948000,,3787600,160,0,0,0,0,0,0,0.14,160.13641,2026,BIL (GEN)/ BIL (EC)
258,Clinton Town,1005001-019,"Town of Clinton - Wells 11, 12R & 15 - PFAS Treatment Improvements",0,6000000,368700,7800000,160,0,0,0,0,0,0,0.13,160.125,Beyond 2026,BIL (GEN)/ BIL (EC)
