PWSID,Water System1,Population,Project MHI2,Project Unemp,Project Pop Trend,Adjustment,MHI Percent,OBC Percent,AC Score,2019 Score,Difference
NJ1015003,AQUA NJ INC - RIEGEL RIDGE,621,125038,0.032,-0.0046,-1,128.74,7.59,127.74,118.33,9.41
NJ1015004,AQUA NJ - FOX HILL,172,125038,0.032,-0.0046,-1,128.74,7.59,127.74,118.33,9.41
NJ1017001,VEOLIA WATER NEW JERSEY LAMBERTVILLE,3960,104163,0.027,0.0762,0,107.24,4.67,107.24,90.11,17.13
NJ1019001,AQUA NJ INC - BUNNVALE,252,131030,0.034,-0.0037,-1,134.91,7.26,133.91,136.93,-3.02
NJ1019003,CAMELOT AT SPRUCE RIDGE,85,131030,0.034,-0.0037,-1,134.91,7.26,133.91,136.93,-3.02
NJ1019311,LITTLE BROOK NURSING AND CONVALESCENT HOME,36,131030,0.034,-0.0037,-1,134.91,7.26,133.91,136.93,-3.02
NJ1020001,MILFORD W DEPT,1453,96535,0.0327,-0.0024,-1,99.39,4.95,98.39,109.68,-11.29
NJ1021363,HUNTERDON CARE CENTER,284,155925,0.029,0.0909,0,160.54,7.42,160.54,158.5,2.04
NJ1023001,STOCKTON WATER DEPARTMENT,650,100833,0.025,-0.0604,-1,103.82,18.32,102.82,117.78,-14.96
NJ1024001,NJ AMERICAN WATER - OLDWICK,246,176932,0.029,-0.0014,-1,182.17,4.41,181.17,173.63,7.54
NJ1025313,COUNTRY ARCH CARE CENTER,190,118370,0.034,0.0991,0,121.87,13.29,121.87,124.52,-2.65
NJ1101002,EAST WINDSOR MUA,25000,108060,0.025,0.0965,0,111.26,15.43,111.26,104.16,7.1
NJ1103001,AQUA NJ - HAMILTON SQUARE,39128,123804,0.0286,0.0958,0,127.47,2.81,127.47,129.42,-1.95
NJ1104001,HIGHTSTOWN WATER DEPARTMENT,5400,102917,0.024,0.0586,0,105.96,10.69,105.96,93.33,12.63
NJ1105001,HOPEWELL BORO W DEPT,2035,139585,0.023,-0.0328,-1,143.72,4.53,142.72,129.01,13.71
NJ1106001,WASHINGTON CROSSING PARK ESTATES,356,178631,0.022,-0.0459,-1,183.92,7.58,182.92,159.81,23.11
NJ1106002,MERCER COUNTY CORRECTIONAL CENTER,860,178631,0.022,-0.0459,-1,183.92,7.58,182.92,159.81,23.11
NJ1107001,LAWRENCEVILLE SCHOOL,1000,121792,0.027,-0.0432,-1,125.4,13.22,124.4,120.64,3.76
NJ1107002,AQUA NJ - LAWRENCE,8655,121792,0.027,-0.0432,-1,125.4,13.22,124.4,120.64,3.76
NJ1108001,PENNINGTON W DEPT,2600,166957,0.022,0.0901,0,171.9,5.14,171.9,154.43,17.47
NJ1111001,TRENTON WATER WORKS,217000,77058,0.034,-0.0073,-1,79.34,6.23,78.34,75.56,2.78
NJ1112001,ROBBINSVILLE TOWNSHIP - NEWTOWN VILLAGE,300,161526,0.023,0.1049,0,166.31,8.64,166.31,,
NJ1204001,EAST BRUNSWICK TWP WATER & SEWER UTILITY,48474,138003,0.03,0.0316,-1,142.09,11.63,141.09,135.43,5.66
NJ1205001,EDISON WATER UTILITY,35000,118699,0.028,0.064,0,122.21,13.98,122.21,120.92,1.29
NJ1206001,HELMETTA WATER DEPT,2000,104500,0.031,0.1188,0,107.59,11.82,107.59,109.16,-1.57
NJ1207001,HIGHLAND PARK W DEPT,14000,93927,0.03,0.0616,0,96.71,19.61,96.71,94.49,2.22
NJ1209002,OLD BRIDGE MUA,67215,98961,0.033,0.0292,-1,101.89,16.34,100.89,107.83,-6.94
NJ1212001,MILLTOWN W DEPT,7000,125043,0.028,0.0095,-1,128.74,15.16,127.74,119.14,8.6
NJ1213002,MONROE TOWNSHIP UTILITY DEPARTMENT,33402,107541,0.039,0.1849,-1,110.72,10.86,109.72,106.11,3.61
NJ1214001,NEW BRUNSWICK WATER DEPARTMENT,55000,57138,0.035,0.0107,-1,58.83,52.93,57.83,51.36,6.47
NJ1215001,NORTH BRUNSWICK WATER DEPARTMENT,41000,110285,0.034,0.0497,0,113.55,17,113.55,113.26,0.29
NJ1216001,PERTH AMBOY WATER DEPARTMENT,52328,56239,0.058,0.0737,-1,57.9,44.88,56.9,61.66,-4.76
NJ1219001,SAYREVILLE WATER DEPARTMENT,43761,95250,0.036,0.0424,-1,98.07,16.24,97.07,96.06,1.01
NJ1221004,SOUTH BRUNSWICK TOWNSHIP WATER DIVISION,45450,139974,0.0325,0.0691,0,144.12,4.65,144.12,141.41,2.71
NJ1223001,SOUTH RIVER W DEPT,16000,95981,0.053,-0.0086,-2,98.82,22.38,96.82,90.69,6.13
NJ1224001,SPOTSWOOD W DEPT,8300,100785,0.032,0.0028,-1,103.77,6.05,102.77,93.94,8.83
NJ1225001,MIDDLESEX WATER COMPANY,233376,111218,0.0337,0.0559,0,114.51,2.26,114.51,110.33,4.18
NJ1302001,ALLENTOWN WATER DEPT,2000,113466,0.028,0.0026,-1,116.82,4.4,115.82,123.29,-7.47
NJ1304001,ATLANTIC HIGHLANDS WATER,4385,118591,0.032,0.0108,-1,122.1,11.09,121.1,116.37,4.73
NJ1305001,AVON BY THE SEA WATER DE,5000,106563,0.028,0.0131,-1,109.72,13.17,108.72,107.88,0.84
NJ1306001,BELMAR WATER DEPT,20000,89736,0.034,0.0193,-1,92.39,13.65,91.39,101.81,-10.42
NJ1308001,BRIELLE WATER DEPT,4800,160845,0.034,0.0407,-1,165.6,6.15,164.6,163.65,0.95
NJ1309002,VEOLIA WATER NEW JERSEY - COLTS NECK,640,187969,0.03,-0.013,-1,193.53,7.83,192.53,205.79,-13.26
NJ1309415,BRANDYWINE ASSISTED LIVING AT COLTS NECK,85,187969,0.03,-0.013,-1,193.53,7.83,192.53,205.79,-13.26
NJ1312001,ENGLISHTOWN WATER DEPT,2504,101787,0.0335,0.125,0,104.8,14.48,104.8,108.73,-3.93
NJ1314001,FARMINGDALE WATER DEPT,1500,93523,0.041,0.1484,-1,96.29,12.75,95.29,74.67,20.62
NJ1315001,FREEHOLD BOROUGH WATER DEPARTMENT,11029,71367,0.0325,0.0212,-1,73.48,14.6,72.48,71.08,1.4
NJ1316001,FREEHOLD TWP WATER DEPT,29831,132500,0.031,-0.0076,-1,136.42,5.54,135.42,130.7,4.72
NJ1319003,ANGLE INN MOBILE HOME PARK,354,128177,0.035,0.052,0,131.97,13.48,131.97,123.27,8.7
NJ1319008,WINDING BROOK MHP,80,128177,0.035,0.052,0,131.97,13.48,131.97,123.27,8.7
NJ1319009,WINDING BROOK MHP SYSTEM 2,184,128177,0.035,0.052,0,131.97,13.48,131.97,123.27,8.7
NJ1319010,GREEN ACRES NJ MHC LLC,260,128177,0.035,0.052,0,131.97,13.48,131.97,123.27,8.7
NJ1321001,KEANSBURG WATER & SEWER DEPT.,10105,80144,0.051,-0.0289,-2,82.52,29.4,80.52,60.38,20.14
NJ1322001,KEYPORT WATER DEPT & SEWER DEPT,7500,75709,0.038,-0.0011,-1,77.95,26.2,76.95,70.5,6.45
NJ1326001,GORDONS CORNER WATER CO,46196,155654,0.031,0.0301,-1,160.26,4.24,159.26,155.89,3.37
NJ1326002,MANALAPAN TWP KNOB HILL,6600,147717,0.032,0.0311,-1,152.09,8.64,151.09,143.47,7.62
NJ1326004,VEOLIA WATER NEW JERSEY MATCHAPONIX,27100,132213,0.032,0.0144,-1,136.13,5.49,135.13,129.63,5.5
NJ1326005,MANALAPAN TWP- MILLHURST,2100,147717,0.032,0.0311,-1,152.09,8.64,151.09,143.47,7.62
NJ1326007,VEOLIA WATER MANALAPAN TRACEY STATION,800,147717,0.032,0.0311,-1,152.09,8.64,151.09,143.47,7.62
NJ1327001,MANASQUAN WATER DEPARTMENT,14000,130277,0.032,0.0101,-1,134.13,4.06,133.13,144.58,-11.45
NJ1328002,MARLBORO TOWNSHIP WATER UTILITY DIVISION,29480,170357,0.03,0.0292,-1,175.4,8.17,174.4,177.88,-3.48
NJ1329001,MATAWAN BOROUGH WATER DE,9084,124628,0.0338,0.0505,0,128.32,3.25,128.32,117.11,11.21
NJ1330002,ABERDEEN - CLIFFWOOD/CLIFFWOOD BEACH,6775,118082,0.0335,0.0486,0,121.58,7.06,121.58,118.91,2.67
NJ1330003,ABERDEEN- HIGH SCHOOL/OAKSHADE AREA,1992,118085,0.034,0.0679,0,121.58,14.12,121.58,118.91,2.67
NJ1330004,ABERDEEN - FRENEAU,286,118085,0.034,0.0679,0,121.58,14.12,121.58,118.91,2.67
NJ1332314,MILLSTONE MANOR,137,190559,0.031,-0.0227,-1,196.2,6.45,195.2,191.36,3.84
NJ1339001,NJ AMERICAN WATER - SHORELANDS,36164,134539,0.0368,0.0093,-1,138.52,2.38,137.52,134.94,2.58
NJ1340001,RED BANK WATER DEPT,12520,97204,0.026,0.0292,-1,100.08,9.04,99.08,92.91,6.17
NJ1341001,ROOSEVELT WATER DEPT,880,101339,0.032,-0.0583,-1,104.34,24.69,103.34,122.99,-19.65
NJ1344001,SEA GIRT WATER DEPT,2636,218438,0.029,0.0311,-1,224.9,1.53,223.9,170.3,53.6
NJ1345001,NJ AMERICAN WATER - COASTAL NORTH,335449,111272,0.0329,0.0482,0,114.56,0.6,114.56,108.23,6.33
NJ1346001,SHREWSBURY TWP C/O ALFRED VAIL MUTUAL ASSOC,499,77656,0.038,0.0528,0,79.95,26.48,79.95,75.05,4.9
NJ1347001,LAKE COMO WATER DEPT,3000,82500,0.037,-0.0304,-1,84.94,22.28,83.94,111.1,-27.16
NJ1348001,SPRING LAKE WATER DEPARTMENT,11270,157250,0.033,-0.0681,-1,161.9,7.07,160.9,100.12,60.78
NJ1349001,BOROUGH OF SPRINGLAKE HEIGHTS,5000,104143,0.033,0.0433,-1,107.22,7.22,106.22,101.65,4.57
NJ1350001,NJ AMERICAN WATER - UNION BEACH,6000,124828,0.045,-0.0843,-2,128.52,6.16,126.52,101.73,24.79
NJ1352003,WALL TWP WATER DEPT,26000,137165,0.033,0.0138,-1,141.22,9,140.22,125.32,14.9
NJ1352005,NJ WATER SUPPLY AUTHORITY MANASQUAN,30,137165,0.033,0.0138,-1,141.22,9,140.22,125.32,14.9
NJ1401001,BOONTON WATER DEPT,9532,96500,0.031,0.0504,0,99.36,20.33,99.36,102.09,-2.73
NJ1401002,BOONTON TWP WATER DEPT,305,168558,0.035,0.0199,-1,173.55,3.88,172.55,161.77,10.78
NJ1403001,BUTLER WATER DEPT,7630,109118,0.0358,-0.0133,-1,112.35,3.35,111.35,112.34,-0.99
NJ1404001,CHATHAM WATER DEPT,8962,250000,0.023,0.0247,-1,257.4,4.32,256.4,224.61,31.79
NJ1406002,WINDY ACRES MOBILE HOME,100,142857,0.027,0.009,-1,147.08,12.99,146.08,122.76,23.32
NJ1407001,AWM FOUR SEASONS AT CHESTER,447,221176,0.031,-0.0217,-1,227.72,4.07,226.72,195.49,31.23
NJ1408001,DENVILLE TWP WATER DEPT,15881,157238,0.031,0.0425,-1,161.89,1.25,160.89,147.77,13.12
NJ1409001,DOVER WATER COMMISSION,27806,82389,0.035,0.0571,0,84.83,6.41,84.83,93.6,-8.77
NJ1410001,EAST HANOVER TWP WATER DEPT,11393,143365,0.033,-0.0071,-1,147.61,5.18,146.61,158.56,-11.95
NJ1411001,FLORHAM PARK WATER DEPT,8846,141620,0.032,0.1312,0,145.81,7.29,145.81,149.24,-3.43
NJ1413001,LAKESHORE COMPANY,270,147344,0.03,0.0101,-1,151.7,18.52,150.7,164.64,-13.94
NJ1414003,JEFFERSON TWP W U MILTON SYSTEM,4500,120060,0.04,-0.0402,-2,123.61,11.25,121.61,124.39,-2.78
NJ1414006,LOZIERS TRAILER PARK,50,120060,0.04,-0.0402,-2,123.61,11.25,121.61,124.39,-2.78
NJ1414008,OAK RIDGE MOBILE HOME PARK,100,120060,0.04,-0.0402,-2,123.61,11.25,121.61,124.39,-2.78
NJ1414011,JEFFERSON TWP WATER UTILITY LAKE HOPATCONG,8500,120060,0.04,-0.0402,-2,123.61,11.25,121.61,124.39,-2.78
NJ1414016,JEFFERSON TWP W U VASSAR ROAD,90,120060,0.04,-0.0402,-2,123.61,11.25,121.61,124.39,-2.78
NJ1415001,FAYSON LAKES WATER COMPANY INC,3010,170905,0.033,-0.0198,-1,175.96,4.01,174.96,184.35,-9.39
NJ1415002,KINNELON WATER DEPT,1938,170905,0.033,-0.0198,-1,175.96,4.01,174.96,184.35,-9.39
NJ1416001,BOROUGH OF LINCOLN PARK WATER DEPT,11000,112056,0.039,0.0393,-2,115.37,12.09,113.37,112.79,0.58
NJ1416004,BOROUGH OF LINCOLN PARK JACKSONVILLE SYST,300,112056,0.039,0.0393,-2,115.37,12.09,113.37,112.79,0.58
NJ1417001,MADISON WATER DEPT,15820,163567,0.03,0.0162,-1,168.41,7.2,167.41,171.46,-4.05
NJ1420001,MINE HILL TWP WATER DEPT,4300,110208,0.04,0.0925,-1,113.47,10.6,112.47,106.01,6.46
NJ1421003,MONTVILLE TWP MUA,22000,161108,0.03,0.039,-1,165.88,6.64,164.88,169.44,-4.56
NJ1421305,SIGNATURE CARE HOME @ MONTVILLE,46,161108,0.03,0.039,-1,165.88,6.64,164.88,169.44,-4.56
NJ1422001,SISTERS OF CHARITY OF SE,1100,186783,0.028,0.0359,-1,192.31,12.32,191.31,177.05,14.26
NJ1424001,SOUTHEAST MORRIS COUNTY MUA,62053,150854,0.0284,0.0484,0,155.32,1.97,155.32,148.63,6.69
NJ1425001,MOUNTAIN LAKES WATER DEP,4012,249598,0.0313,0.0452,-1,256.98,1.62,255.98,282.95,-26.97
NJ1426002,MOUNT ARLINGTON DPW KADEL SYS,1053,95431,0.038,0.1521,0,98.25,22.25,98.25,90.38,7.87
NJ1426004,VEOLIA WATER NEW JERSEY ARLINGTON HILLS,1989,95431,0.038,0.1521,0,98.25,22.25,98.25,90.38,7.87
NJ1426005,MOUNT ARLINGTON BORO DPW MAIN,1978,95431,0.038,0.1521,0,98.25,22.25,98.25,90.38,7.87
NJ1427001,MT OLIVE VILLAGES WATER,5000,107632,0.033,0.0181,-1,110.82,14.72,109.82,103.32,6.5
NJ1427002,MOUNT OLIVE TWP - GOLDMINE SYSTEM,267,107632,0.033,0.0181,-1,110.82,14.72,109.82,103.32,6.5
NJ1427005,MOUNT OLIVE TWP - FLANDERS,7887,107632,0.033,0.0181,-1,110.82,14.72,109.82,103.32,6.5
NJ1427006,MOUNT OLIVE TWP - SAND,744,107632,0.033,0.0181,-1,110.82,14.72,109.82,103.32,6.5
NJ1427007,MOUNT OLIVE TWP - VILLAGE,3600,107632,0.033,0.0181,-1,110.82,14.72,109.82,103.32,6.5
NJ1427008,MOUNT OLIVE TWP - PINECREST,648,107632,0.033,0.0181,-1,110.82,14.72,109.82,103.32,6.5
NJ1427009,NJ AMERICAN WATER - MOUNT OLIVE - WEST JERSEY,837,107632,0.033,0.0181,-1,110.82,14.72,109.82,103.32,6.5
NJ1427010,NJ VASA HOME WATER SYS,125,107632,0.033,0.0181,-1,110.82,14.72,109.82,103.32,6.5
NJ1427012,MOUNT OLIVE TWP - LYNWOOD,57,107632,0.033,0.0181,-1,110.82,14.72,109.82,103.32,6.5
NJ1427014,MOUNT OLIVE TWP - CARLTON HILLS,267,107632,0.033,0.0181,-1,110.82,14.72,109.82,103.32,6.5
NJ1427015,MOUNT OLIVE TWP - TINC FARM,597,107632,0.033,0.0181,-1,110.82,14.72,109.82,103.32,6.5
NJ1427017,NJ AMERICAN WATER - ITC,6463,107632,0.033,0.0181,-1,110.82,14.72,109.82,103.32,6.5
NJ1427018,MORRIS CHASE/MORRIS HUNT PCWS,1080,107632,0.033,0.0181,-1,110.82,14.72,109.82,103.32,6.5
NJ1428001,NETCONG WATER DEPT,3342,83438,0.0393,0.0454,-2,85.91,7.59,83.91,80.67,3.24
NJ1429001,TWP OF PARSIPPANY-TROY HILLS WATER DEPARTMEN,50400,109408,0.0295,0.0695,0,112.65,5.6,112.65,119.25,-6.6
NJ1431001,PEQUANNOCK TWP WATER DEPARTMENT,14010,114755,0.036,0.0222,-1,118.15,5.84,117.15,122.54,-5.39
NJ1431002,PEQUANNOCK TWP WD-CEDAR CREST,1463,114751,0.036,0.0222,-1,118.15,5.84,117.15,122.53,-5.38
NJ1432001,MORRIS COUNTY MUA,32980,171577,0.03,0.0273,-1,176.65,9.72,175.65,166.12,9.53
NJ1432003,RANDOLPH TWP PUBLIC WORKS DEPT,14820,171577,0.03,0.0273,-1,176.65,9.72,175.65,166.12,9.53
NJ1433001,RIVERDALE BORO WATER DEP,2850,103214,0.029,0.0037,-1,106.27,15.98,105.27,129.82,-24.55
NJ1434001,ROCKAWAY BORO WATER DEPT,7066,103009,0.031,0.0371,-1,106.06,5.95,105.06,115.98,-10.92
NJ1435001,HOFFMAN HOMES COMMUNITY LLC,120,137260,0.03,0.0695,0,141.32,8.74,141.32,130.24,11.08
NJ1435002,ROCKAWAY TWP WATER DEPT,14000,137260,0.03,0.0695,0,141.32,8.74,141.32,130.24,11.08
NJ1436002,NJ AMERICAN WATER - ROXBURY,11793,123527,0.035,-0.0115,-1,127.18,11.26,126.18,132.68,-6.5
NJ1436003,ROXBURY TWP W DEPT-SHORE,5153,118942,0.0365,0.0703,0,122.46,6.53,122.46,126.61,-4.15
NJ1436004,ROXBURY TWP W DEPT-SKY V,4478,123527,0.035,-0.0115,-1,127.18,11.26,126.18,132.68,-6.5
NJ1436006,ROXBURY TWP W DEPT-EVERGREEN,90,123527,0.035,-0.0115,-1,127.18,11.26,126.18,132.68,-6.5
NJ1438001,AQUA NJ CLIFFSIDE PARK,80,167027,0.031,0.0034,-1,171.97,4.32,170.97,164.93,6.04
NJ1438003,WASHINGTON TWP MUA-HAGER,3458,174676,0.0293,-0.0065,-1,179.84,2.69,178.84,171.3,7.54
NJ1438004,WASHINGTON TWP MUA-SCHOOLEYS MOUNTAIN,4866,176351,0.032,-0.0272,-1,181.57,8.07,180.57,173.94,6.63
NJ1438006,SHERWOOD VILLAGE,75,176351,0.032,-0.0272,-1,181.57,8.07,180.57,173.94,6.63
NJ1439001,WHARTON WATER DEPT,6342,91658,0.0383,0.0888,0,94.37,8.14,94.37,92.93,1.44
NJ1501001,BARNEGAT LIGHT WATER DEP,4148,93958,0.025,0.1237,0,96.74,31.69,96.74,84.52,12.22
NJ1503001,BOROUGH OF BEACH HAVEN,20000,110815,0.048,-0.0913,-2,114.09,13.17,112.09,112.89,-0.8
NJ1504001,BEACHWOOD WATER DEPT,10802,99099,0.039,0.0097,-2,102.03,15.78,100.03,92.59,7.44
NJ1505002,AQUA NJ - EASTERN DIVISION,12000,63200,0.051,0.0824,-1,65.07,21.97,64.07,63.45,0.62
NJ1505003,SHORE WATER COMPANY,6600,63200,0.051,0.0824,-1,65.07,21.97,64.07,63.45,0.62
NJ1505004,BERKELEY TWP MUA,11235,63200,0.051,0.0824,-1,65.07,21.97,64.07,63.45,0.62
NJ1506001,BRICK TOWNSHIP MUA,86898,91952,0.038,0.0114,-1,94.67,16.9,93.67,90.84,2.83
NJ1507005,VEOLIA WATER NEW JERSEY TOMS RIVER,123184,87110,0.0483,0.0661,-1,89.69,6.29,88.69,87.94,0.75
NJ1508001,OAKS MOBILE HOME PARK LLC,80,93438,0.044,0.1036,-1,96.2,25.83,95.2,87.75,7.45
NJ1509001,HARVEY CEDARS WATER DEPT,6360,125313,0.034,0.176,0,129.02,10.86,129.02,112.72,16.3
NJ1510001,ISLAND HEIGHTS WATER DEP,1750,105089,0.035,0.0392,-1,108.2,3.22,107.2,108.81,-1.61
NJ1511001,JACKSON TWP MUA,35424,107909,0.033,0.0868,0,111.1,15.52,111.1,110.52,0.58
NJ1511002,JACKSON ACRES MHP,440,107909,0.033,0.0868,0,111.1,15.52,111.1,110.52,0.58
NJ1511003,LAND O PINES MOBILE HOME PARK,128,107909,0.033,0.0868,0,111.1,15.52,111.1,110.52,0.58
NJ1511004,MAPLE GLEN MOBILE HOME PARK,120,107909,0.033,0.0868,0,111.1,15.52,111.1,110.52,0.58
NJ1511005,OAK TREE MOBILE HOME PARK,282,107909,0.033,0.0868,0,111.1,15.52,111.1,110.52,0.58
NJ1511007,SILVER PINE PARK LAND LLC,92,107909,0.033,0.0868,0,111.1,15.52,111.1,110.52,0.58
NJ1511008,SOUTH WIND MOBILE HOME V,625,107909,0.033,0.0868,0,111.1,15.52,111.1,110.52,0.58
NJ1511011,ALL SEASONS MHP,126,107909,0.033,0.0868,0,111.1,15.52,111.1,110.52,0.58
NJ1511013,FOUNTAINHEAD PARKS INC,280,107909,0.033,0.0868,0,111.1,15.52,111.1,110.52,0.58
NJ1511016,MEADOWBROOK CO-OP INC,150,107909,0.033,0.0868,0,111.1,15.52,111.1,110.52,0.58
NJ1512001,LACEY TWP MUA,29000,96525,0.038,0.0618,0,99.38,14.44,99.38,98.2,1.18
NJ1513001,LAKEHURST WATER DEPT,2650,78525,0.048,0.0201,-2,80.85,35.36,78.85,79.15,-0.3
NJ1514002,LAKEWOOD TWP MUA,21750,59054,0.032,0.4695,0,60.8,53.87,60.8,60.17,0.63
NJ1515001,LAVALLETTE WATER DEPT,25000,108750,0.036,-0.0155,-1,111.97,9.58,110.97,89.67,21.3
NJ1516001,LITTLE EGG HARBOR TWP MU,24215,84258,0.0435,0.0751,-1,86.75,10.2,85.75,77.41,8.34
NJ1517001,LONG BEACH TWP BRANT BEACH,25295,110938,0.046,0.0281,-2,114.22,8.52,112.22,100.35,11.87
NJ1517002,LONG BEACH TWP WATER DEPT HOLGATE,2000,110938,0.046,0.0281,-2,114.22,8.52,112.22,100.35,11.87
NJ1517003,LONG BEACH TWP NORTH BEACH,800,110938,0.046,0.0281,-2,114.22,8.52,112.22,100.35,11.87
NJ1517004,LONG BEACH TWP LOVE LADIES SOUTH,150,110938,0.046,0.0281,-2,114.22,8.52,112.22,100.35,11.87
NJ1517005,LONG BEACH TWP LOVE LADIES NORTH,150,110938,0.046,0.0281,-2,114.22,8.52,112.22,100.35,11.87
NJ1517006,LONG BEACH TWP HIGH BAR HARBOR,1230,110938,0.046,0.0281,-2,114.22,8.52,112.22,100.35,11.87
NJ1518002,CEDAR GLEN LAKES WATER C,2126,53442,0.053,0.0746,-1,55.02,25.58,54.02,50.47,3.55
NJ1518003,CEDAR GLEN WEST WATER CO,1300,53442,0.053,0.0746,-1,55.02,25.58,54.02,50.47,3.55
NJ1518004,MANCHESTER TWP WATER - WESTERN,15613,53442,0.053,0.0746,-1,55.02,25.58,54.02,50.47,3.55
NJ1518005,MANCHESTER TWP WATER UTILITY - EASTERN,21200,53442,0.053,0.0746,-1,55.02,25.58,54.02,50.47,3.55
NJ1518010,MANCHESTER VILLAGE,208,53442,0.053,0.0746,-1,55.02,25.58,54.02,50.47,3.55
NJ1520001,OCEAN TWP DEPT OF UTILITIES,15419,96605,0.044,0.1186,-1,99.46,8.82,98.46,82.08,16.38
NJ1521001,OCEAN GATE WATER DEPT,3200,67645,0.049,0.0377,-2,69.65,8.25,67.65,66.27,1.38
NJ1522001,PINE BEACH WATER DEPT,2130,116518,0.03,0.0291,-1,119.97,8.88,118.97,107.83,11.14
NJ1523001,COLLIER MILLS MOBILE PARK INC,100,86906,0.039,0.0108,-2,89.48,13.42,87.48,109.33,-21.85
NJ1523002,JENSEN'S RUN,400,86906,0.039,0.0108,-2,89.48,13.42,87.48,109.33,-21.85
NJ1523003,NJ AMERICAN WATER - NEW EGYPT,1271,86906,0.039,0.0108,-2,89.48,13.42,87.48,109.33,-21.85
NJ1523004,OAK GROVE MHP,100,86906,0.039,0.0108,-2,89.48,13.42,87.48,109.33,-21.85
NJ1524001,POINT PLEASANT WATER DEPARTMENT,19600,106203,0.035,0.0572,0,109.35,10.98,109.35,114.43,-5.08
NJ1525001,POINT PLEASANT BEACH WATER DEPARTMENT,12000,119489,0.033,0.0516,0,123.02,8.37,123.02,119.85,3.17
NJ1526001,SEASIDE HEIGHTS WATER DE,20000,51365,0.054,-0.0249,-2,52.88,24.94,50.88,65.96,-15.08
NJ1527001,SEASIDE PARK WATER DEPT,15000,80658,0.042,-0.0618,-2,83.04,18.23,81.04,89.07,-8.03
NJ1528001,SHIP BOTTOM WATER DEPART,15000,95208,0.033,-0.0219,-1,98.03,9.15,97.03,96.78,0.25
NJ1530003,STAFFORD TWP MUA CEDAR B,224,102500,0.04,0.1196,-1,105.53,13.18,104.53,94.66,9.87
NJ1530004,STAFFORD TWP WATER - BEACH HAVEN WEST,28863,102500,0.04,0.1196,-1,105.53,13.18,104.53,94.66,9.87
NJ1530005,STAFFORD TWP MUA FAWN LA,1740,102500,0.04,0.1196,-1,105.53,13.18,104.53,94.66,9.87
NJ1531001,SURF CITY WATER DEPT,10000,110750,0.038,0.0929,0,114.03,9.51,114.03,103.95,10.08
NJ1532002,BOROUGH OF TUCKERTON,6285,80957,0.04,0.0961,-1,83.35,15.81,82.35,69.44,12.91
NJ1533001,BARNEGAT TWP WATER & SEWER UTILITIES,20000,82927,0.047,0.177,-1,85.38,23.34,84.38,85.22,-0.84
NJ1533002,PINEWOOD ESTATES-BRIGHTN,1493,82927,0.047,0.177,-1,85.38,23.34,84.38,85.22,-0.84
NJ1601001,BLOOMINGDALE WATER DEPT,7742,125865,0.042,-0.0099,-2,129.59,13.98,127.59,108.8,18.79
NJ1603001,MANCHESTER UTILITIES AUTHORITY,12000,108576,0.0455,0.0224,-2,111.79,2.95,109.79,94.68,15.11
NJ1604001,HAWTHORNE WATER DEPARTMENT,19458,106413,0.034,0.0355,-1,109.56,2.19,108.56,114.05,-5.49
NJ1605001,NJ AMERICAN WATER - LITTLE FALLS,11247,115311,0.0353,0.0471,0,118.72,2.77,118.72,114.31,4.41
NJ1605002,PASSAIC VALLEY WATER COMMISSION,310483,65148,0.051,0.0532,-1,67.08,8.12,66.08,59.05,7.03
NJ1606301,HOLLAND CHRISTIAN HOME,250,128472,0.035,0.0155,-1,132.27,8.33,131.27,119.89,11.38
NJ1609001,POMPTON LAKES MUA,11435,113781,0.032,-0.0197,-1,117.15,14.37,116.15,118.09,-1.94
NJ1611002,RINGWOOD WATER DEPARTMENT,9327,141800,0.034,-0.068,-1,146,9.01,145,146.19,-1.19
NJ1612001,TOTOWA WATER DEPT,10804,112097,0.047,-0.0028,-2,115.41,12.44,113.41,122.92,-9.51
NJ1613001,N.J.D.W.S.C.,150,108650,0.035,-0.0299,-1,111.87,12.85,110.87,110.47,0.4
NJ1613002,WANAQUE WATER DEPARTMENT,10266,108747,0.0345,-0.0489,-1,111.96,6.42,110.96,110.57,0.39
NJ1614001,TOWNSHIP OF WAYNE - DIV OF WATER AND SEWER,55000,147740,0.033,-0.0357,-1,152.11,8.06,151.11,142.53,8.58
NJ1615001,VEOLIA WATER NEW JERSEY - BIRCH HILL,180,120465,0.035,-0.0761,-1,124.03,11.16,123.03,116.85,6.18
NJ1615002,VEOLIA WATER NEW JERSEY - GREENBROOK ESTATES,600,120465,0.035,-0.0761,-1,124.03,11.16,123.03,116.85,6.18
NJ1615003,PASSAIC VALLEY WATER HIGH CREST,1132,120465,0.035,-0.0761,-1,124.03,11.16,123.03,116.85,6.18
NJ1615006,VEOLIA WATER NEW JERSEY - PARKWAY,92,120465,0.035,-0.0761,-1,124.03,11.16,123.03,116.85,6.18
NJ1615008,PVWC-POSTBROOK,458,120465,0.035,-0.0761,-1,124.03,11.16,123.03,116.85,6.18
NJ1615009,REFLECTION LAKES GARDEN APARTMENTS,40,120465,0.035,-0.0761,-1,124.03,11.16,123.03,116.85,6.18
NJ1615012,VEOLIA WATER NEW JERSEY - AWOSTING,633,120465,0.035,-0.0761,-1,124.03,11.16,123.03,116.85,6.18
NJ1615014,VEOLIA WATER NEW JERSEY - CRESCENT PARK,700,120465,0.035,-0.0761,-1,124.03,11.16,123.03,116.85,6.18
