Rank,Project Sponsor2,Project Number,Project Name,Populatio,Building Cost,Support Cost,Estimated Cost,Cat A,Cat B,Cat C.a,Cat C.b,Cat C.c,Cat C.d,Cat D,Cat E,Rank Poin,Actual/ Anticipated Funding Status,BIL Eligibility
76,Livingston Township,0710001-002,"Livingston PFAS Treatment - Phase B (Wells 10, 12)",29366,"$ 3,200,000","$ 2,310,759","$ 4,239,775",250,0,0,0,0,0,0,0.27,250.27391,Funded,BIL (EC)
76,Livingston Township,0710001-003,"Dorsa Wells - PFAS and 1,4-Dioxane Treatment",29366,"$ 14,000,000","$ 61,618","$ 17,643,300",250,0,0,0,0,0,0,0.27,250.27391,Funded,BIL (EC)
17,Orange City,0717001-013,Orange Twp | Well 5 Rehabilitation Project,30731,"$ 500,000","$ 173,000","$ 700,000",250,0,0,5,5,0,80,0.30,340.30134,Funded,BIL (GEN)
257,Verona Township                                                                     0720001-006,0720001-006,LINN DRIVE WELLS,14460,"$ 2,569,000","$ 1,119,528","$ 3,332,800",160,0,0,0,0,0,0,0.14,160.13641,Funded,BIL (EC)
530,Deptford Township Municipal Utilities Authority                0802001-002,0802001-002,Water Main Replacement at East Woodbury,30590,"$ 1,122,360",,"$ 1,531,832",75,0,0,0,0,0,0,0.31,75.30561,Funded,BIL (GEN)
530,Deptford Township Municipal Utilities Authority                0802001-003,0802001-003,Water Main Replacement at Country Club Estates,30590,"$ 893,481","$ 231,180","$ 1,188,377",75,0,0,0,0,0,0,0.31,75.30561,Funded,BIL (GEN)
314,Jersey City Municipal Utilities Authority                               0906001-009,0906001-009,Burma Road Area Water System Improvements,262000,"$ 2,000,000","$ 770,000","$ 2,770,000",75,0,15,5,5,0,30,2.62,132.62,Funded,BIL (GEN)
358,Jersey City Municipal Utilities Authority                               0906001-020,0906001-020,Phase 3 and 4 Water Main Replacement Project,261666,"$ 2,973,465","$ 713,173","$ 3,686,638",75,0,15,5,5,0,15,2.62,117.61666,Funded,BIL (GEN)
358,Jersey City Municipal Utilities Authority                               0906001-021,0906001-021,Phase 5 Water Mains,261666,"$ 7,000,000","$ 1,547,000","$ 8,547,000",75,0,15,5,5,0,15,2.62,117.61666,Funded,BIL (GEN)
302,Jersey City Municipal Utilities Authority                               0906001-025,0906001-025,Phase 1 & 2 Water Main Replacement Project,264161,"$ 16,166,000","$ 3,345,200","$ 19,511,200",75,0,20,5,5,15,15,2.62,137.62,Funded,BIL (GEN)
545,Clinton Town                                                                            1005001-012,1005001-012,WQAA Implementation - Water Infrastructure Audit and Upgrade,12500,"$ 2,500,000",,"$ 3,220,000",75,0,0,0,0,0,0,0.13,75.125,Funded,BIL (GEN)
162,Allentown Borough                                                                 1302001-007,1302001-007,Water Treatment Plant Improvements Phase II,1734,"$ 2,000,000","$ 1,787,777","$ 2,720,000",160,0,20,0,0,0,0,0.02,190.02,Funded,BIL (GEN)
683,Brick Township Municipal Utilities Authority,1506001-016,Reservoir Infrastructure Mitigation Improvements Project,73620,"$ 9,100,000","$ 404,946","$ 11,124,000",15,0,20,0,0,0,0,0.87,50.86898,Funded,BIL (GEN)
534,Little Egg Harbor Municipal Utilities Authority                     1516001-007,1516001-007,Little Egg Harbor Water Improvements Phase II,24215,"$ 1,685,470","$ 190,000","$ 2,106,664",75,0,0,0,0,0,0,0.24,75.24215,Funded,BIL (GEN)
161,Seaside Heights Borough,1526001-002,Seaside Heights - Water System Improvements - Resiliency,7667,"$ 3,150,000","$ 510,360","$ 3,930,000",160,0,15,0,0,0,0,0.08,190.07667,Funded,BIL (GEN)
195,Hawthorne Borough                                                                1604001-003,1604001-003,Hawthorne Lead Water Service Line Replacement Phase 2,19360,"$ 2,250,000","$ 3,140,000","$ 2,745,000",175,0,0,0,0,0,0,0.19,175.19458,Funded,BIL (LSLR)
661,Brookwood Musconetcong River Property Owners Assoc 1904001-005,1904001-005,Tower Painting & Meter System,422,"$ 308,093","$ 648,000","$ 369,711",60,0,0,0,0,0,0,0.01,60.012,Funded,BIL (GEN)
840,High Bridge Borough,1014001-001,Asset Management Plan for the High Bridge Water System,3900,$                        -,"$ 25,000","$ 25,000",1,0,0,0,0,0,0,0.04,1.039,Funded,BIL (GEN)
811,Harvey Cedars Borough,1509001-002,Installation of a Water Monitoring Well,3165,"$ 719,000","$ 323,550","$ 1,042,550",15,0,0,0,0,0,0,0.03,15.03165,Funded,BIL (GEN)
806,Lavallette Borough,1515001-002,Replacement of Potable Water Supply - Well # 3,9525,"$ 3,000,000","$ 14,089,697","$ 3,750,000",15,0,0,0,0,0,0,0.10,15.09525,Funded,BIL (GEN)
804,Pemberton Township,0329004-001,Pinelands Water Infrastructure,2500,"$ 2,420,000","$ 1,167,000","$ 2,904,000",15,0,0,0,0,0,0,0.12,15.12378,Funded,BIL (GEN)
792,Hopatcong Borough,1912001-004,Small System Asset Management,7224,$                        -,"$ 100,000","$ 100,000",1,0,15,0,0,0,0,0.07,16.07224,Funded,BIL (GEN)
711,Tuckerton Borough,1532002-001,2022 Rehabilitation of Well #3 and Well #4,3347,"$ 210,000","$ 1,533,316","$ 255,200",15,0,15,0,0,0,0,0.06,45.06285,Funded,BIL (GEN)
681,Mount Arlington Borough,1426005-001,Rehabilitation of the Schmitz Terrace Stand Pipe,5187,"$ 2,060,000","$ 505,650","$ 2,565,650",1,50,0,0,0,0,0,0.05,51.05187,Funded,BIL (GEN)
672,Winslow Township                                                                  0436007-010,0436007-010,Well #2 Filter Plant Upgrade,39147,"$ 2,365,000","$ 762,000","$ 3,036,000",40,0,0,0,0,0,15,0.39,55.39147,Funded,BIL (GEN)
664,Rosemont Water Company                                                    1007002-004,1007002-004,Rosemont Water Company Emergency Well Pump Repair,0,"$ 23,000",,"$ 27,600",60,0,0,0,0,0,0,0.00,60.00256,Funded,BIL (GEN)
649,Washington Township Municipal Utilities Authority           1438004-001,1438004-001,WTMUA - Water Tank Rehabilitation & Well Sm-3 Decommissioni,7500,"$ 1,600,000","$ 1,004,000","$ 1,995,000",60,0,0,0,0,0,0,0.05,60.04866,Funded,BIL (GEN)
642,Clinton Town                                                                            1005001-013,1005001-013,Foster Wheeler Booster Pump Station Modifications - Asset Mana,214,"$ 2,190,000","$ 588,000","$ 2,778,000",60,0,0,0,0,0,0,0.13,60.125,Funded,BIL (GEN)
629,Willingboro Municipal Utilities Authority                             0338001-014,0338001-014,Water Tank 2 Edge Lane Rehab,31822,"$ 2,673,000","$ 6,610,500","$ 3,337,600",60,0,0,0,0,0,0,0.35,60.35,Funded,BIL (GEN)
603,"NJ American Water Company, Inc.                                        2004002-013",2004002-013,RM WTP Emergency Generator,44464,"$ 7,980,000","$ 2,683,600","$ 10,663,600",1,50,15,0,0,0,0,6.10,72.1,Funded,BIL (GEN)
591,Robbinsville Township                                                            1112001-001,1112001-001,Newtown Village Watermain Project,149,"$ 1,615,900","$ 1,558,612","$ 2,100,670",75,0,0,0,0,0,0,0.00,75.003,Funded,BIL (GEN)
583,Roosevelt Borough                                                                  1341001-007,1341001-007,"Homestead, Cedar and Elm Water Mains Project.",882,"$ 405,990","$ 125,700","$ 549,188",75,0,0,0,0,0,0,0.01,75.00882,Funded,BIL (GEN)
578,Farmingdale Borough                                                              1314001-002,1314001-002,Painting and repairs to water tower and other misc system impro,1329,"$ 685,000","$ 222,000","$ 907,000",60,0,0,0,0,0,15,0.01,75.01329,Funded,BIL (GEN)
565,North Caldwell Borough                                                         0715001-002,0715001-002,North Caldwell - East Greenbrook Watermain Replacement Projec,4000,"$ 1,500,000","$ 491,170","$ 2,000,000",75,0,0,0,0,0,0,0.06,75.06,Funded,BIL (GEN)
529,Edison Township                                                                      1205001-001,1205001-001,Water System Improvements,107588,"$ 7,000,000","$ 1,329,480","$ 8,810,000",75,0,0,0,0,0,0,0.35,75.35,Funded,BIL (GEN)
510,Shore Water Company                                                            1505003-001,1505003-001,Shore Water Co. Tank Painting and repair project,2467,"$ 400,000","$ 976,994","$ 490,000",60,0,20,0,0,0,0,0.02,80.02467,Funded,BIL (GEN)
484,Ship Bottom Borough                                                              1528001-004,1528001-004,Water Main Replacement Project,5762,"$ 3,294,705","$ 1,435,886","$ 4,053,646",75,0,0,0,0,0,15,0.06,90.05762,Funded,BIL (GEN)
466,Berkeley Township Municipal Utilities Authority                 1505323-001,1505323-001,Northern Blvd Water Tower Rehabilitation Project,10800,"$ 1,600,000","$ 847,266","$ 2,080,000",60,0,20,0,0,0,0,0.00,95.0015,Funded,BIL (GEN)
456,Hoboken City                                                                            0905001-003,0905001-003,Water Main Upgrades Phase II,54379,"$ 4,200,000","$ 3,178,333","$ 5,040,000",75,0,20,0,0,0,0,0.52,95.52,Funded,BIL (GEN)
453,Brick Township Municipal Utilities Authority                       1506001-009,1506001-009,Breton Woods Water Main Replacement - Phase I,100000,"$ 4,393,000","$ 1,535,760","$ 5,928,760",75,0,20,0,0,0,0,1.00,96,Funded,BIL (GEN)
435,Burlington City                                                                         0305001-003,0305001-003,Broad Street Water Tank Rehabilitation,9743,"$ 1,790,000","$ 3,317,576","$ 2,148,000",60,0,15,5,0,0,0,0.10,100.09835,Funded,BIL (GEN)
420,Middlesex Water Company                                                    1225001-025,1225001-025,Western Transmission Main,233376,"$ 29,000,000","$ 13,210,000","$ 42,210,000",30,50,15,5,0,0,0,2.33,102.33376,Funded,BIL (GEN)
414,Hightstown Borough                                                               1104001-011,1104001-011,"Hauser, Bennet and Prospect Water Mains",5304,"$ 468,825","$ 7,682,000","$ 609,472",75,0,15,0,0,0,0,0.05,105.054,Funded,BIL (GEN)
410,Newton Town                                                                           1915001-003,1915001-003,2023 Drinking Water Storage Tank,8300,"$ 135,000","$ 1,350,000","$ 175,500",60,0,20,0,0,0,0,0.08,105.083,Funded,BIL (GEN)
407,Stone Harbor Borough                                                            0510001-001,0510001-001,Water Main Replacement Project- Phase 1,10283,"$ 2,109,850","$ 1,366,190","$ 2,531,820",75,0,15,0,0,0,0,0.10,105.10284,Funded,BIL (GEN)
398,Cape May City                                                                          0502001-005,0502001-005,Water Main Improvement Program,14167,"$ 699,200",,"$ 1,041,040",75,0,15,0,0,0,0,0.14,105.14167,Funded,BIL (GEN)
376,Jersey City Municipal Utilities Authority                               0906001-015,0906001-015,Van Winkle Ave. Water Main Replacement,247597,"$ 2,799,120","$ 1,025,718","$ 3,824,838",75,0,20,0,0,0,15,2.47,112.47,Funded,BIL (GEN)
373,Allentown Borough                                                                 1302001-004,1302001-004,Water Treatment Plant Improvements,1828,"$ 1,628,000","$ 700,960","$ 2,328,960",100,0,15,0,0,0,0,0.02,115.01828,Funded,BIL (GEN)
345,Point Pleasant Beach Borough                                               1525001-002,1525001-002,Ocean Avenue Water Main Replacement,7733,"$ 2,160,000","$ 3,900,000","$ 2,756,800",75,50,0,0,0,0,0,0.08,125.07733,Funded,BIL (GEN)
344,Spotswood Borough                                                                1224001-001,1224001-001,"Cleaning and lining of approximaty 3,600 LF of water mains",8300,"$ 2,528,595","$ 915,319","$ 3,443,914",75,50,0,0,0,0,0,0.08,125.083,Funded,BIL (GEN)
343,Clinton Town                                                                            1005001-010,1005001-010,West Main Street Water Main Replacement Project - Asset Manag,12500,"$ 998,750","$ 449,437","$ 1,448,187",75,50,0,0,0,0,0,0.13,125.125,Funded,BIL (GEN)
333,Old Bridge Municipal Utilities Authority                               1209002-005,1209002-005,"Laurence Harbor Water System Upgrade, Phase 1",65375,"$ 1,753,990","$ 182,000","$ 2,315,267",75,50,0,0,0,0,0,0.67,125.67215,Funded,BIL (GEN)
317,"NJ American Water Company, Inc.                                        0712001-016",0712001-016,NJ American Water Lead Service Line Replacement Program PWSI,217230,"$ 2,805,000","$ 1,027,600","$ 3,832,600",125,0,0,5,0,0,0,1.75,131.74985,Funded,BIL (LSLR)
309,Willingboro Municipal Utilities Authority                             0338001-010,0338001-010,Well5A PFOS Treatment System Upgrade,34731,"$ 3,497,000","$ 15,118,649","$ 4,654,400",100,0,20,0,0,0,15,0.35,135.35,Funded,BIL (EC)
300,Upper Deerfield Township                                                      0613004-002,0613004-002,Seabrook Water Tower Replacement (Upper Deerfield),2964,"$ 1,615,000","$ 323,000","$ 1,938,000",60,80,0,0,0,0,0,0.02,140.02463,Funded,BIL (GEN)
298,Hightstown Borough                                                               1104001-009,1104001-009,Water Tank Painting & Repairs,5567,"$ 660,500","$ 762,700","$ 922,600",60,50,15,0,0,0,15,0.05,140.054,Funded,BIL (GEN)
287,Hawthorne Borough                                                                1604001-002,1604001-002,Hawthorne Water Utility PFAs Treatment,18775,"$ 3,500,000","$ 342,580","$ 4,750,000",100,50,0,0,0,0,0,0.19,150.19058,Funded,BIL (EC)
243,Brick Township Municipal Utilities Authority                       1506001-014,1506001-014,"Water Main Replacement on Cartagena Drive, Alhama Drive, Cadi",86898,"$ 1,600,000","$ 495,000","$ 2,095,000",75,50,20,0,0,0,15,0.87,160.86898,Funded,BIL (GEN)
235,"NJ American Water Company, Inc.                                        1345001-021",1345001-021,Swimming River WTP 2nd Clearwell,335449,"$ 16,973,964","$ 5,143,230","$ 22,117,194",100,50,0,0,0,0,15,3.35,168.35449,Funded,BIL (GEN)
229,Lower Township Municipal Utilities Authority                     0505002-004,0505002-004,Del Haven Water Main Expansion / Wildwood Water Utility Interc,7222,"$ 8,550,000",,"$ 10,260,000",125,0,15,0,0,0,30,0.07,170.07222,Funded,BIL (GEN)
228,Park Ridge Borough                                                                 0247001-002,0247001-002,Well 21 Treatment Plant Construction,16500,"$ 2,303,350","$ 718,150","$ 2,764,020",160,0,0,5,0,0,0,0.16,170.16466,Funded,BIL (GEN)
221,Wildwood City                                                                          0514001-006,0514001-006,2019 Capital Improvements (Drinking Water),94333,"$ 4,756,510","$ 478,605","$ 6,183,203",75,0,15,0,0,0,80,0.94,170.94333,Funded,BIL (GEN)
220,Jersey City Municipal Utilities Authority                               0906001-019,0906001-019,Route 139 Water Main Replacement Project,262000,"$ 5,000,000","$ 1,060,000","$ 6,060,000",75,50,20,5,5,0,15,2.62,172.62,Funded,BIL (GEN)
219,Passaic Valley Water Commission                                          1605002-033,1605002-033,PVWC Water Meter Replacement Main System,156452,"$ 4,000,000","$ 584,000","$ 4,838,000",25,80,15,0,0,0,0,3.10,173.10483,Funded,BIL (GEN)
192,Hackettstown Municipal Utilities Authority                         2108001-002,2108001-002,Lead Service Line Replacement,185,"$ 600,000",,"$ 807,800",125,50,0,0,0,0,0,0.22,175.22,Funded,BIL (LSLR)
191,Aqua New Jersey Incorporate                                                2119001-002,2119001-002,Lead Service Line Replacement Phillipsburg,14950,"$ 5,000,000","$ 1,750,000","$ 6,390,624",175,0,0,0,0,0,0,0.27,175.26686,Funded,BIL (LSLR)
181,Trenton City                                                                              1111001-013,1111001-013,TWW - Phase 4 LSL Replacement Project,91543,"$ 8,771,000",,"$ 10,525,200",175,0,0,0,0,0,0,2.17,177.17,Funded,BIL (LSLR)
162,Allentown Borough                                                                 1302001-006,1302001-006,"Improvements to Broad Street, Waker Avenue and Maiden Lane",1788,"$ 1,000,000","$ 1,735,000","$ 1,200,000",175,0,15,0,0,0,0,0.02,190.02,Funded,BIL (GEN)
159,"NJ American Water Company, Inc.",2004002-012,NJ American Water Lead Service Line Replacement Program PWSI,1,"$ 6,700,000","$ 2,274,000","$ 8,974,000",125,50,0,5,5,0,0,6.15,191.1543,Funded,BIL (LSLR)
158,Newark City,0714001-023,REHABILITATION OF PEQUANNOCK AQUEDUCTS,307220,"$ 17,715,500","$ 42,300","$ 21,537,700",75,80,15,5,5,0,0,2.94,192.94274,Funded,BIL (GEN)
145,Jersey City Municipal Utilities Authority,0906001-017,Boonton Plant Centrifuge,264290,"$ 1,450,200","$ 290,040","$ 1,740,240",100,50,15,0,0,0,30,2.62,197.62004,Funded,BIL (GEN)
139,East Greenwich Township,0803001-004,Installation of filtration system for PFC removal at #3 Well,9550,"$ 1,741,000","$ 539,200","$ 2,280,200",200,0,0,0,0,0,0,0.10,200.0955,Funded,BIL (EC)
127,Newton Town,1915001-001,2023 Drinking Water Improvements,8300,"$ 595,000","$ 1,190,000","$ 773,500",160,0,20,0,0,0,0,0.08,205.083,Funded,BIL (GEN)
109,High Bridge Borough,1014001-004,High Bridge Water System: Bunnvale Well Upgrades,3648,"$ 1,119,600","$ 112,000","$ 1,477,872",175,50,0,0,0,0,0,0.03,225.033,Funded,BIL (GEN)
102,East Orange City,0705001-014,Water System Improvement and Resiliency Project 2017,65078,"$ 19,520,000","$ 5,805,200","$ 25,325,200",100,50,0,5,0,0,80,0.75,235.75,Funded,BIL (GEN)
101,Brick Township Municipal Utilities Authority,1506001-011,Granular Activated Carbon (GAC) Treatment Addition,86898,"$ 16,000,000","$ 4,890,000","$ 20,890,000",200,0,20,0,0,0,15,0.87,235.86898,Funded,BIL (EC)
98,Newark City,0714001-024,Additional Filters at the Pequannock Water Treatment Plant,207700,"$ 8,610,816","$ 2,425,000","$ 10,357,979",160,80,0,0,0,0,0,3.94,243.94274,Funded,BIL (GEN)
93,Aqua New Jersey Incorporate,1911004-001,Summit Lake PFAS,117,"$ 1,500,000",,"$ 2,000,000",250,0,0,0,0,0,0,0.00,250.00177,Funded,BIL (EC)
92,"Lake Stockholm Systems, Inc.",1911002-001,"Lake Stockholm Systems, Inc., PFOA/PFOS removal for NJDEP com",400,"$ 750,000",,"$ 1,020,000",250,0,0,0,0,0,0,0.00,250.003,Funded,BIL (EC)
89,Ho-Ho-Kus Borough,0228001-002,Ho-Ho-Kus Water Treatment System,4078,"$ 1,500,000","$ 1,700,000","$ 2,110,000",250,0,0,0,0,0,0,0.04,250.0406,Funded,BIL (EC)
87,Waldwick Borough,0264001-003,Water Treatment Systems,9625,$                        -,"$ 855,640","$ 270,000",250,0,0,0,0,0,0,0.10,250.09653,Funded,BIL (EC)
78,Moorestown Township,0322001-001,North Church Street Water Treatment Plant Upgrade,20726,"$ 15,260,000","$ 4,601,000","$ 19,861,000",250,0,0,0,0,0,0,0.21,250.20726,Funded,BIL (EC)
65,Aqua New Jersey Incorporate,0415002-001,Aqua New Jersey Blackwood Lead Service Line Replacement,4545,"$ 10,000,000","$ 45,200","$ 12,780,000",175,80,0,0,0,0,0,0.44,255.44396,Funded,BIL (LSLR)
58,National Park Borough,0812001-005,Addition of PFOS Treatment at Exisiting Water Plant,2983,"$ 1,100,000","$ 770,000","$ 1,526,500",250,0,0,0,0,0,15,0.03,265.03144,Funded,BIL (EC)
40,Flemington Borough,1009001-010,Lead and Galvanized Water Service Test Pit and Replacement Proj,0,"$ 225,000","$ 850,000","$ 280,000",175,80,15,0,0,0,0,0.05,285.04581,Funded,BIL (LSLR)
36,Red Bank Borough,1340001-004,Red Bank Lead Service Line Replacement,13600,"$ 3,200,000","$ 2,837,700","$ 3,840,000",175,80,15,0,0,0,0,0.13,295.12521,Funded,BIL (LSLR)
35,Wildwood City,0514001-007,Wildwood Lead Service Replacement Program,70719,"$ 104,111,500","$ 741,500","$ 135,344,950",175,80,15,0,0,0,0,0.16,295.16499,Funded,BIL (LSLR)
30,"NJ American Water Company, Inc.",1345001-017,Oak Street Treatment Plant Improvements,290470,"$ 4,239,000","$ 2,763,840","$ 7,002,840",250,50,0,0,0,0,0,2.90,302.9047,Funded,BIL (GEN)
29,Bloomfield Township,0702001-003,Lead Service Line Replacement,47982,"$ 875,000","$ 440,000","$ 1,098,395",300,0,0,5,0,0,0,0.47,305.47315,Funded,BIL (LSLR)
25,Camden City,0408001-001,PFAS Treatment Improvements at Morris-Delair Water Treatment,54000,"$ 40,706,900","$ 4,520,000","$ 51,404,280",160,80,15,0,5,0,0,0.47,315.46585,Funded,BIL (EC)
24,New Brunswick City,1214001-005,Water Treatment Plant Improvements,50000,"$ 10,435,000","$ 3,443,100","$ 13,878,100",160,80,15,5,0,0,0,0.55,315.54999,Funded,BIL (GEN)
20,Atlantic City Municipal Utilities Authority,0102001-011,Lead Service Lines Replacement,108998,"$ 3,754,080",,"$ 4,504,896",175,80,15,0,0,0,0,1.09,321.08998,Funded,BIL (LSLR)
18,Newark City,0714001-022,PROCESS AND OPERATIONAL UPGRADES AT THE PEQUANNOCK W,280000,"$ 18,729,224","$ 191,411","$ 22,551,068",250,0,0,0,0,0,80,2.94,332.94274,Funded,BIL (GEN)
16,Lakewood Township Municipal Utilities Authority,1514002-001,LTMUA GAC Building (New Hampshire & Shorrock St),22000,"$ 10,281,500","$ 3,405,680","$ 12,599,300",250,80,20,0,0,0,0,0.28,350.27615,Funded,BIL (GEN)
14,Passaic Valley Water Commission,1605002-002,Lead Service Line Replacement in Main System,306707,"$ 21,918,500","$ 66,200","$ 26,302,200",250,0,15,0,5,0,80,3.10,353.10121,Funded,BIL (LSLR)
10,Newark City,0714001-019,Phase-1 Lead Service Line Replacement (LSLR) Project,280139,"$ 6,000,000","$ 1,528,353","$ 7,528,353",250,50,15,0,5,0,80,2.80,402.80139,Funded,BIL (LSLR)
9,Trenton City,1111001-011,Lead Service line replacement,391000,"$ 13,000,000","$ 2,900,000","$ 15,900,000",250,50,15,0,5,0,80,3.91,403.91,Funded,BIL (LSLR)
8,Newark City,0714001-020,Phase-2 Lead Service Line Replacement (LSLR) Project,280139,"$ 12,989,172","$ 418,386","$ 15,693,186",250,50,20,0,5,0,80,2.90,407.90139,Funded,BIL (LSLR)
4,Passaic Valley Water Commission,1605002-014,Levine Reservoir Water Storage Improvements - Phase 1,314900,"$ 17,142,000","$ 5,186,920","$ 22,328,920",500,80,0,0,0,0,0,3.15,583.149,Funded,BIL (GEN)
