Entity,Project,PWS ID,SDWIS Population,County, Estimated Loan Amount,Loan Type,Estimated Award Date,Rate,District Office,
Conneaut,Old Main Street Waterline & Lift Station Improvements,OH0400411,"12,538",Ashtabula,"$111,550.00",Design,Oct-25,DES,NEDO,
Conneaut,Old Main Street Waterline & Lift Station Improvements,OH0400411,"12,538",Ashtabula,"$1,160,000.00",Construction,Oct-25,STD,NEDO,
Continental,Alley Waterline Replacement,OH6900212,"1,153",Putnam,"$23,500.00",Design,Sep-25,DES,NWDO,
Continental,Alley Waterline Replacement,OH6900212,"1,153",Putnam,"$375,345.00",Construction,Feb-26,SML,NWDO,
Coolville,Water System Improvements,OH0500603,859,Athens,"$1,975,000.00",Construction,Feb-26,SML,SEDO,
Cuyahoga Falls,Lead Line Service Replacement,OH7701012,"51,114",Summit,"$3,000,000.00",Construction,Oct-25,LSL,NEDO,
Cuyahoga Falls,WTP RO Softening Improvements,OH7701012,"51,114",Summit,"$22,500,000.00",Construction,Mar-26,STD,NEDO,
Dayton,Water Quality Lab Expansion,OH5703512,"141,407",Montgomery,"$6,000,000.00",Construction,Dec-25,STD/EC,SWDO,
Dayton,"48"" Interconnect between Miami WF & Ottowa Plant Phase 1",OH5703512,"141,407",Montgomery,"$10,000,000.00",Construction,Mar-26,STD/EC,SWDO,
Dayton,"Expansion of Miami Well Field Recharge Lagoon, Phase 2",OH5703512,"141,407",Montgomery,"$47,000,000.00",Construction,Dec-25,STD/EC,SWDO,
Dayton,"Advanced PFAS Treatment @Ottawa WTP, CMAR Construction",OH5703512,"141,407",Montgomery,"$250,000,000.00",Construction,Apr-26,STD/EC,SWDO,
Dayton,Design of Additional 6-8 Production Wells at Miami Wellfield,OH5703512,"141,407",Montgomery,"$2,000,000.00",Design,Jan-26,DES/EC,SWDO,
Dayton,"36"" Raw Water Main within Miami Wellfield Phase 3",OH5703512,"141,407",Montgomery,"$7,000,000.00",Construction,Oct-25,STD/EC,SWDO,
Dayton,Miami Water Treatment Plant Basins - CMAR,OH5703512,"141,407",Montgomery,"$25,000,000.00",Construction,Dec-25,STD/EC,SWDO,
Defiance,N66 Booster Station Replacement,OH2000111,"16,494",Defiance,"$1,200,000.00",Construction,Jun-26,STD,NWDO,
Defiance,Wayne Ave Waterline Replacement,OH2000111,"16,494",Defiance,"$2,500,000.00",Construction,Jun-26,STD,NWDO,
"Del-Co Water Company, Inc.",Hartford Area Waterline Extension,OH2101412,"150,000",Delaware,"$7,000,000.00",Construction,May-26,REG,CO,
"Del-Co Water Company, Inc.",Treatment of Emerging Contaminants at the Olentangy WTP,OH2101412,"150,000",Delaware,"$8,650,000.00",Construction,Sep-25,STD/EC,CO,
"Del-Co Water Company, Inc.",Cheshire Elevated Water Storage Tank No. 2,OH2101412,"150,000",Delaware,"$4,200,000.00",Construction,Dec-25,STD,CO,
"Del-Co Water Company, Inc.",Lackey Old State Water Transmission Line,OH2101412,"150,000",Delaware,"$8,087,900.00",Construction,Sep-25,STD,CO,
"Del-Co Water Company, Inc.",Olentangy East Transmission Line,OH2101412,"150,000",Delaware,"$6,566,000.00",Construction,Dec-25,STD,CO,
Delphos,Pierce Street Waterline Replacement,OH0200412,"7,101",Allen,"$57,263.00",Design,Sep-25,DES,NWDO,
Delphos,Pierce Street Waterline Replacement,OH0200412,"7,101",Allen,"$1,169,773.00",Construction,May-26,SML/LSL PF,NWDO,
Delphos,"LSL Replacement 2026: Jackson, Harmon, Moening & Grant St.",OH0200412,"7,101",Allen,"$157,093.00",Design,Sep-25,DES,NWDO,
Delphos,"LSL Replacement 2026: Jackson, Harmon, Moening & Grant St.",OH0200412,"7,101",Allen,"$2,141,127.00",Construction,May-26,SML/LSL PF,NWDO,
East Liverpool,WTP General Plan,OH1500811,"12,586",Columbiana,"$400,000.00",Planning,Dec-25,PLN,NEDO,
East Liverpool,SR 39 Lead Service Line Replacement,OH1500811,"12,586",Columbiana,"$1,585,000.00",Construction,Mar-26,LSL PF,NEDO,
East Palestine,Water Treatment Plant Filtration Improvements,OH1500912,"4,761",Columbiana,"$6,352,636.00",Construction,Jun-26,SML,NEDO,
Edgerton,WTP Improvements,OH8600312,"1,881",Williams,"$986,225.00",Construction,Sep-25,SML,NWDO,
Elyria,Washington Ave Watermain Replacement,OH4700411,"68,000",Lorain,"$1,800,000.00",Construction,May-26,STD,NEDO,
Elyria,Furnace Street Water Tank,OH4700411,"68,000",Lorain,"$2,000,000.00",Construction,Jan-26,STD,NEDO,
Elyria,Chlorine Room Modification and Upgrade,OH4700411,"68,000",Lorain,"$1,700,000.00",Construction,May-26,STD,NEDO,
Elyria,High Service Pump and VFDs,OH4700411,"68,000",Lorain,"$4,600,000.00",Construction,May-26,STD,NEDO,
Fairport Harbor,Water System Regionalization Phase 2,OH4300411,"3,180",Lake,"$1,053,800.00",Construction,Jun-26,REG,NEDO,
Fairport Harbor,Water Syste - Secondary Interconnection,OH4300411,"3,180",Lake,"$108,200.00",Design,Feb-26,DES,NEDO,
Felicity,Water Storge Tank Rehab,OH1300612,"3,700",Clermont,"$750,000.00",Construction,Dec-25,DIS,SWDO,
Forest,New Wells Design,OH3300312,"1,652",Hardin,"$39,670.00",Design,Sep-25,DES,NWDO,
Forest,New Wells Construction,OH3300312,"1,652",Hardin,"$861,575.00",Construction,May-26,DIS,NWDO,
Fort Recovery,Water Treatment Plant Reconstruction Project,OH5400212,"1,501",Mercer,"$4,397,000.00",Construction,Dec-25,SML,NWDO,
Franklin,12-inch Watermain Connection,OH8300412,"17,175",Warren,"$2,900,000.00",Construction,Jan-26,STD,SWDO,
Franklin,Water Meter Replacement Project,OH8300412,"17,175",Warren,"$4,638,286.00",Construction,Sep-25,STD,SWDO,
Franklin County,WDS Infrastructure Reconstruction Project (GEMS),OH2501003,"8,575",Franklin,"$719,398.00",Design,Oct-25,DES,CO,
Franklin County,WDS Infrastructure Reconstruction Project (GEMS),OH2501003,"8,575",Franklin,"$8,632,776.00",Construction,May-26,STD,CO,
Frazeysburg,2024 Water Treatment Plant Improvements,OH6000612,"1,340",Muskingum,"$750,000.00",Construction,Sep-25,DIS,SEDO,
Fredericksburg,Water System Improvements,OH8500812,420,Wayne,"$1,569,000.00",Construction,Jan-26,SML,NEDO,
Gallia County Rural Water Assoc.,GAC for PFAS Removal1,OH2700012,"20,995",Gallia,"$227,500.00",Design,Oct-25,DES/EC,SEDO,
Gallia County Rural Water Assoc.,Centenary Booster Station Replacement,OH2700012,"20,995",Gallia,"$550,000.00",Construction,Oct-25,STD,SEDO,
Gallipolis,Lime Slaker Replacement,OH2700112,"7,134",Gallia,"$275,000.00",Construction,Jun-26,SML,SEDO,
Gallipolis,Water Line Replacement Phase 2,OH2700112,"7,134",Gallia,"$8,005,000.00",Construction,Jun-26,SML,SEDO,
Gallipolis,PFAS Filter Improvements,OH2700112,"7,134",Gallia,"$448,600.00",Design,Dec-25,DES/EC,SEDO,
Gallipolis,PFAS Filter Improvements,OH2700112,"7,134",Gallia,"$4,809,500.00",Construction,Feb-26,DIS/EC,SEDO,
Geneva,SR 84 Waterline Replacement,OH0401712,"5,924",Ashtabula,"$510,000.00",Construction,Dec-25,SML,NEDO,
Genoa,Water Tank Rehabilitation,OH6201003,"2,800",Ottawa,"$980,000.00",Construction,Oct-25,SML,NWDO,
Genoa,2025 Waterline Improvements,OH6201003,"2,800",Ottawa,"$400,000.00",Construction,Oct-25,SML,NWDO,
Germantown,Kemp Street Water Main Improvements,OH5701012,"5,796",Montgomery,"$575,000.00",Construction,Dec-25,SML,SWDO,
Gnadenhutten,S. Walnut Street Waterline Replacement,OH7900512,"1,240",Tuscarawas,"$700,000.00",Construction,Oct-25,SML,SEDO,
Granger Lake,Water Plant Upgrades,OH5202112,131,Medina,"$238,405.00",Construction,Jan-26,SML,NEDO,
Granville,WTP Filter Rehabilitation,OH4500612,"5,946",Licking,"$445,000.00",Construction,Mar-26,SML,CO,
Granville,WTP Lime Sludge Holding Improvements,OH4500612,"5,946",Licking,"$950,000.00",Construction,Sep-25,SML,CO,
Granville,WTP Sanitary Improvements,OH4500612,"5,946",Licking,"$750,000.00",Construction,Sep-25,SML,CO,
Granville,River Road Water Line Extension - Phases 2 and 3,OH4500612,"5,946",Licking,"$60,000.00",Design,Feb-26,DES,CO,
Granville,River Road Water Line Extension - Phases 2 and 3,OH4500612,"5,946",Licking,"$400,000.00",Construction,May-26,SML,CO,
Granville,Burg Street Water Line Improvements,OH4500612,"5,946",Licking,"$4,712,000.00",Construction,May-26,SML,CO,
Granville,Granville JEDD,OH4500612,"5,946",Licking,"$1,100,000.00",Design,Sep-25,DES,CO,
Granville,Granville JEDD,OH4500612,"5,946",Licking,"$9,500,000.00",Construction,May-26,SML,CO,
Greenville,New Water Tower - East,OH1900714,"13,227",Darke,"$8,405,292.00",Construction,Jul-25,STD,SWDO,
Greenwich,Greenwich Water Treatment Plant,OH3900312,"1,476",Huron,"$400,000.00",Design,Jan-26,DES,NWDO,
Greenwich,Greenwich Water Treatment Plant,OH3900312,"1,476",Huron,"$3,000,000.00",Construction,Mar-26,SML,NWDO,
Hamler,Water Treatment Plant Improvements,OH3500312,580,Henry,"$2,628,973.00",Construction,Dec-25,DIS,NWDO,
Heath,Dorsey Mill Water Main Replacement,OH4500912,"10,310",Licking,"$3,420,300.00",Construction,Jun-26,STD,CO,
Hebron,Port Authority Water Line Extension,OH4501012,"2,368",Licking,"$59,550.00",Design,Sep-25,DES,CO,
Hebron,South High Street Water Line Replacement,OH4501012,"2,368",Licking,"$928,000.00",Construction,Mar-26,SML,CO,
Hebron,Port Authority Water Line Extension,OH4501012,"2,368",Licking,"$611,260.00",Construction,Oct-25,SML,CO,
Hecla Water Association,Water for Waterloo,OH4401612,"34,942",Lawrence,"$40,000.00",Planning,Dec-25,PLN,SEDO,
Hecla Water Association,Water for Waterloo,OH4401612,"34,942",Lawrence,"$515,000.00",Design,Jun-26,DES,SEDO,
Highland County Water Co.,"Southeast Water System Fortification, Phase 1 Marshall Area",OH3600514,"28,421",Highland,"$5,200,000.00",Construction,Jun-26,STD,SWDO,
Highland County Water Co.,"Southeast Water System Fortification, Phase 2 Fairfax Area",OH3600514,"28,421",Highland,"$15,750,000.00",Construction,Jun-26,STD,SWDO,
Hillsboro,Westover Drive Waterline,OH3600614,"6,650",Highland,"$77,520.00",Design,Oct-25,DES,SWDO,
Hillsboro,Westover Drive Waterline,OH3600614,"6,650",Highland,"$1,230,630.00",Construction,May-26,SML,SWDO,
Hiram,Water Treatment Plant Improvements,OH6701612,"1,406",Portage,"$1,500,000.00",Construction,Dec-25,SML,NEDO,
Holgate,Regionalization Project,OH3500512,"1,150",Henry,"$14,400,000.00",Construction,Oct-25,DIS/REG,NWDO,
Huron,New Elevated Water Storage Tank,OH2201011,"6,893",Erie,"$5,157,800.00",Construction,Aug-25,SML/HAB,NWDO,
Huron,"Back-up Raw Water Intake, Pump Station and Force Main",OH2201011,"6,893",Erie,"$272,560.00",Design,Sep-25,DES,NWDO,
Huron,"Back-up Raw Water Intake, Pump Station and Force Main",OH2201011,"6,893",Erie,"$3,666,793.00",Construction,Oct-25,SML/HAB,NWDO,
Indian Hill,WTP PFAS Study,OH3101112,"15,000",Hamilton,"$405,550.00",Planning,Jul-25,PLN/EC,SWDO,
Ironton,10th Street Waterline Improvements,OH4400711,"11,129",Lawrence,"$806,000.00",Design,Oct-25,DES,SEDO,
Ironton,10th Street Waterline Improvements,OH4400711,"11,129",Lawrence,"$7,925,000.00",Construction,Feb-26,STD,SEDO,
Ironton,Washington St Waterline Improvements,OH4400711,"11,129",Lawrence,"$782,000.00",Design,Oct-25,DES,SEDO,
Ironton,Washington St Waterline Improvements,OH4400711,"11,129",Lawrence,"$7,679,700.00",Construction,Feb-26,STD,SEDO,
Ironton,Rice Property Site Waterline,OH4400711,"11,129",Lawrence,"$153,500.00",Design,Oct-25,DES,SEDO,
Ironton,Rice Property Site Waterline,OH4400711,"11,129",Lawrence,"$544,000.00",Construction,Jan-26,STD,SEDO,
Ironton,WTP Emergency Generator,OH4400711,"11,129",Lawrence,"$1,324,500.00",Construction,Dec-25,STD,SEDO,
Ironton,PFAS General Plan,OH4400711,"11,129",Lawrence,"$149,000.00",Planning,Oct-25,PLN/EC,SEDO,
Jamestown,Water System Improvements,OH2901712,"1,997",Greene,"$12,550,400.00",Construction,Mar-26,SML,SWDO,
Jamestown,Water System Improvements,OH2901712,"1,997",Greene,"$2,353,094.00",Design,Jul-25,DES,SWDO,
Jefferson County,Hammondsville Water Storage Tank Rehab,OH4101103,"13,983",Jefferson,"$175,000.00",Design,Sep-25,DES,SEDO,
Jefferson County,Hammondsville Water Storage Tank Rehab,OH4101103,"13,983",Jefferson,"$1,400,000.00",Construction,May-26,STD,SEDO,
Jefferson County,Amsterdam,OH4101103,"13,983",Jefferson,"$7,500,000.00",Construction,Oct-25,STD/LSL PF,SEDO,
Jefferson County,Bergholz Water System Improvements,OH4101103,"13,983",Jefferson,"$860,000.00",Design,Sep-25,DES,SEDO,
Jefferson County,Bergholz Water System Improvements,OH4101103,"13,983",Jefferson,"$7,500,000.00",Construction,Jun-26,STD/LSL PF,SEDO,
Jefferson County,Pleasant Hill Tank Water Supply Re-routing Bypass of Rt 213,OH4101103,"13,983",Jefferson,"$500,000.00",Construction,Oct-25,STD,SEDO,
Jefferson County,Pleasant Hill Tank Water Supply Re-routing Bypass of Rt 213,OH4101103,"13,983",Jefferson,"$50,000.00",Design,Sep-25,DES,SEDO,
Jefferson Reg Water Authority,Water Treatment Plant Improvements,OH5703012,"4,750",Montgomery,"$3,235,220.00",Construction,Apr-26,SML,SWDO,
Jefferson Reg Water Authority,Water Treatment Plant Improvements,OH5703012,"4,750",Montgomery,"$234,970.00",Design,Dec-25,DES,SWDO,
Jeffersonville,New Potable Water Well,OH2400612,"1,356",Fayette,"$209,210.00",Construction,Jun-26,SML,CO,
Johnstown,Water Treatment Plant Expansion,OH4501512,"5,200",Licking,"$36,000,000.00",Construction,Sep-25,SML,CO,
Kenton,Downtown Waterline Replacement Phase 2B,OH3300612,"8,360",Hardin,"$4,839,599.00",Construction,Jan-26,SML/LSL PF,NWDO,
Kenton,WTP Design Build Rehab and Repairs,OH3300612,"8,360",Hardin,"$6,160,000.00",Construction,Dec-25,DIS,NWDO,
Kenton,Detroit Street Waterline and LSL Phase 3,OH3300612,"8,360",Hardin,"$1,453,797.00",Construction,Feb-26,SML/LSL PF,NWDO,
Killbuck,Waterline Upgrades,OH3800712,950,Holmes,"$500,000.00",Construction,Sep-25,SML,NEDO,
Lagrange,Water Supply Pump Station Standby Generator,OH4700603,"2,400",Lorain,"$202,232.00",Construction,Dec-25,SML,NEDO,
Lagrange,Water Meter Replacement,OH4700603,"2,400",Lorain,"$100,000.00",Design,Oct-25,DES,NEDO,
Lagrange,Water Meter Replacement,OH4700603,"2,400",Lorain,"$750,000.00",Construction,Jan-26,SML,NEDO,
Lakeview,Emergency Water Connection,OH4601512,"1,083",Logan,"$43,000.00",Design,Sep-25,DES,SWDO,
Lakeview,Emergency Water Connection,OH4601512,"1,083",Logan,"$764,925.00",Construction,Feb-26,SML,SWDO,
Lakeview,Water Meter Upgrades,OH4601512,"1,083",Logan,"$200,000.00",Construction,Dec-25,SML,SWDO,
Lakewood,2025 Watermain & Lead Service Line Replacement,OH1801003,"50,942",Cuyahoga,"$675,542.00",Construction,Aug-25,STD/LSL PF,NEDO,
Leipsic,Water Treatment Plant,OH6900612,"2,348",Putnam,"$14,000,000.00",Construction,Sep-25,SML,NWDO,
Leipsic,Poplar St Waterline Replacement,OH6900612,"2,348",Putnam,"$29,000.00",Design,Sep-25,DES,NWDO,
Leipsic,Poplar St Waterline Replacement,OH6900612,"2,348",Putnam,"$607,840.00",Construction,Feb-26,SML,NWDO,
Lewisburg,Well Field Improvements,OH6800812,"1,800",Preble,"$607,000.00",Construction,Feb-26,SML,SWDO,
Lewisburg,Well Field Improvements,OH6800812,"1,800",Preble,"$40,000.00",Design,Sep-25,DES,SWDO,
Licking County,Hanover Marne Phase 2 Water Line Extension,OH4500812,"3,005",Licking,"$1,162,573.00",Design,Sep-25,DES,CO,
Licking County,Hanover Marne Phase 2 Water Line Extension,OH4500812,"3,005",Licking,"$15,016,181.00",Construction,Jun-26,REG,CO,
Licking County,Edgewater Beach Water Line Extension,OH4500812,"3,005",Licking,"$4,875,900.00",Construction,Jun-26,REG,CO,
Licking County,Jacksontown Water Line Extension,OH4500812,"3,005",Licking,"$2,214,000.00",Construction,Jun-26,REG,CO,
Licking Regional Water District,Summit Road and Morse Road Water Line Extension,OH4505412,"17,818",Licking,"$3,421,800.00",Construction,Oct-25,REG,CO,
Lima,East Regional Waterline Loop,OH0200811,"65,619",Allen,"$650,000.00",Design,Oct-25,DES,NWDO,
Lima,East Regional Waterline Loop,OH0200811,"65,619",Allen,"$6,500,000.00",Construction,Feb-26,REG,NWDO,
Lima,Lead Service Line Replacement - Phase 3,OH0200811,"65,619",Allen,"$2,374,389.00",Construction,Feb-26,LSL PF,NWDO,
Lisbon,North End & SR 45 Waterline Extensions,OH1501512,"2,821",Columbiana,"$480,848.00",Construction,Apr-26,DIS/REG,NEDO,
Lithopolis,Water Treatment Plant Filter Addition,OH2301112,"1,573",Fairfield,"$1,263,700.00",Construction,Oct-25,SML,CO,
Lithopolis,Jackson Lake Park Water System Interface,OH2301112,"1,573",Fairfield,"$408,368.00",Construction,Oct-25,REG,CO,
Little Hocking W&S Assoc.,SR339 Transmission and Barlow Tank and Booster,OH8400212,"9,892",Washington,"$1,479,000.00",Design,Sep-25,DES,SEDO,
Little Hocking W&S Assoc.,SR339 Transmission and Barlow Tank and Booster,OH8400212,"9,892",Washington,"$14,009,500.00",Construction,Jun-26,SML,SEDO,
Little Hocking W&S Assoc.,Waterline Extension,OH8400212,"9,892",Washington,"$1,298,500.00",Design,Sep-25,DES/EC,SEDO,
Little Hocking W&S Assoc.,Waterline Extension,OH8400212,"9,892",Washington,"$12,603,800.00",Construction,Jun-26,DIS/REG/EC,SEDO,
Lockland,Lead Service Line Replacement Phase 2,OH3101212,"3,486",Hamilton,"$1,854,500.00",Construction,Oct-25,SML/LSL PF,SWDO,
Logan,RO Membrane Skid for WTP,OH3700612,"6,704",Hocking,"$3,565,000.00",Construction,May-26,SML,SEDO,
Logan,RO Membrane Skid for WTP,OH3700612,"6,704",Hocking,"$285,200.00",Design,Mar-26,DES,SEDO,
Lordstown,Lordstown Water Extension Phase 2,OH7804403,"3,515",Trumbull,"$1,706,431.00",Design,Oct-25,DES,NEDO,
Lordstown,Lordstown Water Extension Phase 2,OH7804403,"3,515",Trumbull,"$11,543,499.00",Construction,Apr-26,SML,NEDO,
Lordstown,Hallock-Young RD Connector Waterline,OH7804403,"3,515",Trumbull,"$2,226,000.00",Construction,Oct-25,SML,NEDO,
Loveland,PFAS Treatment,OH1300812,"12,800",Hamilton,"$1,337,640.00",Design,Jul-25,DES/EC,SWDO,
Lowell,Water Tank and Watermain Replacement,OH8400312,603,Washington,"$1,066,995.00",Construction,Jun-26,DIS,SEDO,
Lynchburg,Water System Improvements Phase 1,OH3600915,"1,515",Highland,"$2,720,000.00",Construction,Oct-25,SML,SWDO,
Lyons,Water Tower Replacement,OH2600603,562,Fulton,"$2,116,800.00",Construction,Dec-25,DIS,NWDO,
Madison Water District,"Distribution, Storage and WTP Improvements",OH7006712,"2,050",Richland,"$5,570,175.00",Construction,Oct-25,REG,NWDO,
Mahoning Valley Sanitary Dist,MVSD Ph V - Youngstown Reservoir and Gate House Imp,OH7801811,48,Trumbull,"$6,947,046.00",Construction,May-26,STD,NEDO,
Malta,Water Meter Replacement Project,OH5800412,671,Morgan,"$60,700.00",Design,Dec-25,DES,SEDO,
Malta,Water Meter Replacement Project,OH5800412,671,Morgan,"$1,110,400.00",Construction,Apr-26,SML,SEDO,
Malta,Water Treatment Plant Project1,OH5800412,671,Morgan,"$1,300,000.00",Design,Dec-25,DES,SEDO,
Malvern,Water Line Replacement Phase 2,OH1000112,"1,200",Carroll,"$6,643,500.00",Construction,Mar-26,SML,NEDO,
Manchester,Waterline Replacement Phase 3,OH0100112,"2,043",Adams,"$378,000.00",Design,Oct-25,DES,SEDO,
Manchester,Waterline Replacement Phase 3,OH0100112,"2,043",Adams,"$3,788,025.00",Construction,Feb-26,SML,SEDO,
Marblehead,Johnson's Island Waterline Extension,OH6202411,865,Ottawa,"$8,707,700.00",Construction,Oct-25,REG,NWDO,
Martins Ferry,Hospital and Business District Water Main Replacement,OH0701212,"6,980",Belmont,"$1,046,060.00",Construction,Sep-25,SML,SEDO,
Martins Ferry,Jefferson Street Waterline Replacement,OH0701212,"6,980",Belmont,"$624,800.00",Construction,Sep-25,SML,SEDO,
Matamoras,New Water Treatment Plant,OH8400512,896,Washington,"$522,200.00",Design,Oct-25,DES/EC,SEDO,
Matamoras,New Water Treatment Plant,OH8400512,896,Washington,"$5,630,000.00",Construction,Jun-26,DIS/REG/EC,SEDO,
Matamoras,Water Distribution Systems Improvements,OH8400512,896,Washington,"$402,000.00",Construction,Oct-25,SML,SEDO,
McArthur,Water System Improvements,OH8200212,"2,400",Vinton,"$123,540.00",Design,Sep-25,DES,SEDO,
Mechanicsburg,Water System Improvements - Phase 3,OH1100712,"1,644",Champaign,"$2,221,978.00",Construction,Jun-26,SML,SWDO,
Mechanicsburg,Water System Improvements - Phase 3,OH1100712,"1,644",Champaign,"$49,735.00",Design,Oct-25,DES,SWDO,
Medina County,Westfield Center WTP Upgrades,OH5260712,"4,516",Medina,"$700,000.00",Design,Sep-25,DES,NEDO,
Medina County,Westfield Center WTP Upgrades,OH5260712,"4,516",Medina,"$15,000,000.00",Construction,Jan-26,STD,NEDO,
Miamisburg,WTF Softening Improvements Well #14 and #15,OH5701212,"19,790",Montgomery,"$8,400,000.00",Construction,Dec-25,STD,SWDO,
Miamisburg,King Richard Transmission Main,OH5701212,"19,790",Montgomery,"$9,300,000.00",Construction,Dec-25,STD,SWDO,
Middlefield,Water Well #5 Connection,OH2802012,"2,748",Geauga,"$2,000,000.00",Construction,Dec-25,SML,NEDO,
Mid-Ohio Water and Sewer Dist,SR 56/US 40 & Summerford Waterline Extension Design,OH4901012,"5,176",Madison,"$670,000.00",Design,Oct-25,DES,CO,
Mid-Ohio Water and Sewer Dist,SR 56/US 40 & Summerford Waterline Extension,OH4901012,"5,176",Madison,"$7,598,200.00",Construction,Dec-25,REG,CO,
Mid-Ohio Water and Sewer Dist,SR 161 Waterline Extension,OH4901012,"5,176",Madison,"$719,078.00",Design,Jul-25,DES,CO,
Mid-Ohio Water and Sewer Dist,SR 161 Waterline Extension,OH4901012,"5,176",Madison,"$13,317,190.00",Construction,Oct-25,SML,CO,
Mid-Ohio Water and Sewer Dist,Lafayette Waterline Extension,OH4901012,"5,176",Madison,"$3,228,792.00",Construction,Oct-25,REG,CO,
Mid-Ohio Water and Sewer Dist,London West WTP - Chlorine Gas to Hypochlorite Conversion,OH4901012,"5,176",Madison,"$2,093,000.00",Construction,Oct-25,STD,CO,
Mid-Ohio Water and Sewer Dist,Plain City North Waterline Extension,OH4901012,"5,176",Madison,"$680,000.00",Design,Oct-25,DES,CO,
Milan,Water Tower Improvements,OH2201212,"2,223",Erie,"$533,107.00",Construction,Jan-26,SML,NWDO,
Mingo Junction,Farmers Lane Extension,OH4101612,"3,350",Jefferson,"$76,609.00",Construction,Sep-25,SML,SEDO,
Montpelier,Main Street Waterline LSL,OH8600912,"4,280",Williams,"$2,561,200.00",Construction,Dec-25,SML/LSL PF,NWDO,
Mount Gilead,Water Treatment Plant Improvements Phase I,OH5900712,"3,503",Morrow,"$6,384,316.00",Construction,Oct-25,SML,CO,
Munroe Falls,Water Main River Crossing,OH7702703,"5,042",Summit,"$234,628.00",Construction,Oct-25,SML,NEDO,
Muskingum County,Sunflower Rd and Getz Rd Water Main Extension,OH6000412,"21,540",Muskingum,"$548,200.00",Construction,Jan-26,REG,SEDO,
Muskingum County,SR 555 Waterline Extension - Phase 2,OH6000412,"21,540",Muskingum,"$469,355.00",Construction,Jan-26,DIS/REG,SEDO,
Muskingum County,Dozer Ridge Water Main Extension,OH6000412,"21,540",Muskingum,"$566,300.00",Construction,Dec-25,DIS/REG,SEDO,
Muskingum County,Water Treatment Plant and Well Field Expansion - Maysville,OH6000412,"21,540",Muskingum,"$6,479,000.00",Construction,Jun-26,REG,SEDO,
Napoleon,Maumee River Waterline Crossing,OH3500811,"8,858",Henry,"$400,000.00",Design,Oct-25,DES,NWDO,
Nashville,New Water Storage Tank and Supply,OH3801012,197,Holmes,"$250,000.00",Construction,Oct-25,DIS,NEDO,
Nelsonville,Water System Improvements Phase 4,OH0501214,"6,656",Athens,"$289,400.00",Design,Sep-25,DES,SEDO,
Nelsonville,Water System Improvements Phase 4,OH0501214,"6,656",Athens,"$4,841,900.00",Construction,May-26,DIS,SEDO,
New Concord,WTP Clarifier #2 Rehabilitation,OH6001711,"2,491",Muskingum,"$520,845.00",Construction,Dec-25,SML,SEDO,
New Holland,Water System Improvements,OH6501612,857,Pickaway,"$251,269.00",Design,Dec-25,DES,CO,
New Lexington,Elevated Tank and Water Line Replacement,OH6400411,"5,161",Perry,"$225,000.00",Design,Sep-25,DES,SEDO,
New Lexington,Elevated Tank and Water Line Replacement,OH6400411,"5,161",Perry,"$3,019,750.00",Construction,Dec-25,SML,SEDO,
New Richmond,New Richmond Water System Improvements,OH1301212,"2,698",Clermont,"$147,500.00",Design,Dec-25,DES,SWDO,
New Richmond,New Richmond Water System Improvements,OH1301212,"2,698",Clermont,"$1,223,500.00",Construction,Jun-26,SML,SWDO,
New Vienna,Church Street Water Line Replacement,OH1400815,"1,240",Clinton,"$195,225.00",Construction,Dec-25,SML,SWDO,
Newark,Lead Service Line Replacement Project #8,OH4502314,"49,934",Licking,"$3,700,000.00",Construction,Jan-26,LSL PF,CO,
Newark,Lead Service Line Replacement Project #9,OH4502314,"49,934",Licking,"$3,800,000.00",Construction,Jun-26,LSL PF,CO,
Newcomerstown,CR 9 Waterline and Sewer Line Extension,OH7900912,"3,882",Tuscarawas,"$300,000.00",Design,Dec-25,DES,SEDO,
Newcomerstown,CR 9 Waterline and Sewer Line Extension,OH7900912,"3,882",Tuscarawas,"$1,000,000.00",Construction,Apr-26,SML,SEDO,
Newport Water and Sewer Dist,Connect to Village of Matamoras,OH8400612,"1,582",Washington,"$3,230,500.00",Construction,Dec-25,DIS/REG/EC,SEDO,
Newport Water and Sewer Dist,Bells Run Water System Extension,OH8400612,"1,582",Washington,"$429,500.00",Design,Dec-25,DES,SEDO,
Newport Water and Sewer Dist,Bells Run Water System Extension,OH8400612,"1,582",Washington,"$6,300,000.00",Construction,Jun-26,DIS/REG,SEDO,
North Baltimore,Lead Service Line Replacement,OH8701611,"3,432",Wood,"$264,000.00",Construction,Feb-26,LSL,NWDO,
North Lewisburg,Water Line System Improvements,OH1100812,"1,850",Champaign,"$6,196,100.00",Construction,May-26,SML,SWDO,
North Lewisburg,Water Line System Improvements,OH1100812,"1,850",Champaign,"$150,000.00",Design,Sep-25,DES,SWDO,
North Lewisburg,WTP Improvements,OH1100812,"1,850",Champaign,"$209,000.00",Construction,Sep-25,SML,SWDO,
Northwest Regional Water Dist.,SR 73 Waterline Replacement,OH7300003,"11,059",Scioto,"$366,660.00",Construction,Sep-25,STD,SEDO,
Northwestern W&S Dist.,Miltonville Waterline Replacement,OH8752212,"3,408",Wood,"$5,000,000.00",Construction,Jun-26,STD,NWDO,
Northwestern W&S Dist.,Woodville Road Water Main Replacement,OH8704203,"9,629",Wood,"$2,178,000.00",Construction,Dec-25,SML,NWDO,
