COUNTY,epic_merge_id,PWSID,PROJECT COST,DEP PROJECT RATING,APPLICANT,STREET ADDRESS,PROJECT TYPE,CITY,PROJRANK,FUND SOURCE,MTGDATE,REGION,PROJ. DESCRIPTION,PROB. DESCRIPTION,POPULATION,PV RATING,GREEN CATEGORY,GREEN PROJECT,BUSINESS CASE,GREEN AMOUNT
ARMSTRONG,24,5030043,"$3,421,000.00",47,"KITTANNING SUBURBAN JWA - WATER 
SYSTEM IMPROVEMENTS",P.O. BOX 103,"TREAT, WS",KITTANNING,24,STATE BYPASS,4/22/22,VI,"The Kittanning Suburban Joint Water Authority (KSJWA) proposes to the replace the aged Miller storage tank with a new 300,000-
gallon water tank and the demolition of the old tank along with the addition of a tank mixer; rehabilitation of the existing Nolder storage 
tank and the addition of a tank mixer; the rehabilitation of the Sistersville storage tank and the addition of a tank mixer; Installation of 
tank mixers in the existing Cadogan tank, Steele tank and Sugarcreek tank; retrofitting all filter beds with air scouring system to 
improve the filter backwashing system; the replacement of the filter media and the replacement of the existing antiquated SCADA 
system with a new SCADA system.
PROB. DESCRIPTION: The Kittanning Suburban Joint Water Authority (KSJWA) experiences leaks from the aged Miller storage tank, Also, the existing 
Nolder storage tank and the Sistersville storage tanks are due for maintenance and interior coating, all filter beds require air 
scouring system to improve the filter backwashing system along with the replacement of the filter media and the existing 
antiquated SCADA system is aged and does not capture all process control through out the plant. Water stagnation in the 
storage tanks is another problem and mixers need to be installed in the tanks for effective circulation of the water as well as 
elimination of ice accumulation.","The Kittanning Suburban Joint Water Authority (KSJWA) experiences leaks from the aged Miller storage tank, Also, the existing 
Nolder storage tank and the Sistersville storage tanks are due for maintenance and interior coating, all filter beds require air 
scouring system to improve the filter backwashing system along with the replacement of the filter media and the existing 
antiquated SCADA system is aged and does not capture all process control through out the plant. Water stagnation in the 
storage tanks is another problem and mixers need to be installed in the tanks for effective circulation of the water as well as 
elimination of ice accumulation.","8,000",52,N/A,No,N/A,$0.00
CAMBRIA,25,4110023,"$2,242,000.00",45,"WIFTA- NANTY GLO WATER AUTHORITY- C.I.P. 
WATER LINE REPLACEMENT",872 CHESTNUT STREET,"DS, LSL",NANTY GLO,25,DWSRF,10/20/21,V,"Nanty Glo is applying to PENNVEST as part of the WIFTA Lead Service Line Replacement Initiative. The project will consist of Nanty 
Glo removing the existing ductile iron distribution main with lead joints, and replacing it with new ductile iron water main. Nanty Glo will 
also remove leaded gooseneck service connections. The project will remove and replace approximately 6,600' of cast iron distribution 
main along Sterling Avenue, Lloyd Streets, Roberts Street and Third Street in Nanty Glo Borough. Note that PENNVEST will not 
support the partial replacement of lead service lines.
PROB. DESCRIPTION: Nanty Glo Water Authority currently owns and operates a Public Water Supply system in Nanty Glo Borough in Cambria County. 
Piping within Nanty Glo's distribution system contains lead joints. These lead joints pose a risk to public health and need 
removed from the system. Nanty Glo Water Authority will remove and replace the existing ductile iron distribution main.","Nanty Glo Water Authority currently owns and operates a Public Water Supply system in Nanty Glo Borough in Cambria County. 
Piping within Nanty Glo's distribution system contains lead joints. These lead joints pose a risk to public health and need 
removed from the system. Nanty Glo Water Authority will remove and replace the existing ductile iron distribution main.","4,076",60,N/A,No,N/A,$0.00
BLAIR,26,4070017,"$2,495,232.00",45,"WIFTA- HOLLIDAYSBURG BA- LEADED JOINT 
CAST IRON PIPE  WATERLINE REP.",401 BLAIR STREET,DS,HOLLIDAYSBURG,26,DWSRF,10/20/21,III,"The project includes the installation of approximately 8,090 linear feet of ductile iron water distribution main, services, 4 new fire 
hydrants and appurtenances along Penn Street, portions of Walnut Street, Allegheny Street, Mulberry Street and Blair Street. The 
proposed water mains will allow the decommissioning of existing cast iron water distribution main with leaded joints.
PROB. DESCRIPTION: The Authority’s distribution system is comprised of old deteriorating cast iron piping with leaded joints in sections of their 
distribution system.  The Authority has concerns over the potential for lead to contaminate the water supply and cause health 
issues with residents.","The Authority’s distribution system is comprised of old deteriorating cast iron piping with leaded joints in sections of their 
distribution system.  The Authority has concerns over the potential for lead to contaminate the water supply and cause health 
issues with residents.","8,523",60,N/A,No,N/A,$0.00
ARMSTRONG,27,5030005,"$1,775,000.00",45,"FORD CITY BOROUGH- 5TH AVENUE & 17TH 
ST WATERLINE REPL.WIFTA","P.O. BOX 112, NEALE AVE","DS,LSL",FORD CITY,27,DWSRF,7/23/21,VI,"Project includes replacement of approximately  2,250 linear feet of lead joint water main and 100 linear feet  of valve cluster piping and 
potential lead service line connections.
PROB. DESCRIPTION: Lead joint water mains, lead service lines in the distribution system exists within the service area. Project will help eliminate 
potential lead contamination from the water supply.","Lead joint water mains, lead service lines in the distribution system exists within the service area. Project will help eliminate 
potential lead contamination from the water supply.","2,991",68,N/A,No,N/A,$0.00
CAMBRIA,28,4110013,"$676,240.00",45,"WIFTA- HASTINGS MA- KIRKPATRICK ST. & 6TH 
AVE.LINE REPL.- PHASE 2",P.O. BOX 559,"DS, LSL",HASTINGS,28,DWSRF,10/20/21,V,"Hastings is applying to PENNVEST as part of the WIFTA PENNVEST Lead Service Line Replacement Initiative. The project will 
consist of Hastings removing the existing distribution main with lead joints and replacing it with new ductile iron main. The project will 
remove and replace approximately 1,840' of distribution main, lead gooseneck service connections, as well as hydrants and other 
appurtenances along Kirkpatrick Street and 6th Avenue in Hastings Borough. Note that PENNVEST will not support the partial 
replacement of lead service lines. The project is the second phase in a larger lead service line replacement project.
PROB. DESCRIPTION: Hastings Municipal Authority currently owns and operates a Public Water Supply system in Hastings Borough in Cambria County. 
Piping within Hastings' distribution system contains leaded joints. These lead joints pose a risk to public health and need 
removed from the system. Hastings will remove and replace the existing distribution main.","Hastings Municipal Authority currently owns and operates a Public Water Supply system in Hastings Borough in Cambria County. 
Piping within Hastings' distribution system contains leaded joints. These lead joints pose a risk to public health and need 
removed from the system. Hastings will remove and replace the existing distribution main.","2,100",60,N/A,No,N/A,$0.00
CLARION,29,6160012,"$999,985.00",45,"WIFTA - RIMERSBURG BOROUGH M. A. LEAD 
LINE REPLACEMENT PROJECT",BOX 413  104 ACME STREET,DS,RIMERSBURG,29,DWSRF,10/20/21,VI,"The existing water lines within the project area are currently comprised of cast iron pipe with lead joints and lead gooseneck fittings 
connecting service line laterals. The cast iron pipe within the project area was installed in the early 1920s and is deteriorating.
PROB. DESCRIPTION: Rimersburg is seeking WIFTA funding for the project. The project includes the replacement of approximately 1,900 linear feet of 
4-inch cast iron water mains with lead joints with 8-inch and 12-inch plastic water mains. The project will begin at the intersection 
of Chestnut St. and Cherry Run St. and then extend to the intersection of Cherry Run St. and Main St. (SR 68). From there, it will 
run north to the intersection of Main St. (SR 68) and Mill Alley. The Main St. line will also be connected to the intersection of 
Eccles St. and Lawsonham St. as well as the intersection of Eccles St. and Mill Alley. Project mapping is attached.  All waterlines 
within the project area are cast iron with lead joints, including the loop portions of the project along Lawsonham St. and Mill St., 
and the project will remove lead joints and lead goosenecks from the project area.","Rimersburg is seeking WIFTA funding for the project. The project includes the replacement of approximately 1,900 linear feet of 
4-inch cast iron water mains with lead joints with 8-inch and 12-inch plastic water mains. The project will begin at the intersection 
of Chestnut St. and Cherry Run St. and then extend to the intersection of Cherry Run St. and Main St. (SR 68). From there, it will 
run north to the intersection of Main St. (SR 68) and Mill Alley. The Main St. line will also be connected to the intersection of 
Eccles St. and Lawsonham St. as well as the intersection of Eccles St. and Mill Alley. Project mapping is attached.  All waterlines 
within the project area are cast iron with lead joints, including the loop portions of the project along Lawsonham St. and Mill St., 
and the project will remove lead joints and lead goosenecks from the project area.","1,873",64,N/A,No,N/A,$0.00
JEFFERSON,30,6330004,"$1,950,000.00",45,"WIFTA - BROOKVILLE MUNICIPAL AUTHORITY - 
MAIN",TRHEE JEFFERSON COURT,DS,BROOKVILLE,30,DWSRF,10/20/21,VI,"Replacement of lead joint pipe, service connections and fittings . Project will remove lead from distribution system, improve flow and 
pressure, and improve fire protection to the business district of Brookville by installing 3,000 lf of 12-inch diameter ductile iron water 
pipe and associated replacement service piping.
PROB. DESCRIPTION: Main Street (SR 322) water distribution system, installed in the early 1900's, includes aged, leaking, lead joint water pipes and 
fittings. Authority plans to replace existing 8-inch diameter lead joint pipe with 3,000 lf 12-inch diameter C-900 PVC pipe and 
replace 62  commercial or residential lead service connections","Main Street (SR 322) water distribution system, installed in the early 1900's, includes aged, leaking, lead joint water pipes and 
fittings. Authority plans to replace existing 8-inch diameter lead joint pipe with 3,000 lf 12-inch diameter C-900 PVC pipe and 
replace 62  commercial or residential lead service connections","6,220",60,N/A,No,N/A,$0.00
DAUPHIN,31,7220049,"$36,500,000.00",44,"CAPITAL REGION WATER - DRINKING WATER 
SYSTEM IMPROVEMENTS (PRO-FI)",1690 SO. 19TH ST.,"DS, DAM, METER",HARRISBURG,31,DWSRF,4/20/21,III,"This is a Programmatic Finance project with multiple phases.  Phase 1 - This project phase will replace approximately 6,300 linear feet 
of water main in the Allison Hill neighborhood of Harrisburg which have observed performance deficiencies.  Associated pipes, valves 
and hydrants will also be replaced.  Phase 2 - The project phase will rehabilitate approximately 3,500 ft of 20 inch diameter cast iron 
pipe with a cured-in-place lining along portions of Cameron Street, which has experienced numerous water main breaks and broken 
valves.  Associated pipes, valves and hydrants will also be replaced.  Phase 3 - This project phase will replace the existing radio read 
system with a remote read system consisting of new base stations, and approximately 20,000 customer water meters.  Phase 4 - The 
project phase will provide improvement to bring the dam spillway into regulatory compliance. Installation of piping at the toe to collect 
and monitor seepage and raising the embankment with a parapet to protect against wave action during flood events.
PROB. DESCRIPTION: he system has been experiencing performance deficiencies in portions of their distribution system. System also experience 
issues with water use data collection and an inadequate spillway capacity and other regulatory deficiencies at their Dehart Dam.","he system has been experiencing performance deficiencies in portions of their distribution system. System also experience 
issues with water use data collection and an inadequate spillway capacity and other regulatory deficiencies at their Dehart Dam.","66,540",69,Water Efficiency,Yes,Not Required,"$7,050,000.00"
HUNTINGDON,32,4310021,"$9,450,000.00",43,"ALEXANDRIA BOROUGH WATER AUTHORITY - 
WATER SYSTEM IMPROVEMENTS",PO BOX 336,"DS, TREAT, WS",ALEXANDRIA,32,DWSRF,10/20/21,III,"Replace approximately 40,000 linear feet of water main. The Authority is also proposing to replace pre-filter strainers, raw water feed 
tank, air compressor, valves, chemical feed pumps, transfer pumps, flow meters, turbidimeters, pressure switches, pressure and 
temperature transmitters, chlorine analyzers, check valves, O-rings, gaskets, finished water booster pumps, waste pumps, backwash 
pumps, and submersible pumps as well as installing a new supervisory control and data acquisition (SCADA) system. A 300,000-
gallon finished water storage tank is also proposed to add more finished water storage.
PROB. DESCRIPTION: The distribution piping is around 100 years old and past its life expectancy. Many components of the distribution system are 
almost 20 years old and at the end of their useful lives. The system is also in need of additional finished water storage to help 
meet peak demand.","The distribution piping is around 100 years old and past its life expectancy. Many components of the distribution system are 
almost 20 years old and at the end of their useful lives. The system is also in need of additional finished water storage to help 
meet peak demand.",815,67,Water Efficiency,Yes,Not Required,"$175,000.00"
SCHUYLKILL,33,3540035,"$2,745,100.00",42,"WIFTA MINERSVILLE LEAD LINE 
REPLACEMENT PROJECT",2 E SUNBURY ST,DS,MINERSVILLE,33,DWSRF,10/20/21,II,"The Minersville Water Authority proposes the replacement of approximately 6,500 liner feet of 6-inch to 8-inch cast iron water mains in 
the Borough of Minersville, Schuylkill County containing lead joints.  Replacements are planned in the areas of Forbes Street, Jones 
Street, Third Street and North Street in the Borough of Minersville, Schuylkill County.  Estimated lengths are 215 feet on Fourth Street; 
1,200 feet on Jones Street; 1,315 feet on Third Street; and 3,770 feet on North Street. Dual mains are proposed on North Street in 
order to improve system functionality, avoid utility conflicts, limit restoration, and shorten customer service lines from approximately 40 
feet each to approximately 10 feet each.  These areas are known from past experience with repairs in the areas to be replaced.  They 
are also proposing the replacement of approximately 150 existing service lines in these areas from the main to the curb stop.  The 
existing corporations and curb stops are pre-1986 construction and therefore do not meet today’s standards for lead free fittings.  The 
proposed project will include all necessary water line appurtenances associated with the watermains and service line replacements 
such as valves, shut-offs, water main construction, manways, etc.  Found necessary during the water mains and service line 
replacements and installation.  The improvements will enhance Minersville’s ability to operate and maintain the system and increase 
the reliability of service.
PROB. DESCRIPTION: Existing cast iron water mains identified as part of this project are older and may contain lead joints based on past repairs 
conducted in the area.  Removal and replacement of the water mains with lead joints and the service lines which do not meet 
today’s standards for lead free fittings is desired and considered necessary in order to ensure continued compliance with the 
Department’s Lead and Copper Rule, Title 25 Chapter 109, Subchapter K.","Existing cast iron water mains identified as part of this project are older and may contain lead joints based on past repairs 
conducted in the area.  Removal and replacement of the water mains with lead joints and the service lines which do not meet 
today’s standards for lead free fittings is desired and considered necessary in order to ensure continued compliance with the 
Department’s Lead and Copper Rule, Title 25 Chapter 109, Subchapter K.","7,275",57,N/A,No,N/A,$0.00
CLARION,34,6160010,"$830,800.00",42,"WIFTA - REDBANK VALLEY MUNICIPAL 
AUTHORITY METER REPLACEMENT",212 LAFAYETTE ST,METER,NEW BETHLEHEM,34,DWSRF,10/20/21,VI,"The Authority provides service to 1,088 metered connections and proposing to replace all of its meters that contain lead components 
to better account for water usage and to assist in meeting the reduction of lead in drinking water.
PROB. DESCRIPTION: According to the 2019 Primary Facility Report, the Authority reported that their unaccounted for water is 44%. A review of a 
sample of the residential meters revealed that half were not registering accurate values, averaging 18,750 gallons per month.  It 
is anticipated that 25% of unaccounted for water is a result of aged water meters.","According to the 2019 Primary Facility Report, the Authority reported that their unaccounted for water is 44%. A review of a 
sample of the residential meters revealed that half were not registering accurate values, averaging 18,750 gallons per month.  It 
is anticipated that 25% of unaccounted for water is a result of aged water meters.","3,150",57,Water Efficiency,Yes,Not Required,"$536,100.00"
MERCER,35,6430037,"$4,059,160.00",42,"GREENVILLE BOROUGH MUNICIPAL 
AUTHORITY - PHASE 1. WIFTA","44 CLINTON STREET, P O BOX 638","DS, LSL",GREENVILLE,35,DWSRF,7/23/21,VI,"Authority proposes to replace approximately 12,000 linear feet of various water mains and service lines along Plum, Washington, 
Clinton and South Second Streets, N. Race Street Ext. and Ridge Avenue in Greenville. The replacement entails approximately 126 
service connections known to have lead service lines on various streets throughout the town. This is Phase I of the Authority’s lead 
line replacement program.
PROB. DESCRIPTION: Various water main and service lines along Plum, Washington, Clinton and South Second Streets, N. Race Street Ext. and Ridge 
Avenue in Greenville have lead service lines.  The identified areas of the distribution system that contain lead components have 
a history of breaks and severe tuberculation.","Various water main and service lines along Plum, Washington, Clinton and South Second Streets, N. Race Street Ext. and Ridge 
Avenue in Greenville have lead service lines.  The identified areas of the distribution system that contain lead components have 
a history of breaks and severe tuberculation.","8,600",71,N/A,No,N/A,$0.00
ERIE,36,6250028,"$6,500,000.00",41,"ERIE CITY WATER AUTHORITY - SERVICE LINE 
REPLACEMENT. WIFTA",340 WEST BAYFRONT PARKWAY,LSL,ERIE,36,DWSRF,7/23/21,VI,"The project will include the replacement of approximately 1,300 existing service connections, from existing water mains in the City of 
Erie, Lawrence Park Township, and Wesleyville Borough. Service connections to be replaced consist of wrought iron pipe which is 
attached to water mains by lead ‘goosenecks’, the short-curved section of pipe between the water main and the property line curb 
box.  The work will include the associated excavation, backfill, and restoration necessary to replace the leaded gooseneck service 
connections.
PROB. DESCRIPTION: Authority has identified the presence of lead goosenecks within some of the aged wrought iron water distribution service lines, 
specifically in Lawrence Park Township, Millcreek Township, and Wesleyville Borough.  These wrought iron service connections 
are connected to the water main by a lead gooseneck between the corporation stop and the curb stop on the utility owned or 
public side.","Authority has identified the presence of lead goosenecks within some of the aged wrought iron water distribution service lines, 
specifically in Lawrence Park Township, Millcreek Township, and Wesleyville Borough.  These wrought iron service connections 
are connected to the water main by a lead gooseneck between the corporation stop and the curb stop on the utility owned or 
public side.","180,000",56,N/A,No,N/A,$0.00
BLAIR,37,4070009,"$1,569,904.00",40,"BELLWOOD BA- CAST IRON WATER 
DISTRIBUTION MAIN REPL. WIFTA",610 CAMBRIA ST.,DS,BELLWOOD,37,DWSRF,7/23/21,III,"The Authority will install approximately 4,000 linear feet of 16"" diameter water main along State Route 865 to replace the existing cast 
iron/lead water main.
PROB. DESCRIPTION: There is currently 100+ year old cast iron/lead water main in the distribution system with leaded joints and leaded gooseneck 
services which could be a source of potential contamination to the system and could cause health concerns for residents, while 
also could be subject to leaks due to the old age.","There is currently 100+ year old cast iron/lead water main in the distribution system with leaded joints and leaded gooseneck 
services which could be a source of potential contamination to the system and could cause health concerns for residents, while 
also could be subject to leaks due to the old age.","3,162",55,N/A,No,N/A,$0.00
BLAIR,38,4070009,"$1,157,062.00",40,"WIFTA- BELLWOOD BA- S.R. 865 LEADED 
JOINT WATERLINE REPL. PHASE 2",610 CAMBRIA ST.,DS,BELLWOOD,38,DWSRF,10/20/21,III,"The Authority will install approximately 3,015 linear feet of 16-inch diameter water main along State Route 865 from the end of Phase 
1 of the project to North Second Street to replace the existing cast iron/lead water main.
PROB. DESCRIPTION: The Authority has 100+ year old cast iron/lead water main in the distribution system with leaded joints and leaded gooseneck 
services which could be a source of potential contamination to the system and could cause health concerns for residents, while 
also could be subject to leaks due to the old age.","The Authority has 100+ year old cast iron/lead water main in the distribution system with leaded joints and leaded gooseneck 
services which could be a source of potential contamination to the system and could cause health concerns for residents, while 
also could be subject to leaks due to the old age.","3,162",55,N/A,No,N/A,$0.00
BRADFORD,39,2080029,"$2,234,500.00",40,"TOWANDA M. A. - MONROE BOROUGH WATER 
LINE REPLACEMENT. WIFTA",724 MAIN STREET,"DS, LSL",TOWANDA,39,DWSRF,7/23/21,IV,"The project will include the replacement of approximately 7,600 linear feet of existing 100+ year old, 10” and 6” diameter cast iron pipe 
and associated service connections, with 10” and 8” diameter ductile iron pipe and modern, lead-free service connections and laterals.
PROB. DESCRIPTION: There is approximately 7,600 linear feet of existing 100+ year old, 10-inch and 6-inch diameter cast iron pipe and associated 
service connections that are lead water lines.","There is approximately 7,600 linear feet of existing 100+ year old, 10-inch and 6-inch diameter cast iron pipe and associated 
service connections that are lead water lines.","5,000",55,N/A,No,N/A,$0.00
PHILADELPHIA,40,1510001,"$40,355,602.00",40,"PHILADELPHIA  - LINEAR ASSETS DRINKING 
WATER LINE REPLACEMENT PRO-FI",1101 MARKET STREET,DS,PHILADELPHIA,40,DWSRF,10/20/21,I,"Philadelphia Water Department is proposing to replace 19.46 miles of 100-year old main in various sections of the City and replace 
the pavement.
PROB. DESCRIPTION: Philadelphia Water Department (PWD) owns 300 miles of water main in the City of Philadelphia.  Throughout the years, PWD 
has experienced leaks and made prompt repairs to older water lines.   No significant outages have occurred.  As part of the City's 
capital improvement plan, 40 miles are replaced each year. The PWD is now proposing to replace approximately 20 miles of 100 
year old water lines.","Philadelphia Water Department (PWD) owns 300 miles of water main in the City of Philadelphia.  Throughout the years, PWD 
has experienced leaks and made prompt repairs to older water lines.   No significant outages have occurred.  As part of the City's 
capital improvement plan, 40 miles are replaced each year. The PWD is now proposing to replace approximately 20 miles of 100 
year old water lines.","1,600,0",55,N/A,No,N/A,$0.00
BEDFORD,41,4050002,"$1,447,500.00",40,"WIFTA- M. A. OF BORO OF BEDFORD- LEAD 
JOINT CAST IRON WTR MAIN REPL.",244 WEST PENN STREET,DS,BEDFORD,41,DWSRF,10/20/21,III,"The project includes the installation of approximately 4,280 linear feet of PVC C900 water distribution main, services, 4 fire hydrants 
and appurtenances along King Street, Preston Street, Fyan Lane, Green Lane & Walnut Street. The proposed water mains will allow 
the decommissioning of existing cast iron water distribution main with leaded joints in addition to removing all existing leaded 
gooseneck service connections encountered during construction.
PROB. DESCRIPTION: The Authority’s distribution system is comprised of old cast iron piping with leaded joints and leaded gooseneck services in 
sections of their distribution system.  The Authority has concerns over the potential for lead to contaminate the water supply and 
cause health issues with residents.","The Authority’s distribution system is comprised of old cast iron piping with leaded joints and leaded gooseneck services in 
sections of their distribution system.  The Authority has concerns over the potential for lead to contaminate the water supply and 
cause health issues with residents.","5,127",55,N/A,No,N/A,$0.00
MONTGOMERY,42,1460037,"$6,072,000.00",40,"WIFTA POTTSTOWN BOROUGH AUTHORITY 
2021 LEAD SERVICE REPL.",CITY HALL 241 EAST KING STREET,"DS, LSL",POTTSTOWN,42,DWSRF,10/20/21,I,"Pottstown Borough Authority is proposing to replace approximately 700 lead service lines and associated appurtenances.
PROB. DESCRIPTION: Properties located in the Northern section of the Borough of Pottstown, constructed prior to 1955, have been identified as having 
critical water infrastructure, consisting of lead service lines.  At this time, no Maximum Contaminate level or Action Level has 
been exceeded.","Properties located in the Northern section of the Borough of Pottstown, constructed prior to 1955, have been identified as having 
critical water infrastructure, consisting of lead service lines.  At this time, no Maximum Contaminate level or Action Level has 
been exceeded.","36,000",55,N/A,No,N/A,$0.00
LEBANON,43,7380023,"$1,404,527.00",40,"MT. GRETNA CAMPMEETING ASSOCIATION, 
INC.-WATER STORAGE TANK REPL.",PO BOX 428,"WS, TREAT",MT. GRETNA,43,STATE BYPASS,4/20/22,III,"The system plans to demolish and replace the existing failing storage tank with a new welded steel storage tank and elevated 
platform.  Improvement to chemical feed equipment and analyzers will improve reliability.
PROB. DESCRIPTION: The system's finished water storage tank is in poor condition and needs to be replaced. Project will help system to supply 
uninterrupted potable water to the service area.","The system's finished water storage tank is in poor condition and needs to be replaced. Project will help system to supply 
uninterrupted potable water to the service area.",375,45,N/A,No,N/A,$0.00
ALLEGHENY,44,5020010,"$1,117,000.00",40,"CORAOPOLIS M. A. - 2021 LEAD JOINT LINE 
REPL. MAIN REPL.",1012 FIFTH AVENUE,"DS, LSL",CORAOPOLIS,44,DWSRF,7/23/21,V,"Proposed project includes the installation of approximately 2,200 linear feet of 6-inch diameter lead joint waterline including valves, 
reconnections to the existing water system, reconnections to existing hydrants, reconnection of 44 existing water service connections, 
full replacement of lead water service connections encountered, replacement of 44 leaded-brass water service meters, and all 
necessary appurtenances and restoration for said construction.
PROB. DESCRIPTION: The purpose of this project is to remove existing lead joint water mains and lead service lines in the Coraopolis Water and Sewer 
Authority (CWSA) service area to improve the overall water quality and reduce the health risk that is present due to the aging 
lines.  While CWSA has not encountered Action Level exceedances, it remains dedicated to a proactive approach to promote 
sustainability of the water systems, including waterline replacement projects involving lead-containing waterlines.","The purpose of this project is to remove existing lead joint water mains and lead service lines in the Coraopolis Water and Sewer 
Authority (CWSA) service area to improve the overall water quality and reduce the health risk that is present due to the aging 
lines.  While CWSA has not encountered Action Level exceedances, it remains dedicated to a proactive approach to promote 
sustainability of the water systems, including waterline replacement projects involving lead-containing waterlines.","6,000",55,N/A,No,N/A,$0.00
BLAIR,45,4070058,"$2,900,000.00",38,"GREENFIELD TOWNSHIP MA- NEW WATER 
TREATMENT FACILITY PROJECT","RD #1, BOX 948","SRC, TREAT",CLAYSBURG,45,STATE BYPASS,10/20/21,III,"The Greenfield Township Municipal Authority (GTMA) is proposing the development of a new groundwater source (well #4) capable of 
pumping 504,000 gallons per day (GPD). A disinfection facility will be constructed for well #4 effluent.
PROB. DESCRIPTION: The system currently has two well sources, well #1 and well #3 each capable of pumping 540,000 GPD and 230,000 GPD, 
respectively. The average daily flow is about 162,000 GPD with peak demand of 255,000 GPD. The system is unable to meet 
adequate source redundancy during peak water demand. The new source will provide the system with sufficient water to meet 
peak demand in the event well #3 is offline.","The system currently has two well sources, well #1 and well #3 each capable of pumping 540,000 GPD and 230,000 GPD, 
respectively. The average daily flow is about 162,000 GPD with peak demand of 255,000 GPD. The system is unable to meet 
adequate source redundancy during peak water demand. The new source will provide the system with sufficient water to meet 
peak demand in the event well #3 is offline.","2,500",43,N/A,No,N/A,$0.00
BLAIR,46,4070002,"$1,750,282.00",38,"FREEDOM TOWNSHIP WSA - EVERETT ROAD 
WATER PROJECT",R.D.#4 BOX 260,DS,DUNCANSVILLE,46,DWSRF,7/23/21,III,"The Authority has proposed to install approximately 8,700-linear feet of ductile iron water main in order to extend the existing 
distribution system to 86 new residents currently on private wells. The extension will also allow the system to provide fire protection to 
the area.
PROB. DESCRIPTION: Residents apart of an unserved area of the Township have low yield wells with some are testing positive for E.coli and Total 
Coliform. Project will eliminate contaminated private wells and provide potable water to the area residents.","Residents apart of an unserved area of the Township have low yield wells with some are testing positive for E.coli and Total 
Coliform. Project will eliminate contaminated private wells and provide potable water to the area residents.","1,400",61,N/A,No,N/A,$0.00
CRAWFORD,47,6200027,"$775,994.00",37,"LINESVILLE BORO. WEST ERIE ST. LEAD LINE 
ABATEMENT. WIFTA",103 W. ERIE STREET,"LSL, DS",LINESVILLE,47,DWSRF,7/23/21,VI,"Approximately 2,300 LF of existing 4""- Cast Iron line will be abandoned in place and new 2,320 LF of 8""- PVC C-900 will be installed 
under the current side walk due to utility conflicts and being able to keep the existing line in service during construction. This includes 
the replacement of all service lines on the Borough side of curb stop, curb stops, replace 2 Fire Hydrants with lead components, 
replace any residential lead service lines found during construction and connect to existing lines and looping dead-ends.
PROB. DESCRIPTION: Existing 2,300 feet of 4-inch galvanized waterlines on West Erie Street from the Penn Street Intersection west to the Borough line 
were constructed in early 1900’s. The identified areas of the distribution system that contain lead components have a history of 
breaks and severe tuberculation. These waterlines contain lead joints and lead goose necks that need replacement.","Existing 2,300 feet of 4-inch galvanized waterlines on West Erie Street from the Penn Street Intersection west to the Borough line 
were constructed in early 1900’s. The identified areas of the distribution system that contain lead components have a history of 
breaks and severe tuberculation. These waterlines contain lead joints and lead goose necks that need replacement.","1,600",52,N/A,No,N/A,$0.00
CRAWFORD,48,6200027,"$1,073,220.00",37,WIFTA - LINESVILLE BOROUGH - EAST ERIE,103 W. ERIE STREET,"DS, LSL",LINESVILLE,48,DWSRF,10/20/21,VI,"Propose project will abandon approximately 2040 linear feet of existing 4-inch diameter Cast Iron line, with a new 2040 LF of 8-inch 
diameter PVC C-900 pipe to be installed under the current side walk due to utility conflicts and being able to keep the existing line in 
service during construction.
-Project also replace all service lines on the Borough side of curb stop, replace all curb stops, remove & replace lead component fire 
hydrant, replace any residential lead service lines found during construction, connect to existing lines.
PROB. DESCRIPTION: The system was installed in the early 1900’s with a cast iron mainline piping material with lead mainline joint material and lead 
gooseneck piping to service connections. There are currently 26 residences connected to the existing 4-inch diameter cast iron 
line on East Erie Street to the intersection with Chestnut Street. There is one fire hydrant on the cast iron water line contains lead 
component.","The system was installed in the early 1900’s with a cast iron mainline piping material with lead mainline joint material and lead 
gooseneck piping to service connections. There are currently 26 residences connected to the existing 4-inch diameter cast iron 
line on East Erie Street to the intersection with Chestnut Street. There is one fire hydrant on the cast iron water line contains lead 
component.","1,600",52,N/A,No,N/A,$0.00
BLAIR,49,4070019,"$3,050,000.00",35,"WIFTA - ROARING SPRING MUNICIPAL 
AUTHORITY - WATERLINE REPL. PROJECT",P.O.BOX 33,DS,ROARING SPRING,49,DWSRF,10/20/21,III,"Proposed project includes approximately 12,150 linear feet of existing cast iron mains replacement with PVC (DR18 C900) piping. 
Water service lines will be replaced to the right-of-way or to the structure foundation if lead lines are discovered.
PROB. DESCRIPTION: The existing Roaring Spring Municipal Authority distribution system is more than 100 years. Sections of the aged piping have 
been subject to leaks/breaks and also pose community health risks since there are sections of cast iron piping and leaded joints.","The existing Roaring Spring Municipal Authority distribution system is more than 100 years. Sections of the aged piping have 
been subject to leaks/breaks and also pose community health risks since there are sections of cast iron piping and leaded joints.","3,182",50,N/A,No,N/A,$0.00
