Rank,Project Sponsor,Project Number,PWSID,Project Name,Population,Building Cost,Support Cost,Estimated Cost,Cat A,Cat B,Cat C.a,Cat C.b,Cat C.c,Cat C.d,Cat D,Cat E,Rank Points,"BIL
Eligibility"
134,Freehold Borough,1315001-002,NJ1315001,Water Plant Development,12052,5000000,,6440000,100,0,15,0,5,0,30,0.12052,150.12052,BIL (GEN)
135,Salem City,1712001-004,NJ1712001,Salem City Water Meter,4931,1092100,253420,1345520,35,0,15,0,5,15,80,0.04931,150.04931,BIL (GEN)
136,"NJ American Water Company, Incorporated",1345001-001,NJ1345001,Jumping Brook WTP Improvement Project,524000,48404702,780000,61719924,100,0,20,5,5,0,15,0.60092,145.60092,
137,Merchantville Pennsauken Water Commission,0424001-005,NJ0424001,Lead line removal,49990,3500000,2707750,4200000,125,0,15,0,5,0,0,0.47144,145.47144,
138,Willingboro Municipal Utilities Authority,0338001-002,NJ0338001,"Replacement of 56,000 LF of 6 and 8-inch mains-Twin
Hills",34731,8100000,2350880,10450880,75,50,20,0,0,0,0,0.34731,145.34731,
138,Willingboro Municipal Utilities Authority,0338001-003,NJ0338001,Replacement of 6 & 8 inch mains in RIttenhouse section,34731,1585600,957664,2543264,75,50,20,0,0,0,0,0.34731,145.34731,
139,Vineland City,0614003-012,NJ0614003,"Upgrades to well #4 water treatment plant including a
new air stripping tower",33000,756000,529200,1285200,100,0,15,0,0,0,30,0.33,145.33,BIL (GEN)
139,Vineland City,0614003-013,NJ0614003,"Upgrades to the existing water treatment plant at well
#13 with new replacement well #18.",33000,4000000,2020000,6020000,100,0,15,0,0,0,30,0.33,145.33,BIL (GEN)
140,Stafford Township,1530004-016,NJ1530004,"Installation of 5,000 LF of main under the GSP as
secondary crossing",28868,3000000,1580000,4580000,75,35,20,0,0,0,15,0.28868,145.28868,
140,Stafford Township,1530004-017,NJ1530004,"Replacement of 1,600 LF of water main on Charles Blvd",28868,363066,344910,707976,75,35,20,0,0,0,15,0.28868,145.28868,
141,Egg Harbor City,0107001-001,NJ0107001,Construction of a new storage tank,4700,2000000,340000,2340000,50,0,15,0,0,0,80,0.047,145.047,BIL (GEN)
142,Hamburg Borough,1909001-002,NJ1909001,Water Storage Tank Rehabilitation,3200,820000,298000,1000000,60,50,20,0,0,0,15,0.03382,145.03382,
143,Netcong Borough,1428001-005,NJ1428001,Roof and Structural repairs to a 1MG reservoir,3236,608125,425687,1033812,60,50,15,5,0,0,15,0.03236,145.03236,
144,Manchester Utilities Authority,1603001-007,NJ1603001,Replace existing booster station,12111,1100000,744000,1844000,60,50,15,0,0,0,15,0.12111,140.12111,
145,Berkeley Township Municipal Utilities Authority,1505004-004,NJ1505004,Install automated meter reading system,8130,500000,350000,850000,25,0,20,0,0,15,80,0.0813,140.0813,BIL (GEN)
146,Hightstown Borough,1104001-009,NJ1104001,Water Tank Painting & Repairs,5567,660500,762700,922600,60,50,15,0,0,0,15,0.054,140.054,
149,Waterford Township Municipal Utilities Authority,0435003-001,NJ0435003,"New water mains for Maximum Contaminant Level
violations",2408,1465738,904923,2370661,125,0,15,0,0,0,0,0.02408,140.02408,
150,Mount Arlington Borough,1426005-003,NJ1426005,"Altenbrand, Windemere, McGregor and Lee Water Main
Extension",133,1529000,330000,2020000,125,0,15,0,0,0,0,0.01978,140.01978,
151,Jersey City Municipal Utilities Authority,0906001-016,NJ0906001,Large Valve Replacement Program- Phase 2,264290,6101000,1220200,7321200,75,0,20,5,5,0,30,2.6429,137.6429,
152,Jersey City Municipal Utilities Authority,0906001-012,NJ0906001,Water Main Replacement,262000,12000000,4643000,16643000,75,0,20,5,5,0,30,2.62,137.62,
152,Jersey City Municipal Utilities Authority,0906001-025,NJ0906001,Phase 1 & 2 Water Main Replacement Project,264161,16166000,3345200,19511200,75,0,20,5,5,15,15,2.62,137.62,
152,Jersey City Municipal Utilities Authority,0906001-026,NJ0906001,5-B Water Project,250000,6100000,725400,7320000,75,0,20,5,5,0,30,2.62,137.62,
152,Jersey City Municipal Utilities Authority,0906001-032,NJ0906001,Van Horne Street Water Improvements,265549,3500000,226400,4200000,75,0,20,5,5,0,30,2.62,137.62,
152,Jersey City Municipal Utilities Authority,0906001-033,NJ0906001,Pine Street Area Water Improvements,5000,14412000,671200,19023840,75,0,20,5,5,0,30,2.62,137.62,
153,East Orange City,0705001-500/001,NJ0705001,Install generators -White Oak Rd,80468,3217000,1159440,4376440,1,50,0,5,0,0,80,0.80468,136.80468,BIL (GEN)
155,Atlantic City Municipal Utilities Authority,0102001-009,NJ0102001,Water Meter and MTU Replacement,75619,2210000,350000,2652000,25,0,15,0,0,15,80,0.756193,135.75619,BIL (GEN)
156,Perth Amboy City,1216001-010,NJ1216001,The Painting of the Backwash Tank and Stand Pipe Project,51928,1316460,,1651532,100,0,0,0,5,0,30,0.52328,135.52328,BIL (GEN)
156,Perth Amboy City,1216001-011,NJ1216001,Upgrades to the Runyon Water Treatment Plant,55436,64159667,,83407567,100,0,0,0,5,0,30,0.52328,135.52328,BIL (GEN)
157,Willingboro Municipal Utilities Authority,0338001-011,NJ0338001,Well 6 Water Treatment Plant Upgrade,34731,6250000,2154000,8404000,100,0,20,0,0,0,15,0.35,135.35,
157,Willingboro Municipal Utilities Authority,0338001-010,NJ0338001,Well5A PFOS Treatment System Upgrade,34731,3497000,15118649,4654400,100,0,20,0,0,0,15,0.35,135.35,BIL (EC)
158,Collingswood Borough,0412001-001,NJ0412001,Collingswood Comly Ave Water Plant,16904,6418510,80000,8034312,100,0,15,5,0,0,15,0.245,135.245,
159,Passaic Valley Water Commission,1605002-010,NJ1605002,Installation of a back up Wanaque interconnection line,347052,750000,525000,1275000,30,0,20,0,0,0,80,3.47052,133.47052,BIL (GEN)
159,Passaic Valley Water Commission,1605002-016,NJ1605002,Upgrade the interconnection with United WC,347052,2000000,1140000,3140000,30,0,20,0,0,0,80,3.47052,133.47052,BIL (GEN)
159,Passaic Valley Water Commission,1605002-022,NJ1605002,Emergency interconnection upgrade,347052,2000000,1140000,3140000,30,0,20,0,0,0,80,3.47052,133.47052,BIL (GEN)
160,Jersey City Municipal Utilities Authority,0906001-010,NJ0906001,Journal Square North Cleaning,262000,5000000,2067000,7067000,75,0,20,5,0,0,30,2.62,132.62,
160,Jersey City Municipal Utilities Authority,0906001-009,NJ0906001,Burma Road Area Water System Improvements,262000,2000000,770000,2770000,75,0,15,5,5,0,30,2.62,132.62,
160,Jersey City Municipal Utilities Authority,0906001-030,NJ0906001,Phase 7a Water Improvements,265549,24797788,,29985840,75,0,20,5,0,0,30,2.62,132.62,
161,Jersey City Municipal Utilities Authority,0906001-018,NJ0906001,Tonnele Avenue Water Main Replacement and Relining,257342,5540000,1902800,7442800,75,0,15,5,5,0,30,2.57342,132.57342,
162,Jersey City Municipal Utilities Authority,0906001-006,NJ0906001,Transmission Main Install,247000,13500000,6310000,19810000,75,0,20,5,0,0,30,2.47,132.47,
162,"NJ City Univ. / Jersey City Municipal Utilities
Authority",0906001-005,NJ0906001,Redevelopment of Brownfield site,247000,882867,601385,1484252,75,0,20,5,0,0,30,2.47,132.47,
163,"NJ American Water Company, Incorporated",0712001-016,NJ0712001,"NJ American Water Lead Service Line Replacement
Program PWSID 0712001",217230,2805000,1027600,3832600,125,0,0,5,0,0,0,1.74985,131.74985,
167,Manchester Township,1518005-004,NJ1518005,MANCHESTER TOWNSHIP 1.0MG ELEVATED TANK,21200,4962608,380619,6135129,50,0,0,0,0,0,80,0.212,130.212,BIL (GEN)
168,Pine Hill Municipal Utilities Authority,0428002-001,NJ0428002,"Construction of GAC filtration system for removal of IPMP
- Critical Area #2",12492,250000,175000,425000,100,0,0,0,0,0,30,0.12492,130.12492,BIL (GEN)
169,Bellmawr Borough,0404001-005,NJ0404001,Improvements to WTP,11583,415500,83100,498600,100,0,0,0,0,0,30,0.11583,130.11583,BIL (GEN)
170,Sussex Borough,1921001-001,NJ1921001,Water Treatment Plant upgrades,2666,116857,-16359,100497,100,0,0,0,0,0,30,0.02666,130.02666,BIL (GEN)
171,Bayville Central Regional Board of Education,1505355-001,NJ1505355,Additional treatment on existing well,2500,1000000,700000,1700000,100,0,0,0,0,0,30,0.025,130.025,
172,Downe Township,0604001-004,NJ0604001,Construction of new storage tank on New Jersey Avenue,770,600000,420000,1020000,50,0,0,0,0,0,80,0.0077,130.0077,BIL (GEN)
173,"NJ American Water Company, Incorporated",1345001-019,NJ1345001,Howell-Lakewood Transmission Main,290470,32000000,9050000,41050000,75,50,0,0,0,0,0,2.55333,127.55333,
174,Middlesex Water Company,1225001-018,NJ1225001,Construction of a water main,233376,23200000,8884000,32084000,75,50,0,0,0,0,0,2.33376,127.33376,
174,Middlesex Water Company,1225001-019,NJ1225001,"Replacement of 5,000 LF of 24-inch cast iron mains",233376,4200000,2108000,6308000,75,50,0,0,0,0,0,2.33376,127.33376,
175,Middlesex Water Company,1225001-028,NJ1225001,RENEW 2018 - Woodbridge Twp.,22844,8591350,2607612,11198962,75,50,0,0,0,0,0,1.33355,126.33355,
176,Atlantic City Municipal Utilities Authority,0102001-008,NJ0102001,Water Meter Replacement Program,94225,$-,$-,$-,25,0,20,0,0,0,80,0.95,125.95,BIL (GEN)
177,Old Bridge Municipal Utilities Authority,1209002-005,NJ1209002,"Laurence Harbor Water System Upgrade, Phase 1",65375,1753990,182000,2315267,75,50,0,0,0,0,0,0.67215,125.67215,
178,Bayonne Municipal Utilities Authority,0901001-004,NJ0901001,"Rehabilitation of gate house valve chamber and venturi
flow meter",61842,900000,594000,1494000,75,0,20,0,0,0,30,0.61842,125.61842,BIL (GEN)
179,Hoboken City,0905001-002,NJ0905001,Water Main Upgrades (2018),54379,4443160,1127465,5570625,75,50,0,0,0,0,0,0.54379,125.54379,
180,Aqua New Jersey Incorporate,0415002-008,NJ0415002,"Replacement of 5,900 LF of water main on Lakeside, East Blenheim, Haines, Lake & Church, etc",49350,936100,723456,1659556,75,50,0,0,0,0,0,0.4935,125.4935,
181,Long Beach Township,1517001-013,NJ1517001,Replacement of water mains,35367,2466545,1345278,3811823,75,50,0,0,0,0,0,0.35367,125.35367,
183,Hackettstown Municipal Utilities Authority,2108001-001,NJ2108001,"Construction of New Water Storage Tank w/ related
water distribution lines",22500,3500000,4110707,4445700,60,50,15,0,0,0,0,0.22,125.22,
184,Ramsey Borough,0248001-001,NJ0248001,"Construction of mains (Rte 17, Grant & Airmount)",16350,1690000,1003600,2693600,75,50,0,0,0,0,0,0.1635,125.1635,
184,Ramsey Borough,0248001-002,NJ0248001,Replacement of mains (Carol & Maple),16350,1340000,849600,2189600,75,50,0,0,0,0,0,0.1635,125.1635,
184,Ramsey Borough,0248001-003,NJ0248001,"Construction of mains (Rte 17, Snyder & Airmount)",16350,985000,689500,1674500,75,50,0,0,0,0,0,0.1635,125.1635,
184,Ramsey Borough,0248001-004,NJ0248001,Construction of mains (Lakeview & Airmount),16350,795000,556500,1351500,75,50,0,0,0,0,0,0.1635,125.1635,
186,Harrison Town,0904001-001,NJ0904001,"Cleaning & Lining of mains on Grant Ave., Cleveland Ave.,
& Hamilton Street",14425,5500000,2680000,8180000,75,0,20,0,0,0,30,0.14425,125.14425,
186,Harrison Town,0904001-004,NJ0904001,"Cleaning and Lining and of approximately 3,000 LF of 10,
12 and 14 inch mains",14425,2000000,1140000,3140000,75,0,20,0,0,0,30,0.14425,125.14425,
186,Harrison Town,0904001-005,NJ0904001,"Replacement of 3,160 LF of water mains on S 2nd, Frank
E. Rogers Blvd & Scott Mobus Place",14425,1500000,920000,2420000,75,0,20,0,0,0,30,0.14425,125.14425,
187,Clinton Town,1005001-010,NJ1005001,"West Main Street Water Main Replacement Project -
Asset Management Planning",12500,998750,449437,1448187,75,50,0,0,0,0,0,0.125,125.125,
187,Clinton Town,1005001-014,NJ1005001,"Town of Clinton - Galvanized Service Line Replacement -
SFY23",1000,3250000,,4050000,125,0,0,0,0,0,0,0.125,125.125,
187,Clinton Town,1005001-015,NJ1005001,"Town of Clinton - Galvanized Service Line Replacement -
SFY24",1000,3250000,,4050000,125,0,0,0,0,0,0,0.125,125.125,
187,Clinton Town,1005001-016,NJ1005001,"Town of Clinton - Galvanized Service Line Replacement -
SFY25",1000,3250000,,4050000,125,0,0,0,0,0,0,0.125,125.125,
187,Clinton Town,1005001-017,NJ1005001,"Town of Clinton - Galvanized Service Line Replacement -
SFY26",1000,3250000,,4050000,125,0,0,0,0,0,0,0.125,125.125,
187,Clinton Town,1005001-018,NJ1005001,"Town of Clinton - Galvanized Service Line Replacement -
SFY27",1000,3250000,,4050000,125,0,0,0,0,0,0,0.125,125.125,
188,Spotswood Borough,1224001-001,NJ1224001,"Cleaning and lining of approximaty 3,600 LF of water
mains",8300,2528595,915319,3443914,75,50,0,0,0,0,0,0.083,125.083,
189,Point Pleasant Beach Borough,1525001-002,NJ1525001,Ocean Avenue Water Main Replacement,7733,2160000,3900000,2756800,75,50,0,0,0,0,0,0.0773333,125.07733,
190,Glen Ridge Borough,0708001-008,NJ0708001,GR-2017-LSL-R/FH-RR Lead Service Water-Line Replacement/Fire Hydrant - Repairs & Replacement & Water System Asset Management Plan,7681,1606395,,2573210,75,50,0,0,0,0,0,0.07681,125.07681,
190,Glen Ridge Borough,0708001-009,NJ0708001,"GR-Lead Service Lines Replacement (Main to Dwelling) -
Phase 1",7527,1200000,800000,2000000,125,0,0,0,0,0,0,0.07681,125.07681,
191,Passaic Valley Water Commission,0239001-002,NJ0239001,Lead Service Line Replacement in North Arlington System,15741,8500000,3800000,10200000,125,0,0,0,0,0,0,0.03968,125.03968,
192,High Bridge Borough,1014001-003,NJ1014001,West Main Street Water Main Upgrades,3648,350000,444073,462000,75,50,0,0,0,0,0,0.033,125.033,
194,Hampton Borough,1013001-002,NJ1013001,Hampton Borough - Galvanized Service Line Replacement,1400,600000,,770000,125,0,0,0,0,0,0,0.01401,125.01401,
195,Jersey City Municipal Utilities Authority,0906001-022,NJ0906001,"Hackensack River 36"" Aqueduct replacement",270753,10000000,5910317,12750000,75,0,20,5,5,0,15,2.62,122.62,
195,Jersey City Municipal Utilities Authority,0906001-024,NJ0906001,Phase 2A Water,250000,9700000,1800000,11640000,75,0,20,5,5,0,15,2.62,122.62,
195,Jersey City Municipal Utilities Authority,0906001-023,NJ0906001,Phase 5A Water Project,262000,7750000,,9300000,75,0,20,5,5,0,15,2.62,122.62,
196,Perth Amboy City,1216001-009,NJ1216001,The Replacement of Water Meters Project,47300,575830,259123,834953,25,0,0,0,0,15,80,0.473,120.473,BIL (GEN)
197,Willingboro Municipal Utilities Authority,0338001-012,NJ0338001,Well No. 1 Water Treatment Plant Upgrade,34731,2001800,1718944,3720744,100,0,20,0,0,0,0,0.37731,120.37731,
198,Vineland City,0614003-017,NJ0614003,2016 Water Distribution Rehabilitation Project,36848,1906425,740056,2646481,75,0,15,0,0,0,30,0.3625,120.3625,BIL (GEN)
199,Vineland City,0614003-007,NJ0614003,"Replacement of 1.4 miles of 8-inch with 10 -inch water
mains",33000,1100000,744000,1844000,75,0,15,0,0,0,30,0.33,120.33,BIL (GEN)
199,Vineland City,0614003-008,NJ0614003,"Replacement of 2,300 LF of 8-, 10- and 12-inch water
mains",33000,350000,245000,595000,75,0,15,0,0,0,30,0.33,120.33,BIL (GEN)
199,Vineland City,0614003-009,NJ0614003,"Construction of .4 miles of 12-inch water mains to loop
dead ends and enhance water pressure",33000,200000,140000,340000,75,0,15,0,0,0,30,0.33,120.33,BIL (GEN)
200,Orange City,0717001-012,NJ0717001,Orange Twp | Interconnection and Distribution Project,30731,1200200,618000,1440240,30,0,0,5,5,0,80,0.30134,120.30134,BIL (GEN)
202,Wildwood City,0514001-003,NJ0514001,"Water system improvements - 2016 street & utility
reconstruction",20361,2100000,480000,2580000,75,0,15,0,0,0,30,0.203607,120.20361,BIL (GEN)
203,Tuckerton Borough,1532002-007,NJ1532002,"Curlew Rd. and Kingfisher Rd. Water Main Replacement and Well#3, Well#4 Rehabilitation/Repairs.",3371,1268730,,1649349,75,0,15,0,0,0,30,0.06285,120.06285,BIL (GEN)
204,Passaic Valley Water Commission,1605002-009,NJ1605002,"Replacement of surface water intake facilities on the
Passaic River",347052,800000,560000,1360000,15,0,20,0,0,0,80,3.47052,118.47052,BIL (GEN)
205,Jersey City Municipal Utilities Authority,0906001-021,NJ0906001,Phase 5 Water Mains,261666,7000000,1547000,8547000,75,0,15,5,5,0,15,2.61666,117.61666,
205,Jersey City Municipal Utilities Authority,0906001-020,NJ0906001,Phase 3 and 4 Water Main Replacement Project,261666,2973465,713173,3686638,75,0,15,5,5,0,15,2.61666,117.61666,
206,Jersey City Municipal Utilities Authority,0906001-014,NJ0906001,Brookdale Gate House Improvements,257342,992000,674560,1666560,75,0,20,5,0,0,15,2.57342,117.57342,
208,Winslow Township,0436007-003,NJ0436007,New 1.0 MG finished water storage tank,39328,1000000,700000,1700000,50,50,15,0,0,0,0,0.39328,115.39328,
209,Monroe Municipal Utilities Authority,0811002-002,NJ0811002,Water Treatment System Rehabilitation,37117,1500000,,1800000,100,0,0,0,0,0,15,0.26179,115.26179,
210,Hamilton Township Municipal Utilities Authority,0112001-004,NJ0112001,HTMUA WELL #8 REHABILITATION,23176,1100000,3992144,1352650,100,0,0,0,0,0,15,0.2172,115.2172,
211,Ship Bottom Borough,1528001-003,NJ1528001,Water Treatment Plant Reconstruction,17437,8000000,2147725,9900000,100,0,0,0,0,0,15,0.174373,115.17437,
213,Berlin Borough,0405001-005,NJ0405001,"Repairs to Plant#1 filter and complete replacement of
filter media",13121,80500,57030,137530,100,0,15,0,0,0,0,0.13121,115.13121,
215,Hightstown Borough,1104001-003,NJ1104001,"Construct 80,000 gallon backwash tank and re-line
existing lagoons",5567,450000,315000,765000,100,0,15,0,0,0,0,0.05567,115.05567,
216,National Park Borough,0812001-001,NJ0812001,Replacement of a WTP,3289,2289450,1193852,3483302,100,0,0,0,0,0,15,0.03289,115.03289,BIL (GEN)
217,Sussex Borough,1921001-004,NJ1921001,Water Meter Replacement Project,2130,338850,75770,414620,35,0,0,0,0,0,80,0.0213,115.0213,BIL (GEN)
218,Allentown Borough,1302001-004,NJ1302001,Water Treatment Plant Improvements,1828,1628000,700960,2328960,100,0,15,0,0,0,0,0.01828,115.01828,
220,North Jersey District Water Supply Commission,1613001-034,NJ1613001,"Security, IT and Safety Projects",872153,950350,496558,1446908,45,50,20,0,0,0,0,0.0015,115.0015,
222,Jersey City Municipal Utilities Authority,0906001-015,NJ0906001,Van Winkle Ave. Water Main Replacement,247597,2799120,1025718,3824838,75,0,20,0,0,0,15,2.47,112.47,
223,Middlesex Water Company,1225001-020,NJ1225001,Replace the Tingley Lane pump station,233376,10000000,4660000,14660000,60,50,0,0,0,0,0,2.33376,112.33376,
225,Brick Township Municipal Utilities Authority,1506001-008,NJ1506001,"Undersized Water Main Replacement Cedar Park East and
West",100000,4616240,1607196,6223436,75,0,20,0,0,0,15,0.86898,110.86898,
228,Kearny Town,0907001-001A,NJ0907001,Water Facility and Ground Improv. Program,291648,20495142,4099028,24594170,75,0,20,0,0,0,15,0.41664,110.41664,
229,Long Beach Township,1517001-012,NJ1517001,"Rehabilitation of four storage tanks-Beach Haven Terrace,
Brant Beach, Holgate & Pehala Park",35367,1000000,700000,1700000,60,50,0,0,0,0,0,0.35367,110.35367,
231,Orange City,0717001-005,NJ0717001,Cleaning & Lining of mains,30000,1675000,997000,2672000,75,0,0,5,0,0,30,0.3,110.3,BIL (GEN)
232,Phillipsburg Redevelopment Authority,2119001-006,NJ2119001,"Installation of 5,300 LF of 8 and 12-inch water mains for a
brownfield site",18162,2099859,1180309,3280168,75,0,0,0,5,0,30,0.18162,110.18162,
233,Ramsey Borough,0248001-005,NJ0248001,Rehabilitation of Airmount reservoir,16350,430000,144000,574000,60,50,0,0,0,0,0,0.1635,110.1635,
234,Salem City,1712001-002,NJ1712001,Installation of a new well,5857,130000,91000,221000,15,0,15,0,0,0,80,0.05857,110.05857,BIL (GEN)
235,Netcong Borough,1428001-006,NJ1428001,Replacement of Water meters,3236,225000,157500,382500,25,50,15,5,0,0,15,0.03236,110.03236,
236,West Cape May Borough,0512001-001,NJ0512001,Lead Line Remediation,51,625000,700000,906250,75,0,20,0,0,0,15,0.011,110.011,
237,North Jersey District Water Supply Commission,1613001-030,NJ1613001,Modify and Expand Central Receiving Building,872153,605000,511226,1116226,1,50,20,0,0,0,30,8.72153,109.72153,
237,North Jersey District Water Supply Commission,1613001-007,NJ1613001,"Acquisition and integration of the Kearny/Bayonne
Transmission main",872153,30000000,11060000,41060000,1,50,20,0,0,0,30,8.72153,109.72153,
238,Jersey City Municipal Utilities Authority,0906001-028,NJ0906001,Dam Security Improvements,265932,1250000,317200,1682400,45,0,20,5,5,0,30,2.65932,107.65932,
239,"NJ American Water Company, Incorporated",2004002-007,NJ2004002,"Painting of the Raritan Millstone backwash tank at the
WTP",610000,395000,276500,671500,100,0,0,0,0,0,0,6.1,106.1,
240,Perth Amboy City,1216001-001,NJ1216001,Replacement of undersize water main - Center Street,50814,1209050,791982,2001032,75,0,0,0,0,0,30,0.50814,105.50814,BIL (GEN)
240,Perth Amboy City,1216001-002,NJ1216001,Replacement of undersize water main - State Street,50814,2490000,1355600,3845600,75,0,0,0,0,0,30,0.50814,105.50814,BIL (GEN)
240,Perth Amboy City,1216001-003,NJ1216001,"Cleaning & Lining of water mains-Central bussiness
District",50814,1000000,700000,1700000,75,0,0,0,0,0,30,0.50814,105.50814,BIL (GEN)
241,Montclair Township,0713001-012,NJ0713001,"Montclair Township - PFOAS and Perchlorate Treatment -
Rand Well",3800,2000000,,2570000,100,0,0,5,0,0,0,0.37669,105.37669,BIL (EC)
242,Garfield City,0221001-004,NJ0221001,Replacement of water mains,29780,4200000,2108000,6308000,75,0,0,0,0,0,30,0.2978,105.2978,BIL (GEN)
242,Garfield City,0221001-006,NJ0221001,"Replacement of 8,000 LF of 6-inch to 12-inch water main
& replacement of 30 valves",29780,4500000,3415000,7915000,75,0,0,0,0,0,30,0.2978,105.2978,BIL (GEN)
243,Lakewood Township Municipal Utilities Authority,1514002-012,NJ1514002,Installation of a new storage tank,25000,100000,70000,170000,50,25,0,0,0,0,30,0.25,105.25,BIL (GEN)
244,Little Egg Harbor Municipal Utilities Authority,1516001-007,NJ1516001,Little Egg Harbor Water Improvements Phase II,24215,1685470,190000,2106664,75,0,15,0,0,0,15,0.24215,105.24215,BIL (GEN)
245,Middlesex Water Company,1225001-027,NJ1225001,RENEW 2019 - Carteret,23992,6900000,4210000,11110000,75,0,0,0,0,15,15,0.23992,105.23992,
246,West Deptford Township,0820001-003,NJ0820001,Water Meter Replacment Project,21248,2958200,666640,3624840,25,50,0,0,0,15,15,0.21248,105.21248,
247,Manchester Township,1518005-003,NJ1518005,Install automated meters,21083,1600000,1044444,2644444,25,0,0,0,0,0,80,0.210833,105.21083,BIL (GEN)
248,South Orange Village,0719001-008,NJ0719001,Well 17 Air Stripper,16198,250000,112500,362500,100,0,0,5,0,0,0,0.16964,105.16964,
249,Ventnor City,0122001-001,NJ0122001,Clean and line 8 and 14inch water mains,12900,1425000,865000,2290000,75,0,0,0,0,0,30,0.129,105.129,BIL (GEN)
250,Red Bank Borough,1340001-003,NJ1340001,White Street Water Main,12350,468625,1426692,562350,75,0,15,0,0,0,15,0.1235,105.1235,
251,Manchester Utilities Authority,1603001-008,NJ1603001,"Slip line 16,000 LF unlined cast iron 16inch pipe in High Mountain in Haledon and North Haledon w/ smaller
diameter pipe",12111,1100000,744000,1844000,75,0,15,0,0,0,15,0.12111,105.12111,
253,Wallington Borough,0265001-001,NJ0265001,Replacement of 6-inch mains with 8-inch mains,11580,1295845,830170,2126015,75,0,0,0,0,0,30,0.1158,105.1158,
254,Gloucester City,0414001-002,NJ0414001,Water Main replacement on Broadway & Koehler Streets,11484,799205,559442,1358647,75,0,0,0,0,0,30,0.11484,105.11484,BIL (GEN)
254,Gloucester City,0414001-003,NJ0414001,Water Main replacement on Jersey Avenue,11484,2038605,1156986,3195591,75,0,0,0,0,0,30,0.11484,105.11484,BIL (GEN)
254,Gloucester City,0414001-007,NJ0414001,Water Main replacement on Johnson Blvd.,11484,856487,599538,1456025,75,0,0,0,0,0,30,0.11484,105.11484,BIL (GEN)
254,Gloucester City,0414001-008,NJ0414001,Water Main replacement on Market Street,11484,450005,315002,765007,75,0,0,0,0,0,30,0.11484,105.11484,BIL (GEN)
254,Gloucester City,0414001-009,NJ0414001,Water Main replacement on Park Avenue,11484,791314,553918,1345232,75,0,0,0,0,0,30,0.11484,105.11484,BIL (GEN)
254,Gloucester City,0414001-010,NJ0414001,Water Main replacement on Baynes Avenue,11484,477153,334006,811159,75,0,0,0,0,0,30,0.11484,105.11484,BIL (GEN)
254,Gloucester City,0414001-011,NJ0414001,"Water Main replacement on Brown Street, E. Brown
Street, Sparks Avenue",11484,1667072,993509,2660581,75,0,0,0,0,0,30,0.11484,105.11484,BIL (GEN)
254,Gloucester City,0414001-012,NJ0414001,Water Main replacement on Nicholson Road,11484,217305,152112,369417,75,0,0,0,0,0,30,0.11484,105.11484,BIL (GEN)
254,Gloucester City,0414001-013,NJ0414001,"Replacement of 2,200 LF of water mains on Charles Street",11484,1118625,751231,1869856,75,0,0,0,0,0,30,0.11484,105.11484,BIL (GEN)
256,Hammonton Town,0113001-001,NJ0113001,"Water main extension along Egg Harbor Road, and Eighth Street to create loops and eliminate dead ends",11300,250000,175000,425000,75,0,15,0,0,0,15,0.113,105.113,
256,Hammonton Town,0113001-002,NJ0113001,"Replacement of water mains on Central Ave., Golf Dr., &
12th Street.",11300,1000000,700000,1700000,75,0,15,0,0,0,15,0.113,105.113,
256,Hammonton Town,0113001-003,NJ0113001,"Replacement of 2,900 LF of water mains on Rte 54",11300,485000,339500,824500,75,0,15,0,0,0,15,0.113,105.113,
257,Pemberton Township,0329004-006,NJ0329004,Various Water System Improvements,10815,400000,366000,766000,75,0,15,0,0,0,15,0.10815,105.10815,BIL (GEN)
258,Pine Hill Municipal Utilities Authority,0428002-003,NJ0428002,"Erial Road Water Main Rehab and Branch Avenue
Pressure Reducing Valve",10233,2806223,,3367467,75,0,0,0,0,0,30,0.10233,105.10233,BIL (GEN)
259,Paulsboro Borough,0814001-002,NJ0814001,"Replacement of 2,300 water meters",6025,880000,616000,1496000,25,0,0,0,0,0,80,0.06025,105.06025,BIL (GEN)
260,Hightstown Borough,1104001-010,NJ1104001,2017 Water Main Improvements,5567,1239150,536528,1775678,75,0,15,0,0,0,15,0.05567,105.05567,
261,Hightstown Borough,1104001-011,NJ1104001,"Hauser, Bennet and Prospect Water Mains",5304,468825,,609472,75,0,15,0,0,0,15,0.054,105.054,
264,Sussex Borough,1921001-002,NJ1921001,Replacement of 75 year old water mains,2666,1402286,-196321,1205964,75,0,0,0,0,0,30,0.02666,105.02666,BIL (GEN)
265,Brooklawn Borough,0407001-004,NJ0407001,"Removal and replacement 1,500 LFof 6-inch water mains",2300,1483000,912520,2395520,75,0,0,0,0,0,30,0.023,105.023,BIL (GEN)
266,Oak Ridge Senior Housing Community,1414008-001,NJ1414008,Oakridge Senior Community Water Lines,100,386750,143550,530300,75,0,0,0,0,0,30,0.001,105.001,
267,"NJ American Water Company, Incorporated",1345001-005,NJ1345001,"Replacement of ozone generators at Swimming River
WTP",289553,519890,-39978,479911,100,0,0,0,0,0,0,2.89553,102.89553,
268,Middlesex Water Company,1225001-025,NJ1225001,Western Transmission Main,233376,29000000,13210000,42210000,30,50,15,5,0,0,0,2.33376,102.33376,
270,Berkeley Township Municipal Utilities Authority,1505004-002,NJ1505004,Install new water mains,8130,5226820,1805363,7032183,1,0,20,0,0,0,80,0.0813,101.0813,BIL (GEN)
