PWSID Number,Project Number,Entity,Project Name,Project City,Project County,Project Description,Project Cost,Population,Entity Type
CO0112810,150030D,Costilla County,Viejo San Acacio,Viejo San Acacio,Costilla,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities,"$1,900,000 ",45,Gov
CO0222230,200340D,Cotopaxi School District RE-3,Cotopaxi Consolidated School District,Cotopaxi,Fremont,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water Supply Facilities,"$1,000,000 ",294,Gov
CO0118020,160140D,Cottonwood Water and Sanitation District,,Parker,Douglas,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water Supply Facilities; Source  Water Protection Plan,"$38,100,000 ","20,000",Gov
CO0103186,200080D,Country Homes Metropolitan District,,Englewood,Arapahoe,Construction or Rehabilitation of Distribution and/or Transmission Lines Improvement/Expansion of Water Treatment Facilities; Connection to a New,"$100,000 ",100,Gov
CO0141188,140520D,"Craig, City of",,Craig,Moffat,or Existing Water Treatment Facility; Construction or Rehabilitation of  Distribution and/or Transmission Lines; Water Storage Facilities; Water  Supply Facilities; Green Infrastructure,"$21,500,000 ","9,500",Gov
CO0115189,200090D,Crawford Mesa Water Association,,Crawford,Delta,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters; Green Infrastructure,"$1,750,000 ",550,PNFP
CO0115188,140530D,"Crawford, Town of",,Crawford,Delta,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Meters; Source Water Protection Plan,"$4,660,000 ",486,Gov
CO0140500,220090D,"Creede, City of",,Creede,Mineral,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities,"$350,000 ",304,Gov
CO0101188,160160D,Creek Side Estates Water District,Creek Side Estates  HOA,Brighton,Adams,New Water Treatment Facilities; Construction or Rehabilitation of  Distribution and/or Transmission Lines; Water Storage Facilities; Water  Meters,"$2,200,000 ",225,PNFP
CO0126188,190140D,Crested Butte South Metropolitan District,,Crested Butte,Gunnison,New Water Treatment Facilities; Water Supply Facilities; Water Meters Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Supply,"$1,250,000 ","1,700",Gov
CO0126188,140560D,"Crested Butte, Town of",,Crested Butte,Gunnison,,"$26,250,000 ","1,617",Gov
CO0155188,200100D,"Crestone, Town of",,Crestone,Saguache,Facilities Improvement/Expansion of Water Treatment Facilities; Water Supply  Facilities,"$37,420 ",472,Gov
CO0160100,140580D,"Cripple Creek, City of",,Cripple Creek,Teller,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Source Water Protection Plan; Green  Infrastructure,"$9,475,000 ","1,250",Gov
CO0138005,140590D,"Crook, Town of",,Crook,Logan,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters; Source Water Protection  Plan,"$2,250,000 ",182,Gov
CO0113200,170080D,Crowley County,Crowley County  Water System,Ordway,Crowley,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage,"$910,000 ","2,000",Gov
CO0113100,220100D,Crowley County Water Association,,Ordway,Crowley,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage,"$1,490,000 ",530,PNFP
CO0113300,140610D,"Crowley, Town of",,Crowley,Crowley,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage,"$1,120,000 ",166,Gov
CO0128100,140620D,Cucharas Sanitation and Water District,,La Veta,Huerfano,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities; Water Supply Facilities; Water Meters; Water New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities; Water Supply Facilities; Water Meters; Water,"$2,869,000 ","1,200",Gov
CO0162200,200110D,"Dacono, City of",,Dacono,Weld,Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Rights,"$17,598,696 ","5,700",Gov
CO0154200,220110D,Dakota Ridge Homeowners Association,,Steamboat Springs,Routt,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters,"$1,320,000 ",296,PNFP
CO0146485,180030D,Dallas Creek Water Company,,Montrose,Ouray,Consolidation of Water Treatment Facilities; Construction or Rehabilitation  of Distribution and/or Transmission Lines Improvement/Expansion of Water Treatment Facilities; Consolidation of,"$750,000 ","3,500",PNFP
CO0139205,170090D,"De Beque, Town of",,De Beque,Mesa,Water Treatment Facilities; Construction or Rehabilitation of Distribution  and/or Transmission Lines; Water Storage Facilities; Water Supply Facilities;  Water Meters,"$2,029,400 ",506,Gov
CO0120246,190010D,Deer Creek Water District,,Parker,Elbert,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters,"$1,250,000 ",500,Gov
CO0103030,160170D,"Deer Trail, Town of",,Deer Trail,Arapahoe,Improvement/Expansion of Water Treatment Facilities; Consolidation of  Water Treatment Facilities; Connection to a New or Existing Water  Treatment Facility; Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water Supply Facilities; Water Improvement/Expansion of Water Treatment Facilities; Consolidation of  Water Treatment Facilities; Connection to a New or Existing Water  Treatment Facility; Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water Supply Facilities; Water,"$2,200,000 ",805,Gov
CO0154205,220120D,Deerwood Service Company,,Oak Creek,Routt,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters,"$1,245,000 ",67,PNFP
CO0153200,150040D,"Del Norte, Town of",,Del Norte,Rio Grande,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water Supply Facilities; Water  Meters,"$22,475,000 ","1,601",Gov
CO0115205,140650D,"Delta, City of",,Delta,Delta,Construction or Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities,"$26,709,000 ","9,034",Gov
Unknown,143100D,Denver Southeast Suburban Water and  Sanitation District,,Parker,Douglas,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Supply  Facilities,"$11,000,000 ","15,000",Gov
CO0116001,200120D,Denver Water,,Denver,Denver,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines,"$673,542,000 ","1,287,000",Gov
CO0159040,140660D,Dillon Valley Metropolitan District,,Dillon,Summit,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities Improvement/Expansion of Water Treatment Facilities; Construction or,"$10,000,000 ","3,000",Gov
CO0159035,140670D,"Dillon, Town of",,Dillon,Summit,Rehabilitation of Distribution and/or Transmission Lines; Water Supply  Facilities; Green Infrastructure Construction or Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities; Water Supply Facilities,"$4,000,000 ","3,254",Gov
CO0141210,190160D,"Dinosaur, Town of",,Dinosaur,Moffat,,"$1,010,000 ",310,Gov
CO0160295,140690D,Divide MPC Metropolitan District No. 1 and  No. 2,,Divide,Teller,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Supply  Facilities; Water Meters,"$1,060,000 ",189,Gov
CO0160275,160180D,Divide South Water User's Association and  Ditch Company,,Divide,Teller,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities,"$3,227,500 ",55,PNFP
CO0142400,210070D,"Dolores, Town of",,Dolores,Montezuma,Construction or Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities; Water Meters,"$6,660,000 ",950,Gov
CO0118021,230110D,Dominion Water and Sanitation District,,Littleton; Roxborough;  Louviers; Sedalia,Douglas,Improvement/Expansion of Water Treatment Facilities; Connection to a New  or Existing Water Treatment Facility; Water Storage Facilities; Water Supply  Facilities; Water Meters,"$84,138,000 ","3,310",Gov
CO0121175,140710D,Donala Water and Sanitation District,,Colorado Springs,El Paso,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Rights; Source Water Protection  Plan; Green Infrastructure,"$23,200,000 ","9,150",Gov
CO0149218,230120D,Double K Water Association,,Basalt,Pitkin,Improvement/Expansion of Water Treatment Facilities; Consolidation of  Water Treatment Facilities; Construction or Rehabilitation of Distribution  and/or Transmission Lines; Water Storage Facilities,"$2,700,000 ",70,PNFP
CO0117300,200130D,"Dove Creek, Town of",,Dove Creek,Dolores,Construction or Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities; Water Meters,"$1,070,000 ",735,Gov
CO0134190,140720D,Durango West Metropolitan District No. 2,,Durango,La Plata,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Source Water Protection Plan,"$1,260,000 ",900,Gov
CO0134150,140730D,"Durango, City of",,Durango,La Plata,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities,"$39,000,000 ","20,500",Gov
CO0131400,140740D,"Eads, Town of",,Eads,Kiowa,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Construction or Rehabilitation of Distribution and/or  Transmission Lines; Connection to a New or Existing Water Treatment  Facility; Water Storage Facilities; Water Supply Facilities; Water Meters; New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Construction or Rehabilitation of Distribution and/or  Transmission Lines; Connection to a New or Existing Water Treatment  Facility; Water Storage Facilities; Water Supply Facilities; Water Meters;,"$965,000 ",672,Gov
CO0119802,210080D,Eagle River Water and Sanitation District,,Vail,Eagle,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters,"$36,063,000 ","19,351",Gov
CO0119233,140760D,"Eagle, Town of",,Eagle,Eagle,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters; Green Infrastructure,"$16,600,000 ","7,500",Gov
CO0102200,140770D,East Alamosa Water and Sanitation District,,Alamosa,Alamosa,Construction or Rehabilitation of Distribution and/or Transmission Lines;  Water Meters,"$4,269,604 ","1,700",Gov
CO0159045,230130D,East Dillon Water District,,Dillon,Summit,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters,"$10,500,000 ","3,000",Gov
CO0145120,230140D,East End Water Association,,La Junta,Otero,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage,"$980,000 ",70,PNFP
CO0135233,190170D,East Larimer County Water District,,Fort Collins,Larimer,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Meters,"$40,600,000 ","20,500",Gov
CO0103040,170120D,East Valley Metropolitan District,,Centennial,Arapahoe,Construction or Rehabilitation of Distribution and/or Transmission Lines New Water Treatment Facilities; Construction or Rehabilitation of  Distribution and/or Transmission Lines; Water Rights,"$250,000 ",350,Gov
CO0162233,230150D,"Eaton, Town of",,Eaton,Weld,,"$18,000,000 ","5,646",Gov
CO0163001,140790D,"Eckley, Town of",,Eckley,Yuma,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Meters,"$3,574,000 ",257,Gov
CO0130237,220130D,"Edgewater, City of",,Edgewater,Jefferson,Construction or Rehabilitation of Distribution and/or Transmission Lines,"$100,000 ","5,328",Gov
Unknown,230160D,Elbert County,Town of Agate,Kiowa,Elbert,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters,"$3,810,000 ",150,PNFP
CO0120005,140810D,Elbert Water and Sanitation District,,Elbert,Elbert,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Connection to a New or Existing Water Treatment  Facility; Construction or Rehabilitation of Distribution and/or Transmission  Lines; Water Storage Facilities; Water Supply Facilities; Water Meters; New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Connection to a New or Existing Water Treatment  Facility; Construction or Rehabilitation of Distribution and/or Transmission  Lines; Water Storage Facilities; Water Supply Facilities; Water Meters;,"$900,000 ",300,Gov
CO0247017,160190D,Eleven Mile Ranch Homeowners Association,,Lake George,Park,Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities New Water Treatment Facilities; Water Storage Facilities; Water Supply  Facilities,"$260,000 ",89,PNFP
CO0120010,210090D,"Elizabeth, Town of",,Elizabeth,Elbert,,"$4,000,000 ","2,000",Gov
CO0110010,140830D,"Empire, Town of",,Empire,Clear Creek,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage,"$19,100,000 ",450,Gov
CO0103045,210380D,"Englewood, City of",,Englewood,Arapahoe,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters,"$149,500,000 ","300,000",Gov
CO0162255,140840D,"Erie, Town of",,Erie,Boulder,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters; Green Infrastructure,"$274,407,500 ","28,500",Gov
CO0135257,160510D,"Estes Park, Town of",,Estes Park,Larimer,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Construction or Rehabilitation of Distribution and/or Transmission Lines;  Water Supply Facilities,"$157,655,000 ","12,000",Gov
CO0145150,190180D,Eureka Water Company,,Rocky Ford,Otero,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage,"$1,270,000 ",350,PNFP
CO0162260,140860D,"Evans, City of",,Evans,Weld,Construction or Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities,"$18,500,000 ","21,615",Gov
CO0126121,230010D,Evergreen Lake Company,,Cimarron,Gunnison,Water Treatment Facilities; Construction or Rehabilitation of Distribution  and/or Transmission Lines; Water Storage Facilities; Water Supply Facilities;  Water Meters; Water Rights; Source Water Protection Plan; Green  Infrastructure,"$6,350,000 ",431,PNFP
CO0130030,140870D,Evergreen Metropolitan District,,Evergreen,Jefferson,Improvement/Expansion of Water Treatment Facilities; Connection to a New  or Existing Water Treatment Facility; Construction or Rehabilitation of  Distribution and/or Transmission Lines; Water Supply Facilities; Water  Storage Facilities; Water Meters,"$17,636,500 ","13,900",Gov
CO0147020,140880D,"Fairplay, Town of",,Fairplay,Park,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water Supply Facilities; Water  Meters,"$3,475,000 ",734,Gov
CO0121240,220140D,"Falcon Heights Property Owners Association,  Inc.",,Peyton,El Paso,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Meters,"$2,525,000 ","7,270",PNFP
CO0121247,210100D,Falcon Highlands Metropolitan District,,Greenwood Village,El Paso,Improvement/Expansion of Water Treatment Facilities; Consolidation of  Water Treatment Facilities; Construction or Rehabilitation of Distribution  and/or Transmission Lines; Water Storage Facilities; Source Water  Protection Plan,"$5,550,000 ",900,Gov
CO0134240,170450D,Falls Creek Ranch Homeowners Association,,Durango,La Plata,Construction or Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities; Water Supply Facilities New Water Treatment Facilities; Improvement/Expansion of Water,"$4,850,000 ",250,PNFP
CO0145180,220150D,Fayette Water Company,,Manzanola,Crowley,Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters; Water Rights; Green Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters; Water Rights; Green,"$3,300,000 ",75,PNFP
CO0101055,140900D,"Federal Heights, City of",,Federal Heights,Adams,Improvement/Expansion of Water Treatment Facilities; Consolidation of  Water Treatment Facilities; Construction or Rehabilitation of Distribution  and/or Transmission Lines; Water Supply Facilities; Water Meters,"$20,689,000 ","14,194",Gov
CO0132010,140920D,"Flagler, Town of",,Flagler,Kit Carson,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Connection to a New or Existing Water Treatment  Facility; Construction or Rehabilitation of Distribution and/or Transmission  Lines; Water Storage Facilities; Water Supply Facilities; Water Meters;  Source Water Protection Plan; Green Infrastructure,"$550,000 ",567,Gov
CO0138010,170130D,"Fleming, Town of",,Fleming,Logan,Construction or Rehabilitation of Distribution and/or Transmission Lines,"$1,000,000 ",400,Gov
CO0122500,140930D,"Florence, City of",,Florence,Fremont,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Source Water Protection Plan; Green  Infrastructure,"$21,750,000 ","7,495",Gov
CO0134300,180040D,Florida River Estates Homeowners Association,,Durango,La Plata,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Meters,"$2,560,000 ",350,PNFP
CO0160175,140940D,Florissant Water and Sanitation District,,Florissant,Teller,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Consolidation of Water Treatment Facilities;  Connection to a New or Existing Water Treatment Facility; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage,"$5,300,000 ",250,Gov
CO0130033,140950D,Forest Hills Metropolitan District,,Golden,Jefferson,Distribution and/or Transmission Lines; Water Storage Facilities; Water  Supply Facilities,"$3,000,000 ",350,Gov
CO0134360,140960D,Forest Lakes Metropolitan District (La Plata  County),,Forest Lakes,La Plata,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities,"$3,500,000 ","2,005",Gov
CO0121250,140970D,Forest View Acres Water District,,Greenwood Village,El Paso,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters,"$6,800,000 ",867,Gov
CO0135291,140980D,"Fort Collins, City of",Fort Collins Utilities,Fort Collins,Larimer,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters; Water Rights; Source Water  Protection Plan,"$221,176,600 ","176,000",Gov
CO0162291,141000D,"Fort Lupton, City of",,Fort Lupton,Weld,Improvement/Expansion of Water Treatment Facilities; Connection to a New  or Existing Water Treatment Facility; Construction or Rehabilitation of  Distribution and/or Transmission Lines; Water Storage Facilities; Water  Meters,"$15,000,000 ","9,000",Gov
CO0144005,141010D,"Fort Morgan, City of",,Fort Morgan,Morgan,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Meters,"$11,050,000 ","12,000",Gov
CO0121275,141020D,"Fountain, City of",,Fountain,El Paso,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water Supply Facilities; Water  Meters,"$67,900,000 ","29,000",Gov
CO0145210,141030D,"Fowler, Town of",,Fowler,Otero,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters; Water Rights,"$3,625,000 ","1,246",Gov
CO0154285,220160D,Fox Estates Homeowners Association,,Steamboat Spring,Routt,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities,"$605,000 ",50,PNFP
CO0134191,220170D,Fox Fire Subdistrict of the La Plata Archuleta  Water District,,Ignacio,La Plata,Connection to a New or Existing Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Meters,"$1,058,000 ",40,Gov
CO0162285,230180D,Fox Hills Homeowners Association,,Hudson,Weld,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Supply  Facilities; Water Meters,"$863,000 ",43,PNFP
CO0125288,141050D,"Fraser, Town of",,Fraser,Grand,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water Supply Facilities; Water  Meters; Source Water Protection Plan; Green Infrastructure,"$18,250,000 ","2,250",Gov
CO0162288,170140D,"Frederick, Town of",,Frederick,Weld,Construction or Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities,"$1,200,000 ","11,090",Gov
CO0234388,220180D,Freeman Creek Water Association,,Bayfield,La Plata,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities,"$85,000 ",102,PNFP
CO0159055,230190D,"Frisco, Town of",,Frisco,Summit,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water Supply Facilities Water Supply Facilities,"$5,250,000 ","2,903",Gov
CO0115288,143410D,Fruitland Domestic Water Company,,Crawford,Montrose,,"$90,000 ",350,PNFP
CO0128300,141070D,Gardner Water and Sanitation Public  Improvement District,,Walsenburg,Huerfano,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Connection to a New or Existing Water Treatment  Facility; Construction or Rehabilitation of Distribution and/or Transmission  Lines; Water Storage Facilities; Water Supply Facilities; Water Meters; Water  Rights; Source Water Protection Plan; Green Infrastructure,"$2,120,000 ",138,Gov
CO0130035,141090D,Genesee Water and Sanitation District,,Genesee,Jefferson,Construction or Rehabilitation of Distribution and/or Transmission Lines;  Green Infrastructure Construction or Rehabilitation of Distribution and/or Transmission Lines;  Green Infrastructure,"$3,500,000 ","4,010",Gov
CO0137005,190190D,"Genoa, Town of",,Genoa,Lincoln,Treatment Facilities; Connection to a New or Existing Water Treatment  Facility; Construction or Rehabilitation of Distribution and/or Transmission  Lines; Water Storage Facilities; Water Supply Facilities; Water Meters;  Source Water Protection Plan; Green Infrastructure,"$560,000 ",153,Gov
CO0110015,141110D,"Georgetown, Town of",,Georgetown,Clear Creek,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Rights,"$1,000,000 ","1,500",Gov
CO0162310,141120D,"Gilcrest, Town of",,Gilcrest,Weld,Construction or Rehabilitation of Distribution and/or Transmission Lines;  Water Storage Facilities; Water Meters,"$3,900,000 ","1,200",Gov
CO0135315,230200D,Glacier View Meadows Association,,Livermore,Larimer,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Connection to a New or Existing Water Treatment  Facility; Construction or Rehabilitation of Distribution and/or Transmission  Lines; Water Storage Facilities; Water Supply Facilities; Water Meters; New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Connection to a New or Existing Water Treatment  Facility; Construction or Rehabilitation of Distribution and/or Transmission  Lines; Water Storage Facilities; Water Supply Facilities; Water Meters;,"$1,950,000 ",375,PNFP
CO0108313,190200D,Glenview Owners Association,Glenview Subdivision,Buena Vista,Chaffee,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Storage  Facilities; Water Supply Facilities; Water Meters,"$825,000 ",100,PNFP
CO0123314,141140D,"Glenwood Springs, City of",,Glenwood Springs,Garfield,New Water Treatment Facilities; Improvement/Expansion of Water  Treatment Facilities; Construction or Rehabilitation of Distribution and/or  Transmission Lines; Water Storage Facilities; Water Supply Facilities; Green  Infrastructure,"$46,075,000 ","10,048",Gov
CO0130040,230210D,"Golden, City of",,Golden,Jefferson,Improvement/Expansion of Water Treatment Facilities; Construction or  Rehabilitation of Distribution and/or Transmission Lines; Water Supply  Facilities; Water Rights,"$41,000,000 ","20,000",Gov
