Priority Score,Financial Need Points,Project Points,Program,Municipality,"ProjectNumber",Project Description,Region,County,"ProjectManager",CME,Population,"MHI(<$53,664)",Subsidized Loan Rate,Requested Project Costs,Estimated Loan Amount,Total PF Points,"EligiblePF %",BIL-EC and BIL- LSL PF Estimate,General PF Estimate,Total Estimated PF
58,30,28,BASE,"HIGHLAND, VILLAGE OF",4818-05,Replace Watermain on Isabell St and Grand St,SC,Iowa,Higgins,Zettl,874,"$83,750 ",55%,"$1,625,001 ","$1,625,001 ",200,60%,$0 ,0,0
58,9,49,BASE,"MENASHA, CITY OF",4845-22,Replace Watermains on Racine St,NE,Winnebago,Leja,Hannes,"18,490","$58,182 ",55%,"$905,110 ","$905,110 ",60,10%,$0 ,0,0
57.75,24.75,33,BASE,"NEW AUBURN, VILLAGE OF",5202-09,Replace Watermain on North St,WC,Chippewa,Maka,Cameron,562,"$60,556 ",55%,"$1,001,515 ","$1,001,515 ",165,45%,$0 ,0,0
57.5,28.5,29,BASE,"LADYSMITH, CITY OF",5369-19,Replace Watermains on Miner Ave,NO,Rusk,Pope,Andruczyk,"3,216","$44,957 ",33%,"$2,378,742 ","$2,378,742 ",190,55%,$0 ,0,0
57,18,39,BASE,"NEW LONDON, CITY OF",5564-06,Replace Watermains on N Water St,NE,Waupaca,Patek,Hannes,"7,491","$55,629 ",55%,"$731,100 ","$731,100 ",120,30%,$0 ,0,0
57,21,36,BASE,WIOTA SD #,5442-03,Upgrade Well/House #1 Including Controls & Pump,SC,Lafayette,Pope,Zettl,234,"$75,972 ",55%,"$547,455 ","$547,455 ",140,40%,$0 ,0,0
56,27,29,BASE,"RIB LAKE, VILLAGE OF",5367-02,Water Tower Rehabilitation,NO,Taylor,Aerts,Andruczyk,921,"$50,600 ",33%,"$754,500 ","$754,500 ",180,50%,$0 ,0,0
55.75,27.75,28,BASE,"AUGUSTA, CITY OF",5186-11,Construct WM loop between Wells #7 and #11,WC,Eau Claire,Cassidy,Cameron,"1,549","$45,811 ",33%,"$870,585 ","$870,585 ",185,55%,$0 ,0,0
55,9,46,BASE,"BALDWIN, VILLAGE OF",5384-06,Replace Watermain on Curtis St and 8th Ave,WC,St. Croix,Higgins,Cameron,"4,356","$72,832 ",55%,"$608,692 ","$608,692 ",60,10%,$0 ,0,0
55,9,46,BASE,"PRAIRIE DU SAC, VILLAGE OF",4885-03,Construct New Well #5,SC,Sauk,Calhoon,Zettl,"4,458","$73,441 ",55%,"$2,687,500 ","$2,687,500 ",60,10%,$0 ,0,0
54,12,42,BASE,"MONTICELLO, VILLAGE OF",4853-03,Replace WMs Along E Lake Ave,SC,Green,Boelkow,Zettl,"1,195","$68,519 ",55%,"$2,792,001 ","$2,792,001 ",80,20%,$0 ,0,0
53.75,3.75,50,BASE,"ELKHORN, CITY OF",5525-06,Replace Water Main - Centralia St - Phase 1,SE,Walworth,Mills,Binder,"10,317","$68,339 ",55%,"$1,917,002 ","$1,917,002 ",25,0%,$0 ,0,0
53.75,3.75,50,BASE,"1MADISON, CITY OF",4837-08,Well #19 Upgrades,SC,Dane,Leizinger,Zettl,"279,012","$70,466 ",55%,"$9,086,254 ","$9,086,254 ",25,0%,$0 ,0,0
53.5,19.5,34,BASE,"EDGAR, VILLAGE OF",5360-03,Replace WM on Wisconsin Ave and George Wagner Dr,WC,Marathon,Jimenez,Andruczyk,"1,450","$52,399 ",33%,"$643,750 ","$643,750 ",130,35%,$0 ,0,0
53.5,16.5,37,BASE,"MONTFORT, VILLAGE OF",4961-04,"Replace WMs, Park Street",SC,Grant,Maka,Zettl,701,"$59,063 ",55%,"$796,867 ","$796,867 ",110,30%,$0 ,0,0
53.25,8.25,45,LSL,"1JANESVILLE, CITY OF",5119-08,BIL SFY24 LSL Program: Census Tract,SC,Rock,Leja,Zettl,"66,206","$63,259 ",LSL RATE,"$1,100,000 ","$275,000 ",55,0%,"$825,000 ",0,"$825,000 "
53,21,32,BASE,"AMHERST, VILLAGE OF",4753-05,Upgrade Well #2,WC,Portage,Balgooyen,Andruczyk,"1,121","$51,902 ",33%,"$251,800 ","$251,800 ",140,40%,$0 ,0,0
52.5,28.5,24,BASE,"LADYSMITH, CITY OF",5369-14,Replace WMs along Lindoo Ave,NO,Rusk,Pope,Andruczyk,"3,216","$44,957 ",33%,"$613,484 ","$613,484 ",190,55%,$0 ,0,0
52.5,10.5,42,BASE,"OMRO, CITY OF",5091-11,Replace WM on Larabee St,NE,Winnebago,Boelkow,Hannes,"3,644","$58,090 ",55%,"$1,000,888 ","$1,000,888 ",70,15%,$0 ,0,0
51.75,27.75,24,BASE,"AUGUSTA, CITY OF",5186-09,Replace WM on Pease St,WC,Eau Claire,Cassidy,Cameron,"1,549","$45,811 ",33%,"$870,585 ","$870,585 ",185,55%,$0 ,0,0
51.5,19.5,32,BASE,"BLOOMINGTON, VILLAGE OF",5065-05,Replace WM on Wall St.,SC,Grant,Patek,Zettl,743,"$57,875 ",55%,"$2,438,400 ","$2,438,400 ",130,35%,$0 ,0,0
51.5,19.5,32,BASE,"DICKEYVILLE, VILLAGE OF",4794-08,Replace WMs on N. Center and S. Center Sts.,SC,Grant,Boelkow,Zettl,"1,067","$57,500 ",55%,"$384,197 ","$384,197 ",130,35%,$0 ,0,0
51,9,42,BASE,"KEWASKUM, VILLAGE OF",5548-02,Replace Watermain on USH 45,SE,Washington,Mills,Binder,"4,371","$66,609 ",55%,"$2,747,640 ","$2,747,640 ",60,10%,$0 ,0,0
50.25,8.25,42,BASE,"ELLSWORTH, VILLAGE OF",5283-11,"Replace WM on Grant St, Piety St, Woodworth St, Strickland Ave",WC,Pierce,Patek,Andruczyk,"3,332","$74,821 ",55%,"$3,700,595 ","$3,700,595 ",55,0%,$0 ,0,0
50.25,26.25,24,BASE,"RANDOLPH, VILLAGE OF",4888-07,"Replace WMs along 1st, 2nd, Center, and Grove Sts.",SC,Dodge,Jimenez,Zettl,"1,787","$53,098 ",33%,"$1,118,630 ","$1,118,630 ",175,50%,$0 ,0,0
50,9,41,BASE,"1BEAVER DAM, CITY OF",4764-10,"Replace Watermain on Front St, Beaver St and West St",SC,Dodge,Surillo,Zettl,"16,727","$59,296 ",55%,"$1,410,992 ","$1,410,992 ",60,10%,$0 ,0,0
50,15,35,BASE,"ST. CROIX FALLS, CITY OF",5430-12,Replace Booster Station,NO,Polk,Calhoon,Andruczyk,"2,222","$58,192 ",55%,"$2,299,143 ","$2,299,143 ",100,25%,$0 ,0,0
49.75,3.75,46,BASE,"ELKHORN, CITY OF",5525-08,Replace Water Main - Wright St,SE,Walworth,Mills,Binder,"10,317","$68,339 ",55%,"$353,623 ","$353,623 ",25,0%,$0 ,0,0
49.75,3.75,46,BASE,"1MADISON, CITY OF",4837-11,Well #12 and #26 Booster Pump Replacement,SC,Dane,Leizinger,Zettl,"279,012","$70,466 ",55%,"$330,000 ","$330,000 ",25,0%,$0 ,0,0
49.75,3.75,46,BASE,"1MADISON, CITY OF",4837-07,Replace WMs at multiple locations,SC,Dane,Leizinger,Zettl,"279,012","$70,466 ",55%,"$3,395,000 ","$3,395,000 ",25,0%,$0 ,0,0
48,18,30,LSL,"1DRESSER, VILLAGE OF",4796-05,BIL SFY24 LSL Program,NO,Polk,Jimenez,Andruczyk,940,"$64,545 ",LSL RATE,"$257,088 ","$213,198 ",120,30%,"$43,890 ",0,"$43,890 "
47.75,27.75,20,BASE,"AUGUSTA, CITY OF",5186-12,Well No. 9 Sewer Lining,WC,Eau Claire,Cassidy,Cameron,"1,549","$45,811 ",33%,"$870,585 ","$870,585 ",185,55%,$0 ,0,0
47,18,29,BASE,"DRESSER, VILLAGE OF",4796-06,Replace WMs on 1st and 2nd Streets,NO,Polk,Jimenez,Andruczyk,940,"$64,545 ",55%,"$1,108,821 ","$1,108,821 ",120,30%,$0 ,0,0
46.5,13.5,33,BASE,"1WAUSAU, CITY OF",4930-21,Construct Watermain on Stettin Dr to Stewart Park,WC,Marathon,Brietzman,Andruczyk,"40,199","$53,800 ",55%,"$239,916 ","$239,916 ",90,20%,$0 ,0,0
46,9,37,BASE,"1BEAVER DAM, CITY OF",4764-11,Replace Watermain on Currie St,SC,Dodge,Surillo,Zettl,"16,727","$59,296 ",55%,"$837,211 ","$837,211 ",60,10%,$0 ,0,0
45.75,3.75,42,BASE,"1MADISON, CITY OF",4837-10,Well 12 Booster Pumps/ Pressure Zone 7/8 Transfer Vault,SC,Dane,Leizinger,Zettl,"279,012","$70,466 ",55%,"$400,000 ","$400,000 ",25,0%,$0 ,0,0
45.25,11.25,34,BASE,"EDGERTON, CITY OF",4800-03,Replace WMs on S Main St,SC,Rock,Surillo,Zettl,"5,997","$68,900 ",55%,"$330,882 ","$330,882 ",75,15%,$0 ,0,0
43,18,25,BASE,"ORFORDVILLE, VILLAGE OF",5488-04,Rehab/Paint Water Tower,SC,Rock,Balgooyen,Zettl,"1,494","$57,721 ",55%,"$537,500 ","$537,500 ",120,30%,$0 ,0,0
42.75,12.75,30,BASE,"CASCADE, VILLAGE OF",5281-05,Replace Water Meters,SE,Sheboygan,Calhoon,Binder,726,"$81,429 ",55%,"$285,350 ","$285,350 ",85,20%,$0 ,0,0
42.5,13.5,29,BASE,"1WAUSAU, CITY OF",4930-15,Replace Watermains on Eau Claire Blvd,WC,Marathon,Brietzman,Andruczyk,"40,199","$53,800 ",55%,"$1,041,673 ","$1,041,673 ",90,20%,$0 ,0,0
41.75,21.75,20,BASE,"BIRCHWOOD, VILLAGE OF",5478-06,Elevated Tank Repairs,NO,Washburn,Jimenez,Andruczyk,402,"$54,063 ",55%,"$691,454 ","$691,454 ",145,40%,$0 ,0,0
41,21,20,BASE,"BLACK CREEK, VILLAGE OF",5328-03,Replace WMs on S Main St,NE,Outgamie,Pope,Hannes,"1,353","$58,947 ",55%,"$1,418,755 ","$1,418,755 ",140,40%,$0 ,0,0
40.25,11.25,29,BASE,"BLACK EARTH, VILLAGE OF",5484-02,"Replace Aged 6"" WMs w/ Larger Ductile Iron; Replace Services",SC,Dane,Bushby,Zettl,"1,551","$68,654 ",55%,"$1,498,400 ","$1,498,400 ",75,15%,$0 ,0,0
40,12,28,BASE,"MAYVILLE, CITY OF",5443-12,Replace WMs on Alley Street; Looping Main,SC,Dodge,Surillo,Zettl,"5,211","$59,445 ",55%,"$258,054 ","$258,054 ",80,20%,$0 ,0,0
39.75,15.75,24,BASE,"THERESA, VILLAGE OF",5655-02,Replace Watermains on Mayville St,SC,Dodge,Leja,Zettl,"1,260","$63,109 ",55%,"$621,401 ","$621,401 ",105,25%,$0 ,0,0
39,9,30,BASE,"BALDWIN, VILLAGE OF",5384-08,Rehab North Water Tower,WC,St. Croix,Higgins,Cameron,"4,356","$72,832 ",55%,"$1,233,350 ","$1,233,350 ",60,10%,$0 ,0,0
38,15,23,BASE,"PLAIN, VILLAGE OF",5286-03,Replace Watermains on Cedar St,SC,Sauk,Bushby,Zettl,748,"$74,485 ",55%,"$594,800 ","$594,800 ",100,25%,$0 ,0,0
36,12,24,BASE,"MAYVILLE, CITY OF",5443-13,Reroute WM to CTH V from N Main St,SC,Dodge,Surillo,Zettl,"5,211","$59,445 ",55%,"$170,869 ","$170,869 ",80,20%,$0 ,0,0
32,12,20,BASE,"NEW HOLSTEIN, CITY OF",5366-08,Replace Watermains on Wisconsin Ave,NE,Calumet,Pope,Hannes,"3,177","$55,914 ",55%,"$847,595 ","$847,595 ",80,20%,$0 ,0,0
30.5,10.5,20,BASE,"ARLINGTON, VILLAGE OF",4758-12,Rehabilitate Water Tower,SC,Columbia,Boelkow,Zettl,846,"$104,000 ",55%,"$934,500 ","$934,500 ",70,15%,$0 ,0,0
30.5,1.5,29,BASE,"WINDSOR, VILLAGE OF",5649-01,Replace Watermain System Wide,SC,Dane,Leizinger,Zettl,"9,305","$104,179 ",55%,"$1,450,010 ","$1,450,010 ",10,0%,$0 ,0,0
25.5,10.5,15,BASE,"MAZOMANIE, VILLAGE OF",4948-02,Replace WM on Hudson St.,SC,Dane,Bushby,Zettl,"1,790","$77,708 ",55%,"$1,472,600 ","$1,472,600 ",70,15%,$0 ,0,0
18,3,15,BASE,"MUKWONAGO, VILLAGE OF ",4854-04 ,North Tank Repainting,SE,Waukesha,Jimenez,Binder,"8,384","$84,965 ",55%,"$1,050,848 ","$1,050,848 ",20,0%,$0 ,0,0
