"SELFScore",Municipality,"ProjectNumber",Project Description,"EstimatedProject Cost",Region,CME,Population,MHI
63,"ANTIGO, CITY OF",4754-07,"Replace WM's in 5th Ave area including LSLs, GIS, SCADA","$1,120,636.00",NO,Andruczyk,"8,289","$37,075.00"
63,"WEST BARABOO, VILLAGE OF",4933-05,Replace WMs on Linn St.,"$970,000.00",SC,Robertson,"1,654","$44,762.00"
63,"BLAIR, CITY OF",5263-05,Replace WMs on Broadway St. and Pearl St.,"$524,000.00",WC,Cameron,"1,342","$45,417.00"
62,"RHINELANDER, CITY OF",5288-13,Replace WMs along Lincoln & Shepard St,"$1,870,400.00",NO,Andruczyk,"7,783","$41,391.00"
62,"NORTH FOND DU LAC, VILLAGE",4863-12,Replace WM & Services on Bechaud Ave,"$320,000.00",NE,Hannes,"5,181","$53,248.00"
62,"KEWAUNEE, CITY OF",5508-03,Replace WMs along Dodge St.,"$910,000.00",NE,Hannes,"2,870","$46,875.00"
62,"HILBERT, VILLAGE OF",4987-02,Rehab Well #4; Install Iron Removal & Well Treatment; SCADA,"$450,000.00",NE,Hannes,"1,183","$55,500.00"
62,"OAKDALE, VILLAGE OF",5451-02,"Construct Well #2, Connecting Main, SCADA","$900,000.00",WC,Cameron,290,"$56,932.00"
61,"NEW RICHMOND, CITY OF",4861-09,"Replace WM on S Dakota Ave, Oak Ave, and N 4th St.","$288,260.00",WC,Cameron,"9,741","$60,080.00"
58,"RHINELANDER, CITY OF",5288-16,Replace WMs Along Balsam and Spruce St,"$1,380,100.00",NO,Andruczyk,"7,783","$41,391.00"
58,"RHINELANDER, CITY OF",5288-17,"Replace WMs along Oneida, King, Conro, and Anderson","$2,345,800.00",NO,Andruczyk,"7,783","$41,391.00"
58,"RHINELANDER, CITY OF",5288-14,"Replace WMs:Hillside, Highview, Hillandale, Lynette, Annette","$4,597,500.00",NO,Andruczyk,"7,783","$41,391.00"
58,"HORICON, CITY OF",5318-10,Replace WM on Center St.,"$185,650.00",SC,Robertson,"3,768","$63,369.00"
58,"HORICON, CITY OF",5318-11,Replace WM on Juneau St.,"$653,625.00",SC,Robertson,"3,768","$63,369.00"
58,"HORICON, CITY OF",5318-12,Replace WM on Kansas St.,"$582,427.00",SC,Robertson,"3,768","$63,369.00"
58,"HORICON, CITY OF",5318-13,Replace WM on Nebraska St.,"$333,285.00",SC,Robertson,"3,768","$63,369.00"
58,"LODI, CITY OF",4835-05,Rehab Wellhouse #2 and appurtenances,"$700,000.00",SC,Robertson,"3,139","$72,944.00"
58,"RANDOLPH, VILLAGE OF",4888-07,"Replace WMs along 1st, 2nd, Center, and Grove Sts","$1,300,000.00",SC,Robertson,"1,785","$52,458.00"
58,IRON RIVER SD #1,4988-02,Replace WM & Services along USH 2,"$1,485,710.00",NO,Andruczyk,600,"$45,417.00"
58,SENECA SD #1,5514-02,Construct Well #2 Including Well House And Connecting Mains,"$1,200,000.00",WC,Cameron,553,"$57,639.00"
57,"CAMPBELLSPORT, VILLAGE OF",5467-02,Replace WM on STH 67,"$1,200,000.00",NE,Hannes,"1,825","$53,616.00"
54,"STOUGHTON, CITY OF 1",5403-03,Remove Private LSLs,"$3,325,000.00",SC,Robertson,"12,954","$65,203.00"
54,"STOUGHTON, CITY OF 1",5403-04,Remove Public LSLs,"$3,200,000.00",SC,Robertson,"12,954","$65,203.00"
54,"ST. CROIX FALLS, CITY OF",5430-08,"New Well 12, wellhouse, chemical feed, and appurtenances","$1,522,315.00",NO,Andruczyk,"2,113","$49,083.00"
54,"PARDEEVILLE, VILLAGE OF",5424-04,Rehab Tower 1,"$150,000.00",SC,Robertson,"2,067","$59,625.00"
54,"PARDEEVILLE, VILLAGE OF",5424-05,Rehab Tower 2,"$150,000.00",SC,Robertson,"2,067","$59,625.00"
54,"STRATFORD, VILLAGE OF",5290-07,Replace WM along Legacy St.,"$1,123,450.00",WC,Cameron,"1,610","$52,500.00"
54,"STRATFORD, VILLAGE OF",5290-08,Replace WM along Legion St.,"$1,119,929.00",WC,Cameron,"1,610","$52,500.00"
54,"ATHENS, VILLAGE OF",4760-04,Replace WMs including LSLs on Caroline St.,"$442,000.00",WC,Cameron,"1,116","$49,412.00"
54,"PITTSVILLE, CITY OF",4879-08,Replace WM along 3rd Ave (Monroe to Jackson),"$356,970.00",WC,Cameron,868,"$47,946.00"
54,"PITTSVILLE, CITY OF",4879-09,Replace WM along 3rd Ave (Oak to Pine),"$458,900.00",WC,Cameron,868,"$47,946.00"
54,"PITTSVILLE, CITY OF",4879-07,Replace WM along Maple St.,"$246,000.00",WC,Cameron,868,"$47,946.00"
54,"PITTSVILLE, CITY OF",4879-11,Replace WM along Monroe,"$342,100.00",WC,Cameron,868,"$47,946.00"
54,"PITTSVILLE, CITY OF",4879-10,Replace WM along Pine Ave,"$416,620.00",WC,Cameron,868,"$47,946.00"
54,"CLYMAN, VILLAGE OF",5609-01,Replace WM on Circle View & North Street,"$145,000.00",SC,Robertson,411,"$51,563.00"
52,"PRAIRIE DU CHIEN, CITY OF",5163-09,Replace WM along Villa Louis Road,"$444,570.00",WC,Cameron,"5,840","$46,307.00"
52,"MAYVILLE, CITY OF",5443-07,Replace WMs on Bridge St.,"$1,542,843.00",SC,Robertson,"5,069","$46,550.00"
50,"JUNEAU, CITY OF",4824-02,"Replace WMs on Oak Grove St., Hyland St., and E Center St.","$443,190.00",SC,Robertson,"2,634","$53,105.00"
50,"FENNIMORE, CITY OF",5619-01,Replace WMs along Grant St. and 13th St.,"$720,000.00",SC,Robertson,"2,501","$55,208.00"
50,"LIVINGSTON, VILLAGE OF",5248-06,"Replace WM on Barber, Grove, Clifton, Watson & Jackson St","$1,030,000.00",SC,Robertson,653,"$55,625.00"
46,"MONTICELLO, VILLAGE OF",4853-03,Replace WMs Along E Lake Ave,"$2,750,000.00",SC,Robertson,"1,205","$54,414.00"
46,"ROCKLAND, VILLAGE OF",5093-06,Construct Elevated Storage Tank; Demo Existing Reservoir,"$1,100,000.00",WC,Cameron,738,"$63,250.00"
46,"GRATIOT, VILLAGE OF",5197-05,Replace WM on Main St.,"$1,350,000.00",SC,Robertson,226,"$52,813.00"
42,"ELLSWORTH, VILLAGE OF",5283-10,Cairns and Grant St. WM,"$445,000.00",WC,Cameron,"3,365","$64,327.00"
42,"ELLSWORTH, VILLAGE OF",5283-09,Pleasant Ave WM and Loop,"$230,000.00",WC,Cameron,"3,365","$64,327.00"
42,"WHITEHALL, CITY OF",4937-06,Replace WM along Hobson St.,"$614,000.00",WC,Cameron,"1,556","$48,011.00"
42,"COBB, VILLAGE OF",5264-03,Replace WMs Along Clifton St & School St,"$704,000.00",SC,Robertson,464,"$55,875.00"
39,"AMERY, CITY OF",5582-02,Replace Watermains on Keller Ave,"$1,593,105.00",NO,Andruczyk,"2,856","$47,404.00"
38,"LAKE GENEVA, CITY OF",5607-03,Replace WM on STH 50 (Main St.),"$1,000,000.00",SE,Fuja,"8,233","$49,580.00"
38,"OMRO, CITY OF",5091-07,Replace WM Crossing at River Bend Park,"$250,000.00",NE,Hannes,"3,584","$56,079.00"
38,"GALESVILLE, CITY OF",4809-02,"Replace undersized WMs - Gale Ave, 5th St, 7th St","$190,000.00",WC,Cameron,"1,565","$51,458.00"
38,"BANGOR, VILLAGE OF",5145-04,Replace WMs on Commercial St from 10th - 17th Ave,"$2,200,000.00",WC,Cameron,"1,535","$62,054.00"
38,"LENA, VILLAGE OF",5464-06,Replace WMs on W. Maple & N. 3rd St,"$630,000.00",NE,Hannes,552,"$50,000.00"
37,"MILWAUKEE, CITY OF 1",4851-37,Replace WMs 2020,"$23,215,000.00",SE,Fuja,"587,072","$40,036.00"
37,"MILWAUKEE, CITY OF 1",4851-39,Replace WMs 2021,"$37,281,000.00",SE,Fuja,"587,072","$40,036.00"
37,"OSHKOSH, CITY OF 1",4874-12,Construct 2 Clearwells; Upgrade SCADA; Demo Clearwells/Pumps,"$20,080,000.00",NE,Hannes,"66,595","$48,346.00"
37,"SOMERS, VILLAGE OF",5610-01,Replace WMs Branching From Sheridan Rd,"$5,900,000.00",SE,Fuja,"9,182","$67,862.00"
34,"BALDWIN, VILLAGE OF",5384-05,WMs on Lokhorst and 8th St.,"$323,250.00",WC,Cameron,"3,993","$58,934.00"
34,"ELLSWORTH, VILLAGE OF",5283-08,Replace Water & Hydrant Valves on Main St,"$281,500.00",WC,Cameron,"3,365","$64,327.00"
34,"WATERLOO, CITY OF",4962-07,Replace WMs along Adams St.,"$300,000.00",SC,Robertson,"3,341","$75,261.00"
34,"SOMERSET, VILLAGE OF",5498-06,Replace WMs on Church Hill Rd.,"$294,000.00",WC,Cameron,"2,939","$62,770.00"
34,"WISCONSIN DELLS, CITY OF",4996-02,Replace WMs along Fitzgerald Rd.,"$500,000.00",SC,Robertson,"2,752","$49,038.00"
34,"POYNETTE, VILLAGE OF",5426-08,Replace WMs and Services on Cross and Thomas St,"$204,000.00",SC,Robertson,"2,534","$74,948.00"
34,"FALL RIVER, VILLAGE OF",4804-03,"Replace WMs in Sunrise, Hilltop and Church St Areas","$449,000.00",SC,Robertson,"1,793","$75,526.00"
34,"NORTH FREEDOM, VILLAGE OF",4864-03,Replace Undersized WMs in High St. Area,"$638,000.00",SC,Robertson,657,"$50,714.00"
34,"GRATIOT, VILLAGE OF",5197-04,Water Tower Rehabilitation,"$100,000.00",SC,Robertson,226,"$52,813.00"
33,"MENASHA, CITY OF 1",4845-18,2022 WM Replacements,"$1,000,000.00",NE,Hannes,"17,468","$52,508.00"
33,"TWO RIVERS, CITY OF",4920-34,Reconnect WM on Michicot Rd Between 39th-40th St,"$150,000.00",NE,Hannes,"11,364","$43,833.00"
33,"EDGERTON, CITY OF",4800-03,Replace WMs on S Main St,"$1,000,000.00",SC,Robertson,"5,642","$60,208.00"
30,"BALDWIN, VILLAGE OF",5384-04,WMs on Franklin St.,"$742,500.00",WC,Cameron,"3,993","$58,934.00"
30,"MARSHALL, VILLAGE OF",5298-04,Replace Water Mains & Services,"$750,000.00",SC,Robertson,"3,899","$59,828.00"
30,"HORICON, CITY OF",5318-14,Replace WM on Park Drive,"$589,384.00",SC,Robertson,"3,768","$63,369.00"
30,"ORFORDVILLE, VILLAGE OF",5488-02,WM Replacement,"$1,197,000.00",SC,Robertson,"1,476","$55,000.00"
30,"BLACK EARTH, VILLAGE OF",5484-02,"Replace Aged 6"" WMs w/ Larger Ductile Iron; Replace Services","$785,000.00",SC,Robertson,"1,428","$63,917.00"
29,"MCFARLAND, VILLAGE OF",4990-02,Rehab Well Houses and Well,"$650,000.00",SC,Robertson,"8,952","$87,394.00"
29,"CROSS PLAINS, VILLAGE OF",5537-04,Well 1 rehab/upgrade,"$904,000.00",SC,Robertson,"4,010","$81,620.00"
29,"CROSS PLAINS, VILLAGE OF",5537-05,Well 2 rehab/upgrade,"$904,000.00",SC,Robertson,"4,010","$81,620.00"
29,"IRON RIDGE, VILLAGE OF",5608-01,Replace WMs in the East Avenue Area,"$170,000.00",SC,Robertson,920,"$61,319.00"
25,"NEW BERLIN, CITY OF 1",4859-10,Replace WM along S. Moorland Rd,"$2,476,200.00",SE,Fuja,"40,600","$81,003.00"
20,"NEW GLARUS, VILLAGE OF",5623-01,Well 1 rehab/upgrades,"$650,000.00",SC,Robertson,"2,085","$66,827.00"
20,"NEW GLARUS, VILLAGE OF",5623-02,Well 2 rehab/upgrades,"$650,000.00",SC,Robertson,"2,085","$66,827.00"
20,"NEW GLARUS, VILLAGE OF",5623-03,Well 3 rehab/upgrades,"$650,000.00",SC,Robertson,"2,085","$66,827.00"
18,"OLIVER, VILLAGE OF",4871-05,"Replace WM & Services on Brooklyn, Kingston & State St","$900,000.00",NO,Andruczyk,436,"$54,375.00"
15,"MAZOMANIE, VILLAGE OF",4948-02,Replace WM on Hudson St.,"$1,100,000.00",SC,Robertson,"1,681","$65,125.00"
14,"OLIVER, VILLAGE OF",4871-06,Replace Well Pump & Motor; Rehab Pressure Tank,"$900,000.00",NO,Andruczyk,436,"$54,375.00"
,"NELSONVILLE, VILLAGE OF",5605U01,"UNDETERMINED Trans Main from Amherst, Dist. Sys., Reservoir","$2,550,000.00",WC,,,
,"STETSONVILLE, VILLAGE OF",5326U03,UNDETERMINED New Well and appurtenances,"$1,000,000.00",NO,,,
,"TURTLE LAKE, VILLAGE OF",5164U13,UNDETERMINED Construct new water tower,"$1,970,000.00",NO,,,
,"EAGLE RIVER, CITY OF",5383U09,"UNDETERMINED New Well #4 and wellhouse, treatment, SCADA","$1,781,000.00",NO,,,
,"CURTISS, VILLAGE OF",4792U08,"UNDETERMINED - Construct Well #14, Well House, Pump, SCADA","$782,500.00",WC,,,
,"LUCK, VILLAGE OF",5486U06,UNDETERMINED New Well and wellhouse and appurtenances,"$1,250,000.00",NO,,,
,"HILLSBORO, CITY OF",5492U04,UNDETERMINED Construct Well/House #4; Demo Existing Building,"$950,000.00",WC,,,
,"MONTELLO, CITY OF",5528U01,"UNDETERMINED - Construct Well #3, Well House, Trans Main","$1,500,000.00",NE,,,
,"OMRO, CITY OF",5091U10,UNDETERMINED New Well 4,"$775,000.00",NE,,,
,SHELBY SD #2,4902U06,UNDETERMINED - Construct Arbor Hills Control Valve #1,"$650,000.00",WC,,,
,"WESTBY, CITY OF",5440U06,UNDETERMINED Construct elevated storage reservoir in NW area,"$1,540,000.00",WC,,,
,"WATERFORD, VILLAGE OF",5589U02,UNDETERMINED New Source Water Supply and Treatment,"$6,000,000.00",SE,,,
,"WINTER, VILLAGE OF",5584U08,UNDETERMINED Replace Services&meters mobile home park,"$475,000.00",NO,,,
,"RIPON, CITY OF",5289U13,UNDETERMINED Replace WM Russell St.,"$200,000.00",NE,,,
,"DOUSMAN, VILLAGE OF",5382U03,"UNDETERMINED - Replace WMs on Ludwig, Edwards, Tabot, etc.","$3,000,000.00",SE,,,
,"BARNEVELD, VILLAGE OF",4763U03,"UNDETERMINED Construct 150,000-Gallon Ground Stoarage Tank","$2,425,000.00",SC,,,
,"ST. CROIX FALLS, CITY OF",5430U09,UNDETERMINED New Booster Station,"$522,270.00",NO,,,
,"YORKVILLE, VILLAGE OF",5585U01,UNDETERMINED - Construct New Well #2,"$1,300,000.00",SE,,,
,"CHETEK, CITY OF",4781U06,"UNDETERMINED New Well #3, wellhouse, treatment, SCADA","$1,400,000.00",NO,,,
,"TOMAHAWK, CITY OF",5342U05,"UNDETERMINED Construct new Well #6, well station, SCADA","$2,050,000.00",NO,,,
,"ST. CROIX FALLS, CITY OF",5430U10,UNDETERMINED Install WM and appurtenances,"$960,500.00",NO,,,
,"POTOSI, VILLAGE OF",5604U03,UNDETERMINED Construct Redundant WM,"$350,000.00",SC,,,
,"TENNYSON, VILLAGE OF",5509U04,UNDETERMINED Construct Redundant WM,"$350,000.00",SC,,,
,"WATERLOO, CITY OF",4962U04,"UNDETERMINED New Booster Station, Building, WM Extension","$1,000,000.00",SC,,,
,"SUN PRAIRIE, CITY OF",5576U04,"UNDETERMINED Construct New Well #10, wellhouse","$2,100,000.00",SC,,,
,"GALESVILLE, CITY OF",4809U03,UNDETERMINED Looping Main,"$190,000.00",WC,,,
,"WYOCENA, VILLAGE OF",5343U01,UNDETERMINED - Replace WMs along Polk St and old STH 44,"$211,000.00",SC,,,
,"SOMERSET, VILLAGE OF",5498U07,"UNDETERMINED Replace WMs on Main St, River Crossing","$281,000.00",WC,,,
,"BUFFALO CITY, CITY OF",4775U01,UNDETERMINED-Construct System-Well/Trtmt/Storage/Distr,"$9,000,000.00",WC,,,
,"CUMBERLAND, CITY OF",4791I10,INELIGIBLE New WMs on 14th and Carlone Sts.,"$2,550,000.00",NO,,,
,"TWO RIVERS, CITY OF",4920I31,INELIGIBLE Construct Loop Woodland; Install Boost Station,"$2,400,000.00",NE,,,
