Rank,Project Sponsor,Project Number,Project Name,Population,Cat A,Cat B,Cat C.a,Cat C.b,Cat C.c,Cat C.d,Cat D,Cat E,Rank Points,BIL Eligibility
173,Sayreville Borough,1219001-011,Water Treatment Plant Chemical Feed Upgrades,44243,160,0,0,0,5,0,0,0.43761,170.43761,
174,Montclair Township,0713001-012,Montclair Township - PFOAS and Perchlorate Treatment - Rand Well,3800,160,0,0,5,0,0,0,0.37669,170.37669,BIL (EC)
175,Manchester Township,1518005-001,Various main replacements,26877,75,0,15,0,0,0,80,0.26877,170.26877,BIL (GEN)
176,Collingswood Borough,0412001-001,Collingswood Comly Ave Water Plant,16904,160,0,0,5,0,0,0,0.245,170.245,
178,South Orange Village,0719001-008,Well 17 Air Stripper,16198,160,0,0,5,0,0,0,0.16964,170.16965,
179,Park Ridge Borough,0247001-002,Well 21 Treatment Plant Construction,16500,160,0,0,5,0,0,0,0.16466,170.16466,
180,Lower Township Municipal Utilities Authority,0505002-004,Del Haven Water Main Expansion / Wildwood Water Utility Interconnect,7222,125,0,15,0,0,0,30,0.07222,170.07222,BIL (GEN)
181,Flemington Borough,1009001-009,Additional Water Tank and Improvements,4389,60,80,15,0,0,0,0,0.04389,170.04388,BIL (GEN)
182,Seaside Park Borough,1527001-004,Well 10 Treatment Facility,1700,40,50,0,0,0,0,80,0.017,170.017,BIL (GEN)
184,Arthur Road Well Association,1912007-001,Connection of this system to Hopatcong Borough,60,170,0,0,0,0,0,0,0.0006,170.0006,
185,North Jersey District Water Supply Commission,1613001-035,Rehabilitation of Pump Stations,872153,60,50,20,0,0,0,30,8.72153,168.72153,
185,North Jersey District Water Supply Commission,1613001-019,Ramapo Pump Station Improvements,872153,60,50,20,0,0,0,30,8.72153,168.72153,
185,North Jersey District Water Supply Commission,1613001-021,"Implementation of alternative energy generation systems at the
Wanaque TP",872153,45,50,20,0,0,15,30,8.72153,168.72153,
186,"NJ American Water Company, Inc.",1345001-021,Swimming River WTP 2nd Clearwell,335449,100,50,0,0,0,0,15,3.35449,168.35449,
187,Jersey City Municipal Utilities Authority,0906001-016,Large Valve Replacement Program- Phase 2,264290,75,0,20,5,5,0,0,2.6429,167.6429,
188,Jersey City Municipal Utilities Authority,0906001-022,"Hackensack River 36"" Aqueduct replacement",270753,75,0,20,5,5,0,0,2.62,167.62,
188,Jersey City Municipal Utilities Authority,0906001-027,PHASE 6B WATER MAIN REHABILITATION PROJECT,247597,75,0,20,5,5,0,0,2.62,167.62,
188,Jersey City Municipal Utilities Authority,0906001-024,Phase 2A Water,250000,75,0,20,5,5,0,0,2.62,167.62,
188,Jersey City Municipal Utilities Authority,0906001-023,Phase 5A Water Project,262000,75,0,20,5,5,0,0,2.62,167.62,
188,Jersey City Municipal Utilities Authority,0906001-026,5-B Water Project,250000,75,0,20,5,5,0,0,2.62,167.62,
188,Jersey City Municipal Utilities Authority,0906001-032,Van Horne Street Water Improvements,265549,75,0,20,5,5,0,0,2.62,167.62,
188,Jersey City Municipal Utilities Authority,0906001-033,Pine Street Area Water Improvements,5000,75,0,20,5,5,0,0,2.62,167.62,
190,East Windsor Municipal Utilities Authority,1101002-006,Millstone Road Water Treatment Plant Well #9 & Well #10,25763,150,0,0,0,0,15,0,0.25,165.25,
191,Manchester Utilities Authority,1603001-004,Holland Christian Home Water Main Extension Project,175,165,0,0,0,0,0,0,0.12,165.12,
192,Lower Township Municipal Utilities Authority,0505002-005,LCMR - Water Main Extension,884,165,0,0,0,0,0,0,0.10315,165.10315,BIL (GEN)
193,Passaic Valley Water Commission,1605002-020,Replacement of Prospect Park storage tank,347052,60,0,20,0,0,0,80,3.47052,163.47052,BIL (GEN)
193,Passaic Valley Water Commission,1605002-023,Decommissing of Granite Avenue Tank,347052,60,0,20,0,0,0,80,3.47052,163.47052,BIL (GEN)
194,Jersey City Municipal Utilities Authority,0906001-029,Phase 6A Water Rehabilitation,265510,75,0,15,5,5,0,0,2.62,162.62,
195,Brick Township Municipal Utilities Authority,1506001-014,"Water Main Replacement on Cartagena Drive, Alhama Drive, Cadiz Drive,
Valencia Drive and Monterey Drive",86898,75,50,20,0,0,0,15,0.86898,160.86898,
196,"NJ American Water Company, Inc.",0323001-005,Woodlane WTP Improvement Project,445702,160,0,0,0,0,0,0,0.47427,160.47427,
197,Camden City,0408001-022,Install potable wells/flr elevations at Morris Delair WTP,46585,15,80,15,0,0,0,0,0.46585,160.46585,BIL (GEN)
198,Mount Laurel Township Municipal Utilities Authority,0324001-004,Elbo Lane WTP HVAC Replacement,46310,160,0,0,0,0,0,0,0.41743,160.41743,
199,Aqua New Jersey Incorporate,1103001-004,AQUA Hamilton PFAS Treatment,39128,160,0,0,0,0,0,0,0.39128,160.39128,BIL (EC)
200,Fair Lawn Borough,0217001-001,Fair Lawn Water Treatment Facility,34927,160,0,0,0,0,0,0,0.31,160.31,
201,Monroe Municipal Utilities Authority,0811002-002,Water Treatment System Rehabilitation,37117,160,0,0,0,0,0,0,0.26179,160.2618,
203,Hamilton Township Municipal Utilities Authority,0112001-004,HTMUA WELL #8 REHABILITATION,23176,160,0,0,0,0,0,0,0.2172,160.21719,
204,Point Pleasant Borough,1524001-002,Water Treatment Plant Filter Replacement,18651,160,0,0,0,0,0,0,0.196,160.196,
205,Verona Township,0720001-006,LINN DRIVE WELLS,14460,160,0,0,0,0,0,0,0.13641,160.13641,
205,Verona Township,0720001-007,FAIRVIEW WELLS,14460,160,0,0,0,0,0,0,0.13641,160.13641,
206,Clinton Town,1005001-020,"Town of Clinton - Lebanon Well #2 - PFAS Treatment and Well
Improvements",8333,160,0,0,0,0,0,0,0.125,160.125,BIL (EC)
206,Clinton Town,1005001-019,"Town of Clinton - Wells 11, 12R & 15 - PFAS Treatment Improvements",-,160,0,0,0,0,0,0,0.125,160.125,BIL (EC)
207,Beachwood Borough,1504001-001,Beachwood Water Department New Water Treatment Facility,10859,160,0,0,0,0,0,0,0.10802,160.10802,
208,Boonton Town,1401001-003,Wellfield Treatment Plant Upgrades,9900,160,0,0,0,0,0,0,0.09532,160.09532,
209,Spotswood Borough,1224001-003,Rehabilitation of the George Street Water Treatment Plant,8300,160,0,0,0,0,0,0,0.083,160.08299,
210,Berkeley Township Municipal Utilities Authority,1505004-003,Install new solar panels at treatment plant,8130,45,0,20,0,0,15,80,0.0813,160.0813,BIL (GEN)
211,Roxbury Township,1436003-001,Well 2 PFAS Treatment Facility,5153,160,0,0,0,0,0,0,0.05153,160.05153,BIL (EC)
212,Netcong Borough,1428001-002,Replacement of leaking water mains,3236,75,50,15,5,0,0,15,0.03236,160.03236,
212,Netcong Borough,1428001-004,Replacement of 8in water main,3236,75,50,15,5,0,0,15,0.03236,160.03236,
213,Lakehurst Borough,1513001-003,Treatment Plant Updates,2684,160,0,0,0,0,0,0,0.0265,160.0265,
214,Jersey City Municipal Utilities Authority,0906001-036,"Bates Street, Grand Street and Center Street Water System Improvements",283927,75,0,20,5,0,0,0,2.62,157.62,
214,Jersey City Municipal Utilities Authority,0906001-012,Water Main Replacement,262000,75,0,20,5,0,0,0,2.62,157.62,
214,Jersey City Municipal Utilities Authority,0906001-006,Transmission Main Install,247000,75,0,20,5,0,0,0,2.62,157.62,
220,Clementon Borough,0411001-001,Rehab of Gibbsboro Water Main (White Horse Pike & White Horse Rd.),5003,75,80,0,0,0,0,0,0.05,155.05,BIL (GEN)
222,Sussex Borough,1921001-007,Sussex Borough Main Street Water Main Replacement Project,2201,75,80,0,0,0,0,0,0.02201,155.022,BIL (GEN)
223,Sussex Borough,1921001-006,Water Systems Enhancements,2130,75,0,0,0,0,0,80,0.0213,155.0213,BIL (GEN)
223,Sussex Borough,1921001-005,Lake Rutherford Water Line Installation Project,2130,75,0,0,0,0,0,80,0.0213,155.0213,BIL (GEN)
224,Newark City,0714001-014,Installation of a SCADA system,285000,1,50,20,0,0,0,80,2.85,153.85,BIL (GEN)
225,North Jersey District Water Supply Commission,1613001-018,"Security system improvements - Relocation of Wanaque WTP main
entrance gate closer to Ringwood Blvd",872153,45,50,20,0,0,0,30,8.72153,153.72153,
225,North Jersey District Water Supply Commission,1613001-023,Security system improvements,872153,45,50,20,0,0,0,30,8.72153,153.72153,
226,"NJ American Water Company, Inc.",1345001-018,Oak Glenn Treatment Plant Expansion,290470,100,50,0,0,0,0,0,2.9047,152.9047,
227,Middlesex Water Company,1225001-029,CJO Plant Upgrade - DBP Removal Treatment,282741,100,50,0,0,0,0,0,2.33376,152.33376,
228,East Orange Water Commission,0705001-004,"Rehab of Braidburn wells #1 & #2; Canoe Brook wells #2, #3 & #4",80468,15,50,0,5,0,0,80,0.80468,150.80468,BIL (GEN)
228,East Orange Water Commission,0705001-005,"Replacement of electrical cable for wellfield which includes Well Nos. 3, 4
& 5",80468,15,50,0,5,0,0,80,0.80468,150.80468,BIL (GEN)
229,Perth Amboy City,1216001-012,Florida Grove Road Reservoir Improvements,55436,60,80,0,0,5,0,0,0.52328,150.52328,BIL (GEN)
230,Mahwah Township,0233001-006,"Rehabilitation of Ford Wellfield treatment, pumps & motors, electrical,
SCADA and transmission mains",24062,100,50,0,0,0,0,0,0.24062,150.24062,
231,Hawthorne Borough,1604001-002,Hawthorne Water Utility PFAs Treatment,18775,100,50,0,0,0,0,0,0.19058,150.19058,BIL (EC)
232,Willingboro Municipal Utilities Authority,0338001-002,"Replacement of 56,000 LF of 6 and 8-inch mains-Twin Hills",34731,75,50,20,0,0,0,0,0.34731,145.34731,
232,Willingboro Municipal Utilities Authority,0338001-003,Replacement of 6 & 8 inch mains in RIttenhouse section,34731,75,50,20,0,0,0,0,0.34731,145.34731,
233,Vineland City,0614003-012,"Upgrades to well #4 water treatment plant including a new air stripping
tower",33000,100,0,15,0,0,0,30,0.33,145.33,BIL (GEN)
233,Vineland City,0614003-013,"Upgrades to the existing water treatment plant at well #13 with new
replacement well #18.",33000,100,0,15,0,0,0,30,0.33,145.33,BIL (GEN)
234,Stafford Township,1530004-016,"Installation of 5,000 LF of main under the GSP as secondary crossing",28868,75,35,20,0,0,0,15,0.28868,145.28868,
234,Stafford Township,1530004-017,"Replacement of 1,600 LF of water main on Charles Blvd",28868,75,35,20,0,0,0,15,0.28868,145.28868,
235,Egg Harbor City,0107001-001,Construction of a new storage tank,4700,50,0,15,0,0,0,80,0.047,145.047,BIL (GEN)
237,Netcong Borough,1428001-005,Roof and Structural repairs to a 1MG reservoir,3236,60,50,15,5,0,0,15,0.03236,145.03236,
238,Glassboro Borough,0806001-001,2.0 mg elevated tower repainting,19992,60,80,0,0,0,0,0,0.24244,140.24245,
239,Manchester Utilities Authority,1603001-007,Replace existing booster station,12111,60,50,15,0,0,0,15,0.12111,140.12111,
240,Berkeley Township Municipal Utilities Authority,1505004-004,Install automated meter reading system,8130,25,0,20,0,0,15,80,0.0813,140.0813,BIL (GEN)
241,Hightstown Borough,1104001-009,Water Tank Painting & Repairs,5567,60,50,15,0,0,0,15,0.054,140.054,
243,Upper Deerfield Township,0613004-002,Seabrook Water Tower Replacement (Upper Deerfield),2964,60,80,0,0,0,0,0,0.02463,140.02463,BIL (GEN)
244,Waterford Township Municipal Utilities Authority,0435003-001,New water mains for Maximum Contaminant Level violations,2408,125,0,15,0,0,0,0,0.02408,140.02408,
245,Jersey City Municipal Utilities Authority,0906001-025,Phase 1 & 2 Water Main Replacement Project,264161,75,0,20,5,5,15,15,2.62,137.62,
245,Jersey City Municipal Utilities Authority,0906001-028,Dam Security Improvements,265932,45,0,20,5,5,0,0,2.62,137.62,
246,Trenton City,1111001-012,Pennington Reservoir Replacement,225000,60,0,15,0,5,0,0,2.17,137.17,BIL (GEN)
247,East Orange City,0705001-500/001,Install generators -White Oak Rd,80468,1,50,0,5,0,0,80,0.80468,136.80468,BIL (GEN)
249,Atlantic City Municipal Utilities Authority,0102001-009,Water Meter and MTU Replacement,75619,25,0,15,0,0,15,80,0.756193,135.75619,BIL (GEN)
250,Perth Amboy City,1216001-005,"THE INSTALLATION OF A NEW STANDBY GENERATOR AT THE RUNYON
WATER TREATMENT PLANT",366296,45,80,0,0,5,0,0,0.52328,135.52328,BIL (GEN)
251,Wildwood City,0514001-005,Well #39 Redevelopment,45500,15,80,15,0,0,0,0,0.454997,135.455,BIL (GEN)
252,Vineland City,0614003-016,Well 17 Treatment Facility,36848,15,80,15,0,0,0,0,0.3625,135.3625,BIL (GEN)
253,Willingboro Municipal Utilities Authority,0338001-010,Well5A PFOS Treatment System Upgrade,34731,100,0,20,0,0,0,15,0.35,135.35,BIL (EC)
255,Bridgeton City,0601001-006,Well 14/15 Rehabilitation,25349,15,80,15,0,0,0,0,0.2277,135.22771,BIL (GEN)
256,Freehold Borough,1315001-003,Replacement of Well No. 3,12052,15,80,15,0,5,0,0,0.11029,135.11029,BIL (GEN)
257,Passaic Valley Water Commission,1605002-010,Installation of a back up Wanaque interconnection line,347052,30,0,20,0,0,0,80,3.47052,133.47052,BIL (GEN)
257,Passaic Valley Water Commission,1605002-016,Upgrade the interconnection with United WC,347052,30,0,20,0,0,0,80,3.47052,133.47052,BIL (GEN)
257,Passaic Valley Water Commission,1605002-022,Emergency interconnection upgrade,347052,30,0,20,0,0,0,80,3.47052,133.47052,BIL (GEN)
258,Jersey City Municipal Utilities Authority,0906001-010,Journal Square North Cleaning,262000,75,0,20,5,0,0,30,2.62,132.62,
258,Jersey City Municipal Utilities Authority,0906001-009,Burma Road Area Water System Improvements,262000,75,0,15,5,5,0,30,2.62,132.62,
260,NJ City Univ. / Jersey City Municipal Utilities Authority,0906001-005,Redevelopment of Brownfield site,247000,75,0,20,5,0,0,30,2.47,132.47,
261,"NJ American Water Company, Inc.",0712001-016,"NJ American Water Lead Service Line Replacement Program PWSID
0712001",217230,125,0,0,5,0,0,0,1.74985,131.74985,
265,Orange City,0717001-012,Orange Twp | Interconnection and Distribution Project,30731,30,80,0,5,5,0,0,0.30134,130.30135,BIL (GEN)
266,Manchester Township,1518005-004,MANCHESTER TOWNSHIP 1.0MG ELEVATED TANK,21200,50,80,0,0,0,0,0,0.212,130.21201,BIL (GEN)
267,Pine Hill Municipal Utilities Authority,0428002-001,"Construction of GAC filtration system for removal of IPMP - Critical Area
#2",12492,100,0,0,0,0,0,30,0.12492,130.12492,BIL (GEN)
268,Bellmawr Borough,0404001-005,Improvements to WTP,11583,100,0,0,0,0,0,30,0.11583,130.11583,BIL (GEN)
269,Sussex Borough,1921001-001,Water Treatment Plant upgrades,2666,100,0,0,0,0,0,30,0.02666,130.02666,BIL (GEN)
270,Bayville Central Regional Board of Education,1505355-001,Additional treatment on existing well,2500,100,0,0,0,0,0,30,0.025,130.025,
271,Downe Township,0604001-004,Construction of new storage tank on New Jersey Avenue,770,50,0,0,0,0,0,80,0.0077,130.0077,BIL (GEN)
272,"NJ American Water Company, Inc.",1345001-019,Howell-Lakewood Transmission Main,290470,75,50,0,0,0,0,0,2.55333,127.55333,
273,Middlesex Water Company,1225001-018,Construction of a water main,233376,75,50,0,0,0,0,0,2.33376,127.33376,
273,Middlesex Water Company,1225001-019,"Replacement of 5,000 LF of 24-inch cast iron mains",233376,75,50,0,0,0,0,0,2.33376,127.33376,
275,Atlantic City Municipal Utilities Authority,0102001-008,Water Meter Replacement Program,94225,25,0,20,0,0,0,80,0.95,125.95,BIL (GEN)
276,Old Bridge Municipal Utilities Authority,1209002-005,"Laurence Harbor Water System Upgrade, Phase 1",65375,75,50,0,0,0,0,0,0.67215,125.67215,
277,Bayonne Municipal Utilities Authority,0901001-004,Rehabilitation of gate house valve chamber and venturi flow meter,61842,75,0,20,0,0,0,30,0.61842,125.61842,BIL (GEN)
279,Perth Amboy City,1216001-500,Install New Stand-by Generator for Runyon Water Treat. Plant,50814,45,80,0,0,0,0,0,0.52328,125.52328,BIL (GEN)
280,Aqua New Jersey Incorporate,0415002-008,"Replacement of 5,900 LF of water main on Lakeside, East Blenheim,
Haines, Lake & Church, etc",49350,75,50,0,0,0,0,0,0.4935,125.4935,
281,Long Beach Township,1517001-013,Replacement of water mains,35367,75,50,0,0,0,0,0,0.35367,125.35367,
283,Ramsey Borough,0248001-001,"Construction of mains (Rte 17, Grant & Airmount)",16350,75,50,0,0,0,0,0,0.1635,125.1635,
283,Ramsey Borough,0248001-002,Replacement of mains (Carol & Maple),16350,75,50,0,0,0,0,0,0.1635,125.1635,
283,Ramsey Borough,0248001-003,"Construction of mains (Rte 17, Snyder & Airmount)",16350,75,50,0,0,0,0,0,0.1635,125.1635,
283,Ramsey Borough,0248001-004,Construction of mains (Lakeview & Airmount),16350,75,50,0,0,0,0,0,0.1635,125.1635,
285,Harrison Town,0904001-001,"Cleaning & Lining of mains on Grant Ave., Cleveland Ave., & Hamilton
Street",14425,75,0,20,0,0,0,30,0.14425,125.14425,
285,Harrison Town,0904001-004,"Cleaning and Lining and of approximately 3,000 LF of 10, 12 and 14 inch
mains",14425,75,0,20,0,0,0,30,0.14425,125.14425,
285,Harrison Town,0904001-005,"Replacement of 3,160 LF of water mains on S 2nd, Frank E. Rogers Blvd &
Scott Mobus Place",14425,75,0,20,0,0,0,30,0.14425,125.14425,
286,Clinton Town,1005001-010,"West Main Street Water Main Replacement Project - Asset Management
Planning",12500,75,50,0,0,0,0,0,0.125,125.125,
287,Spotswood Borough,1224001-001,"Cleaning and lining of approximaty 3,600 LF of water mains",8300,75,50,0,0,0,0,0,0.083,125.083,
288,Point Pleasant Beach Borough,1525001-002,Ocean Avenue Water Main Replacement,7733,75,50,0,0,0,0,0,0.0773333,125.07733,
291,Perth Amboy City,1216001-009,The Replacement of Water Meters Project,47300,25,0,0,0,0,15,80,0.473,120.473,BIL (GEN)
292,Willingboro Municipal Utilities Authority,0338001-012,Well No. 1 Water Treatment Plant Upgrade,34731,100,0,20,0,0,0,0,0.37731,120.37731,
293,Vineland City,0614003-007,Replacement of 1.4 miles of 8-inch with 10 -inch water mains,33000,75,0,15,0,0,0,30,0.33,120.33,BIL (GEN)
293,Vineland City,0614003-008,"Replacement of 2,300 LF of 8-, 10- and 12-inch water mains",33000,75,0,15,0,0,0,30,0.33,120.33,BIL (GEN)
293,Vineland City,0614003-009,"Construction of .4 miles of 12-inch water mains to loop dead ends and
enhance water pressure",33000,75,0,15,0,0,0,30,0.33,120.33,BIL (GEN)
295,Wildwood City,0514001-003,Water system improvements - 2016 street & utility reconstruction,20361,75,0,15,0,0,0,30,0.203607,120.20361,BIL (GEN)
297,Stafford Township,1530005-001,Fawn Lakes Water Main Extension,1500,75,0,20,0,0,0,0,0.0174,120.0174,
298,Passaic Valley Water Commission,1605002-009,Replacement of surface water intake facilities on the Passaic River,347052,15,0,20,0,0,0,80,3.47052,118.47052,BIL (GEN)
299,Jersey City Municipal Utilities Authority,0906001-021,Phase 5 Water Mains,261666,75,0,15,5,5,0,15,2.61666,117.61666,
299,Jersey City Municipal Utilities Authority,0906001-020,Phase 3 and 4 Water Main Replacement Project,261666,75,0,15,5,5,0,15,2.61666,117.61666,
300,Jersey City Municipal Utilities Authority,0906001-014,Brookdale Gate House Improvements,257342,75,0,20,5,0,0,15,2.57342,117.57342,
302,Winslow Township,0436007-003,New 1.0 MG finished water storage tank,39328,50,50,15,0,0,0,0,0.39328,115.39328,
303,Dover Town,1409001-003,Water Main Replacement,16000,75,0,15,0,0,0,0,0.27806,115.27806,
303,Dover Town,1409001-004,Valve and Fire Hydrant Replacement,16000,75,0,15,0,0,0,0,0.27806,115.27806,
306,Berlin Borough,0405001-005,Repairs to Plant#1 filter and complete replacement of filter media,13121,100,0,15,0,0,0,0,0.13121,115.13121,
307,Red Bank Borough,1340001-003,White Street Water Main,12350,75,0,15,0,0,0,0,0.1252,115.1252,
309,Milltown Borough,1212001-002,Ford Ave Redevelopment,7052,75,0,15,0,5,0,0,0.07,115.07,
310,Hightstown Borough,1104001-003,"Construct 80,000 gallon backwash tank and re-line existing lagoons",5567,100,0,15,0,0,0,0,0.05567,115.05567,
311,Netcong Borough,1428001-011,"Borough of Netcong - Watermain Replacement and Project Prioritization
Planning",4500,75,0,15,5,0,0,0,0.03342,115.03342,BIL (GEN)
312,National Park Borough,0812001-001,Replacement of a WTP,3289,100,0,0,0,0,0,15,0.03289,115.03289,BIL (GEN)
313,Sussex Borough,1921001-004,Water Meter Replacement Project,2130,35,0,0,0,0,0,80,0.0213,115.0213,BIL (GEN)
314,Allentown Borough,1302001-004,Water Treatment Plant Improvements,1828,100,0,15,0,0,0,0,0.01828,115.01828,
317,Jersey City Municipal Utilities Authority,0906001-015,Van Winkle Ave. Water Main Replacement,247597,75,0,20,0,0,0,15,2.47,112.47,
318,Middlesex Water Company,1225001-020,Replace the Tingley Lane pump station,233376,60,50,0,0,0,0,0,2.33376,112.33376,
320,Brick Township Municipal Utilities Authority,1506001-008,Undersized Water Main Replacement Cedar Park East and West,100000,75,0,20,0,0,0,15,0.86898,110.86898,
320,Brick Township Municipal Utilities Authority,1506001-013,"Water Main Stream Crossings Replacements at Route 70 (16"" Diameter), at the Beaver Dam Creek at Midstreams Road (16"" Diameter), and Five 12"" Diameter Stream Crossings in the Township of Brick",100000,75,0,20,0,0,0,0,0.86898,110.86898,
323,Kearny Town,0907001-001A,Water Facility and Ground Improv. Program,291648,75,0,20,0,0,0,15,0.41664,110.41664,
324,Long Beach Township,1517001-012,"Rehabilitation of four storage tanks-Beach Haven Terrace, Brant Beach,
Holgate & Pehala Park",35367,60,50,0,0,0,0,0,0.35367,110.35367,
326,Orange City,0717001-005,Cleaning & Lining of mains,30000,75,0,0,5,0,0,30,0.3,110.3,BIL (GEN)
328,Phillipsburg Redevelopment Authority,2119001-006,"Installation of 5,300 LF of 8 and 12-inch water mains for a brownfield site",18162,75,0,0,0,5,0,30,0.18162,110.18162,
329,Ramsey Borough,0248001-005,Rehabilitation of Airmount reservoir,16350,60,50,0,0,0,0,0,0.1635,110.1635,
330,Salem City,1712001-002,Installation of a new well,5857,15,0,15,0,0,0,80,0.05857,110.05857,BIL (GEN)
331,Netcong Borough,1428001-006,Replacement of Water meters,3236,25,50,15,5,0,0,15,0.03236,110.03236,
332,North Jersey District Water Supply Commission,1613001-030,Modify and Expand Central Receiving Building,872153,1,50,20,0,0,0,30,8.72153,109.72153,
332,North Jersey District Water Supply Commission,1613001-007,Acquisition and integration of the Kearny/Bayonne Transmission main,872153,1,50,20,0,0,0,30,8.72153,109.72153,
333,"NJ American Water Company, Inc.",2004002-007,Painting of the Raritan Millstone backwash tank at the WTP,610000,100,0,0,0,0,0,0,6.1,106.1,
334,Perth Amboy City,1216001-001,Replacement of undersize water main - Center Street,50814,75,0,0,0,0,0,30,0.50814,105.50814,BIL (GEN)
334,Perth Amboy City,1216001-002,Replacement of undersize water main - State Street,50814,75,0,0,0,0,0,30,0.50814,105.50814,BIL (GEN)
334,Perth Amboy City,1216001-003,Cleaning & Lining of water mains-Central bussiness District,50814,75,0,0,0,0,0,30,0.50814,105.50814,BIL (GEN)
335,Garfield City,0221001-004,Replacement of water mains,29780,75,0,0,0,0,0,30,0.2978,105.2978,BIL (GEN)
335,Garfield City,0221001-006,"Replacement of 8,000 LF of 6-inch to 12-inch water main & replacement
of 30 valves",29780,75,0,0,0,0,0,30,0.2978,105.2978,BIL (GEN)
336,Lakewood Township Municipal Utilities Authority,1514002-012,Installation of a new storage tank,25000,50,25,0,0,0,0,30,0.25,105.25,BIL (GEN)
337,West Deptford Township,0820001-003,Water Meter Replacment Project,21248,25,50,0,0,0,15,15,0.21248,105.21248,
338,Manchester Township,1518005-003,Install automated meters,21083,25,0,0,0,0,0,80,0.210833,105.21083,BIL (GEN)
339,Ventnor City,0122001-001,Clean and line 8 and 14inch water mains,12900,75,0,0,0,0,0,30,0.129,105.129,BIL (GEN)
340,Manchester Utilities Authority,1603001-008,"Slip line 16,000 LF unlined cast iron 16inch pipe in High Mountain in
Haledon and North Haledon w/ smaller diameter pipe",12111,75,0,15,0,0,0,15,0.12111,105.12111,
342,Wallington Borough,0265001-001,Replacement of 6-inch mains with 8-inch mains,11580,75,0,0,0,0,0,30,0.1158,105.1158,
343,Gloucester City,0414001-002,Water Main replacement on Broadway & Koehler Streets,11484,75,0,0,0,0,0,30,0.11484,105.11484,BIL (GEN)
343,Gloucester City,0414001-003,Water Main replacement on Jersey Avenue,11484,75,0,0,0,0,0,30,0.11484,105.11484,BIL (GEN)
343,Gloucester City,0414001-007,Water Main replacement on Johnson Blvd.,11484,75,0,0,0,0,0,30,0.11484,105.11484,BIL (GEN)
343,Gloucester City,0414001-008,Water Main replacement on Market Street,11484,75,0,0,0,0,0,30,0.11484,105.11484,BIL (GEN)
343,Gloucester City,0414001-009,Water Main replacement on Park Avenue,11484,75,0,0,0,0,0,30,0.11484,105.11484,BIL (GEN)
343,Gloucester City,0414001-010,Water Main replacement on Baynes Avenue,11484,75,0,0,0,0,0,30,0.11484,105.11484,BIL (GEN)
343,Gloucester City,0414001-011,"Water Main replacement on Brown Street, E. Brown Street, Sparks
Avenue",11484,75,0,0,0,0,0,30,0.11484,105.11484,BIL (GEN)
343,Gloucester City,0414001-012,Water Main replacement on Nicholson Road,11484,75,0,0,0,0,0,30,0.11484,105.11484,BIL (GEN)
343,Gloucester City,0414001-013,"Replacement of 2,200 LF of water mains on Charles Street",11484,75,0,0,0,0,0,30,0.11484,105.11484,BIL (GEN)
345,Hammonton Town,0113001-001,"Water main extension along Egg Harbor Road, and Eighth Street to create
loops and eliminate dead ends",11300,75,0,15,0,0,0,15,0.113,105.113,
345,Hammonton Town,0113001-002,"Replacement of water mains on Central Ave., Golf Dr., & 12th Street.",11300,75,0,15,0,0,0,15,0.113,105.113,
345,Hammonton Town,0113001-003,"Replacement of 2,900 LF of water mains on Rte 54",11300,75,0,15,0,0,0,15,0.113,105.113,
346,Pemberton Township,0329004-006,Various Water System Improvements,10815,75,0,15,0,0,0,15,0.10815,105.10815,BIL (GEN)
347,Stone Harbor Borough,0510001-001,Water Main Replacement Project- Phase 1,10283,75,0,15,0,0,0,0,0.102833,105.10284,
348,Pine Hill Municipal Utilities Authority,0428002-003,"Erial Road Water Main Rehab and Branch Avenue Pressure Reducing
Valve",10233,75,0,0,0,0,0,30,0.10233,105.10233,BIL (GEN)
349,Newton Town,1915001-002,2023 Drinking Water Pump Station,8300,60,0,20,0,0,0,0,0.083,105.083,
349,Newton Town,1915001-003,2023 Drinking Water Storage Tank,8300,60,0,20,0,0,0,0,0.083,105.083,
350,Paulsboro Borough,0814001-002,"Replacement of 2,300 water meters",6025,25,0,0,0,0,0,80,0.06025,105.06025,BIL (GEN)
352,Hightstown Borough,1104001-011,"Hauser, Bennet and Prospect Water Mains",5304,75,0,15,0,0,0,0,0.054,105.054,
355,Sussex Borough,1921001-002,Replacement of 75 year old water mains,2666,75,0,0,0,0,0,30,0.02666,105.02666,BIL (GEN)
356,Brooklawn Borough,0407001-004,"Removal and replacement 1,500 LFof 6-inch water mains",2300,75,0,0,0,0,0,30,0.023,105.023,BIL (GEN)
357,"NJ American Water Company, Inc.",1345001-005,Replacement of ozone generators at Swimming River WTP,289553,100,0,0,0,0,0,0,2.89553,102.89553,
358,Middlesex Water Company,1225001-025,Western Transmission Main,233376,30,50,15,5,0,0,0,2.33376,102.33376,
360,Orange City,0717001-016,"Orange Twp | Water System Hydraulic Model, GIS, AMP",32000,1,80,0,5,5,0,0,0.30134,101.30134,BIL (GEN)
361,Berkeley Township Municipal Utilities Authority,1505004-002,Install new water mains,8130,1,0,20,0,0,0,80,0.0813,101.0813,BIL (GEN)
361,Berkeley Township Municipal Utilities Authority,1505004-005,Extension of water mains,8130,1,0,20,0,0,0,80,0.0813,101.0813,BIL (GEN)
362,Hoboken City,0905001-004,Hoboken Pressure Mitigation Project,57703,30,0,20,0,0,0,0,0.52,100.52,
