,Entity,Project,PWSID,Population,County,Estimated.Loan.Amount,Loan.Type,Estimated.Award.Date,Rate
224,Jackson,South Street Waterline Replacement,OH4000111,"9,691",Jackson,"$1,736,919",Construction,Dec-22,SML
225,"Jackson County Water Company, Inc.",Chestnut Grove Tank Replacement,OH4002012,"15,903",Jackson,"$719,000",Construction,Aug-22,STD
226,"Jackson County Water Company, Inc.",Garrett Ridge Improvements,OH4002012,"15,903",Jackson,"$5,965,300",Construction,Oct-22,DIS/REG
227,"Jackson County Water Company, Inc.",Jackson County Water System Master Plan,OH4002012,"15,903",Jackson,"$135,000",Planning,Sep-22,STD
228,"Jackson County Water Company, Inc.",Kitchen Tank Waterline Connection,OH4002012,"15,903",Jackson,"$110,000",Design,Sep-22,REG
229,"Jackson County Water Company, Inc.",Kitchen Tank Waterline Connection,OH4002012,"15,903",Jackson,"$539,000",Construction,Aug-22,REG
230,"Jackson County Water Company, Inc.",McCoy Road Waterline Connection,OH4002012,"15,903",Jackson,"$20,000",Design,Sep-22,REG
231,"Jackson County Water Company, Inc.",McCoy Road Waterline Connection,OH4002012,"15,903",Jackson,"$65,000",Construction,Aug-22,REG
232,Jefferson County,Hammondsville Water Storage Tank Rehab,OH4101103,"13,983",Jefferson,"$93,400",Design,Aug-22,STD
233,Jefferson County,Hammondsville Water Storage Tank Rehab,OH4101103,"13,983",Jefferson,"$1,057,368",Construction,Mar-23,STD
234,Jefferson County,J and Bloomingdale Water Storage Tanks Rehabilitation,OH4101103,"13,983",Jefferson,"$1,824,990",Construction,Aug-22,STD
235,Jefferson Regional Water Authority,Water Treatment Plant Improvements,OH5703012,"4,620",Montgomery,"$3,322,310",Construction,Oct-22,SML
236,Jefferson Regional Water Authority,Water Treatment Plant Improvements,OH5703012,"4,620",Montgomery,"$152,250",Design,Aug-22,PLN/DES
237,Jefferson W&SD,Water Treatment Plant Improvements,OH2504012,"11,294",Franklin,"$13,191,000",Construction,Dec-22,STD
238,Johnstown,Water Treatment Plant Expansion1,OH4501512,"5,182",Licking,"$1,500,000",Design,Aug-22,PLN/DES
239,Johnstown,Water Treatment Plant Expansion,OH4501512,"5,182",Licking,"$14,900,000",Construction,Jan-23,SML
240,Kelleys Island,Huntington Lane Waterline Replacement,OH2201111,"3,125",Erie,"$435,010",Construction,Sep-22,SML
241,Kenton,Downtown Revitalization Phase 2 (WL and LSLR),OH3300612,"8,284",Hardin,"$6,519,108",Construction,Dec-22,DIS/LSL
242,Killbuck,Water Line Loop Improvement Project,OH3800712,879,Holmes,"$55,000",Planning,Oct-22,PLN/DES
243,Killbuck,Water Line Upgrades,OH3800712,879,Holmes,"$55,000",Planning,Oct-22,PLN/DES
244,Killbuck,Waterline Loop Improvement Project,OH3800712,879,Holmes,"$3,664,650",Construction,Mar-23,SML
245,Killbuck,Waterline Loop Improvement Project,OH3800712,879,Holmes,"$421,100",Design,Dec-22,PLN/DES
246,Killbuck,Waterline Upgrades,OH3800712,879,Holmes,"$272,350",Design,Dec-22,PLN/DES
247,Killbuck,Waterline Upgrades,OH3800712,879,Holmes,"$2,121,340",Construction,Mar-23,SML
248,La Rue,Water Treatment Plant Improvements,OH5100312,676,Marion,"$936,000",Construction,Aug-22,SML
249,Lakeview,Grove and Park Street Waterline Improvements,OH4601512,"1,083",Logan,"$482,003",Construction,Sep-22,SML
250,Lakeview,Midway Water System Improvements,OH4601512,"1,184",Logan,"$1,100,688",Construction,Dec-22,SML
251,Lancaster,North Water Treatment Plant Replacement,OH2301012,"40,400",Fairfield,"$83,000,000",Construction,Sep-22,STD
252,Lancaster,South Water Plant Filter Backwash Modifications,OH2301012,"40,400",Fairfield,"$10,000,000",Construction,Feb-23,STD
253,Lancaster,South Water Plant Improvements,OH2301012,"40,400",Fairfield,"$10,000,000",Construction,Jun-23,STD
254,Le-Ax Regional Water District,Le-ax Water District Tank 6 Replacement Project,OH0501111,777,Athens,"$720,000",Construction,Sep-22,STD
255,"Leipsic, Village of",Water Treatment Plant,OH6900612,"2,598",Putnam,"$11,000,000",Construction,May-23,SML
256,Liberty Center,"100,000 Gallon Elevated Tank Rehabilitation",OH3500603,"1,234",Henry,"$508,593",Construction,Oct-22,SML
257,Liberty Center,SR 109 Waterline Replacement,OH3500603,"1,327",Henry,"$92,056",Design,Oct-22,PLN/DES
258,Liberty Center,SR 109 Waterline Replacement,OH3500603,"1,180",Henry,"$613,707",Construction,May-23,SML
259,Licking County,Eagle Wings Water Line Extension,OH4500812,100,Licking,"$222,434",Construction,Oct-22,REG/PFAS
260,Licking County,Harbor Hills Watermain and Lead Service Line Replacement,OH4500812,"1,050",Licking,"$11,000,000",Construction,Jan-23,SML/LSL
261,Licking County,Harbor Hills Watermain and Lead Service Line Replacement,OH4500812,"1,050",Licking,"$950,000",Design,Aug-22,PLN/DES
262,Licking County,Newark - Hanover Water Line Ext. (Dist and Trans),OH4502314,"2,100",Licking,"$3,376,721",Design,Sep-22,REG
263,Licking County,Newark - Hanover Water Line Ext. (Dist and Trans),OH4502314,"2,100",Licking,"$36,871,213",Construction,Jun-23,REG
264,Licking County,Newark - Hanover Water Line Extension (Distribution),OH4502314,"2,100",Licking,"$1,889,321",Design,Sep-22,REG
265,Licking County,Newark - Hanover Water Line Extension (Distribution),OH4502314,"2,100",Licking,"$18,893,213",Construction,Jun-23,REG
266,Licking County,Prescott Estates Water Line and New Tank,OH4501712,732,Licking,"$2,901,300",Construction,Feb-23,SML/LSL
267,Lisbon,Water Tank & North End Pressure Improvements,OH1501512,"2,695",Columbiana,"$3,267,750",Construction,Jun-23,DIS
268,Lithopolis,SCADA Replacement,OH2301112,"1,954",Fairfield,"$13,810",Design,Aug-22,PLN/DES
269,Lithopolis,SCADA Replacement,OH2301112,"1,573",Fairfield,"$146,600",Construction,Mar-23,SML
270,Lithopolis,Water Treatment Plant Filter Addition,OH2301112,"1,954",Fairfield,"$54,380",Design,Sep-22,PLN/DES
271,Lithopolis,Water Treatment Plant Filter Addition,OH2301112,"1,573",Fairfield,"$691,650",Construction,Mar-23,SML
272,Lockland,Water Treatment System Upgrades,OH3101212,"3,407",Hamilton,"$9,900,000",Construction,Jun-23,SML/LSL
273,Lodi,Water System Improvements,OH5200412,"2,823",Medina,"$1,044,150",Construction,Aug-22,SML
274,Logan,2022 Water System Improvements,OH3700612,"7,205",Hocking,"$2,816,954",Construction,Jan-23,DIS/REG
275,Logan,East Wellfield Emergency Power Supply - Generator,OH3700612,"7,152",Hocking,"$359,200",Construction,Feb-23,SML
276,London,Raw Water Transmission Main and Water Main Extension,OH4900712,"9,394",Madison,"$2,666,772",Construction,Feb-23,SML
277,London,Water Wells Development,OH4900712,"9,394",Madison,"$3,685,000",Construction,Feb-23,DIS
278,London,Water Treatment Plant Rehabilitation,OH4900712,"9,394",Madison,"$1,510,650",Construction,Aug-22,SML
279,Lorain,2023 Lead Service line Replacement Project,OH4700711,"72,773",Lorain,"$5,000,000",Construction,May-23,LSL
280,Lordstown,Lordstown Water Extension Phase 2,OH7804403,"3,197",Trumbull,"$1,500,000",Design,Aug-22,PLN/DES
281,Lordstown,Lordstown Water Extension Phase 2,OH7804403,"3,197",Trumbull,"$20,000,000",Construction,Mar-23,SML
282,Lowell,Iron and Manganese Containerized Unit,OH8400312,638,Washington,"$110,000",Design,Oct-22,PLN/DES
283,Lowell,Lowell Water Treatment Plant Installation,OH8400312,638,Washington,"$2,011,791",Construction,Aug-22,DIS
284,Madison County,"S.R. 56, US 40 and Summerford Waterline Extension Project",OH4901012,"5,176",Madison,"$483,630",Design,Oct-22,PLN/DES
285,Madison County,"S.R. 56, US 40 and Summerford Waterline Extension Project",OH4901012,"5,176",Madison,"$7,553,989",Construction,Jan-23,DIS/REG
286,Madison County,SR-56 London Interconnect,OH4901012,"5,176",Madison,"$833,509",Construction,Oct-22,SML
287,Madison County,US 42 and Plain City Waterline Extension,OH4901012,"5,176",Madison,"$890,037",Design,Oct-22,REG
288,Madison County,US 42 and Plain City Waterline Extension,OH4901012,"5,176",Madison,"$14,355,294",Construction,Jan-23,REG
289,Madison Water District,Waterline Service to Heatherwood,OH7006712,"11,168",Richland,"$145,000",Design,Aug-22,REG
290,Madison Water District,Waterline Service to Heatherwood,OH7006712,"1,500",Richland,"$2,189,075",Construction,Jan-23,REG
291,Mahoning Valley Sanitary District,Mineral Ridge Dam Rehabilitation,OH7801811,"220,000",Trumbull,"$13,800,000",Construction,Dec-22,SML
292,Malinta,Malinta Water Tower Rehabilitation,OH3501403,265,Henry,"$250,000",Construction,Jun-23,SML
293,Malta,2022 Water Distribution System Improvements,OH5800412,671,Morgan,"$1,820,000",Construction,Jan-23,SML
294,Malvern,Phase 1 Waterline Replacement,OH1000112,"1,343",Carroll,"$769,855",Construction,Sep-22,DIS/LSL
295,Malvern,Waterline Replacement Phase 2,OH1000112,"1,302",Carroll,"$3,886,000",Construction,Jun-23,DIS/LSL
296,Manchester,Water Line Improvements Phase 2,OH0100112,"2,120",Adams,"$195,000",Design,Sep-22,PLN/DES
297,Manchester,Water Line Improvements Phase 2,OH0100112,"2,120",Adams,"$2,943,260",Construction,Mar-23,DIS
298,Marblehead,Johnson's Island Waterline Extension,OH6202411,"3,010",Ottawa,"$521,142",Design,Aug-22,REG
299,Marblehead,Johnson's Island Waterline Extension,OH6202411,"3,010",Ottawa,"$7,000,000",Construction,Jun-23,REG
300,Marblehead,North Water Tower Improvements,OH6202411,"3,010",Ottawa,"$320,000",Construction,Jun-23,SML
301,Marblehead,Village of Marblehead Water Tower,OH6202411,903,Ottawa,"$2,469,583",Construction,Sep-22,HAB
302,Marietta,WTP Replacement,OH8400412,"13,954",Washington,"$22,654,831",Construction,Dec-22,PFAS
303,Marshallville,Water Treatment Plant Replacement,OH8501912,811,Wayne,"$1,260,031",Construction,Jun-23,SML
304,Mechanicsburg,Water Distribution System Improvements - Phase 3,OH1100712,"1,681",Champaign,"$2,271,713",Construction,Apr-23,SML
305,Miamisburg,WTF Softening Improvements Well #14,OH701212,"20,000",Montgomery,"$2,000,000",Construction,Jan-23,STD
306,Miamisburg,WTF Softening Improvements Well #14,OH701212,"20,092",Montgomery,"$750,000",Design,Aug-22,STD
307,Middlefield,Water Well No. 3 Completion,OH2802012,"2,699",Geauga,"$2,447,000",Construction,Dec-22,SML
308,Middletown,Backup Generators - WTP and Yankee Pump Station,OH0901712,"50,000",Butler,"$1,740,000",Construction,May-23,STD
309,Middletown,Lime Processing Facility,OH0901712,"50,000",Butler,"$13,500,000",Construction,Jun-23,STD
310,Middletown,Water Line Replacements,OH0901712,"50,000",Butler,"$3,100,000",Construction,Jun-23,STD
311,Middletown,Water Storage Tank,OH0901712,"50,000",Butler,"$7,000,000",Construction,Jun-23,STD
312,Midvale,WTP Filtration Improvement,OH7900612,"2,376",Tuscarawas,"$2,537,765",Construction,Dec-22,DIS
313,Midvale,WTP Filtration Improvement,OH7900612,"1,353",Tuscarawas,"$342,138",Design,Jul-22,PLN/DES
314,Millersport,Water Treatment Plant Filter Addition,OH2301212,"3,200",Fairfield,"$978,530",Construction,Oct-22,SML
315,Monroeville,Water System Improvements - Waterline,OH3900811,"1,400",Huron,"$323,000",Construction,Sep-22,SML
316,Morgan-Meigsville Rural Water District,SR 60 Waterline Extension,OH5801003,700,Morgan,"$1,540,000",Construction,Feb-23,SML
317,Mount Sterling,"150,000 Gallon Elevated Storage Facility",OH4900812,"2,000",Madison,"$109,100",Design,Sep-22,PLN/DES
318,Mount Sterling,"150,000 Gallon Elevated Storage Facility",OH4900812,"2,000",Madison,"$1,369,900",Construction,Jan-23,SML
319,Muskingum County,Norfield and Arch Hill Waterline Extension,OH6000412,150,Muskingum,"$1,741,200",Construction,May-23,DIS/REG
320,Muskingum County,"Philo, Virginia Ridge and Irish Ridge Rd Main Extension",OH6000412,"21,464",Muskingum,"$3,211,550",Construction,Mar-23,DIS/REG
321,Muskingum County,SR 555 Waterline Extension - Phase 2,OH6000412,80,Muskingum,"$734,900",Construction,Apr-23,STD
322,Muskingum County,Sunflower Rd and Getz Rd Water Main Extension,OH6000412,"21,464",Muskingum,"$591,400",Construction,Mar-23,STD
323,Nelsonville,Water System Improvements Phase 2,OH0501214,"5,816",Athens,"$318,600",Design,Aug-22,PLN/DES
324,Nelsonville,Water System Improvements Phase 2,OH0501214,"5,816",Athens,"$5,200,000",Construction,Apr-23,DIS
325,Nevada,Water Tower and Water Lines,OH8800312,733,Wyandot,"$1,592,135",Construction,Oct-22,DIS
326,New Concord,WTP Clarifier #2 Rehabilitation,OH6001711,"2,209",Muskingum,"$379,600",Construction,Aug-22,SML
327,New Holland,2022 Water System Improvements,OH6501612,801,Pickaway,"$1,240,000",Construction,Jun-23,SML
328,New London,Coleman Court/Clinton Street Lead Waterline Replacement,OH3902611,"2,416",Huron,"$369,204",Construction,Jun-23,LSL
329,Noble Water Company,Water Meter Upgrade,OH6100203,815,Noble,"$142,000",Construction,Dec-22,SML
330,North Baltimore,Watermain Replacement Project,OH8701611,"3,432",Wood,"$4,838,251",Construction,Oct-22,SML/LSL
331,Northwestern Water & Sewer Dist,Custar Waterline Loop,OH8703211,"5,073",Wood,"$1,600,000",Construction,Jun-23,REG
332,Northwestern Water & Sewer Dist,Eastwood Local School District Regional Waterline,OH8752812,905,Wood,"$2,350,000",Construction,May-23,REG
333,Northwestern Water & Sewer Dist,Emergency Water Interconnection/Back-up,OH8752812,"25,278",Wood,"$800,000",Construction,Jun-23,HAB
334,Northwestern Water & Sewer Dist,Henry County Regional Waterline,OH8703211,"2,472",Wood,"$938,000",Construction,Aug-22,REG
335,Northwestern Water & Sewer Dist,Liberty Hi Road Water Line,OH8703211,"2,472",Wood,"$1,081,833",Construction,Jul-22,SML
336,Northwestern Water & Sewer Dist,Lime City Waterline Loop,OH8752812,"19,758",Wood,"$823,014",Construction,Jan-23,STD
337,Northwestern Water & Sewer Dist,Miltonville Waterline Replacement,OH8752812,"19,758",Wood,"$3,868,342",Construction,Jun-23,SML
338,Northwestern Water & Sewer Dist,Village of McComb Regional Water Line,OH3200411,"1,756",Wood,"$4,800,000",Construction,Oct-22,REG/HAB
339,Norwood,Water System Improvements,OH3101703,"19,870",Hamilton,"$900,000",Construction,Oct-22,STD
340,Obetz,Water Treatment System Upgrades,OH2502212,"3,167",Franklin,"$14,200,000",Construction,Jun-23,SML
341,Old Straitsville Water Association,"State Route 93, Arnold & Price Road Waterline Replacement",OH6401403,"2,950",Perry,"$973,500",Construction,Jun-23,DIS
342,Oregon,"Water Line Repl. Program - Seaman Rd, Norden Rd, and Wynn Rd",OH4800911,"21,000",Lucas,"$3,435,000",Construction,Mar-23,STD
343,Ottawa County,Secondary Feed Water Line Eastern Ottawa County,OH6205011,"17,348",Ottawa,"$2,097,000",Construction,Jan-23,STD
344,Ottawa County,Water Line Extension to Elmore,OH6205011,"1,500",Ottawa,"$1,735,567",Construction,Jan-23,REG
345,Payne,Meter Replacement,OH6300712,"1,192",Paulding,"$193,500",Construction,Apr-23,SML
346,Pemberville,Downtown Business Alley Waterline Replacement,OH8701712,"1,590",Wood,"$152,500",Construction,May-23,SML
347,Pemberville,Downtown Waterline Replacement,OH8701712,"1,360",Wood,"$1,920,000",Construction,Jun-23,SML
348,Pemberville,East Front Street Waterline Improvements,OH8701712,"1,360",Wood,"$182,000",Construction,Aug-22,SML
349,Pemberville,New Water Tower Improvements,OH8701712,"1,360",Wood,"$1,348,500",Construction,Jun-23,SML
350,Perry County,NPCW - Water System Improvements Phase 5,OH402703,"1,476",Perry,"$4,533,300",Construction,Mar-23,DIS
351,Philo,Water Line and Booster Replacement,OH6001912,866,Muskingum,"$6,700,000",Construction,Feb-23,SML
352,Pike Water Inc,SR 124 Waterline Replacement,OH6602412,"15,487",Pike,"$1,991,500",Construction,Feb-23,STD
353,Piketon,Piketon Water Treatment Plant,OH6600712,"2,137",Pike,"$792,210",Design,Sep-22,PLN/DES
354,Piketon,Piketon Water Treatment Plant,OH6600712,"2,181",Pike,"$7,197,223",Construction,Mar-23,DIS
355,Pleasantville,Water Tanks Rehabilitation,OH2301712,960,Fairfield,"$659,000",Construction,Jun-23,SML
356,Pomeroy,Water System Improvements,OH5300212,"1,953",Meigs,"$208,300",Design,Aug-22,PLN/DES
357,Pomeroy,Water System Improvements,OH5300212,"1,953",Meigs,"$2,040,400",Construction,Mar-23,DIS
358,Port Clinton,Water and Sanitary Sewer Infrastructure Improvements,OH6203211,"5,928",Ottawa,"$10,704,265",Construction,Jun-23,REG/LSL
359,Port William,Water System Improvements,OH1435013,250,Clinton,"$316,976",Design,Oct-22,REG
360,Port William,Water System Improvements,OH1435013,250,Clinton,"$4,528,876",Construction,May-23,REG
361,Portage County,Mantua Emergency Water Interconnect,OH6757292,"1,043",Portage,"$1,550,000",Construction,Oct-22,SML
362,Portage County,Village of Mantua Water Distribution Replacement,OH6702212,"1,207",Portage,"$300,000",Design,Sep-22,PLN/DES
363,Portage County,Village of Mantua Water Distribution Replacement,OH6702212,"1,207",Portage,"$7,014,623",Construction,May-23,DIS
364,Portage County,Village of Mantua Water Treatment Plant Liquid Chlorine,OH6702212,"1,207",Portage,"$300,000",Construction,May-23,SML
365,Portersville East Branch Water Co,Water System Improvements - Meter Replacement,OH6402303,"2,340",Perry,"$801,500",Construction,May-23,SML
366,Portsmouth,Water Treatment Plant - HAB,OH7300111,"40,475",Scioto,"$67,000,000",Construction,Dec-22,HAB
367,Proctorville,Lead Service Line Replacement,OH4400912,574,Lawrence,"$150,000",Construction,Oct-22,LSL
368,Proctorville,Water System Improvements,OH4400912,574,Lawrence,"$1,850,560",Construction,Oct-22,SML
369,Put-in-Bay,Elevated Water Storage Tank Rehab Improvements,OH6203311,141,Ottawa,"$25,180",Design,Aug-22,PLN/DES
370,Put-in-Bay,Elevated Water Storage Tank Rehab Improvements,OH6203311,141,Ottawa,"$678,870",Construction,Jan-23,SML
371,Ripley,Filtering Media Replacement,OH0801112,"1,591",Brown,"$440,000",Construction,Oct-22,DIS
372,Rittman,Water Transmission Main Replacement,OH8503012,"6,503",Wayne,"$4,047,375",Construction,Aug-22,DIS
373,Saint Clairsville,I-70 Underpass Water Main,OH0701516,"5,012",Belmont,"$874,635",Construction,Aug-22,SML
374,Saint Clairsville,Water Distribution System Improvements - Phases 1 and 2,OH0701516,"5,184",Belmont,"$1,796,685",Construction,Oct-22,REG
375,Salem,City of Salem Water Treatment Plant Rehabilitation Project,OH1502011,"16,850",Columbiana,"$15,536,745",Construction,Sep-22,HAB
376,Salem,Water Treatment Plant Rehabilitation Project,OH1502011,"16,850",Columbiana,"$1,894,725",Design,Sep-22,STD
377,Scio,Waterline and Household Line Replacement,OH3401312,730,Harrison,"$258,890",Construction,Aug-22,LSL
378,Scioto Water Inc.,2022 Rose Hill Transmission Main Replacement,OH7300303,"6,000",Scioto,"$1,435,000",Construction,Sep-22,SML
379,Seville,Center Street Waterline Replacement,OH5201412,"2,296",Medina,"$1,400,000",Construction,Oct-22,SML
380,Shiloh,W. Main Street Water Line Improvements,OH7004712,619,Richland,"$178,750",Design,Aug-22,PLN/DES
381,Shiloh,"Water Line, Meter, and Tank Dismantling Project",OH7004712,619,Richland,"$2,217,420",Construction,Jun-23,SML
382,Somerset,Water System Improvement & Extensions,OH6401111,"1,490",Perry,"$608,000",Design,Sep-22,PLN/DES
383,Somerset,Water System Improvements & Extensions,OH6401111,"1,490",Perry,"$3,146,000",Construction,Mar-23,REG
384,South Charleston,Water Treatment Systems Upgrades,OH1204212,"1,950",Clark,"$1,950,000",Construction,Jun-23,SML
385,South Point,Water Line Improvements Phase 3,OH4401212,"4,133",Lawrence,"$2,386,700",Construction,Sep-22,SML
386,South Point,Waterline Improvements Phase 3,OH4401212,"4,133",Lawrence,"$433,900",Design,Aug-22,PLN/DES
387,South Vienna,Elevated Water Tower Rehab,OH1253246,527,Clark,"$431,300",Construction,Jul-22,SML
388,Southern Perry County Water District,Oakfield Area Water Line Improvements,OH6401603,"4,029",Perry,"$459,360",Construction,Sep-22,DIS
389,Spencerville,Phase I Waterline Replacement,OH0201312,"2,161",Allen,"$895,304",Construction,Jun-23,DIS
390,Steubenville,2023 Waterline Replacement,OH4102411,"17,753",Jefferson,"$4,300,000",Construction,May-23,STD
391,Steubenville,Maryland Avenue Water Tank Maintenance,OH4102411,"17,753",Jefferson,"$1,710,000",Construction,Mar-23,STD
392,Steubenville,Water Filtration Plant Process and SCADA Improvements,OH4102411,"17,753",Jefferson,"$15,210,000",Construction,May-23,STD
393,Steubenville,West End Water Project,OH4102411,"18,194",Jefferson,"$4,850,609",Construction,Aug-22,STD
394,Sunday Creek Valley Water,St. Rt. 550 WL Repl & Tank Rehab,OH0501503,"5,451",Athens,"$1,307,236",Construction,Aug-22,DIS
395,Thornville,Critical Valve Replacement & Looping Line Project,OH6401212,991,Perry,"$60,839",Design,Sep-22,PLN/DES
396,Thornville,Critical Valve Replacement & Looping Line Project,OH6401212,991,Perry,"$693,589",Construction,Aug-22,SML
397,Toledo,Toledo Lucas County - Frankfort Water Main Looping Project,OH4801411,"20,000",Lucas,"$50,000",Design,Jan-23,STD
398,Toledo,Toledo Lucas County -Crissey Road Water Main Looping Project,OH4801411,"20,000",Lucas,"$40,000",Design,Jan-23,STD
399,Toledo,Toledo Lucas County -Nebraska Ave Water Main Looping Project,OH4801411,"20,000",Lucas,"$35,000",Design,Jan-23,STD
400,Toronto,E. 5th/Myers Street Waterline & Lead Line Replacement,OH4102811,"4,923",Jefferson,"$1,694,047",Construction,Jan-23,SML/LSL
401,Toronto,Walton Acres Phase 1 Waterline Improvements,OH4102811,"4,923",Jefferson,"$1,731,000",Construction,Jan-23,SML
402,Tri-County Rural Water & Sewer District,Phase 6 Waterline Extension,OH8103112,"3,225",Washington,"$3,949,700",Construction,Aug-22,DIS/REG
403,Trumbull County,Braceville/Southington/Farmington Regionalization Project,OH7806503,65,Trumbull,"$1,657,315",Construction,Oct-22,DIS/REG
404,Trumbull County,Elm Road Waterline Improvements,OH7804303,"7,576",Trumbull,"$1,097,337",Construction,Oct-22,REG
405,Trumbull County,Stillwagon Road Waterline Improvements,OH7803203,"8,860",Trumbull,"$501,793",Construction,Oct-22,REG
406,Tuppers Plains/Chester Water District,New Well #7,OH5300612,"16,087",Meigs,"$430,100",Construction,Dec-22,STD
407,Tuppers Plains/Chester Water District,"Success Rd, SR 248, and Bashan Rd Water Line Imp.",OH5300612,"16,087",Meigs,"$8,676,700",Construction,Dec-22,STD
408,Tuppers Plains/Chester Water District,Vanderhoof  Waterline Repl. & Booster Pump Station Upgrade,OH5300612,"14,000",Meigs,"$2,000,000",Construction,Feb-23,STD
409,Tuppers Plains/Chester Water District,"Young, Featherstone, and Blackwood Rd. Water Line Extensions",OH5300612,"16,087",Meigs,"$1,932,500",Construction,Dec-22,DIS/REG
410,Tuscarawas,Cherry Street,OH7901512,"1,056",Tuscarawas,"$20,000",Planning,Aug-22,PLN/DES
411,Tuscarawas,Cherry Street,OH7901512,"1,056",Tuscarawas,"$335,000",Design,Sep-22,PLN/DES
412,Tuscarawas,Cherry Street,OH7901512,"1,056",Tuscarawas,"$1,154,200",Construction,Mar-23,SML
413,Twin City Water and Sewer District,Water Regionalization,OH79001711,"3,373",Tuscarawas,"$20,000",Planning,Aug-22,REG
414,Twin City Water and Sewer District,Water Regionalization,OH7901711,"3,373",Tuscarawas,"$335,000",Design,Sep-22,REG
415,Twin City Water and Sewer District,Water Regionalization,OH7901711,"3,323",Tuscarawas,"$2,030,300",Construction,Mar-23,REG
416,Utica,Riverside Drive Watermain Replacement,OH4503012,"2,260",Licking,"$67,526",Design,Sep-22,PLN/DES
417,Utica,Riverside Drive Watermain Replacement,OH4503012,"2,260",Licking,"$624,312",Construction,Sep-22,SML/LSL
418,Wadsworth,Water Treatment Plant Improvements - Phase 1,OH5201712,"24,356",Medina,"$977,805",Construction,Aug-22,STD
419,Wakeman,Farmer Street and Cooper Street Waterline Improvements,OH3901411,"1,032",Huron,"$249,439",Construction,Sep-22,SML
420,Walnut Creek Water Company,Cherry Ridge Water Line Extension,OH3801512,"1,170",Holmes,"$190,000",Design,Jul-22,REG
421,Walnut Creek Water Company,Cherry Ridge Water Line Extension,OH3801512,"1,170",Holmes,"$3,950,000",Construction,Jun-23,REG
422,Wapakoneta,Industrial Park Water Distribution System Improvements,OH0600712,"9,954",Auglaize,"$11,122,800",Construction,Jan-23,STD
423,Warren,2022 Waterline Replacement Program,OH7803811,"55,500",Trumbull,"$2,424,000",Construction,May-23,STD/LSL
424,Washingtonville,Water Tower Replacement,OH1502812,801,Columbiana,"$1,261,400",Construction,Oct-22,SML
425,Wellington,West Street Improvements,OH4701511,"4,802",Lorain,"$47,830",Design,Aug-22,PLN/DES
426,Wellington,West Street Improvements,OH4701511,"4,802",Lorain,"$348,835",Construction,Dec-22,SML
427,Wellston,2022 Water System Improvements,OH4001912,"7,000",Jackson,"$2,109,840",Design,Aug-22,REG
428,Wellston,2022 Water System Improvements,OH4001912,"7,000",Jackson,"$25,000,000",Construction,Jun-23,REG
429,West Union,North Street Water Line Replacement,OH0100503,"2,616",Adams,"$1,235,000",Construction,Sep-22,SML/LSL
430,Willard,Park Street Water Line Replacement,OH3901511,"9,979",Huron,"$895,295",Construction,Oct-22,SML/LSL
431,Willard,Water System Improvements,OH3901511,"9,979",Huron,"$6,910,000",Construction,Dec-22,SML
432,Wilmington,Raw Water Main Relocation,OH1401211,"12,401",Clinton,"$1,200,000",Construction,Jan-23,STD
433,Woodville,Elevated Water Storage Tank,OH7200912,"2,135",Sandusky,"$1,417,370",Construction,Jun-23,SML
434,Woodville,Elevated Water Storage Tank,OH7200912,"2,135",Sandusky,"$67,055",Design,Jul-22,PLN/DES
435,Woodville,Lime Lagoon Rehabilitation,OH7200912,"2,135",Sandusky,"$416,745",Construction,Jun-23,SML
436,Woodville,Water Line Improvements Phase 3,OH7200912,"2,135",Sandusky,"$80,560",Design,Jul-22,PLN/DES
437,Woodville,Water Line Improvements Phase 3,OH7200912,"2,135",Sandusky,"$557,530",Construction,Jan-23,SML/LSL
438,Woodville,Waterline Improvements Phase 4,OH7200912,"2,135",Sandusky,"$114,990",Design,Mar-23,PLN/DES
439,Zanesville,Pioneer Water Reservoir Replacement,OH6002712,"25,470",Muskingum,"$3,547,300",Construction,Sep-22,STD
