APPLICANT NAME,REGION,DEP PROJECT RATING,STREET ADDRESS,CITY,COUNTY,PWSID,PROJRANK,FUND SOURCE,PROJECT COST,MTGDATE,PROJECT TYPE,PROJ. DESCRIPTION,PROB. DESCRIPTION,POPULATION,PV RATING,GREEN PROJECT,GREEN CATEGORY,BUSINESS CASE,GREEN AMOUNT
CONEMAUGH TOWNSHIP MUNICIPAL AUTHORITY-METER PIT INSTALLATION PROJECT,V,48,"BOX 13, R D #3",HOLLSOPPLE,SOMERSET,4560048,29,DWSRF,"$12,581,250",1/21/2026,METERS,"The Conemaugh Township Municipal Authority meter and meter pit installation project consists of approximately 2,200 new meter and pits in the water distribution system. Meter pits will be placed on the property line of each customer and connected to the existing service lines.",The Conemaugh Township Municipal Authority has experienced high water loss (64 percent in 2023) and the existence of many long service lines that do not currently have meter and meter pits. Several meters are located within homes nd need manual reading wvery month. This project will reduce water loss and increase revenue for the Authority.,"8,200",71,Yes,Water Efficiency,N/A,"$12,581,250"
CHESTER WATER AUTHORITY SUSQUEHANNA PUMPING STATION RELIABILITY IMPROVEMENTS,I,48,P.O. BOX 467,CHESTER,CHESTER,1230004,30,DWSRF,"$19,277,386",10/15/2025,"PS, TREAT","The scope of the major station improvements is to replace the existing three constant feed pumps (Pumps #1-3) with 1,500 HP vertical turbine pumps with new variable frequency drives (VFDs); o Remove existing variable speed pump (Pump No. 4); Install a 2800 kW backup generator capable of running (2) of the 1,500 HP pumps on VFDs; replace the existing switchgear equipment and transformer; replace the existing 1,000 kW generator with a smaller power generator used for house power and SCADA reliability; remove hydraulic system on discharge valves and replace with combination electrical and individual hydraulic actuators capable of the necessary valve closing times during an emergency pump stop; remove unnecessary bypass and backflush piping; replace permanganate dry chemical system with liquid skid-mounted sodium permanganate chemical system with two (2) positive displacement pumps; demolish existing Chemical Building and constructing a new Chemical Storage Room next to the Pumping Station Building; replace existing control system equipment with up-to-date hardware and network infrastructure.","Chester Water Authority (CWA) is seeking funding for reliability improvements of their Susquehanna Booster Station. The Susquehanna Raw Water Pumping Station provides the only alternate source water to Chester Water Authority’s Octoraro Water Treatment Plant’s primary source water, the Octoraro Reservoir. In recent years, operational challenges have limited the station’s functionality. Some of the station’s components have reached their serviceable lifespan and are due for replacement. Other systems require upgrades to improve operational functionality and reliability. These improvements will provide increased station functionality and reliability with additional flow control, reduced maintenance, and improved emergency power systems. The project location will be within Fulton Township in Lancaster County; however, these facilities are permitted by the DEP Southeast Regional Office as the facilities serve customers in Chester and Delaware Counties.","138,453",73,No,N/A,N/A,$0
JACKSON TOWNSHIP WATER AUTHORITY - WATER DISTRIBUTION SYSTEM IMPROVEMENT PROJECT,V,47,"R.D. #8, BOX 112",JOHNSTOWN,CAMBRIA,4110021,31,DWSRF,"$4,477,000",10/15/2025,"PS, DS, WS","The Jackson Township Water Authority (JTWA) plans to rehabilitate several of their current facilities including the George Wyse Pump Station, the Whitetail Road Pump Station, and the Mile Hill Storage Tank. The George Wyse Pump Station and the Whitetail Road Pump Station rehabilitation will include replacing pumps, controls, variable frequency drives (VFDs), and interior piping within the existing pump station structure. Approximately 5,000 linear feet of 8-inch polyvinyl chloride (PVC) waterline will be installed between the George Wyse Pump Station and SR 22 in order to replace the existing 6-inch waterline. Existing services will be upgraded with a new 0.75-inch plastic pipe up to or near the property line, where it will be reconnected to the existing curb stop or meter pit. The project also consists of increasing the height of the Mile Hill Storage Tank from approximately 29 feet to approximately 89 feet. This involves installing new tank panels at the bottom and jacking up existing panels of the glass lined steel tank. No modifications to the tank foundation are proposed initially.","The Authority currently serves 1,444 customers all of which are located within Jackson Township, Cambria County. The major problems that are going to be resolved with this project are the existing overall condition of the George Wyse Pump Station, the insufficient pumping capacity of the George Wyse Pump Station and the Whitetail Road Pump Station, and the insufficient storage capacity of the Mile Hill Storage Tank. The George Wyse Pump Station has been at or past its life expectancy for many years now. It was originally constructed in the 1950’s and has never had a major renovation. Additionally, an increase in water demand in the Mile Hill Storage Tank zone has placed additional strain on the existing George Wyse and Whitetail Road Pump Stations.","3,198",52,Yes,Water Efficiency,N/A,"$1,850,000"
THE MUNICIPAL AUTHORITY OF THE TOWNSHIP OF WASHINGTON - WATER SYSTEM IMPROVEMENTS,V,46,1390 FAYETTE AVE,BELLE VERNON,FAYETTE,5260009,32,DWSRF,"$5,100,000",7/16/2025,"TREAT, DS","The Authority is proposing to replace the motor control center, raw water pump, and supervisory control and data acquisition (SCADA) system at its existing water treatment plant as well as the replacing approximately 15,000 linear feet of 6-inch, 8-inch and 12-inch diameter water lines. The project also includes the rehabilitation of the water treatment plant filters. Air scour will be provided through new underdrains within the filters. New filter media and filter troughs will also be provided as a part of the project.","Most of the equipment within the motor control center is outdated and reached the end of its useful life. If the motor control center failed, the Authority would not be able to produce water for a number of days. The Department has identified several issues with the filters, including loss of media and leaking troughs. Furthermore, the Department has recommended that the Authority add an air scour system to the filters. The SCADA system was installed on the water distribution system in 2006. Much of the control system equipment is now outdated. The Authority has also identified ten sections of water lines throughout the system that need to be replaced. Most of these water lines are 2-inch diameter, which is not properly sized for fire hydrants. Additionally, this reduced line size results in higher pumping costs to the Authority. These water lines also have a history of breaks which cause water outages to the Authority’s customers as well as excessive and costly damages to public roads and private property.","9,100",65,Yes,Water Efficiency,N/A,"$3,326,400"
HIGHLAND SEWER AND WATER AUTHORITY - CROYLE WATER LINE PROJECT CONTRACT 2025-W-02,V,45,120 TANK DRIVE,JOHNSTOWN,CAMBRIA,4110017,33,DWSRF,"$8,226,760",1/21/2026,"DS, METERS","The Highland Sewer and Water Authority (HSWA) is proposing the Croyle waterline improvement project located in Cambria county. This second phase, called Contract 2025-W-02, includes the installation of 45,000 linear feet (LF) of water line, water service lines from the water main to the property line, and water appurtenances necessary for the system. The project will also include the installation of new meter pits and residential service meters for all Croyle customers to modernize metering and allow for better integration into the HSWA system.","Highland Sewer and Water Authority (HSWA) owns and operates a water treatment plant and public water distribution system which serves over 10,000 customers in 17 different municipalities within Cambria County, PA. Additionally, HSWA sells “bulk” water to 13 smaller water utility owners which distribute and re-sell water to their customers. One of these utility owners is Croyle Township Water Authority (CTWA) (which servers 4 different municipalities). CTWA purchases all their water from HSWA. Due to difficulties managing and maintaining a public water system, CTWA is proposing to transfer ownership and operation of their water system to HSWA. Ownership will be transferred to HSWA, and HSWA will take over billing for these customers. There will be no interruption of service or changes in water quality because of this transfer. Prior to assuming ownership, HSWA is proposing many of the older or problematic water lines be replaced within the CTWA system. The pipes and appurtenances within the system are past their anticipated useful life and are prone to breaks and water loss.","24,310",70,Yes,Water Efficiency,Not Required,"$240,000"
WOODBURY WATER AUTHORITY - MILL STREET (T-635) WATERLINE REPLACEMENT,III,45,BOX 66,WOODBURY,BEDFORD,4050023,34,STATE BYPASS,"$984,768",7/16/2025,DS,"The project consists of the replacement of 2,375-ft of existing 6-inch watermain within Mill Street (T-635) with new 6-inch diameter C-900 PVC watermain. There are two potential add alternates including the replacement of 250-ft of 4-inch diameter watermain in the Hickory Bottom Road right of way with new 4-inch diameter C-900 PVC watermain, and the replacement of 225-ft of ¾-inch waterline running north from Mill Street with 2-inch diameter C-900 PVC waterline. The project also includes reestablishing 34 existing service connections and the installation of three (3) fire hydrants and one (1) blowoff assembly.","The Woodbury Water Authority owns existing water main pipes within Mill Street (T-635) between Main Street and Hickory Bottom Road. This section of watermain is aging and there have been past instances of pipe breakages, leaks, service interruptions, and boil water notices.",295,50,Yes,Water Efficiency,Not Required,"$1,508,370"
AQUA PENNSYLVANIA WATER MAIN REPLACEMENTS (2024-2027) (PROFI),I,45,762 LANCASTER AVE.,BRYN MAWR,CHESTER,1460073,35,DWSRF,"$77,500,000",7/17/2024,DS,"The Proposed work includes twenty-one (21) water main replacement projects for planned construction in years 2024 through 2027. Construction for the first phase of projects is planned to commence in spring of 2025; identification of the individual projects that will be included in the first phase is dependent on the receipt of any relevant approvals and other requirements. As identified above, the water main replacements will take place throughout fourteen (14) municipalities and four (4) counties in the southeastern region of Pennsylvania. The total estimated linear footage of water main replacement is nearly 133,400 lineal feet with pipes ranging from 8 to 20 inches in diameter.","Aqua is initiating several capital improvements collectively titled Aqua PA Water Main Replacements (2024-2027) to be located in multiple streets within the municipalities of Bensalem Township, Hatboro Borough, Lower Southampton Township, and Warminster Township, Bucks County; Tredyffrin Township, Uwchlan Township, and West Bradford Township, Chester County; Aldan Borough, Haverford Township, Marple Township, Nether Providence Township, Springfield Township, and Upper Darby Township, Delaware County; and, Collegeville Borough, Lower Merion Township, and Perkiomen Township, Montgomery County. The new water mains will be installed within existing roadway, public right-of-way, and previously disturbed and maintained areas. These projects will construct new water mains to replace existing water mains that are at the end of useful life, history of leaks, and/or in poor condition.","747,460",60,No,N/A,N/A,$0
"YOUNGSVILLE BOROUGH - WATER RESERVOIR, WELL, AND TREATMENT SYSTEM UPGRADES",VI,45,40 RAILROAD STREET,YOUNGSVILLE,WARREN,6620039,36,STATE BYPASS,"$2,191,511",7/16/2025,TREAT,"The proposed project involves improvements/replacements to the chlorine feed room ventilation system; structural rehab, drain installation, ventilation system replacement, and roof system replacement at the water storage reservoirs; electrical system upgrades, roof replacement, cosmetic rehab at the water storage reservoir access building; and the installation of a new operation monitoring system.",The Youngsville Borough has a 60+ y/o reservoir that is at risk of failing and needs structural improvements. Backup reservoir also needs repairs.,"2,004",60,No,N/A,N/A,$0
HIGHLAND SEWER AND WATER AUTHORITY CROYLE WATER LINE PROJECT CONTRACT 2025-W-01,V,44,120 TANK DRIVE,JOHNSTOWN,CAMBRIA,4110017,37,DWSRF,"$8,516,670",10/15/2025,"WS, PS","Highland Sewer and Water Authority (HSWA) is proposing the Croyle Water Project. The project is located in Cambria Township, Croyle Township, East Taylor Township, Jackson Township, and Summerhill Borough, Cambria County, Pennsylvania. HSWA is proposing to complete a water system improvement that includes the addition and replacement of all necessary appurtenances within the Beaverdam system through multiple phases. For the first phase (called as Contract 2025-W-1), the project consists of the installation of three water storage tanks and three pump stations (two new water tanks and a pump station will be added to the system; A tank and two existing pump stations will be also replaced) as well as all appurtenances and site work necessary to complete these installations and connection to the proposed waterline to be installed under the applications of future phases.","Highland Sewer and Water Authority (HSWA) owns and operates a water treatment plant and public water distribution system which serves over 10,000 customers in 17 different municipalities within Cambria County, PA. Additionally, HSWA sells “bulk” water to 13 smaller water utility owners which distribute and re-sell water to their customers. One of these utility owners is Croyle Township Water Authority (CTWA) (which servers 4 different municipalities). CTWA purchases all their water from HSWA. Due to difficulties managing and maintaining a public water system, CTWA is proposing to transfer ownership and operation of their water system to HSWA. Ownership will be transferred to HSWA, and HSWA will take over billing for these customers. There will be no interruption of service or changes in water quality because of this transfer. Prior to assuming ownership, HSWA is proposing many of the older or problematic water lines be replaced within the CTWA system. The pipes and appurtenances within the system are past their anticipated useful life and are prone to breaks and water loss. The additional tanks and pump stations will improve water pressure conditions, the longevity and serviceability of the system.","24,310",65,No,N/A,N/A,$0
M. A OF THE CITY OF NEW KENSINGTON 2024 WATERLINE REPLACEMENTS/WTP FILTER MEDIA REPLA,V,43,"P O BOX 577, 920 BARNES STREET",NEW KENSINGTON,WESTMORELAND,5650070,38,DWSRF,"$3,856,741",10/16/2024,"DS, TREAT","The project includes replacement of approximately 5,400 linear feet of 8-inch diameter waterline, and 200 linear feet of 2-inch diameter waterline and appurtenances to residents in the City of New Kensington. The proposed funds would be used to replace the waterlines and appurtenances to residents in the City of New Kensington. In addition, new media for the treatment plant will restore the filters removal efficiency and allow for “return to normal” production levels.","The waterlines located on 7th Street are old and deteriorated. These areas have experienced numerous breaks which resulted in periodic service shutdowns and costly, emergency repairs. The water loss during these events is stretching the operating budgets to their limits. As a result of the breaks/leaks, the residents are also subjected to poor roadway conditions due to multiple patches/ditches. The waterlines located on Beamer Avenue, Lincoln Avenue, Dugan Way, Wills Road and Fairmont Street are old and deteriorated. These areas have experienced numerous breaks which resulted in periodic service shutdowns and costly, emergency repairs. The water loss during these events is stretching the operating budgets to their limits. As a result of the breaks/leaks, the residents are also subjected to poor roadway conditions due to multiple patches/ditches. The existing filter media in the treatment plant has degraded over time. Recent media analysis has shown that it is still filtering, the containment reduction is not as efficient as it can be. This results in reduced output and extra backwashing.","47,800",58,Yes,Water Efficiency,N/A,"$3,185,116"
CITY OF LOCK HAVEN - YOUNGDALE WELL FIELD DEVELOPMENT,IV,43,20 E CHURCH ST,LOCK HAVEN,CLINTON,4180048,39,DWSRF,"$8,800,000",10/15/2025,"SRC, TREAT, TRANS","The project will include the development of two (2) groundwater wells that will be connected to the regional Central Clinton County Water Filtration Authority (CCCWFA) water treatment plant. The new well operation building will house electrical equipment, a supervisory control and data acquisition (SCADA) unit, transfer switch, and exterior emergency generator. Extension of 3-phase power to the well sites is also included. Approximately 9,545 linear feet of new 12-inch to 16-inch diameter well transmission line will interconnect to the water treatment plant by an exterior vault with all required internal plant pipe connections and chemical feed injection points. Additional treatment, filtration, disinfection, and finished water pumping will occur at the CCCWFA plant. A master pressure control and monitoring facility will be installed along Youngdale Road to regulate downstream system pressure and to meter water flow to the City service area.",Recent water shortages caused by drought and inadequate reservoir capacity have resulted in frequent usage restrictions. Sometimes water reserves have been so limited that alternative water supplies were employed to provide drinking water to the service area.,"9,890",58,No,N/A,N/A,$0
"ERIE CITY WATER AUTH.- SIGSBEE/RSW PUMP STATIONS, VALVE VAULT & LINE REPL PRO-FI",VI,43,340 WEST BAYFRONT PARKWAY,ERIE,ERIE,6250028,40,DWSRF,"$12,000,000",7/16/2025,PS,"The proposed Pro-Fi application will include the following projects, with the Sigsbee Pump Station Upgrade planned to be the lead project: Sigsbee Pump Station Upgrade; RSW WTP West Lake Pump Station and Low Duty Pump Station Variable Frequency Drives; RSW WTP Low Service Pump Station Variable Frequency Drives; Sigsbee Reservoir Valve Vault Reconstruction; Kuntz Road Water Main Replacement; McClelland Avenue Water Main Replacement; Frontier Area (Backyards) Water Main Replacements.","This application is being made in conjunction with the PENNVEST Programmatic Financing guidelines and addresses seven projects in the Erie Water Works Capital Improvement Plan. The lead shovel ready project is the Sigsbee Pump Station Upgrade. The soft starters at the Sigsbee Pump Station are obsolete and one of the existing three pumps is inoperable. There are no parts for the starters and if failure occurs they have to be replaced with new starters, however, Staff intends to utilize variable frequency drives (VFD) in the future to accurately control flow and pressure under any circumstance. All three pumps will be replaced, electrical gear will be updated, the roof and windows will be replaced, and other miscellaneous facility improvements will occur.","180,000",62,No,N/A,N/A,$0
PENNSYLVANIA AMERICAN WATER COMPANY - PINE HILL WELL PFAS/MN TREATMENT IMPROVEMENTS,II,43,P O BOX 718,MOUNT POCONO,MONROE,2450063,41,DWSRF,"$5,046,571",10/15/2025,"TREAT, PFAS","The project includes the demolition of the existing wellhouse and construction of a new treatment facility at the existing Pine Hill well station, disposal of process wastewater, and other related work to address PFAS and iron and manganese in the raw water. The new treatment facility will include GAC adsorbers and green sand filters. New concrete tanks will be utilized for holding backwash waste. Further chemical feed system improvements to help meet the requirements. New 4-inch ductile will be installed for raw flow to the treatment building. The existing submersible well pump will be replaced, and the existing high service pumps will be replaced.",Pine Hill Well - The Pine Hill well shows PFOS level of 6.6 ppt and PFOA level of 4.7 ppt. Manganese sampling levels of 0.64 mg/L exceeding the secondary MCL of 0.05 mg/L.,"17,860",58,No,N/A,N/A,$0
REDBANK VALLEY MUNICIPAL AUTHORITY - WATER SYSTEM IMPROVEMENTS,VI,43,212 LAFAYETTE ST,NEW BETHLEHEM,CLARION,6160010,42,DWSRF,"$7,346,392",1/21/2026,"TREAT, TRANS, DS","This water system improvement project will include the installation of 9,880 linear feet (LF) of 6-inch diameter water line, 2,700 LF of 8-inch diameter water line, 1,800 LF of 10-inch diameter water line, fire hydrants, and appurtenances. In the water treatment plant, aging tube settlers will be replaced with inclined plate settlers and filter media.","Redbank Valley Municipal Authority has experienced 44 percent to 48 percent unaccounted for water losses in their distribution system. Leaks have been identified along the Olean Trail in Porter Township, and in New Bethlehem Borough. There is also a lack of fire protection along Broad Street in South Bethlehem Borough since the existing fire hydrants are not operable. The water treatment plant has also been underperforming. The existing project area has aging water lines that have had numerous breaks. The tube settlers need to be replaced to better trap the solids in the settling area.","3,150",74,No,N/A,N/A,$0
PA AMERICAN WATER COMPANY - BUTLER WATER TREATMENT PLANT FILTER IMPROVEMENTS,VI,43,2936 ELLWOOD ROAD,NEW CASTLE,BUTLER,5100012,43,DWSRF,"$28,500,000",10/15/2025,TREAT,"The Project includes upgrading the Butler Water Treatment Plant's sedimentation and filtration systems to address capacity limitations and ensure reliable treatment, the demolishing three (3) aging Aldrich purification units, and constructing a new treatment building and concrete tank structure. Within this facility, three (3) 6-million-gallons-per-day (MGD) Actiflo ballasted flocculation and sedimentation trains will be installed, along with four (4) 4-MGD dual-media gravity filtration units with air scouring capability providing 12.0 MGD capacity with one (1) unit out of service. The project also includes rerouting process piping (influent, effluent, wash water, wastewater, sanitary, and filter to waste lines), rerouting chemical feed lines, and electrical and control system modifications as well as related work. The improvements will be constructed in phases to maintain plant operation and minimize service disruptions.","The existing WTP utilizes three (3) Aldrich purification units to perform mechanical flocculation, sedimentation, and filtration. While the facility has a rated capacity of 11.9 MGD with all units in service, its capacity is reduced to 7.1 MGD when one unit is out of service, which will not meet the projected maximum day demand of the system. The existing water treatment plant has capacity limitations and needs improved water treatment reliability. With aging infrastructure, the sedimentation and filtration performance of the existing Aldrich units is no longer optimal, and the risk of system shortfall during peak demand or unit outages poses a threat to water system resiliency.","43,044",58,No,N/A,N/A,$0
COMBINED HAZLETON CITY AUTHORITY VILLAGE OF BUCK MTN WATER MAIN REPLACEMENT - W,II,41,400 E. ARTHUR GARDNER PARKWAY,HAZLETON,LUZERNE,2408001,44,DWSRF,"$16,225,000",1/22/2025,"TRANS, PS","The project will consist of the replacement of an old pressure regulating station with a new building with valves above grade. Approx. 6,500 LF of new 8-inch ductile iron pipe replacing the existing. All existing customer service lines will be provided with new ¾-inch copper lines with new curb stops. The Dreck Creek Transmission line project will consist of approx. 21,000 LF of existing main including valves will be inspected and verified to be operational and in satisfactory condition if deficiencies are encountered, they will be repaired or replaced. A new parallel transmission main will also be installed alongside the existing pipe. This work includes approx. 14,900 LF of slip lining the existing 16-inch pipe, 5,130 LF of new 20-inch ductile iron pipe, and 60 LF of pipe installed under PennDOT ROW. The project will consist of upgrading and expansion of the existing 4.75 mgd Dreck Creek Pump Station to 10.47 mgd peak flow. This expansion will include the upgrade and expansion of the existing pump station building, upgraded electrical service, upgraded emergency generator, multiple new pumps, new variable speed controllers, new header piping, valves, meters, etc. A temporary station bypass pumping will be installed to facilitate renovations. This project will tie into the Dreck Creek Pipeline Project.","The Buck Mountain Waterline Replacement Project is being undertaken due to the large number of pipe failures, leaks, and repairs replacing an older deteriorating water transmission line constructed of cast iron and susceptible to failure due to age, operating pressure, and surges. This Dreck Creek Transmission Main project is directly related to the Dreck Creek Pump Station Project tying the new pump station into the raw water transmission main. This project is being undertaken to account for recent increases in the system demand and with a recent New Source Feasibility study to plan and project future demands. The Dreck Creek Pump Station project is being undertaken to account for recent increases in system demand and in compliance with a recent New Source Feasibility study to plan for future demands.","45,000",64,No,N/A,N/A,$0
BRADFORD CITY WATER AUTHORITY - SYSTEM-WIDE METER REPLACEMENTS,VI,41,28 KENNEDY STREET,BRADFORD,MCKEAN,6420014,45,DWSRF,"$4,118,500",1/22/2025,METERS,"The project will include replacing all 5,797 existing water meters with new water meters. Further, the project will include an Advanced Metering Infrastructure (AMI) system.","The Bradford City Water Authority provides potable water service for approximately 5,797 Authority customers located in the City of Bradford and the Townships of Bradford, Foster and Lafayette, McKean County, Pennsylvania. Additionally, Lewis Run Borough is served as a consecutive system. The average age of the Authority’s water meters is 25 years old. A number of the meters are failing and others have been found to be under-registering. The Authority has to reread an average of 4,800 meter readings per year, resulting in higher labor costs.","18,000",56,Yes,Water Efficiency,N/A,"$3,876,500"
AQUA PENNSYLVANIA INC. - HIGHLAND GLEN WELL PFAS PROJECT PWSID 1460073,I,41,762 LANCASTER AVE.,BRYN MAWR,CHESTER,1460073,46,DWSRF,"$2,250,000",4/23/2025,"TREAT, PFAS","Samples of water collected at the treatment facility for Highland Glen Well in Aqua PA's Main system have shown detections of PFOA and PFOS. The proposed PFAS treatment project includes replacement of the well pump and installation of one train of anion exchange treatment vessels with pre-filtration, with heat tracing and insulation for piping and a heated enclosure for the treatment vessel valve tree, to be located separate and adjacent to the existing well facility.",Aqua Pennsylvania Inc. (Aqua PA) serves municipalities throughout southeastern Pennsylvania. Aqua PA has been monitoring perfluoroalkyl substances (PFAS) in its water supply. Samples of water collected at entry points in the Aqua PA Main system (PWSID 1460073) have been analyzed for perfluorooctanoic acid (PFOA) and perfluorooctane sulfonate (PFOS). Analytical results indicate PFOA level of 8.95 ppt and PFOS level of 4.85 ppt in these systems.,"747,460",46,No,N/A,N/A,$0
CITY OF LANCASTER - SUSQUEHANNA LARGE DIAMETER TRANSMISSION MAIN,III,40,150 PITNEY ROAD,LANCASTER,LANCASTER,7360058,47,DWSRF,"$49,293,000",1/21/2026,TRANS,"The Susquehanna large diameter transmission main project will include the construction of 7,200 linear feet (LF) of raw water transmission main between the Susquehanna Low Service Pump Station and the Susquehanna Water Treatment Plant (WTP) and 28,200 LF of finished water transmission main between the WTP and the Oyster Point Reservoir. All new pipe will be 42-inch diameter, ductile-iron/cement-lined pipe. The new raw and finished mains will parallel the existing raw and finished mains, providing redundancy and making the Susquehanna treatment system more resilient.","The City of Lancaster (City) withdraws about 70 percent of its water from an intake on the Susquehanna River at Columbia, PA. The water is moved from the Susquehanna Low Service Pump Station through a 42-inch diameter raw water transmission main to the Susquehanna Water Treatment Plant (WTP). Finished water from the WTP is moved through another 42-inch diameter water main to the Oyster Point Reservoir. Both the raw and finished water transmission mains are constructed of steel and are about 70-years old. While they are still in serviceable condition, the frequency of leaks and repairs is accelerating, and the City desires redundancy in these critical transmission mains for the Susquehanna system. It would not be feasible for the City to rely on their second WTP, the Conestoga WTP, to supply their entire service area due to water allocation limits on the Conestoga River and the presence of PFOA.","120,000",65,No,N/A,N/A,$0
AQUA PENNSYLVANIA INC. - WILLOWDALE CROSSING WELL PFAS PROJECT PWSID 1150098,I,38,762 LANCASTER AVE,BRYN MAWR,CHESTER,1150098,48,DWSRF,"$2,500,000",4/23/2025,"TREAT, PFAS","The proposed PFAS treatment project includes replacement of the well pump and installation of one train of granular activated carbon treatment vessels, with heat tracing and insulation for piping and a heated enclosure for the treatment vessel valve tree, to be located separate and adjacent to the existing well facility. Samples of water collected at the Willowdale Crossing treatment facility for Willowdale Well 6 in Aqua's West Chester system have shown detections of PFOA.",Aqua Pennsylvania Inc. (Aqua PA) serves municipalities throughout southeastern Pennsylvania. Aqua PA has been monitoring perfluoroalkyl substances (PFAS) in its water supply. Samples of water collected at entry points in the Aqua PA West Chester system (PWSID 1150098) have been analyzed for perfluorooctanoic acid (PFOA) and perfluorooctane sulfonate (PFOS). Analytical results indicate PFOA level of 4.8 ppt and PFOS is detectable in this system.,"33,918",43,No,N/A,N/A,$0
ROARING SPRING MUNICIPAL AUTHORITY SOURCE WATER PUMPING STATION,III,38,P.O.BOX 33,ROARING SPRING,BLAIR,4070019,49,STATE BYPASS,"$2,325,000",7/16/2025,PS,"The Authority is proposing to replace the existing raw water pumps and distribution pumps with a single new pump station which will serve both purposes. The new pump station will withdraw raw water from the Authority's source and provide distribution system pressure. New chlorination equipment will also be provided, and the system's entry point will be relocated so that effective chlorine contact time is achieved.",The Roaring Spring Municipal Authority owns both a raw water and a distribution pumping station which are located near their spring source at the intersection of Spring Street and Spang Street. Both pumping stations have reached the end of their useful life and are in need of replacement.,"3,182",53,No,N/A,N/A,$0
PA AMERICAN WATER COMPANY SUMMIT POINT PFAS/MN TREATMENT IMPROVEMENTS,II,38,P O BOX 718,MOUNT POCONO,MONROE,2450063,50,DWSRF,"$4,844,000",7/16/2025,PFAS,"The project will demolish the existing wellhouse and replacement with a new facility. Two high service pumps will be installed in the treatment building. The well will receive a new submersible pump. The existing well discharge piping will be replaced from the well to the new treatment building. The column pipe and pitless adapter will be replaced. PFAS treatment system will include two GAC units and a 24-inch Greensand Plus filter for iron/manganese. Two sodium hypochlorite feed pumps, two sodium hydroxide chemical feed pumps, and a polymer batch aging and feed tank system. Two chemical feed pumps will be used to dose Zinc Orthophosphate into the post-GAC effluent line.","The most recent sampling shows PFOA levels at 4.1 ppt, manganese levels at 0.226 mg/L (limit 0.05 mg/L), and iron levels of 0.25 mg/L (limit 0.3 mg/L). Project will improve water quality for the service area.","17,860",53,No,N/A,N/A,$0
"EAST TAYLOR MUNICIPAL AUTHORITY - 2"" WATERLINE REPLACEMENT PROJECT",V,36,403 DONRUTH LANE,CONEMAUGH,CAMBRIA,4110043,51,DWSRF,"$9,920,350",7/16/2025,DS,"The proposed project includes the installation of 22,000 linear feet of new 2-inch diameter plastic water main distribution piping. New customer water service lateral piping and meter pits are also proposed as part of the project. The existing water distribution system would be abandoned in place, disconnected, and will no longer be utilized for water distribution. New water service installation will occur at all homes that were disconnected from the existing water system within the project area. New water laterals are proposed from the new main line to the customers’ property line. The new water main line and services will be installed at a minimum depth of 4 feet to the top of the pipe ensuring freeze protection.","The existing water distribution infrastructure within the proposed project area was largely installed throughout the 1900's and is significantly past its effective design life. Due to the change in water quality requirements for this public water system, the ability of the Authority to provide water to its customers that meets the current standards has become the primary focus of the Authority. The existing cast iron pipes within the system degrade the chlorine residuals in the water to levels near the minimum requirement. This means that the authority must flush the system regularly, resulting an increase in the water that must be purchased. By reducing the amount of water wasted through flushing, the Authority can minimize the cost passed onto its customers, while still providing quality water. In addition, various leaks in the existing piping contribute to ongoing water loss.","3,152",45,No,N/A,N/A,$0
AQUA PENNSYLVANIA INC. - CABOT/HALL RD PFAS PROJECT PWSID PA1460073,I,36,762 LANCASTER AVE.,BRYN MAWR,MONTGOMERY,1460073,52,DWSRF,"$16,235,000",7/16/2025,PFAS,"The Cabot and Hall Road Wells are located in Upper Merion and Abington Townships, respectively, in Montgomery County. The current plans for the Cabot Well project include construction of a new stand-alone treatment building and equalization tank, and installation of two trains of granular activated carbon (GAC) filter vessels for PFAS treatment. The current plans for the Hall Road project include construction of a treatment building addition, replacement of the well pump, and installation of one train of anion exchange (IX) filters with pre-filtration for PFAS treatment.",Aqua Pennsylvania Inc. (Aqua PA) serves municipalities throughout southeastern Pennsylvania. Aqua PA has been monitoring perfluoroalkyl substances (PFAS) in its water supply. Samples of water collected at entry points in the Aqua PA Main system (PWSID 1460073) have been analyzed for perfluorooctanoic acid (PFOA) and perfluorooctane sulfonate (PFOS). Analytical results indicate PFOA level of 5.525 ppt at Cabot well and 5.775 at Hall Road well and PFOS level of 3.125 ppt at Cabot well and 5.425 ppt at Hall Road well. in this system at the Cabot Well and Hall Road Well Treatment Facilities.,"747,460",51,No,N/A,N/A,$0
AQUA PENNSYLVANIA INC. - APPLEWOOD WELL HOUSE PFAS PROJECT PWSID 2400083,II,36,R.D. #3 BOX 313B,DALLAS,LUZERNE,2400083,53,DWSRF,"$1,030,000",1/22/2025,"TREAT, PFAS",The project will install ion exchange units to adsorb PFOS and PFOA compounds from existing well source.,This project will minimize the presence of PFOA and PFOS in finished water via treatment of the existing wells. Max PFOS sampled is 5.4 ppt and max PFOA is 4.6 ppt.,95,41,No,N/A,N/A,$0
